id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
131710,Feuerbach's theorem,مبرهنة فويرباخ,théorème de Feuerbach,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131710,,,True,True
131711,Fibonacci ratios,نِسَب فيبوناشي,rapports de Fibonacci,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131711,,,True,True
131712,Fibonacci sequence,متتالية فيبوناشي,suite de Fibonacci,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131712,,,True,True
131750,Fourier series,سلسلة فورييه,séries de Fourier,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131750,,,True,True
131751,Fourier transformation,تحويل فورييه,transformation de Fourier,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131751,,,True,True
131794,Gaussian curve,منحني كَاوس,courbe de Gauss,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131794,,,True,True
134129,Greenwich meridian,خط زوال كرينوش,méridien de Greenwich,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134129,,,True,True
134139,Hercules,هرقل,Hercule,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134139,,,True,True
131894,Hermitian endomorphism,تشاكل داخلي هرميتي,endomorphisme Hermitien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131894,,,True,True
131917,Hooke's law,قانون هوك,loi de Hooke,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131917,,,True,True
134173,Jovian planets,كواكب مشابهة المشتري,planètes Joviennes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134173,,,True,True
134174,Julian calendar,تقويم جولياني,calendrier Julien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134174,,,True,True
134175,Julian date,تاريخ جولياني,date Julienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134175,,,True,True
134176,Julian day,يوم جولياني,jour Julien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134176,,,True,True
134177,Jupiter,مشتري (ال...),Jupiter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134177,,,True,True
134178,Jupiter belt,حزام المشتري,bande de Jupiter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134178,,,True,True
132298,Lobacheveskian geometry,هندسة لوباشفسكي,géométrie Lobachevski,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132298,,,True,True
132325,Maclaurin's theorem,مبرهنة ماكلورين,théorème de Maclaurin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132325,,,True,True
132326,Maclaurin's trisector,مثلث ماكلورين,trissectrice de Maclaurin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132326,,,True,True
134224,Mars,مريخ (ال...),Mars,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134224,,,True,True
132397,Menelau's theorem,مبرهنة مينلوس,théorème de Menelaus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132397,,,True,True
134235,Mercury,عطارد,Mercure,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134235,,,True,True
132436,Mobius band,شريط موبيوس,bande de Mobius,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132436,,,True,True
132496,Napierian logarithm,لوغاريتم نيبري، لوغاريتم طبيعي,logarithme népérien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132496,,,True,True
132497,Napierian logarithms,لوغاريتمات نيبر,logarithmes népériens,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132497,,,True,True
134266,Neptune,نبتون,Neptune,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134266,,,True,True
132525,Newton's binomial,حدانية نيوتن,binôme de Newton,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132525,,,True,True
134292,Ophiuchus,كوكبة الحواء,Ophiuchus; le serpentaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134292,,,True,True
132674,Pappus's theorem,مبرهنة بابوس,théorème de Pappus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132674,,,True,True
132721,Pascal's theorem,مبرهنة باسكال,théorème de Pascal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132721,,,True,True
132722,Pascal's triangle,مثلث باسكال,triangle de Pascal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132722,,,True,True
132795,Playfair's axiom,مصادرة بليفير,axiome de Playfair,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132795,,,True,True
132811,Poisson's ratio,نسبة بواسون,coefficient de Poisson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132811,,,True,True
132942,Pythagoras tables,جداول فيثاغورس,tables de Pythagore,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132942,,,True,True
132943,Pythagoras theorem,مبرهنة فيتاغورس,théorème de Pythagore,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132943,,,True,True
132944,Pythagorean triangle,مثلث فيثاغورس,triangle rectangle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132944,مثلث قائم الزوايا,,True,True
132945,Pythagorean triple,ثلاثي فيثاغورس,triplet de Pythagore,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=132945,,,True,True
133177,Riemannian geometry,هندسة ريمان,géométrie de Riemann,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133177,,,True,True
133196,Rolle's theorem,مبرهنة رول,théorème de Rolle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133196,,,True,True
134383,Saturn,زحل,Saturne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134383,,,True,True
134384,Saturn rings,حلقات زحل,anneaux de Saturne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134384,,,True,True
133328,Simpson straight line,مستقيم سمبسون,droit de Simpson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133328,,,True,True
133329,Simpson's rule,قاعدة سمبسون,règle de Simpson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133329,,,True,True
133443,Stirling's theorem,مبرهنة سترلنج,théorème de Stirling,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133443,,,True,True
133530,T.score,علامة ت,marque T,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133530,,,True,True
133554,Taylor's series of E,متسلسلة تايلور,série de Taylor de E,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133554,,,True,True
133555,Taylor's theorem,مبرهنة تايلور,théorème de Taylor,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133555,,,True,True
133605,Torricelli's theorem,مبرهنة تورشيلّي,théorème de Triicelli,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133605,,,True,True
134488,Van Allen belt,حزام فان ألن,ceinture de Van Allen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134488,,,True,True
133803,Venn diagram,مخطط فين,diagramme de Venn,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133803,,,True,True
134493,Venus,زهرة (ال...),Vénus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=134493,,,True,True
133822,Wallis's formula,صيغة والس,formule de Wallis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133822,,,True,True
133838,Wilson's theorem,مبرهنة ولسون,théorème de Wilson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133838,,,True,True
133845,X-Y-Z co-ordinates,احداثيات س، ص،ع,"coordonnées X, Y, Z",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133845,,,True,True
133846,X-Y-Z intercepts,محصورات س، ص،ع,"interceptés de X, Y, Z",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133846,,,True,True
133844,X-Y-Z- axes,محاور س، ص،ع,axes X-Y-Z,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133844,,,True,True
133841,X-axis,محور السينات,axe des X,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133841,,,True,True
133842,X-co-ordinate,احداثي سينّي,coordonnée X,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133842,,,True,True
133843,"XY, YZ, ZX planes",مستويات س ص، ص ع،ع س,"plans XY, YZ, ZX",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133843,,,True,True
133847,Y - co-ordinate,احداثي صادي,coordonnée Y,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133847,,,True,True
133849,Y intercept,محصورة ص,intercepté de Y,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133849,,,True,True
133848,Y- axis,محور الصادات,axes des Y,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133848,,,True,True
133855,YZ plane,مستوى ص ع,plan YZ,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133855,,,True,True
133854,Young's modulus,معيار يونج,module de Young,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133854,,,True,True
133856,Z intercept,محصورة ع,interceptés de Z,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133856,,,True,True
133857,Z-axis,محور العينات,axe des Z,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133857,,,True,True
133858,Z-co-ordinate,احداث ع,coordonnées Z,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133858,,,True,True
133870,ZX plane,مستوى ع س,plan ZX,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133870,,,True,True
130446,abacus,معداد,abaque,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130446,,,True,True
130452,abbreviation,اختصار,abréviation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130452,,,True,True
130448,abbreviation of an expression,تبسيط عبارة,simplification d'une expression,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130448,,,True,True
130449,abbreviation of fractions,اختصار الكسور,simplification des fractions,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130449,,,True,True
130447,aberration,زَيْغٌ,aberation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130447,,,True,True
133871,aberration,زيغ,aberration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133871,,,True,True
133872,ablation,استئصال,ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133872,,,True,True
130453,abscissa,إحداثي سيني,abscisse; coordonnée X,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130453,,,True,True
130454,absolute,مطلق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130454,,,True,True
130455,absolute acceleration,تسارع مطلق,accélération absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130455,,,True,True
130456,absolute coefficient,معامل مطلق,coefficient absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130456,,,True,True
130457,absolute convergence,تقارب مطلق,convergence absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130457,,,True,True
130458,absolute error,خطأ مطلق,erreur absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130458,,,True,True
133873,absolute magnitude,قدر مطلق,magnitude absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133873,,,True,True
130459,absolute motion,حركة مطلقة,mouvement absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130459,,,True,True
130460,absolute potential,جهد مطلق، كمون مطلق,potentiel absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130460,,,True,True
130461,absolute pressure,ضغط مطلق,pression absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130461,,,True,True
130462,absolute scale,مقياس مطلق,échelle absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130462,,,True,True
130463,absolute term,حدّ مطلق,terme absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130463,,,True,True
130464,absolute units,وحدات مطلقة,unités absolues,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130464,,,True,True
130465,absolute value,قيمة مطلقة,valeur absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130465,,,True,True
130466,absolute value of a complex number,قيمة مطلقة لعدد مركب,valeur absolue d'un nombre complexe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130466,,,True,True
130467,absolute value of a real number,قيمة مطلقة لعدد حقيقي,valeur absolue d'un nombre réel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130467,,,True,True
130468,absolute velocity,سرعة مطلقة,vélocité absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130468,,,True,True
130469,absolute weight,وزن مطلق,poids absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130469,,,True,True
130470,absolute zero,صفر (ال..) المطلق,zéro absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130470,,,True,True
130471,absolutely continuous function,دالة مطلقة الاستمرار,fonction absolument continue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130471,,,True,True
130472,absolutely convergent integral,تكامل متقارب إطلاقا,Intégral absolument convergente,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130472,,,True,True
130473,absolutely convergent series,متسلسلة متقاربة إطلاقا,série absolument convergente,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130473,,,True,True
130474,absorbant,ماصّ,absorbant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130474,,,True,True
130475,abstract,مجّرد,abstrait,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130475,,,True,True
130476,abstract space,فضاء مجرد,espace abstrait,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130476,,,True,True
130477,absurd,غير منطقي,absurde,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130477,,,True,True
130478,abundant numbers,أعداد زائدة,nombres abondants,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130478,,,True,True
133874,accelerated,متسارع,accéléré,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133874,,,True,True
130479,accelerated motion,حركة متسارِعَة,mouvement accéléré,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130479,,,True,True
133875,accelerated movement,حركة متسارعة,mouvement accéléré,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133875,,,True,True
130480,acceleration,تسارع,accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130480,,,True,True
133876,acceleration,تسارع,accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133876,,,True,True
130481,acceleration gradient,تدرّج التسارع,gradient d'accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130481,,,True,True
130482,acceleration of gravity,تسارع الجاذبية,accélération de la pesanteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130482,,,True,True
130483,acceleration vector,متَّجه التسارع,vecteur-accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130483,,,True,True
130484,accumulated value,قيمة متراكمة,valeur cumulée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130484,,,True,True
130485,accumulation,تراكم,accumulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130485,,,True,True
130486,accumulation point,نقطة تراكم,point d'accumulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130486,,,True,True
130487,accuracy,دِقّة,précision,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130487,,,True,True
130488,accurate measuring,قياس دقيق,mesure précise,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130488,,,True,True
130489,accurate to N decimal places,مضبوط لمراتب عشرية عددها ن,précis à N décimales près,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130489,,,True,True
133877,achernar,آخر النهار,achernar; a Eridan,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133877,,,True,True
130490,achieved line,مستقيم مُنجَز,droite achevée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130490,,,True,True
130491,acnode point,نقطة مترافقة,point acnodal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130491,,,True,True
130492,acre,أكر,acre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130492,,,True,True
130493,action,فِعْل,action,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130493,,,True,True
130494,active component,مركّبة فّعالة,composante active,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130494,,,True,True
130495,active force,قوة فعّالة,force active,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130495,,,True,True
133878,active sun,شمس نشطة,soleil actif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133878,,,True,True
130496,actual weight,وزن فعلي,poids effectif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130496,,,True,True
130497,acute,حادّ,aigu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130497,,,True,True
130498,acute angle,زاوية حادّة,angle aigu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130498,,,True,True
130499,acute angled triangle,مثلث حادّ الزوايا,triangle acutangle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130499,,,True,True
130500,acute-angled,حادّ الزوايا,acutangle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130500,,,True,True
130501,acyclic,لا دَوْري,acyclique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130501,,,True,True
130502,ad infinitum,إلى ما لا نهاية,à l'infinitif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130502,,,True,True
130503,add (to),جَمَعَ,additionner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130503,,,True,True
130504,addible,قابل للجمع,sommable,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130504,,,True,True
130505,addition,جَمْع,addition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130505,,,True,True
130506,addition by carrying,جمع بالحمل,addition avec retenue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130506,,,True,True
130507,addition of sets,جمع مجموعات,addition d'ensembles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130507,,,True,True
130508,addition of vectors,جمع المتّجِهات,addition des vecteurs,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130508,,,True,True
130509,addition subtraction formula,صيغة الجمع والطرح,"formule d'addition, de soustraction",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130509,,,True,True
130510,addition subtraction of complex numbers,جمع وطرح الأعداد المركبة,addition soustraction de nombres complexes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130510,,,True,True
130511,addition subtraction of vectors,جمع وطرح المتّجِهات,addition soustraction de vecteurs,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130511,,,True,True
130512,addition without carrying,جمع بدون حمل,addition sans retenue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130512,,,True,True
130513,additive,جَمْعِي,additif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130513,,,True,True
130514,additive function,دالة جمعية,fonction additive,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130514,,,True,True
130515,additive group,زمرة جمعية,groupe additif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130515,,,True,True
