id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
61012,accelerated graphic port (AGP),بَوَّابَةٌ رُسُوميّة مُسَرِّعَة,port graphique accéléré(AGP),Accelerated Graphics Port (AGP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61012,تدعم البتات الكبيرة جدا بالنسبة إلى الرسوم على أجهزة الترئية,,False,True
61013,accelerated graphics adapter,مُكَيِّف رُسُوميّ مُسَرَّع,carte graphique accélérée,beschleunigte Grafikkarte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61013,مكيف رسومي مجهز بدارة مدمجة مسرعة لتسريع استرجاع الأبعاد الصور الثنائية  أو الثلاثية,,False,True
61014,acceptance,قَبُول,réception,Abnahme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61014,مصطلح تجاري يفيد قبول المقتني بالأدوات والتجهيزات التي زوده بها المزود وذلك بعد إجراء الفحوص والتجارب اللازمة,,False,True
61015,acceptance test,فَحْص ُ الْقَبُول,test de réception,Abnahmetest,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61015,مجموعة العمليات التجريبية التي تجرى على نظام أو برمجية جديدة بهدف القبول أو الرفض من طرف المقتني,,False,True
61016,access,وُلُوج,accès,Zugriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61016,الوصول إلى مواقع تخزين المعطيات والمعلومات بهدف التعامل معها,,False,True
61017,access authorization,إذْن بالوُلُوج,autorisation d'accès,Zugriffsautorisierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61017,يُمنح للمستفيد مقابل تعويض مادي أو مجانا، وغالبا ما يتجلى في كلمة سر تمنح للمستفيد يستطيع بواسطتها الولوج إلى المعلومات,,False,True
61018,access capability,قَابِلِيَّة الوُلُوج,capacité d'accès,Zugriffsmöglichkeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61018,إمكانية الولوج إلى معطيات أو خدمات أو شبكة,,False,True
61019,access code authority,حَقّ في شَفَرَات الوُلُوج,droit sur les codes d'accès,Zugriffscodeautorisierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61019,صلاحية جهة ما في منح أو منع شفرات الولوج. وتطلق أيضا على تلك الجهة,,False,True
61020,access control,تحكم في الْوُلُوجِ,contrôle d'accès,Zugriffssteuerung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61020,عملية التحقق من كل راغب في الولوج إلى معطيات أو خدمات أو شبكة,,False,True
61021,access number,رَقْم الوُلُوج,numéro d'accès,Zugriffsnummer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61021,في أنظمة تدبير قاعدات المعطيات عبارة عن رقم يوضع لكل تسجيلة يمكن بواسطته الولوج إليها,,False,True
61022,access permissions,رُخَصُ الْوُلُوج,autorisations d'accès,Zugriffsberechtigungen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61022,تمنح للمستفيدين مقابل تعويض مادي أو مجانا وغالبا ما تتجلى في كلمات سر تعطى للمستفيدين يستطيعون بواسطتها الولوج إلى المعلومات كل حسب معطيات خاصة به,,False,True
61023,access privilege,امْتِيَاز الوُلُوج,privilège d'accès,Zugriffsrecht,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61023,إمكانية الولوج إلى معطيات أو خدمات أو شبكة بكيفية مختلفة عن باقي المستفيدين,,False,True
61024,access provider,مُزَوِّد الْوُلُوج,fournisseur d'accès,Zugangsanbieter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61024,مؤسسة مرتبطة بالشبكة بكيفية دائمة وتزود المستعملين بخدمات إنترنيت حسب شروط معينة,,False,True
61025,access rate,تَعْرفة الوُلُوج,tarif d'accès,Zugriffsgeschwindigkeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61025,القيمة المالية التي يدفعها المستفيد إلى المزود مقابل الحق في الولوج إلى شبكة أو خدمة,,False,True
61026,access right,حَقّ الوُلُوج,droit d'accès,Zugriffsrecht,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61026,تمنح للمستفيدين مقابل تعويض مادي أو مجانا، وغالبا ما تتجلى في كلمات سر تعطى للمستفيدين يستطيعون بواسطتها الولوج إلى المعلومات كل حسب معطيات خاصة به,,False,True
61027,access time,مُدَّةُ الْوُلُوج,temps d'accès,Zugriffszeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61027,الزمن اللازم للوصول إلى مواقع التخزين بهدف التعامل معها,,False,True
61028,accession,اطِّلاع,consultation,Zugang,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61028,عملية الوصول إلى المعلومات في أماكن تخزينها بهدف الاطلاع عليهااِسْتِشَارَة (المرادف العربي),,False,True
61029,accessories,تَوَابِع,accessoires,Zubehör,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61029,مجموع الأدوات مثل حبال الربط والحبال الكهربائية وكذا مجموع الأدوات البرمجية المساعدة التي توفرها مختلف الأنظمة مثل المفكرة والساعة وبعض الألعاب,,False,True
61030,account,حِسَاب,compte,Konto,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61030,حق الولوج إلى حاسوب أو شبكة أو مُزَوِّد أو خِدمة على الخط. ويكون هذا الحق مرتبطا عادة باسم المستفيد وكلمة سر,,False,True
61031,accounting,مُحَاسَبة,comptabilité,Buchhaltung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61031,عملية ضبط الفاتورات وهي ضرورية في الخدمات المؤدى عنها,,False,True
61032,accounting document,وَثيقَة مُحَاسَبة,document comptable,Buchhaltungsbeleg,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61032,وثيقة تبين  مختلف عمليات ضبط الفاتورات وهي ضرورية في الخدمات المؤدى عنها,,False,True
61033,accounting package,بَرْمَجِيَّةُ مُحَاسَبَةٍ,progiciel de comptabilité,Buchhaltungspaket,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61033,برمجية تنجز مختلف عمليات المحاسبة,,False,True
61034,acknowledgement,إِشْعَار بتسلُّم,accusé de réception positif,Bestätigung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61034,إشارة يبعث بها الحاسوب المتلقي يشعر بواسطتها الحاسوب المرسِل بتسلُّم المعطيات المُرسَلة,,False,True
61035,acoustic,صَوْتِيّ,acoustique,akustisch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61035,صفة لكل جهاز أو نظام تكون فيه المعطيات عبارة عن إشارات صوتيةسَمْعِيّ (المرادف العربي),,False,True
61036,acoustic input,مَدْخَلٌ صَوْتيّ,entrée acoustique,akustische Eingabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61036,القناة التي يتم عن طريقها إدخال المعطيات الصوتية إلى الحاسوب وتكون مرتبطة عادة بميكروفون أو جهاز قراءة الأشرطة أو الأقراص الصوتية,,False,True
61037,acoustic output,مَخْرَجٌ صَوْتيّ,sortie acoustique,akustische Ausgabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61037,القناة التي يتم عن طريقها إخراج المعطيات الصوتية من الحاسوب وتكون مرتبطة عادة بمكبر صوت أو جهاز تسجيل,,False,True
61038,acronym,تَرْخِيمَة,sigle,Akronym,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61038,تسمية مختصرة تنطق ككلمة,,False,True
61039,activate,تَنْشِيط,activer,aktivieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61039,عملية تشغيل برنامج أو جزء من برنامج,,False,True
61040,active partition,تَجْزِئَةٌ نَشِيطَة,partition active,aktive Partition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61040,تجزئة القرص الصلب التي يوجد فيها نظام التشغيل,,False,True
61041,active window,نَافِذَة نَشِيطَة,fenêtre active,aktives Fenster,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61041,نافذة يمكن الولوج إلى محتوياتها,,False,True
61042,activex,أكتيف إكس,activex,ActiveX,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61042,تقنية تسمح بإنشاء علاقات تفاعلية بين تطبيقات مختلفة خصوصا بين صفحة ويب ووثيقة أنشئت بواسطة تطبيق آخر مثل جدول من قاعدة معطيات أو ورقة من مُجَدْوِل,,False,True
61043,actualize,تَحْيِين,actualiser,realisieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61043,لفظ عام يطلق على عملية جعل نظام أو أداة أو برنامج أو معطيات يكتسب آخر صيغة له,,False,True
61044,actuate,إِطْلاق,déclencher,betätigen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61044,عملية الشروع في تشغيل حاسوب أو نظام أو برمجية,,False,True
61045,actuation area,مِنْطَقَةُ إطلاق,zone de commande,Betätigungsbereich,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61045,المكان الذي ينقر عليه بواسطة الفأرة لفتح ملف أو تنفيذ برنامج في وجيهة المستعمل الرسومية,,False,True
61046,ad.,إِعْلاَن,ad.,Werbung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61046,يكون الإعلان في صفحات ويب على شكل مساحة مستطيلة الشكل، ذات عدد محدد من البيكسلات، أو صورة، محدودة الحجم. وغالباً ما يكون متحركاً,,False,True
61047,ad. Rotation,تَدْوِيرُ الإعْلانَات,ad. Rotation,Werberotation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61047,تستخدم المساحات الإعلانية على صفحات ويب، لعرض مجموعة إعلانات بالتناوب. وتتوفر برمجيات خاصة لإدارة الإعلانات وعرضها,,False,True
61048,adaptation,تَكْيِيفٌ,adaptation,Adaption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61048,عملية (أو قابلية) تمكن من استعمال آلة لغرض مختلف عن الغرض الذي صممت من أجله. مثلا بطاقة الشبكة التي تمكن من ربط حاسوب بشبكةتَكَيُّفٌ (المرادف العربي),,False,True
61049,adapter,مُكَيِّف,adaptateur,Adapter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61049,تجهيز يمكن من استعمال آلة لغرض مختلف عن الغرض الذي صممت من أجله. مثلا بطاقة الشبكة التي تمكن من ربط حاسوب بشبكةمُوائم (المرادف العربي),,False,True
61050,adapter segment,شُدْفَة المكَيِّف,segment d’adaptateur,Adaptersegment,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61050,مجال ذاكرة سعته  384 كيلو بايت من الذاكرة الاتفاقية,,False,True
61051,add-on-kit,عُدَّة إضَافِيَّة,kit complémentaire,Nachrüstsatz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61051,مجموعة عناصر تشكل وحدة جاهزة,,False,True
61052,address,عُنْوَان,adresse,Adresse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61052,رقم أو اسم حرفي يدل على موقع التخزين في ذاكرة الحاسوب,,False,True
61053,address book,دَفْتَرُ الْعَنَاوِين,carnet d'adresses,Adressbuch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61053,في أدوات تبادل الرسائل عبر الشابكة (الإنترنيت) مكان تُسجل فيه عناوين المراسلين,,False,True
61054,address bus,مَسْلَكُ عَنَاوِين,bus d'adresses,Adressbus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61054,في المعالجات المايكروية هو الحبل المخصص لنقل العناوين في مقابل مسلك المعطيات ومسلك المراقبة,,False,True
61055,address resolution protocol (ARP),بُرُوتُوكُول حَلّ الْعَنَاوِين,protocole de résolution d'adresses,Address Resolution-Protokoll (ARP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61055,هو البروتوكول الذي يترجم عناوين إنترنت، مثل العنوان  212.217.32.136 إلى عناوين فيزيائية في الشبكة. ويعد من مكونات طاقم البروتوكولات الشهير تي سي بي/أي بي,,False,True
61056,address space,حَيِّزُ الْعُنْوَان,espace d'adressage,Adressraum,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61056,مكان في الذاكرة مخصص للعناوين,,False,True
61057,address translation,تَحْوِيلُ العَنَاوِين,conversion d'adresses,Adressübersetzung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61057,عملية تحويل العناوين من الصيغة المنطقية إلى الصيغة الحقيقية الفيزيائية,,False,True
61058,advance research project agency network (Arpanet),شَبَكَةُ وَكَالَة مشَارِيعِ الأَبْحَاثِ المُتَقَدِّمَة,réseau de l'agence pour les projets de recherches avancés,Advance Research Project Agency Network (Arpanet),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61058,شبكة تجريبية أنشأت من طرف قسم الدفاع الأمريكي  في السبعينات لاختبار مدى تقدم مشاريع البحث,,False,True
61059,advanced,مُتَطَوِّر,évolué,erweitert,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61059,لفظ عام يطلق كذلك على لغات البرمجة القريبة من اللغة الرياضية,,False,True
61060,affix,لاَصِقَة,affixe,Anhang,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61060,تقال عن سلسلة من المحارف تسبق كلمة أو تليها أو تدمج فيها لتكون كلمة جديدة,,False,True
61061,aid,أَدَاةٌ,outil,Hilfsmittel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61061,برمجية تقوم بوظيفة مساعدة غير أساسية مثل ضبط الصفحة في نظام معالجة النصوص مثلا,,False,True
61062,aided,مُسَاعَد,assisté,unterstützt,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61062,تقال عادة عن عمل أو وظيفة يقوم بها الإنسان بمساعدة الحاسوب,,False,True
61063,alarm,إِنْذَارَ,alarme,Alarm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61063,إشارة تنبه المستعمل إلى حدوث حالة غير عادية,,False,True
61064,alert,تَحْذَِير,alerte,Warnung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61064,إشارة إلى  ظاهرة غير منتظرة يمكن أن تحدث أثناء تشغيل نظام أو تنفيذ برنامج,,False,True
61065,alert message,رَسِيلَة تَحْذَِير,message d'alerte,Warnmeldung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61065,إشارة نصية أو صوتية يبعثها النظام المشرف عند حدوث ظاهرة غير منتظرة أثناء تشغيل نظام أو تنفيذ برنامج,,False,True
61066,algorithm,خَوَارِزْمِيَّة,algorithme,Algorithmus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61066,مجموعة من القواعد العملية التي تمكن في عدد محدود من المراحل من حل كل المشاكل من نوع محدد. إنها لغة الحاسوب المنطقية,,False,True
61067,alias,مُكَنّى,alias,Alias,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61067,تعليمة تمكن من استدعاء وظيفة خاصة أو آمرة في برنامج باستعمال تسمية مغايرة. وتستعمل المكنيات في معظم لغات البرمجة,,False,True
61068,aline,صَفّ,aligner,ausrichten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61068,عملية جعل سطور النص تبتدئ من المكان نفسه,,False,True
61069,allotment,إسْنَاد,affectation,Zuteilung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61069,إعطاء قيمة لمتغير، أو تخصيص جزء من مكونات الحاسوب لغرض معينتَخْصِيص (المرادف العربي),,False,True
61070,alphabet,أَلِفْبَاء,alphabet,Alphabet,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61070,مجموعة الرموز التي تمكن من تركيب كلمات لغة ما,,False,True
61071,alphabetic character,مِحْرَف أَلِفْبَائِيّ,caractère alphabétique,alphabetisches Zeichen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61071,رمز يعبر عن أحد رموز الألفباء,,False,True
61072,alphabetic character set,مَجْمُوعَة مَحَارِف ألفبائية,jeu de caractères alphabétiques,alphabetischer Zeichensatz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61072,مجموعة الرموز الألفبائية لا تدخل فيها الأرقام والعلامات الخاصة ورموز المراقبة,,False,True
61073,alphagraphical,أَلِفْبَائِيٌّ رُسُومِِيٌّ,alphagraphique,alphagrafisch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61073,وصف لما تجتمع فيه المعطيات في شكل حروف مع المعطيات في شكل رسوم,,False,True
61074,alphanumeric,أَلِفْبَائِيٌّ عَدَدِيٌّ,alphanumérique,alphanumerisch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61074,وصف لما تجتمع فيه المعطيات في شكل حروف مع المعطيات في شكل أعداد,,False,True
61075,alphanumeric sorting,فَرْزٌ أَلِفْبَائِيٌّ عَدَدِيّ,tri alphanumérique,alphanumerische Sortierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61075,فرز على أساس الألفباء من أول حرف إلى آخر حرف أو العكس، وكذا على أساس الأعداد من الصفر إلى التسعة أو العكس,,False,True
61076,alternate character set,مَجْمُوعَة مَحَارِف ثَانَوِيَّة,jeu de caractères secondaire,alternativer Zeichensatz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61076,مجموعة محارف يتم استعمالها بالتناوب مع مجموعة أساسية مثل مجموعة المحارف العربية في مقابل اللاتينية,,False,True
61077,analog,تَمَاثُلِيّ,analogique,analog,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61077,في مقابل رقمي. الإشارة التناظرية يمكن أن تأخذ أية قيمة بين حدين معينين مسبقاتَنَاظُريّ (المرادف العربي),,False,True
61078,analog computer,حَاسُوبٌ تَنَاظُريّّ,ordinateur analogique,Analogcomputer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61078,حاسوب يتعامل مع معطيات مستمرة في مقابل الحاسوب الرقمي الذي يتعامل مع المعطيات الرقمية الثنائية,,False,True
61079,analog input scanner,مِفْرَاسٌ بِدَخْل تَنَاظُريّ,scanner avec entrée analogique,Analogeingangsscanner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61079,يتميز عن المفراس اليدوي بكون النموذج عند وضعه في المفراس يمر فوق مصدر الضوء وفوق المستكشفات، ولا يمكنه أن يعالج إلا الصفحات المنفردة,,False,True
61080,analog-to-digital conversion,تَحْوِيلٌ تنَاظُرِيّ رَقْمِيّ,conversion analogique digitale,Analog-Digital-Wandlung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61080,عملية تحويل الإشارات التناظرية (المستمرة) إلى إشارات رقمية (متقطعة)تَحْوِيلٌ تنَاظُرِيّ عَدَدِيّ (المرادف العربي),,False,True
61081,analyst,مُحَلِّل,analyste,Analyst,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61081,تقال عن الشخص الذي يقوم بمهمة تحليل المشكل المطروح ووضع الخوارزمية المناسبة لحله قبل برمجة الحل على الحاسوب,,False,True
61082,analyzer,مُحَلِّل,analyseur,Abtaster,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61082,برنامج يقوم بقراءة البرامج وتحليلها بهدف الكشف عن الأخطاء الصرفية,,False,True
61083,ancillary,مُسَاعِد,auxiliaire,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61083,تقال عن أداة غير أساسية مثل القرص الذي يمكن اعتباره ذاكرة مساعدة,,False,True
61084,and,عَطْف,conjonction,und,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61084,عملية منطقية من الجبر البولياني نتيجتها صحيحة عندما تكون جميع العُمد صحيحةجَمْعٌ مَنْطِقِيّ (المرادف العربي),,False,True
61085,anomaly,شُذُوذ,anomalie,Abweichung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61085,حادث غير عادي وغير منتظر يمكن أن يقع أثناء تنفيذ برنامجحادث غير عادي وغير منتظر يمكن أن يقع أثناء تنفيذ برنامج وقد يكون ضارا أو غير ضار، وقد يكون ضارا أو غير ضار,,False,True
61086,anonymous,غُفْل,anonyme,anonym,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61086,تقال عن وثيقة (رسالة مثلا) مجهولة المصدر. وتقال أيضا عن اسم المستعمل غير المشارك في الخدمة التي يبحث عنها,,False,True
61087,answering time,مُدَّةُ الإجَابَة,temps de réponse,Antwortzeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61087,تقال عن المدة الزمنية التي يستغرقها أي نظام أو برمجية أو جهاز ليقوم برد فعل عن طلب أو أمر,,False,True
61088,antivirus,مُضَادٌّ لِلْفَيْرُوس,antivirus,Antivirus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61088,يمكن من حماية الحاسوب والأقراص والملفات ضد الفيروسات أو أي برامج مضرة,,False,True
61089,antivirus program,بَرْنَامَجٌ مُضَادٌّ لِلْفَيْرُوسَات,programme antivirus,Antivirenprogramm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61089,يمكن من حماية الحاسوب والأقراص والملفات ضد الفيروسات أو أي برامج مضرة,,False,True
61090,apostrophe,فَاصِلَةٌ عُلْيَا,apostrophe,Apostroph,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61090,(العلامة : '),,False,True
61091,application,تَطْبِيق,application,Anwendung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61091,المشكلة أو النظام موضوع المعالجة,,False,True
61092,application action bar,شَرِيطُ قَائِمَةِ خِيَارَات,barre de menus,Anwendungsaktionsleiste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61092,لوحة تظهر قائمة أسماء تطبيقات فرعية يمكن للمستعمل أن يختار منها ما يريد,,False,True
61093,application developer,مُطَوِّر تَطْبِيقَات,développeur d'applications,Anwendungsentwickler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61093,شخص يقوم بتطوير البرمجيات التطبيقية. وتطلق أيضا على برمجية تساعد على تطوير تلك البرمجيات,,False,True
61094,application development tools,أَدَوَاتُ تَطْوِير التطبيقات,outils de développement d'application,Anwendungsentwicklungstools,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61094,مجموع الأدوات البرمجية التي تساعد على تطوير البرمجيات التطبيقية,,False,True
61095,application package,بَرْمَجِيَّة تَطْبِيقَات جَاهِزَة,progiciel d'application,Anwendungspaket,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61095,مجموعة برامج خاصة بتطبيقات معينة لاستعمالها من طرف أكثر من مستفيد وتقتنى كوحدة متكاملة,,False,True
61096,application program,بَرْنَامَجُ تَطْبِيق,programme d'application,Anwendungsprogramm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61096,برنامج خاص بتطبيق معين لاستعماله من طرف أكثر من مستفيد,,False,True
61097,application program interface (API),وَجِيهَةُ بَرْناَمَجٍ تَطْبِيقِيّ,interface API,Anwendungsprogrammierschnittstelle (API),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61097,مجموعة الاتفاقات والمواضعات التي تحدد كيفية ارتباط برمجية بخدمة ما,,False,True
61098,apply,تَطْبِيق,appliquer,anwenden,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61098,وظيفة توفرها مختلف أنظمة التشغيل تستعمل عندما يراد تغيير بعض مميزات النظام أو مميزات أحد مكوناته,,False,True
61099,archie,أَرْشِي,archie,Archie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61099,نوع الحواسيب الخادمة التي تحصي ملفات المواقع العمومية,,False,True
