id,english,arabic,french,german,vt,uatv,has_image,uri
61050,adapter segment,شُدْفَة المكَيِّف,segment d’adaptateur,Adaptersegment,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61050
61051,add-on-kit,عُدَّة إضَافِيَّة,kit complémentaire,Nachrüstsatz,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61051
61052,address,عُنْوَان,adresse,Adresse,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61052
61053,address book,دَفْتَرُ الْعَنَاوِين,carnet d'adresses,Adressbuch,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61053
61054,address bus,مَسْلَكُ عَنَاوِين,bus d'adresses,Adressbus,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61054
61055,address resolution protocol (ARP),بُرُوتُوكُول حَلّ الْعَنَاوِين,protocole de résolution d'adresses,Address Resolution-Protokoll (ARP),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61055
61056,address space,حَيِّزُ الْعُنْوَان,espace d'adressage,Adressraum,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61056
61057,address translation,تَحْوِيلُ العَنَاوِين,conversion d'adresses,Adressübersetzung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61057
61047,ad. Rotation,تَدْوِيرُ الإعْلانَات,ad. Rotation,Werberotation,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61047
61059,advanced,مُتَطَوِّر,évolué,erweitert,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61059
61058,advance research project agency network (Arpanet),شَبَكَةُ وَكَالَة مشَارِيعِ الأَبْحَاثِ المُتَقَدِّمَة,réseau de l'agence pour les projets de recherches avancés,Advance Research Project Agency Network (Arpanet),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61058
61060,affix,لاَصِقَة,affixe,Anhang,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61060
61061,aid,أَدَاةٌ,outil,Hilfsmittel,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61061
61062,aided,مُسَاعَد,assisté,unterstützt,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61062
61063,alarm,إِنْذَارَ,alarme,Alarm,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61063
61064,alert,تَحْذَِير,alerte,Warnung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61064
61065,alert message,رَسِيلَة تَحْذَِير,message d'alerte,Warnmeldung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61065
61066,algorithm,خَوَارِزْمِيَّة,algorithme,Algorithmus,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61066
61067,alias,مُكَنّى,alias,Alias,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61067
61068,aline,صَفّ,aligner,ausrichten,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61068
61069,allotment,إسْنَاد,affectation,Zuteilung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61069
61070,alphabet,أَلِفْبَاء,alphabet,Alphabet,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61070
61071,alphabetic character,مِحْرَف أَلِفْبَائِيّ,caractère alphabétique,alphabetisches Zeichen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61071
61072,alphabetic character set,مَجْمُوعَة مَحَارِف ألفبائية,jeu de caractères alphabétiques,alphabetischer Zeichensatz,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61072
61073,alphagraphical,أَلِفْبَائِيٌّ رُسُومِِيٌّ,alphagraphique,alphagrafisch,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61073
61074,alphanumeric,أَلِفْبَائِيٌّ عَدَدِيٌّ,alphanumérique,alphanumerisch,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61074
61075,alphanumeric sorting,فَرْزٌ أَلِفْبَائِيٌّ عَدَدِيّ,tri alphanumérique,alphanumerische Sortierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61075
61076,alternate character set,مَجْمُوعَة مَحَارِف ثَانَوِيَّة,jeu de caractères secondaire,alternativer Zeichensatz,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61076
61077,analog,تَمَاثُلِيّ,analogique,analog,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61077
61078,analog computer,حَاسُوبٌ تَنَاظُريّّ,ordinateur analogique,Analogcomputer,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61078
61079,analog input scanner,مِفْرَاسٌ بِدَخْل تَنَاظُريّ,scanner avec entrée analogique,Analogeingangsscanner,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61079
61080,analog-to-digital conversion,تَحْوِيلٌ تنَاظُرِيّ رَقْمِيّ,conversion analogique digitale,Analog-Digital-Wandlung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61080
61081,analyst,مُحَلِّل,analyste,Analyst,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61081
61082,analyzer,مُحَلِّل,analyseur,Abtaster,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61082
61083,ancillary,مُسَاعِد,auxiliaire,,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61083
61084,and,عَطْف,conjonction,und,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61084
61085,anomaly,شُذُوذ,anomalie,Abweichung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61085
61086,anonymous,غُفْل,anonyme,anonym,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61086
61087,answering time,مُدَّةُ الإجَابَة,temps de réponse,Antwortzeit,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61087
61088,antivirus,مُضَادٌّ لِلْفَيْرُوس,antivirus,Antivirus,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61088
61089,antivirus program,بَرْنَامَجٌ مُضَادٌّ لِلْفَيْرُوسَات,programme antivirus,Antivirenprogramm,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61089
61090,apostrophe,فَاصِلَةٌ عُلْيَا,apostrophe,Apostroph,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61090
61091,application,تَطْبِيق,application,Anwendung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61091
61092,application action bar,شَرِيطُ قَائِمَةِ خِيَارَات,barre de menus,Anwendungsaktionsleiste,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61092
61093,application developer,مُطَوِّر تَطْبِيقَات,développeur d'applications,Anwendungsentwickler,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61093
61094,application development tools,أَدَوَاتُ تَطْوِير التطبيقات,outils de développement d'application,Anwendungsentwicklungstools,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61094
61095,application package,بَرْمَجِيَّة تَطْبِيقَات جَاهِزَة,progiciel d'application,Anwendungspaket,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61095
61096,application program,بَرْنَامَجُ تَطْبِيق,programme d'application,Anwendungsprogramm,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61096
61097,application program interface (API),وَجِيهَةُ بَرْناَمَجٍ تَطْبِيقِيّ,interface API,Anwendungsprogrammierschnittstelle (API),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61097
61098,apply,تَطْبِيق,appliquer,anwenden,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61098
61099,archie,أَرْشِي,archie,Archie,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61099
61100,architecture,بِنْيَة,architecture,Architektur,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61100
61101,archival medium,وَسِيط أرْشَفَة,support d'archivage,Archivmedium,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61101
61102,archive,أَرْشيف,archives,Archiv,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61102
61104,archived file,مِلَفّ مُؤَرْشَف,fichier archivé,archivierte Datei,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61104
61103,archive library,مَكْتَبَةُ أرْشَفَة,bibliothèque archive,Archivbibliothek,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61103
61105,archiving,أرْشَفَة,archivage,Archivierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61105
61106,array,مَصْفُوفَةٌ,matrice,Array,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61106
61107,arrow diagram,مُخَطَط سَهْمِيّ,graphe,Pfeildiagramm,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61107
61108,article,بنْد,article,Artikel,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61108
61109,artificial,اصْطِنَاعِيّ,artificiel,künstlich,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61109
61110,artificial intelligence,ذَكَاء اصْطِنَاعِيّ,intelligence artificielle,künstliche Intelligenz,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61110
61111,ascending order,تَرْتِيبٌ تَصَاعُدِيّ,ordre croissant,aufsteigende Reihenfolge,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61111
61112,ASCII (American Standard Code for Information Interchange,آسْكِي,ASCII,ASCII (American Standard Code for Information Interchange),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61112
61113,assignment,إسْنَاد,affectation,Belegung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61113
61114,asterisk,نَجْمَةٌ,astérisque,Sternchen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61114
61115,asynchronous,لا مُتَزَامِن,asynchrone,asynchron,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61115
61116,asynchronous communications port,بَوَّابَة اتِّصَال لا مُتَزَامِن,port de communication asynchrone,asynchroner Kommunikationsanschluss,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61116
61117,asynchronous transfer mode (ATM),مِنْوَالُ نَقْل لا مُتَزَامِن,mode de transfert asynchrone (mode ATM),Asynchronous Transfer Mode (ATM),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61117
61118,asynchronous transmission,إِرْسَالٌ لا مُتَزَامِن,transmission asynchrone,asynchrone Übertragung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61118
61119,attach,إلْحَاق,attacher,anhängen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61119
61120,attached table,جَدْوَلٌ مُلْحَق,table attachée,angehängte Tabelle,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61120
61121,attachment,مُلْحَق,annexe,Anhang,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61121
61122,attachment protocol,بُرُوتُوكُول الإلْحَاق,protocole de connexion,Anhangprotokoll,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61122
61123,attention message,رَسِيلَة انْتِبَاه,message attention,Aufmerksamkeitsnachricht,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61123
61124,attribute,سِمَة,attribut,Attribut,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61124
61125,audio,سَمْعِيّ,audio,Ton,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61125
61126,audio card,بطَاقة صَوْتِيَّة,carte audio,Audiokarte,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61126
61127,audio response,استجابة صوتية,réponse vocale,Sprachausgabe,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61127
61128,audio signal,إشَارَة صَوْتِيَّة,signal audio,Tonsignal,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61128
61129,audio support,سِنَاد صَوْتِيّ,support audio,Audiounterstützung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61129
61130,audit,تَدْقِيق,audit,Audit,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61130
61131,authentication,تَتَبُّث,authentification,Authentifizierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61131
61134,authoring,تَأْلِيف,médiatisation,Dokumenterstellung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61134
61132,author language,لُغَة تَأْلِيف,langage de composition multimédia,Autorensprache,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61132
61133,author system,نِظَام مُؤَلِّف,système auteur,Autorensystem,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61133
61135,authorware,بَرْمَجِيَّة تَأْلِيف,logiciel auteur,Authorware,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61135
61136,auto-answering,جَوَاب آلِيّ,réponse automatique,automatische Beantwortung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61136
61137,auto-indexing,مَثْبَتَة آلِيَّة,indexation automatique,automatische Indizierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61137
61138,auto-log off,خُرُوج آلِيّ,fermeture automatique de session,automatische Abmeldung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61138
61139,automatic,آلِيّ,automatique,automatisch,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61139
61140,automatic abstract,مُلَخَّصٌ تِلْقَائِي,résumé automatique,automatische Zusammenfassung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61140
61141,automatic check,تَدْقِيق آليّ,contrôle automatique,automatische Überprüfung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61141
61142,automatic configuration,تَشْكِيلَةٌ آلِيَّةٌ,configuration automatique,automatische Konfiguration,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61142
61143,automatic hyphenation,قَطْعٌ آلِيٌّ لِلْكَلِمَات,coupure de mots automatique,automatische Silbentrennung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61143
61146,automatician,آليّ (ال...),automaticien,Automatiker,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61146
61144,automatic send-receive,إِرْسَالٌ-اسْتِقْبَالٌ آلِيّ,transmission-reception automatique,automatisches Senden/Empfangen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61144
61145,automatic speech recognition,تَعَرُّفٌ آلِيٌّ عَلَى الكلام,reconnaissance vocale,automatische Spracherkennung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61145
61147,automatism,آلِيَّة,automatisme,Automatismus,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61147
61148,automatization,أَتْمَتَة,automatisation,Automatisierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61148
61149,automaton,أُتْمُوت,automate,Automat,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61149
61150,auto-negotiation,تَفَاوُضٌ تِلْقَائِيّ,auto-negotiation,automatische Aushandlung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61150
61151,autonomous,مُسْتَقِلّ,autonome,autonom,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61151
61152,auto-start,انْطِلاق آلِيّ,démarrage automatique,automatischer Start,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61152
61153,auxiliary,ثَانَوِيّ,secondaire,,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61153
61154,auxiliary storage,خَزَّان مُسَاعِد,mémoire auxiliaire,Hilfsspeicher,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61154
61155,b:,b:,b:,b:,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61155
61156,back,إلَى الْخَلْف,arrière,zurück,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61156
61157,backbone,عَمُودٌ فِقَرِيّ (لِلشَّبَكَة),épine dorsale,Backbone,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61157
61158,background,خَلْفِيَّة,arrière-plan,Hintergrund,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61158
61159,background processing,معالجة في الخلفية,traitement en arrière-plan,Hintergrundverarbeitung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61159
61160,backslash,قَضِيبٌ مَائِلٌ مَعْكُوس,barre oblique inversée,Backslash,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61160
61161,backup copy,نُسْخَةٌ احْتِيَاطيَّة,copie de sauvegarde,Sicherungskopie,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61161
61162,backup file,مِلَفّ احْتِيَاطِيّ,fichier de sauvegarde,Sicherungsdatei,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61162
61163,bad sector,قِطَاعٌ مَعِيب,secteur défectueux,fehlerhafter Sektor,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61163
61164,bad track table (BTT),جَدْوَلُ المَسَالِكِ المَعِيبَة,table des pistes défectueuses,Bad Track Table (BTT),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61164
61165,band rate,سُرْعَةُ نِطَاق,vitesse de transmission,Bandrate,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61165
61166,bandwidth,عَرْضُ نِطَاق,bande passante,Bandbreite,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61166
