id,english,arabic,french,uri,description,vt,uatv
175444,Abrupt speciation,إنواع فُجائيّ، نشأة فجائية للنوع,spéciation brusque,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175444,نشوء الأنواع الفجائيّ نتيجة تغير وراثيّ مفاجئ ينتج على الفور حاجزا انعزاليا بين العشائر لا يمكن عكسه.,True,True
175445,Abundance of mRNAs,معدل وفرة رنا الرسول,abondance des ARNm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175445,متوسط عدد جزيئات رنا الرسول في الخلية الواحدة.,True,True
175446,Abundant mRNAs,وفرة رنا الرسول,ARNm abondants,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175446,وجود نسخ عديدة من أنواع محددة من رنا الرسول النوويّ.,True,True
175447,Acatalasemia; acatalasia,انعدام الكاتلاز,acatalasie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175447,انعدام إنزيم الكاتلاز الوراثيّ في الإنسان الذي ينتقى كصفة جسدية متنحية.,True,True
175448,Acceptor stem; acceptor arm,ذراع متقبِّل,bras accepteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175448,الفرع الثنائيّ الخيوط من جزيء رنا الناقل الذي يلتصق به حمض أمينيّ بواسطة إنزيم سينثيتا امينو أسيتيل رنا الناقل.,True,True
175449,Accession,مَدخَل,accession,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175449,عينة لصفة أو لسلالة أو لعشيرة كبيرة الحجم تحفظ لفترة أو تستخدم مباشرة في أيّ برنامج تربية.,True,True
175451,Accessory DNA,دنا إضافيّ,ADN accessoire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175451,دنا إضافيّ يوجد في بعض الخلايا أو في أثناء بعض أدوار تطورها نتيجة للتضخم الجينيّ.,True,True
175452,Accessory nuclei,نوى إضافية,noyaux accessoires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175452,أجسام شبيهة بالنوى الصغيرة توجد في الخلايا البيضية لمعظم الحشرات الغمدية الأجنحة والنصفية الأجنحة والحرشفية الأجنحة والثنائية الأجنحة، ويغطي هذه الأجسام غشاء مزدوج ذو فتحات حلقية. وهي تتولد من نواة الخلية البيضية قبل أن تنفصل عنها.,True,True
175453,Acclimatisation,تأقلُم,acclimatation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175453,قمة التكيف في وظائف الأعضاء وفي الشكل الخارجيّ للكائنات مع التغيرات البيئية في موطنها وفي موطن آخر.,True,True
175454,Acentric chromosome,صبغيّ عديم القُسَيم المركزيّ,chromosome acentrique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175454,صبغيّ غير قادر على الالتصاق بالمغزل خلال الانقسام الفتيليّ، فيبقى في السائل النوويّ عند الطور الانتهائيّ ويتنكس.,True,True
175455,Acentric fragment,شدفة، جزء بلا قسيم مركزيّ,fragment acentrique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175455,قطعة صبغية من دون قسيم مركزيّ.,True,True
175457,Aceto-orcein,أورسين خلّيّ,acéto-orcéine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175457,محلول يستعمل في تحضير الصبغيات بطريقة الهرس يحتوي 1% أورسين مذاب في 45% من الحامض الخليّ.,True,True
175456,Acetocarmine,كارمين خلِّيّ,acétocarmine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175456,صبغ يستخدم في تلوين الصبغيات المستحضرة بطريقة الهرس، وهو مكون من 5% من محلول الكارمين مذاب في 45 % من الحمض الخلّيّ.,True,True
175458,Achiasmatic,لا تصالبيّ,achiasmatique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175458,صفة للانقسام المنصِّف الذي يحدث بدون تكوّن تصالبات، وهو غالبا ما يتم في الجنس المتباين الأعراس.,True,True
175459,Achlorophyllous,عديمة اليخضور,achlorophyllique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175459,كائنات خالية من اليخضور كما هو الحال في الفطريات.,True,True
175460,Achondroplasia,ودانة,achondroplasie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175460,عيبٌ وراثيّ يورث كصفة جسدية سائدة، ويتصف بقزامة خلقية نتيجة قصور نمو العظام الطويلة، مع جذع سوىّ وقد يترافق مع تشوهات أخرى.,True,True
175461,Achromasia,لا اصطباغية,achromatie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175461,قلة الصباغ في الجلد، عدم تلون الخلايا أو الأنسجة بالأخضبة.,True,True
175462,Achromatic,لا لونيّ، لا تلونيّ,achromatique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175462,وصف لمناطق في النواة لا تتلون بالأصباغ المميزة للصبغيات بسهولة.,True,True
175463,Achromatic lesion,بقعة لا تلونية,lésion achromatique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175463,منطقة في الصبغيّ لا تتلون بالأصباغ .,True,True
175464,Achromatin,أكروماتين,achromatine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175464,المادة الضعيفة التلون التي تكون سائل النواة وشبكيتها وغشاءها.,True,True
175465,Achromia,نُصُول,achromie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175465,عدم وجود الصباغ أو اللون في النسيج كالجلد والقزحية.,True,True
175519,Alien monosomic addition,إضافة صبغية غريبة,addition monosomique étrangère,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175519,مجموعة صبغيات تحتوي صبغيا واحدا إضافيا من نوع مغاير لمجموعته الصبغية.,True,True
175621,Asexual reproduction,تكاثر لا جنسيّ، تكاثر شقيّ,reproduction asexuée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175621,التكاثر من الكائن المفرد الذي لا يشتمل على عملية اتحاد الأمشاج.,True,True
175697,B-chromosomes,صبغيات ب,chromosomes B,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175697,صبغيات صغيرة الحجم وذات بنية ضعيفة، تحتوي (أو بعض أجزائها) على كروماتين غير حقيقيّ كما أنها خالية من الجينات البنيوية.,True,True
175701,B-form; B-structure; B-DNA,بنية بائية,structure B de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175701,"بنية الدنا يكون فيها عدد الأزواج القاعدية لكل لفة من لفات الدنا اللولبيّ عشرة أزواج وتوجد هذه البنية عندما تكون الرطوبة النسبية 92 % (انظر :A-form, C-form).",True,True
175669,"B1,B2,B3,…etc",ب1،ب2،ب3... إلخ,"B1,B2,B3,…etc",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175669,ويقصد بها الجيل الرجعيّ الأول والجيل الرجعيّ الثاني والجيل الرجعيّ الثالث... إلخ على التوالي.,True,True
175670,Back mutation,طفرة رجعية، طفرة عكسية,rétro-mutation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175670,طفرة في جين طافر تعيده إلى حالته الطبيعية.,True,True
175671,Backcross,تهجين راجع، تزاوج رجعيّ,rétro-croisement; croisement de retour,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175671,تهجين الجيل الأول مع أحد الأبوين.,True,True
175672,Backcross generation,جيل التزاوج الرجعيّ,génération de rétro-crsoisement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175672,الذُّرية الناتجة عن التزاوج الرجعيّ.,True,True
175673,Background constitutive synthesis,تركيب بنيويّ خلفيّ,synthèse constitutive,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175673,انتساخ عرضيّ للجينات الموجودة في مشغل مكبوت نتيجة الانفصال المؤقت للكابت (المثبط).,True,True
175679,Balanced stock,عرق متوازن,population équilibrée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175679,سلالة جنسية مختلفة وعلى الرغم من اختلاف زيجوتاتها فإنها تستمر جيلا بعد جيل من غير انتقاء.,True,True
175736,Bridge,جَسْر,pont,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175736,منطقة صبغية توصل بين سنتروميرين يتحركان إلى القطبين المتعاكسين في طور الصعود.,True,True
175740,Bromouracil(-5),برومويوراسيل (5-),bromo-uracile(5-),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175740,مطفر مضاهي البيريميدين.,True,True
175744,C banding,تشريط 'ج',coloration des bandes C,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175744,صباغة لتكوين مناطق ملونة حول الجسيم المركزيّ.,True,True
175745,C form of DNA; cDNA,بنية 'ج',forme C de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175745,"إحدى البيئات الجزيئية للدنا التي توجد في رطوبة أقل من 44 % ويكون فيها عدد الأزواج القاعدية 3,9 في لفة الدنا اللولبيّ (انظر: A form, B,form).",True,True
175746,C value,قيمة الدنا الخلويّ,valeur C,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175746,كمية الدنا (مقيسا بالبيكوغرام للخلية الواحدة) الموجودة في الهيئة الصبغية الفردانية لنوع معين من الكائنات.,True,True
175747,CAAT box,صندوق 'كات',boîte CAAT,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175747,الجزء المحفوظ من الدنا، ويحتوي (70-80) زوجا قاعديا، ويقع في الجهة المعاكسة لنقطة بداية الانتساخ في حقيقيات النواة.,True,True
176084,DNA cloning,استنساخ الدنا,clonage de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176084,عملية تكاثر جزيء من الدنا بكثرة لتكوين نسخ متعددة.,True,True
176085,DNA grooves,أخدودا الدنا,gouttières de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176085,الأخدودان: الضيق (الصغير) والواسع (الكبير) الموجودان على طول خيط الدنا اللولبيّ، حيث يحتل بوليميريز الدنا الأخدود الواسع منهما خلال التكرر، ويحتل بوليميريز الرنا الأخدود الضيق خلال الانتساخ.,True,True
176086,DNA gyrase,جايريز الدنا,gyrase de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176086,إنزيم يحل التفاف لولب الدنا ليعطي المجال للبروتينات للمشاركة في عمليات التكرر والانتساخ والتأشُّب والتصليح.,True,True
176087,DNA ligase,ليغاز الدنا، رابط الدنا,ADN ligase,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176087,إنزيم يحفز على تكوين رابطة ثنائيّ استر الفوسفات في نهايتي الدنا 3 وهيدروكسيل 5 فوسفات.,True,True
176088,DNA loop,عروة دنا,boucle d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176088,فقاعة تتكون في جزيء الدنا الضعفانيّ أثناء الانتساخ نتيجة انزياح الخيط الأبويّ غير المتكرر بالخيط القياديّ المتكرر.,True,True
176089,DNA polymerase,إنزيم (ال...) المبلمر لمركب الدنا,polymérase d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176089,إنزيم يستطيع بناء سلسلة الدنا باستعمال قالب، وهناك أنواع مختلفة من هذه الإنزيمات.,True,True
176090,DNA probe,مسبار الدنا,sonde d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176090,دنا مشع يستعمل للتعرف على مورثات الدنا أو نتاجاتها.,True,True
176091,DNA puff,انتفاخ الدنا,nodule chromosomique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176091,منطقة منتفخة محددة ومعينة في الصبغيّ تظهر نتيجة انتساخ مكثف للمورثات.,True,True
176092,DNA restriction enzyme,إنزيم دنا حصريّ,enzyme de restriction d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176092,إنزيم خاص يتعرف على تتالٍ معين في الدنا ويقطع خيطي الدنا عنده.,True,True
176093,DNA sequence,تسلسل الدنا,séquence d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176093,تسلسل القواعد في الحمض النوويّ الريبوزيّ اللاأكسجينيّ، يتعين فيه موضع كل قاعدة من قواعد الدنا.,True,True
176094,DNA sequencing technique,تقنية سلسلة الدنا,technique de séquençage d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176094,طريقة متبعة للتعرف على سياق الدنا، ومنها الطريقة المسماة بطريقة الزائد والناقص، ويتم فيها تصنيع الدنا في الخارج، و يوسم أحد نكليوداته شعاعيا ويقارن مع الدنا المدروس.,True,True
176095,DNA spacer,دنا فاصِل,ADN intercalaire; ADN éspaceur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176095,قسم من الدنا يوجد بين المورثات التي تنسخ وهذا الجزء لا ينتسخ ولا يرمز إلى بروتين معين.,True,True
176096,DNA unwinding protein,بروتين فك الدنا,protéine de dislocation d'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176096,بروتين يزيل اللولب في السلسلة اللولبية الثنائية، ويفصل السلسلتين أو الخيطين أحدهما عن الآخر، فيمكّن إنزيم بلمرة الدنا من القيام بالانتساخ.,True,True
176098,DNA-RNA hybrid,هجين دنا-رنا,hybride ADN-ARN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176098,لولب مزدوج مكون من سلسلة دنا مرتبطة هيدروجينيا بسلسلة رنا متممة.,True,True
176097,DNA-dependent RNA polymerase,بوليميريز الرنا المعتمد على الدنا,ARN polymérase dépendante de l'ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176097,إنزيم بوليميريز الرنا الذي يولد نسخة الرنا الأولية لتنسخ الدنا.,True,True
176008,Dalton,دالتون,dalton,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176008,وحدة كتلة ذرة واحدة من الهيدروجين.,True,True
176050,Diplochromosome,صبغيّ ثنائيّ,Diplochromosome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176050,صبغيّ بأربع كروماتيدات يتولد من تضاعف شاذ حيث لا ينقسم فيه القسيم المركزيّ ولا تنفصل فيه الكروماتيدات الشقيقة عن بعضها البعض.,True,True
176099,Domain,حقل، ميدان,domaine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176099,منطقة واسعة من الدنا تحتوي جينا حساسا للانفصام بدنا إيز.,True,True
176115,Down's syndrome,متلازمة 'داون',syndrome de Down,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176115,وجود صبغيّ جسديّ رقم 21 زائد في النواة، فتصبح ثلاثية الصبغيّ 21، وهذا يؤدي إلى التخلف العقليّ في الإنسان.,True,True
176118,Duplex,مزدوج مضاعف,duplex,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176118,رباعيّ الصيغة الصبغية الجسديّ الذي يحتوي على زوجي جينوم من الهيئات الصبغية، يتشابه كل زوج منهما مع الآخر.,True,True
176127,"E1,E2,E3",ج1، ج2، ج3,"E1,E2,E3",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176127,الأجيال، الأول والثاني والثالث، التي تولد بعد إجراء بعض التجارب على الكائنات.,True,True
176153,EMS=Ethyle form of Methane sulfonate,إثيلين,forme éthylique du methane sulfonte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176153,مواد ذات تأثير على جزيئات البروتينات النووية تستخدم بمعدلات معتدلة لإحداث الطفرات.,True,True
176141,Edward's syndrome,متلازمة إدوارد,syndrome d'Edward,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176141,مجموعة عيوب وراثية في الإنسان، تتسبب عن وجود صبغيّ 18 إضافيّ.,True,True
176144,Ehlers-Danlos syndrome,متلازمة ايلرز-دنلوس,syndrome d'Ehlers-Danlos,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176144,مجموعة من الأمراض الوراثية تتصف بزيادة مرونة وهشاشة الجلد نتيجة تثبيط توليد الكلاجين في الجسم وذلك لخلل في بعض المورثات الجسدية وصبغيّX.,True,True
176237,F-episome,يصبوغ 'ف',épisome F,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176237,يصبوغ حامل لعامل الخصوبة. (انظر :Episome).,True,True
176261,F-met RNA,ف-مت رنا الناقل,f-met ARN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176261,مركب من فورميل ميثايونين و رنا الناقل.,True,True
176224,F1=first filia,ف 1، جيل (ال...) البنويّ الأول,F1 = première génération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176224,النسل الناتج عن أول تهجين للحيوان أو النبات، ويسمى الجيل الأبويّ الأول، أي الجيل الأبويّ الذي بدأ منه التهجين.,True,True
176225,F2= second filia,ف2، جيل (ال...) البنويّ الثاني,F2=deuxième génération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176225,النسل الناتج عن تهجين الجيل البنويّ الأول.,True,True
176229,FAD=flavin Adenin Dinucleotide,ف.أ.د، أدنين ثنائيّ نكليوتيدات الفلافين,FAD=flavin Adénin Dinucléotide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176229,تميم إنزيم مكون من فوسفات الريبوفلافين وحمض الأدينيليك.,True,True
176262,FMN = flavin monoucleotide,فلافين أحاديّ النكليوتيد,flavine monocléotide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176262,فوسفات الريبوفلافين وهو تميم للعديد من الإنزيمات.,True,True
176226,Fabry disease,مرض 'فابري',maladie de Fabry,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176226,مرض وراثيّ في الإنسان مرتبط بالجنس يسببه نقص إنزيم معين.,True,True
176249,Filter hybridization,تهجين ترشيحيّ,hybridation par filtration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176249,تعريض دنا ممسوخ، فردانيّ الخيط ومثبت على مرشحة نتروسلّيلوز، إلى محلول دنا مشع أو رنا مشع فردانيّ، وبعد غسل المرشحة لا تبقى عليها إلا الجزيئات الهجينة ثنائية الخيوط.,True,True
176286,G banding,تشريط'جي',bande G,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176286,عملية صبغ الصبغيات بمصبغ 'جيما' حيث تظهر على أذرعها مناطق تشريط داكنة مميزة لكل صبغيّ.,True,True
176287,G1;growth phase1; growth period1,طور النمو الأول,phase de croissance 1; phase G1,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176287,وهي الفترة بين نهاية الانقسام السابق للخلية وبداية التضاعف الصبغيّ فيها عند الخلايا حقيقية النواة.,True,True
176288,G2;growth phase2; growth period2,طور النمو الثاني,phase de croissance 2; phase G2,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176288,وهي الفترة بين نهاية التكرر الصبغيّ حتى بداية الانقسام التالي عند الخلايا حقيقية النواة.,True,True
176441,GT-AG rule,قاعدة جي تي -أجي,règele GT-AG,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176441,مفصل إنترون الذي يبدأ بثنائيّ نكليوتيدات جي تي وينتهي بـ: أجي المماثلين لشمال ويمين موقع المفصل.,True,True
176304,Gene bank,بنك المورثات,banque de gène,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176304,مركز المصادر الوراثية.,True,True
176436,Groove,أخدود,sillon; gouttière,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176436,الأخدود، الكبير أو الصغير، الذي يوجد في جزيء الدنا اللولبيّ المزدوج والذي يوجد فيه البروتين النوويّ.,True,True
176542,H-X antigen,مستضد H-X,antigène H-X,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176542,مستضد التوافق النسيجيّ المرموز له بموضع على صبغيّ X.,True,True
176467,HAT,بيئة 'هات',HAT,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176467,بيئة لنمو خلايا حيوانية معينة تستعمل لانتخاب الخلايا الهجينة، وتحتوي هذه البيئة على هايبوزانثين وثايمدين كاينيز وأمينوبتيرين.,True,True
176504,HFR strain,سُلالة 'هف.ر'، نسيلة 'هف.ر',lignée HFR,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176504,سلالة الاشريكية القولونية عالية التأشُّب، ويكون عامل إخصابها مندمجا مع صبغيّ البكتيريا.,True,True
176512,HLA; human leucocyte antigen,هـ.ل.أ,antigène du leucocyte humain; HLA,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176512,مستضد الكرية البيضاء البشرية.,True,True
176457,Haldane's law,قانون 'هالدن',loi de haldane,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176457,وينص على أنه إذا كان أحد الجنسين من توالد هجين، نادرا أو غائبا أو عقيما، فهو الجنس المتباين الأعراس.,True,True
176466,Hardy-Weinberg law,قانون 'هاردي- فاينبرغ',loi de hardy-weinberg,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176466,بقاء تكرارات الأليلات وتكرارات النمط الوراثية الثابتة في جماعة ضخمة تتزاوج عشوائيا في انعدام الهجرة والتطفر والانتخاب.,True,True
176515,Holliday model,طراز 'هوليداي',modèle de Holiday,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176515,نموذج يصف حوادث الانفصامات والالتحامات التي تحدث خلال عملية التعابر بين صبغيين متماثلين.,True,True
176516,Holocentric,منتشر القسيمات المركزية,holocentrique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176516,صبغيّ ذو قسيمات مركزية منتشرة.,True,True
176585,"I1,I2,I3…etc",آي1،آي2، آي3... إلخ,"I1,I2,I3…etc",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176585,الجيل الأول والثاني والثالث المولد من زواج الأقارب.,True,True
176712,J chain,سلسلة 'جي',chaîne J,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176712,بروتين صغير يزن حوالي (15000) دالتون، يربط موجودات مكثر الغلوبين المناعيّ بعضها ببعض.,True,True
176713,J genes,مورثات 'جي',gènes J,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176713,سلسلة من أربعة أو خمسة أسيقة نكليوتيدات متشابهة ومرتبة، واحداً تلو الآخر، وترمز إلى المناطق المتغيرة للسلاسل الثقيلة والخفيفة للغلوبين المناعيّ، وهي تربط نهاية أحد مورثات المناطق المتغيرة ببداية أحد مورثات المناطق الثابتة.,True,True
176750,Kb; kilobase,كيلوباز,Kb; kilobase,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176750,وحدة قياس طول الأحماض النووية وتساوي طول (1000) نكليوتيد.,True,True
176758,Kleinschmidth's spreading technique,طريقة نشر 'كلاينشميدث',technique de diffusion de kleinschmidth,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176758,طريقة تساعد على رؤية جزيئات الدنا بالمجهر الإلكترونيّ، وذلك بنشرها على فلم بروتينيّ مكون على سطح محلول مائيّ.,True,True
176759,Klenow fragment,شدفة 'كلينو',fragment de klenow,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176759,جزيء من إنزيم بوليمراز الدنا البكتيريّ الذي يتكون بالانحلال البروتينيّ.,True,True
176760,Klinefelter's syndrome,متلازمة 'كلاينفنتر',syndrome de klinefelter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176760,خصائص نمط مظهرية ذكرية بشرية شاذة، لتكوين صبغيّ إكس إكس واي XXY.,True,True
176762,Konberg's enzyme,إنزيم 'كونبرغ',enzyme de konberg,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=176762,إنزيم بوليميريز الدنا في الأشريكية القولونية (E-Coli)، ويسمى الآن بوليمراز الدنا، ويقوم بوظيفة في التركيب الإصلاحيّ للدنا.,True,True
