term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sl,zh
807-01-14,interleaving,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-14,الفصل البيني للكلمات الأصلية المتتابعة,"Verschachtelung, f",interleavingshuffling,intercalado,"entrelacement, m",Interlacciamento,はさみ込み,끼워넣기인터리빙,przeplatanie tasowanie,entrelaçamento,vmešavanjeprepletanje,交织交错
807-01-15,cross interleaved Reed-Solomon code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-15,ترميز (ريد سولومون) بالفصل البيني المتقاطع,"Cross-Interleave-Reed-Solomon-Code, mCIRC, Abkürzung",cross interleaved Reed-Solomon codeCIRC (abbreviation),CIRC (abreviatura)código Reed-Solomon intercalado,"code Reed-Solomon entrelacé, mCIRC (abréviation) m",codice interlacciato Reed-Solomon CIRC,"交さはさみ込みReed-SolomonコードCIRC, （略語）",교차끼워넣기 리드솔로몬 부호,kod krzyżowo-przeplatany Reeda-Solomona CIRC (akronim),código Reed-Solomon entrelaçadoCIRC (abreviatura),Reed-Solomonov kod s prečnim vmešavanjemCIRC,交叉交织里德索罗门码CIRC
807-01-16,error concealment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-16,اخفاء الأخطاء,"Fehlerverdeckung, f",error concealment,enmascaramiento de errores,"masquage d'erreurs, m",mascheramento degli errori,誤りえん（掩）蔽,오류 은폐,maskowanie błędu ukrywanie błędu,cancelamento de erros,prikrivanje napak,误码掩蔽
807-01-17,multipass error rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-17,معدل الخطأ  متعدد المرور,"Fehlerhäufigkeit bei mehrfachem Durchlauf, f",multipass error rate,tasa de error multiciclo,"taux d'erreurs après utilisations répétées, m",tasso di errore in multigenerazione,マルチパス誤り率,다중패스 오류율다중통과 오류율,częstość błędów wielokrotnego przenoszenia,taxa de erros após múltiplas passagens,stopnja napak po večkratni uporabi,多次通过误码率
807-01-18,digital active line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-18,الخط الفعال الرقمي,"digitale aktive Zeile, f",digital active line,línea digital activa,"ligne numérique active, f",riga attiva digitale,デジタル能動回線,디지탈 능동 회선,linia cyfrowa czynna,linha digital activa,aktivna digitalna vrstica,数字有效行
807-01-19,segment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-19,فلقة، شريحة,"Segment, n",segment,segmento,"segment, m",segmento,セグメント,단편세그먼트,segment,segmento,segment,段
807-01-20,outer (error correction) code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-20,شفرة (تصحيح الخطأ) خارجية,"äußerer Fehlerkorrekturcode, mäußerer Code, m",outer (error correction) codeouter ECC,código externocódigo externo de corrección de error,"code correcteur d'erreur externe, mcode externe, m",codice correttore di errore esterno,誤り訂正外端コード外端ECC外端コード,외부 오류정정 부호,kod korekcyjny zewnętrzny,código (corrector de erro) externo,zunanji (korekcijski) kodzunanji kod,外纠错码
807-01-21,inner (error correction) code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-21,شفرة (تصحيح الخطأ) داخلية,"innerer Fehlerkorrekturcode, minnerer Code, m",inner (error correction) codeinner ECC,código internocódigo interno de corrección de error,"code correcteur d'erreur interne, mcode interne, m",codice correttore di errore interno,誤り訂正内端コード内端ECC内端コード,내부 오류정정 부호,kod korekcyjny wewnętrzny,código (corrector de erro) interno,notranji (korekcijski) kodnotranji kod,内纠错码
807-01-22,outer (error code) check data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-22,بيانات فحص (شفرة الخطأ) الخارجي,"Prüfdaten des äußeren Fehlerkorrekturcodes, pl",outer (error code) check data,datos de comprobación del código externo,"données de contrôle du code externe, f pl",dati di controllo del codice esterno,誤り訂正外端チェックデータ外端チェックデータ,외부 오류정정 검사 데이터,dane kontrolne zewnętrzne,dados de controlo do código externo,preverjalni podatki za zunanji kod,外误码检验数据
807-01-23,inner (error code) check data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-23,بيانات فحص (شفرة الخطأ) الداخي,"Prüfdaten des inneren Fehlerkorrekturcodes, pl",inner (error code) check data,datos de comprobación del código interno,"données de contrôle du code interne, f pl",dati di controllo del codice interno,誤り訂正内端チェックデータ内端チェックデータ,내부 오류정정 검사 데이터,dane kontrolne wewnętrzne,dados de controlo do código interno,preverjalni podatki za notranji (korekcijski) kod,内误码检验数据
807-01-24,sector array,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-24,مصفوفة قطاع,"Sektor-Array, m",sector array,agrupamiento de sector,"tableau de secteur, m",matrice del settore,セクタ配列,섹터 배열부문 배열,tablica sektora,tabela de sector,sektorsko polje,扇区阵列
807-01-25,sector sub-array,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-25,مصفوفة قطاع فرعي,"Sektor-Subarray, m",sector sub-array,,"sous-tableau de secteur, m",sommatrice del settore,セクタ小配列,섹터 부배열부문 부배열,podtablica sektora,sub-tabela de sector,sektorsko podpolje,扇区子阵
807-01-26,outer code block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-26,مجموعة شفرة خارجية,"äußerer Codeblock, m",outer code block,bloque de código externo,"bloc de code externe, m",blocco di codice esterno,外端コードブロック,외부 부호 블록,blok kodu zewnętrznego,bloco de código externo,blok zunanjega koda,外码块
807-01-27,inner code block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-27,مجموعة شفرة داخلية,"innerer Codeblock, m",inner code block,bloque de código interno,"bloc de code interne, m",blocco di codice interno,内端コードブロック,내부 부호 블록,blok kodu wewnętrznego,bloco de código interno,blok notranjega koda,内码块
807-01-28,sync block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-28,مجموعة تزامن,"Synchronisationsblock, m",sync block,bloque de sincronización,"bloc de synchronisation, m",blocco di sincronizzazione,同期ブロック,동기 블록,blok synchronizacji,bloco de sincronização,sinhronizacijski blok,同步块
807-02-01,track (on a digital recording medium),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-01,مسار (في وسط تسجيل رقمي),"Spur (auf einem digitalen Aufzeichnungsmedium), f",track (on a digital recording medium),pista (en un medio de grabación digital),"piste, f",traccia,"トラック, <デジタル記録媒体上で>，（１）","트랙, 디지털 기록 매체",ścieżka ślad,trilho,sled na nosilcu za digitalno zapisovanje-snemanje,"轨迹, <数字记录媒体上>"
807-02-02,track (in the compact disc digital audio system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-02,مسار ( في النظام الرقمي السمعي  ذي القرص المدمج),"Titel (im CD-System), mTrack (im CD-System), m",track (in the compact disc digital audio system),pista (en el sistema digital de audio por disco compacto),plage (dans le système audionumérique à disque compact) f,traccia,"トラック, <コンパクトデスクデジタル記録システムの>，（２）","트랙, <CD 디지털 오디오 시스템>",pole ścieżki,pista (num sistema digital áudio de disco compacto),sled na kompaktni plošči digitalnega avdio sistema,"轨迹, <CD数字音频系统中>"
807-02-03,sector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-03,قطاع,"Sektor, m",sector,,"secteur, m",settore,セクタ,섹터,sektor,sector,sektor,扇区
807-02-04,track pitch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-04,خطوة مسار,"Spurabstand, m",track pitch,paso entre pistas,"écart entre pistes, m",distranza tra le tracce,トラックピッチ,트랙 간격,odstęp między ścieżkami,passo de trilho,medsledni razmik,轨迹节距
807-02-05,recording density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-05,كثافة تسجيل,"Aufzeichnungsdichte, f",recording density,densidad de grabación,"densité d'enregistrement, f",densità di registrazione,記録密度,기록 밀도,gęstość zapisu,densidade de gravação,zapisovalna gostotasnemalna gostota,记录密度
807-02-06,track density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-06,كثافة مسار,"Spurdichte, f",track density,densidad de pistas,"densité transversale, f",densità di traccia,トラック密度,트랙 밀도,gęstość poprzeczna (ścieżek),densidade transversal,gostota sledi,轨迹密度
807-02-07,linear recording density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-07,كثافة تسجيل خطية,"lineare Aufzeichnungsdichte, f",linear recording density,densidad longitudinal,"densité longitudinale, f",densità di registrazione lineare,直線トラック密度,선형기록밀도,gęstość wzdłużna (ścieżek),densidade longitudinal,vzdolžna zapisovalna gostotavzdolžna snemalna gostota,线记录密度
807-02-08,automatic track finding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-08,تعيين تلقائي لمسار,"automatische Spurnachführung, fATF, Abkürzung",automatic track findingATF (abbreviation),ATF (abreviatura)búsqueda automática de pista,"recherche automatique de piste, fATF (abréviation) f",ricerca automatica di traccia,"オートトラッキングATF, （略語）",자동 트랙찾기,śledzenie automatyczne ścieżki ATF (akronim),procura automática de pistaATF (abreviatura),avtomatična poiskava slediATF,自动寻迹自动跟踪自动循迹
807-02-09,interblock gap (in DAT system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-09,فجوة القالب البينية (في نظام الأشرطة السمعية الرقمية),"Trennbereich (im DAT-System), mIBG, Abkürzung",interblock gap (in DAT system)IBG (abbreviation),espacio interbloques (en sistemas DAT)IBG (abreviatura),espace interbloc (dans le système DAT) mIBG (abréviation) m,spazio interblocco,"ブロック間ギャップ, <DATシステムの>IBG, （略語）","블록 간 간격, <DAT 시스템>",szczelina międzyblokowa (w systemie DAT) IBG (akronim),hiato interblocos (no sistema DAT)IBG (abreviatura),medblokovni presledek v sistemu DATIBG,"块间间隙, <DAT系统中>"
807-02-10,reference track,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-10,مسار مرجعي,"Bezugsspur, f",reference track,pista de referencia,"piste de référence, f",traccia di riferimento,基準トラック,기준 트랙,ścieżka odniesienia,pista de referência,referenčna sled,参考轨迹
807-02-11,track number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-11,رقم مسار,"Titelnummer (im CD-System), fTracknummer (im CD-System), f",track number,número de pista,"numéro de plage, m",numero di traccia,トラック番号,트랙 번호,numer ścieżki,número de pista,številka sledi,轨迹号
807-02-12,index (in CD or DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-12,دليل (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"Index (in CD- oder DAT-Systemen), m",index (in CD or DAT systems),,index (dans les systèmes CD ou DAT) m,indice,"索引, <CDまたはDATシステムの>","색인, CD 또는 DAT 시스템찾아보기, CD 또는 DAT 시스템",indeks (w systemach CD lub DAT),índice (nos sistemas CD ou DAT),indeks pri sistemih CD ali DAT,"索引, <CD或DAT系统中>"
807-02-13,programme area (in CD or DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-13,منطقة البرنامج (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"Programmbereich (in CD- oder DAT-Systemen), m",programme area (in CD or DAT systems),zona de programa (en sistemas CD o DAT),zone de programme (dans les systèmes CD ou DAT) f,area di programma,プログラム領域,"프로그램 영역, <시디 디지털오디오 시스템>",obszar programowy (w systemach CD lub DAT),zona de programa (nos sistemas CD ou DAT),območje programa pri sistemih CD ali DAT,"节目区, <CD或DAT系统中>"
807-02-14,table of contents (in CD or DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-14,جدول المحتويات (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"Inhaltsverzeichnis (in CD- und DAT-Systemen), nTOC, Abkürzung",table of contents (in CD or DAT systems)TOC (abbreviation),lista de contenidos (en sistema CD o DAT),table des matières (dans les systèmes CD ou DAT) fTM (abréviation) f,tavola dei contenuti,"目次, <CDまたはDATシステムの>TOC, （略語）","목차, CD 또는 DAT 시스템",tablica zawartości (w systemach CD lub DAT) TOC (akronim),sumário (nos sistemas CD ou DAT)TOC (abreviatura),pregled vsebine pri sistemih CD ali DAT,"目录表, <CD或DAT系统中>"
807-02-15,user's table of contents,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-15,جدول المحتويات لمستخدم,"Nutzer-Inhaltsverzeichnis, nU-TOC, Abkürzung",user's table of contentsU-TOC  (abbreviation),lista de contenidos del usuario,"table des matières utilisateur, f",tavola dei contenuti utenti,"使用者作成目次U-TOC, （略語）",사용자 목차,tablica zawartości użytkownika U-TOC (akronim),sumário de utilizadorU-TOC (abreviatura),uporabnikov pregled vsebine,用户目录表
807-02-16,lead-in area (in CD or DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-16,منطقة المقدمة (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"Einlaufbereich (in CD- oder DAT-Systemen), m",lead-in area (in CD or DAT systems),zona de entrada (en sistemas CD o DAT),zone d'entrée (dans les systèmes CD ou DAT) f,area di ingresso,"導入領域, <CDまたはDATシステムの>","도입 영역, 시디 디지털오디오 시스템리드인 영역, 시디 디지털오디오 시스템",obszar wejściowy (w systemach CD lub DAT),zona de entrada (nos sistemas CD ou DAT),vhodno območje pri sistemih CD ali DAT,"引入区, <CD或DAT系统中>导入区"
807-02-17,lead-out area (in CD or DAT systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-17,منطقة المؤخرة (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"Auslaufbereich (in CD- oder DAT-Systemen), m",lead-out area (in CD or DAT systems),zona de salida (en sistemas CD o DAT),zone de sortie (dans les systèmes CD ou DAT) f,area di uscita,"導出領域, <CDまたはDATシステムの>","도출 영역, 시디 디지털오디오 시스템리드아웃 영역, 시디 디지털오디오 시스템",obszar wyjściowy (w systemach CD lub DAT),zona de saída (nos sistemas CD ou DAT),izhodno območje pri sistemih CD ali DAT,"引出区, <CD或DAT系统中>导出区"
807-02-18,start ID,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-18,علامة تشير للبداية,"Start-ID, f",start ID,identificador de comienzo,"identificateur de début, m",identificatore di inizio,開始ID,시작 아이디시작 식별번호,identyfikacja początku start ID,identificador de início,oznaka začetkastartni ID,起始ID
807-02-19,skip ID,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-19,علامة تشير للتخطي,"Titelsprung-ID, f",skip ID,identificador de salto,"identificateur de saut, m",identificatore di salto,飛び越しID,넘김 식별번호넘김 아이디,identyfikacja przeskoku,identificador de salto,oznaka preskokapreskočni ID,跳越ID
807-02-20,skip area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-20,منطقة التخطي,"Titelsprungbereich, m",skip area,zona de salto,"zone de saut, f",area di salto,飛び越し領域,넘김 영역도약 영역,obszar przeskoku,zona de salto,preskočno območje,跳越区
807-02-21,absolute time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-21,زمن مطلق,"Absolutzeit, fA-Zeit, Abkürzung",absolute timeA. time  (abbreviation),tiempo A (abreviatura)tiempo absoluto,"temps absolu, mtemps A.  (abréviation) m",tempo assoluto,"絶対時間, <CDまたはDATシステムの>A時間",절대 시간,czas absolutny,tempo absolutotempo A. (abreviatura),absolutni časčas A,绝对时间
807-02-22,point time (in CD and DAT system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-22,زمن النقطة (في انظمة الأشرطة السمعية الرقمية أو الأقراص المدمجة),"P-Zeit (im CD- und DAT-System), f",point time (in CD and DAT system)P. time  (abréviation),tiempo O (abreviatura)tiempo origen (en sistemas CD o DAT),temps origine (dans les systèmes CD ou DAT) mtemps O.  (abréviation) m,tempo di origine,"場所時間, <CDまたはDATシステムの>P時間","장소 시간, 시디 디지털오디오 시스템",czas startu programu (w systemach CD lub DAT),tempo origem (nos sistemas CD ou DAT)tempo O. (abreviatura),začetni čas programa pri sistemih CD in DATčas P,"节目位置时间, <CD或DAT系统中>"
807-02-23,main code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-23,رمز رئيستشفير رئيسى,"Hauptcode, m",main code,código principal,"code principal, m",codifica principale,主コード,주 부호,kod główny,código principal,glavna koda,主码
807-02-24,category code (in the DAT system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-24,رمز الصنف (في نظام الأشرطة السمعية الرقمية)تشفير للأصناف,"Kategoriecode (im DAT-System), m",category code (in the DAT system),código de tipo (en sistemas DAT),code de genre (dans le système DAT) m,codifica di categoria,カテゴリコード,"분류 부호, 디지털오디오테이프 시스템범주 부호, 디지털오디오테이프 시스템",kod rodzaju informacji (w systemie DAT),código de categoria (no sistema DAT),koda zvrsti pri sistemu DAT,"种类码, <DAT系统中>"
807-02-25,preamble,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-25,اشارة بداية,"Präambel, f",preamble,preámbulopreinicio,"préambule, m",preambolo,予備同期,전송전동기프리앰블,preambuła,preâmbulo,preambula,前置码前同步信号
807-02-26,postamble,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-26,اشارة انتهاء,"Postambel, f",postamblepostscript,postdatapostfinal,"postambule, m",postambolo,補充同期,전송후동기포스트앰블,postambuła,postâmbulo,postambula,后置码后同步信号
807-02-27,direct read after write,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-27,القراءة مباشرة بعد الكتابة,"Hinter-Band-Hören, nDRAW, Abkürzung",direct read after writeDRAW (abbreviation),DRAW (abreviatura)escritura-lectura inmediata,"écriture-lecture immédiate, fDRAW (abréviation) f",scrittura - lettura immediata DRAW,"書き換え可能型DRAW, （略語）",기록후 직접판독디아르에이더블유,odczyt bezpośredni (po zapisaniu),escrita-leitura imediataDRAW (abreviatura),neposredno branje po vpisovanjuDRAW,写后直读DRAM
807-02-28,Write Once Read Many,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-28,الكتابة مرة واحدة مع القراءة المتعددة,"WORM, Abkürzung",Write Once Read ManyWORM (abbreviation),soporte grabable una sola vezWORM (abreviatura),"support enregistrable une seule fois, mWORM (abréviation) m",supporto registrabile una sola volta WARM,"追記型WORM, （略語）",일회기록 복수읽기웜,zapis jednokrotny odczyt wielokrotny,suporte gravável uma só vezWORM (abreviatura),enkratni vpisvečkratno branjeWORM,一次写多次读WORM
807-02-29,international standard recording code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-29,رمز تسجيل قياسي دولي,"Internationaler Standard Ton- und Bildtonaufnahmeschlüssel, mISRC, Abkürzung",international standard recording codeISRC (abbreviation),código internacional normalizado de grabaciónISRC (abreviatura),"code international normalisé d'enregistrement, mISRC (abréviation) m",codice iternazionale normalizzato di registrazione ISRC,"国際記録コード規格ISRC, （略語）",국제 표준 녹음 부호아이에스아르시,kod rejestracji znormalizowany międzynarodowo,código internacional normalizado de gravaçãoISRC (abreviatura),mednarodni standardni zapisovalni kodISRC,国际标准记录码ISRC
807-02-30,sector timing error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-30,خطأ توقيت القطاع,"Sektor-Zeitfehler, m",sector timing error,error temporal sobre un sector,"erreur temporelle sur un secteur, f",errore temporale sul settore,セクタタイミング誤差,섹터 시간 오류섹터 타이밍 오류,błąd czasowy w sektorze,erro temporal num sector,časovna napaka na sektorju,扇区定时误差
807-02-31,edit gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-02-31,ثغرة النسخ,"Schnittlücke, f",edit gap,intervalo de montaje,"intervalle de montage, m",intervallo di montaggio,編集間隙,편집 간격편집 갭,szczelina montażowa,hiato de montagem,montažni presledek,编辑间隔
807-03-01,pit (in CD system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-01,نقرة ( في نظام القرص المدمج),"Pit (auf einer CD), m",pit (in CD system),surco,cuvette (sur un CD) f,buco,"ピット, <CDシステムの>","피트, CD 시스템구덩이, CD 시스템",wgłębienie (w systemie CD),cova (num CD),jamica pri sistemu CD,"坑, <CD系统中>"
807-03-02,land,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-02,أرض,"Steg, m",land,plano,"glace, f",piano,基盤面,기반면랜드,powierzchnia gładka,espelho,plan,台
807-03-03,clamping area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-03,منطقة التثبيت,"Haltebereich, m",clamping area,zona de fijación,"aire de pincement, f",area di aggancio,保持領域,클램핑 영역고정 영역,obszar sprzężenia z napędem,área de fixação,vpenjalno območjesistem DAT,夹持区
807-03-04,digital audio disk system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-04,نظام القرص السمعي الرقمي,"digitales Audio-Disc-System, nDAD-System, Abkürzung",digital audio disk systemDAN (abbreviation),DAD (abreviatura)sistema digital de audio sobre disco,"système audionumérique à disque, mDAN (abréviation) m",sistema audiodigitale a disco,デジタルオーデオ円盤方式DAD方式,디지털 오디오 디스크 시스템,system płyt fonicznych cyfrowych DAD (akronim),sistema digital de disco áudioDAD (abreviatura),digitalni avdiodiskovni sistem,数字唱片系统DAD系统
807-03-05,compact disc digital audio system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-05,نظام سمعي رقمي ذو قرص مدمج,"Compact-Disc-System, nDigital-Audio-Compact-Disc-System, nCD-System, Abkürzung",compact disc digital audio systemCD (abbreviation),CD (abreviatura)sistema digital de audio sobre disco compacto,"système audionumérique à disque compact, mCD (abréviation) m",sistema audiodigitale a compact disc CD,"コンパクトデスクデジタルオーデオ方式CD, （略語）",컴팩 디스크 디지털 오디오 시스템,system płyt kompaktowych fonicznych cyfrowych CD (akronim),sistema digital de disco compacto áudioCD (abreviatura),digitalni avdio sistem na kompaktni ploščiCD,激光唱片数字音频系统CD数字音频系统
807-03-06,compact disc recordable system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-03-06,نظام قابل للتسجيل على قرص مدمج,"System der bespielbaren Compact Disc, nCD-R, Abkürzung",compact disc recordable systemCD-R  (abbreviation),CD-R (abreviatura)sistema de grabación sobre disco compacto,"système CD enregistrable, mCD-R  (abréviation) m",sistema di registrazione su compact disc CD-R,"コンパクトデスク記録可能方式CD-R, （略語）",컴팩 디스크 기록가능 시스템,system płyt kompaktowych zapisywalnych CD-R (akronim),sistema CD gravávelCD-R (abreviatura),sistem snemalne kompaktne ploščeCD-R,可录激光唱片系统CD-R
