term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sr,sv,zh
705-01-18,right-hand polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-18,إستقطاب يد يمينيإستقطاب فى اتجاه عقارب الساعة,"rechtsdrehende Polarisation, fPolarisation im Uhrzeigersinn, f",right-hand polarizationclockwise polarization,polarización dextrógira,"polarisation dextrorsum, fDÉCONSEILLÉ: polarisation dextrogyre, f",polarizzazione destrorsa,右旋円偏波,우선 편파시계방향 편파,"polaryzacja prawoskrętna, f",polarização dextrogira,,medurspolarisationhögerpolarisation,右旋极化顺时针极化
705-01-19,left-hand polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-19,إستقطاب يد شمالىإستقطاب عكس اتجاه عقارب الساعة,"linksdrehende Polarisation, fPolarisation gegen den Uhrzeigersinn, f",left-hand polarizationcounter clockwise polarization,polarización levógira,"polarisation senestrorsum, fDÉCONSEILLÉ: polarisation levogyre, f",polarizzazione sinistrorsa,左旋円偏波,좌선 편파반시계방향 편파,"polaryzacja lewoskrętna, f",polarização levogirapolarização sinistrogira,,moturspolarisationvänsterpolarisation,左旋极化逆时针极化
705-01-20,circular polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-20,استقطاب دائرى,"zirkulare Polarisation, f",circular polarization,polarización circular,"polarisation circulaire, f",polarizzazione circolare,円偏波,원 편파,"polaryzacja kołowa, f",polarização circular,,circulär polarisation,圆极化
705-01-21,polarization ellipse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-21,قطع ناقص الاستقطاب البيضاوي,"Polarisationsellipse, f",polarization ellipse,elipse de polarización,"ellipse de polarisation, f",ellisse di polarizzazione,偏波楕円,편광 타원,"elipsa polaryzacji, f",elipse de polarização,,polarisationsellips,极化椭圆
705-01-22,plane of polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-22,مستوي الاستقطاب,"Polarisationsebene, f",plane of polarization,plano de polarización,"plan de polarisation, m",piano di polarizzazione,偏波面,편파면,"płaszczyzna polaryzacji, f",plano de polarização,,polarisationsplan,极化平面
705-01-23,"orthogonal polarization, <of an elliptically or circularly polarized wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-23,"استقطاب متعامد, <لموجة مستقطبة بيضاوىا او دائرىا>","orthogonale Polarisation, <einer elliptisch oder zirkular polarisierten Welle> fABGELEHNT: Kreuzpolarisation, f","orthogonal polarization, <of an elliptically or circularly polarized wave>DEPRECATED: cross-polarization",polarización cruzadapolarización ortogonal,"polarisation orthogonale, <d'une onde polarisée elliptiquement ou circulairement> fpolarisation croisée, <d'une onde polarisée elliptiquement ou circulairement> f",polarizzazione incrociatapolarizzazione ortogonale (sconsigliato),"直交偏波, <楕円偏波又は円偏波の>",직교 편파,"polaryzacja ortogonalna, <fali polaryzowanej eliptycznie lub kołowo> f","polarização ortogonal, <de uma onda polarizada elipticamente ou circularmente>",,ortogonal polarisation,"正交极化, <椭圆或圆偏振波的>"
705-01-24,longitudinal component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-24,مركبة طولية (طولانية),"longitudinale Komponente, f",longitudinal component,componente longitudinal,"composante longitudinale, f",componente longitudinale,縦成分,세로 성분,składowa wzdłużna,componente longitudinal,,längskomponent,纵向分量
705-01-25,transverse component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-25,مركبة مستعرضة,"transversale Komponente, f",transverse component,componente transversal,"composante transversale, f",componente trasversale,横成分,횡 성분,składowa poprzeczna,componente transversal,,tvärkomponent,横向分量
705-01-26,radial component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-26,مركبة شعاعية,"radiale Komponente, f",radial component,componente radial,"composante radiale, f",componente radiale,半径方向成分,반경 방향 성분,składowa radialna,componente radial,,radiell komponent,径向分量
705-01-27,transverse (electromagnetic) wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-27,موجة (كهرومغناطيسية) مستعرضة,"transversale elektromagnetische Welle, ftransversale Welle, fTEM-Welle, f",transverse (electromagnetic) waveTEM wave,onda (electromagnética) transversalonda EMT,"onde TEM, fonde (électromagnétique) transverse, fonde (électromagnétique) transversale (terme déconseillé dans ce sens) f",onda (e.m.) trasversaleanda TEM,横電磁波横波TEM波,횡 전자기 파티이엠 파,fala elektromagnetyczna poprzeczna fala TEM,onda (electromagnética) transversalonda TEM,,TEM-våg transversell elektromagnetisk våg,横电磁波TEM波
705-01-28,wave vector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-28,متجه موجة,"Wellenvektor, m",wave vector,vector de onda,"vecteur d'onde, m",vettore d'onda,波動ベクトル,파 벡터파수 벡터,wektor fali,vector de onda,,vågvektor,波矢量
705-01-29,equiphase surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-29,سطح متساوي الطور,"Phasenfläche, fFläche gleicher Phase, f",equiphase surface,superficie equifásica,"surface équiphase, fsurface isophase, f",superficie isofase,等位相面,등위상면,powierzchnia równofazowa,superfície isofase,,ekvifastya,等相面
705-01-30,wavefront,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-30,مقدمة الموجة,"Wellenfront, f",wavefront,frente de ondas,"surface d'onde, f",fronte d'onda,波頭,파면,czoło fali,frente de onda,,vågfront,波前
705-01-31,equi-amplitude surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-31,سطح متساوي السعة,"Amplitudenfläche, fFläche gleicher Amplitude, f",equi-amplitude surface,superficie de igual amplitud,"surface équiamplitude, f",superficie isoampiezza,等振幅面,등진폭면,płaszczyzna równoamplitudowa,superfície isoamplitude,,ekviamplitudyta,等幅面
705-01-32,plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-32,موجة مستوية,"ebene Welle, f",plane wave,onda plana,"onde plane, f",onda piana,平面波,평면파,fala płaska,onda plana,,plan våg,平面波
705-01-33,uniform plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-33,موجة مستوية  منتظمة,"gleichförmige ebene Welle, f",uniform plane wave,onda plana uniforme,"onde plane uniforme, f",onda piana uniforme,一様平面波,균일 평면파,fala płaska jednolita,onda plana uniforme,,likformig plan våg,均匀平面波
705-01-34,homogeneous plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-34,موجة مستوية متجانسة,"homogene ebene Welle, f",homogeneous plane wave,onda plana homogénea,"onde plane homogène, f",onda piana omogenea,均質平面波,균질 평면파,fala płaska jednorodna,onda plana homogénea,,homogen plan våg,同一平面波
705-01-35,heterogeneous plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-35,موجة مستوية غير متجانسة,"heterogene ebene Welle, f",heterogeneous plane wave,onda plana heterogénea,"onde plane hétérogène, f",onda piana eterogenea,異質平面波,이질 평면파,fala płaska różnorodna,onda plana heterogénea,,heterogen plan våg,非同一平面波
705-01-36,spherical wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-36,موجة كروية,"Kugelwelle, f",spherical wave,onda esférica,"onde sphérique, f",onda sferica,球面波,구면파,fala kulista,onda esférica,,sfärisk våg,球面波
705-01-37,free wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-37,موجة حرة,"Freiraumwelle, f",free wavefree progressive wave,onda libre,"onde libre, f",onda libera,自由波自由進行波,자유파자유 진행파,fala swobodna,onda livre,,frirumsväg,自由前进波
705-01-38,travelling wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-38,موجة متنقلة,"Wanderwelle, f",travelling wave,onda propresiva,"onde progressive, f",onda progressiva,進行波,진행파,fala bieżąca,onda progressiva,,fortskridande väg gående våg,行波
705-01-39,travelling plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-39,موجة مستوية متنقلة,"ebene Wanderwelle, f",travelling plane wave,onda plana propresiva,"onde plane progressive, f",onda piana progressiva,進行平面波,이동 평면파,fala bieżąca płaska,onda plana progressiva,,plan gående våg,平面行波
705-01-40,standing wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-40,موجة واقفة (ثابتة),"stehende Welle, f",standing wave,onda estacionaria,"onde stationnaire, f",onda stazionaria,定在波,정재파,fala stojąca,onda estacionária,,stående våg,驻波
705-01-41,phase interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-41,تداخل طوري,"Interferenz, f",phase interferencewave interference,interferencia de ondas,"interférence, f",interferenza,位相干渉波動干渉,위상 간섭파 간섭,"interferencja fazowa, finterferencja falowa, f",interferência,,interferens,相位干涉波干涉
705-01-42,(interference) fringes,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-42,حواشي (هداب) تداخل,"Interferenzmuster, n",(interference) fringes,máximos y mínimos de interferencia,"franges (d'interférence), f pl",frange (d'interferenza),干渉じま,간섭 무늬,tętnienia interferencyjne,franjas (de interferência),,interferensfransar,干涉条纹
705-01-43,coherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-43,تماسك (لإشعاع),"Kohärenz, f",coherence,coherencia,"cohérence, <d'un rayonnement> f",coerenza,コヒーレンス,가간섭,koherencja,coerência,,koherens,相干性
705-01-44,spatial coherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-44,تماسك (التصاق) فضائي,"räumliche Kohärenz, f",spatial coherencespace coherence,coherencia espacial,"cohérence spatiale, f",coerenza spaziale,空間的コヒーレンス空間コヒーレンス,공간 가간섭,koherencja przestrzenna,coerência espacial,,rumskoherens,空间相干性
705-01-45,time coherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-45,تماسك (التصاق) زمنى,"zeitliche Kohärenz, f",time coherencetemporal coherence,coherencia temporal,"cohérence temporelle, f",coerenza temporale,時間コヒーレンス時間的コヒーレンス,시간 가간섭,koherencja czasowa,coerência temporal,,tidskoherens,时间相干性
705-02-01,"electromagnetic radiation, <waves or photons>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-01,"إشعاع كهرومغناطيسى, <موجات اوفوتونات>","elektromagnetische Strahlung, <Wellen oder Photonen> f","electromagnetic radiation, <waves or photons>",radiación (electromagnética),"rayonnement électromagnétique, <ondes ou photons> mradiation électromagnétique, f",irradiazione (elettromagnetica),"電磁放射線, ＜波又は光子＞",전자기 복사전자기 방사,"promieniowanie elektromagnetyczne, n","radiação eletromagnética, <ondas ou fotões>",,elektromagnetisk strålning,"电磁辐射, <波或光子>"
705-02-02,(volume) density of electromagnetic energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-02,(حجم ) كثافة الطاقة الكهرومغناطيسية,"räumliche elektromagnetische Energiedichte, felektromagnetische Energiedichte, f",(volume) density of electromagnetic energy,densidad de energía electromagnética (por unidad de volumen),"énergie (électromagnétique) volumique, fdensité volumique d'énergie (électromagnétique), f",densità (di volume) dell'energia elettromagnetica,電磁エネルギー体積密度電磁エネルギー密度,부피 전자기 에너지 밀도,gęstość energii elektromagnetycznej,densidade (volúmica) de energia electromagnética,,energitäthet,电磁能的体密度
705-02-03,power flux density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-03,كثافة تدفقق القدرةكثافة فيض القدرة,"Leistungsflussdichte, fStrahlungsflussdichte, f",power flux densityradiant flux density,flujo de energía electromagnética,"puissance surfacique, <d'une onde électromagnétique> fdensité surfacique de puissance, fDÉCONSEILLÉ: densité de flux de puissance, f",densità del flusso radiantedensità di flusso di potenza,電波密度電力束密度,전력 선속 밀도복사속 밀도,"gęstość strumienia mocy, f",densidade de fluxo energéticopotência surfácica,,effekttäthet,功率通量密度辐射通量密度
705-02-04,radiation intensity (in a given direction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-04,شدة الإشعاع (فى إتجاة معطى),"Strahlungsintensität, <in einer gegebenen Richtung> f",radiation intensity (in a given direction),intensidad de radiación por unidad de ángulo sólido,intensité de rayonnement (dans une direction) fpuissance rayonnée (dans une direction) (terme à proscrire dans ce sens) f,intensità di irradiazione (in una data direzione),"放射強度, <特定方向における>","복사 강도, <지정된 방향>",natężenie promieniowania (w danym kierunku),intensidade de radiação (numa dada direcção),,strålningsintensitet,"辐射强度, <在一给定方向的>"
705-02-05,attenuation (of an electromagnetic wave),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-05,توهين (لموجة كهرومغناطيسية),"Dämpfung, <einer elektromagnetischen Welle> f",attenuation (of an electromagnetic wave),atenuación,affaiblissement (d'une onde électromagnétique) matténuation (d'une onde électromagnétique)  f,attenuazione (di un'onda e.m.),"減衰, <電磁波の>","감쇠, <전자기파>",tłumienie (fali elektromagnetycznej),atenuação (de uma onda electromagnética)enfraquecimento (de uma onda electromagnética),,dämpning,"衰减, <电磁波的>"
705-02-06,spreading loss,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-06,فقد الإنتشار,"geometrische Ausbreitungsdämpfung, f",spreading loss,atenuación geométrica,"affaiblissement géométrique, matténuation géométrique, f",attenuazione di propagazione,拡がり損,확산 손실,straty rozprzestrzeniania,enfraquecimento geométricoatenuação geométrica,,geometrisk dämpning,扩散损耗
705-02-07,"absorption, <of electromagnetic waves>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-07,امتصاص (لموجة كهرومغناطيسية),"Absorption, <elektromagnetischer Wellen> f","absorption, <of electromagnetic waves>",absorción (de una onda electromagnética),"absorption, <des ondes électromagnétiques> f",assorbimento (di un'onda e.m.),吸収,"흡수, <전자기파>","absorpcja fal elektromagnetycznych, fabsorpcja, f","absorção, <de uma onda electromagnética>",,absorption,"吸收, <电磁波的>"
705-02-08,absorption loss (of an electromagnetic wave),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-08,فقد (توهين) الإمتصاص (لموجة كهرومغناطيسية),"Absorptionsdämpfung, <einer elektromagnetischen Welle> f",absorption loss (of an electromagnetic wave),pérdidas por absorción (de una onda electromagnética),affaiblissement d'absorption (d'une onde électromagnétique) m,perdita di assorbimento (di un'onda e.m.),"吸収損, <電磁波の>","흡수 손실, <전자기파>",straty absorpcyjne,atenuação de absorção (de uma onda electromagnética),,absorptionsförlust,"吸收损耗, <电磁波的>"
705-02-09,Poynting vector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-09,متجه بوينتنغ,"Poynting-Vektor, m",Poynting vector,vector de Poynting,"vecteur de Poynting, m",vettore di Poynting,ポインティングベクトル,포인팅 벡터,"wektor Poyntinga, m",vetor de Poynting,,Poyntings vektor,坡印廷矢量
705-02-10,complex Poynting vector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-10,متجه بوينتنج المركب,"komplexer Poynting-Vektor, m",complex Poynting vector,vector de Poynting complejo,"vecteur de Poynting complexe, m",vettore complesso di Poynting,複素ポインティングベクトル,복소 포인팅 벡터,wektor Poyntinga zespolony,vector de Poynting complexo,,komplex poyntingvektor,复数坡印廷矢量
705-02-11,phase delay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-11,تأخير الطور (لموجة),"Phasenlaufzeit, f",phase delay,retardo de fasetiempo de propagación,"temps de propagation de phase, mDÉCONSEILLÉ: retard de phase, m",ritardo di fase (di un'onda)tempo di propagazione di fase (di un'onda),位相遅れ,"위상 지연, <파>","opóźność fazowa, fopóźnienie fazowe, <fali> n",tempo de propagação de faseatraso de fase,,fasfördröjning,"相位延迟, <波的>"
705-02-12,positive phase difference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-12,فرق طور موجب - تأخّر طور,"positive Phasenverschiebung, <einer elektromagnetischen Welle> f",positive phase differencephase lag (of an electromagnetic wave),retardo de fase,retard de phase (d'une onde électromagnétique) m,ritardo di fase (di un'onda),"正位相差, <電磁波の>位相遅れ, <電磁波の>","정 위상차위상 지연, <전자기파>",różnica faz dodatnia,atraso de fase (de uma onda electromagnética),,positiv fasdifferens,"正相位差相位滞后, <电磁波的>"
705-02-13,negative phase difference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-13,فرق طور سالب - تقدّم طور,"negative Phasenverschiebung, <einer elektromagnetischen Welle> f",negative phase differencephase lead (of an electromagnetic wave),adelanto de fase,avance de phase (d'une onde électromagnétique) f,anticipo di fase,"負位相差, <電磁波の>位相進み, <電磁波の>","부 위상차위상 앞섬, <전자기파>",różnica faz ujemna,avanço de fase (de uma onda electromagnética),,negativ fasdifferens,"负相位差相位超前, <电磁波的>"
705-02-14,optical path length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-14,طول مسار الضوء,"optische Weglänge, fPhasenweglänge, f",optical path lengthphase path length,longitud de camino óptico,"chemin optique, mlongueur de phase, f",lunghezza del tragitto otticolunghezza del tragitto di fase,光路長,광로 길이위상 경로 길이,"długość drogi optyczna, fdługość drogi fazowa, f",comprimento de trajeto ópticocomprimento de trajeto de fase,,optisk väglängd,光程长度相程长度
705-02-15,direction of propagation (of a wave),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-15,اتجاه الانتشار (لموجه),"Ausbreitungsrichtung, <einer Welle> f",direction of propagation (of a wave),dirección de propagación,direction de propagation (d'une onde) f,direzione di propagazione (di un'onda),"伝搬方向, <波の>","전파 방향, <파>",kierunek propagacji (fali),direcção de propagação (de uma onda),,,"传播方向, <波的>"
705-02-16,phase velocity (vector),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-16,(متجه) سرعة الطور,"Phasengeschwindigkeit, f",phase velocity (vector),(vector) velocidad de fase,"(vecteur) vitesse de phase, f",velocità di fase (vettore),位相速度ベクトル位相速度,위상 속도 벡터,prędkość fazowa,(vector) velocidade de fase,,fashastighet,"相速, <矢量>"
705-02-17,(phase) wavelength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-17,طول الموجه (لطور),"Wellenlänge, f",(phase) wavelength,longitud de onda de fase,"longueur d'onde, flongueur d'onde de phase, f",lunghezza d'onda (di fase),位相波長波長,위상 파장,długość fali fazowa,comprimento de onda (de fase),,våglängd,"波长, <相位>"
705-02-18,direction of propagation (of energy),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-18,اتجاه الانتشار(للطاقة),"Energieausbreitungsrichtung, f",direction of propagation (of energy),dirección de propagación,direction de propagation de l'énergie (d'une onde) f,direzione di propagazione (di energia),エネルギーの伝搬方向伝搬方向,에너지 전파방향,kierunek propagacji energiikierunek propagacji,direcção de propagação (de energia),,energiutbredningsriktning,"传播方向, <能量的>"
705-02-19,propagation path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-19,مسار الإنتشار,"Strahlenweg, mAusbreitungsweg, m",propagation pathray path,trayectoria de propagación (de la energía)trayectoria del rayo,"trajet radioélectrique, mrayon (radioélectrique), mtrajectoire radioélectrique, ftrajet de propagation, m",cammino di propagazionetragitto,伝搬波電波路,전파경로,droga propagacji,trajecto radioeléctrico,,strålbana,传播路径射线路径
705-02-20,geometrical optics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-20,بصريات هندسية,"geometrische Optik, fStrahlenoptik, f",geometrical optics,optica geométrica,"optique géométrique, f",ottica geometrica,幾何光学,기하광학,optyka geometryczna,óptica geométrica,,geometrisk optik,几何光学
705-02-21,group velocity (vector),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-21,(متجه) سرعة مجموعة,"Gruppengeschwindigkeit, f",group velocity (vector),(vector) velocidad de grupo,"(vecteur) vitesse de groupe, f",velocità di gruppo (vettore),群速度ベクトル群速度,군속도벡터,prędkość grupowa,(vector) velocidade de grupo,,grupphastighet,"群速度, <矢量>"
705-02-22,group delay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-22,تأخر المجموعة (زمن انتشار المجموعة),"Gruppenlaufzeit, f",group delay,retardo de grupotiempo de propagación de grupo,"temps de propagation de groupe, mDÉCONSEILLÉ: retard de groupe, m",ritardo di gruppo (di un'onda),群遅延,군지연,"opóźnienie grupowe, n",tempo de propagação de grupoatraso de grupo,,gruppfördröjning,群延迟
705-02-23,group wavelength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-23,طول موجة المجموعة,"Gruppenwellenlänge, f",group wavelength,longitud de onda de grupo,"longueur d'onde de groupe, f",lunghezza d'onda di gruppo,群波長,군 파장,długość fali grupowa,comprimento de onda de grupo,,gruppvåglängd,群波长
705-02-24,propagation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-24,معامل (خطي) الإنتشار,"Ausbreitungskoeffizient, m",propagation coefficientpropagation constant (deprecated),coeficiente de propagaciónconstante de propagación (termino desaconsejado),"exposant (linéique) de propagation, mconstante de propagation (terme déconseillé) f",coefficiente di propagazionecostante di propagazione (sconsigliato),伝搬係数伝搬定数γ (記号),전파 계수,współczynnik propagacji,coeficiente de propagação,,,传播系数
705-02-25,attenuation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-25,معامل التوهين (معامل خطي للتوهين),"Dämpfungskoeffizient, m",attenuation coefficientattenuation constant,coeficiente de atenuación de campoconstante de atenuación,"affaiblissement linéique (de propagation), mconstante d'affaiblissement (terme déconseillé) f",coefficiente di attenuazionecostante di attenuazione (sconsigliato),減衰係数減衰定数α (記号),감쇠계수감쇠 상수,współczynnik tłumieniatłumienie jednostkowe,coeficiente de atenuação,,dämpningskoefficient,衰减系数
705-02-26,phase change coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-02-26,معامل تغير الطور,"Phasenkoeffizient, m",phase change coefficientphase constant,coeficiente de desfaseconstante de fase,"déphasage linéique (de propagation), mconstante de phase (terme déconseillé) f",coefficiente di cambiamento di fasecostante di fase (sconsigliato),位相変化係数位相定数β (記号),위상 변화 계수위상 상수,współczynnik zmiany fazyprzesuwność jednostkowa,coeficiente de desfasagem,,faskoefficient,相位变化系数
