term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
441-12-06,insulation-enclosed switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-06,معدات وصل وفصل وتحكم فى حاوية معزولة,"isolierstoffgekapselte Schaltanlage, f",insulation-enclosed switchgear and controlgear,aparamenta bajo envolvente aislante,eristysainekoteloitu kytkinlaitteistoerityisainekoteloitu kojeisto,"appareillage sous enveloppe isolante, m",apparecchiatura in involucro isolante,絶縁閉鎖形開閉装置及び制御装置,절연 밀폐형 개폐기류와 제어기류,тусгаарлагын хаалттай хуваарилах байгууламж болон удирдлагын тоноглол,isolerkapsla koplings- og kontrollutstyr,rozdzielnica w osłonie izolacyjnejzestaw (aparatury rozdzielczej i sterowniczej) w osłonie izolacyjnej,aparelhagem em invólucro isolante,"расклопна апаратура са изолационим плаштом, ж јд",isolerkapslat ställverk,绝缘封闭开关设备和控制设备
441-12-07,busbar trunking system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-07,نظام رئيسى لقضبان التوصيل,"Schienenverteiler, m",busbar trunking system,canalización prefabricada,jakelukiskojärjestelmä,"canalisation préfabriquée, f",condotto prefabbricato,母線バーのトランキングシステム,모선 트렁킹 시스템,битүү систем шин,kanalskjenesystem,system przewodów szynowychprzewód szynowy,canalização pré-fabricada,"сабирнички канални развод, м јд",kanalskenfördelning,母线中继系统
441-12-08,control station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-08,محطة تحكم,"Steuereinheit, f",control station,centro de mando,ohjausyksikkö,"poste de commande, m",stazione di comando,制御盤,제어 스테이션,удирдлагын станц,kontrollpanel,sterownica,posto de comando,"управљачки блок, м јд",kontroller,控制站
441-13-01,enclosure (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-01,حاوية,"Kapselung (einer Schaltanlage oder Schaltgerätekombination), fGehäuse (einer Schaltanlage oder Schaltgerätekombination), nUmhüllung (einer Schaltanlage oder Schaltgerätekombination), f",enclosure (of an assembly),envolvente (de un conjunto),kotelointi,enveloppe (d'un ensemble) f,involucro,エンクロージャ,"밀폐함, <어셈블리>외함, <어셈블리>밀봉, <어셈블리>차폐, <어셈블리>","хаалт, <иж бүрдлийн>",kapsling,osłona (zestawu)obudowa,invólucro (de um conjunto),"плашт, <расклопног блока> м јд",kapsling,"外壳, <总装的>"
441-13-02,main circuit (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-02,دارة رئيسية,"Hauptstromkreis (einer Schaltanlage oder Schaltgerätekombination), mHauptstrombahn (einer Schaltanlage oder Schaltgerätekombination), f",main circuit (of an assembly),circuito principal (de un conjunto),pääpiiri,circuit principal (d'un ensemble) m,circuito principale,主回路,"주회로, <어셈블리>","үндсэн хэлхээ, <иж бүрдлийн>",hovudstraumkrins,obwód główny (zestawu),circuito principal (de um conjunto),"главно струјно коло , <расклопног блока> с јд",hjälpströmbana,"主回路, <总装的>"
441-13-03,auxiliary circuit (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-03,دارة مساعدة,"Hilfsstromkreis (einer Schaltanlage oder Schaltgerätekombination), m",auxiliary circuit (of an assembly),circuito auxiliar (de un conjunto),apupiiri,circuit auxiliaire (d'un ensemble) m,circuito ausiliario (di un complesso),補助回路,"보조회로, <어셈블리>","туслах хэлхээ, <иж бүрдлийн>",hjelpestraumkrins,obwód pomocniczy (zestawu),circuito auxiliar (de um conjunto),"помоћно струјно коло , <расклопног блока> с јд",huvudkontakt,"辅助回路, <总装的>"
441-13-04,functional unit (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-04,وحدة وظيفية,"Schaltfeld (einer Schaltanlage oder Schaltgerätekombination), nFunktionseinheit (einer Schaltanlage oder Schaltgerätekombination), f",functional unit (of an assembly),unidad funcional (de un conjunto),toimintayksikkö,unité fonctionnelle (d'un ensemble) f,unità funzionale (di un complesso),機能単位,"기능 단위, <어셈블리>","тодорхой зориулалтын блок, <иж бүрдлийн>",funksjoneining,pole (rozdzielnicy)blok funkcjonalny,unidade funcional (de um conjunto),"функционална јединица , <расклопног блока> ж јд",funktionsenhet,"功能单元, <总装的>"
441-13-05,compartment (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-05,حجرة / حجيرة,"Schottraum (einer Schaltanlage oder Schaltgerätekombination), mRaum (einer Schaltanlage oder Schaltgerätekombination), mAbteil (einer Schaltanlage oder Schaltgerätekombination), n",compartment (of an assembly),compartimento (de un conjunto),suojattu osastosuojattu kenno,compartiment (d'un ensemble) m,compartimento (di un complesso),区画コンパートメント,"구획실, <어셈블리>칸막이, <어셈블리>격실, <어셈블리>","тасалгаа, <иж бүрдлийн>",kapsla rom,przedział (rozdzielnicy),compartimento (de um conjunto),"одељак, <расклопног блока> м јд",cell,"隔室, <总装的>"
441-13-06,partition (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-06,حاجز,"Zwischenwand (einer Schaltanlage oder Schaltgerätekombination), f",partition (of an assembly),separación (de un conjunto)tabique (de un conjunto),välilevy,cloison (d'un ensemble) f,diaframma (di un complesso),区分パーティション,"분할, <어셈블리>","тасалгааны хана, <иж бүрдлийн>",skiljevegg,przegroda (rozdzielnicy),divisória (de um conjunto),"преграда, <расклопног блока> ж јд",avskärmningmellanvägg,"隔板, <总装的>"
441-13-07,shutter (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-07,مصراع-غلق,"Blende (einer Schaltanlage oder Schaltgerätekombination), f",shutter (of an assembly),persiana (de un conjunto),suljin,volet (d'un ensemble) m,otturatore (di un complesso); sportello (di un complesso),シャッター,"격리판, <어셈블리>셔터, <어셈블리>","хөшиг, <иж бүрдлийн>",lukjer,przesłona ruchoma (rozdzielnicy),obturador (de um conjunto),"застор, <расклопног блока> м јд",avskärmare,"活门, <总装的>"
441-13-08,removable part (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-08,جزء قابل للإزالة,"herausnehmbares Teil (einer Schaltanlage oder Schaltgerätekombination), nherausnehmbarer Einschub (einer Schaltanlage oder Schaltgerätekombination), m",removable part (of an assembly),parte desmontable (de un conjunto),ulosotettava yksikkö,partie amovible (d'un ensemble) f,parte asportabile (di un complesso),取り外し可能部分,"이동부, <어셈블리>","салган авч болдог эд анги, <иж бүрдлийн>",del som kan takast av,człon ruchomy (rozdzielnicy),parte amovível (de um conjunto),"одвојиви део , <расклопног блока> м јд",borttagbar del,"可移开部件, <总装的>"
441-13-09,withdrawable part (of an assembly),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-13-09,جزء قابل للسحب,"Trennteil (einer Schaltanlage oder Schaltgerätekombination), nEinschub (einer Schaltanlage oder Schaltgerätekombination), m",withdrawable part (of an assembly),parte desenchufable (de un conjunto),ulosvedettävä yksikkö,partie débrochable (d'un ensemble) f,parte estraibile (di un complesso),引き出し可能部分,"인출부, <어셈블리>","сугардаг эд анги, <иж бүрдлийн>",del som kan trekkjast ut,człon wysuwny (rozdzielnicy),parte extraível (de um conjunto),"извлачиви део , <расклопног блока> м јд",utdragbar del,"可抽出部件, <总装的>"
441-14-01,switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-01,معدة وصل وفصل,"Schaltgerät, n",switching device,aparato de conexión,kytkinlaite,"appareil de connexion, m",apparecchio di manovra,開閉装置,개폐 장치,"таслах, залгах төхөөрөмж",koplingsapparat,łącznik (elektryczny),aparelho de conexão,"расклопни апарат, м јд",elektrisk kopplingsapparatelkopplare,开关装置
441-14-02,mechanical switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-02,معدة وصل وفصل ميكانيكية,"mechanisches Schaltgerät, nmechanischer Schalter, m",mechanical switching device,aparato mecánico de conexión,mekaaninen kytkinlaite,"appareil mécanique de connexion, m",apparecchio meccanico di manovra,機械式開閉装置,기계식 개폐 장치,"механик таслах, залгах төхөөрөмж",mekanisk koplingsapparat,łącznik mechanizmowy,aparelho mecânico de conexão,"механички расклопни апарат, м јд",mekanisk elkopplare,机械开关装置
441-14-03,semiconductor switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-03,معدة وصل وفصل شبه موصلة,"Halbleiterschaltgerät, n",semiconductor switching device,aparato de conexión de semiconductor,puolijohdekytkinlaite,"appareil de connexion à semiconducteur, m",apparecchio di manovra a semiconduttore,半導体スイッチング素子,반도체 개폐 장치,"хагас дамжуулагч таслах, залгах төхөөрөмж",halvleiarkoplingsapparat,łącznik półprzewodnikowy,aparelho de conexão por semicondutores,"полупроводнички расклопни апарат, м јд",halvledareikopplare,半导体开关装置
441-14-04,fuse-combination unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-04,وحدة تجميع بمصهر,"Schalter-Sicherungs-Einheit, f",fuse-combination unit,combinado con cortacircuitos fusiblescombinado-fusibles,varokekytkinyhdistelmä,"combiné-fusibles, m",unità combinata con fusibile,ヒューズ組み込みユニット,퓨즈 결합 유닛,хайламтгай гал хамгаалагчтай хосолсон бүрдэл хэсэг,koplingsapparat med sikring,zestaw łącznik-bezpiecznik(i),(aparelho) combinado (com fusíveis),"комбинација са осигурачима, ж јд",elkopplare med säkring,熔断器组合单元
441-14-05,disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-05,فاصل- سكينة فصل,"Trennschalter, m",disconnector,seccionador,erotin,"sectionneur, m",sezionatore,断路器,단로기단선기,салгуур,skiljebrytar,odłącznik,seccionador,"растављач, м јд",frånskiljare,隔离开关
441-14-06,divided support disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-06,فاصل دعم مقسم,"geteilter Trennschalter, m",divided support disconnector,seccionador de elementos separados,yksipylväserotin,"sectionneur à éléments séparés, m",sezionatore a elementi separati,分割支持断路器,베이스 분리형 단로기,салангид тулгууртай хуурай салгуур,delt skiljebrytar,odłącznik o rozdzielonej podstawie,seccionador de elementos separados,"растављач са раздвојеним постољем, м јд",enpelarfrånskiljare,底座分离的隔离开关
441-14-07,earthing switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-07,مفتاح أرضى,"geteilter Erdungsschalter, m",earthing switch,seccionador de tierra de elementos separados,yksipylväsmaadoituserotin,"sectionneur de terre à éléments séparés, m",sezionatore di terra,接地開閉器,접지 개폐기,газардуулгын салгуур,delt jordingsbrytar,uziemnik o rozdzielonej podstawie,seccionador de terra de elementos separados,"земљоспојник, м јд",enpelarjordningskopplare,接地开关
441-14-08,centre-break disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-08,فاصل ذو انقطاع مركزى,"Drehtrennschalter, m",centre-break disconnector,seccionador de corte central,kaksipylväserotin,"sectionneur à coupure centrale, m",sezionatore a interruzione centrale,中間切断断路器,중앙 차단 단로기,дундын цэгээр тасалдаг салгуур,skiljebrytar med senterbrot,odłącznik o przerwie centralnej,seccionador de abertura central,"растављач са раставним местом на средини, м јд",tvåpelarfrånskiljare,中心断口隔离开关
441-14-09,double-break disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-09,فاصل ذو انقطاع مزدوج,"Zweifach-Trennschalter, m",double-break disconnector,seccionador de doble corte,kolmipylväserotin,"sectionneur à double coupure, m",sezionatore a doppia interruzione,２点切断断路器,이점 절환 단로기,хоёр цэгт тасалдаг салгуур,skiljebrytar med dobbelt brot,odłącznik dwuprzerwowy,seccionador de abertura dupla,"растављач са два раставна места, м јд",trepelarfrånskiljare,双断口隔离开关
441-14-10,(mechanical) switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-10,فاصل (ميكانيكى),"Lastschalter, m",(mechanical) switch,interruptor (mecánico),kytkinmekaaninen kytkin,interrupteur (mécanique) m,interruttore di manovra (meccanico),機械スイッチ,기계식 개폐기,ачаалал таслуур,lastbrytar,rozłącznik (mechanizmowy),interruptor (mecânico),"склопка, <механичка> ж јд",lastbrytare,"开关, <机械的>"
441-14-11,earthing switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-11,مفتاح أرضى,"Erdungsschalter, m",earthing switch,seccionador de puesta a tierraseccionador de tierra,maadoituserotin,"sectionneur de terre, m",sezionatore di terra,接地スイッチ,접지 개폐기,газардуулгын салгуур,jordingsbrytar,uziemnik,seccionador de terra,"земљоспојник, м јд",jordningskopplare,接地开关
441-14-12,switch-disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-12,فاصل - مفتاح,"Lasttrennschalter, m",switch-disconnector,interruptor-seccionador,kuormaerotin,"interrupteur-sectionneur, m",interruttore di manovra-sezionatore,断路スイッチ,개폐 단로기,ачаалал таслуур-салгуур,lastskiljebrytar,rozłącznik izolacyjny,interruptor-seccionador,"склопка растављач, ж јд",lastfrånskiljare,隔离开关
441-14-13,gas evolving switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-13,مفتاح بإنبعاث الغاز,"Hartgaslastschalter, m",gas evolving switch,interruptor con formación de gas,kovakaasukytkin,"interrupteur à autoformation de gaz, m",interrutore di manovra autosoffiante,気体発生スイッチ,가스 방출 개폐기,хий ялгаруулдаг таслуур,gassavspaltingsbrytar,rozłącznik gazowy dmuchowy,interruptor com formação de gás,"склопка са саморазвијањем гаса, ж јд",lastbrytare med gasavgivande släckmaterial,产气开关
441-14-14,switch-fuse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-14,مصهر- مفتاح,"Lastschalter mit Sicherungen, m",switch-fuse,interruptor con fusibles,kytkinvaroke,"interrupteur à fusibles, m",interruttore di manovra con fusibile,ヒューズ付スイッチ,개폐 퓨즈,таслуур-хайламтгай гал хамгаалагч,lastbrytar med sikring,rozłącznik z bezpiecznikami,interruptor com fusíveis,"склопка са осигурачима, ж јд",lastbrytare med säkringar,开关熔断器
441-14-15,disconnector-fuse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-15,مصهر - فاصل,"Trennschalter mit Sicherungen, m",disconnector-fuse,seccionador con fusibles,erotinvaroke,"sectionneur à fusibles, m",sezionatore con fusibile,ヒューズ付断路器,단로 퓨즈,салгуур-хайламтгай гал хамгаалагч,skiljebrytar med sikring,odłącznik z bezpiecznikami,seccionador com fusíveis,"растављач са осигурачима, м јд",frånskiljare med säkringar,隔离熔断器
441-14-16,switch-disconnector-fuse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-16,مصهر-فاصل-مفتاح,"Lasttrennschalter mit Sicherungen, m",switch-disconnector-fuse,interruptor-seccionador con fusibles,kuormanerotinvaroke,"linterrupteur-sectionneur à fusibles, m",interruttore di manovra-sezionatore con fusibile,ヒューズ付断路スイッチ,개폐 단로 퓨즈,таслуур-салгуур-хайламтгай гал хамгаалагч,lastskiljebrytar med sikring,rozłącznik izolacyjny z bezpiecznikami,interruptor-seccionador com fusíveis,"склопка растављач са осигурачима, м јд",lastfrånskiljare med säkringar,隔离开关熔断器
441-14-17,fuse-switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-17,مفتاح بمصهر,"Sicherungslastschalter, m",fuse-switch,fusible-interruptor,varokekytkin,"fusible-interrupteur, m",interruttore di manovra-fusibile,ヒューズスイッチ,퓨즈 개폐기퓨즈 스위치,хайламтгай гал хамгаалагч-таслуур,sikringslastbrytar,rozłącznik bezpiecznikowy,interruptor-fusível,"осигурач-склопка, ж јд",säkringslastbrytare,熔断器式开关
441-14-18,fuse-disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-18,فاصل بمصهر,"Sicherungstrennschalter, m",fuse-disconnector,fusible-seccionador,varoke-erotin,"fusible-sectionneur, m",sezionatore-fusibile,断路形ヒューズ,퓨즈 단로기,хайламтгай гал хамгаалагч-салгуур,sikringsskiljebrytar,odłącznik bezpiecznikowy,seccionador-fusível,"осигурач растављач, м јд",säkringsfrånskiljare,熔断器式隔离器
441-14-19,fuse-switch-disconnector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-14-19,فاصل-مفتاح-مصهر,"Sicherungslasttrennschalter, m",fuse-switch-disconnector,fusible-interruptor-seccionador,varokekuormanerotin,"fusible-interrupteur-sectionneur, m",interruttore di manovra-sezionatore-fusibile,断路形ヒューズスイッチ,퓨즈 개폐 단로기,хайламтгай гал хамгаалагч-таслуур-салгуур,sikringslastskiljebrytar,rozłącznik izolacyjny bezpiecznikowy,interruptor-seccionador-fusível,"осигурач-склопка растављач, м јд",säkringslastfrånskiljare,熔断器式隔离开关
