term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
602-01-18,water cumulative flows,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-18,جريان الماء التراكميالانسيابات التراكمية للماء,"Zuflussmenge, fAbflussmenge, f",water cumulative flows,aportaciones hidraúlicas,virtauskertymä,"apports hydrauliques, m pl",deflusso,累積水量,적산 유량,ус хуримтлуулах урсгал,vassføring,dopływ skumulowany przepływ całkowity,afluências hidráulicas,celotni pretok,"укупни проток воде, м јд",ackumulerad vattenföring,径流量
602-01-19,energy capability (of one or more hydroelectric installations),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-19,مقدرة الطاقة (لواحدة أو أكثر من التركيبات الكهرومائية),"Arbeitsvermögen (einer oder mehrerer Wasserkraftanlagen), n",energy capability (of one or more hydroelectric installations),producibilidad (de un o de un conjunto de aprovechamientos hidroeléctricos),energian saanto,productibilité (d'un ou d'un ensemble d'aménagements hydro-électriques) f,producibilità,エネルギー容量,"에너지 가능량, <단일 또는 다수 수력 설비>전력 공급 가능량, <단일 또는 다수 수력 설비>","энергийн бүтээмж, <нэг эсвэл түүнээс олон усан цахилгаан станцын байгууламжийн>",produksjonsevne,zasób energetyczny (obiektu lub zespołu obiektów wodno-elektroenergetycznych),produtibilidade (de um ou de um conjunto de aproveitamentos hidroeléctricos),proizvodna zmogljivost,"продуктибилност, <једног или више хидроенергетских постројења> ж јд",tillgänglig energi,"电能能力, <一个或多个水力发电设施的>"
602-01-20,mean energy capability (of one or more hydroelectric installations),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-20,متوسط مقدرة الطاقة (لواحدة أو أكثر من التركيبات الكهرومائية),mittleres Arbeitsvermögen (einer oder mehrerer Wasserkraftanlagen),mean energy capability (of one or more hydroelectric installations),producibilidad media (de un o de un conjunto de aprovechamientos hidroeléctricos),keskimääräinen energian saanto,productibilité moyenne (d'un ou d'un ensemble d'aménagements hydro-électriques) f,producibilità media,平均エネルギー容量,"평균 가능 출력량, <단일 또는 다수 수력 설비>","энергийн дундаж бүтээмж, <нэг эсвэл түүнээс олон усан цахилгаан станцын байгууламжийн>",gjennomsnittleg produksjonsevne,zasób energetyczny średni (obiektu lub zespołu obiektów wodno-elektroenergetycznych),produtibilidade média (de um ou de um conjunto de aproveitamentos hidroeléctricos),srednja proizvodna zmogljivost,"средња продуктибилност , <једног или више хидроенергетских постројења> ж јд",medelårsproduktion,"平均电能能力, <一个或多个水力发电设施的>"
602-01-21,energy capability factor (of one or more hydroelectric installations),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-21,عامل القدرة الطاقية,"Arbeitsvermögens-Koeffizient (einer oder mehrerer Wasserkraftanlagen), m",energy capability factor (of one or more hydroelectric installations),índice de producibilidad (de un o de un conjunto de aprovechamientos hidroeléctricos),energian saantokerroin,indice de productibilité (d'un ou d'un ensemble d'aménagements hydro-électriques) m,coefficiente di producibilità,エネルギー容量係数,"에너지 가능율, <단일 또는 다수 수력 설비>전력 공급 가능율, <단일 또는 다수 수력 설비>","энергийн бүтээмжийн коэффициент, <нэг эсвэл түүнээс олон усан цахилгаан станцын байгууламжийн>",produksjonsverknadsgrad,współczynnik zasobu energetycznego (obiektu lub zespołu obiektów wodno-elektroenergetycznych),factor de produtibilidade hidroeléctrica (de um ou de um conjunto de aproveitamentos hidroeléctricos),faktor proizvodne zmogljivosti,"фактор продуктибилности , <једног или више хидроенергетских постројења> м јд",energiutnyttjningsfaktorbränslecell,"电能能力因数, <一个或多个水力发电设施的>"
602-01-22,thermal power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-22,محطة توليد حراريةمحطة انتاج حرارية,"Wärmekraftwerk, n",thermal power station,central térmicacentral termoeléctrica,lämpövoimalaitos,"centrale (électrique) thermique, fcentrale thermo-électrique, f",impianto termoelettrico,火力発電所,화력 발전소,дулааны цахилгаан станц,varmekraftstasjon,elektrownia cieplna,central termoeléctrica,termoelektrarnatoplotna elektrarna,"термоелектрана, ж јд",värmekraftstation,热力发电站
602-01-23,conventional thermal power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-23,محطة توليد حرارية تقليديةمحطة انتاج حرارية تقليدية,"konventionelles thermisches Kraftwerk, n",conventional thermal power station,central térmica convencional,konventionaalinen lämpövoimalaitos,"centrale thermique classique, f",impianto termoelettrico convenzionale o di tipo classico,在来型火力発電所,재래형 화력 발전소,органик түлш буюу нүүрсний дулааны цахилгаан станц,konvensjonell varmekraftstasjon,elektrownia cieplna konwencjonalna,central térmica clássicacentral térmica convencional,konvencionalna termoelektrarna,"конвенционална термоелектрана, ж јд",fossileldad värmekraftstation,火力发电站
602-01-24,combined heat and power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-24,حرارة وقدرة مدمجة,"Kraft-Wärme-Kopplung, f",combined heat and power,producción combinada de calor y de energía eléctrica,lämmön ja sähkön yhteistuotanto,"production combinée de chaleur et d'énergie électrique, f",produzione combinata di calore e di energia elettrica,熱電併給,복합 화력시에이치피,"дулаан, цахилгааны хосолсон үйлдвэрлэл",kraftvarmestasjon,gospodarka energetyczna skojarzona,produção combinada de calor e electricidade,kombinirana proizvodnja toplote in električne energije,"комбинована производња топлоте и електричне енергије, ж јд",värmekraftproduktion,热电联产
602-01-25,compressed air storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-25,تخزين الهواء المضغوط,"Druckluftspeicherung, f",compressed air storage,acumulación de aire comprimido,paineilmavarastointi,"accumulation d'air comprimé, f",accumulazione d’aria compressa,圧縮空気貯蔵,압축 공기 저장,шахсан агаарын нөөц,trykkluftsmagasin,akumulowanie sprężonego powietrza,armazenamento de ar comprimido,akumuliranje stisnjenega zraka,"акумулација компримованог ваздуха, ж јд",fyllning av tryckluftsmagasin,压缩空气储存
602-01-26,compressed air power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-26,محطة توليد غازي بالهواء المضغوط,"Luftspeicherkraftwerk, n",compressed air power station,central de acumulación de aire comprimido,paineilmavoimalaitos,"centrale par accumulation d'air comprimé, f",impianto ad accumulazione d’aria compressa,圧縮空気貯蔵所,압축 공기 발전소,шахсан агаарын хийн турбинтэй цахилгаан станц,trykkluftskraftstasjon,elektrownia na sprężone powietrze,central por armazenamento de ar comprimido,elektrarna na akumuliran stisnjen zrak,"гасно-турбинска електрана са акумулираним компримованим ваздухом, ж јд",tryckluftskraftstation,压缩空气电站
602-01-27,nuclear (thermal) power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-27,محطة توليد نووية (حرارية),"Kernkraftwerk, n",nuclear (thermal) power station,central (térmica) nuclear,ydinvoimalaitos,"centrale (thermique) nucléaire, f",impianto nucleotermoelettrico,原子力発電所,원자력 발전소,цөмийн дулааны цахилгаан станц,kjernekraftstasjon,elektrownia jądrowa,central nuclear,jedrska (nuklearna) (toplotna) elektrarna,"нуклеарна електрана, ж јд",kärnkraftstation,核电站
602-01-28,geothermal power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-28,محطة توليد بالحرارة الجوفية,"geothermisches Kraftwerk, n",geothermal power station,central geotérmica,geoterminen voimalaitos,"centrale géothermique, f",impianto geotermoelettrico,地熱発電所,지열 발전소,газрын гүний дулааны цахилгаан станц,geotermisk kraftstasjon,elektrownia geotermiczna,central geotérmica,geotermična elektrarna,"геотермална електрана, ж јд",jordvärmekraftstation,地热电站
602-01-29,solar power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-29,محطة توليد شمسية,"Sonnenkraftwerk, n",solar power station,central solar,aurinkovoimalaitos,"centrale solaire, f",centrale solare,太陽熱発電所,태양력 발전소,нарны цахилгаан станц,solkraftstasjon,elektrownia słoneczna,central solar,sončna elektrarna,"соларна електрана, ж јд",solkraftstation,太阳能电站
602-01-30,wind power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-30,محطة توليد بطاقة الرياح,"Windkraftwerk, n",wind power station,central eólica,tuulivoimalaitos,"centrale éolienne, f",centrale eolica,風力発電所,풍력 발전소,салхин цахилгаан станц,vindkraftstasjon,elektrownia wiatrowa farma wiatrowa,central eólica,vetrna elektrarna,"електрана на ветар, ж јд",vindkraftstation,风力电站
602-01-31,magneto-hydro-dynamic thermal power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-31,محطة توليد حرارية مغناطيسية مائية حركية,"magnetohydrodynamisches MHD-Kraftwerk, nmagnetohydrodynamisches Kraftwerk, n",magneto-hydro-dynamic thermal power stationMHD power station,central magnetohidrodinámica,magnetohydrodynaaminen voimalaitosMHD-voimalaitos,"centrale magnétohydrodynamique, fcentrale MHD, f",centrale magnetoidrodinamica - centrale MHD,電磁流体（MHD）火力発電所,자기 유체 발전소,соронзон шингэнт хүчний генораторт дулааны цахилгаан станцСГД цахилгаан станц,magnetohydrodynamisk kraftstasjon,elektrownia magnetohydrodynamiczna  elektrownia MHD,central magnetohidrodinâmicacentral MHD,magnetohidrodinamična (MHD) termoelektrarna,"магнетно-хидродинамичка термоелектрана , ж јд",kraftstation; MIlDmagnetohydrodynamisk kraftstationMHD-kraftstation,磁流体电站
602-01-32,ocean or sea temperature gradient power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-32,محطة توليد بتدرج حرارة المحيط أو البحر,"Meereswärme-Kraftwerk, n",ocean or sea temperature gradient power station,central de aprovechamiento del gradiente térmico de los mares,meren lämpötilaerovoimalaitos,"centrale d'énergie thermique des mers, f",Centrale a saldo termico del mare,海洋温度勾配発電所,해양 온도차 발전,далай эсвэл тэнгисийн усны температурын зөрүүгээр ажиллах цахилгаан станц,temperaturgradientkraftstasjon,elektrownia oceanotermiczna,central de gradiente de temperatura dos mares,elektrarna na toploto morske vode,"електрана на топлоту мора, ж јд",OTECtemperaturgradientkraftstation,海水温差电站
602-01-33,fuel cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-01-33,خلية وقود,"Brennstoffzelle, f",fuel cell,pila de combustible,polttokenno,"pile à combustible, f",pila a combustibile,燃料電池,연료 전지,түлшний элемент,brenselcelle,ogniwo paliwowe,pilha de combustível,gorivna celica,"горивна ћелија, ж јд",bränslecell,燃料电池
602-02-01,generating set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-01,مجموعة توليد,"Generatorsatz, m",generating set,grupo generador,generaattorikoneikko,"groupe générateur, m",gruppo generatore,発電装置,발전단 총전력,цахилгаан үйлдвэрлэх бүрдэл,generatoraggregat,zespół generatorowyzespół prądotwórczy,grupo gerador,proizvodni agregat,"генераторски агрегат, м јд",generatoraggregat,发电机组
602-02-02,motor set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-02,مجموعة محرك,"Motorsatz, m",motor set,grupo motor,moottorikoneikko,"groupe moteur, m",gruppo motore,モーター装置,전동기 설비전동기 세트,моторын бүрдэл,motoraggregat,zespół silnikowy,grupo motor,motorni agregat,"моторни агрегат, м јд",motoraggregat,电动机组
602-02-03,hydroelectric set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-03,مجموعة كهرومائية,"Wasserkraft-Maschinensatz, m",hydroelectric set,grupo hidroeléctrico,vesivoimakoneikko,"groupe hydro-électrique, m",gruppo idroelettrico,水力発電装置,수력 발전 설비수력 발전기 세트,усан цахилгаан үүсгүүрийн бүрдэл,vasskraftaggregat,hydrozespółturbozespół wodny,grupo hidroeléctrico,hidroelektrični agregat,"хидроелектрични агрегат, м јд",vattenkraftaggregat,水轮发电机组
602-02-04,reversible hydroelectric set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-04,مجموعة كهرومائية عكسية,"reversibler Maschinensatz, m",reversible hydroelectric set,grupo reversible,vaihtokäyttöinen vesivoimakoneikko,"groupe réversible, m",gruppo reversibile,両用水力発電装置,가역 수력 발전 설비,буцаж эргэх ажиллагаатай усан цахилгаан үүсгүүрийн бүрдэл,pumpeturbin,hydrozespół odwracalny,grupo reversível,reverzibilni hidroelektrični agregat,"реверзибилни хидроелектрични агрегат, м јд",reversibelt vattenkraftaggregat,可逆式水轮发电机组
602-02-05,dam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-05,سد,"Stauwerk, n",dam,presa,pato,"barrage, m",diga,ダム,댐,далан,dam,zapora,barragem,jezpregrada,"брана, ж јд",damm,坝
602-02-06,gravity dam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-06,سد ثقالي,"Schwergewichtsmauer, f",gravity dam,presa de gravedad,gravitaatiopato,"barrage-poids, m",diga a gravità,重力ダム,중력댐,хүнд далан,gravitasjonsdam,zapora ciężka zapora grawitacyjna,barragem (do tipo) gravidade,težnostna pregrada,"гравитациона брана, ж јд",gravitationsdamm,量力坝
602-02-07,arch dam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-07,سد على شكل قوس,"Bogenmauer, f",arch dam,presa de bóveda,holvipato,"barrage-voûte, m",diga a volte,アーチダム,아치댐,нуман далан,bogedam,zapora łukowa,barragem (do tipo) abóbada,ločna pregrada,"лучна брана, ж јд",valvdamm,拱坝
602-02-08,earth dam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-08,سد ترابي,"Erddamm, m",earth dam,presa de escollera,maapato,"barrage en terre, m",diga in terra,土石ダム,흙댐사력댐,шороон далан,fyllingsdam,zapora nasypowa zapora ziemna,barragem de terra,zemeljska pregrada,"земљана брана, ж јд",jorddamm,土坝
602-02-09,penstock,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-09,أنبوب تغذية التربة المائية,"Druckrohr, n",penstock,tubería forzada,tuloputki,"conduite forcée, f",condotta forzata,導水路,수문물막이수압철관,турбины ус дамжуулах хоолой,røyrgate,rurociąg ciśnieniowy,conduta forçada,tlačni cevovod,"цевовод под притиском, м јд",tilloppstub,压力管道
602-02-10,surge tank,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-10,ـ خزان مقاوم للضغط ـعمود مقاوم للضغط,"Wasserschloss, n",surge tanksurge shaft,chimenea de equilibrio,aaltoilutila,"cheminée d'équilibre, f",pozzo piezometrico,サージタンク,완충 탱크,тэнцүүлэх нөөц сав,svingesjakt,komora wyrównawcza,chaminé de equilíbrio,izravnalnik,"водостан, м јд",svallgalleri,调压塔调压井
602-02-11,impulse type turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-11,تربينية نبضية,"Aktionsturbine, f",impulse type turbine,turbina de acción,aktioturpiini,"turbine à action, f",turbina ad azione,インパルス型タービン,충동수차,импульсийн турбин,aksjonsturbin,turbina akcyjna,turbina de acção,akcijska (enakotlačna) turbina,"акциона турбина, ж јд",aktionsturbin,冲击式水轮机
602-02-12,reaction type turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-12,تربينية تفاعلية( توربين نوع رد فعلي),"Reaktionsturbine, f",reaction type turbine,turbina de reacción,reaktioturpiini,"turbine à réaction, f",turbina a reazione,反応型タービン,반동수차,гэдрэг үйлчлэлтэй турбин,reaksjonturbin,turbina reakcyjna,turbina de reacção,reakcijska (nadtlačna) turbina,"реакциона турбина, ж јд",reaktionsturbin,反击式水轮机
602-02-13,Pelton turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-13,تربينة بلتون,"Peltonturbine, f",Pelton turbine,turbina Pelton,peltonturpiini,"turbine Pelton, f",turbina Pelton,ペルトンタービン,펠톤 수차,Пельтоны турбин,peltonturbin,turbina Peltona,turbina Pelton,Peltonova turbina,"Пелтонова турбина, ж јд",Peltonturbin,水斗式水轮机贝尔顿水轮机
602-02-14,Francis turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-14,تربينة فرنسيس,"Francisturbine, f",Francis turbine,turbina Francis,francisturpiini,"turbine Francis, f",turbina Francis,フランシス水車,프란시스 수차,Фрэнсисийн турбин,francisturbin,turbina Francisa,turbina Francis,Francisova turbina,"Франсисова турбина, ж јд",Francisturbin,混流式水轮机
602-02-15,Kaplan turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-15,تربينة كابلان,"Kaplanturbine, f",Kaplan turbine,turbina Kaplan,kaplanturpiini,"turbine Kaplan, f",turbina Kaplan,カプラン水車,카플란수차,Капланы турбин,kaplanturbin,turbina Kaplana,turbina Kaplan,Kaplanova turbina,"Капланова турбина, ж јд",Kaplanturbin,轴流转浆式水轮机卡普兰式水轮机
602-02-16,bulb-type unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-16,وحدة بنموذج بصيلي,"Rohrturbinensatz, m",bulb-type unit,grupo bulbo,uppokoneikko,"groupe bulbe, m",turbina a bulbo,バルブ型ユニット,벌브형 설비,бүрхүүлтэй цогц төхөөрөмж,røyraggregat,hydrozespół rurowyturbozespół wodny rurowy,grupo bolbo,cevni agregat,"цевни капсулни хидроагрегат, м јд",rörturbin,灯泡式机组
602-02-17,propeller turbine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-17,تربينة مروحية,"Propellerturbine, f",propeller turbine,turbina hélice,potkuriturpiini,"turbine-hélice, f",turbina ad elica,プロペラ水車,프로펠러 터빈,сэнстэй турбин,propellturbin,turbina śmigłowa,turbina hélice,propelerska turbina,"пропелерна турбина, ж јд",propellerturbin,轴流定浆式水轮机
602-02-18,tail water reservoir,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=602-02-18,خزان الماء المنصرف,"Ausgleichsbecken, n",tail water reservoir,embalse de compensación,ala-allas,"bassin de compensation, m",bacino di compensa,放水貯水池,방수 저수지,тэнцүүлэн зохицуулах нөөцлүүр,utjamningsmagasin,zbiornik wyrównawczy,bacia de compensação,izravnalni zbiralnik (bazen),"компензациони базен, м јд",nedströmsmagasin,尾水水库
