term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
448-11-30,inrush current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-30,التيار المتدفق,"Einschaltstrom, m",inrush current,extracorriente de conexión,kytkentäsysäysvirta,"courant d'appel, m",corrente transitoria di inserzione,突入電流,돌입 전류,огцом шилжилтийн гүйдэл,"innkoplingsstraum, innkoplingstransient",prąd udarowy załączania,corrente de ligação,vklopni tok,"ударна струја, ж јд",inkopplingsström,涌流
448-11-31,tripping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-31,فصل,"Ausschalten, nAuslösen, n",tripping,desconexión,laukaisuauki ohjaus,"déclenchement, m",apertura (di un interruttore),トリップ,트리핑,таслах үйлдэл,"utkopling (ved manuell operasjon), utløysing (ved automatisk operasjon, f.eks. med impuls frå vern)",wyłączenie (wyłącznika),disparo,izklop,"окидање, с јд",utlösning,跳闸
448-11-32,operational tripping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-32,فصل تشغيلي,"betriebsbedingtes Ausschalten, nbetriebsbedingtes Auslösen, n",operational tripping,desconexión funcional,käyttötekninen laukaisu,"déclenchement fonctionnel, m",apertura funzionale,連携トリップ,작동 트리핑,шуурхай ажиллагааны таслах үйлдэл,driftsbunden operasjon,wyłączenie samoczynne prewencyjne,disparo funcional,funkcijski izklop,"функционално окидање, с јд",driftbetingad frånkoppling,操作跳闸
448-12-01,correct operation of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-01,تشغيل صحيح للحماية,"richtiges Funktionieren des Selektivschutzes, n",correct operation of protectioncorrect operation of relay system (US),funcionamiento correcto de una protección,suojauksen oikea toiminta,"fonctionnement correct d'une protection, m",funzionamento corretto di una protezione,保護の正動作,보호 정작동,реле хамгаалалтын зөв ажиллагаа,riktig operasjon,zadziałanie prawidłowe zabezpieczenia,funcionamento correcto de uma protecção,pravilno delovanje zaščite,"правилно деловање заштите, с јд",riktig skyddsfunktion,保护的正确动作
448-12-02,incorrect operation of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-02,تشغيل خاطئ للحماية,"unrichtiges Funktionieren des Selektivschutzes, n",incorrect operation of protectionincorrect operation of relay system (US),funcionamiento incorrecto de una protección,suojauksen virheellinen toiminta,"fonctionnement incorrect d'une protection, m",funzionamento non corretto di una protezione,保護の誤動作および誤不動作,보호 오작동,реле хамгаалалтын буруу ажиллагаа,feilaktig operasjon,działanie nieprawidłowe zabezpieczenia,funcionamento incorrecto de uma protecção,nepravilno delovanje zaščite,"неправилно деловање заштите, с јд",felaktig skyddsfunktion,保护的不正确动作
448-12-03,unwanted operation of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-03,تشغيل غير مرغوب فيه للحماية,"Überfunktion des Selektivschutzes, f",unwanted operation of protection,funcionamiento intempestivo de una protección,suojauksen tarpeeton toiminta,"fonctionnement intempestif d'une protection, m",funzionamento intempestivo di una protezione,保護の誤動作,보호 오작동,реле хамгаалалтын шаардлагагүй үед ажилласан тохиолдол,uønska operasjon,zadziałanie zbędne zabezpieczenia,funcionamento intempestivo de uma protecção,neželeno delovanje zaščite,"нежељено деловање заштите, с јд",oönskad skyddsfunktion,保护误动
448-12-04,failure to operate of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-04,تشغيل الحمايةإخفاق الفصل,"Unterfunktion des Selektivschutzes, f",failure to operate of protectionfailure to trip (US),fallo de funcionamiento de una protección,suojauksen toteutumaton toiminta,"défaillance de fonctionnement d'une protection, f",mancato funzionamento di una protezione,保護の誤不動作,보호 작동 실패트립 실패,реле хамгаалалтын ажиллаагүй тохиолдол,utelaten operasjon,brak zadziałania zabezpieczenia,falha de funcionamento de uma protecção,odpoved zaščite,"отказ деловања заштите, м јд",utebliven skyddsfunktion,保护拒动
448-12-05,reliability of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-05,اعتمادية الحماية,"Überlebenswahrscheinlichkeit des Selektivschutzes, f",reliability of protectionreliability of relay system (US),fiabilidad de una protección,suojauksen luotettavuus,"fiabilité d'une protection, f",fidatezza di funzionamento di una protezione,保護の信頼性,보호 신뢰도계전기 시스템 신뢰도,реле хамгаалалтын найдвартай ажиллагаа,pålitelegheit av vernetiltak,niezawodność zabezpieczenia,fiabilidade de uma protecção,zanesljivost zaščite,"поузданост заштите, ж јд",funktionssäkerhet hos reläskydd,保护的可靠性
448-12-06,security of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-06,تأمين الحماية,"Sicherheit des Selektivschutzes, f",security of protectionsecurity of relay system (US),seguridad de una protección,suojauksen toimintavarmuus,"sécurité d'une protection, f",sicurezza di una protezione; stabilità di una protezione,保護の正不動作信頼性,보호 안전도계전기 시스템 안전도,реле хамгаалалтын баталгаат байдал,nøyaktigheit av vernetiltak,bezpieczeństwo zabezpieczenia,segurança de uma protecção,sigurnost zaščite,"сигурност заштите, ж јд",säkerhet mot oönskad funktion,保护的安全性
448-12-07,dependability of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-07,تأمين تشغيل الحماية,"Zuverlässigkeit des Selektivschutzes, f",dependability of protectiondependability of relay system (US),seguridad de funcionamiento de una protección,suojauksen käyttövarmuus,"sûreté de fonctionnement d'une protection, f",affidabilità di una protezione; disponibilità di una protezione,保護の正動作信頼性,보호 의존성계전기 시스템 의존성,реле хамгаалалтын найдвартай байдал,pålitelegheit mot operasjonssvikt,pewność zabezpieczenia,dependabilidade de uma protecção,zagotovljivost zaščite,"сигурност функционисања заштите, ж јд",funktionspålitlighet,保护的信赖性
448-12-08,redundancy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-08,زيادة عن الحاجة (وفرة),"Redundanz, f",redundancy,redundancia,varmennus,"redondance, f",ridondanza,冗長性,중복성,бэлтгэл нөөц,redundans,redundancja nadmiarowość,redundância,redundanca,"редунданса, ж јд",redundans,冗余
448-12-09,hardware failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-09,عطل مادي,"Geräteausfall, m",hardware failure,fallo del material,laitevika,"défaillance matérielle, f",guasto del dispositivo di protezione,ハードウエア故障,하드웨어 고장,техник хэрэгслийн алдаа,komponentsvikt,uszkodzenie sprzętowe zabezpieczenia uszkodzenie sprzętowe,falha de equipamento,odpoved zaščitne naprave,"отказ заштитног уређаја, м јд",komponentfel,硬件失效
448-12-10,principle failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-10,إخفاق مبدئي,"Ausfall aufgrund von Prinzipfehler, m",principle failure,fallo de princípio,periaatevirhe,"défaillance de principe, f",guasto del principio di funzionamento di una protezione,原理的故障,원리 고장,зарчмын алдаа,prinsippsvikt,błąd koncepcyjny zabezpieczenia błąd koncepcyjny,falha de princípio,osnovna odpoved,"принципски отказ, м јд",principfel,原理性缺陷
448-12-11,automatic supervision function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-11,وظيفة الاشراف الآلية,"automatische Überwachung, fSelbstüberwachung, f",automatic supervision functionself-checking function (US),función de vigilancia automática,automaattinen valvonta,"fonction de surveillance automatique, f",funzione di sorveglianza automatica,自動監視機能,자동 감시 기능자체 검사 기능,автомат хянан шалгалтын функцөөрийгөө шалгах функц,"automatisk overvaking, sjølvovervaking",funkcja samokontroli zabezpieczenia funkcja samokontroli,função de vigilância automática,avtomatična nadzorna funkcija,"функција аутоматске провере, ж јд",automatisk övervakning,自检功能
448-12-12,automatic monitor function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-12,وظيفة المراقبة الآلية,"automatische Kontrolle, f",automatic monitor functionself-monitoring function (US),función de control automático,automaattinen seuranta,"fonction de contrôle automatique, f",funzione di controllo automatico,常時監視機能,자동 모니터 기능,автомат хяналтын функцөөрийгөө хянах функц,automatisk overvakingsvising,funkcja monitoringu zabezpieczenia funkcja monitoringu,função de monitoração automática,avtomatična javljalna funkcija,"самонадзор, м јд",automatisk övervakning,自动监视功能
448-12-13,automatic test function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-13,وظيفة الاختبار الآلية,"automatische Prüfung, f",automatic test functionself-testing function (US),función de prueba automática,automaattinen testaus,"fonction d'essai automatique, f",funzione di prova automatica,自動点検機能,자동 시험 기능자체 시험 기능,автомат туршилтын функцөөрийгөө турших функц,"automatisk prøving, sjølvprøving",funkcja samotestowania zabezpieczenia funkcja samotestowania,função de ensaio automático,avtomatična preskuševalna funkcija,"функција аутоматског испитивања, ж јд",automatisk provning,自动测试功能
448-12-14,non-power system fault tripping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-12-14,فصل غير ناتج عن عطل في شبكة القدرة,"ungewollte netzfehlzustandsunabhängige Ausschaltung, f",non-power system fault trippingfalse tripping (US),desconexión no imputable a una falta en la red de energía,laukaisu ilman ensiöjärjestelmävikaa,"déclenchement non imputable à un défaut dans le réseau d'énergie, m",apertura non relativa ad un guasto del sistema di potenza,ミストリップ,비전력 계통 고장 트리핑,эрчим хүчний системийн бус гэмтлээс үүссэн таслах үйлдэлбуруу таслах үйлдэл,utkopling utan nettfeil,wyłączenie błędne nie spowodowane zakłóceniem w systemie elektroenergetycznym wyłączenie błędne,disparo não imputável a avaria na rede (de energia),nepotrebni izklop,"нежељено окидање, с јд",utlösning utan nätfel,非电力系统故障跳闸
448-13-01,power system abnormality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-01,حالة غير طبيعية لشبكة القدرة,"Netzanomalie, f",power system abnormality,situación anormal de una red de energía,epänormaali verkon käyttötilanne,"situation anormale d'un réseau d'énergie, f",situazione anormale del sistema di potenza,系統異常電力系統異常,전력 시스템 비정상도,эрчим хүчний системийн хэвийн бус байдал,unormale driftsforhold,stan nienormalny systemu elektroenergetycznego,situação anómala de uma rede (de energia),nenormalno stanje elektroenergetskega sistema,"абнормално стање електроенергетског система, с јд",onormalt drifttillstånd,电力系统异常
448-13-02,power system fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-02,عطل في شبكة القدرة,"Netzfehler, m",power system fault,falta en una red de energía,verkkovikaverkkovikatilanne,"défaut dans un réseau d'énergie, m",guasto del sistema di potenza,系統事故電力系統事故,전력 시스템 고장,эрчим хүчний системийн гэмтэл,feil,zakłócenie w systemie elektroenergetycznym,avaria numa rede de energiadefeito numa rede de energia (desaconselhado neste sentido),okvara v elektroenergetskem sistemu,"квар у електроенергетском систему, м јд",nätfel,电力系统故障
448-13-03,internal fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-03,عطل داخلي,"interner Netzfehler, m",internal fault,falta interna,sisäinen vika,"défaut interne, m",guasto interno,内部事故,내부 고장,дотоод гэмтэл,intern feil,zakłócenie wewnętrzne,avaria internadefeito interno (desaconselhado neste sentido),notranja okvara,"унутрашњи квар, м јд",inre fel,区内故障
448-13-04,external fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-04,عطل خارجي,"externer Netzfehler, m",external fault,falta externa,ulkoinen vika,"défaut externe, m",guasto esterno,外部事故,외부 고장,гадаад гэмтэл,ekstern feil,zakłócenie zewnętrzne,avaria externadefeito externo (desaconselhado neste sentido),zunanja okvara,"спољашњи квар, м јд",yttre fel,区外故障
448-13-05,shunt fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-05,"عطل توازي , عطل قصر","Fehler durch Kurzschluss, m",shunt faultshort-circuit fault (US),falta paralelo,poikittaisvika,"défaut shunt, m",(guasto di) cortocircuito,短絡および地絡事故,분로 고장병렬 고장,зэрэгцээ гэмтэлбогино залгааны гэмтэл,"kortslutning, shuntfeil",zwarcie,avaria de curtocircuitoavaria paralela,prečna okvara,"кратак спој, м јд",shuntfel,短路故障
448-13-06,series fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-13-06,عطل توالي,"Fehler durch Leiterunterbrechung, m",series fault,falta serie,pitkittäisvika,"défaut série, m",(guasto di) interruzione,開放事故,직렬 고장,цуваа гэмтэл,"fasebrot, seriefeil",przerwanie ciągłości,avaria série,serijska okvara,"прекид, м јд",seriefel,纵向故障
