term_id,term,term_url,ar,de,en,es,fr,it,ja,no,pl,pt,ru,zh
426-01-11,portable equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-11,معدة محمولة,"tragbares Gerät, n",portable equipment,"equipo portátil, m","matériel portable, m",apparecchiatura portatile,携帯式機器,bærbart utstyr,"urządzenie przenośne, n",equipamento portátil,переносное электрооборудование,便携式设备
426-01-12,transportable equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-12,معدة سهل الانتقال بها,"transportables Gerät, n",transportable equipment,"equipo transportable, m","matériel transportable, m",apparecchiatura trasportabile,移動式機器,transportabelt utstyr,"urządzenie transportowalne, n",equipamento transportável,передвижное электрооборудование,移动式设备
426-01-13,Ex Component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-13,مكون مستخدم فى الأجواء المتفجرة فئة Ex,"Ex-Bauteil, n",Ex Component,"componente Ex, m","Composant Ex, m",componente Ex,Exコンポーネント,Ex komponent,"komponent Ex, m",componente Ex,Ex-компонент,Ex元件
426-01-14,Ex Equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-14,معدة مستخدمة فى الأجواء المتفجرة فئة Ex,"Ex-Gerät, n",Ex Equipment,"equipo Ex, m","Matériel Ex, m",apparecchiatura Ex,Ex機器,Ex utstyr,"urządzenie Ex, n",equipamento Ex,Ex-оборудование,Ex设备
426-01-15,EPL,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-15,"مستوى الحماية للمعدة EPL, فى الأجواء المتفجرة","Geräteschutzniveau, nEPL",EPLEquipment Protection Level,"Nivel de protección del equipo, mEPL, m","EPL, mNiveau de Protection du Matériel, m",EPLlivello di protezione della apparecchiatura,機器の保護レベル,"EPL, utstyrs-beskyttelsesnivå","poziom zabezpieczenia urządzenia, mEPL",nível de proteção do equipamentoEPL,уровень защиты электрооборудованияУрЗО,设备保护级别EPL
426-01-16,EPL Ma,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-16,"معدة لها مستوى حماية من الفئة Ma, فى الأجواء المتفجرة",EPL Ma,EPL Ma,"EPL Ma, m","EPL Ma, m",EPL Ma,EPL Ma機器の保護レベル非常に高い鉱道設置,EPL Ma,"poziom zabezpieczenia urządzenia Ma, mEPL Ma",nível de proteção do equipamento MaEPL Ma,УрЗО Ma,Ma级
426-01-17,EPL Mb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-17,"معدة لها مستوى حماية من الفئة Mb, فى الأجواء المتفجرة",EPL Mb,EPL Mb,"EPL Mb, m","EPL Mb, m",EPL Mb,EPL Mb機器の保護レベル高い坑道設置,EPL Mb,"poziom zabezpieczenia urządzenia Mb, mEPL Mb",nível de proteção do equipamento MbEPL Mb,УрЗО Mb,Mb级
426-01-18,EPL Ga,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-18,"معدة لها مستوى حماية من الفئة Ga, فى الأجواء المتفجرة",EPL Ga,EPL Ga,"EPL Ga, m","EPL Ga, m",EPL Ga,EPL Ga機器の保護レベル非常に高いガス状爆発雰囲気,EPL Ga,"poziom zabezpieczenia urządzenia Ga, mEPL Ga",nível de proteção do equipamento GaEPL Ga,УрЗО Ga,Ga级
426-01-19,EPL Gb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-19,"معدة لها مستوى حماية من الفئة Gb, فى الأجواء المتفجرة",EPL Gb,EPL Gb,"EPL Gb, m","EPL Gb, m",EPL Gb,EPL Gb機器の保護レベル高いガス状爆発雰囲気,EPL Gb,"poziom zabezpieczenia urządzenia Gb, mEPL Gb",nível de proteção do equipamento GbEPL Gb,УрЗО Gb,Gb级
426-01-20,EPL Gc,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-20,"عدة لها مستوى حماية من الفئة Gc, فى الأجواء المتفجرة",EPL Gc,EPL Gc,"EPL Gc, m","EPL Gc, m",EPL Gc,EPL Gc機器の保護レベル拡張ガス状爆発雰囲気,EPL Gc,"poziom zabezpieczenia urządzenia Gc, mEPL Gc",nível de proteção do equipamento GcEPL Gc,УрЗО Gc,Gc级
426-01-21,EPL Da,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-21,"معدة لها مستوى حماية من الفئة Da, فى الأجواء المتفجرة",EPL Da,EPL Da,"EPL Da, m","EPL Da, m",EPL Da,EPL Da機器の保護レベル非常に高い粉塵状爆発性雰囲気,EPL Da,"poziom zabezpieczenia urządzenia Da, mEPL Da",nível de proteção do equipamento DaEPL Da,УрЗО Da,Da级
426-01-22,EPL Db,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-22,"معدة لها مستوى حماية من الفئة Db, فى الأجواء المتفجرة",EPL Db,EPL Db,"EPL Db, m","EPL Db, m",EPL Db,EPL Db機器の保護レベル高い粉塵状爆発性雰囲気,EPL Db,"poziom zabezpieczenia urządzenia Db, mEPL Db",nível de proteção do equipamento DbEPL Db,УрЗО Db,Db级
426-01-23,EPL Dc,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-23,"معدة لها مستوى حماية من الفئة Dc, فى الأجواء المتفجرة",EPL Dc,EPL Dc,"EPL Dc, m","EPL Dc, m",EPL Dc,EPL Dc機器の保護レベル拡張粉塵状爆発性雰囲気,EPL Dc,"poziom zabezpieczenia urządzenia Dc, mEPL Dc",nível de proteção do equipamento DcEPL Dc,УрЗО Dc,Dc级
426-01-24,Level of Protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-24,"مستوى الحماية, فى الأجواء المتفجرة","Schutzniveau, n",Level of Protection,"Nivel de protección, m","Niveau de Protection, m",Livello di protezione,保護レベル,"beskyttelsesnivå,","poziom zabezpieczenia, m",nível de proteção,Уровень защитыстепень защиты,保护等级
426-02-01,auto-ignition temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-01,درجة حرارة الاشتعال الذاتى,"Selbstentzündungstemperatur, f",auto-ignition temperatureAIT,"Temperatura de auto inflamación, f","température d'auto-inflammation, fAIT, f",temperatura di auto-accensioneAIT,自然発火温度,tenntemperatur for ein eksplosiv gassatmosfære,"temperatura samozapłonu, f",temperatura de auto-ignição,Температура автоматического воспламенениятемпература самовозгорания,自燃温度AIT
426-02-05,explosive test mixture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-05,خليط متفجر للاختبار,"explosionsfähiges Prüfgemisch, n",explosive test mixture,"mezcla explosiva de ensayo, f","mélange explosif d'essai, m",miscela eslosiva di prova,爆発性試験ガス,eksplosiv testblanding,"probiercza mieszanina wybuchowa, f",mistura explosiva de ensaio,взрывоопасная испытательная смесь,试验用爆炸性混合物
426-02-09,lower flammable limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-09,أقل حد للاشتعال,"untere Brennbarkeitsgrenze, fLFL",lower flammable limitLFL,"Límite inferior de explosividad, mLIE, m","limite inférieure d'inflammabilité, fLII, f",limite inferiore di infiammabilitàLFL,燃焼下限界,nedre eksplosjonsgrense,"dolna granica palności, f",limite inferior de inflamabilidade,нижний предел взрываемостинижний предел огнеопасной концентрации,燃烧下限LFL
426-02-10,upper flammable limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-10,أعلى حد للاشتعال,"obere Brennbarkeitsgrenze, fUFL",upper flammable limitUFL,"Límite superior de inflamabilidad, mLII, m","limite supérieure d'inflammabilité, fLSI, f",limite superiore di infiammabilitàUFL,燃焼上限界,øvre eksplosjonsgrense,"górna granica palności, f",limite superior de inflamabilidade,верхний предел взрываемостиверхний предел огнеопасной концентрации,燃烧上限UFL
426-02-11,maximum experimental safe gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-11,أقصى ثغرة آمنة للأختبار,"experimentell ermittelte Grenzspaltweite, fMESG",maximum experimental safe gapMESG,"Intersticio Experimental Máximo de Seguridad, mIEMS, m","interstice expérimental maximal de sécurité, mMESG, m",massimo interstizio sperimentale di sicurezzaMESG,最大安全隙間,maksimalt eksperimentelt tryggleiksgap,"maksymalny doświadczalny prześwit bezpieczny, m",hiato experimental máximo de segurança,безопасный экспериментальный максимальный зазорБЭМЗ,最大试验安全间隙MESG
426-02-12,minimum igniting current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-12,اقل تيارللأشتعال,"Mindestzündstrom, mMIC",minimum igniting currentMIC,"Corriente mínima de inflamación, f","courant minimal d'inflammation, mMIC, m",corrente minima di accensioneMIC,最小着火電流,minimium tenningsstraum,"minimalny prąd zapalający, m",corrente mínima de ignição,минимальный воспламеняющий токМВТ,最小点燃电流MIC
426-02-14,"flash point, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-14,"نقطة الوميض, الأجواء المتفجرة","Flammpunkt, <explosionsfähige Atmosphären> mFP","flash point, <explosive atmospheres>FP","Punto de destello, mPunto de inflamabilidad, m","point d'éclair, <atmosphères explosives> mFP, m","temperatura di infiammabilità, <atmosfere esplosive>FP","引火点, <爆発性雰囲気>",flammepunkt,"temperatura zapłonu, <atmosfery wybuchowe> f","ponto de inflamação, <atmosferas explosivas>",температура воспламенениятемпература воспламенения,"闪点, <爆炸性环境>FP"
426-02-15,pressure piling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-15,ضغط داعم,"Drucküberhöhung, f",pressure piling,"precompresión, f","phénomène de précompression, m",precompressione,圧力重積,prekompresjon,"spiętrzenie ciśnienia, n",fenómeno de precompressão,поджатиеувеличение давления,压力重叠
426-02-17,"dust, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-17,"غبار, الأجواء المتفجرة","Staub, <explosionsfähige Atmosphären> m","dust, <explosive atmospheres>","polvo, m","poussière, <atmosphères explosives> f","polvere, <atmosfere esplosive>","粉じん, <爆発性雰囲気>",støv,"pył, <atmosfery wybuchowe> m","poeira, <atmosferas explosivas>",пыль,"粉尘, <爆炸性环境>"
426-02-18,combustible dust,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-18,غبار مشتعل,"brennbarer Staub, m",combustible dust,"polvo combustible, m","poussière combustible, f",polvere combustibile,可燃性粉じん,brenneleg støv,"pył palny, m",poeira combustível,горючая пыль,可燃性粉尘
426-02-19,conductive dust,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-19,غبار موصل,"leitfähiger Staub, m",conductive dust,"polvo conductor, m","poussière conductrice, f",polvere conduttrice,導電性粉じん,elektrisk leiande støv,"pył przewodzący, m",poeira condutora,электропроводящая пыльтокопроводящая пыль,导电性粉尘
426-02-20,minimum ignition temperature of a dust layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-20,اقل درجة حرارة اشتعال لطبقة غبار,"Mindestzündtemperatur einer Staubschicht, f",minimum ignition temperature of a dust layer,"temperatura mínima de inflamación de una capa de polvo, f","température minimale d'inflammation d'une couche de poussière, f",temperatura minima di accensione di uno strato di polvere,粉じん堆積層の最小発火温度,lågaste tenntemperatur for eit støvlag,"minimalna temperatura zapłonu warstwy pyłu, f",temperatura mínima de ignição de uma camada de poeira,минимальная температура самовоспламенения слоя пыли,粉尘层的最低点燃温度
426-02-21,minimum ignition temperature of a dust cloud,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-21,اقل درجة حرارة اشتعال لسحابة غبار,"Mindestzündtemperatur einer Staubwolke, f",minimum ignition temperature of a dust cloud,"temperatura mínima de inflamación en nube, f","température minimale d'inflammation d'un nuage de poussière, f",temperatura minima di accensione di una nube di polvere,粉じん雲の最小発火温度,lågaste tenntemperatur for ei støvsky,"minimalna temperatura zapłonu obłoku pyłu, f",temperatura mínima de ignição de uma nuvem de poeira,минимальная температура самовоспламенения облака пыли,粉尘云的最低点燃温度
426-02-22,hybrid mixture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-22,خليط هجين,"hybrides Gemisch, nhybride Mischung, f",hybrid mixture,"mezcla híbrida, f","mélange hybride, m",miscela ibrida,ハイブリッド混合物,hybrid blanding,"mieszanina hybrydowa, f",mistura híbrida,комбинированная смесь,杂混物
426-02-23,pyrophoric substance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-23,مادة اشتعال,"pyrophorer Stoff, m",pyrophoric substance,"sustancia pirofórica, f","substance pyrophorique, f",sostanza piroforica,発火性物質,pyrofort stoff,"substancja piroforyczna, f",substância pirofórica,самовоспламеняющееся вещество,自燃物质
426-02-24,firedamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-24,خليط من غازات المناجم,"Grubengas, n",firedamp,"grisú, m","grisou, m",grisou,坑気,gruvegass,"gaz kopalniany, m",grisú,рудничный газметановоздушная смесь,瓦斯
426-02-25,"combustible flyings, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-25,حبيبات طائرة قابلة للأشتعال,"brennbare Schwebstoffe, m plbrennbare Flusen, m pl","combustible flyings, pl","partículas combustibles en suspensión, f","particules combustibles en suspension dans l'air, f pl","particelle combustibili, pl",可燃性浮遊物,brennelege svevepartiklar,"palne unoszące się cząstki, f pl",suspensões,горючие летучие частицы,可燃性飞絮
426-02-26,gas,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-26,غاز,"Gas, n",gas,"gas, m","gaz, m",gas,ガス,gass,"gaz, m",gás,газ,气体
426-02-27,auto-ignition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-27,اشتعال ذاتى,"Selbstentzündung, f",auto-ignition,"autoinflamación, f","auto-inflammation, f",autoaccensione,自然発火,selvantenning,"samozapłon, m",auto-ignição,авто-воспламенениесамовозгорание,自燃
426-02-28,"ignition delay time, <flammable material>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-28,"زمن تأخير الإشتعال, مادة قابلة للإشتعال","Zündverzugszeit, <brennbarer Stoff> f","ignition delay time, <flammable material>","tiempo de retardo de la inflamación, m","retard à l'inflammation, <matériau inflammable> m","tempo di ritardo all'accensione, <materiale infiammabile>","着火遅れ時間, <可燃性物質の>","tenningsforsinkelsestid,","czas opóźnienia zapłonu, <substancja palna> m","tempo de propagação de ignição, <matéria inflamável>",время задержки воспламенениявремя задержки возгорания,"点燃延迟时间, <可燃性物质>"
426-02-29,"mist, <flammable material>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-29,"ضباب, مادة قابلة للإشتعال","Nebel, <brennbarer Stoff> m","mist, <flammable material>","niebla, f","brouillard, <matériau inflammable> m","nebbia, <materiale infiammabile>","ミスト, <可燃性物質の>","tåke,","mgła, <substancja palna> f","névoa, <matéria inflamável>",пары горючих жидкостей,"薄雾, <可燃性物质>"
426-02-30,non-conductive dust,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-30,غبار غير موصل,"nichtleitfähiger Staub, m",non-conductive dust,"polvo no conductor, m","poussière non conductrice, f",polvere non conduttrice,非導電性粉じん,ikke-ledende støv,"pył nieprzewodzący, m",poeira não-condutora,Неэлектропроводящая пыльтоконепроводящая пыль,非导电性粉尘
426-02-31,vapour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-31,بخار,"Dampf, m",vapour,"vapor, m","vapeur, f",vapore,蒸気,damp,"para, f",vapor,пар,蒸气
426-02-32,"relative density, <of a gas or a vapour>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-32,"كثافة نسبية, لغاز اوبخار","relative Dichte, <eines Gases oder eines Dampfes> f","relative density, <of a gas or a vapour>","densidad relativa, f","densité relative, <d'un gaz ou d'une vapeur> f","densità relativa, <di un gas o di un vapore>","比重, <ガス又は蒸気の>","relativ tetthet,","gęstość względna, <gazu lub pary> f","densidade relativa, <de um gás ou vapor>",относительная плотность,"相对密度, <气体或蒸气的>"
426-02-33,flammable liquid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-33,سائل قابل للاشتعال,"brennbare Flüssigkeit, f",flammable liquid,"líquido inflamable, m","liquide inflammable, m",liquido infiammabile,引火性液体,brannfarlig væske,"ciecz palna, f",líquido inflamável,горючая жидкость,可燃性液体
426-02-34,flammable gas,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-34,غاز قابل للاشتعال,"brennbares Gas, n",flammable gas,"gas inflamable, m","gaz inflammable, m",gas infiammabile,可燃性ガス,brannfarlig gass,"gaz palny, m",gás inflamável,горючий газ,可燃性气体
426-02-35,flammable vapour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-35,بخار قابل للاشتعال,"brennbarer Dampf, m",flammable vapour,"vapor inflamable, m","vapeur inflammable, f",vapore infiammabile,可燃性ガス又は蒸気,brannfarlig damp,"para palna, f",vapor inflamável,горючий пар,可燃性蒸气
426-02-36,boiling point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-36,نقطة الغليان,"Siedepunkt, m",boiling point,"punto de ebullición, m","point d'ébullition, m",temperatura di ebollizione,沸点,kokepunkt,"temperatura wrzenia, f",ponto de ebulição,точка кипения,沸点
426-02-37,vapour pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-37,ضغط البخار,"Dampfdruck, m",vapour pressure,"presión de vapor, f","pression de vapeur, f",tensione di vapore,蒸気圧,damptrykk,"prężność pary, f",pressão de vapor,давление насыщенного пара,蒸气压
426-02-38,minimum ignition energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-38,اقل طاقة إشتعال,"Mindestzündenergie, fMIE",minimum ignition energyMIE,"energía mínima de inflamación, f","énergie minimale d'inflammation, fMIE",energia minima di accensioneMIE,最小着火エネルギー,minimum tennenergi (MIE),"minimalna energia zapłonu, f",energia mínima de ignição,минимальная энергия воспламененияминимальная энергия зажигания,最小点燃能量MIE
426-02-39,"flammable limits, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-02-39,حدود قابلية الاشتعال,"Mindestzündenergie, fMIE","flammable limits, pl","límites de inflamación, m","limites d'inflammabilité, f pl","limiti di infiammabilità, pl",燃焼限界,eksplosjonsgrenser,"granice palności, f pl","limites de inflamabilidade, pl",пределы взрываемости,燃烧极限
426-03-01,hazardous area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-01,مساحة خطرة,"explosionsgefährdeter Bereich, <explosionsfähige Atmosphären> m",hazardous area,"emplazamiento peligroso, m","emplacement dangereux, m",luogo pericoloso,危険場所,eksplosjonsfarleg område,"przestrzeń zagrożona, f",área perigosa,взрывоопасная среда,危险场所
426-03-02,non-hazardous area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-02,مساحة غير خطرة,"nichtexplosionsgefährdeter Bereich, <explosionsfähige Atmosphären> m",non-hazardous area,"emplazamiento no peligroso, m","emplacement non dangereux, m",luogo non pericoloso,非危険場所,ikkje-eksplosjonsfarleg område,"przestrzeń niezagrożona, f",área não-perigosa,взрывобезоопасная среда,非危险场所
426-03-03,Zone 0,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-03,منطقة خطرة فئة صفر,"Zone 0, f",Zone 0,"zona 0, f","Zone 0, f",zona 0,ゾーン0,sone 0,"strefa 0, f",zona 0,зона класса 0,0区
426-03-04,Zone 1,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-04,منطقة خطرة فئة 1,"Zone 1, f",Zone 1,"zona 1, f","Zone 1, f",zona 1,ゾーン1,sone 1,"strefa 1, f",zona 1,зона класса 1,1区
426-03-05,Zone 2,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-05,منطقة خطرة فئة 2,"Zone 2, f",Zone 2,"zona 2, f","Zone 2, f",zona 2,ゾーン2,sone 2,"strefa 2, f",zona 2,зона класса 2,2区
426-03-06,source of release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-06,مصدر تنفيس,"Freisetzungsquelle, f",source of release,"fuente de escape, f","source de dégagement, f",sorgente di emissione,放出源,utsleppskjelde,"źródło uwalniania, n",fonte de libertação,источник утечки,释放源
426-03-10,continuous grade of release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-10,درجة تنفيس مستمر,"kontinuierlicher Freisetzungsgrad, m",continuous grade of release,"grado de escape contínuo, m","degré ""dégagement continu"", m",emissione di grado continuo,連続放出等級,kontinuerleg utslepp,"ciągły stopień uwalniania, m",grau de libertação contínua,постоянная утечканепрерывная утечка,连续级释放
426-03-11,primary grade of release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-11,درجة تنفيس إبتدائى,"primärer Freisetzungsgrad, m",primary grade of release,"grado de escape primario, m","degré ""dégagement primaire"", m",emissione di primo grado,第一放出等級,primært utslepp,"pierwszy stopień uwalniania, m",grau de libertação primária,утечка первой степени,1级释放
426-03-12,secondary grade of release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-12,درجة تنفيس ثانوى,"sekundärer Freisetzungsgrad, m",secondary grade of release,"grado de escape secundario, m","degré ""dégagement secondaire"", m",emissione di secondo grado,第二放出等級,sekundært utslepp,"drugi stopień uwalniania, m",grau de libertação secundária,утечка второй степени,2级释放
426-03-13,release rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-13,معدل التنفيس,"Freisetzungsrate, f",release rate,"tasa de escape, f","taux de dégagement, m",tasso di emissione,放出率,utsleppsrate,"szybkość uwalniania, f",taxa de libertação,интенсивность утечкискорость утечки,释放速率
426-03-14,ventilation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-14,تهوية,"Belüftung, f",ventilation,"ventilación, f","ventilation, f",ventilazione,通気,ventilasjon,"wentylacja, f",ventilação,вентиляция,通风
426-03-16,flammable material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-16,مادة قابلة للإشتعال,"brennbarer Stoff, m",flammable materialflammable substance,"material inflamable, m","matière inflammable, fsubstance inflammable, f",materiale infiammabilesostanza infiammabile,可燃性物質,brenneleg stoff,"materiał palny, m",material inflamável,горючий материал,"可燃性材料可燃性物质, <相关条目：IEV 426-09-10>"
426-03-21,extent of zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-21,امتداد المنطقة الخطرة,"Zonenausdehnung, f",extent of zone,"extensión de la zona, f","extension de zone, f",estensione della zona,区域の広がり,utstrekning av sone,"zasięg strefy, m",extensão de zona,размер зоныпротяженность зоны,区域范围
426-03-22,liquefied flammable gas,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-22,مادة مسيلة قابلة للإشتعال,"verflüssigtes brennbares Gas, n",liquefied flammable gas,"gas licuado inflamable, m","gaz liquéfié inflammable, m",gas liquefatto infiammabile,可燃性液体,flytande brenneleg gass,"skroplony gaz palny, m",gás liquefeito inflamável,сжиженный горючий газ,液化可燃性气体
426-03-23,Zone 20,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-23,منطقة خطرة فئة 20,"Zone 20, f",Zone 20,"zona 20, f","Zone 20, f",Zona 20,ゾーン20,sone 20,"strefa 20, f",zona 20,зона класса 20,20区
426-03-24,Zone 21,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-03-24,منطقة خطرة فئة 21,"Zone 21, f",Zone 21,"zona 21, f","Zone 21, f",Zona 21,ゾーン21,sone 21,"strefa 21, f",zona 21,зона класса 21,21区
