term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
617-02-04,final customer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-04,المستهلك النهائىآخر مستهلك,"Endabnehmer, mEndverbraucher, m",final customerend-use customer,,loppukäyttäjäloppukuluttaja,"client final, m",,最終需要家,최종 소비자,эцсийн хэрэглэгч,odbiorca końcowy,cliente final,končni odjemalec,"крајњи купац, м јд",,终端用户
617-02-05,residential customer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-05,مستهلك سكنىمستهلك محلى,"Haushaltsabnehmer, mPrivatverbraucher, m",residential customerdomestic customer,,asumiskuluttaja,"client résidentiel, mclient domestique, m",,家庭用需要家,주거용 소비자,орон сууцны хэрэглэгч,odbiorca typu gospodarstwo domowe,cliente residencialcliente residencial,gospodinjski odjemalec,"купац за домаћинства, м мн",,居民用户
617-02-06,eligible (retail) customer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-06,مستهلك قطاعى,"freier Abnehmer, m",eligible (retail) customer,,vapaa kuluttaja,"client éligible, m",,適格需要家,정격 소매 소비자,хүлээн зөвшөөрөгдсөн жижиглэн худалдааны үйлчлүүлэгч,odbiorca korzystający z prawa wyboru dostawcyodbiorca korzystający z prawa wyboru sprzedawcy,cliente elegível,upravičeni odjemalec,"квалификовани купац, <малопродаја> м јд",,准入的零售用户准入的用户
617-02-07,(power) system user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-07,مستخدم نظام (القدرة)مستخدم شبكة (القدرة),"Netznutzer, m",(power) system user(power) network user,,verkon käyttäjä,"utilisateur de réseau (d’énergie), m",,託送利用者,전력 계통 사용자,эрчим хүчний системийн хэрэглэгчэрчим хүчний шугам сүлжээний хэрэглэгч,użytkownik systemu elektroenergetycznego,utilizador de rede (de energia eléctrica),uporabnik (elektroenergetskega) omrežja,"корисник електроенергетског система, м јдкорисник електроенергетске мреже, м јд",,电力系统用户系统用户
617-02-08,(electricity) supplier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-08,مصدر التغذية (الكهربية),"Elektrizitätsversorger, m",(electricity) supplier,,sähkön myyjämyyjä,"fournisseur (d’électricité), m",,電力供給者供給者,전기 공급자,цахилгаан эрчим хүч нийлүүлэгч,dostawca (energii elektrycznej)sprzedawca (energii elektrycznej),fornecedor (de electricidade),dobavitelj (električne) energije,"снабдевач, <електричном енергијом> м јд",,电力供应商
617-02-09,system operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-09,مشغل النظاممشغل الشبكة,"Netzbetreiber, m",system operatornetwork operator,,verkonhaltijaverkko-operaattori,"opérateur de réseau, mgestionnaire de réseau, m",,系統運用者,계통 운영자,системийн операторшугам сүлжээний оператор,operator systemu,operador de rede,sistemski operater,"оператор система, м јдмрежни оператор, м јд",,系统运营商
617-02-10,distribution system operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-10,مشغل نظامِ التوزيعمشغل شبكةِ التوزيعموزع,"Verteilnetzbetreiber, m",distribution system operatordistribution network operatordistributor,,jakeluverkonhaltijajakeluverkko-operaattori,"opérateur de réseau de distribution, mgestionnaire de réseau de distribution, mdistributeur, m",,配電系統運用者,배전 계통 운영자,түгээх системийн оператортүгээх шугам сүлжээний оператор,operator systemu dystrybucyjnego,operador de rede de distribuiçãodistribuidor,sistemski operater distribucijskega omrežja,"оператор система за дистрибуцију, м јдоператор дистрибутивне мреже, м јддистрибутер, м јд",,配电系统运营商
617-02-11,transmission system operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-11,مشغل نظامِ النقلمشغل شبكةِ النقل,"Übertragungsnetzbetreiber, m",transmission system operatortransmission network operator,,siirtoverkonhaltijasiirtoverkko-operaattori,"opérateur de réseau de transport, mgestionnaire de réseau de transport, m",,送電系統運用者,송전 계통 운영자,дамжуулах системийн оператордамжуулах шугам сүлжээний оператор,operator systemu przesyłowego,operador de rede de transporte,sistemski operater prenosnega omrežja,"оператор преносног система, м јдоператор преносне мреже, м јд",,输电系统运营商
617-02-12,vertically integrated electricity entity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-12,كيان كهرباءِ متكاملِ بشكل عمودي,"vertikal integriertes Elektrizitätsunternehmen, n",vertically integrated electricity entity,,vertikaalisesti integroitunut sähköyhtiö,"entité intégrée verticalement, f",,垂直統合された電力事業者,수직 통합 전기,цахилгаан хангамжийн босоо тогтолцоотой аж ахуйн нэгж,przedsiębiorstwo energetyczne zintegrowane pionowo,entidade integrada verticalmente,navpično integrirano elektroenergetsko podjetje,"вертикално интегрисани електроенергетски субјект, м јд",,垂直一体化电力实体
617-02-13,balancing coordinator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-13,منسق الإتزانممد الإتزانمصدر الإتزان,"Leistungsbilanzkoordinator, m",balancing coordinatorbalancing providerbalancing supplier,,tasevastaava,"responsable d’équilibre, m",,バランシング・グループ,균형 조정자수급 균형 조정자,тэнцвэржүүлэх зохицуулагчтэнцвэржүүлэх хангагчтэнцвэржүүлэх нийлүүлэгч,podmiot odpowiedzialny za bilansowanie handlowe,coordenador de equilíbrio,bilančni koordinator,"координатор за балансирање, м јдкоординатор за испоруку енергије, м јдкоординатор за снабдевање енергијом, м јд",,平衡协调方平衡提供方平衡供应方
617-02-14,metering service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-14,الممد بخدمة القياسمشغل القياس,"Messdienst, m",metering service providermeter operator,,mittauspalveluoperaattori,"opérateur de comptage, m",,ＭＳＰ計量サービス事業者,계량 사업자,тоолуурын үйлчилгээ эрхлэгчтоолуурын оператор,operator pomiarów,operador de contagem,izvajalec storitev merjenjaoperater merjenja,"оператор за мерења, м јд",,计量服务方
617-02-15,(electricity) wheeling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-15,تدوير (الكهرباء) أو (إعادة إستخدام الكهرباء),"Elektrizitätsdurchleitung, f",(electricity) wheeling,,siirtojärjestelmän vuokraus,"transfert (d’électricité), m",,電力の託送託送,전기 탁송,цахилгааны гэрээт хэрэглэгч,tranzyt energii elektrycznej,transferência (de electricidade),tranzit (električne) energije,"пренос електричне енергије, м јд",,电力转运
617-02-16,prosumer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-16,,"Prosumer, m",prosumer,,tuottaja-kuluttaja,"prosommateur, m",utente attivo,プロシューマー,생비자생산.소비자,үйлдвэрлэдэг хэрэглэгч,"prosument, m",prosumer,,,prosument,电力产消者
617-02-17,"self-producer, <of electrical energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-17,,"Eigenerzeuger, <von elektrischer Energie> m","self-producer, <of electrical energy>",,sähkön pientuottaja,"autoproducteur, <d'énergie électrique> m",autoproduttore,"自家発電者, <電気エネルギーの>",자체 생산자,"өөрийн хэрэгцээний үйлдвэрлэгч, <цахилгаан энергийн>","samodzielny producent, m","auto-produtor, <de eletricidade>",,,egenproducent,自发电用户，<电力的>
617-02-18,aggregator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-18,,"Aggregator, m",aggregator,,pientuotannnon välittäjä,"agrégateur, m",aggregatore,アグリゲーター,모집자,агрегатор,"koncentrator, magregator, m",agregador,,,Aggregator,系统集成商
617-02-19,microgrid operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-19,,"Microgridbetreiber, m",microgrid operator,,mikroverkko-operaattori,"opérateur de microréseau, m",operatore di microrete,マイクログリッドの運用者,마이크로그리드 운영자미세망 운영자,бичил сүлжээний оператор,"operator mikrosieci, m",operador de micro-rede,,,mikronätsoperatör,微网调度
617-02-20,microgrid user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-02-20,,"Microgridnutzer, m",microgrid user,,mikroverkon käyttäjä,"utilisateur de microréseau, m",utente di microrete,マイクログリッドの利用者,마이크로그리드 사용자미세망 사용자,бичил сүлжээний хэрэглэгч,"użytkownik mikrosieci, m",utilizador de micro-rede,,,mikronätsanvändare,微网用户
617-03-01,energy exchange,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-01,تبادل الطاقة الكهربائية,"Elektrizitätsbörse, fStrombörse, f",energy exchange,,sähköpörssi,"bourse d’énergie, f",,電力取引所,에너지 환율,эрчим хүчний солилцоо,giełda energii elektrycznej,bolsa de energia,borza električne energije,"размена енергије, ж јд",,电能交易所
617-03-02,capacity tendering procedure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-02,إجراء تغطية زيادة الأحمال,"Kapazitätsangebotsverfahren, n",capacity tendering procedure,,kapasiteetin tarjousmenettely,"procédure de soumission de capacités de production, f",,,용량 입찰 과정,хүчин чадлын өрсөлдөөнт шалгаруулалтын үйл явц,przetarg na zdolności wytwórcze,procedimento de submissão de capacidade de produção,postopek javnega razpisa za nove proizvodne zmogljivosti,"процедура за јавну набавку капацитета, ж јд",,容量调整程序
617-03-03,code (in electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-03,الشفرة (فى نظام القدرة الكهربائية),"Kodex, <in einem Elektrizitätsversorgungssystem> m",code (in electric power system),,sähkövoimajärjestelmän säännötsäännöt,code (dans un réseau d’énergie électrique) m,,"規則, <電力系統の>","규정, <전력계통>규격, <전력계통>","хууль тогтоомж, <цахилгаан эрчим хүчний системийн>",instrukcja ruchu i eksploatacji sieci (przesyłowej lub dystrybucyjnej),código (numa rede de energia eléctrica),pravilnik v elektroenergetskem sistemu,"кôд, <у електроенергетском систему> м јд",,"规则, <电力系统的>"
617-03-04,congestion (in electric power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-04,الإحتقان (فى نظام القدرة الكهربائية),"Engpass, <in einem Elektrizitätsversorgungssystem> m",congestion (in electric power system),,sähköverkon pullonkaulapullonkaula,congestion (dans un réseau d’énergie électrique) f,,"送電線混雑, <電力系統の>","혼잡, <전력계통>","хэт ачаалал, <цахилгаан эрчим хүчний систем дэх>",ograniczenie zdolności przesyłowych (w systemie elektroenergetycznym),congestionamento (numa rede de energia eléctrica),zamašitev v elektroenergetskem sistemu,"загушеност, <у електроенергетском систему> ж јд",,"阻塞, <电力系统的>"
617-03-05,(operational event) notification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-05,إخطار (حدث تشغيلى),"Notifizierung (eines Betriebsereignisses), f",(operational event) notification,,ilmoitus käyttötapahtumastailmoitus,"notification (d’un évènement d’exploitation), f",,,통지,ашиглалтын арга хэмжээний мэдэгдэл,potwierdzenie operacji ruchowej,notificação (de um evento operacional),obvestilo o obratovalnem dogodku,"обавештење, <о радном догађају> с јд",,运行事件通知通知
617-03-06,power losses,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-06,مفاقيد القدرة,"Leistungsverluste, m, pl",power losses,,tehohäviöt,"pertes de puissance, f pl",,電力損失,손실 전력,чадлын алдагдал,straty mocy,perdas de potência,izgube moči,"губици снаге, м мн",,功率损耗
617-03-07,energy losses,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-07,مفاقيد الطاقة,"Arbeitsverluste, m, pl",energy losses,,energiahäviöt,"pertes d’énergie, f pl",,損失電力量,손실 전력량,энергийн алдагдал,straty energii,perdas de energia,izgube energije,"губици енергије, м мн",,电能损耗
617-03-08,interconnection (of electric power systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-08,ترابط (لنظام القدرة الكهربائية),"Verbund, <von Elektrizitätsversorgungssystemen> m",interconnection (of electric power systems),,yhdysjohtosiirtojärjestelmien yhteenkytkentä,interconnexion (de systèmes d’énergie électrique) f,,"系統連係, <電力系統の>","연계, <전력계통>계통 연계, <전력계통>","систем хоорондын холбоо, <цахилгаан эрчим хүчний системийн>",powiązanie międzysystemowepołączenie transgraniczne,interconexão (de sistemas de energia eléctrica),interkonekcija elektroenergetskih sistemov,"међусобна повезаност, <електроенергетских система> ж јд",,电力系统互联
617-03-09,(system) ancillary services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-09,نظام خدمات مساعد,"Systemdienstleistungen, f pl",(system) ancillary services,,järjestelmän tukipalveluttukipalvelut,"services système, m pl",,系統のアンシラリーサービスアンシラリーサービス,계통 보조 서비스,системийн нэмэлт үйлчилгээ,usługi systemowe,sistema de serviços,dodatne (sistemske) storitve,"помоћне услуге, ж мнсистемске помоћне услуге, ж мн",,系统辅助服务辅助服务
617-03-10,reserves for system services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-10,إحتياطيات لخدمات النظام,"Reserven für Systemdienstleistungen, f pl",reserves for system services,,järjestelmäpalveluiden reservi,"réserves pour services système, f pl",,供給予備力,계통 공급 서비스,системийн үйлчилгээнд зориулсан бэлтгэл чадал,rezerwa mocy,reservas para sistema de serviços,rezerve za sistemske storitve,"резерве за системске услуге, ж мн",,系统备用容量
617-03-11,generating unit schedule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-03-11,برنامج وحدة التوليد,"Generatorfahrplan, m",generating unit schedule,,tuotannon ajo-ohjelma,"programme de production, m",,発電スケジュール,발전기 계획,цахилгаан үйлдвэрлэх иж бүрдлийн график,plan obciążenia jednostek wytwórczych,programa de produção,vozni red proizvodnje,"распоред производне јединице, м јд",,发电计划
617-04-01,point of connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-01,نقطة الربط,"Verbindungspunkt, m",point of connection,,liittymiskohta,"point de connexion, m",,需給地点,접속점,холболтын цэг,miejsce przyłączenia (użytkownika),ponto de conexão,priključno mesto,"место повезивања, с јд",,接入点
617-04-02,point of supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-02,نقطة مصدر التغذيةأطراف مصدر التغذية,"Übergabestelle, f",point of supplysupply terminals,,sähkön toimituspiste,"point de livraison, mbornes de livraison, f pl",,需給地点,공급점,хангамжийн цэгхангамжийн гаргалгууд,miejsce dostarczania (energii elektrycznej),ponto de fornecimentoterminais de fornecimento,prevzemno-predajno mesto,"тачка снабдевања, ж јдприкључци за напајање, м мн",,供电点供电端
617-04-03,connection agreement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-03,إتفاقية الربط,"Anschlussvereinbarung, f",connection agreement,,liittymissopimus,"contrat de raccordement, m",,接続契約,접속 규정,холболтын гэрээ,umowa o przyłączenie do sieci,contrato de ligação,pogodba o priključitvi,"договор о повезивању, м јд",,接网协议
617-04-04,supply agreement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-04,إتفاقية مصدر التغذية,"Liefervereinbarung, f",supply agreement,,sähkön toimitussopimus,"contrat de fourniture, m",,供給契約,공급 약관공급 규정,хангамжийн гэрээ,umowa na dostawę energii elektrycznejumowa na sprzedaż energii elektrycznej,contrato de fornecimento,pogodba o dobavi,"договор о снабдевању, м јд",,供电协议供用电协议
617-04-05,load profile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-05,منحنى تغير الحمل,"Lastprofil, n",load profile,,kuormitusprofiili,"profil de charge, m",,負荷プロフィール,부하 이력,ачааллын хэлбэр,profil obciążenia,perfil de carga,obremenilni diagram,"профил оптерећења, м јд",,负荷曲线
617-04-06,point of measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-06,نقطة القياسنقطة القياس,"Messpunkt, m",point of measurementmetering point,,mittauskohta,"point de comptage, m",,計量点,측정점,хэмжлийн цэгүзүүлэлт авах цэг,punkt pomiarowy,ponto de contagem,merilno mesto,"тачка мерења, ж јд",,计量点
617-04-07,net metering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-07,صافى القياس,"Nettomessung, f",net metering,,nettomittaus,"comptage net, m",,ネットメータリング,요금 상계제,цэвэр тоолуур,pomiar salda energii,contagem líquida,neto merjenje,"мрежно мерење, с јд",,净计量
617-04-08,unmetered supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-08,مصدر تغذية غير مقاس,"ungemessene Lieferung, f",unmetered supply,,mittaamaton sähköntoimitus,"fourniture non mesurée, f",,,측정 불가 공급,тоолуургүй нийлүүлэлт,dostawa nieopomiarowana,fornecimento não-medido,nemerjena dobava,"снабдевање које се не мери, с јд",,不计量供电
617-04-09,embedded generation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-09,توليد ضمنىتوليد موزعتوليد مفرق,"dezentrale Elektrizitätserzeugung, f",embedded generationdistributed generationdispersed generation,generacion distribuida,hajautettu sähköntuotanto,"production décentralisée, f",,分散型電源,직접 연결 발전분산 발전,системд холбогдсон үйлдвэрлэлтүгээх сүлжээнд холбогдсон үйлдвэрлэл,generacja rozproszona,produção descentralizadageração distribuída,razpršena proizvodnja,"дистрибуирана производња, ж јд",,嵌入式发电分布式发电分散式发电
617-04-10,small scale embedded generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-10,مولد ضمنى ذو نطاق ضيقمولد متناهى الصغرإختصار (SSEG),"Mikrogenerator, m",small scale embedded generatormicro-generatorSSEG (abbreviation),,sähkön pienoistuottajapienoistuottaja,"micro-générateur, m",,低圧に連係する小型の発電装置,소규모 직접 연결 발전기소규모 분산 발전기,сүлжээнд холбогдсон бага чадлын генератормикрогенератор,mikrogenerator (w sieci nn),micro-gerador,mikro generator,"микрогенератор, м јдSSEG",,接入低压网的小型发电装置
617-04-11,renewable energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-11,الطاقة المتجددة,"erneuerbare Energie, f",renewable energy,,uusiutuva energia,"énergie renouvelable, f",,再生可能エネルギー,재생 에너지,сэргээгдэх эрчим хүч,energia odnawialna,energia renovável,obnovljiva energijaenergija iz obnovljivih virov,"обновљива енергија, ж јд",,可再生能源
617-04-12,electric island,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-12,جزيرة (فى نظام القدرة الكهربائية),"elektrische Insel, f",electric island,,sähköverkkosaareke,"réseau électrique séparé, m",isola elettrica,単独系統,전기 섬단독 계통,нэгдсэн системээс тусгаарлагдсан сүлжээ,"wyspa, fpraca wyspowa, f",rede eléctrica separada,otok v elektroenergetskem sistemu,"одвојена мрежа, ж јдострво, <у електроенергетском систему> с јд","Ö, <I ett eldistributionssystem>",电力孤岛
617-04-13,smart grid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-13,الشبكة الذكية,"intelligentes Elektrizitätsversorgungssystem, nSmart Grid, n",smart gridintelligent grid,red inteligente,älykäs sähköverkko,"réseau intelligent, m",,スマートグリッドインテリジェントグリッド,스마트 그리드,ухаалаг сүлжээ,sieć inteligentna,rede inteligente,,"паметна мрежа, ж јд",Smarta elnät,智能电网
617-04-14,smart metering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-14,القياسات الذكية,"intelligentes Messen, nSmart Metering, n",smart metering,medición inteligente,älykäs energian mittaus,"comptage intelligent, m",,スマートメータリング,스마트 계량기,ухаалаг тоолуур,system pomiarów inteligentnychpomiary inteligentne,contagem inteligente,,"паметно мерење, с јд",Smarta elmätare,智能计量
617-04-15,demand side management,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-15,الطلب على الطاقة,"Verbrauchsmanagement, nDemand-Side-Management, nDSM, Abkürzung, n",demand side managementDSM (abbreviation),gestión de la demanda,sähkön kysynnän hallinta,"maîtrise de la demande d’électricité, fMDE (abréviation) f",,"デマンドサイドマネジメントDSM, （略語）",전력 수요 관리디에스엠,эрэлт талын менежмент,sterowanie zapotrzebowaniem (systemu)DSM (akronim),gestão da procura,,"управљање локацијом на захтев, с јдDMS",Förbrukningsstyrning,需求侧管理
617-04-16,demand response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-16,تلبية الطلب,"Lastmanagement, nDemand Response, fDR, Abkürzung, f",demand responseDR (abbreviation),respuesta de la demanda,kysyntäjousto,"gestion de la demande, f",,"デマンドレスポンスDR, （略語）",수요 응답,эрэлтийн хариу үйлдэлDR,odpowiedź systemu (na sterowanie)DR (akronim),resposta da procura,,"одговор на захтев, м јдDR",Tillgångsstyrd förbrukningsanpassning,需求响应
617-04-17,intentional island,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-17,,"gewolltes Inselnetz, n",intentional island,,suunniteltu saareke,"réseau séparé intentionnel, m",isola intenzionale,計画的単独系統,의도 섬,зориуд тусгаарлах шугам сүлжээ,"praca wyspowa zamierzona, f",rede separada intencional,,,planerad ö,计划孤岛
617-04-18,unintentional island,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-18,,"ungewolltes Inselnetz, n",unintentional island,,ennakoimaton saareke,"réseau séparé non intentionnel, m",isola non intenzionale,想定外の単独系統,비의도 섬,санамсаргүй тусгаарлагдах шугам сүлжээ,"praca wyspowa niezamierzona, f",rede separada não intencional,,,spontan ö,非计划孤岛
617-04-19,anti-islanding protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-19,,"Schutz vor Inselbildung, m",anti-islanding protection,,saarekkeenestosuojaus,"protection anti-îlotage, f",protezione contro il funzionamento in isola,単独運転保護,비 섬화 보호단독 계통 보호,шугам сүлжээ тусгаарлагдахаас сэргийлэх хамгаалалт,"zabezpieczenie od pracy wyspowej, n",protecção anti-rede separada,,,anti ö-driftsskydd,防孤岛保护
617-04-20,"distributed energy resources, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=617-04-20,,"dezentrale Energieanlagen, f plDEA","distributed energy resources, plDER, pl",,hajautetut tuotantoresurssit,"ressources énergétiques décentralisées, f plDER, f pl",risorse di energia distribuita,分散電源,분산 자원,түгээх сүлжээнд холбогдсон нөөцDER,"rozproszone zasoby energii, pl mDER",recursos energéticos distribuídos,,,distribuerade energikällor,分布式能源
