term_id,term,term_url,ar,de,en,es,fr,ja,ko,mn,pl,pt,zh
692-01-16,"loss of load, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-16,"فقد الحمل, < فى نظام كهربى>","Lastwegfall, <in einem Elektrizitätsversorgungssystem> m","loss of load, <in an electric power system>","pérdida de carga, <en un sistema eléctrico de potencia>","perte de charge, <dans un réseau d’énergie électrique> f","負荷損失, ＜電力システムにおける＞","부하 상실, <전력 계통>공급 지장, <전력 계통>","чадлын дутагдал, <цахилгаан эрчим хүчний системд гардаг>","zrzut obciążenia, <w systemie elektroenergetycznym> m","perda de carga, <num sistema de energia elétrica>","失负荷, <电力系统>"
692-01-17,"system collapse, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-17,"انهيارالنظام, <لنظام كهربى>","Netzzusammenbruch, <eines Elektrizitätsversorgungssystems> m","system collapse, <of an electric power system>","colapso del sistema, <de un sistema eléctrico de potencia>","écroulement de réseau, <d’un réseau d’énergie électrique> m","系統崩壊, <電力系統の>","계통 붕괴, <전력 계통>","системийн уналт, <цахилгаан эрчим хүчний системийн>","załamanie systemu, <systemu elektroenergetycznego> n","colapso do sistema, <de um sistema de energia elétrica>","系统崩溃, <电力系统的>"
692-01-18,"blackout, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-18,"حالة إظلام كهربى, < فى نظام كهربى>","weiträumiger Stromausfall, <in einem Elektrizitätsversorgungssystem> mBlackout, <in einem Elektrizitätsversorgungssystem> m","blackout, <in an electric power system>","apagón, <en un sistema eléctrico de potencia>","coupure, <dans un réseau d’énergie électrique> f","停電, ＜電力システムにおける＞","흑색 정전, <전력 계통>블랙 아웃, <전력 계통>","сүлжээ цахилгаангүй болох явдал, <цахилгаан эрчим хүчний системд гардаг>бүрэн зогсох явдалтэг зогсох явдал","rozległa awaria systemu elektroenergetycznego, fblackout, m","corte, <num sistema de energia elétrica>","大停电, <电力系统>"
692-02-01,"steady state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-01,"حالة متزنة, <لنظام كهربى>","stationärer Zustand, <eines Elektrizitätsversorgungssystems> mBeharrungszustand, <eines Elektrizitätsversorgungssystems> m","steady state, <of an electric power system>","régimen permanente, <de un sistema eléctrico de potencia>","régime établi, <d’un réseau d’énergie électrique> m","定常状態, <電力系統の>","정상 상태, <전력 계통>","тогтсон төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan prawidłowy, <systemu elektroenergetycznego> m","estado permanente, <de um sistema de energia elétrica>","稳态, <电力系统的>"
692-02-02,"stable state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-02,"حالة مستقرة, <لنظام كهربى>","stabiler Zustand, <eines Elektrizitätsversorgungssystems> m","stable state, <of an electric power system>","estado estable, <de un sistema eléctrico de potencia>","état stable, <d’un réseau d’énergie électrique> m","安定状態, <電力系統の>","안정 상태, <전력 계통>","тогтвортой төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan stabilny, <systemu elektroenergetycznego> m","estado estável, <de um sistema de energia elétrica>","稳定状态, <电力系统的>"
692-02-03,"unstable state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-03,"حالة غير مستقرة, <لنظام كهربى>","instabiler Zustand, <eines Elektrizitätsversorgungssystems> m","unstable state, <of an electric power system>","estado inestable, <de un sistema eléctrico de potencia>","état instable, <d’un réseau d’énergie électrique> m","不安定状態, <電力系統の>","불안정 상태, <전력 계통>","тогтворгүй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan niestabilny, <systemu elektroenergetycznego> m","estado instável, <de um sistema de energia elétrica>","不稳定状态, <电力系统的>"
692-02-04,"adequate state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-04,"حالة ملائمة, <لنظام كهربى>حالة كفاية مستقرة","adäquater Zustand, <eines Elektrizitätsversorgungssystems> m","adequate state, <of an electric power system>","estado adecuado, <de un sistema eléctrico de potencia>","état adéquat, <d’un réseau d’énergie électrique> m","適正供給状態, <電力系統の>","적정 상태, <전력 계통>","хүрэлцээтэй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan normalny, <systemu elektroenergetycznego> mstan prawidłowy, <systemu elektroenergetycznego> m","estado adequado, <de um sistema de energia elétrica>","充裕状态, <电力系统的>"
692-02-05,"partially adequate state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-05,"حالة ملائمة جزئية, <لنظام كهربى>حالة كفاية مستقرة جزئياحالة طارئة متحكم فيها","teilweise adäquater Zustand, <eines Elektrizitätsversorgungssystems> m","partially adequate state, <of an electric power system>controlled emergency, CA US","estado parcialmente adecuado, <de un sistema eléctrico de potencia>","état partiellement adéquat, <d’un réseau d’énergie électrique> m","部分適正供給状態, <電力系統の>","부분 적정 상태, <전력 계통>","хэсэгчилсэн хүрэлцээтэй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan ograniczeń, <systemu elektroenergetycznego> m","estado parcialmente adequado, <de um sistema de energia elétrica>","部分充裕状态, <电力系统的>"
692-02-06,"emergency state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-06,"حالة طارئة, <لنظام كهربى>حالة غير ملائمة","Notzustand, <eines Elektrizitätsversorgungssystems> mnicht adäquater Zustand, <eines Elektrizitätsversorgungssystems> m","emergency state, <of an electric power system>inadequate state, <of an electric power system>","estado de emergencia, <de un sistema eléctrico de potencia>estado inadecuado, <de un sistema eléctrico de potencia>","état d’urgence, <d’un réseau d’énergie électrique> métat inadéquat, <d’un réseau d’énergie électrique> m","緊急状態, <電力系統の>","비상 상태, <전력 계통>","онц байдлын төлөв байдал, <цахилгаан эрчим хүчний системийн>хүрэлцээгүй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan nieprawidłowy, <systemu elektroenergetycznego> m","estado de emergência, <de um sistema de energia elétrica>","紧急状态, <电力系统的>不充裕状态, <电力系统的>"
692-02-07,"alert state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-07,"حالة تدعو إلى الأنتباه, <لنظام كهربى>حالة مستقرة غير محصنة","gefährdeter Zustand, <eines Elektrizitätsversorgungssystems> mverletzbarer Zustand, <eines Elektrizitätsversorgungssystems> m","alert state, <of an electric power system>vulnerable state, <of an electric power system>","estado de alerta, <de un sistema eléctrico de potencia>estado vulnerable, <de un sistema eléctrico de potencia>","état d’alerte, <d’un réseau d’énergie électrique> métat vulnérable, <d’un réseau d’énergie électrique> m","警戒状態, <電力系統の>","경계 상태, <전력 계통>","түгшүүрийн төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan alarmowy, <systemu elektroenergetycznego> mstan zagrożenia, <systemu elektroenergetycznego> m","estado de alerta, <de um sistema de energia elétrica>","警戒状态, <电力系统的>脆弱状态, <电力系统的>"
692-02-08,"potentially unstable state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-08,"حالة قابلة لعدم الاستقرار, <لنظام كهربى>حالة غير مؤمنةحالة غير آمنة","potentiell instabiler Zustand, <eines Elektrizitätsversorgungssystems> m","potentially unstable state, <of an electric power system>insecure state, CA US","estado potencialmente inestable, <de un sistema eléctrico de potencia>","état potentiellement instable, <d’un réseau d’énergie électrique> m","潜在的不安定状態, <電力系統の>","잠재 불안정 상태, <전력 계통>","тогтворгүй болж болзошгүй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan niepewny, <systemu elektroenergetycznego> m","estado potencialmente instável, <de um sistema de energia elétrica>","潜在不稳定状态, <电力系统的>"
692-02-09,"potentially inadequate state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-09,"حالة كامنة غير ملائمة, <لنظام كهربى>","potentieller Notzustand, <eines Elektrizitätsversorgungssystems> mpotentiell nicht adäquater Zustand, <eines Elektrizitätsversorgungssystems> m","potentially inadequate state, <of an electric power system>","estado potencialmente inadecuado, <de un sistema eléctrico de potencia>","état potentiellement inadéquat, <d’un réseau d’énergie électrique> m","潜在的緊急状態, <電力系統の>","잠재 부적정 상태, <전력 계통>","хүрэлцээгүй болж болзошгүй төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan krytyczny, <systemu elektroenergetycznego> m","estado potencialmente inadequado, <de um sistema de energia elétrica>","潜在不充裕状态, <电力系统的>"
692-02-10,"secure state, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-10,"حالة آمنة, <لنظام كهربى>حالة عادية","ungefährdeter Zustand, <eines Elektrizitätsversorgungssystems> m","secure state, <of an electric power system>normal state, <of an electric power system>","estado seguro, <de un sistema eléctrico de potencia>estado normal, <de un sistema eléctrico de potencia>","état non vulnérable, <d’un réseau d’énergie électrique> métat normal, <d’un réseau d’énergie électrique> m","安定継続状態, <電力系統の>","안정 지속 상태, <전력 계통>안전 상태, <전력 계통>","аюулгүй төлөв байдал, <цахилгаан эрчим хүчний системийн>хэвийн төлөв байдал, <цахилгаан эрчим хүчний системийн>","stan bezpieczny, <systemu elektroenergetycznego> mstan pewny, <systemu elektroenergetycznego> m","estado seguro, <de um sistema de energia elétrica>","安全状态, <电力系统的>正常状态, <电力系统的>"
692-02-11,electric island,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-02-11,جزيرة كهربية,"elektrische Insel, f",electric island,isla eléctrica,"réseau séparé, m",単独系統,전기섬,нэгдсэн системээс тусгаарлагдсан сүлжээ,"system pracujący wyspowo, m",rede separada,电力孤岛
692-03-01,"failure, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-01,"إخفاق, <للوحدة>عطل","Ausfall, <einer Einheit> m","failure, <of an item>","fallo, <de un elemento>","défaillance, <d’une entité> f","故障, ＜アイテムの＞","공급 지장, <품목>실패, <품목>","саатал, <системийн элементийн >","uszkodzenie, <obiektu> nawaria, <obiektu> f","falha, <de um item>",产品的失效失效
692-03-02,primary failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-02,إخفاق إبتدائىعطل إبتدائى,"Primärausfall, m",primary failure,fallo primario,"défaillance primaire, f",一次故障,일차 공급 지장,анхдагч саатал,"uszkodzenie pierwotne, n",falha primária,原发性失效
692-03-03,secondary failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-03,إخفاق ثانوىعطل ثانوى,"Folgeausfall, mSekundärausfall, m",secondary failure,fallo secundario,"défaillance secondaire, f",二次故障,이차 공급 지장,хоёрдогч саатал,"uszkodzenie wtórne, n",falha secundária,继发性失效
692-03-04,"common cause failures, <within a system> pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-04,"إخفاقات لأسباب شائعة, <خلال النظام>أعطال لأسباب شائعة","Ausfälle aufgrund gemeinsamer Ursache, <in einem System> m pl","common cause failures, <within a system> pl","fallos de causa común, <en un sistema>","défaillances de cause commune, <dans un système> f pl","共通原因故障, ＜システム内の＞","공통 요인 공급 지장, <시스템>","нийтлэг шалтгаантай саатлууд, <систем дотор гардаг>","uszkodzenie o wspólnej przyczynie, <w systemie>n","falhas de causa comum, <num sistema>","共因失效, <系统内的>"
692-03-05,"common mode failures, <within a system> pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-05,"إخفاقات لأوضاع شائعة, <خلال النظام>أعطال لأوضاع شائعة","gleichartige Ausfälle, <in einem System> m pl","common mode failures, <within a system> pl","fallos de modo común, <en un sistema>","défaillances de mode commun, <dans un système> f pl","共通モード故障, ＜システム内の＞","공통 모드 공급 지장, <시스템>","нийтлэг арга замтай саатлууд, <систем дотор гардаг>","uszkodzenie jednakowego rodzaju, <w systemie>n","falhas de modo comum, <num sistema>","共模失效, <系统内的>"
692-03-06,"active failure, <in electric power systems>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-06,"عطل ذو أثر إيجابي, < فى نظام كهربى>عطل مشغل لأجهزة الوقاية","aktiver Ausfall, <in Elektrizitätsversorgungssystemen> m","active failure, <in electric power systems>","fallo activo, <en sistemas eléctricos de potencia>","défaillance active, <dans les réseaux d’énergie électrique>, f","能動的故障, ＜電力系統における＞アクティブ故障","능동 공급 지장, <전력 계통>","идэвхтэй саатал, <цахилгаан эрчим хүчний системд гардаг>","uszkodzenie aktywne, <w systemie elektroenergetycznym>n","falha ativa, <num sistema de energia elétrica>","主动失效, <电力系统>"
692-03-07,"passive failure, <in electric power systems>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-07,"عطل ذو أثر سلبي, < فى نظام كهربى>عطل غير مشغل لأجهزة الوقاية","passiver Ausfall, <in Elektrizitätsversorgungssystemen> m","passive failure, <in electric power systems>","fallo pasivo, <en sistemas eléctricos de potencia>","défaillance passive, <dans les réseaux d’énergie électrique>, f","非能動的故障, ＜電力系統における＞","수동 공급 지장, <전력 계통>","идэвхгүй саатал, <цахилгаан эрчим хүчний системд гардаг>","uszkodzenie pasywne, <w systemie elektroenergetycznym>n","falha passiva, <num sistema de energia elétrica>","非主动失效, <电力系统>"
692-03-08,cascade tripping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-03-08,فصل متتابع,"kaskadierende Ausfälle, m pl",cascade tripping,disparo en cascada,"déclenchements en cascade, m pl",事故波及,종속 트리핑,цуварсан таслах үйлдлүүд,"wyłączenie kaskadowe, n",disparos em cascata,连锁跳闸
692-04-01,"interruption, <of service>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-01,"قطع, <الخدمة>فصل","Unterbrechung, <einer Dienstleistung>","interruption, <of service>break, <of service>","interrupción, <del servicio>corte, <del servicio>","interruption, <de service> fcoupure, <de service> f","中断, ＜事業の＞","정전, <서비스>중단, <서비스>","тасалдал, <цахилгаанаар хангах үйлчилгээний>","przerwa, <w świadczeniu usługi> f","interrupção, <de um sistema de energia elétrica>","服务中断中断, <相关条目：IEV 692-07-01>"
692-04-02,"outage, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-02,"خروج, < فى نظام كهربى>","Nichtverfügbarkeit, <in einem Elektrizitätsversorgungssystem> f","outage, <in an electric power system>","indisponibilidad, <en un sistema eléctrico de potencia>","indisponibilité, <dans un réseau d’énergie électrique> f","停電, ＜電力系統における＞","정지, <전력 계통>사고, <전력 계통>","тасралт, <цахилгаан эрчим хүчний системд гардаг>","wyłączenie, <w systemie elektroenergetycznym>nodstawienie, <w systemie elektroenergetycznym>n","indisponibilidade, <num sistema de energia elétrica>","停运, <电力系统>"
692-04-03,planned outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-03,خروج مخططخروج مجدول,"geplante Nichtverfügbarkeit, f",planned outage,indisponibilidad planificada,"indisponibilité programmée, f",計画停電,계획 정지,төлөвлөсөн тасралт,"wyłączenie planowe, nodstawienie planowe, n",indisponibilidade planeada,计划停运
692-04-04,unplanned outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-04,خروج غير مخططخروج غير مجدول,"ungeplante Nichtverfügbarkeit, f",unplanned outage,indisponibilidad fortuita,"indisponibilité fortuite, findisponibilité non programmée, f",計画外停電,비계획 정지,төлөвлөгөөт бус тасралт,"wyłączenie nieplanowe, nodstawienie nieplnowe, n",indisponibilidade não planeada,非计划停运
692-04-05,forced outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-05,خروج اضطراريخروج إجبارى,"erzwungene Nichtverfügbarkeit, f",forced outage,indisponibilidad forzada,"indisponibilité non différable, findisponibilité forcée, f",強制停電,사고 정지,зайлшгүй тасралт,"wyłączenie nagłe, n",indisponibilidade forçada,强迫停运
692-04-06,deferrable outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-06,خروج قابل للتأجيل,"verschiebbare Nichtverfügbarkeit, f",deferrable outage,indisponibilidad diferible,"indisponibilité différable, f",延期可能停止,연기 가능 정지,хойшлуулах боломжтой тасралт,"wyłączenie odraczalne, nodstawienie odraczalne, n",indisponibilidade diferível,可延迟停运
692-04-07,transient outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-07,خروج عابر,"vorübergehende Nichtverfügbarkeit, f",transient outage,indisponibilidad transitoria,"indisponibilité transitoire, f",瞬時停止,과도 정지,шилжилтийн тасралт,"wyłączenie przejściowe, nodstawienie przejściowe, n",indisponibilidade transitória,瞬时停运
692-04-08,sustained outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-08,خروج ممتدخروج مستمر,"länger anhaltende Nichtverfügbarkeit, f",sustained outage,indisponibilidad sostenida,"indisponibilité durable, f",継続停止,지속 정지,үргэлжилсэн тасралт,"wyłączenie trwałe, nodstawienie trwałe, nodstawienie utrzymujące się, n",indisponibilidade duradoura,持续停运
692-04-09,permanent outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-09,خروج دائم,"andauernde Nichtverfügbarkeit, f",permanent outage,indisponibilidad permanente,"indisponibilité permanente, f",永久停止,영구 정지,гэмтлийн тасралт,"wyłączenie długotrwałe, nodstawienie długotrwałe, nodstawienie permanentne, n",indisponibilidade permanente,永久性停运
692-04-10,temporary outage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-10,خروج مؤقت,"zeitweilige Nichtverfügbarkeit, f",temporary outage,indisponibilidad temporal,"indisponibilité temporaire, f",一時的停止,일시 정지,түр зуурын тасралт,"wyłączenie krótkotrwałe, nodstawienie krótkotrwałe, nodstawienie czasowe, n",indisponibilidade temporária,临时性停运
692-04-11,"outage rate, <for an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-04-11,"معدل الخروج, <للوحدة>","Nichtverfügbarkeitsrate, <einer Einheit> f","outage rate, <for an item>","tasa de indisponibilidad, <para un elemento>","fréquence d’indisponibilité, <d’une entité> f","供給停止率, ＜アイテムに関して＞","사고 정지율, <품목>","тасралтын эзлэх хувь, <системийн элементэд хамаарах>","współczynnik częstości wyłączeń, <obiektu> m","frequência de indisponibilidade, <de um item>","停运率, <产品>"
692-05-01,outage occurrence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-01,حدث الخروج,"Übergang zur Nichtverfügbarkeit, m",outage occurrence,paso a indisponibilidad,"survenance d’indisponibilité, f",停止,정지 발생,тасралтын тохиолдол,"wystąpienie wyłączenia, n",ocorrência de indisponibilidade,停运事件
692-05-02,single-outage occurrence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-02,"حالة غير متزنة, <لنظام كهربى>","einfacher Übergang zur Nichtverfügbarkeit, m",single-outage occurrencesingle contingency,paso a indisponibilidad simplecontingencia simple,"survenance d’indisponibilité simple, fcontingence simple, f",単一停止,단일 정지 발생,нэг тасралтын тохиолдол,"wystąpienie wyłączenia pojedynczego, n",ocorrência de indisponibilidade simples,单一停运事件单一事故
692-05-03,multiple-outage occurrence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-05-03,حدث الخروج بسبب عنصر واحد,"mehrfacher Übergang zur Nichtverfügbarkeit, m",multiple-outage occurrencemultiple contingency,paso a indisponibilidades múltiplescontingencia múltiple,"survenance d’indisponibilités multiples, fcontingence multiple, f",多重停止,다중 정지 발생,олон тасралтын тохиолдол,"wystąpienie wyłaczenia wielokrotnego, n",ocorrência de indisponibilidades múltiplas,多重停运事件多重事故
