term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sr,sv,zh
411-33-14,resistance start split phase motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-14,محرك مجزأ الطور بمقاومة بدء تشغيل,"Einphasenmotor mit Hilfswicklung und Widerstand, m",resistance start split phase motor,motor de devanado auxiliar y resistencia de arranque,yksivaiheinen resistanssikäynnisteinen apukäämimoottori,"moteur à enroulement auxiliaire et résistance de démarrage, m",motore con avvolgimento ausiliario per avviamento a resistenza,抵抗始動分相誘導電動機,저항 기동 분상 전동기,silnik z rezystancyjnym uzwojeniem rozruchowym,motor com enrolamento auxiliar de arranque por resistência,motor z uporovno pomožno fazo,мотор са отпорником за залетање,enfasmotor med resistiv startfas,电阻起动分相电动机
411-33-15,reactor start split phase motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-15,محرك مجزأ الطور بمفاعل  تشغيل,"Einphasenmotor mit Hilfswicklung und Drosselspule, m",reactor start split phase motor,motor de devanado auxiliar y reactancia de arranque,yksivaiheinen reaktanssikäynnisteinen apukäämimoottori,"moteur à enroulement auxiliaire et réactance de démarrage, m",motore con avvolgimento ausiliario per avviamento a reattanza,リアクトル始動分相誘導電動機,리액터 기동 분상 전동기,silnik z indukcyjnym uzwojeniem rozruchowym,motor com enrolamento auxiliar de arranque por reactância,motor z dušilko in pomožno fazo,мотор са пригушницом за залетање,enfasmotor med induktiv startfas,电抗起动分相电动机
411-33-16,capacitor motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-16,محرك ذو مكثف,"Kondensatormotor, m",capacitor motor,motor de condensador,kondensaattorimoottori,"moteur à condensateur, m",motore con condensatore di avviamento,コンデンサモータ,커패시터 전동기,silnik kondensatorowy,motor com condensadormotor com capacitor,kondenzatorski motor,кондензаторски мотор,enfasmotor med kapacitiv hjälpfas,电容电动机
411-33-17,capacitor start motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-17,محرك ذو مكثف لبدء التشغيل,"Motor mit Anlaufkondensator, m",capacitor start motor,motor de condensador de arranque,käynnistyskondensaattorimoottori,"moteur à démarrage par condensateur, m",motore con avvolgimento ausiliario per avviamento a condensatore,コンデンサ始動誘導電動機,커패시터 기동 전동기,silnik z kondensatorem rozruchowym silnik z kondensatorowym uzwojeniem rozruchowym,motor com arranque por condensador,motor z zagonskim kondenzatorjem,мотор са залетним кондензатором,enfasmotor med kapacitiv startfas,电容起动电动机
411-33-18,capacitor start and run motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-18,محرك ذو مكثف دائم,"Motor mit Betriebskondensator, m",capacitor start and run motorpermanent split capacitor motor  (US),motor de condensador permanente,käyntikondensaattorimoottori,"moteur à condensateur permanent, m",motore con condensatore di avviamento e marcia,コンデンサ誘導電動機,커패시터 기동 전동기,silnik z kondensatorem pracy silnik z kondensatorowym uzwojeniem pomocniczym,motor com condensador permanente,motor z obratovalnim kondenzatorjem,мотор са стално укљученим кондензатором,kondensatormotor,电容起动及运行电动机
411-33-19,two-value capacitor motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-19,محرك بمكثف ذو سعتين,"Motor mit Anlauf- und Betriebskondensator, m",two-value capacitor motor,motor de condensador de dos capacidades,kaksikondensaattorimoottori,"moteur à condensateur à deux capacités, m",motore con condensatore di avviamento e marcia a diversa capacità,コンデンサ始動コンデンサ誘導電動機,이값 커패시터 전동기,silnik z podwójnym kondensatorem,motor com condensadores para arranque e para serviçomotor com condensador de duas capacidades,dvokondenzatorski motor,кондензаторски мотор са два кондензатора,kondensatormotor med startkondensator,双值电容电动机
411-33-20,polyphase commutator motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-20,محرك ذو مبدل متعدد الأطوار,"Mehrphasen-Kommutatormotor, m",polyphase commutator motor,motor de colector polifásico,monivaiheinen kommutaattorimoottori,"moteur à collecteur polyphasé, m",motore polifase a collettore,多相整流子電動機,다상 정류자 전동기,silnik komutatorowy wielofazowy,motor polifásico de colector,večfazni komutatorski motor,вишефазни колекторски мотор,flerfas kommutatormotor,多相换向器电动机
411-33-21,single phase commutator motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-21,محرك ذو مبدل آحادي الطور,"Einphasen-Kommutatormotor, m",single phase commutator motor,motor de colector monofásico,yksivaiheinen kommutaattorimoottori,"moteur à collecteur monophasé, m",motore monofase a collettore,単相整流子電動機,단상 정류자 전동기,silnik komutatorowy jednofazowy,motor monofásico de colector,enofazni komutatorski motor,једнофазни колекторски мотор,enfas kommutatormotor,单相换向器电动机
411-33-22,Schrage motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-22,محرك شراجا,"Schrage-Motor, m",Schrage motor,motor Schrage,Schragen moottori,"moteur Schrage, m",motore Schrage,シュラーゲモータ,슈라게 전동기,silnik Schragego,motor Schrage,Schragejev motor,Шрагеов мотор,Schrage-motor,多相并励换向器电动机施拉格电动机
411-33-23,repulsion motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-23,محرك تنافريمحرك دفع,"Repulsionsmotor, m",repulsion motor,motor de repulsión,repulsiomoottori,"moteur à répulsion, m",motore a repulsione,反発電動機,반발 전동기,silnik repulsyjny,motor de repulsão,repulzijski motor,репулзиони мотор,repulsionsmotor,推斥电动机
411-33-24,Deri motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-24,محرك ديريمحرك تنافري بمجموعة      فرش متحركة وأخري ثابتة,"Deri-Motor, m",Deri motor,motor Deri,Derin moottori,"moteur Deri, m",motore Deri,デリモータ,데리 전동기,silnik Deriego,motor Deri,Derijev motor,Деријев мотор,Deri-motor,双套电刷推斥电动机德里电动机
411-33-25,compensated repulsion motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-25,محرك تنافري معدنيمحرك تناوبي معادل,"kompensierter Repulsionsmotor, m",compensated repulsion motor,motor de repulsión compensado,kompensoitu repulsiomoottori,"moteur à répulsion compensé, m",motore a repulsione compensato,補償反発電動機,보상 반발 전동기,silnik repulsyjny skompensowany,motor de repulsão compensado,kompenzirani repulzijski motor,компензовани репулзиони мотор,kompenserad repulsionsmotor,补偿式推斥电动机
411-33-26,repulsion start induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-26,محرك حثي تنافري البدء,"Induktionsmotor mit Repulsionsanlauf, m",repulsion start induction motor,motor de inducción de arranque por repulsión,repulsiokäynnisteinen epätahtimoottori,"moteur à induction à démarrage par répulsion, m",motore ad induzione con avviamento a repulsione,反発始動誘導電動機,반발 기동 유도 전동기,silnik indukcyjny z rozruchem repulsyjnym,motor de indução com arranque por repulsão,asinhronski motor z repulzijskim zagonom,асинхрони мотор са репулзионим покретањем,enfasmotor med repulsionsstart,推斥起动感应电动机
411-33-27,repulsion induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-27,محرك حثي تنافري,"Repulsions-Induktionsmotor, m",repulsion induction motor,motor de repulsión e inducción,häkkikäämityksinen repulsiomoottori,"moteur à induction et répulsion, m",motore ad induzione a repulsione,反発誘導電動機,반발 유도 전동기,silnik repulsyjno-indukcyjny,motor de indução e repulsão,repulzijski asinhronski motor,репулзиони асинхрони мотор,burlindad repulsionsmotor,推斥感应电动机
411-33-28,starting motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-28,محرك بدء تشغيلمحرك اقلاع,"Anlauf-Hilfsmotor, m",starting motor,motor de arranque,käynnistysmoottori,"moteur de démarrage, m",motore di lancio,始動電動機,기동 전동기,silnik rozruchowy,motor de arranque,zaganjalnikzaganjalni motor,мотор за покретање,startmotor,起动电动机
411-33-29,conical rotor motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-29,محرك  الدوار مخروطي الشكل,"Motor mit konischem Läufer, m",conical rotor motor,motor de rotor cónico,kartiojarrumoottori,"moteur à rotor conique, m",motore a rotore conico,円すい回転子電動機,원추 회전자 전동기,silnik o wirniku stożkowym,motor de rotor cónico,motor s koničnim rotorjem,мотор са коничним ротором,elmotor med konisk rotor,锥形转子电动机
411-33-30,general purpose motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-30,محرك لأغراض عامة,"Motor für allgemeine Anwendung, m",general purpose motor,motor de aplicación general,yleiskäyttömoottori,"moteur à usage général, m",motore per impiego generico,一般用電動機,일반용 전동기,silnik ogólnego zastosowania,motor de utilização geralmotor de uso geral,motor za splošno uporabonavadni motor,мотор опште намене,normalmotor,一般用途电动机
411-33-31,definite purpose motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-31,محرك لغرض محدد,"Motor für bestimmte Anwendungen, m",definite purpose motor,motor de aplicación definida,määräkäyttömoottori,"moteur à usage déterminé, m",motore per impiego determinato,特定用途電動機,특정 전동기,silnik określonego zastosowania,motor de utilização determinada,motor za določeno uporabonamenski motor,мотор одређене намене,motor för bestämt ändamål,规定用途电动机
411-33-32,special purpose motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-32,محرك لغرض مخصوص,"Motor für Spezialanwendungen, m",special purpose motor,motor de aplicación especial,erikoiskäyttömoottori,"moteur à usage spécial, m",motore per impiego speciale,特殊用途電動機,특수 전동기,silnik specjalnego zastosowania,motor de utilização especial,motor za posebno uporaboposebni motor,мотор посебне намене,specialmotor,特殊用途电动机
411-33-33,motor with standardized mounting dimensions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-33,محرك بأبعاد تثبيت  قياسية,"Motor mit genormten Anbaumaßen, m",motor with standardized mounting dimensions,motor de dimensiones de montaje normalizadas,standardimittainen moottori,"moteur de dimensions de fixations normalisées, m",motore con dimensioni di montaggio normalizzate,標準寸法電動機,표준 치수 전동기,silnik o wymiarach znormalizowanych,motor de dimensões (de fixação) normalizadas,motor s standardnimi pritrdilnimi merami,мотор са стандардизованим прикључним мерама,standardmotor,标准安装尺寸电动机
