term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
421-01-11,auto-transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-11,محول ذاتي,"Spartransformator, m",auto-transformer,autotransformador,säästömuuntaja,"autotransformateur, m",autotrasformatore,単巻変圧器,단권 변압기,автотрансформатор,autotransformator,autotransformator,autotransformador,avtotransformator,"аутотрансформатор, м јд",autotransformatorsparkopplad transformator,自耦变压器
421-01-12,booster transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-12,محول تعزيز (محول توالي),"Zusatztransformator, m",booster transformerseries transformer  (US),transformador adicionador-sustractor,sarjasäätömuuntaja,"transformateur survolteur-dévolteur, m",trasformatore surdevoltore,吸上変圧器ブースタートランス,흡상 변압기비티,хүчдэл тохируулдаг трансформаторцуваа холболттой трансформатор,serietransformator,transformator dodawczy,transformador sobretensor-detensortransformador de compensação,dodajalni transformatorbooster transformator,"допунски трансформатор, м јд",tillsatstransformator,增压变压器
421-01-13,separate winding transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-13,محول ذو ملفات منفصلة,"Volltransformator, mTransformator mit getrennten Wicklungen, m",separate winding transformer,transformador de arrollamientos separados,täysmuuntaja,"transformateur à enroulements séparés, m",trasformatore con avvolgimenti separati,分離巻線変圧器,권선 분리 변압기,салангид ороомогтой трансформатор,transformator med åtskilde viklingar,transformator z oddzielnymi uzwojeniami,transformador com enrolamentos separados,transformator z ločenimi navitji,"трансформатор са одвојеним намотајима, м јд",fulltransformator,独立绕组变压器
421-01-14,oil-immersed type transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-14,محول مغمور في الزيت,"Öltransformator, m",oil-immersed type transformer,transformador sumergido en aceite,öljytäytteinen muuntaja,"transformateur immergé dans l'huile, m",trasformatore in olio,油入変圧器,유입 변압기,тосон трансформатор,oljefylt transformator,transformator olejowy,transformador (do tipo) imerso em óleo,oljni transformator,"уљни трансформатор, м јд",oljeisolerad transformator,油浸式变压器
421-01-15,oil-immersed type reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-15,مفاعل مغمور بالزيت,"Öldrosselspule, f",oil-immersed type reactor,reactancia sumergida en aceite,öljytäytteinen reaktori,"bobine d'inductance immergée dans l'huile, f",reattore in olio,油入リアクトル,유입 리액터,тосон реактор,oljefylt reaktor,dławik olejowy,bobine de indutância (do tipo) imerso em óleo,oljna dušilka,"уљна пригушница, ж јд",oljeisolerad reaktor,油浸式电抗器
421-01-16,dry-type transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-16,محول من النوع الجاف,"Trockentransformator, m",dry-type transformer,transformador de tipo seco,kuivamuuntaja,"transformateur de type sec, m",trasformatore a secco,乾式変圧器,건식 변압기,хуурай трансформатор,tørrisolert transformator,transformator suchy,transformador do tipo seco,suhi transformator,"суви трансформатор, м јд",torrisolerad transformator,干式变压器
421-01-17,dry-type reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-17,مفاعل من النوع الجاف,"Trockendrosselspule, f",dry-type reactor,reactancia de tipo seco,kuivareaktori,"bobine d'inductance de type sec, f",reattore a secco,乾式リアクトル,건식 리액터,хуурай реактор,tørrisolert reaktor,dławik suchy,bobine de indutância do tipo seco,suha dušilka,"сува пригушница, ж јд",torrisolerad reaktor,干式电抗器
421-01-18,sealed transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-18,محول محكم الاغلاق,"Hermetik-Transformator, m",sealed transformer,transformador hermético,suljettu muuntaja,"transformateur hermétique, m",trasformatore sigillato,封入変圧器,밀폐 변압기,битүүмжлэлтэй трансформатор,forsegla transformator,transformator hermetyczny,transformador (do tipo) hermético,hermetični transformator,"херметички затворен трансформатор, м јд",hermetiskt sluten transformator,密封式变压器
421-01-19,sealed reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-19,مفاعل محكم الاغلاق,"Hermetik-Drosselspule, f",sealed reactor,reactancia hermética,suljettu reaktori,"bobine d'inductance hermétique, f",reattore sigillato,封入リアクトル,밀폐 리액터,битүүмжлэлтэй реактор,forsegla reaktor,dławik hermetyczny,bobine de indutância (do tipo) hermético,hermetična dušilka,"херметички затворена пригушница, ж јд",hermetiskt sluten reaktor,密封式电抗器
421-01-20,encapsulated-winding dry-type transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-20,محول من النوع الجاف ذو ملف مغلف,"Gießharztransformator, m",encapsulated-winding dry-type transformer,transformador de tipo seco con arrollamientos cubiertos,valueristeinen kuivamuuntaja,"transformateur de type sec à enroulement(s) encapsulé(s), m","trasformatore a secco con avvolgimento
 incapsulato",密封巻線乾式変圧器,봉입 권선 건식 변압기,тусгаарлагдсан ороомогтой хуурай трансформатор,tørrisolert transformator med kapsla vikling,transformator suchy z uzwojeniem w izolacji monolitycznej,transformador do tipo seco com enrolamento(s) encapsulado(s),suhi zaliti transformator,"суви трансформатор са заливеним намотајима, м јд",torrisolerad transformator med inkapslade lindningar,包封绕组的干式变压器
421-01-21,encapsulated-winding dry-type reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-21,مفاعل  من النوع الجاف ذو ملف مغلف,"Gießharzdrosselspule, f",encapsulated-winding dry-type reactor,reactancia de tipo seco con arrollamientos cubiertos,valueristeinen kuivareaktori,"bobine d'inductance de type sec à enroulement encapsulé, f","reattore a secco con avvolgimento
 incapsulato",密封巻線乾式リアクトル,봉입 권선 건식 리액터,тусгаарлагдсан ороомогтой хуурай реактор,tørrisolert reaktor med kapsla vikling,dławik suchy z uzwojeniem w izolacji monolitycznej,bobine de indutância do tipo seco com enrolamento encapsulado,suha zalita dušilka,"сува пригушница са заливеним намотајима, ж јд",torrisolerad reaktor med inkapslad lindning,包封绕组干式电抗器
421-01-22,non-encapsulated-winding dry-type transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-22,محول من النوع الجاف ذو ملف مغلف,"Trockentransformator mit offenen Wicklungen, m",non-encapsulated-winding dry-type transformer,transformador de tipo seco con arrollamientos no cubiertos,avoeristeinen kuivamuuntaja,"transformateur de type sec à enroulements non encapsulés, m","trasformatore a secco con avvolgimento
non incapsulato",非密封巻線乾式変圧器,미봉입 권선 건식 변압기,тусгаарлагдаагүй хуурай трансформатор,tørrisolert transformator utan kapsla vikling,transformator suchy bez uzwojenia w izolacji monolitycznej,transformador do tipo seco com enrolamentos não encapsulados,suhi transformator z nezalitimi navitji,"суви трансформатор са незаливеним намотајима, м јд",,非包封绕组的干式变压器
421-01-23,non-encapsulated-winding dry-type reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-01-23,مفاعل من النوع الجاف ذو ملف غير مغلف,"Trockendrosselspule mit offenen Wicklungen, f",non-encapsulated-winding dry-type reactor,reactancia de tipo seco con arrollamientos no cubiertos,avoeristeinen kuivareaktori,"bobine d'inductance de type sec à enroulement non encapsulé, f","reattore a secco con avvolgimento
non incapsulato",非密封巻線乾式リアクトル,미봉입 권선 건식 리액터,тусгаарлагдаагүй хуурай реактор,tørrisolert reaktor utan kapsla vikling,dławik suchy bez uzwojenia w izolacji monolitycznej,bobine de indutância do tipo seco com enrolamentos não encapsulados,suha dušilka z nezalitim navitjem,"сува пригушница са незаливеним намотајима, ж јд",,非包封绕组干式电抗器
421-02-01,line terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-02-01,نهاية خط,"Außenleiter-Anschlusspunkt, mAußenleiterklemme, f",line terminal,borne de línea,vaiheliitin,"borne de ligne, f",terminale di linea,回線端子,선로 단자,шугамын гаргалга/оруулга,linjeklemme,zacisk liniowy,terminal de faseterminal de linha,linijski priključek,"линијски прикључак, м јд",fasuttag,线路端子
421-02-02,neutral terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-02-02,نهاية محايد,"Neutralpunkt-Anschlusspunkt, m",neutral terminal,borne neutro,tähtipisteliitinnollaliitin,"borne neutre, f",terminale di neutro,中性端子,중성점 단자,саармаг цэгийн оруулга/гаргалга,nøytralpunktsklemme,zacisk neutralny,terminal de neutro,priključek nevtralnega vodnikazvezdišče,"прикључак неутралне тачке, м јд",nollutag,中性点端子
421-02-03,corresponding terminals,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-02-03,نهايات متناظرة,"entsprechende Anschlüsse, m, pl",corresponding terminals,bornes homólogos,vastinliittimet,"bornes homologues, f pl",terminali omologhi,対応端子,대응 단자,харгалзах гаргалгууд,samhøyrande klemmer,zaciski wzajemne sobie odpowiadające,terminais homólogos,istoimenski priključki,"истоимени прикључци, м мнхомологни прикључци, м мн",samhörande uttag,对应端子
421-03-01,winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-01,لفيفة,"Wicklung, f",winding,arrollamiento,käämitys,"enroulement, m",avvolgimento,巻線,권선,ороомог,vikling,uzwojenie,enrolamento,navitje,"намотај, м јд",lindning,绕组
421-03-02,phase winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-02,لفيفة طور,"Wicklungsstrang, m",phase winding,arrollamiento de fase,vaihekäämitys,"enroulement de phase, m",avvolgimento di fase,相巻線,상 권선,фазын ороомог,fasevikling,uzwojenie fazowe,enrolamento de fase,fazno navitjefazna veja navitja,"фазни намотај, м јд",faslindning,相绕组
421-03-03,high-voltage winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-03,لفيفة جهد عالي,"Oberspannungswicklung, f",high-voltage winding,arrollamiento de alta tensión,ylijännitekäämitys,"enroulement haute tension, m",avvolgimento ad alta tensione,高圧巻線,고압 권선높은 전압 권선,өндөр хүчдэлийн ороомог,høgspenningsvikling,uzwojenie górnego napięcia,enrolamento de alta tensãoenrolamento de tensão mais alta,zgornjenapetostno navitje,"намотај вишег напона, м јд",uppspänningslindning,高压绕组
421-03-04,low-voltage winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-04,لفيفة جهد منخفض,"Unterspannungswicklung, f",low-voltage winding,arrollamiento de baja tensión,alajännitekäämitys,"enroulement basse tension, m",avvolgimento a bassa tensione,低圧巻線,저압 권선,нам хүчдэлийн ороомог,lågspenningsvikling,uzwojenie dolnego napięcia,enrolamento de baixa tensãoenrolamento de tensão mais baixa,spodnjenapetostno navitje,"намотај нижег напона, м јд",nedspänningslindning,低压绕组
421-03-05,intermediate-voltage winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-05,لفيفة ذو جهد متوسط,"Mittelspannungswicklung, f",intermediate-voltage winding,arrollamiento de tensión intermedia,välijännitekäämitys,"enroulement à tension intermédiaire, m",avvolgimento a tensione intermedia,中圧巻線,중압 권선,дунд хүчдэлийн ороомог,mellomspenningsvikling,uzwojenie średniego napięcia,enrolamento de tensão intermédia,vmesnonapetostno navitje,"намотај средњег напона, м јд",mellanspänningslindning,中压绕组
421-03-06,primary winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-06,لفيفة ابتدائية,"Primärwicklung, fEingangswicklung, f",primary winding,arrollamiento primario,ensiökäämitys,"enroulement primaire, m",avvolgimento primario,一次巻線,일차 권선,анхдагч ороомог,primærvikling,uzwojenie pierwotne,enrolamento primário,primarno navitje,"примарни намотај, м јд",primarlindning,一次绕组
421-03-07,secondary winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-07,لفيفة ثانوية,"Sekundärwicklung, fAusgangswicklung, f",secondary winding,arrollamiento secundario,toisiokäämitys,"enroulement secondaire, m",avvolgimento secondario,二次巻線,이차 권선,хоёрдогч ороомог,sekundærvikling,uzwojenie wtórne,enrolamento secundário,sekundarno navitje,"секундарни намотај, м јд",sekundarlindning,二次绕组
421-03-08,auxiliary winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-08,لفيفة مساعدة,"Hilfswicklung, f",auxiliary winding,arrollamiento auxiliar,apukäämitys,"enroulement auxiliaire, m",avvolgimento ausiliario,補助巻線,보조 권선에이더블유,туслах ороомог,hjelpevikling,uzwojenie pomocnicze,enrolamento auxiliar,pomožno navitje,"помоћни намотај, м јд",hjälplindning,附加绕组
421-03-09,stabilizing winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-09,لفيفة استقرار,"Ausgleichwicklung, f",stabilizing winding,arrollamiento de estabilización,tasauskäämitys,"enroulement de stabilisation, m",avvolgimento stabilizzatore,安定巻線,안정 권선,тогтворжуулах ороомог,stabiliseringsvikling,uzwojenie wyrównawcze uzwojenie kompensacyjne,enrolamento de estabilização,izenačevalno navitje,"стабилизациони намотај, м јд",utjämningslindning,稳定绕组
421-03-10,common winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-10,لفيفة مشتركة,"Parallelwicklung, f",common winding,arrollamiento común,yhteinen käämitys,"enroulement commun, m",avvolgimento comune,分路巻線,공통 권선분로 권선,ерөнхий ороомог,fellesvikling,uzwojenie wspólne,enrolamento comum,skupno navitje,"заједнички намотај, м јд",gemensam lindning,公共绕组
421-03-11,series winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-11,لفيفة توالي,"Reihenwicklung, f",series winding,arrollamiento serie,sarjakäämitys,"enroulement série, m",avvolgimento serie,直列巻線直巻,직렬 권선,цуваа ороомог,serievikling,uzwojenie szeregowe,enrolamento série,zaporedno navitje,"серијски намотај, м јд",serielindning,串联绕组
421-03-12,energizing winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-12,لفيفة تهييج -تغذية,"Erregerwicklung, f",energizing winding,arrollamiento de excitación,syöttökäämitys,"enroulement d'excitation, m",avvolgimento di alimentazione,励磁巻線,여자 권선,цэнэглэх ороомог,magnetiseringsvikling,uzwojenie wzbudzające,enrolamento de excitação,vzbujalno navitje,"побудни намотај, м јднамотај напајања, м јд",magnetiseringslindning,励磁绕组
421-03-13,concentric windings,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-13,لفائف متحد ة المركز,"Zylinderwicklung, f",concentric windings,arrollamientos concéntricos,konsentriset käämit,"enroulements concentriques, m pl",avvolgimenti concentrici,同心状巻線,동심 권선,нэг төвтэй ороомгууд,konsentriske viklingar,uzwojenia współśrodkowe uzwojenia współosiowe,enrolamentos concêntricos,koncentrična navitja,"концентрични намотаји, м мнцилиндрични намотаји, м мн",koncentriska lindningar,同心式绕组
421-03-14,sandwich windings,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-03-14,لفائف متناوبة ( ذات طبقات بينية),"Scheibenwicklung, f",sandwich windings,arrollamientos alternados,peräkkäiset käämit,"enroulements alternés, m pl",avvolgimenti alternati,サンドイッチ巻線,샌드위치 권선,хавчуурган ороомгууд,bladlagde viklingar,uzwojenia krążkowe,enrolamentos alternados,ploščata navitja,"наизменични намотаји, м мнмешани намотаји, м мн",blandlindningar,交叠式绕组
421-04-01,rated voltage of a winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-01,الجهد الاسمي للملف,"Bemessungsspannung einer Wicklung, f",rated voltage of a winding,tensión asignada de un arrollamiento,käämityksen nimellisjännite,"tension assignée d'un enroulement, f",tensione nominale di un avvolgimento,巻線の定格電圧,권선 정격 전압권선 전압 정격,ороомгийн хэвийн хүчдэл,merkespenning for vikling,napięcie znamionowe uzwojenia,tensão estipulada de um enrolamento,nazivna napetost navitja,"назначени напон намотаја, м јд",märkspänning,额定电压绕组的
421-04-02,rated voltage ratio (of a transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-02,نسبة التحويل الاسمية لمحول,"Bemessungsübersetzung (eines Transformators), f",rated voltage ratio (of a transformer),relación de transformación asignada (de un transformador),nimellismuuntosuhde,rapport de transformation assigné (d'un transformateur) m,"rapporto di trasformazione nominale 
(di un trasformatore)",定格電圧比,"정격 전압비, <변압기>","хэвийн хүчдэлийн харьцаа, <трансформаторын>",spenningsomsetjingshøve,przekładnia znamionowa (transformatora),relação de transformação estipulada (de um transformador),nazivna napetostna prestava,"назначени однос трансформације, м јд",märkomsättning,"额定电压比, <变压器的>"
421-04-03,rated frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-03,التردد (الذبذبة) الاسمي,"Bemessungsfrequenz, f",rated frequency,frecuencia asignada,nimellistaajuus,"fréquence assignée, f",frequenza nominale,定格周波数,정격 주파수,хэвийн давтамж,merkefrekvens,częstotliwość znamionowa,frequência estipulada,nazivna frekvenca,"назначена фреквенција, ж јд",märkfrekvens,额定频率
421-04-04,rated power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-04,القدرة الاسمية,"Bemessungsleistung, f",rated power,potencia asignada,nimellisteho,"puissance assignée, f",potenza nominale,定格出力,정격 용량,хэвийн чадал,merkeeffekt,moc znamionowa,potência estipulada,nazivna moč,"назначена снага, ж јд",märkeffekt,额定容量
421-04-05,rated current (of a winding of a transformer or shunt reactor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-05,التيار الاسمي لملف محول أو ممانع توازي,"Bemessungsstromstärke (einer Wicklung eines Transformators oder einer Kompensations-Drosselspule), f",rated current (of a winding of a transformer or shunt reactor),"corriente asignada (de un arrollamiento de un transformador o de una reactancia
shunt)",nimellisvirtakäämityksen nimellisvirta,courant assigné (d'un enroulement de transformateur ou d'une bobine d'inductance shunt) m,corrente nominale,定格電流,"정격 전류, <변압기 권선>","хэвийн гүйдэл, <трансформатор эсвэл шүнтлэгч реакторын ороомгийн>",merkestraum,prąd znamionowy (uzwojenia transformatora lub dławika bocznikującego),corrente estipulada (de um enrolamento de um transformador ou de uma bobine de indutância de derivação),nazivni tok,"назначена струја, ж јдназначена струја намотаја трансформатора или паралелне пригушнице, ж јд",märkström (för lindning),"额定电流, <变压器或并联电抗器绕组上的>"
421-04-06,continuous rated current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-06,التيا ر الاسمي المستمر(الدائم),"Bemessungs-Dauerstromstärke, f",continuous rated current,corriente permanente asignada,jatkuva nimellisvirta,"courant permanent assigné, m",corrente nominale permanente,定格連続電流,연속 정격 전류,тасралтгүй үргэлжилсэн хэвийн гүйдэл,kontinuerleg merkestraum,prąd znamionowy pracy ciągłej,corrente permanente estipulada,nazivni trajni tok,"назначена трајна струја, ж јд",kontinuerlig märkström,额定连续电流
421-04-07,rated short-time current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-07,تيار اسمي لفترة قصيرة,"Bemessungs-Kurzzeitstromstärke, f",rated short-time current,corriente de corta duración asignada,lyhytaikainen nimellisvirta,"courant de courte durée assigné, m",corrente nominale di breve durata,定格短時間電流,정격 단시간 전류,богино хугацааны хэвийн гүйдэл,korttids merkestraum,prąd znamionowy krótkotrwały,corrente de curta duração estipulada,nazivni kratkotrajni tok,"назначена краткотрајна струја, ж јд",korttidsström,额定短时电流
421-04-08,rated current of an arc suppression coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-04-08,التيار الاسمي لملف إخماد الشرارة الكهربائية,"Bemessungsstromstärke einer Erdschlusslöschspule, f",rated current of an arc suppression coil,corriente asignada de una bobina de extinción de arco,sammutuskuristimen nimellisvirta,"courant assigné d'une bobine d'extinction d'arc, m","corrente nominale di una bobina di
estinzione d'arco",消弧リアクトルの定格電流,아크 소호 코일 정격 전류,нум унтраах ороомгийн хэвийн гүйдэл,merkestraum for sløkkjespole,prąd znamionowy dławika gaszącego,corrente estipulada de uma bobina de extinção,nazivni tok gasilne dušilke,"назначена струја пригушнице за гашење лука, ж јд",märkström för släckningsreaktor,消弧线圈的额定电流
421-05-01,tapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-01,"مأخذ,تفريعة","Anzapfung, f",tappingtap,toma,väliotto,"prise, f",presa,タッピング,탭내기,тавил,reguleringsuttak,zaczep,tomada,odcep,"извод, м јд",reglerläge,分接
421-05-02,principal tapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-02,مأخذ رئيس(تفريع),"Hauptanzapfung, f",principal tapping,toma principal,perusasento,"prise principale, f",presa principale,主タッピング,기준 탭내기,үндсэн тавил,hovudreguleringsuttak,zaczep znamionowy,tomada principal,glavni odcep,"главни изводи, м мн",huvudreglerlage,主分接
421-05-03,tapping factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-03,عامل التفريع,"Anzapfungsfaktor, m",tapping factor,factor de toma,säätösuhde,"facteur de prise, m",fattore di presa,タッピング係数,탭 인자,тавилын коэффициент,reguleringsfaktor,współczynnik zaczepu,factor de tomada (correspondente a uma dada tomada),odcepni faktor,"фактор извода, м јд",reglerfaktor,分接因数
421-05-04,plus tapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-04,مأخذ اضافي(تفريع),"Plus-Anzapfung, f",plus tapping,toma aditiva,plus-asento,"prise additive, f",presa additiva,正タッピング,승압 탭 전환,нэмэх тавил,plussreguleringsuttak,zaczep dodatni,tomada aditiva,plus odceppozitivni odcep,"плус извод, м јд",plusreglerlage,正分接
421-05-05,minus tapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-05,مأخذ ناقص(تفريع),"Minus-Anzapfung, f",minus tapping,toma sustractiva,miinus-asento,"prise soustractive, f",presa sottrattiva,負タッピング,강압 탭 전환,хасах тавил,minusreguleringsuttak,zaczep ujemny,tomada subtractiva,minus odcepnegativni odcep,"минус извод, м јд",minusreglerlage,负分接
421-05-06,tapping step,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=421-05-06,خطوة التفريع (الضبط),"Anzapfungsstufe, f",tapping step,escalón de regulación,säätöaskel,"échelon de réglage, m",gradino di regolazione,タッピングステップ,탭 간격,тавилын шатлал,reguleringssteg,stopień regulacji przekładni,escalão de comutação,odcepna stopnja,"степен извода, м јд",reglersteg,分接级
