term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
436-01-11,discharging current of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-11,تيار تفريغ مكثف,"Entladestrom eines Kondensators, m",discharging current of a capacitor,corriente de descarga de un condensador,"courant de décharge d'un condensateur, m",corrente di scarica di un condensatore,コンデンサの放電電流,커패시터 방전 전류,конденсаторын цэнэг алдалтын гүйдэл,prąd rozładowania kondensatora,corrente de descarregamento de um condensadorcorrente de descarga de um condensador (desaconselhado neste sentido),praznilni tok kondenzatorja,"струја пражњења кондензатора, ж јд",urladdningsström,"放电电流, <电容器的>"
436-01-12,rated capacitance of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-12,سعة اسمية لمكثف,"Bemessungskapazität eines Kondensators, f",rated capacitance of a capacitor,capacidad asignada de un condensador,"capacité assignée d'un condensateur, f",capacità nominale di un condensatore,コンデンサの定格静電容量,커패시터 정격 정전 용량커패시터 정격 커패시턴스,конденсаторын хэвийн багтаамж,pojemność znamionowa kondensatora,capacidade estipulada de um condensador,naznačena kapacitivnost kondenzatorja,"назначена капацитивност кондензатора, ж јд",markkapacitans,"额定电容, <电容器的>"
436-01-13,rated current of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-13,تيار اسمي لمكثف,"Bemessungsstrom eines Kondensators, m",rated current of a capacitor,corriente asignada de un condensador,"courant assigné d'un condensateur, m",corrente nominale di un condensatore,コンデンサの定格電流,커패시터 정격 전류,конденсаторын хэвийн гүйдэл,prąd znamionowy kondensatora,corrente estipulada de um condensador,naznačeni tok kondenzatorja,"назначена струја кондензатора, ж јд",märkström,"额定电流, <电容器的>"
436-01-14,rated frequency of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-14,تردد اسمي لمكثف,"Bemessungsfrequenz eines Kondensators, f",rated frequency of a capacitor,frecuencia asignada de un condensador,"fréquence assignée d'un condensateur, f",frequenza nominale di un condensatore,コンデンサの定格周波数,커패시터 정격 주파수,конденсаторын хэвийн давтамж,częstotliwość znamionowa kondensatora,frequência estipulada de um condensador,naznačena frekvenca kondenzatorja,"назначена фреквенција кондензатора, ж јд",märkfrekvens,"额定频率, <电容器的>"
436-01-15,rated voltage of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-15,جهد اسمي لمكثف,"Bemessungsspannung eines Kondensators, f",rated voltage of a capacitor,tensión asignada de un condensador,"tension assignée d'un condensateur, f",tensione nominale di un condensatore,コンデンサの定格電圧,커패시터 정격 전압,конденсаторын хэвийн хүчдэл,napięcie znamionowe kondensatora,tensão estipulada de um condensador,naznačena napetost kondenzatorja,"назначени напон кондензатора, м јд",märkspänning,"额定电压, <电容器的>"
436-01-16,rated output of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-16,قدرة اسمية لمكثف,"Bemessungsleistung eines Kondensators, f",rated output of a capacitor,potencia asignada de un condensador,"puissance assignée d'un condensateur, f",potenza nominale di un condensatore,コンデンサの定格出力,커패시터 정격 출력,конденсаторын хэвийн чадал,moc kondensatora znamionowa,potência estipulada de um condensador,naznačena moč kondenzatorja,"назначена снага кондензатора, ж јд",märkeffekt,"额定容量, <电容器的>额定输出, <电容器的>"
436-01-17,rated temperature category of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-17,تصنيف حراري مقنن,"Bemessungstemperaturklasse eines Kondensators, f",rated temperature category of a capacitor,categoría de temperatura asignada de un condensador,"catégorie de température assignée d'un condensateur, f",classe di temperatura nominale di un condensatore,コンデンサの定格温度範囲,커패시터 정격 온도 범위,конденсаторын хэвийн температурын зэрэглэл,kategoria znamionowa temperatury kondensatora,categoria estipulada de temperatura de um condensador,naznačeni temperaturni razred kondenzatorja,"назначени температурни разред кондензатора, м јд",märktemperaturomrade,"额定温度类别, <电容器的>"
436-02-01,power capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-01,مكثف قدرة,"Leistungskondensator, m",power capacitor,condensador de potencia,"condensateur de puissance, m",condensatore di potenza,電力用コンデンサ,전력 커패시터전력용 커패시터,хүчний конденсатор,kondensator energetyczny,condensador de potênciacapacitor de potência,močnostni kondenzator,"енергетски кондензатор, м јд",kraftkondensator,电力电容器
436-02-02,shunt capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-02,مكثف توازي,"Parallelkondensator, m",shunt capacitor,condensador en paralelocondensador shunt,"condensateur-shunt, mcondensateur en dérivation, m",condensatore di rifasamento in parallelo,分路コンデンサ,분로 커패시터병렬 커패시터,шунтлэгч конденсатор,kondensator bocznikowy kondensator równoległy,condensador-derivação,vzporedni kondenzator,"паралелно везан кондензатор, м јд",shuntkondensator,并联电容器
436-02-03,series capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-03,مكثف توال,"Reihenkondensator, m",series capacitor,condensador serie,"condensateur-série, m",condensatore serie,直列コンデンサ,직렬 커패시터,цуваа конденсатор,kondensator szeregowy,condensador-série,zaporedni kondenzator,"редно везан кондензатор, м јд",seriekondensator,串联电容器
436-02-04,motor starting capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-04,مكثف بدء تشغيل المحرك,"Motoranlaufkondensator, m",motor starting capacitor,condensador para arranque de motor,"condensateur de démarrage de moteur, m",condensatore per avviamento motori,電動機起動用コンデンサ,전동기 기동 커패시터,хөдөлгүүр асаах конденсатор,kondensator rozruchowy silnika,condensador de arranque de motor,zagonski kondenzator motorja,"кондензатор за покретање мотора, м јд",motorstartkondensator,电动机起动电容器
436-02-05,motor running capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-05,مكثف تشغيل محرك (مستمر),"Motorbetriebskondensator, m",motor running capacitor,condensador permanente de motor,"condensateur (permanent) de moteur, m",condensatore statico per motori,電動機稼働用コンデンサ,전동기 운전 커패시터,хөдөлгүүр ажиллуулах конденсатор,kondensator roboczy silnika  kondensator silnikowy do pracy ciągłej,condensador (permanente) de motor,obratovalni kondenzator motorja,"кондензатор за трајни рад мотора, м јд",motorkondensator,电动机运转电容器
436-02-06,filter capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-06,مكثف تنعيم (ترشيح),"Filterkondensator, m",filter capacitor,condensador antiparasitariocondensador de filtrado,"condensateur de filtrage, m",condensatore di filtro,フィルタコンデンサ,필터 커패시터,шүүлтийн конденсатор,kondensator filtru,condensador de filtragem,filtrski kondenzator,"кондензатор за филтерске примене , м јд",filterkondensator,滤波电容器
436-02-07,power electronic capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-07,مكثف ألكترونيات القدرة,"Leistungselektronikkondensator, m",power electronic capacitor,condensador para electrónica de potencia,"condensateur pour électronique de puissance, m",condensatore per elettronica di potenza,電源電力用コンデンサ,전력 전자 커패시터,хүчний электроникийн конденсатор,kondensator energoelektroniczny,condensador para electrónica de potência,kondenzator za močnostno elektroniko,"кондензатор за енергетску електронику, м јд",kondensator för kraftelektronik,电力电子电容器
436-02-08,energy storage capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-08,مكثف تخزين الطاقة,"Energiespeicherkondensator, m",energy storage capacitor,condensador de almacenamiento de energía,"condensateur de stockage d'énergie, m",condensatore per immagazzinamento di energia,エネルギー蓄積用コンデンサ,에너지 저장 커패시터,цахилгаан энерги хураах конденсатор,kondensator magazynujący energię,condensador de armazenamento de energia,kondenzator za shranjevanje energije,"кондензатор за складиштење енергије, м јд",urladdningskondensator,贮能电容器脉冲电容器
436-02-09,circuit-breaker capacitors,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-09,مكثفات قاطع الداره,"Kondensatoren für Leistungsschalter, m",circuit-breaker capacitors,condensador para interruptores automáticos,"condensateurs pour disjoncteurs, m pl",condensatore per interruttori,遮断コンデンサ,차단기 커패시터,таслуурын конденсаторууд,kondensatory wyłącznikowe,condensador para disjuntores,odklopniški kondenzatorji,"кондензатори за прекидач, м мн",brytarkondensator,断路器电容器均压电容器
436-02-10,capacitor voltage divider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-10,مقسم جهد سعوي,"kapazitiver Spannungsteiler, m",capacitor voltage divider,divisor capacitivo,"diviseur capacitif, m",divisore di tensione capacitivo,コンデンサ分圧器,커패시터 전압 분배기,багтаамжийн хүчдэл хуваагч,dzielnik napięcia pojemnościowy  dzielnik pojemnościowy,divisor capacitivo,kapacitivni napetostni delilnik,"капацитивни делитељ напона, м јд",kapacitiv spänningsdelare,电容分压器
436-02-11,coupling capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-11,مكثف ربط,"Kopplungskondensator, m",coupling capacitor,condensador de acoplamiento,"condensateur de couplage, m",condensatore di accoppiamento,結合コンデンサ,결합 커패시터결합 콘덴서,холбооны конденсатор,kondensator sprzęgający,condensador de acoplamento,sklopni kondenzator,"спрежни кондензатор, м јд",kopplingskondensator,耦合电容器
436-02-12,high-voltage capacitor (of a capacitor divider),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-12,مكثف جهد عالي لمقسم جهد سعوي,"Oberspannungskondensator (eines kapazitiven Spannungsleiters), m",high-voltage capacitor (of a capacitor divider),condensador para alta tensión (de un divisor capacitivo),condensateur à haute tension (d'un diviseur capacitif) m,condensatore di alta tensione,高圧コンデンサ,"고압 커패시터, <커패시터 분압기>","өндөр хүчдэлийн конденсатор, <багтаамжийн хуваагчийн>",kondensator wysokonapięciowy (dzielnika pojemnościowego),condensador de alta tensão (de um divisor capacitivo),visokonapetostni kondenzator (kapacitivnega delilnika),"високонапонски кондензатор , <капацитивног делитеља> м јд",högspänningsdel,"高压电容器, <电容分压器的>"
436-02-13,intermediate-voltage capacitor (of a capacitor divider),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-02-13,مكثف جهد متوسط لمقسم جهد سعوي,"Unterspannungskondensator (eines kapazitiven Spannungsteilers), m",intermediate-voltage capacitor (of a capacitor divider),condensador para tensión intermedia (de un divisor capacitivo),condensateur à tension intermédiaire (d'un diviseur capacitif) m,condensatore di media tensione,中間電圧コンデンサ,"중압 커패시터, <커패시터 분압기>","завсрын хүчдэлийн конденсатор, <багтаамжийн хуваагчийн>",kondensator napięcia pośredniego (dzielnika pojemnościowego),condensador de tensão intermédia (de um divisor capacitivo),vmesnonapetostni kondenzator (kapacitivnega delilnika),"разделни кондензатор, <капацитивног делитеља> м јд",mellanspänningsdel,"中压电容器, <电容分压器的>"
436-03-01,line terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-01,طرف (نهاية) خط,"Außenleiter-Anschlusspunkt, mAußenleiterklemme, f",line terminal,borne de línea,"borne de ligne, f",terminale di linea,回線端子,선로 단자,шугамын гаргалга,zacisk liniowy,terminal de linha,omrežna sponka,"линијски прикључак, м јд",fasuttag,线路端子
436-03-02,earth terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-02,طرف الأرضي,"Erdungsanschlusspunkt, mErdungsklemme, f",earth terminal,borne de tierra,"borne de terre, f",terminale di terra,接地端子,대지 단자지구 단자,газардуулгын гаргалга,zacisk uziomowy,terminal de terra,ozemljitvena sponka,"прикључак за уземљење, м јд",jordningsuttag,接地端子
436-03-03,intermediate-voltage terminal (of a capacitor divider),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-03,طرف جهد متوسط لمقسم جهد سعوي,"Unterspannungsanschlussklemme (eines kapazitiven Spannungsteilers), f",intermediate-voltage terminal (of a capacitor divider),borne intermedio (de un divisor capacitivo),borne intermédiaire (d'un diviseur capacitif) f,terminale a tensione intermedia,中圧端子中間電圧端子,"중압 단자, <커패시터 분압기>","завсрын хүчдэлийн гаргалга, <багтаамжийн хуваагчийн>",zacisk napięcia pośredniego (dzielnika pojemnościowego),terminal intermédio (de um divisor capacitivo),vmesnonapetostna sponka (kapacitivnega delilnika),"разделни прикључак, <капацитивног делитеља> м јд",mellanspänningsuttag,"中压端子, <电容分压器的>"
436-03-04,low-voltage terminal (of a capacitor divider),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-04,طرف جهد منخفض لمقسم جهد سعوي,"Niederspannungsanschlussklemme (eines kapazitiven Spannungsleiters), f",low-voltage terminal (of a capacitor divider),borne de baja tensión (de un divisor capacitivo),borne basse tension (d'un diviseur capacitif) f,terminale a bassa tensione,低圧端子,"저압 단자, <커패시터 분압기>","нам хүчдэлийн гаргалга, <багтаамжийн хуваагчийн>",zacisk napięcia niskiego (dzielnika pojemnościowego),terminal de baixa tensão (de um divisor capacitivo),nizkonapetostna sponka (kapacitivnega delilnika),"нисконапонски прикључак, <капацитивног делитеља> м јд",lagspänningsuttag,"低压端子, <电容分压器的>"
436-03-05,electrolytic capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-05,مكثف الكتروليتي,"Elektrolytkondensator, m",electrolytic capacitor,condensador electrolítico,"condensateur électrolytique, m",condensatore elettrolitico,電界コンデンサ,전해 커패시터,электролит конденсатор,kondensator elektrolityczny,condensador electrolíquido,elektrolitni kondenzator,"електролитички кондензатор, м јд",elektrolytkondensator,电解电容器
436-03-06,AC electrolytic capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-06,مكثف الكترولتيتي لتيار متردد,"Wechselstrom-Elektrolytkondensator, m",AC electrolytic capacitor,condensador electrolítico para corriente alterna,"condensateur électrolytique pour courant alternatif, m",condensatore elettrolitico per corrente alternata,交流電解コンデンサ,교류 전극 커패시터,хувьсах гүйдлийн электролит конденсатор,kondensator elektrolityczny prądu przemiennego,condensador electrolíquido para corrente alternada,elektrolitni kondenzator za izmenični tok,"електролитички кондензатор наизменичне струје, м јд",elektrolyikondensator för växelström,交流电解电容器
436-03-07,paper capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-07,مكثف ورقي,"Papierkondensator, m",paper capacitor,condensador de papel,"condensateur au papier, m",condensatore con dielettrico di carta,紙コンデンサ,종이 커패시터,цаасан конденсатор,kondensator papierowy  kondensator z dielektrykiem papierowym,condensador de papel,papirni kondenzator,"кондензатор са папирним диелектриком, м јд",papperskondensator,纸介质电容器
436-03-08,film capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-08,مكثف ذو غشاء رقيق,"Kunststoffkondensator, m",film capacitor,condensador de película,"condensateur au film, m",condensatore con dielettrico plastico,フィルムコンデンサ,박막 커패시터,хальсан конденсатор,kondensator tworzywowy  kondensator z dielektrykiem z tworzywa,condensador de filme,kondenzator s plastično folijo,"кондензатор са диелектриком од филма, м јд",plastfilmkondensator,膜介质电容器
436-03-09,mixed dielectric capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-09,مكثف ذو عزل كهربائى مختلط,"Kondensator mit gemischtem Dielektrikum, m",mixed dielectric capacitor,condensador de dieléctrico mixto,"condensateur à diélectrique mixte, m",condensatore con dielettrico misto,複合誘電コンデンサ,혼합 유전체 커패시터,холимог диэлектриктэй конденсатор,kondensator z dielektrykiem mieszanym,condensador de dieléctrico misto,kondenzator z mešanim dielektrikom,"кондензатор са мешовитим диелектриком, м јд",blandfoliekondensator,复合介质电容器
436-03-10,metal foil capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-10,مكثف ذو رقائق معدنية,"Metallfolienkondensator, m",metal foil capacitor,condensador de hojas metálicas,"condensateur à feuilles métalliques, m",condensatore con elettrodi di nastro metallico,箔コンデンサ,금속 박 커패시터,металл хальсан конденсатор,kondensator o elektrodach z folii metalowej,condensador de folhas metálicas,kondenzator s kovinsko folijo,"кондензатор са електродама од металне фолије, м јд",metallfoliekondensator,金属箔电容器
436-03-11,metallized capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-11,مكثف ممعدن,"metallisierter Kondensator, m",metallized capacitor,condensador de dieléctrico metalizado,"condensateur à diélectrique métallisé, m",condensatore metallizzato,金属化コンデンサ,금속화 커페시터,металл бүрхүүлтэй конденсатор,kondensator metalizowany  kondensator z dielektrykiem metalizowanym,condensador de dieléctrico metalizado,kondenzator z metaliziranim dielektrikom,"кондензатор са метализираним диелектриком, м јд",kondensator med metalliserade belägg,金属化电容器
436-03-12,self-healing capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-12,مكثف معالج ذاتياً,"selbstheilender Kondensator, m",self-healing capacitor,condensador autorregenador,"condensateur autorégénérateur, m",condensatore autorigenerabile,自己回復コンデンサ,자체 복구 커패시터,өөрөө сэргээгддэг конденсатор,kondensator samoregenerujący się kondensator z dielektrykiem samoregenerującym się,condensador autorregenerador,samoozdravljivi kondenzator,"самообнављајући кондензатор, м јд",självlakande kondensator,自愈式电容器
436-03-13,impregnating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-13,إشباع - غمر,"Imprägnieren, nTränken, n",impregnating,impregnación,"imprégnation, f",impregnazione,含浸,함침,нэвчүүлэх,impregnacja  nasycanie,impregnação,impregniranje,"импрегнација, ж јд",impregnering,浸渍
436-03-14,overvoltage protector of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-14,جهاز واق من  الجهد الزائد للمكثف,"Überspannungsschutzvorrichtung eines Kondensators, f",overvoltage protector of a capacitor,dispositivo de protección de un condensador contra las sobretensiones,"dispositif de protection d'un condensateur contre les surtensions, m",dispositivo di protezione contro le sovratensioni di un condensatore,コンデンサの過電圧保護装置,커패시터 과전압 보호기,конденсаторын хэт хүчдэлийн хамгаалагч,ochronnik przepięciowy kondensatora,dispositivo de protecção de um condensador contra sobretensões,prenapetostna zaščitna naprava kondenzatorja,"пренапонска заштита кондензатора, ж јд",överspänningsskydd,"过电压保护, <电容器的>"
436-03-15,discharge device of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-15,جهاز لتفريغ المكثف,"Entladevorrichtung eines Kondensators, f",discharge device of a capacitor,dispositivo de descarga de un condensador,"dispositif de décharge d'un condensateur, m",dispositivo di scarica di un condensatore,コンデンサの放電装置,커패시터 방전 장치,конденсаторын цэнэг шавхагч төхөөрөмж,urządzenie rozładowcze kondensatora,dispositivo de descarregamento de um condensadordispositivo de descarga de um condensador (desaconselhado),praznilna naprava kondenzatorja,"склоп за пражњење кондензатора, м јд",urladdningdon,"放电器件, <电容器的>"
436-03-16,internal fuse of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-16,مصهر داخلى للمكثف,"interne Sicherung eines Kondensators, f",internal fuse of a capacitor,cortocircuito interno de un condensador,"coupe-circuit interne d'un condensateur, m",fusibile interno di un condensatore,コンデンサの内部ヒューズ,커패시터 내부 퓨즈,конденсаторын дотоод хайламтгай гал хамгаалагч,bezpiecznik wewnętrzny kondensatora,cortacircuito interno de um condensador,notranja varovalka kondenzatorja,"унутрашњи осигурач кондензатора, м јд",inre kondensatorsäkring,"内部熔丝, <电容器的>"
436-03-17,overpressure disconnector for a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-17,فاصل ارتفاع الضغط لمكثف,"Überdruckabschalter eines Kondensators, m",overpressure disconnector for a capacitor,desconectador de sobrepresión de un condensador,"déconnecteur à surpression d'un condensateur, m",interruttore a sovrapressione di un condensatore,コンデンサの過圧遮断器,커패시터 과 압력 단로기,конденсаторт зориулсан хэт даралтын салгуур,odłącznik nadciśnieniowy kondensatora,disconector de sobrepressão de um condensador,nadtlačni ločilnik kondenzatorja,"натпритисни растављач за кондензатор, м јд",övertrycksskydd,"过压隔离器, <电容器的>"
436-03-18,capacitor bank protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-18,حماية مجموعة المكثفات,"Kondensatorbatterieschutz, m",capacitor bank protection,protección de batería de condensadores,"protection de batterie de condensateurs, f",protezione di una batteria di un condensatore,コンデンサバンク保護,커패시터 뱅크 보호,конденсаторын батарейн хамгаалалт,ochrona baterii kondensatorów,protecção de bateria de condensadores,zaščita kondenzatorske baterije,"заштита батерије кондензатора, ж јд",skydd för kondensatorbatteri,电容器组保护
436-03-19,unbalance protection for a capacitor bank,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-03-19,حماية عدم التوازن لمجموعة المكثفات,"Unsymmetrieschutz einer Kondensatorbatterie, m",unbalance protection for a capacitor bank,protección de desequilibrio de batería de condensadores,"protection de déséquilibre de batterie de condensateurs, f",protezione a squilibrio di una batteria di condensatori,コンデンサバンクの不均衡保護,커패시터 뱅크 불평형 보호,конденсаторын батарейн ялгаврын хамгаалалт,ochrona przed asymetrią baterii kondensatorów,protecção de desequilíbrio de bateria de condensadores,zaščita kondenzatorske baterije pri nesimetriji,"заштита од неуравнотежености батерије кондензатора, ж јд",obalansskydd,"不平衡保护, <电容器组的>"
436-04-01,capacitance tolerance (of a capacitor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-04-01,سماحية سعوية  للمكثف,"Kapazitätstoleranz (eines Kondensators), f",capacitance tolerance (of a capacitor),tolerancia de capacidad (de un condensador),"tolérance de capacité (d'un condensateur), f",tolleranza di capacità (di un condensatore),静電容量許容差（コンデンサの）コンデンサの静電容量許容差,"커패시턴스 허용오차, <커패시터>","багтаамжийн зөвшөөрөгдөх хазайлт, <конденсаторын>",tolerancja pojemności,tolerância de capacidade (de um condensador),toleranca kapacitivnosti (kondenzatorja),"толеранција капацитивности , <кондензатора> ж јд",kapacitanstolerans,"电容偏差, <电容器的>"
436-04-02,equivalent series resistance (of a capacitor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-04-02,مقاومة التوالي المكافئة (لمكثف),"äquivalenter Serienwiderstand (eines Kondensators), m",equivalent series resistance (of a capacitor),resistencia serie equivalente (de un condensador),"résistance-série équivalente (d'un condensateur), f",resistenza serie equivalente (di un condensatore),等価直列抵抗（コンデンサの）コンデンサの等価直列抵抗,"등가 직렬 저항, <커패시터>","эквивалент цуваа эсэргүүцэл, <конденсаторын>",rezystancja szeregowa równoważna (kondensatora) rezystancja szeregowa zastępcza (kondensatora),resistência-série equivalente (de um condensador),ekvivalentna zaporedna rezistanca (kondenzatorja),"еквивалентна редна отпорност , <кондензатора> ж јд",ekvivalent serieresistans,"等效串联电阻, <电容器的>"
