term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
614-01-11,frequency stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-11,استقرار التردد,"Frequenzhaltung, f",frequency stability,estabilidad de la frecuencia,taajuusvakavuus,"tenue de la fréquence, f",stabilità della frequenza,持続周波数,주파수 안정,"stabilność częstotliwości, f",estabilidade da frequência,"стабилност фреквенције, ж јд",频率稳定性
614-01-12,point of common coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-12,نقطة الأتصال العامة,"Verknüpfungspunkt, mPCC",point of common couplingPCC,punto de conexión comúnPCC,liittämiskohta,"point commun de raccordement, mPCC, m",punto di accoppiamento comune,系統連系点,공통 결합점피시시,"punkt wspólnego połączenia, <z siecią publiczną> mpunkt połączenia z siecią publiczną, mPWP",ponto de acoplamento comum,"заједничка прикључна тачка, ж јдPCC",公共连接点
614-01-13,system impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-13,ممانعة النظام,"Netzimpedanz, f",system impedance,impedancia de red,verkon impedanssi,"impédance du réseau, f",inpedenza della rete,系統インピーダンス,계통 임피던스,"impedancja systemu zasilania, fimpedancja sieci zasilającej, f",impedância da rede de alimentação,"импеданса система, ж јд",系统阻抗
614-01-14,harmonic voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-14,جهد توافقى,"Spannungsoberschwingung, f",harmonic voltage,armónico de tensión,harmoninen jännite,"tension harmonique, f",tensione armonica,高調波電圧,조파 전압,"harmoniczna napięcia, f",tensão harmónica,"хармоник напона, м јд",谐波电压
614-01-15,interharmonic voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-15,جهد توافقى بينى,"zwischenharmonische Spannung, f",interharmonic voltage,interarmónico de tensión,epäharmoninen jänniteväliharmoninen,"tension inter-harmonique, f",tensione interarmonica,次数間高調波,조파간 전압,"interharmoniczna napięcia, f",tensão interharmónica,"међухармоник напона, м јд",间谐波电压
614-01-16,source of harmonic disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-16,مصدرالتشوهات التوافقية,"Quelle harmonischer Störungen, f",source of harmonic disturbance,fuente de perturbación armónica,harmonisten häiriöiden lähde,"source de perturbation harmonique, f",sorgente di disturbo armonico,高調波発生源,조파 외란 전원,"źródło zakłóceń harmonicznych, n",fonte de perturbação harmónica,"извор хармонијских сметњи, м јд",谐波干扰源
614-01-17,harmonic resonance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-17,ظاهرة الرنين التوافقى,"Oberschwingungsresonanz, f",harmonic resonance,resonancia armónica,yliaaltoresonanssi,"résonance harmonique, f",risonanza armonica,高調波共振,조파 공진,"rezonans harmonicznych, m",ressonância harmónica,"хармонијска резонанција, ж јд",谐波谐振
614-01-18,sub-synchronous resonance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-18,الرنين التوافقى الفرعى,"untersynchrone Resonanz, f",sub-synchronous resonance,resonancia subsíncrona,alitaajuusresonanssi,"résonance hyposynchrone, f",risonanza sub-sincrona,次同期共振,준동기 공진에스에스아르,"rezonans podsynchroniczny, m",ressonância sub-sincronizada,"подсинхрона резонанција, ж јд",次同步谐振
614-01-19,ferro-resonance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-19,الرنين الحديدى,"Ferroresonanz, f",ferro-resonance,ferro-resonancia,ferroresonanssi,"ferrorésonance, f",ferro-risonanza,鉄共振,철 공진,"ferrorezonans, m",ferrorressonância,"ферорезонанција, ж јд",铁磁谐振
614-01-20,line voltage drop,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-20,انخفاض جهد الخط,"Spannungsfall, m",line voltage drop,caída de tensión de fase,johdon jännitteenalenema,"chute de tension en ligne, f",caduta di tensione in linea,送電電圧降下,선로 전압 강하,"spadek napięcia w linii, m",queda de tensão na linha,"пад напона на воду, м јд",线路压降
614-01-21,loss of voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-21,فقد الجهد,"Spannungslosigkeit, f",loss of voltage,pérdida de tensión,jännitteen katoaminen,"manque de tension, m",mancanza di tensione,電圧損失,전압 상실,"zanik napięcia, m",perda de tensão,"губитак напона, м јд",电压消失
614-01-22,"continuity, <of supply>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-22,"استمرارية التغذية, <للمصدر>","Versorgungskontinuität, <der Elektrizitätsversorgung> f","continuity, <of supply>",continuidad de suministrocontinuidad,toimitusvarmuus,"continuité, <de l’alimentation> f","continuità, <dell'alimentazione>","継続, <供給の>","연속성, <공급>","ciągłość zasilania, fciągłość dostawy, <energii elektrycznej> f","continuidade, <da alimentação>","непрекидност, <напајања> ж јд","连续性, <供电的>"
614-01-23,"disconnection, <of supply>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-23,"فصل التغذية, <للمصدر>","Abschaltung, <der Elektrizitätsversorgung> f","disconnection, <of supply>",interrupción de tensióninterrupción,jakelukeskeytys,"coupure, <de l’alimentation> f","interruzione, <della fornitura>","開放, <供給の>","분리, <공급>단로, <공급>","odłączenie zasilania, nprzerwa w dostawie, <energii elektrycznej> f","desconeção, <da alimentação>","прекид, <напајања> м јдискључење, с јд","断开, <供电的>"
614-01-24,cut-off load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-24,الحمل المفصول عنه التغذية,"ausgeschaltete Leistung, f",cut-off load,potencia de cortecorte,keskeytyshetken kuorma,"puissance coupée, f",carico all'istante del distacco,遮断負荷,차단 부하,"moc wyłączana, f",potência interrompida,"прекинуто оптерећење, с јд",被切负荷
614-01-25,energy not supplied,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-25,الطاقة غير المغذاهالطاقة المفقودة,"nicht gelieferte Energie, f",energy not suppliedlost energy,energía no distribuida,toimittamatta jäänyt energia,"énergie non distribuée, f",energia non fornitaenergia persa,供給支障電力,공급 지장 에너지공급 지장 전력량,"energia niedostarczona, f",energia não fornecida,"неиспоручена енергија, ж јдгубитак енергије, м јд",少供电量
614-01-26,"short interruption, <of supply voltage>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-26,"انقطاع قصير المدى لجهد التغذية, <لجهد المصدر>","Kurzzeitunterbrechung, <der Versorgungsspannung> f","short interruption, <of supply voltage>",interrupción breve de tensióninterrupción breve,"lyhyt katkos, <syöttöjännitteen>","coupure brève, <de la tension d’alimentation> f","interruzione breve, <della tensione di alimentazione>","瞬断, <供給電圧の>","단기 정전, <공급 전압>","przerwa krótkotrwała, <w zasilaniu> f",interrupção breve,"краткотрајни прекид, <напона напајања> м јд","短时中断, <供电电压的>"
614-01-27,voltage recovery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-27,استعادة الجهد,"Spannungswiederkehr, f",voltage recovery,recuperación de tensión,jännitteen palautuminen,"retour de la tension, m",ristabilimento della tensione,回復電圧,전압 복구,"powrót napięcia, m",reposição da tensão,"поновно успостављање напона, с јд",电压恢复
614-01-28,flicker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-28,الارتعاش,"Flimmern, n",flicker,flicker,välkyntä,"papillotement, mflicker, m",flicker,フリッカー,깜박임플리커,"migotanie, <światła> n",tremulação,"треперење, с јдфликер, м јд",闪变
614-01-29,flicker voltage range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-29,مدى جهد الارتعاش,"flimmerverursachende Spannungsschwankung, f",flicker voltage range,tensión de flicker,välkyntäjännitealue,"tension de papillotement, ftension de flicker, f",campo di variazione del flicker,フリッカー電圧範囲,깜박임 전압 범위,"zakres migotania napięcia, m",gama da tensão de tremulação,"опсег напонског треперења, <фликера> м јд",闪变电压范围
614-01-30,flickermeter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-30,جهاز قياس الارتعاش,"Flicker-Messgerät, n",flickermeter,flickermetro,välkyntämittari,"flickermètre, m",flickermetro,フリッカーメータ,깜박임 측정기,"miernik migotania, <światła> m",flickerímetro,"фликерметар, м јдмерач треперења, м јд",闪变仪
614-01-31,flicker indicator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-31,قياس الارتعاشمؤشر شدة الارتعاش,"Flickerwert, m",flicker indicatorflicker severity index,índice de severidad de flicker,välkynnän taso,"indicateur de papillotement, mindicateur de flicker, m",indicatore di flickerindice di severità del flicker,フリッカー表示器,깜박임 지시기,"wskaźnik migotania, m",indicador de tremulação,"индикатор треперења, м јдиндикатор фликера, м јд",闪变指示器闪变严重度指标
614-01-32,voltage unbalance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-32,عدم اتزان الجهد,"Spannungsunsymmetrie, f",voltage unbalance,desequilibrio de tensiónasimetría de tensión,jännite-epäsymmetria,"déséquilibre de tension, m",squilibrio di tensione,電圧不平衡,전압 불균형,"asymetria napięcia, f",desiquilíbrio de tensão,"несиметрија напона, ж јд",电压不平衡
614-01-33,unbalance factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-33,معامل عدم اتزان الجهد,"Unsymmetriegrad, m",unbalance factor,tasa de desequilibriofactor de desequilibrio,epäsymmetriasuhde,"taux de déséquilibre, m",fattore di squilibrio,不平衡要因,불평형률,"współczynnik asymetrii, m",grau de desequilíbrio,"степен несиметрије, м јд",不平衡因数
614-01-34,balancing of a distribution network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-34,اتزان شبكة التوزيع,"Symmetrierung eines Verteilnetzes, f",balancing of a distribution network,equilibrado de una red de distribución,vaihekuormien tasaus,"équilibrage d’un réseau de distribution, m",bilanciamento del carico in una rete di distribuzione,配電系統の不平衡対策,배전 시스템 평형배전 사업자,"symetryzacja sieci rozdzielczej, f",balanceamento de uma rede de distríbuição,"балансирање дистрибутивне мреже, с јд",配电网的平衡
614-01-35,power system signalling voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-35,جهد اشارة للنظام الكهربائى,"Netzsignalspannung, f",power system signalling voltagemains signalling voltage,tensión de señalización por la red,sähköverkon tiedonsiirtojännite,"tension de signalisation du système d'énergie électrique, f",segnali trasmessi sulla rete di alimentazione,電力線搬送用信号電圧,전력 계통 신호 전압,"napięcie sygnalizacyjne w sieci elektroenergetycznej, n",tensão da sinalização de sistema de alimentação,"сигнални напон мреже, м јд",电力系统传送信号电压电源传送信号电压
614-02-01,insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-01,عطل عزل,"Isolationsfehler, m",insulation fault,defecto de aislamientofalta de aislamiento,eristysvika,"défaut d’isolement, m",guasto dell'isolamento,絶縁破壊,절연 고장절연 장애,"uszkodzenie izolacji, n",defeito de isolamento,"квар изолације, м јд",绝缘故障
614-02-02,short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-02,قصر الدائرة,"Kurzschluss, m",short-circuit,cortocircuitocc,oikosulku,"court-circuit, m",cortocircuito,短絡,단락 회로에스시,"zwarcie, n",curto-circuito,"кратак спој, м јд",短路
614-02-03,short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-03,تيار قصر الدائرة,"Kurzschlussstrom, m",short-circuit current,corriente de cortocircuitoIcc,oikosulkuvirta,"courant de court-circuit, m",corrente di cortocircuito,短絡電流,단락 전류,"prąd zwarciowy, mprąd zwarcia, m",corrente de curto-circuito,"струја кратког споја, ж јд",短路电流
614-02-04,partial short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-04,تيار قصردائرة جزئى,"Teilkurzschlussstrom, m",partial short-circuit current,corriente parcial de cortocircuito,osaoikosulkuvirta,"courant partiel de court-circuit, m",corrente parziale di cortocircuito,部分短絡電流,부분 단락 전류,"prąd zwarciowy częściowy, mprąd zwarcia częściowy, m",corrente parcial de curto-circuito,"компонента струје кратког споја, ж јд",部分短路电流
614-02-05,prospective short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-05,تيار قصردائرة متوقع,"unbeeinflusster Kurzschlussstrom, m",prospective short-circuit current,corriente de cortocircuito prevista,prospektiivinen oikosulkuvirta,"courant de court-circuit présumé, m",corrente di cortocircuito presunta,想定短絡電流,고유 단락전류예상상 단락전류,"prąd zwarciowy spodziewany, mprąd zwarcia spodziewany, m",corrente presumida de curto-circuito,"очекивана струја кратког споја, ж јд",预期短路电流
614-02-06,peak short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-06,تيار قصر دائرة اقصى,"Spitzen-Kurzschlussstrom, m",peak short-circuit current,corriente de cresta de cortocircuito,oikosulkuvirran huippuarvo,"courant crête de court-circuit, m",corrente di picco di cortocircuito,波高値短絡電流,첨두 단락 전류,"prąd zwarciowy maksymalny, mprąd zwarcia maksymalny, m",corrente de pico de curto-circuito,"вршна вредност струје кратког споја, ж јд",峰值短路电流
614-02-07,fault impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-07,ممانعة العطل,"Fehlerimpedanz, f",fault impedance,impedancia de falta,vikaimpedanssi,"impédance de défaut, m",impedenza di guasto,故障インピーダンス,고장 임피던스,"impedancja w miejscu zwarcia, f",impedância de defeito,"импеданса квара, ж јд",故障阻抗
614-02-08,permanent insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-08,عطل عزل دائم,"bleibender Isolationsfehler, m",permanent insulation fault,defecto de aislamiento permanente,pysyvä eristysvika,"défaut d'isolement permanent, m",guasto permanente dell'isolamento,永久絶縁事故,영구 절연 고장,"uszkodzenie izolacji trwałe, n",defeito de isolamento permanente,"трајни квар изолације, м јд",永久性绝缘故障
614-02-09,transient insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-09,عطل عزل عابر,"vorübergehender Isolationsfehler, m",transient insulation fault,defecto de aislamiento transitorio,lyhytaikainen eristysvika,"défaut d'isolement fugitif, m",guasto transitorio dell'isolamento,過渡絶縁事故,과도 절연 고장,"zwarcie przemijające, nuszkodzenie izolacji przemijające, n",defeito de isolamento transitório,"пролазни квар изолације, м јд",瞬时绝缘故障
614-02-10,self-extinguishing insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-10,عطل عزل ذاتى الإخماد,"selbstlöschender Isolationsfehler, m",self-extinguishing insulation fault,defecto de aislamiento autoextinguible,sammuva eristysvika,"défaut d'isolement auto-extincteur, m",guasto dell'isolamento di tipo autoestinguente,自己消弧性絶縁破壊,자체 소호 절연 고장,"zwarcie samogasnące, nzakłócenie samogasnące, n",defeito de isolamento autoextinguível,"самогасиви квар изолације, м јд",自熄弧绝缘故障
614-02-11,self-extinguishing current limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-11,حدود تيار ذاتى الإخماد,"Löschgrenze für den Fehlerstrom, f",self-extinguishing current limit,corriente límite autoextinguible,sammumisrajavirta,"courant limite d’auto-extinction, m",corrente limite di autoestinzione,自己消弧限界電流,자체 제거 전류 한계,"prąd graniczny samogaśnięcia łuku, m",corrente limite de autoextinção,"граница струје самогашења, ж јд",自熄弧电流极限
614-02-12,intermittent insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-12,عطل عزل متقطع,"intermittierender Isolationsfehler, m",intermittent insulation fault,defecto de aislamiento intermitente,toistuva eristysvika,"défaut d'isolement intermittent, m",guasto intermittente dell'isolamento,間欠性絶縁事故,간헐 절연 고장,"zwarcie powtarzające się, nzakłócenie powtarzające się, n",defeito de isolamento intermitente,"квар изолације који се понавља, ж јд",断续绝缘故障
614-02-13,resistive insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-13,عطل عزل مقاوم,"widerstandsbehafteter Isolationsfehler, m",resistive insulation fault,defecto de aislamiento resistivo,resistiivinen eristysvika,"défaut d'isolement résistant, m",guasto dell'isolamento di tipo resistivo,抵抗性絶縁事故,저항 절연 고장,"zwarcie rezystancyjne, n",defeito de isolamento resistivo,"квар изолације преко отпорности, м јд",电阻性绝缘故障
614-02-14,line insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-14,عطل عزل فى الخط,"Leitungs-Isolationsfehler, m",line insulation fault,defecto de aislamiento de la fase,johdon eristysvika,"défaut d'isolement en ligne, m",guasto di isolamento di linea,線路絶縁事故,선로 절연 고장,"zwarcie na linii, nuszkodzenie izolacji linii, n",defeito de isolamento de linha,"квар на изолацији вода, м јд",线路绝缘故障
614-02-15,busbar insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-15,عطل عزل فى القضبان,"Sammelschienen-Isolationsfehler, m",busbar insulation fault,defecto de aislamiento en barras,kiskon eristysvika,"défaut d'isolement de barres, m",guasto di isolamento sulle sbarre,母線絶縁事故,모선 절연 고장,"zwarcie na szynach, nuszkodzenie izolacji szyn, n",defeito de isolamento do barramento,"квар на изолацији сабирнице, м јд",母线绝缘故障
614-02-16,earth fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-16,عطل أرضى,"Erdschlussfehler, m","earth faultground fault, US",falta a tierradefecto a tierra,maasulku,"défaut à la terre, m",guasto a terra,地絡事故,접지 고장,"zwarcie doziemne, nzwarcie jednofazowe z ziemią, n",defeito à terra,"земљоспој, м јд",接地故障
614-02-17,line-to-line insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-17,عطل عزل بين خط وخط,"Außenleiter-Außenleiter-Isolationsfehler, m",line-to-line insulation fault,defecto de aislamiento entre fases,äärijohtimien välinen eristysvika,"défaut d'isolement entre phases, m",guasto dell'isolamento tra le fasi,線間短絡事故,선간 절연 고장,"zwarcie międzyfazowe, n",defeito de isolamento linha a linha,"међуфазни квар, м јд",相间绝缘故障
614-02-18,double insulation earth fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-18,عطل عزل بين خطين و الأرضى,"Doppelerdschlussfehler, m",double insulation earth fault,falta doble de aislamiento a tierradefecto doble de aislamiento a tierra,kaksoismaasulku,"double défaut d'isolement à la terre, m",doppio guasto di isolamento a terra,二点同時地絡事故,이중 절연 지락 고장,"zwarcie podwójne z ziemią, n",defeito à terra do duplo isolamento,"двоструки земљоспој, м јд",双重绝缘接地故障
614-02-19,multiple insulation earth faults,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-19,عطل عزل بين عدة خطوط والأرضى,"multiple Erdschlussfehler, m pl",multiple insulation earth faults,falta múltiple de aislamiento a tierradefecto múltiple de aislamiento a tierra,monipaikkainen maasulku,"défaut d'isolement multiple à la terre, m",guasto multiplo dell'isolamento a terra,多相地絡事故,다중 절연 지락 고장,"zwarcie wielokrotne z ziemią, n",defeito á terra do múltiplo isolamento,"вишеструки земљоспој, м јд",多重绝缘接地故障
614-02-20,symmetrical insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-20,عطل عزل متماثلعطل عزل ثلاثى الأوجه,"dreipoliger Isolationsfehler, mdreipoliger Kurzschluss, m",symmetrical insulation faultthree-phase insulation fault,falta de aislamiento trifásicodefecto de aislamiento trifásico,kolmivaiheinen eristysvika,"défaut d'isolement triphasé, mDÉCONSEILLÉ: défaut symétrique, m",guasto dell'isolamento di tipo simmetricoguasto dell'isolamento di tipo trifase,三相短絡事故,대칭 절연 고장,"zwarcie trójfazowe, nzwarcie symetryczne, <termin niezalecany> n",defeito de isolamento simétrico,"симетрични квар изолације, м јдтрофазни квар изолације, м јд",对称绝缘故障三相绝缘故障
614-02-21,developing insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-21,عطل عزل متطور,"sich ausweitender Isolationsfehler, msich ausweitender Kurzschluss, m",developing insulation fault,falta de aislamiento evolutivadefecto de aislamiento evolutivo,laajeneva eristysvika,"défaut d'isolement évolutif, m",guasto dell'isolamento di tipo evolutivo,一相地絡から多相事故に進展する事故,전개 절연 고장,"zwarcie rozwijające się, n",defeito de isolamento evolutivo,"квар изолације који се развија, м јд",发展性绝缘故障
614-02-22,turn-to-turn insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-22,عطل عزل بين اللفاتعطل عزل بين اللفات البينية,"Windungs-Isolationsfehler, m",turn-to-turn insulation faultinterturn insulation fault,falta de aislamiento entre espirasdefecto de aislamiento entre espiras,käämin sisäinen eristysvika,"défaut d'isolement entre spires, m",guasto dell'isolamento tra le spire,ターン間絶縁事故,층간 절연 고장,"zwarcie międzyzwojowe, n",defeito entre espiras,"квар изолације између навојака, м јд",匝间绝缘故障
614-02-23,interwinding insulation fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-23,عطل عزل فى الملفات البينية,"Wicklungsschluss, m",interwinding insulation fault,falta de aislamiento entre devanadosdefecto de aislamiento entre devanados,käämien välinen eristysvika,"défaut d'isolement entre bobinage, m",guasto dell'isolamento tra gli avvolgimenti,巻線間絶縁事故,권선간 절연 고장,"zwarcie międzyuzwojeniowe, n",defeito entre enrolamentos,"квар изолације између намотаја, м јд",绕组间绝缘故障
614-02-24,fault clearance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-24,إزالة العطل,"Fehlerbeseitigung, f",fault clearance,eliminación de una faltaeliminación de un defecto,vian erottaminen,"élimination d’un défaut, f",eliminazione del guasto,事故除去,고장 제거,"wyłączenie zwarcia, n",eliminação de um defeito,"отклањање квара, с јд",故障清除
614-02-25,fault current interruption time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-25,زمن قطع تيار العطلزمن القطع,"Kurzschlussstrom-Ausschaltdauer, f","fault current interruption timeinterruption time, US",tiempo de interrupción de una corriente de falta,vian laukaisuaika,"durée avant interruption d’un courant de défaut, f",tempo di interruzione della corrente di guasto,事故電流遮断時間,고장 전류 차단 시간,"czas wyłączenia zwarcia, m",tempo de interrupção da corrente de defeito,"време прекидања струје квара, с јд",故障电流断开时间
614-02-26,fault clearance time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-26,زمن إزالة العطلزمن فصل,"Fehlerklärungsdauer, f","fault clearance timeclearing time, US",tiempo de eliminación de una faltatiempo de eliminación de un defecto,vian erottamisaika,"durée d'élimination d'un défaut, fDÉCONSEILLÉ: temps d’élimination d’un défaut, m",tempo di eliminazione del guasto,事故除去時間,고장 소호 시간,"czas eliminacji zwarcia, m",tempo de eliminação de um defeito,"време отклањања квара, с јд",故障清除时间
614-02-27,closing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-27,غلق,"Einschalten, n",closing,cierrecierre de un interruptordisparo,sulkeminen,"enclenchement, m",chiusura,閉極,투입,"załączenie, n",fecho,"укључење, с јдзатварање, с јд",合闸
614-02-28,opening,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-28,فتحفصل,"Ausschalten, nAuslösen, n",openingtripping,aperturaapertura de un interruptor,avaaminenlaukaisu,"déclenchement, m","aperturaapertura, <di interruttore>",開極,개로개구부개방,"wyłączenie definitywne, n",abertura,"окидање, с јдотварање, с јд",跳闸
614-02-29,automatic reclosing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-29,إعادة غلق آلى,"automatische Wiedereinschaltung, f",automatic reclosing,reenganche automáticoreenganche,automaattinen jälleenkytkentä,"réenclenchement automatique, m",richiusura automatica,自動再閉路,자동 재폐로,"samoczynne powtórne załączenie, nSPZ",religação automática,"аутоматско поновно укључење, с јд",自动重合
614-02-30,successful reclosing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-02-30,إعادة غلق آلى ناجح,"erfolgreiche Wiedereinschaltung, f",successful reclosing,reenganche exitoso,onnistunut jälleenkytkentä,"réenclenchement réussi, m",richiusura riuscita,再閉路成功,재폐로 성공,"SPZ skuteczne, n",religação bem sucedida,"успешно поновно укључење, с јд",重合成功
