term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
311-01-21,deviation (for the verification of calibration),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-21,ارتياب إسنادي,"Abweichung (der Verifizierung der Kalibrierung), f",deviation (for the verification of calibration),desviación,poikkeama,écart (pour la vérification d’étalonnage) m,deviazionescarto,偏差,"편차, 교정검증편이, 교정검증",odchyłka (w przypadku sprawdzania wzorcowania),desvio,отклонение (при поверке калибровки),"одступање, <за верификацију еталонирања> с јдодступање, <за верификацију калибрације> с јд",avvikelse,"偏差, <关于校准的检定>"
311-02-01,direct (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-01,انحراف ( لأجل التحقق من المعايرة),"direkte Messung, fdirektes Messverfahren",direct (method of) measurement,(método de) medida directa,suora mittausmenetelmä,"(méthode de) mesure directe, f",(metodo di) misura diretta,直接測定法直接測定,직접측정법직접측정,metoda pomiarowa bezpośredniametoda bezpośrednia,(método de) medição directa,метод непосредственных измерений,"директна метода мерења, ж јддиректно мерење, с јд",direkt mätmetod,直接测量法直接测量
311-02-02,indirect (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-02,القياس (بطريقة) مباشرة,"indirekte Messung, findirektes Messverfahren",indirect (method of) measurement,(método de) medida indirecta,epäsuora mittausmenetelmä,"(méthode de) mesure indirecte, f",(metodo di) misura indiretta,間接測定法間接測定,간접측정법간접측정,metoda pomiarowa pośredniametoda pośrednia,(método de) medição indirecta,метод косвенных измерений,"индиректна метода мерења, ж јдиндиректно мерење, с јд",indirekt mätmetod,间接测量法间接测量
311-02-03,comparison (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-03,القيا س (بطريقة) غير مباشرة,"vergleichende Messung, fVergleichsmessverfahren, nVergleichsverfahren, n",comparison (method of) measurement,(método de) medida por comparación,vertausmittausmenetelmä,"(méthode de) mesure par comparaison, f",(metodo di) misura per confronto,比較測定法比較測定,비교측정법비교측정,metoda pomiarowa porównawczametoda porównawcza,(método de) medição de comparação,метод измерений сличениемметод сравнения с мерой,"метода мерења поређењем, ж јдмерење поређењем, с јд",komparationsmätmetod,比较测量法比较测量
311-02-04,substitution (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-04,القياس (بطريقة) المقارنة,"substituierende Messung, fSubstitutionsmessverfahren, nSubstitutionsverfahren, n",substitution (method of) measurement,(método de) medida por sustitución,sijaismittausmenetelmä,"(méthode de) mesure par substitution, f",(metodo di) misura per sostituzione,置換測定法置換測定,치환측정법,metoda pomiarowa podstawieniametoda podstawienia,(método de) medição de substituição,метод измерений замещением,"метода мерења заменом, ж јдмерење заменом, с јд",substitutionsmätmetod,替代测量法替代测量
311-02-05,complementary (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-05,القياس (بطريقة)التعويض,"komplementäre Messung, fKomplementärmessverfahren, nKomplementärverfahren, n",complementary (method of) measurement,(método de) medida por complemento,täydennysmittausmenetelmä,"(méthode de) mesure par complément, f",(metodo di) misura complementare,付加測定法付加測定,부가측정법,metoda pomiarowa dopełnieniowametoda dopełnieniowa,(método de) medição de complemento,метод измерений дополнением,"метода мерења допуњавањем, ж јдмерење допуњавањем, с јд",komplementmätmetod,互补测量法互补测量
311-02-06,differential (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-06,القياس (بطريقة) التكامل,"Differenzmessung, fDifferenzmessverfahren, nDifferenzverfahren, n",differential (method of) measurement,(método de) medida diferencial,eronmittausmenetelmä,"(méthode de) mesure différentielle, f",(metodo di) misura differenziale,差動測定法差動測定,차동측정법,metoda pomiarowa różnicowametoda różnicowa,(método de) medição diferencial,дифференциальный метод измерений,"диференцијална метода мерења, ж јддиференцијално мерење, с јд",differensmätmetod,差值测量法差值测量
311-02-07,null (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-07,القياس (بطريقة) تفاضلية,"Nullabgleich, mMessverfahren mit Nullabgleich, n",null (method of) measurement,(método de) medida por cero,nollausmittausmenetelmä,"(méthode de) mesure par zéro, f",(metodo di) misura (differenziale) a zero,零位測定法零位測定,영위측정법,metoda pomiarowa zerowametoda zerowa,(método de) medição de anulamento,нулевой метод измерений,"нулта метода мерења, ж јднулто мерење, с јд",nollmätmetod,零值测量法零值测量
311-02-08,beat (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-08,القياس (بطريقة)صفرية,"Schwebungsmessverfahren, n",beat (method of) measurement,(método de) medida por batido,huojuntamittausmenetelmä,"(méthode de) mesure par battement, f",(metodo di) misura (differenziale) per battimento,うなり測定法うなり測定,비트 측정법맥놀이측정법,metoda pomiarowa dudnieniowametoda dudnieniowa,(método de) medição de batimento,метод измерений с использованием биения,"метода мерења избијањем, ж јдмерење избијањем, с јд",svävningsmätmetod,差拍测量法差拍测量
311-02-09,resonance (method of) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-02-09,القياس (بطريقة) النقر,"Resonanzmessverfahren, n",resonance (method of) measurement,(método de) medida por resonancia,resonanssimittausmenetelmä,"(méthode de) mesure par résonance, f",(metodo di) misura per risonanza,共振測定法共振測定,공진측정법,metoda pomiarowa rezonansowametoda rezonansowa,(método de) medição de ressonância,резонансный метод измерений,"метода мерења резонанцијом, ж јдмерење резонанцијом, с јд",resonansmätmetod,谐振测量法谐振测量
311-03-01,measuring instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-01,القياس (بطريقة) الرنين,"Messgerät, n",measuring instrument,instrumento de medida,mittauslaite,"appareil de mesure, minstrument de mesure, m",strumento di misura,測定器,측정기계측기,przyrząd pomiarowy,instrumento de mediçãoinstrumento de medida (desaconselhado),измерительный прибор,"мерни инструмент, м јдмерило, с јд",mätinstrument,测量仪器仪表
311-03-02,indicating (measuring) instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-02,جهاز قياس,"anzeigendes Messgerät, n",indicating (measuring) instrumentdisplaying (measuring) instrument,instrumento (de medida) visualizadorinstrumento (de medida) indicador,näyttävä mittauslaite,"appareil (de mesure) afficheur, mappareil (de mesure) indicateur, m",strumento (di misura) indicatore,指示測定器,지시측정기,miernikprzyrząd pomiarowy wskazującyprzyrząd wskazujący,instrumento de medição indicadorinstrumento de medição visualizador,показывающий (измерительный) приборприбор для снятия показаний,"показни мерни инструмент, м јдмерни инструмент са приказивачем, м јдмерни инструмент са дисплејом, м јд",visande instrument,显示测量仪器仪表显示仪器仪表指示测量仪器仪表指示仪器仪表
311-03-03,material measure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-03,جهاز (قياس) بمؤشر,"Maßverkörperung, f",material measure,medida materializada,kiintomitta,"mesure matérialisée, f",campione materiale,実量器,실량기,miara materialnawzorzec miary,medida materializada,мера физической величины,"материјализована мера, ж јд",materialiserat mått,实物量具
311-03-04,electric measuring instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-04,جهاز قياس نوعي,"elektrisches Messgerät, n",electric measuring instrument,instrumento eléctrico de medida,sähköinen mittauslaite,"appareil électrique de mesure, m",strumento elettrico di misura,電気測定器,전기 측정기전기 계측기,przyrząd pomiarowy elektryczny,instrumento eléctrico de medição,электрический измерительный прибор,"електрични мерни инструмент, м јд",elektriskt mätinstrument,电测量仪器仪表
311-03-05,measuring equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-05,جهاز قياس كهربائي,"Messeinrichtung, fMessmittel, n",measuring equipment,equipo de medida,mittauslaitteisto,"équipement de mesure, m",apparecchio di misuraapparato di misura,計測器,계측기,sprzęt pomiarowyurządzenie pomiarowe,equipamento de medição,измерительная аппаратура,"мерна опрема, ж јд",mätutrustning,测量设备
311-03-06,measuring system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-06,معدة قياس,"Messsystem, n",measuring system,sistema de medida,mittausjärjestelmä,"système de mesure, m",sistema di misura,計測システム,측정 시스템,układ pomiarowy,sistema de medição,измерительная система,"мерни систем, м јд",mätsystem,测量系统
311-03-07,measuring chain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-07,نظام قياس,"Messkette, f",measuring chain,cadena de medida,mittausketju,"chaîne de mesure, f",catena di misura,測定の連鎖,측정 체인측정 사슬,łańcuch pomiarowy,cadeia de medição,измерительная цепь,"мерни ланац, м јд",mätkedja,测量链
311-03-08,intrinsic error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-08,سلسلة القياس,"Eigenabweichung (eines Messgeräts), f",intrinsic error,error intrínseco,perusvirhe,"erreur intrinsèque, f",errore intrinseco,固有誤差,고유오차,błąd podstawowy,erro intrínseco,основная погрешность,"основна грешка, ж јдсопствена грешка, ж јдсвојствена грешка, ж јд",egenfel,固有误差基本误差
311-03-09,intrinsic uncertainty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-09,خطأ أصيل,"Eigenunsicherheit (eines Messgeräts), f",intrinsic uncertainty,incertidumbre intrínseca,(mittauslaitteen) perusmittausepävarmuus,"incertitude intrinsèque, f",incertezza intrinseca,固有不確かさ,고유 불확실성,niepewność podstawowa,incerteza intrínseca,основная неопределенность,"основна несигурност, ж јдсопствена несигурност, ж јдсвојствена несигурност, ж јд",egen mätosäkerhet,固有不确定度基本不确定度
311-03-10,resolution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-10,ارتياب أصيل,"Auflösung, f",resolution,resolución,erottelukyky,"résolution, f",risoluzione,分解能,해상도분해능,rozdzielczość,resolução,разрешение,"резолуција, ж јдразлагање, с јд",upplösning,分辨力
311-03-11,sensitivity (of a measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-11,دقة التبين,"Empfindlichkeit, f",sensitivity (of a measuring instrument),sensibilidad (de un instrumento de medida),mittauslaitteen herkkyys,sensibilité (d’un appareil de mesure) f,sensibilità,"感度, <測定器の>","감도, 계측민감도, 계측기",czułość,sensibilidade (de um instrumento de medição),чувствительность (измерительного прибора),"осетљивост , <мерног инструмента> ж јд",känslighet,"灵敏度, <关于测量仪器仪表>"
311-03-12,measuring range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-12,حساسية (لجهاز قياس),"Messbereich, m",measuring range,campo de medida,mittausalue,"étendue de mesure, f",campo di misura,測定レンジ測定範囲,측정범위,zakres pomiarowy,gama de medição,диапазон измерений,"мерни опсег, м јдопсег мерења, м јд",mätområde,测量范围量限
311-03-13,span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-13,مدى القياس,"Messspanne, f",span,intervalo de medida,mittausalueen leveys,"intervalle (de mesure), m",ampiezza del campo di misura,スパン,범위,przedział wskazań,intervalo (de medição),пределы измерений,"распон, м јд",spann,量程
311-03-14,(nominal) range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-14,تباعد (في قياس ما),"Nennbereich, m",(nominal) range,campo (nominal),nimellisalue,"calibre (nominal), mgamme (nominale), f",campo (nominale),公称範囲,공칭범위,zakres wskazań nominalnyzakres nominalny,gama (nominal),(номинальный) диапазон,"називни опсег , м јд",nominellt område,标称范围范围
311-03-15,fine control range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-15,مدى (اسمي),"Feinbereich, m",fine control range,campo de regulación fina,hienosäätöalue,"gamme de réglage fin, fplage de réglage fin, f",campo di regolazione fineintervallo di regolazione fine,細密調整範囲,정교 제어 범위정밀 제어 범위,zakres regulacji dokładnej,gama de regulação fina,диапазон тонкой (точной) регулировки,"опсег фине регулације, м јд",skalutbredningsområde,细调范围
311-03-16,adjustment (of a measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-16,مدى التحكم الدقيق,"Justierung (eines Messgeräts), f",adjustment (of a measuring instrument),ajuste (de un instrumento de medida),(mittauslaitteen) asettelu,ajustage (d’un appareil de mesure) m,messa a punto,"調整, <測定器の>","조정, 계측기",adiustacja (przyrządu pomiarowego),ajuste (de um instrumento de medição),регулировка (измерительного прибора),"подешавање, <мерног инструмента> с јд",justering,"调整, <关于测量仪器仪表>"
311-03-17,user adjustment (of a measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-17,ضبط (لجهاز قياس),"Einstellung (eines Messgeräts), f",user adjustment (of a measuring instrument),regulación (de un instrumento de medida),käyttäjän suorittama asettelu,réglage (d’un appareil de mesure) m,regolazione dell'utente,"使用者による調整, <測定器の>","사용자 조정, 계측기",regulacja (przyrządu pomiarowego),ajuste de utilização (de um instrumento de medição),регулировка (измерительного прибора) пользователем,"подешавање које обавља корисник, <мерног инструмента> с јд",brukarjustering,"用户调整, <关于测量仪器仪表>"
311-03-18,warm-up time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-18,ضبط المستخدم (لجهاز قياس),"Aufwärmzeit, f",warm-up time,tiempo de precalentamiento,lämpenemisaika,"durée de préchauffage, f",tempo di attivazionetempo di riscaldamento,暖機時間,예열시간,czas nagrzewania wstępnego,duração de pré-aquecimento,время прогревания,"време загревања, с јд",uppvärmningstid,预热时间
311-03-19,preconditioning time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-19,زمن التجهيز (ما قبل التشغيل),"Messvorbereitungszeit, f",preconditioning time,tiempo de preacondicionamiento,odotusaika,"durée de préconditionnement, f",tempo di precondizionamento,応答時間,응답 시간전처리 시간,czas obciążenia wstępnego,duração de pré-condicionamento,время установления показаний,"време прекондиционирања, с јдвреме постизања услова за мерење, с јд",förbehandlingstid,预处理时间
311-03-20,electrical zero,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-03-20,زمن ما قبل التهيئة,"elektrischer Nullpunkt, m",electrical zero,cero eléctrico,sähköinen nollakohta,"zéro électrique, m",zero elettrico,電気的零点,전기적 영위전기적 영점,zero elektryczne,zero eléctrico,электрический нуль,"електрична нула, ж јд",elektriskt nolläge,电零位
311-04-01,(measurement) standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-01,الصفر الكهربائي,"Normal, n",(measurement) standard,patrón,mittanormaali,"étalon, m",campione di misura,測定標準,측정 표준,wzorzec jednostki miaryetalon,padrão (de medição),(измерительный) эталон,"еталон, м јд",mätnormal(mät)normal,测量标准标准
311-04-02,primary standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-02,معيار (القياس),"Primärnormal, n",primary standard,patrón primario,primaarinormaali,"étalon primaire, m",campione primario,一次標準,일차 표준,wzorzec pierwotny jednostki miarywzorzec podstawowy jednostki miaryetalon pierwotnyetalon podstawowy,padrão primário,первичный эталон,"примарни еталон, м јд",primärnormal,基准原级标准
311-04-03,secondary standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-03,معيار أساسي,"Sekundärnormal, n",secondary standard,patrón secundario,sekundaarinormaali,"étalon secondaire, m",campione secondario,二次標準,이차 표준,wzorzec wtórny jednostki miaryetalon wtórny,padrão secundário,вторичный эталон,"секундарни еталон, м јд",sekundärnormal,次级标准
311-04-04,reference standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-04,معيار ثانوي,"Bezugsnormal, n",reference standard,patrón de referencia,referenssinormaali,"étalon de référence, m",campione di riferimento,参照標準,기준 표준,wzorzec odniesienia jednostki miaryetalon odniesienia,padrão de referência,исходный эталон,"референтни еталон, м јд",referensnormal,参考标准器参考标准
311-04-05,working standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-05,معيار مرجعي,"Gebrauchsnormal, n",working standard,patrón de trabajo,käyttönormaali,"étalon de travail, m",campione di lavoro,実用標準常用標準,상용 표준작업 표준,wzorzec roboczy jednostki miaryetalon roboczy,padrão de trabalho,рабочий эталон,"радни еталон, м јд",arbetsnormal,工作标准器工作标准
311-04-06,international standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-06,معيار تطبيقي,"internationales Normal, n",international standard,patrón internacional,kansainvälinen mittanormaali,"étalon international, m",campione internazionale,国際標準,국제표준,wzorzec międzynarodowy jednostki miaryetalon międzynarodowy,padrão internacional,международный эталон,"међународни еталон, м јд",internationell normal,国际标准器国际标准
311-04-07,national standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-07,معيار دولي,"nationales Normal, n",national standard,patrón nacional,kansallinen mittanormaali,"étalon national, m",campione nazionale,国家標準,국가 표준,wzorzec państwowy jednostki miaryetalon państwowy,padrão nacional,национальный эталон,"национални еталон, м јд",nationell normal,国家标准器国家标准
311-04-08,comparison standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-04-08,معيار وطني,"Vergleichsnormal, n",comparison standard,patrón de comparación,vertailunormaali,"étalon de comparaison, m",campione di comparazione,比較標準,비교 표준,wzorzec porównawczy jednostki miaryetalon porównawczy,padrão de comparação,эталон сравнения,"поредбени еталон, м јд",jämförelsenormal,比对标准
311-05-01,sensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-05-01,معيار مقارنة,"Messwerk, nMesswertaufnehmer, mSensor, m",sensormeasuring element,sensorelemento de medida,mittauselin,"capteur, mélément de mesure , m",sensore,センサ測定素子,감지기센서,czujnik,sensorelemento de medição,измерительный преобразовательдатчик,"сензор, м јдмерни елемент, м јд",givaremätelement,敏感器
311-05-02,indicating device (of a measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-05-02,حسّاس,"Anzeigeeinrichtung (eines Messgeräts), f",indicating device (of a measuring instrument)displaying device  (of a measuring instrument),dispositivo indicador (de un instrumento de medida),näyttölaite,dispositif indicateur (d'un appareil de mesure) m,dispositivo indicatore,"指示素子, <測定器の>表示素子, <測定器の>","지시장치, 계측기",urządzenie wskazujące,dispositivo indicador (de um instrumento de medição)dispositivo visualizador (de um instrumento de medição),показывающее устройство (измерительного прибора)индикаторное устройство (измерительного прибора),"показни склоп , <мерног инструмента> м јдприказивач, <мерног инструмента> м јд",visningsanordning,"显示器件, <用于测量仪器仪表>"
311-05-03,adjustment device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-05-03,أداة بيان (لجهاز قياس),"Justiereinrichtung, f",adjustment deviceadjuster,dispositivo de ajuste,virityslaite,"dispositif d'ajustage, m",dispositivo di regolazione,調整器調整素子,조정장치조정기,nastawnik,dispositivo de ajuste,регулирующее устройстворегулятор,"склоп за подешавање, м јдподешавач, м јд",justeranordning,调节器
311-05-04,zero scale mark,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-05-04,أداة ضبط,"Skalennullpunkt, m",zero scale mark,cero de la escala,asteikon nollapiste,"zéro de l'échelle, m",zero della scala,零点指標,영점 표시,zero podziałkiwskaz zerowy,zero da escala,нулевая отметка шкалы,"ознака нуле скале, ж јд",nollpunkt,零标度标记
311-05-05,mechanical zero,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-05-05,صفر التدريج,"mechanischer Nullpunkt, m",mechanical zero,cero mecánico,mekaaninen nollakohta,"zéro mécanique, m",zero meccanico,機械的零点,기계적 영위,zero mechaniczne,zero mecânico,механический нуль,"механичка нула, ж јд",mekaniskt nolläge,机械零位
