term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,sr,zh
802-01-11,pulse duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-11,المدة الزمنية للنبضة,"Pulsdauer, f",pulse duration,duración del impulso,"durée d'impulsion, f",パルス持続時間,펄스 지속 시간,czas trwania impulsu,duração de impulso,"трајање импулса, с јд",脉冲持续时间
802-01-12,"pulse-repetition period, acoustic repetition period",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-12,فترة تكرار الصوتفترة تكرار النبضة,"Pulswiederholperiodendauer, f","pulse-repetition period, acoustic repetition period",periodo de repetición de los impulsos,"période de répétition des impulsions, période de répétition acoustique f",パルス繰返し期間,"펄스반복 기간, 음향 반복 기간",okres powtarzania impulsu,período de repetição de impulsosperíodo de repetição acústica,"период понављања импулса , м јдпериод акустичког понављања, м јд",脉冲重复周期
802-01-13,scan-repetition period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-13,فترة تكرار المسح المقطعي,"Wiederholperiodendauer der Abtastung, fAbtastperiodendauer, f",scan-repetition period,periodo de repetición de la exploración,"période de répétition des explorations, f",走査繰返し期間,주사반복 기간,okres powtarzania skanowania,período de repetição do varrimento,"период понављања скенирања , м јд",扫描重复周期
802-01-14,temporal-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-14,متوسط شدة الكثافة المؤقتة,"zeitlicher Mittelwert der Intensität, m",temporal-average intensity,intensidad promediada en el tiempo,"intensité dérivée de la moyenne temporelle, f",時間平均強度,시간평균 강도,natężenie uśrednione w czasie,intensidade média temporal,"средњи временски интензитет, м јд",时间平均声强
802-01-15,spatial-peak temporal-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-15,اقصى قيمة مكانية لمتوسط شدة الكثافة المؤقتة,"räumlicher Spitzen- und zeitlicher Mittelwert der Intensität, m",spatial-peak temporal-average intensity,pico espacial de la intensidad promediada en el tiempo,"intensité dérivée de moyenne temporelle de crête spatiale, f",空間ピーク時間平均強度,공간첨두 시간평균 강도공간피크 시간평균 강도,natężenie szczytowe w przestrzeni uśrednione w czasie,intensidade média temporal de pico espacial,"просторно-вршни средњи временски интензитет, м јд",空间峰值时间平均声强
802-01-16,pulse-intensity integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-16,تكامل شدة كثافة النبضة,"Pulsintegral der Intensität, n",pulse-intensity integral,integral de la intensidad del impulso,"intégrale d'intensité d’impulsion, f",パルス強度積分,펄스강도 적분,natężenie całkowe w impulsie,integral da intensidade do impulso,"интеграл интензитета импулса, м јд",脉冲声强积分
802-01-17,pulse-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-17,متوسط شدة كثافة النبضة,"Pulsmittelwert der Intensität, m",pulse-average intensity,intensidad promediada en el impulso,"intensité moyenne de l'impulsion, f",パルス平均強度,펄스평균 강도,natężenie uśrednione w czasie trwania impulsu,intensidade média do impulso,"средњи интензитет импулса, м јд",脉冲平均声强
802-01-18,spatial-peak pulse-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-18,اقصى قيمة مكانية لمتوسط شدة الكثافة النبضية,"räumlicher Spitzen- und Pulsmittelwert der Intensität, m",spatial-peak pulse-average intensity,pico espacial de la intensidad promediada en el impulso,"intensité dérivée de la moyenne d'impulsions de crête spatiale, f",空間ピークパルス平均強度,공간첨두 펄스평균 강도공간피크 펄스평균 강도,natężenie szczytowe w przestrzeni uśrednione w czasie trwania impulsu,intensidade média do impulso de pico espacial,"вршна просторна вредност средњег интензитета импулса, ж јд",空间峰值脉冲平均声强
802-01-19,beam area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-19,مساحة حزمة الأشعة,"Bündelfläche, f",beam area,área del haz,"surface du faisceau, f",ビーム面積,빔 영역빔면적,obszar wiązki (ultradźwiękowej),área do feixe,"површина дијаграма зрачења, ж јд",波束面积
802-01-20,"beamwidth, <in ultrasonics>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-20,"عرض شعاع, <في الموجات فوق الصوتية>","Bündelbreite, f","beamwidth, <in ultrasonics>",ancho del haz,"largeur de faisceau, <en ultrasons> f","ビーム幅, <超音波>","빔폭, <초음파학>","szerokość wiązki, <ultradźwiękowej> f",largura do feixe,"ширина дијаграма зрачења, ж јд","波束宽度, <超声学>"
802-01-21,scan area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-21,مساحة المسح المقطعى,"Abtastfläche, f",scan area,área de exploración,"surface d’exploration, f",走査面積,주사 영역주사 면적,obszar skanowania,área de varrimento,"површина скенирања, ж јд",扫描面积
802-01-22,ultrasonic scan line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-22,خط المسح المقطعى للموجات فوق الصوتية,"Ultraschallabtastlinie, f",ultrasonic scan line,línea de exploración ultrasónica,"ligne d’exploration ultrasonique, f",超音波走査線,초음파 주사선,linia skanowania (wiązki ultradźwiękowej),linha de varrimento ultrassónica,"линија ултразвучног скенирања, ж јд",超声扫描线
802-01-23,spatial-average pulse-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-23,متوسط القيمة المكانية لمتوسط شدة الكثافة النبضية,"räumlicher Mittelwert des Pulsmittelwertes der Intensität, m",spatial-average pulse-average intensity,promedio espacial de la intensidad promediada en el impulso,"intensité dérivée de la moyenne d'impulsions de moyenne spatiale, f",空間平均パルス平均強度,공간평균 펄스평균 강도,natężenie uśrednione w przestrzeni i w czasie trwania impulsu,intensidade média do impulso da média espacial,"просторно и импулсно средњи интензитет, м јд",空间平均脉冲平均声强
802-01-24,spatial-average temporal-average intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-24,متوسط القيمة المكانية لمتوسط شدة الكثافة المؤقتة,"räumlicher und zeitlicher Mittelwert der Intensität, m",spatial-average temporal-average intensity,promedio espacial de la intensidad promediada en el tiempo,"intensité dérivée de moyenne temporelle de moyenne spatiale, f",空間平均時間平均強度,공간평균 시간평균 강도,natężenie uśrednione w przestrzeni i w czasie,intensidade média temporal da média espacial,"просторно и временски средњи интензитет, м јд",空间平均时间平均声强
802-01-25,peak-rarefactional acoustic pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-25,أقصى قيمة سالبة للضغط الصوتياقصى قيمة عكسية للضغط الصوتي,"negativer Spitzenschalldruck, m",peak-rarefactional acoustic pressurepeak-negative acoustic pressure,pico de la presión acústica de rarefacciónpico de la presión acústica negativa,"pression acoustique de raréfaction de crête, fpression acoustique négative de crête, f",最大負音圧,첨두-음 음압,szczytowe ujemne ciśnienie akustyczne,depressão acústicapressão acústica negativa de pico,"акустички притисак разређен на врху, м јдакустички притисак негативан на врху, м јд",负峰值声压稀疏波峰值声压
