term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
113-01-13,duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-13,مدة زمنية ( لمقياس زمنى مستمر),dobadoba trvání (pro spojité časové stupnice),"Dauer, f",durationtime (for continuous time scales),duracióntiempo (para una escala de tiempo continua),kesto,"durée, ftemps (pour des échelles de temps continues), m",duratatempo,"期間時間, <連続的時間尺度のための>","기간시간, <연속 시간 척도>시간 간격 범위, 113-01-10",czas trwaniaczas (2) (dla ciągłych skal czasu),duraçãotempo (2) (para escalas de tempo contínuo),tidsutsträckningtid (för kontinuerlig tidsskala),"持续时间时间, <用于连续时标>"
113-01-14,accumulated duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-14,زمن مجمعمدة كليةمدة متراكمة,úhrnná dobacelková dobacelkový čas,"akkumulierte Dauer, f",accumulated durationtotal durationaccumulated time,duración acumulada,kokonaiskesto,"durée cumulée, f",durata cumulatadurata totaletempo cumulato,累積時間総時間,누적 기간총 기간누적 시간,czas sumarycznyczas łączny,duração acumulada,ackumulerad tidsutsträckningackumulerad tidtotal tidsutsträckning,总持续时间累计时间
113-01-15,calendar day,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-15,يوم طبقًا للتقويم,kalendářní den,"Kalendertag, m",calendar day,día de calendario,kalenteripäivä,"jour du calendrier, m",giorno di calendario,１日,달력일,dzień kalendarzowy,dia do calendário,kalenderdag,日历日
113-01-16,calendar date,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-16,تاريخ طبقًا للتقويم,kalendářní datum,"Kalenderdatum, n",calendar date,fecha de calendario,kalenteripäivämäärä,"date du calendrier, fdate calendaire, f",data di calendario,日付,달력 날짜,data kalendarzowa,data do calendário,kalenderdatum,日历日期
113-01-17,standard time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-17,زمن قياسى,standardní čas,"gesetzliche Zeit, f",standard time,tiempo legal,standardiaika,"temps légal, m",ora ufficiale locale,標準時,표준시,czas urzędowyczas standardowyczas legalny,tempo legal,standardtid,标准时
113-01-18,clock time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-18,وقت معيارى ليومتوقيت,denní časstandardní denní čas,"Uhrzeit, f",clock timestandard time of day,tiempo de reloj,kellonaika,"temps d'horloge, m",ora ufficiale del giornotempo d’orologio,時刻,시계 시간표준 일시,czas zegarowy,tempo de relógio,klocktiddagens standardtid,钟时
113-01-19,length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-19,طول,délka,"Länge, f",length,longitud,pituus,"longueur, f",lunghezza,長さ,길이,długość,comprimento,längd,长度
113-01-20,breadth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-20,عرضإتساع,šířka,"Breite, fWeite, f",breadthwidth,anchura,leveys,"largeur, f",larghezza,幅,너비폭,szerokość,largura,breddvidd,宽度
113-01-21,height,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-21,إرتفاع,výška,"Höhe, f",height,altura,korkeus,"hauteur, f",altezza,高さ,높이,wysokość,altura,höjd,高度
113-01-22,altitude,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-22,إرتفاع فوق سطح البحر,nadmořská výška,"Höhe über Normalnull, f",altitude,altitud,korkeus merenpinnan tasalta,"altitude, f",altitudine,高度,고도,wysokość nad poziomem morza,altitude,höjd,海拔高度海拔
113-01-23,depth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-23,عمق,hloubka,"Tiefe, f",depth,profundidad,syvyys,"profondeur, f",profondità,深度,깊이,głębokość,profundidade,djup,深度
113-01-24,thickness,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-24,سُمك,tloušťka,"Dicke, f",thickness,espesor,paksuus,"épaisseur, f",spessore,厚さ,두께,grubość,espessura,tjocklek,厚度
113-01-25,radius,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-25,نصف قطر,poloměr,"Radius, m",radius,radio,säde,"rayon, m",raggio,半径,반지름반경,promień,raio,radie,半径
113-01-26,radial distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-26,مسافة نصف قطرية (إشعاعية),radiální vzdálenost,"radialer Abstand, m",radial distance,distancia radial,radiaalinen etäisyys,"distance radiale, f",distanza radiale,半径方向距離,반경 거리,odległość promieniowaodległość radialna,distância radial,radiellt avstånd,径向距离
113-01-27,diameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-27,قطر,průměr,"Durchmesser, m",diameter,diámetro,halkaisija,"diamètre, m",diametro,直径,지름직경,średnica,diâmetro,diameter,直径
113-01-28,length of path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-28,طول مسار,dráhadélka trajektorie,"Weglänge, f",length of path,longitud curvilínea,käyrän pituus,"longueur curviligne, f",lunghezza della traiettoria,路長経路長,경로 길이,długość drogi,comprimento do percurso,kurvlängdlängd av tillryggalagd väg,路径长
113-01-29,displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-29,إزاحة,posunutíposuv,"Verschiebung, f",displacement,desplazamiento,siirtymä,"déplacement, m",spostamento,変位,변위,przemieszczenie,deslocamento,förflyttning,位移
113-01-30,radius of curvature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-30,نصف قطر منحنى,poloměr křivosti,"Krümmungsradius, m",radius of curvature,radio de curvatura,kaarevuussäde,"rayon de courbure, m",raggio di curvatura,曲率半径,곡률 반지름곡률 반경,promień krzywizny,raio de curvatura,krökningsradie,曲率半径
113-01-31,curvature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-31,منحنى,křivost,"Krümmung, f",curvature,curvatura,kaarevuus,"courbure, f",curvatura,曲率,곡률,krzywizna,curvatura,krökning,曲率
113-01-32,velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-32,سرعة (متجه),vektor rychlosti,"Geschwindigkeit (1), fvektorielle Geschwindigkeit, f",velocity,velocidad (1)vector velocidad,nopeus,"vitesse (1), fvecteur vitesse, m",vettore velocità,速度,속도,prędkość (1),velocidade (1),hastighet,速度
113-01-33,speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-33,قيمة السرعة,rychlost,"Geschwindigkeit (2), fSchnelligkeit, f",speed,velocidad (2),vauhti,"vitesse (2), f",velocità (modulo),速さ,속력,prędkość (2)szybkość,velocidade (2),fart,速率
113-01-34,speed of light in vacuum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-34,سرعة الضوء فى الفراغ,rychlost světla ve vakuusvětelná rychlostrychlost světla,"Vakuumlichtgeschwindigkeit, fLichtgeschwindigkeit, f",speed of light in vacuumluminal speedspeed of lightDEPRECATED: light speed,velocidad de la luzvelocidad de la luz en el vacío,valonnopeusvalon nopeus tyhjiössä,"vitesse de la lumière dans le vide, fvitesse de la lumière, fvitesse luminique, f",velocità della lucevelocità della luce nel vuotovelocità luminale,真空中の光の速さ,광속,prędkość światła w próżniprędkość światła,velocidade da luz no vaziovelocidade da luz,ljusfartljusfart i vakuum,光速
113-01-35,relativistic speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-35,سرعة نسبية,relativistická rychlost,"relativistische Geschwindigkeit, f",relativistic speed,velocidad relativista,relativistinen nopeus,"vitesse relativiste, f",velocità relativistica,相対論的速度,상대론적 속력,prędkość relatywistyczna,velocidade relativista,relativistisk fart,相对论性速率相对论速率
113-01-36,superluminal speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-36,سرعة أعلى من سرعة الضوء,nadsvětelná rychlost,"Überlichtgeschwindigkeit, f",superluminal speed,velocidad superlumínica,ylivalonnopeus,"vitesse supraluminique, fvitesse superluminique, f",velocità superluminale,超光速度,초 광속,prędkość nadświetlna,velocidade supraluminal,överljusfart,超光速
113-01-37,subluminal speed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-37,سرعة أقل من سرعة الضوء,podsvětelná rychlost,"Unterlichtgeschwindigkeit, f",subluminal speed,velocidad sublumínica,alivalonnopeus,"vitesse subluminique, f",velocità subluminale,亜光速度,아 광속,prędkość podświetlna,velocidade subluminal,underljusfart,亚光速
113-01-38,acceleration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-38,عجلة,zrychlení,"Beschleunigung, f",acceleration,aceleración,kiihtyvyys,"accélération, f",accelerazione,加速度,가속도,przyspieszenie,aceleração,acceleration,加速度
113-01-39,acceleration of free fall,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-39,عجلة الجاذبية,tíhové zrychlenízrychlení volného páduNEVHODNÝ TERMÍN: gravitační zrychlení,"Beschleunigung des freien Falls, fFallbeschleunigung, f",acceleration of free fallacceleration due to gravity (deprecated),aceleración en caída libre,putoamiskiihtyvyys,"accélération due à la pesanteur, faccélération en chute libre, f",accelerazione in caduta libera,"自由落下加速度重力加速度, （非推奨）",자유 낙하 가속도,przyspieszenie ziemskie,aceleração de queda livre,acceleration vid fritt fall,自由落体加速度重力加速度
113-01-40,standard acceleration of free fall,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-40,عجلة الجاذبية القياسية,standardní tíhové zrychlení,"Normfallbeschleunigung, f",standard acceleration of free fall,aceleración normalizada de la gravedad,normaaliputoamiskiihtyvyys,"accélération normale de la pesanteur, f",accelerazione di gravità,標準自由落下加速度,표준 자유 낙하 가속도,przyspieszenie (ziemskie) normalne,aceleração normal de queda livre,normalaccelerationen vid fritt fall,标准自由落体加速度
113-01-41,angular velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-41,سرعة زاوية (متجه),úhlová rychlost,"Winkelgeschwindigkeit, f",angular velocity,velocidad angular,kulmanopeus,"vitesse angulaire, f",velocità angolare,角速度,각속도,prędkość kątowa,velocidade angular,vinkelhastighet,角速度
113-01-42,rotational frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-42,قيمة سرعة الدوران (الحركة الدائرية)تردد الدوران,otáčkyrychlost otáčenífrekvence otáčení,"Rotationsfrequenz, fDrehfrequenz, f",rotational frequencyspeed of rotation,frecuencia de rotaciónvelocidad de rotación,kierrostaajuus,"fréquence de rotation, fvitesse de rotation, f",frequenza di rotazionevelocità di rotazione,回転周波数,회전 주파수회전 속력,częstotliwość obrotówprędkość obrotowa,frequência de rotação,varvfrekvensrotationsfart,转速转动频率
113-01-43,angle of rotation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-43,زاوية الإتجاه (الحركة الدائرية)زاوية الدوران,úhel otočeníorientovaný úhel,"Drehwinkel, mRotationswinkel, m",angle of rotationoriented angle,ángulo de rotaciónángulo orientado,kiertymä,"angle de rotation, mangle orienté, m",angolo di rotazioneangolo orientato,回転角度回転角,회전각지향각,kąt obrotu,ângulo de rotação,vinkelvridningorienterad vinkel,转动角
113-01-44,rotation vector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-44,متجه الدوران (الحركة الدائرية),vektor otočení,"Rotationsvektor, m",rotation vector,vector rotación,kiertymävektori,"vecteur rotation, m",vettore di rotazione,回転ベクトル,회전 벡터,wektor obrotu,vector rotação,rotationsvektor,旋转矢量
113-01-45,revolution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-45,دورة,otáčka,"Umdrehung, f",revolution,vueltarevolución,kierros,"tour, m",rivoluzione,公転,공전,obrót,revolução,vridning,转
113-01-46,angular acceleration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-01-46,عجلة زاوية,úhlové zrychlení,"Winkelbeschleunigung, f",angular acceleration,aceleración angular,kulmakiihtyvyys,"accélération angulaire, f",accelerazione angolare,角加速度,각 가속도,przyspieszenie kątowe,aceleração angular,vinkelacceleration,角加速度
113-02-01,"homogeneous, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-01,متجانس,homogenní,"homogen, Adjektiv","homogeneous, adj",homogéneo,homogeeninen,"homogène, adj",omogeneo,"均質な, 形容詞","균질, 형용사","jednorodny, adj","homogéneo, adj.",homogen,均匀的
113-02-02,"inhomogeneous, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-02,غير متجانس,nehomogenníheterogenní,"inhomogen, Adjektivheterogen, Adjektiv","inhomogeneous, adjheterogeneous, adj",heterogéneo,epähomogeeninen,"hétérogène, adj",eterogeneo,"不均質な, 形容詞","불균질, 형용사이질, 형용사","niejednorodny, adj","heterogéneo, adj.",heterogeninhomogen,非均匀的
113-02-03,"isotropic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-03,وسط متجانس,izotropní,"isotrop, Adjektiv","isotropic, adj",isótropo,isotrooppinen,"isotrope, adj",isotropo,"等方的, 形容詞","등방성, 형용사",izotropowy,"isotrópico, adj.",isotrop,各向同性的
113-02-04,"anisotropic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-04,وسط غير متجانس,anizotropní,"anisotrop, Adjektiv","anisotropic, adj",anisótropo,anisotrooppinen,"anisotrope, adj",anisotropo,"異方的, 形容詞","이방성, 형용사",anizotropowy,"anisotrópico, adj.",anisotrop,各向异性的
113-02-05,phase (of matter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-05,وجه,fáze (látky),"Phasenzustand (eines Stoffes), mPhase (eines Stoffes), f",phase (of matter),fase (de materia),faasi,"phase (de matière), f",fase,"相, <物質の>位相, <物質の>","위상, <물질>",faza (substancji),fase (de matéria),fas (av materia),物相相
113-02-06,phase transition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-06,تغيير الوجهتبديل الوجه,fázový přechodfázová změna,"Phasenübergang, mPhasenwechsel, m",phase transitionphase change,transición de fasecambio de estado,faasimuutosfaasitransitio,"transition de phase, fchangement d'état, m",transizione di fasecambiamento di fase,相転移相変化,상 전이상 변화,przemiana fazowaprzejście fazowe,transição de fasemudança de fase,fasövergångfasändring,相变
113-02-07,amount of substance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-07,كمية المادة,množství látkylátkové množství,"Stoffmenge, f",amount of substance,cantidad de materia,ainemäärä,"quantité de matière, f",quantità di materia,物質量,물질량,liczność materiiilość materii,quantidade de matéria,substansmängd,物质的量
113-02-08,Avogadro constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-08,ثابت أفوجادرو,Avogadrova konstantaNEVHODNÝ TERMÍN: Avogadrovo číslo,"Avogadro-Konstante, fABGELEHNT: Avogadro-Zahl",Avogadro constantDEPRECATED: Avogadro number,constante de AvogadroDESACONSEJADO: número de Avogadro,Avogadron vakio,"constante d’Avogadro, fDÉCONSEILLÉ: nombre d’Avogadro, m",costante di avogadroSCONSIGLIATO: numero di Avogadro,アボガドロ定数,아보가드로 상수,stała AvogadraTERMIN NIEZALECANY: liczba Avogadra,constante de Avogadro,Avogadros konstant,阿伏伽德罗常量
113-02-09,Faraday constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-09,ثابت فاراداى,Faradayova konstanta,"Faraday-Konstante, f",Faraday constant,constante de Faraday,Faradayn vakio,"constante de Faraday, f",costante di faraday,ファラデー定数,패러데이 상수,stała Faradaya,constante de Faraday,Faradays konstant,法拉第常量
113-02-10,electric charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-10,شحنة كهربائية,elektrický nábojNEVHODNÝ TERMÍN: množství elektřiny,"elektrische Ladung, fABGELEHNT: Elektrizitätsmenge, f",electric chargeDEPRECATED: quantity of electricity,carga eléctrica,sähkövaraus,"charge électrique, fDÉCONSEILLÉ: quantité d'électricité, f",carica elettrica,電荷,전하,"ładunek elektryczny, m",carga elétrica,elektrisk laddning,电荷
113-02-11,coulomb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-11,كولوم ( وحدة قياس الشحنة الكهربائية),coulomb,"Coulomb, n",coulomb,culombio,coulombi,"coulomb, m",coulomb,クーロン,쿨롱,kulomb,coulomb,coulomb,库仑库
113-02-12,positive electric charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-12,شحنة موجبةشحنة كهربائية موجبة,kladný elektrický nábojkladný náboj,"positive elektrische Ladung, f",positive electric chargepositive charge,carga eléctrica positivacarga positiva,positiivinen sähkövaraus,"charge électrique positive, fcharge positive, f",carica elettrica positivacarica positiva,正電荷,양전하,ładunek elektryczny dodatniładunek dodatni,carga (eléctrica) positiva,positiv elektrisk laddningpositiv laddning,正电荷
113-02-13,negative electric charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-13,شحنة سالبةشحنة كهربائية سالبة,záporný elektrický nábojzáporný náboj,"negative elektrische Ladung, f",negative electric chargenegative charge,carga eléctrica negativacarga negativa,negatiivinen sähkövaraus,"charge électrique négative, fcharge négative, f",carica elettrica negativacarica negativa,負電荷,음전하,ładunek elektryczny ujemnyładunek ujemny,carga (eléctrica) negativa,negativ elektrisk laddningnegativ laddning,负电荷
113-02-14,adsorption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-14,امتصاص,adsorbce,"Adsorption, f",adsorption,adsorción,adsorptio,"adsorption, f",adsorbimento,吸着,흡착,adsorpcja,adsorpção,adsorption,吸附
113-02-15,oxidation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-15,أكسدة,oxidace,"Oxidation, f",oxidation,oxidación,hapettuminen,"oxydation, f",ossidazione,酸化,산화,utlenianieoksydacja,oxidação,oxidation,氧化
113-02-16,reduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-16,اختزال (تفاعل كيميائى),redukce,"Reduktion, f",reduction,reducción,pelkistyminen,"réduction, f",riduzione,還元,환원,redukcja,redução,reduktion,还原
113-02-17,Boltzmann constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-17,ثابت بولتزمان,Boltzmannova konstanta,"Boltzmann-Konstante, f",Boltzmann constant,,,"constante de Boltzmann, f",,ボルツマン定数,볼츠만 상수,,constante de Boltzmann,,玻尔兹曼常量
113-02-18,Avogadro number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-02-18,رقم أفوجادرو,Avogadrovo číslo,"Avogadro-Zahl, f",Avogadro number,,,"nombre d’Avogadro, m",,アボガドロ数,아보가드로 수,,número de Avogadro,,阿伏伽德罗常数
113-03-01,inertial frame,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-01,إطار القصور الذاتى,inerciální soustavainerciální vztažná soustava,"Inertialsystem, n",inertial frame,sistema de referencia inercial,inertiaalikoordinaatisto,"référentiel inertiel, m",riferimento inerziale,慣性系,관성계,układ inercjalny,referencial inercial,inertialram,惯性系
113-03-02,inertia,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-02,قصور ذاتى,setrvačnost,"Trägheit, f",inertia,inercia,hitaus,"inertie, f",inerzia,慣性,관성,bezwładność,inércia,tröghet,惯性
113-03-03,mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-03,كتلة,hmotnost,"Masse, f",mass,masa,massa,"masse, f",massa,質量,질량,masa,massa,massa,质量
113-03-04,rest mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-04,كتلة فى وضع السكونكتلة صحيحة,klidová hmotnostvlastní hmotnost,"Ruhemasse, f",rest massproper mass,masa en reposomasa propia,lepomassa,"masse au repos, fmasse propre, f",massa a riposomassa propria,静止質量固有質量,정지 질량고유 질량,masa spoczynkowa,massa em repousomassa própria,vilomassaverklig massa,静质量
113-03-05,rest energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-05,طاقة فى وضع السكون,klidová energie,"Ruheenergie, f",rest energy,energía en reposo,lepoenergia,"énergie au repos, f",energia a riposo,静止エネルギー,정지 에너지,energia spoczynkowa,energia em repouso,viloenergi,静能
113-03-06,relativistic mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-06,كتلة نسبيةكتلة ظاهرية,relativistická hmotnostNEVHODNÝ TERMÍN: zdánlivá hmotnost,"relativistische Masse, f",relativistic massapparent mass (deprecated),masa relativistamasa aparente (desaconsejado),relativistinen massa,"masse relativiste, fmasse apparente, f (déconseillé)",massa relativistica,"相対論的質量見掛け質量, （非推奨）",상대론적 질량,masa relatywistycznamasa pozorna (termin niezalecany),massa relativista,relativistisk massaskenbar massa (ej rekommenderad),相对论性质量相对论质量
113-03-07,mass density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-07,كثافة الكتلةكثافةكتلة حجمية,hustota hmotnostihustotaobjemová hmotnost,"Dichte, fvolumenbezogene Masse, f",mass densitydensityvolumic mass,densidad de masadensidad,tiheysmassatiheys,"masse volumique, f",densità di massadensitàmassa volumica,質量密度密度,질량 밀도밀도,gęstość masygęstość,massa volúmica,"densitetmasstäthetvolumar massa, massa per volym",质量密度密度体质量密度体密度
113-03-08,relative mass density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-08,كثافة الكتلة النسبيةكثافة نسبية,relativní hustota hmotnostirelativní hustota,"relative Dichte, f",relative mass densityrelative density,densidad de masa relativadensidad relativa,suhteellinen massatiheyssuhteellinen tiheys,"densité, fmasse volumique relative, f",densità di massa relativadensità relativa,相対質量密度相対密度,상대 질량 밀도상대 밀도,gęstość masy względnagęstość względna,massa volúmica relativadensidade,relativ masstäthetrelativ densitet,相对密度
113-03-09,specific volume,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-09,حجم نوعىحجم الكتلة,měrný objemhmotnostní objem,"spezifisches Volumen, n",specific volumemassic volume,volumen específico,ominaistilavuus,"volume massique, m",volume specificovolume massico,比体積質量体積,비체적비용적,objętość właściwa,volume mássico,specifik volym,比体积
113-03-10,surface density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-10,كثافة سطحيهكثافة الكتلة السطحيةكتلة مساحيةالكتلة بالجرام لمسطح متر مربع,plošná hustotaplošná hmotnostNEVHODNÝ TERMÍN: gramáž,"flächenbezogene Masse, fMassenbedeckung, f",surface densitysurface mass densityareic massgrammage (deprecated),densidad superficial,pinta-alamassamassakate,"masse surfacique, fgrammage, m (déconseillé)",densità di superficiedensità di massa di superficiemassa areica,"面密度面質量密度面質量グラメージ, （非推奨）",표면 밀도표면 질량 밀도면적 질량,gęstość powierzchniowa masygęstość powierzchniowa,densidade superficial,yttäthetmassyttäthetarear massaytvikt (ej rekommenderad),面密度面质量密度
113-03-11,linear density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-11,كثافة خطيةكثافة الكتلة الخطيةكتلة خطية,délková hustotadélková hustota hmotnostidélková hmotnost,"längenbezogene Masse, fMassenbelag, m",linear densitylinear mass densitylineic mass,densidad lineal,pituusmassa,"masse linéique, f",densità linearedensità di massa linearemassa lineica,線密度線質量密度線質量,선 밀도선 질량 밀도선형 질량,gęstość liniowa masygęstość liniowa,densidade linear,massa per längdlinear massa,线密度线质量密度
113-03-12,centre of mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-12,مركز الكتلةمركز الثقل,střed hmotnostihmotný středtěžiště,"Massenmittelpunkt, mSchwerpunkt, mGravitationszentrum, n, (abgelehnt)",centre of masscentre of gravity (deprecated),centro de masacentro de gravedad (desaconsejado),massakeskipiste,"centre de masse, mcentre d'inertie, mcentre de gravité, m (déconseillé)",centro di massa,"質量中心重心, （非推奨）",질량 중심무게 중심,środek masyśrodek ciężkości (termin niezalecany),centro de massa,masscentrumtyngdpunkt (ej rekommenderad),质心
113-03-13,momentum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-13,كمية الحركة,hybnostNEVHODNÝ TERMÍN: impulz,"Impuls, mBewegungsgröße, f",momentum,cantidad de movimiento,liikemäärä,"quantité de mouvement, f",quantità di moto,運動量,운동량,pędilość ruchu,quantidade de movimento,rörelsemängd,动量
113-03-14,force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-14,قوة,síla,"Kraft, f",force,fuerza,voima,"force, f",forza,力,힘,siła,força,kraft,力
113-03-15,newton,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-03-15,نيوتن ( وحدة قياس القوة),newton,"Newton, n",newton,newton,newton,"newton, m",newton,ニュートン,뉴턴,niuton,newton,newton,牛顿牛
