term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,zh
815-10-11,flux expulsion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-11,,"Flussverdrängung, f",flux expulsion,expulsión de flujo,"expulsion de flux, f",磁束の排除,자속 배제,"wypychanie strumienia, n",expulsão de fluxo,磁通排出
815-10-12,Meissner-Ochsenfeld effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-12,,"Meißner-Ochsenfeld-Effekt, m",Meissner-Ochsenfeld effect,efecto Meissner-Ochsenfeld,"effet Meissner-Ochsenfeld, m",マイスナー-オクセンフェルト効果,마이스너-오흐젠펠트 효과,"zjawisko Meissnera-Ochsenfelda, nefekt Meissnera, m",efeito Meissner-Ochsenfeld,迈斯纳效应
815-10-13,persistent current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-13,,"Dauerstrom, m",persistent current,corriente persistente,"courant persistant, m",永久電流,영구 전류지속 전류,"prąd niezanikający, m",corrente persistente,持续电流
815-10-14,flux quantum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-14,,"Flussquant, n",flux quantum,cuanto de flujo,"quantum de flux, m",磁束量子,자속 양자,"kwant strumienia, mkwant strumienia magnetycznego, m",quantum de fluxo,磁通量子
815-10-15,fluxoid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-15,,"Fluxoid, n",fluxoid,fluxoide,"fluxoïde, m",フラクソイド,플럭소이드,"fluksoid, m",fluxoide,类磁通
815-10-16,fluxon,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-16,,"Fluxon, nVortex, mFlusslinie, f",fluxonvortexflux line,fluxónvórticelínea de flujo,"fluxon, mvortex, m",フラクソン渦糸磁束線,자속선플럭션,"flukson, mwir, mnić wirowa, f",fluxãovortex,磁通涡旋线磁通涡旋涡旋线磁通线
815-10-17,fluxon lattice,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-17,,"Fluxongitter, nVortexgitter, nFlussliniengitter, n",fluxon latticevortex latticeflux line lattice,red de fluxonesred de vórticesred de líneas de flujo,"réseau de lignes de flux, m",フラクソン格子渦糸格子磁束線格子,플럭손 격자,"sieć fluksonów, fsieć wirów, fsieć nici wirowych, f",rede de fluxões rede de vortex,磁通涡旋线格子磁通涡旋格子涡旋线格子磁通线格子
815-10-18,mixed state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-18,,"Mischzustand, m",mixed state,estado mixto,"état mixte, m",混合状態,혼합 상태,"stan mieszany, m",estado misto,混合态
815-10-19,intermediate state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-19,,"Zwischenzustand, m",intermediate state,estado intermedio,"état intermédiaire, m",中間状態,중간 상태,"stan pośredni, m",estado intermédio,中间态
815-10-20,superconducting condensation energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-20,,"Kondensationsenergie der Supraleitung, f",superconducting condensation energy,energía de condensación superconductiva,"énergie de condensation supraconductrice, f",超電導凝縮エネルギー,초전도 응축 에너지,"energia kondensacji  nadprzewodnikowa, f",energia de condensação supercondutiva,超导凝聚能
815-10-21,critical field strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-21,,"kritische Feldstärke, f",critical field strength,campo magnético crítico,"champ magnétique critique, m",臨界磁界,임계 자계 강도임계 자기 강도,"natężenie krytycznego pola, n",campo magnético crítico,临界场强度
815-10-22,type I superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-22,,"Typ-I-Supraleiter, m",type I superconductor,superconductor tipo I,"supraconducteur de type I, m",第一種超電導体,제1종 초전도체,"nadprzewodnik I rodzaju, mnadprzewodnik pierwszego rodzaju, m",supercondutor de tipo I,第I类超导体
815-10-23,lower critical field strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-23,,"untere kritische Feldstärke, f",lower critical field strength,campo magnético crítico inferior,"champ magnétique critique inférieur, m",下部臨界磁界,하부 임계 자계 강도,"natężenie pola krytycznego dolnego, n",campo magnético crítico inferior,下临界场强度
815-10-24,upper critical field strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-24,,"obere kritische Feldstärke, f",upper critical field strength,campo magnético crítico superior,"champ magnétique critique supérieur, m",上部臨界磁界,상부 임계 자계 강도,"natężenie pola krytycznego górnego, n",campo magnético crítico superior,上临界场强度
815-10-25,type II superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-25,,"Typ-II-Supraleiter, m",type II superconductor,superconductor tipo II,"supraconducteur de type II, m",第二種超電導体,제2종 초전도체,"nadprzewodnik II rodzaju, m",supercondutor de tipo II,第II类超导体
815-10-26,Cooper pair,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-26,,"Cooper-Paar, n",Cooper pair,par de Cooper,"paire de Cooper, f",クーパー対,쿠퍼 페어쿠퍼 쌍,"para Coopera, f",par de Cooper,库珀对
815-10-27,BCS theory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-27,,"BCS-Theorie, f",BCS theory,teoría BCS,"théorie BCS, f",BCS理論,비시에스 이론,"teoria BCS, f",teoria BCS,BCS理论
815-10-28,superconducting energy gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-28,,"supraleitende Energiebandlücke, f",superconducting energy gap,hueco de energía superconductora,"bande d'énergie séparant l'état supraconducteur de l'état normal, fparamètre de bande interdite, m",超電導エネルギー・ギャップ,초전도 에너지 간격,"przerwa energetyczna nadprzewodnikowa, f",hiato de energia supercondutivo,超导能隙
815-10-29,Ginzburg-Landau theory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-29,,"Ginzburg-Landau-Theorie, f",Ginzburg-Landau theory,teoría de Ginzburg-Landau,"théorie de Ginzburg-Landau, f",ギンツブルグ-ランダウ理論,긴츠부르크-란다우 이론,"teoria Ginzburga-Landaua, fteoria G-L, f",teoria de Ginzburg-Landau,金兹堡-朗道理论
815-10-30,"order parameter, <superconductor>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-30,,"Supraleitungs-Ordnungsparameter, m","order parameter, <superconductor>",parámetro de orden,"paramètre d'ordre supraconducteur, m","オーダー・パラメータ, ＜超電導体＞","순서 매개변수, <초전도체>","parametr porządku, <nadprzewodnika> m","parâmetro de ordem, <supercondutivo>","序参量, <超导体>"
815-10-31,BCS coherence length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-31,,"BCS-Kohärenzlänge, f",BCS coherence length,longitud de coherencia BCS,"longueur de cohérence BCS, f",BCSコヒーレンス長,비시에스 가간섭성 길이비시에스 결맞음 길이,"długość koherencji BCS-owska, fodległość koherencji  teorii BCS, f",comprimento de coerência BCS,BCS相干长度
815-10-32,coherence length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-32,,"Kohärenzlänge, f",coherence length,longitud de coherencia,"longueur de cohérence, f",コヒーレンス長,결맞음 길이가간섭성 길이,"długość koherencji, fodległość koherencji teorii G-L, f",comprimento de coerência,相干长度
815-10-33,London penetration depth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-33,"عمق الاختراق, <فى تقنية المواد فائقة الموصلية>","London-Eindringtiefe, fEindringtiefe, <in der Supraleittechnik> f","London penetration depthpenetration depth, <in superconductivity-related technology>",profundidad de penetración de London,"profondeur de pénétration, <en technique des supraconducteurs> f",ロンドン侵入長,런던 침투거리,"głębokość wnikania Londonów, fgłębokość wnikania, <w technice związanej z nadprzewodnictwem> f",profundidade de penetração,伦敦穿透深度
815-10-34,Ginzburg-Landau parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-34,,"Ginzburg-Landau-Parameter, mGL-Parameter, m",Ginzburg-Landau parameterG-L parameter,parámetro de orden Ginzburg-Landau,"paramètre de Ginzburg-Landau, m",ギンツブルグ-ランダウ・パラメータG-Lパラメータ,긴즈버그-란다우 매개변수,"parametr Ginzburga-Landaua, mparametr G-L, m",parâmetro de Ginzburg-Landau,金兹堡-朗道参数G-L参数
815-10-35,clean superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-35,,"sauberer Supraleiter, m",clean superconductor,superconductor limpio,"supraconducteur propre, m",きれいな超電導体,순수 초전도체,"nadprzewodnik czysty, m",supercondutor limpo,干净超导体
815-10-36,dirty superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-36,,"schmutziger Supraleiter, m",dirty superconductor,superconductor sucio,"supraconducteur sale, m",汚れた超電導体,불순 초전도체,"nadprzewodnik brudny, m",supercondutor sujo,脏超导体
815-10-37,Josephson junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-37,,"Josephson-Kontakt, m",Josephson junction,unión Josephson,"jonction Josephson, f",ジョセフソン接合,조셉슨 접합,"złącze Josephsona, nzłącze josephsonowskie, n",junção Josephson,约瑟夫森结
815-10-38,DC Josephson effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-38,,"Gleichstrom-Josephson-Effekt, m",DC Josephson effect,efecto Josephson en corriente continua,"effet Josephson continu, m",直流ジョセフソン効果,직류 조셉슨 효과,"zjawisko Josephsona stałoprądowe, nefekt Josephsona stałoprądowy, m",efeito Josephson contínuo,直流约瑟夫森效应
815-10-39,AC Josephson effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-39,,"Wechselstrom-Josephson-Effekt, m",AC Josephson effect,efecto Josephson en corriente alterna,"effet Josephson alternatif, m",交流ジョセフソン効果,교류 조셉슨 효과,"zjawisko Josephsona przemiennoprądowe, nefekt Josephsona przemiennoprądowy, m",efeito Josephson alternado,交流约瑟夫森效应
815-10-40,isotope effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-40,,"Isotopieeffekt, m",isotope effect,efecto isotópico,"effet isotopique, m",同位元素効果,동위원소 효과,"efekt izotopowy, mzjawisko izotopowe, n",efeito isotópico,同位素效应
815-10-41,surface superconductivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-41,,"Oberflächensupraleitung, f",surface superconductivity,superconductividad superficial,"supraconductivité de surface, fsupraconduction de surface, f",表面超電導,표면 초전도성,"nadprzewodnictwo powierzchniowe, n",supercondutividade de superfície,表面超导电性
815-10-42,"proximity effect, <superconductor>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-42,,"Proximity-Effekt, <Supraleitung> m","proximity effect, <superconductor>",efecto de proximidad,"effet de proximité superconducteur, m","近接効果, ＜超電導体＞","근접효과, <초전도체>","efekt bliskości, <w nadprzewodniku> m","efeito de proximidade, <supercondutivo>","邻近效应, <超导体>"
815-10-43,pancake vortex,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-43,,"Pfannkuchen-Vortex, m",pancake vortex,vórttice en forma de galleta,"vortex en galette, mfluxon en galette, m",パンケーキ磁束,팬케이크 와류팬케이크 소요돌이팬케이크 플럭손,"wir płaski ""naleśnikowaty”, mwir naleśnikowaty, m",fluxão em bolachas vortex em bolachas,饼涡旋
815-10-44,Josephson vortex,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-44,,"Josephson-Vortex, m",Josephson vortex,vórtice Josephson,"vortex Josephson, m",ジョセフソン磁束,조셉슨 와류조셉슨 소용돌이조셉슨 플럭손,"wir josephsonowski, m",fluxão de Josephson  vortex de Josephson,约瑟夫森涡旋
815-11-01,superconducting element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-01,,"supraleitendes Element, n",superconducting element,elemento superconductor,"élément supraconducteur, m",超電導元素,초전도 원소,"pierwiastek nadprzewodzący, m",elemento supercondutivo,超导元素
815-11-02,alloy superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-02,,"supraleitende Legierung, f",alloy superconductor,aleación superconductora,"alliage supraconducteur, m",合金超電導体,합금 초전도체,"stop nadprzewodnikowy, m",liga supercondutiva,合金超导体
815-11-03,compound superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-03,,"supraleitende Verbindung, f",compound superconductor,compuesto superconductor,"composé supraconducteur, m",化合物超電導体,화합물 초전도체,"związek nadprzewodnikowy, m",composto supercondutivo,化合物超导体
815-11-04,organic superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-04,,"organischer Supraleiter, m",organic superconductor,superconductor orgánico,"supraconducteur organique, m",有機物超電導体,유기물 초전도체,"nadprzewodnik organiczny, m",supercondutor orgânico,有机超导体
815-11-05,oxide superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-05,,"oxidischer Supraleiter, m",oxide superconductor,óxido superconductor,"oxyde supraconducteur, m",酸化物超電導体,산화물 초전도체,"nadprzewodnik tlenkowy, m",óxido supercondutivo,氧化物超导体
815-11-06,Perovskite superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-06,,"Perovskit-Supraleiter, m",Perovskite superconductor,superconductor Perovskita,"composé perovskite supraconducteur, m",ぺロブスカイト超電導体,페로브스카이트 초전도체,"nadprzewodnik o strukturze perowskitu, m",Perovskite supercondutivo,钙钛矿超导体
815-11-07,CuO2 sheet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-07,,"CuO2-Blatt, nCuO2-Ebene, fCuO2-Schicht, f",CuO2 sheetCuO2 planeCuO2 layer,lámina CuO2plano CuO2capa CuO2,"feuillet CuO2, mplan CuO2, mcouche CuO2, f",CuO2面CuO2シート,과산화구리 면,"warstwa CuO2, fpłaszczyzna CuO2, f",folha CuO2plano CuO2camada CuO2,铜氧面铜氧层
815-11-08,copper-oxide superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-08,,"Kupferoxid-Supraleiter, mCuprat-Supraleiter, m",copper-oxide superconductorcuprate superconductor,superconductor de óxido de cobre,"cuprate supraconducteur, m",銅酸化物超電導体,산화구리 초전도체,"nadprzewodnik miedziowo-tlenkowy, mmiedzian nadprzewodzący, m",supercondutor de óxido de cobre,铜氧化物超导体
815-11-09,p-type copper-oxide superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-09,,"p-leitender Kuprat-Supraleiter, m",p-type copper-oxide superconductorp-type cuprate superconductor,superconductor de óxido de cobre tipo p,"cuprate supraconducteur de type p, m",p型銅酸化物超電導体,피형 산화구리 초전도체,"nadprzewodnik miedziowo-tlenkowy typu p, mmiedzian nadprzewodzący typu p, m",supercondutor de óxido de cobre de tipo p,p-型铜氧化物超导体
815-11-10,n-type copper-oxide superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-10,,"n-leitender Supraleiter, m",n-type copper-oxide superconductorn-type cuprate superconductor,superconductor de óxido de cobre tipo n,"cuprate supraconducteur de type n, m",n型銅酸化物超電導体,엔형 산화구리 초전도체,"nadprzewodnik miedziowo-tlenkowy typu n, mmiedzian nadprzewodzący typu n, m",supercondutor de óxido de cobre de tipo n,n-型铜氧化物超导体
815-11-11,high temperature superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-11,,"Hochtemperatursupraleiter, m",high temperature superconductorhigh-Tc superconductor,superconductor de alta temperaturasuperconductor de alta Tc,"supraconducteur haute température critique, msupraconducteur haute Tc, mSHTC",高温超電導体,고온 초전도체,"nadprzewodnik wysokotemperaturowy, m",supercondutor de alta temperatura críticasupercondutor de alto Tc,高温超导体高Tc超导体
815-11-12,low temperature superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-12,,"Tieftemperatur-Supraleiter, m",low temperature superconductorlow-Tc superconductor,superconductor de baja temperaturasuperconductor de baja Tc,"supraconducteur basse température critique, msupraconducteur basse Tc, mSBTC",低温超電導体,저온 초전도체,"nadprzewodnik niskotemperaturowy, m",supercondutor de baixa temperatura críticasupercondutor de baixo  Tc,低温超导体低Tc超导体
815-11-13,A-15 superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-13,,"A15-Supraleiter, m",A-15 superconductor,superconductor tipo A-15,"supraconducteur de type A-15, m",A-15超電導体,에이15형 초전도체A-15 초전도체,"nadprzewodnik o strukturze  typu A15, mnadprzewodnik typu A15, m",supercondutor de tipo A-15,A-15超导体
815-11-14,B-1 superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-14,,"B1-Supraleiter, m",B-1 superconductor,superconductor tipo B-1,"supraconducteur de type B-1, m",B-1超電導体,B-1 초전도체,"nadprzewodnik o strukturze  typu B-1, mnadprzewodnik typu B-1, m",supercondutor de tipo B-1,B-1超导体
815-11-15,Laves phase superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-15,,"Supraleiter mit Laves-Phase, m",Laves phase superconductor,superconductor tipo fase de Laves,"supraconducteur de type phases de Laves, m",ラーベス相超電導体,라베스상 초전도체,"nadprzewodnik typu fazy Lavesa, m",supercondutor de tipo fases de Laves,拉夫斯相超导体
815-11-16,Chevrel phase superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-16,,"Supraleiter mit Chevrel-Phase, m",Chevrel phase superconductor,superconductor tipo fase de Chevrel,"supraconducteur de type phases de Chevrel, m",シェブレル相超電導体,쉐브렐상 초전도체,"nadprzewodnik typu fazy Chevrela, m",supercondutor de tipo fases de Chevrel,谢弗雷尔相超导体
815-11-17,fullerene superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-17,,"Fulleren-Supraleiter, m",fullerene superconductor,superconductor tipo fulereno,"supraconducteur de type fullerène, m",フラーレン超電導体,풀러렌 초전도체,"nadprzewodnik fullerenowy, m",supercondutor de tipo fulerenos,富勒烯超导体
815-11-18,boron carbide superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-18,,"Borkarbid-Supraleiter, m",boron carbide superconductor,superconductor tipo carburo de boro,"supraconducteur de type carbure de bore, m",ほう炭化物超電導体,탄화붕소 초전도체,"nadprzewodnik węglikowo-borowy, m",supercondutor de tipo carboneto de boro,硼碳化物超导体
815-11-19,magnesium diboride superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-19,,"Magnesiumdiborid-Supraleiter, m",magnesium diboride superconductor,superconductor tipo diboruro de magnesio,"supraconducteur de type diborure de magnésium, m",二ほう化マグネシウム超電導体,이붕화 마그네슘 초전도체,"nadprzewodnik dwuborkowo magnezowy, m",supercondutor do tipo diboreto de magnésio,二硼化镁超导体
815-11-20,iron-based superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-11-20,,"eisenhaltiger Supraleiter, m",iron-based superconductor,superconductor basado en hierro,"supraconducteur à base de fer, m",鉄系超電導体,철기반 초전도체,"nadprzewodnik żelazowy, m",supercondutor à base de ferro,铁基超导体
815-12-01,critical current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-01,,"kritische Stromstärke, fkritischer Strom, m",critical current,corriente crítica,"courant critique, m",臨界電流,임계전류,"prąd krytyczny, m",corrente crítica,临界电流
815-12-02,critical current criterion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-02,,"kritisches Stromkriterium, nIc-Kriterium, n",critical current criterionIc criterion,criterio de corriente críticacriterio de Ic,"critère de courant critique, m",臨界電流基準Ic基準,임계 전류 기준아이시 기준,"kryterium prądu krytycznego, n",critério de corrente críticacritério Ic,临界电流判据Ic判据
815-12-03,critical current density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-03,,"kritische Stromdichte, f",critical current density,densidad de corriente crítica,"densité de courant critique, f",臨界電流密度,임계 전류 밀도,"gęstość prądu krytycznego, f",densidade de corrente crítica,临界电流密度
815-12-04,transport critical current density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-04,,"kritische Transportstromdichte, f",transport critical current density,densidad de corriente crítica de transporte,"densité de courant critique de transport, f",輸送臨界電流密度,수송 임계 전류 밀도,"gęstość prądu krytycznego transportu, f",densidade de corrente crítica de transporte,传输临界电流密度
815-12-05,critical surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-05,,"kritische Oberfläche, f",critical surface,superficie crítica,"surface critique, f",臨界面,임계 표면,"powierzchnia krytyczna, f",superfície crítica,临界面
815-12-06,critical state model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-06,,"Modell des kritischen Zustands, n",critical state model,modelo de estado crítico,"modèle d'état critique, m",臨界状態モデル,임계 상태 모델,"model stanu krytycznego, m",modelo de estado crítico,临界态模型
815-12-07,Bean model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-07,,"Bean-London-Modell, n",Bean modelBean-London model,modelo de Beanmodelo de London-Bean,"modèle de Bean, m",ビーンモデルビーン-ロンドンモデル,빈 모델빈-런던 모델,"model Beana, mmodel Beana-Londona, mmodel stanu krytycznego Beana, m",modelo de Bean,比恩模型比恩-伦敦模型
815-12-08,Kim model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-08,,"Kim-Modell, n",Kim model,modelo de Kim,"modèle de Kim, m",キムモデル,김 모델김 모형,"model Kima, m",modelo de Kim,金模型
815-12-09,magnetization critical current density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-09,,"Magnetisierungsstromdichte, f",magnetization critical current density,densidad de corriente crítica de magnetización,"densité de courant critique d'aimantation, f",磁化電流密度,자화 임계 전류 밀도,"gęstość prądu krytycznego magnetyzacji, f",densidade de corrente crítica de magnetização,磁化临界电流密度
815-12-10,"n-value, <superconductor>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-10,,"n-Wert, <Supraleiter> m","n-value, <superconductor>",valor n,"valeur n, <supraconducteur> f","n-値, ＜超電導体＞","n 값, <초전도체>","wartość parametru n, <dla nadprzewodnika> f","valor n, <de um supercondutor>","n-值, <超导体>"
815-12-11,quench,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-11,,"Quench, m",quench,ruptura de superconductividad,"quench, m",クエンチ,퀜치,"przejście niekontrolowane do stanu rezystywnego, nzgaszenie, n",amortecimento,失超
815-12-12,stabilizer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-12,,"Stabilisator, m",stabilizer,estabilizador,"stabilisateur, m",安定化材,안정제안정화제,"stabilizator, m",estabilizador,稳定材料
815-12-13,recovery current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-13,,"Erholungsstrom, m",recovery current,corriente de restablecimiento,"courant de rétablissement, m",回復電流,복구 전류회복 전류,"prąd powrotu, mprąd odzyskania stanu nadprzewodnictwa, m",corrente de restabelecimento,恢复电流
815-12-14,stress effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-14,,"Belastungseffekt, m",stress effectstrain effect,efecto de esfuerzo,"effet contrainte/déformation, meffet d'effort/contrainte, m",応力効果ひずみ効果,응력 효과,"wpływ nacisków, mwpływ naprężeń, m",efeito de esforço,应力效应应变效应
815-12-15,radiation effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-15,,"Bestrahlungseffekt, m",radiation effect,efecto de irraciación,"effet d'irradiation, m",照射効果,방사 효과조사 효과,"wpływ napromieniowania, mefekt napromieniowania, m",efeito de irradiação,辐照效应
815-12-16,"Lorentz force, <on fluxons>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-16,,"Lorentzkraft, <auf Flusslinien> f","Lorentz force, <on fluxons>",fuerza de Lorentz,"force de Lorentz, <sur un fluxon> f","ローレンツ力, ＜フラクソンに作用する＞","로렌츠 힘, <플럭손>","siła Lorentza, <działająca na nici wirowe> f","força de Lorentz, <sobre um fluxão>","洛伦兹力, <作用于磁通涡旋上的>"
815-12-17,surface barrier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-17,,"Oberflächenbarriere, f",surface barrier,barrera superficial,"barrière de surface, fbarrière superficielle, f",表面バリヤ,표면 장벽,"bariera powierzchniowa, f",barreira de superfície,表面势垒
815-12-18,pinning centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-18,,"Haftstelle, fPinning-Zentrum, n",pinning centrepinning site,centro de anclajelugar de anclajeanclaje,"centre d'ancrage, mcentre de piégeage, m",ピンニング・センターピン止め点ピン,꽂음 중심,"centrum zaczepienia, ncentrum zakotwiczenia, n",centro de ancoramento,钉扎中心
815-12-19,flux pinning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-12-19,,"Flussverankerung, fFlux-Pinning, n",flux pinning,anclaje de flujo,"ancrage de flux, mpiégeage de flux, m",磁束ピンニング,자속 꽂음,"zakotwiczenie strumienia, nzaczepienie strumienia, n",ancoramento de fluxo,磁通钉扎
