term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
551-12-04,current stiff AC/DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-04,مغير تيار متردد / تيار مستمر ثابت التيار,"Wechselstrom-Gleichstromumrichter mit Stromeinprägung, m",current stiff AC/DC converter,convertidor alterna/continua de corriente fija,virtajäykkä vaihtosähkö-tasasähkömuuttaja,"convertisseur alternatif/continu imposant le courant, mconvertisseur alternatif/continu en source de courant, m",convertitore c.a./c.c. a corrente impressa,電流形交直変換装置,전류 고정 교류/직류 변환,przekształtnik prąd przemienny – prąd stały o wygładzonym prądzieprzekształtnik prądu,conversor alternada-contínua em fonte de corrente,электронный преобразователь переменного / постоянного тока с преобладающими свойствами источника тока,"струјни претварач наизменичне струје у једносмерну неосетљив на оптерећење, м јд",strömstyv vs/ls-omriktare,电流型交流/直流变流器
551-12-05,direct AC/DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-05,مغير تيار متردد/ تيار مستمر مباشر,"Wechselstrom-Gleichstrom-Direktumrichter, m",direct AC/DC converter,convertidor directo alterna/continua,välipiiritön vaihtosähkö-tasasähkömuuttaja,"convertisseur direct alternatif/continu, m",convertitore diretto c.a./c.c.,直接交直変換装置,직접 교류/직류 변환기,przekształtnik bezpośredni prąd przemienny/prąd stały,conversor directo alternada-contínua,прямой преобразователь переменного / постоянного тока,"директни претварач наизменичне струје у једносмерну, м јд",vs/ls-omriktare utan mellanled,直接交流/直流变流器
551-12-06,indirect AC/DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-06,مغير تيار متردد/ تيار مستمر غير مباشر,"Wechselstrom-Gleichstrom-Zwischenkreisumrichter, m",indirect AC/DC converter,convertidor indirecto alterna/continua,välipiirillinen vaihtosähkö-tasasähkömuuttaja,"convertisseur indirect alternatif/continu, m",convertitore indiretto c.a./c.c.,間接交直変換装置,간접 교류/직류 변환기,przekształtnik pośredni prąd przemienny/prąd stały,conversor indirecto alternada-contínua,непрямой преобразователь переменного / постоянного тока переменный / постоянный непрямой преобразователь переменного / постоянного тока,"индиректни претварач наизменичне струје у једносмерну, м јд",vs/ls-omriktare med mellanled,间接交流/直流变流器
551-12-07,rectifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-07,مقوم,"Gleichrichter, m",rectifier,rectificador,tasasuuntaaja,"redresseur, m",raddrizzatore,順変換装置,정류기,prostownik,rectificador,выпрямитель,"исправљач, м јд",likriktare,整流器
551-12-08,direct rectifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-08,مقوم مباشر,"Direktgleichrichter, m",direct rectifier,rectificador directo,välipiiritön tasasuuntaaja,"redresseur direct, m",raddrizzatore diretto,直接順変換装置,직접형 정류기,prostownik bezpośredni,rectificador directo,прямой выпрямитель,"директни исправљач, м јд",likriktare utan mellanled,直接整流器
551-12-09,indirect rectifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-09,مقوم غير مباشر,"Zwischenkreisgleichrichter, m",indirect rectifier,rectificador indirecto,välipiirillinen tasasuuntaaja,"redresseur indirect, m",raddrizzatore indiretto,間接順変換装置,간접형 정류기,prostownik pośredni,rectificador indirecto,непрямой выпрямитель,"индиректни исправљач, м јд",likriktare med mellanled,间接整流器
551-12-10,inverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-10,مقوم عكسى,"Wechselrichter, m",inverterinvertor,inversor,vaihtosuuntaaja,"onduleur, m",invertitore,インバータ逆変換装置,인버터뒤바꿈기,falownik,inversorondulador,инвертор,"инвертор, м јд",växelriktare,逆变器
551-12-11,voltage source inverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-11,مقوم عكسى مصدر الجهد,"Spannungsquellen-Wechselrichter, mspannungsgespeister Wechselrichter, m",voltage source invertervoltage fed inverter,inversor fuente de tensión,jännitelähdevaihtosuuntaaja,"onduleur à source de tension, m",invertitore operante come sorgente a tensione impressa,電圧形逆変換装置,전압원 인버터브이에스아이,falownik napięcia,inversor de fonte de tensãoondulador (em fonte) de tensão,инвертор напряжения,"инвертор извор напона, м јд",spänningsstyv växelriktare,电压源逆变器
551-12-12,current source inverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-12,مقوم عكسى مصدر تيار,"Stromquellen-Wechselrichter, mstromgespeister Wechselrichter, m",current source invertercurrent fed inverter,inversor fuente de corriente,virtalähdevaihtosuuntaaja,"onduleur à source de courant, m",invertitore operante come sorgente a corrente impressa,電流形逆変換装置,전류원 인버터시에스아이,falownik prądu,inversor de fonte de correnteondulador (em fonte) de corrente,инвертор тока,"инвертор извор струје, м јд",strömstyv växelriktare,电流源逆变器
551-12-13,direct inverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-13,مقوم عكسى مباشر,"Direktwechselrichter, m",direct inverter,inversor directo,välipiiritön vaihtosuuntaaja,"onduleur direct, m",invertertitore diretto,直接逆変換装置,직접형 인버터,falownik bezpośredni,inversor directoondulador directo,прямой инвертор,"директни инвертор, м јд",växelriktare utan ls-mellanled,直接逆变器
551-12-14,indirect inverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-14,مقوم عكسى غير مباشر,"Zwischenkreis-Wechselrichter, m",indirect inverter,inversor indirecto,välipiirillinen vaihtosuuntaaja,"onduleur indirect, m",invertitore indiretto,間接逆変換装置,간접형 인버터,falownik pośredni,inversor indirectoondulador indirecto,непрямой инвертор,"индиректни инвертор, м јд",växelriktare med ls-mellanled,间接逆变器
551-12-15,reactive power converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-15,مغير قدرة غير الفعالة,"Blindleistungs-Umrichter, m",reactive power converter,convertidor de potencia reactiva,loistehomuuttajaelektroninen loistehomuuttaja,"convertisseur de puissance réactive, m",convertitore di potenza reattiva,無効電力補償装置,무효 전력 변환기,przekształtnik mocy biernej,conversor de potência reactiva,преобразователь реактивной мощности,"претварач реактивне снаге, м јд",omriktare för reaktiv effekt,无功功率变流器
551-12-16,electronic power filter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-16,مرشح قدرة الكتروني       مرشح قدرة فعالة,"elektronisches Leistungsfilter, n",electronic power filteractive power filter,filtro electrónico de potencia,aktiivinen tehosuodatin,"filtre électronique de puissance, mfiltre actif de puissance, m",filtro elettronico di potenza,アクティブパワーフィルタ電力用アクティブフィルタ,전자식 전력 필터유효 전력 필터,filtr energoelektronicznyfiltr aktywny,filtro electrónico de potênciafiltro activo de potência,активный силовой фильтр электронный силовой фильтр,"електронски енергетски филтар, м јдактивни енергетски филтар, м јд",kraftelektroniskt filter,电力电子滤波器有源电力滤波器
551-12-17,AC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-17,مغير تيار متردد,"Wechselstromumrichter, m",AC converter,convertidor de corriente alterna,vaihtosähkömuuttaja,"convertisseur (de courant) alternatif, m",convertitore c.a.,交流変換装置,교류 변환기,przekształtnik prądu przemiennego,conversor de corrente alternada,преобразователь переменного тока,"претварач наизменичне струје, м јд",vs-omriktare,交流变流器
551-12-18,direct AC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-18,مغير تيار مباشر,"Wechselstrom-Direktumrichter, m",direct AC converter,convertidor de corriente alterna directo,välipiiritön vaihtosähkömuuttaja,"convertisseur (de courant) alternatif direct, m",convertitore diretto c.a.,直接交流変換装置,직접 교류 변환기,przekształtnik prądu przemiennego bezpośredni,conversor directo de corrente alternada,прямой преобразователь переменного тока,"директни претварач наизменичнe струје, м јд",vs-omriktare utan ls-mellanled,直接交流变流器
551-12-19,indirect AC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-19,مغير تيار متردد مباشر,"Zwischenkreis-Wechselstromumrichter, m",indirect AC converter,convertidor de corriente alterna indirecto,välipiirillinen vaihtosähkömuuttaja,"convertisseur (de courant) alternatif indirect, m",convertitore indiretto c.a.,間接交流変換装置,간접 교류 변환기,przekształtnik prądu przemiennego pośredni,conversor indirecto de corrente alternada,непрямой преобразователь переменного тока,"индиректни претварач наизменичнe струје, м јд",vs-omriktare med ls-mellanled,间接交流变流器
551-12-20,indirect current link AC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-20,مغير تيار متردد غير مباشر,"Stromzwischenkreis-Wechselstromumrichter, m",indirect current link AC converter,convertidor de corriente alterna indirecto con conexión en corriente,virtavälipiirillinen vaihtosähkömuuttaja,"convertisseur (de courant) alternatif indirect à liaison en courant, m",convertitore indiretto di corrente con circuito intermedio in corrente continua impressa,電流リンク形間接交流変換装置,간접 전류 연결 교류 변환기,przekształtnik prądu przemiennego z pośredniczącym obwodem prądowym,conversor indirecto de corrente alternada com ligação em corrente,непрямой преобразователь переменного тока со звеном тока,"индиректни претварач наизменичне струје са струјним међуколом, м јд",vs-omriktare med strömstyvt ls-mellanled,电流环节间接交流变流器
551-12-21,indirect voltage link AC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-21,مغير تيار متردد ذو وصلة    جهد غير مباشر,"Spannungszwischenkreis-Wechselstromumrichter, m",indirect voltage link AC converter,convertidor de corriente alterna indirecto con conexión en tensión,jännitevälipiirillinen vaihtosähkömuuttaja,"convertisseur (de courant) alternatif indirect à liaison en tension, m",convertitore indiretto di corrente con circuito intermedio a tensione continua impressa,電圧リンク形間接交流変換装置,간접 전압 연결 교류 변환기,przekształtnik prądu przemiennego z pośredniczącym obwodem napięciowym,conversor indirecto de corrente alternada com ligação em tensão,непрямой преобразователь переменного тока со звеном напряжения преобразователь переменного тока с промежуточным звеном источника напряжения,"индиректни претварач наизменичне струје са напонским међуколом, м јд",vs-omriktare med spänningsstyvt ls-mellanled,电压环节间接交流变流器
551-12-22,frequency converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-22,مغير تردد,"Frequenzumrichter, m",frequency converter,convertidor de frecuencia,taajuusmuuttaja,"convertisseur de fréquence, m",convertitore di frequenza,周波数変換装置,주파수 변환기,przekształtnik częstotliwości,conversor de frequência,преобразователь частоты,"претварач фреквенције, м јд",frekvensomriktare,变频器
551-12-23,cycloconverter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-23,مغير حلقي,"Hüllkurvenumrichter, m",cycloconverter,cicloconvertidor,syklokonvertteri,"cycloconvertisseur, m",cicloconvertitore,サイクロコンバータ,사이클로 변환기,cyklokonwertor,cicloconversor,прямой преобразователь частоты циклоконвертор,"директни претварач фреквенције, м јд",styromriktare,周波变流器
551-12-24,phase converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-24,مغير طور,"Phasenzahlumrichter, m",phase converter,convertidor de fases,vaiheluvun muuttaja,"convertisseur de phases, m",convertitore del numero di fasi,相数変換装置,상 변환기,przekształtnik liczby faz,conversor de fase,преобразователь фаз,"претварач фаза, м јд",fastalsomriktare,变相器
551-12-25,AC voltage converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-25,مغير جهد للتيار المتردد,"Wechselspannungsumrichter, m",AC voltage converter,convertidor de tensión alterna,vaihtojännitteen muuttaja,"convertisseur de tension alternative, m",convertitore di tensione c.a.,交流電圧変換装置,교류 전압 변환기,przekształtnik napięcia przemiennego,conversor de tensão alterna,преобразователь напряжения переменного тока,"претварач наизменичног напона, м јд",vs-omriktare för spänning,交流电压变流器
551-12-26,resonant converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-26,مغير رنيني,"Resonanzumrichter, m",resonant converter,convertidor resonante,resonanssimuuttaja,"convertisseur à résonance, m",convertitore risonante,共振形変換装置,공진형 변환기,przekształtnik rezonansowy,conversor de ressonância,резонансный преобразователь,"резонантни претварач, м јд",resonansomriktare,谐振变流器
551-12-27,DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-27,مغير تيار مستمر,"Gleichstromumrichter, m",DC converter,convertidor de corriente continua,tasasähkömuuttaja,"convertisseur de courant continu, m",convertitore c.c.,直流変換装置,직류변환기,przekształtnik prądu stałego,conversor de corrente contínua,преобразователь постоянного тока,"претварач једносмерне струје, м јд",ls-omriktare,真流变流器
551-12-28,direct DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-28,مغير تيار مستمر مباشر مقطع تيار مستمر,"Gleichstrom-Direktumrichter, mGleichstromsteller, m",direct DC converterDC chopper,convertidor de corriente continua directotroceador de corriente continua,välipiiritön tasasähkömuuttajatasasähkökatkoja,"convertisseur de courant continu direct, mhacheur à courant continu, m",convertitore diretto c.c.,直接直流変換装置直流チョッパ,직접 직류 변환기,przekształtnik prądu stałego bezpośredniczoper,conversor directo de corrente contínuatalhador de corrente contínuatracejador de corrente contínua,прямой преобразователь постоянного тока,"директни претварач једносмерне струје, м јд",ls-omriktare utan vs-mellanled,直接直流变流器直流斩波器
551-12-29,indirect DC converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-29,مغير تيار مستمر غير مباشر,"Zwischenkreis-Gleichstromumrichter, m",indirect DC converter,convertidor de corriente continua indirecto,välipiirillinen tasasähkömuuttaja,"convertisseur de courant continu indirect, m",convertitore indiretto c.c.,間接直流変換装置,간접 직류 변환기,przekształtnik prądu stałego pośredni,conversor indirecto de corrente contínua,непрямой преобразователь постоянного тока,"индиректни претварач једносмерне струје, м јд",ls-omriktare med vs-mellanled,间接直流变流器
551-12-30,forward converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-30,مغير امامى,"Durchflusswandler, m",forward converter,convertidor de transferencia directa,suoraan tehonsiirtoon perustuva tasasähkömuuttaja,"convertisseur à transfert direct, m",convertitore a trasferimento diretto,フォワードコンバータ,순방향 변환기,przekształtnik przepustowy,conversor de transferência directa,преобразователь с прямой передачей энергии,"forward претварач, м јдпретварач са директним преносом, м јд",ls-omriktare med direkt effektöverföring,正激变流器
551-12-31,flyback converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-31,مغير خلفي,"Sperrwandler, m",flyback converter,convertidor de transferencia indirecta,epäsuoraan tehonsiirtoon perustuva tasasähkömuuttaja,"convertisseur à transfert indirect, m",convertitore a trasferimento indiretto,フライバックコンバータ,플라이백형 변환기,przekształtnik zwrotny,conversor de transferência indirecta,преобразователь с непрямой передачей энергии (с передачей накапливаемой энергии),"flyback претварач, м јдпретварач са индиректним преносом, м јд",ls-omriktare med indirekt effektöverföring,反激变流器
551-12-32,boost converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-32,مغير تعزيز مغير رفع,"Hochsetzsteller, m",boost converterstep-up converter,convertidor elevador,jännitettä nostava katkoja,"convertisseur élévateur, m",convertitore elevatore,ブーストコンバータ昇圧チョッパ,부스트 변환기승압 변환기비시,przekształtnik podwyższający napięcie,conversor elevador,повышающий преобразователь,"претварач за подизање напона, м јд",spänningshöjande ls-omriktare,升压变流器
551-12-33,buck converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-33,مغير اضعاف مغير خفض,"Tiefsetzsteller, m",buck converterstep-down converter,convertidor reductor,jännitettä laskeva katkoja,"convertisseur abaisseur, m",convertitore abbassatore,バックコンバータ昇降圧チョッパ,벅 변환기강압형 변환기,przekształtnik obniżający napięcie,conversor abaixador,понижающий преобразователь,"претварач за снижавање напона, м јд",spänningssänkande ls-omriktare,降压变流器
551-12-34,one-quadrant converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-34,مغير ذواتجاه واحد,"Einquadrant-Stromrichter, m",one-quadrant converter,convertidor de un cuadrante,yksikvadranttimuuttaja,"convertisseur à un quadrant, m",convertitore operante in un solo quadrante,一象限変換装置,일 상한 변환기,przekształtnik jednokwadrantowy,conversor de um quadrante,одноквадрантный преобразователь,"једноквадрантни претварач, м јд",enkvadrantsomriktare,单象限变流器
551-12-35,two-quadrant converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-35,مغير ذواتجاهين,"Zweiquadrant-Stromrichter, m",two-quadrant converter,convertidor de dos cuadrantes,kaksikvadranttimuuttaja,"convertisseur à deux quadrants, m",convertitore operante in due quadranti,二象限変換装置,이 상한 변환기,przekształtnik dwukwadrantowy,conversor de dois quadrantes,двухквадрантный преобразователь,"двоквадрантни претварач, м јд",tvåkvadrantsomriktare,双象限变流器
551-12-36,four-quadrant converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-36,مغير ذو أربعة اتجاهات,"Vierquadrant-Stromrichter, m",four-quadrant converter,convertidor de cuatro cuadrantes,nelikvadranttimuuttaja,"convertisseur à quatre quadrants, m",convertitore operante in quattro quadranti,四象限変換装置,사 상한 변환기,przekształtnik czterokwadrantowy,conversor de quatro quadrantes,четырехквадрантный преобразователь,"четвороквадрантни претварач, м јд",fyrkvadrantsomriktare,四象限变流器
551-12-37,reversible converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-37,مغير قابل للعكس,"Umkehrstromrichter, m",reversible converter,convertidor reversible,kahden tehonsuunnan muuttaja,"convertisseur réversible, m",convertitore reversibile,可逆変換装置,가역 변환기,przekształtnik rewersyjny,conversor reversível,реверсивный преобразователь,"реверзибилни претварач, м јд",reversibel omriktare,可逆变流器
551-12-38,single converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-38,مغير فردي,"Einzelstromrichter, m",single converter,convertidor simple,yhden virransuunnan muuttaja,"convertisseur simple, m",convertitore reversibile con corrente continua unidirezionale,単変換装置,단일 변환기,przekształtnik pojedynczy,conversor simples,однокомплектный преобразователь,"једноструки претварач, м јд",enkelströmriktare,单变流器
551-12-39,double converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=551-12-39,مغير مزدوج,"Doppelstromrichter, m",double converter,convertidor doble,kahden virransuunnan muuttaja,"convertisseur double, m",convertitore reversibile con corrente continua bidirezionale,複変換装置,더블 변환기이중 변환기,przekształtnik podwójny,conversor duplo,двухкомплектный преобразователь,"двоструки претварач, м јд",dubbelströmriktare,双变流器
