term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sv,zh
444-01-11,relay technology categories,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-11,فئات تقنية المرحل,"Schutzarten für Relais, f, plRT, Abkürzung",relay technology categoriesRT (abbreviation),categoría de tecnología de relésRT (abreviatura),releiden tiiviysluokat,"catégories de technologie de relais, m plRT (abréviation) f",categorie tecnologiche dei relè; RT (abbreviazione),"リレー機能的分類ＲＴ, （略語）",계전기 기술 부류,tettleiksklassar for relé (RT),rodzaj wykonania przekaźnika RT (akronim),categorias de tecnologia de relésRT (abreviatura),täthetsklasser,继电器制造工艺类别RT
444-02-01,release condition (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-01,حالة الراحة (للمرحل البسيط),"Ruhestellung (eines Elementarrelais), f",release condition (for elementary relays),estado de reposo (para relés elementales),lepotila,"état de repos (pour les relais élémentaires), m",stato di riposo,"復帰状態, <エレメンタリーリレーの>","해제 조건, <요소 계전기>",kviletilstand,stan spoczynku (przekaźników pośredniczących),estado de repouso (para os relés elementares),frånläge (för elementarrelä),"释放状态, <用于基础继电器>"
444-02-02,operate condition (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-02,حالة التشغيل (للمرحل البسيط),"Arbeitsstellung (eines Elementarrelais), f",operate condition (for elementary relays),estado de trabajo (para relés elementales),toimintatila,"état de travail (pour les relais élémentaires), m",stato di funzionamento,"動作状態, <エレメンタリーリレーの>","작동조건, <요소 계전기>",operasjonstilstand,stan zadziałania (przekaźników pośredniczących),estado de trabalho (para os relés elementares),tilläge (för elementarrelä),"动作状态, <用于基础继电器>"
444-02-03,hold condition (of a monostable relay),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-03,حالة القبض (لمرحل أحادي الإستقرارية ),"Haltestellung (eines monostabilen Relais), f",hold condition (of a monostable relay),estado mantenido (de un relé monoestable),pitotila,"état maintenu (d'un relais monostable), m",stato mantenuto,"保持状態, <単安定リレーの>","유지조건, <단안정 계전기>",haldetilstand,stan trzymania (przekaźnika monostabilnego),estado mantido (de um relé monostável),hålltillstånd,"保持状态, <用于基础继电器>"
444-02-04,operate (for elementary relays) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-04,يعمل (لمرحل بسيط ),"ansprechen (eines Elementarrelais), Verb",operate (for elementary relays) verb,"funcionar (para relés elementales), verbo,",vetää,fonctionner (pour les relais élémentaires) verbe,funzionare,"動作する, <エレメンタリーリレーの>，動詞","작동하다, <요소 계전기>, 동사",operere,zadziałać (dotyczy przekaźników pośredniczących),armar (para os relés elementares)operar (para os relés elementares),slå till (för elementarrelä),"动作, <用于基础继电器>，动词"
444-02-05,"release, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-05,يتحرر,"rückfallen, Verb","release, verb","desactivar, verbo",päästää,"relâcher, verbe",rilasciare,"復帰する, 動詞","복구하다, 동사",gå tilbake,powracać (dotyczy przekaźnika monostabilnego) odpadać (dotyczy przekaźnika monostabilnego),desarmardesoperar,slå från,"释放, 动词"
444-02-06,reset (for elementary relays) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-06,يعيد الوضع (للمرحلات البسيطة),"rückwerfen (eines Elementarrelais), Verb",reset (for elementary relays) verb,"reponer (para relés elementales), verbo",kuitatapalauttaa,retourner (pour les relais élémentaires) verbe,ripristinare,"リセットする, <エレメンタリーリレーを>，動詞","초기화하다, <요소 계전기>, 동사",tilbakestille,kasować (dotyczy przekaźników pośredniczących bistabilnych),rearmar (para os relés elementares),återställa,"复归, <用于基础继电器>，动词"
444-02-07,change over (for elementary relays) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-07,يغيّر (للمرحلات البسيطة ),"Schaltstellung ändern (eines Elementarrelais), Verb",change over (for elementary relays) verb,"cambiar de estado (para relés elementales), verbo",vaihtaa kytkentätilaa,changer d'état (pour les relais élémentaires) verbe,cambiare di stato,"切替える, <エレメンタリーリレーで>，動詞","절체하다, <요소 계전기>, 동사전환하다, <요소 계전기>, 동사",veksle,zmieniać stan (dotyczy przekaźników pośredniczących),mudar de estado (para os relés elementares),slå om (för elementarrelä),"转换, <用于基础继电器>，动词"
444-02-08,cycle (for elementary relays) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-08,يدوّر (للمرحلات البسيطة ),"ein Schaltspiel ausführen (eines Elementarrelais), Verb",cycle (for elementary relays) verb,maniobra (para relés elementales),tehdä toimintajakso,manœuvrer (pour les relais élémentaires) verbe,ciclare,"繰り返す, <エレメンタリーリレーで>，動詞","변동시키다, <요소 계전기>, 동사순환하다, <요소 계전기>, 동사",syklisk manøvrering,wykonać cykl łączeniowy (dotyczy przekaźników pośredniczących) wykonać cykl (dotyczy przekaźników pośredniczących),manobrar (para os relés elementares),cykla (för elementarrelä),"循环, <用于基础继电器>，动词"
444-02-09,"revert, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-09,يرجّع، يعيد,"wiederrückfallen, Verb","revert, verb","desactivar por sobrealimentación, verbo",päästää uudelleen,"relâcher par suralimentation, verbe",rilasciare per sovralimentazione,"反転する, 動詞","반전하다, 동사",gå tilbake ved overmagnetisering (tilbakegang ved overmagnetisering),kasować za pomocą przesterowania (dotyczy przekaźnika spolaryzowanego specjalnej konstrukcji),desarmar por sobrealimentação,slå från genom övermatning,"回复, 动词"
444-02-10,"revert reverse, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-10,يعيد عكسياً,"wiederansprechen, Verb","revert reverse, verb","funcionar por sobrealimentación, verbo",vetää uudelleen,"fonctionner par suralimentation, verbe",funzionare per sovralimentazione,"反転復帰する, 動詞","반전해제하다, 동사",operere ved overmagnetisering,zadziałać za pomocą przesterowania (dotyczy przekaźnika spolaryzowanego bistabilnego specjalnej konstrukcji),armar por sobrealimentação,slå till genom övermatning,"反向回复, 动词"
444-02-11,"cycle (for elementary relays), noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-11,دورة (للمرحلات البسيطة ),"Schaltspiel (eines Elementarrelais), n","cycle (for elementary relays), noun","maniobrar (para relés elementales), verbo",toimintajakso,"manœuvre (pour les relais élémentaires), f",ciclo,"繰り返し, <エレメンタリーリレーの>，名詞","변동, <요소 계전기>, 명사사이클, <요소 계전기>, 명사주기, <요소 계전기>, 명사",syklus,cykl łączeniowy (przekaźników pośredniczących),manobra (para os relés elementares)ciclo de manobra (para os relés elementares),cykel (för elementarrelä),"循环, <用于基础继电器>，名词"
444-02-12,frequency of operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-12,تردد التشغيل,"Schalthäufigkeit, f",frequency of operation,frecuencia de funcionamiento,kytkentätaajuus,"fréquence de fonctionnement, f",frequenza di funzionamento,開閉頻度,작동 빈도,syklusfrekvens,częstość działania,frequência de manobra,cykelfrekvens,工作频率
444-02-13,continuous duty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-13,خدمة مستمرة,"Dauerbetrieb, m",continuous duty,servicio continuo,jatkuva käyttö,"service continu, m",servizio continuo,連続使用,연속 책무연속 작동,kontinuerleg drift,praca ciągła,serviço contínuo,kontinuerlig drift,连续工作制
444-02-14,intermittent duty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-14,خدمة متقطعة,"Aussetzbetrieb, m",intermittent duty,servicio intermitente,jaksottainen käyttö,"service intermittent, m",servizio intermittente,間欠使用,간헐 책무단속비,intermitterande drift,praca przerywana,serviço intermitente,intermittent drift,断续工作制
444-02-15,duty factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-15,عامل الخدمة,"relative Einschaltdauer, f",duty factor,factor de utilización,käyttökerroin,"facteur d'utilisation, m",fattore di utilizzazione,使用率,책무율,driftstidfaktor,współczynnik czasu pracy,factor de utilização,drifttidsfaktor,占空比
444-02-16,temporary duty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-16,خدمة مؤقتة,"Kurzzeitbetrieb, m",temporary duty,servicio temporal,lyhytaikainen käyttö,"service temporaire, m",servizio temporaneo,瞬時使用,일시 책무,kortvarig drift,praca dorywcza,serviço temporário,kortvarig drift,短时工作制
444-02-17,thermal resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-17,مقاومة حرارية,"Wärmewiderstand, m",thermal resistance,resistencia térmica,lämpövastus,"résistance thermique, f",reistenza termica,熱抵抗,열적 저항,termisk motstand,odporność termiczna (cewki),resistência térmica,termisk resistans,热阻
444-02-18,rated value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-18,قيمة مقننة,"Bemessungswert, m",rated value,valor asignado,mitoitusarvo,"valeur assignée, f",valore specificato/valore nominale,定格値,정격값,merkeverdi,wartość znamionowa,valor estipulado,märkvärde,额定值
444-02-19,characteristic value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-19,قيمة مميزة,"Kennwert, m",characteristic value,valor característico,ominaisarvo,"valeur caractéristique, f",valore caratteristico,特性値,특성값,karakteristisk verdi,wartość charakterystyczna,valor característico,karakteristiskt värde,特性值
444-02-20,test value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-20,قيمة إختبارية,"Prüfwert, m",test value,valor de ensayo,testiarvo,"valeur d'essai, f",valore di prova,試験値,시험값,prøveverdi/testverdi,wartość probiercza,valor de ensaio,provningsvärde,试验值
444-02-21,actual value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-02-21,قيمة فعلية,"Istwert, m",actual value,valor real,oloarvo,"valeur réelle, f",valore reale,実際値,실제값,momentanverdi,wartość rzeczywista,valor real,verkligt värde,实测值
444-03-01,energizing quantity (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-01,كمية التغذية (للمرحلات البسيطة),"Erregungsgröße (eines Elementarrelais), f",energizing quantity (for elementary relays),magnitud de alimentación (para relés elementales),syöttösuure,"grandeur d'alimentation (pour les relais élémentaires), f",grandezza di alimentazione,"駆動力, <エレメンタリーリレーの>","구동량, <요소 계전기>",energiserande storleik,wielkość zasilająca (przekaźników pośredniczących),grandeza de alimentação (para os relés elementares),matningsstorhet (för elementarrelä),"激励量, <用于基础继电器>"
444-03-02,input circuit (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-02,دارة الدخل (للمرحلات البسيطة ),"Eingangsstromkreis (eines Elementarrelais), mEingangskreis (eines Elementarrelais), m",input circuit (for elementary relays),circuito de entrada (para relés elementales),tulopiiri,"circuit d'entrée (pour les relais élémentaires), m",circuito di entrata,"入力回路, <エレメンタリーリレーの>","입력 회로, <요소 계전기>",inngangskrins,obwód wejściowy (przekaźników pośredniczących),circuito de entrada (para os relés elementares),ingångskrets (för elementarrelä),"输入电路, <用于基础继电器>"
444-03-03,input voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-03,جهد الدخل,"Eingangsspannung, f",input voltage,tensión de entrada,tulojännitesyöttöjännite,"tension d'entrée, f",tensione di entrata,入力電圧,입력 전압,inngangsspenning,napięcie wejściowe,tensão de entrada,matningsspänning,输入电压
444-03-04,energize a relay (for elementary relays) verb,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-04,يغذي مرحل (للمرحلات البسيطة ),"ein Relais erregen (bei einem Elementarrelais), Verb",energize a relay (for elementary relays) verb,"alimentar un relé (para relés elementales), verbo",syöttää relettä,alimenter un relais (pour les relais élémentaires) verbe,alimentare un relè,"リレーを駆動する, <エレメンタリーリレーの>，動詞","계전기를 여기하다, <요소 계전기>, 동사",energisere eit rele,pobudzić przekaźnik (dotyczy przekaźników pośredniczących),alimentar um relé (para os relés elementares),mata relä (för elementarrelä),"激励继电器, <用于基础继电器>，动词"
444-03-05,operate range of the input voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-05,مدى التشغيل لجهد الدخل,"Arbeitsbereich der Eingangsspannung, m",operate range of the input voltage,campo de funcionamiento de la tensión de entrada,tulojännitteen toiminta-alue,"domaine de fonctionnement de la tension d'entrée, m",campo di funzionamento della tensione di entrata,入力電圧の動作範囲,입력 전압 작동 범위,driftsområde for inngangsspenning,zakres roboczy napięcia wejściowego,domínio de operação da tensão de entrada,driftområde för matningsspänning,输入电压工作值范围
444-03-06,operate voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-06,جهد التشغيل,"Ansprechspannung, f",operate voltage,tensión de funcionamiento,toimintajännite,"tension de fonctionnement, f",tensione di funzionamento,動作電圧,기본 계전기용 작동 전압,operasjonsspenning,napięcie zadziałania,tensão de operação,tillslagsspänning,动作电压
444-03-07,non-operate voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-07,جهد عدم التشغيل,"Nichtansprechspannung, f",non-operate voltage,tensión de no funcionamiento,lepojännite,"tension de non-fonctionnement, f",tensione di non funzionamento,不動作電圧,비작동 전압,ikkje-operasjonsspenning,napięcie niezadziałania,tensão de não-operação,icke tillslagsgivande spänning,不动作电压
444-03-08,release voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-08,جهد التحرير,"Rückfallspannung, f",release voltage,tensión de desactivación,päästöjännite,"tension de relâchement, f",tensione di rilascio,復帰電圧,해제 전압,tilbakegangsspenning,napięcie powrotu,tensão de desarme,frånslagsspänning,释放电压
444-03-09,non-release voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-09,جهد عدم التحرير,"Haltespannung, f",non-release voltage,tensión de no desactivación,pitojännite,"tension de non-relâchement, f",tensione di non rilascio,不復帰電圧,비 해제 전압,haldespenning,napięcie trzymania,tensão de não-desarme,icke frånslagsgivande spänning,不释放电压
444-03-10,reset voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-10,جهد إعادة الوضع,"Rückwerfspannung, f",reset voltage,tensión de reposición,palautumisjännite,"tension de retour, f",tensione di ripristino,リセット電圧,재설정 전압,tilbakestillingsspenning,napięcie kasowania,tensão de rearme,återställningsspänning,复归电压
444-03-11,non-reset voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-11,جهد عدم إعادة الوضع,"Nichtrückwerfspannung, f",non-reset voltage,tensión de no reposición,palauttamaton jännite,"tension de non-retour, f",tensione di non ripristino,ノンリセット電圧,비 재설정 전압,ikkje-tilbakestillingsspenning,napięcie niekasowania,tensão de não-rearme,icke återställande spänning,不复归电压
444-03-12,revert voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-12,جهد الإرجاع,"Wiederrückfallspannung, f",revert voltage,tensión de desactivación por sobrealimentación,uudelleenpäästöjännite,"tension de relâchement par suralimentation, f",tensione di rilascio per sovralimentazione,反転電圧,반전 전압,tilbakegangsspenning ved overenergisering,napięcie kasowania za pomocą przesterowania,tensão de desarme por sobrealimentação,frånslagsspänning vid övermatning,回复电压
444-03-13,non-revert voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-13,جهد عدم الإرجاع,"Nichtwiederrückfallspannung, f",non-revert voltage,tensión de no desactivación por sobrealimentación,uudelleenpäästämätön jännite,"tension de non-relâchement par suralimentation, f",tensione di non rilascio per sovralimentazione,不反転電圧,비반전 전압,ikkje-tilbakegangsspenning ved overenergisering,napięcie niekasowania za pomocą przesterowania,tensão de não-desarme por sobrealimentação,icke frånslagsgivande övermatningsspänning,不回复电压
444-03-14,revert reverse voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-14,جهد الإرجاع العكسي,"Wiederansprechspannung, f",revert reverse voltage,tensión de funcionamiento por sobrealimentación,uudellenvetojännite,"tension de fonctionnement par suralimentation, f",tensione di funzionamento per sovralimentazione,反転逆電圧,반전 역전압,operasjonsspenning ved overenergisering,napięcie zadziałania za pomocą przesterowania,tensão de operação por sobrealimentação,tillslagsspänning vid övermatning,反向回复电压
444-03-15,non-revert reverse voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-15,جهد عدم الإرجاع العكسي,"Nichtwiederansprechspannung, f",non-revert reverse voltage,tensión de no funcionamiento por sobrealimentación,uudelleenvedon lepojännite,"tension de non-fonctionnement par suralimentation, f",tensione di non funzionamento per sovralimentazione,不反転逆電圧,비반전 역전압,ikkje-operasjonsspenning ved overenergisering,napięcie niezadziałania za pomocą przesterowania,tensão de não-operação por sobrealimentação,icke tillslagsgivande övermatningsspänning,不反向回复电压
444-03-16,reverse polarity voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-16,جهد  بقطبية عكسية,"Rückspannung, f",reverse polarity voltage,tensión de polaridad inversa,takajännite,"tension de polarité inverse, f",tensione di polarità inversa,逆極性電圧,역극성 전압,invers energiseringsspenning,napięcie polaryzacji zwrotnej,tensão de polaridade inversa,matningsspänning med omvänd polaritet,反向极性电压
444-03-17,rated power of the input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-17,قدرة مقننة لدارة الدخل,"Bemessungsleistung des Eingangskreises, f",rated power of the input circuit,potencia asignada del circuito de entrada,tulopiirin mitoitusteho,"puissance assignée du circuit d'entrée, f",potenza specificata del circuito di entrata,入力定格電圧,입력 회로 정격 전력,merkeeffekten til inngangskrinsen,moc znamionowa obwodu wejściowego,potência estipulada do circuito de entrada,ingångskretsens märkeffekt,输入电路额定功率
444-03-18,limiting continuous thermal withstand power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-18,أعلى قدرة  تحمل حراري مستمرة,"thermische Dauerbelastbarkeit, f",limiting continuous thermal withstand power,valor límite térmico de servicio continuo de la potencia en régimen estable,jatkuva terminen kuormitettavuus,"valeur limite thermique de service continu de la puissance en régime établi, f",potenza limite termica sopportabile in servizio continuo,連続耐熱限界電圧,한계 연속 내열 전력,grenseverdi for termisk effekt,moc graniczna cieplna długotrwała,valor limite térmico da potência em serviço contínuo,termiskt effektgränsvärde,极限连续耐热功率
444-03-19,magnetic preconditioning value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-19,قيمة التهيئة المغناطيسية المسبقة,"Wert der magnetischen Vorerregung, m",magnetic preconditioning value,valor de preacondicionamiento magnético,magneettisen esikäsittelyn arvo,"valeur de préconditionnement magnétique, f",valore di precondizionamento magnetico,磁気的前処理値,자기 전 처리값,magnetisk prekondisjoneringsverdi,wartość wstępnego kondycjonowania magnetycznego,valor de pré-condicionamento magnético,,预磁化值
444-03-20,coil transient suppression device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-03-20,جهاز كبت الحالة العابرة للملف,"Transienten-Unterdrückungsschaltung der Spule, f",coil transient suppression device,elemento de supresión de transitorios de la bobina,releen kelan ylijännitesuoja,"élément de suppression des transitoires de la bobine, m",dispositivo di soppressione del transitorio della bobina,コイルサージサプレッサー,코일 과도 억제 장치,transientvern for reléspole,element tłumiący stany przejściowe element tłumiący,dispositivo de supressão de transitórios da bobina,överspänningsskydd för reläspole,线圈瞬态抑制器件
444-04-01,output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-01,دارة الخرج,"Ausgangsstromkreis, mAusgangskreis, m",output circuit,circuito de salida,lähtöpiiri,"circuit de sortie, m",circuito di uscita,出力回路,출력 회로,utgangskrins,obwód wyjściowy,circuito de saída,utgångskrets,输出电路
444-04-02,contact circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-02,دارة التلامس,"Kontaktkreis, m",contact circuit,circuito de contacto,kosketinpiiri,"circuit de contact, m",circuito di contatto,接点回路,접점 회로,kontaktkrins,obwód zestyku,circuito de contacto,kontaktkrets,触点电路
444-04-03,contact (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-03,تلامس (للمرحلات البسيطة),"Kontakt (eines Elementarrelais), m",contact (for elementary relays),contacto (para relés elementales),kosketin,"contact (pour les relais élémentaires), m",contatto,"接点, <エレメンタリーリレーの>","접점, <요소 계전기>접촉자, <요소 계전기>접촉, <요소 계전기>",kontakt,zestyk (przekaźników pośredniczących),contacto (para os relés elementares),kontakt,"触点, <用于基础继电器>"
444-04-04,contact set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-04,مجموعة تلامسات,"Kontaktsatz, m",contact set,juego de contactos,kosketinsarja,"jeu de contacts, m",insieme di contatti,接点組,접점 집합,kontaktsats,zespół zestyków,jogo de contactos,kontaktsats,成套触点
444-04-05,contact member (for elementary relays),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-05,عنصرتلامس(للمرحّلات البسيطة ),"Kontaktglied (eines Elementarrelais), n",contact member (for elementary relays),elemento de contacto (para relés elementales),koskettimen johtava osa,"élément de contact (pour les relais élémentaires), m",elemento di contatto,"接点構成, <エレメンタリーリレーの>","접점 부품, <요소 계전기>",kontaktelement,styk,elemento de contacto (para os relés elementares),kontaktpart,"接触件, <用于基础继电器>"
444-04-06,contact point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-06,نقطة تلامس,"Kontaktstelle (eines Elementarrelais), f",contact pointcontact tip  (deprecated for elementary relays),cabeza de contacto,kosketinkärki,"pièce de contact, f",punto di contatto,電気接点,접촉점,kontaktpunkt,nakładka styku styczka,ponto de contacto,kontaktelement,接触点
444-04-07,single contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-07,تلامس أحادي,"Einfachkontakt, m",single contact,contacto simple,yksittäiskosketin,"contact simple, m",contatto semplice,シングル接点,단접점,enkeltkontakt,zestyk pojedynczy,contacto simples,enkelkontakt,单触点
444-04-08,bifurcated contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-08,تلامس ذو شعبتين,"Doppelkontakt, m",bifurcated contact,contacto bifurcado,kaksoiskosketin,"contact jumelé, m",contatto biforcato,ツイン接点,분기 접촉,dobbeltkontakt,zestyk podwójny rozwidlony,contacto geminado,tvillingkontakt,分叉触点
444-04-09,contact gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-09,فجوة تلامس,"Kontaktabstand, m",contact gap,intervalo de contacto,kosketinväli,"intervalle de contact, m",distanza di contatto,接点ギャップ,접점 간극,kontaktavstand,przerwa stykowa,hiato de contacto,kontaktavstånd,触点间隙
444-04-10,contact force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-10,قوة تلامس,"Kontaktkraft, f",contact force,,kosketinvoima,"force de contact, f",forza di contatto,接点接触力,접촉력,kontaktkraft,docisk styków,força de contacto,kontaktkraft,触点压力
444-04-11,contact follow,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-11,متابعة تلامس,"Kontaktmitgang, m",contact follow,acompañamiento de un contacto,koskettimen myötöliike,"accompagnement d'un contact, m",corsa di accompagnamento di un contatto,接点フォロー,접점 추종,etterfjøring,ruch roboczy zestyku,acompanhamento de um contacto,kontaktavböjning,触点跟随
444-04-12,contact wipe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-04-12,مسح تلامس,"Kontaktreiben, n",contact wipe,deslizamiento de las cabezas de contacto,koskettimen liukuliike,"glissement d'un contact, m",scorrimento di contatto,接点摺動,접점 닦음질,kontaktgliding,poślizg styków,deslizamento dos pontos de contacto,kontaktglidning,触点擦动
