term_id,term,term_url,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
901-02-09,code of practice,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-09,pravidla správné praxe,"Anleitung für die Praxis, f",code of practice,,menettelyohje,"code de bonne pratique, m",codice di buona pratica,実施基準,실행 규약,"kodeks postępowania, m",código de boas práticas,"правило праксе, с јд",规程
901-02-10,regulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-10,předpis,"Vorschrift, f",regulation,,määräys,"règlement, m",regolamento,規制法規,규정,"przepis, m",regulamento,"пропис, м јд",法规
901-02-11,technical regulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-11,technický předpis,"technische Vorschrift, f",technical regulation,,tekninen määräys,"règlement technique, m",regolamento tecnico,技術法規,기술 규정,"przepis techniczny, m",regulamento técnico,"технички пропис, м јд",技术法规
901-02-12,product publication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-12,publikace o produktu,"produktbezogene Veröffentlichung, f",product publication,,tuotekohtainen julkaisu,"publication de produits, f",pubblicazione di prodotto,製品規格文書,제품 문서,"publikacja dotycząca wyrobu lub grupy wyrobów, f",publicação de produto,"публикација о производу, ж јд",产品出版物
901-02-13,basic standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-13,základní norma,"Grundnorm, f",basic standard,,perusstandardi,"norme de base, f",norma di base,基本規格,기본 표준,"norma podstawowa, f",norma de base,"основни стандард, м јд",基础标准
901-02-14,horizontal standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-14,horizontální norma,"Querschnittsnorm, fhorizontale Norm, f",horizontal standard,,horisontaalinen standardi,"norme horizontale, f",norma orizzontale,水平規格,수평 표준,"norma horyzontalna, f",norma horizontal,"хоризонтални стандард, м јд",横向标准
901-02-15,terminology standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-15,terminologická norma,"Terminologienorm, f",terminology standard,,sanastostandardi,"norme de terminologie, f",norma di terminolgia,用語規格,용어 표준,"norma terminologiczna, f",norma de terminologia,"терминолошки стандард, м јд",术语标准
901-02-16,testing standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-16,norma zkoušení,"Prüfnorm, f",testing standard,,testausstandardi,"norme d'essai, f",norma di prova,試験方法規格,시험 표준,"norma badań, f",norma de ensaio,"стандард за испитивање, м јд",试验标准
901-02-17,product standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-17,norma produktu,"Produktnorm, f",product standard,,tuotestandardi,"norme de produit, f",norma di prodotto,製品規格,제품 표준,"norma wyrobu, f",norma de produto,"стандард за производ, м јд",产品标准
901-02-18,process standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-18,norma procesu,"Verfahrensnorm, f",process standard,,menetelmästandardi,"norme de processus, f",norma di processo,プロセス規格,공정 표준,"norma procesu, f",norma de processo,"стандард за процес, м јд",过程标准
901-02-19,service standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-19,norma služby,"Dienstleistungsnorm, f",service standard,,palvelustandardi,"norme de service, f",norma di servizio,サービス規格,서비스 표준,"norma usługi, f",norma de serviço,"стандард за услугу, м јд",服务标准
901-02-20,interface standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-20,norma rozhraní,"Schnittstellennorm, fInterfacenorm, f",interface standard,,liitäntästandardi,"norme d'interface, f",norma di interfaccia,インタフェイス規格,인터페이스 표준,"norma interfejsu, f",norma de interface,"стандард за интерфејс, м јд",接口标准界面标准
901-02-21,standard on data to be provided,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-21,norma poskytování datnorma poskytování údajů,"Norm für anzugebende Daten, fDeklarationsnorm, f",standard on data to be provided,,erittelystandardi,"norme sur les données à fournir, f",norma sui dati da fornire,提供データに関する規格,제공 데이터 표준,"norma danych, <do dostarczenia> f",norma sobre os dados a fornecer,"стандард о подацима које треба обезбедити, м јд",应提供数据的标准
901-03-01,"body, <entity>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-01,"orgán, <entita>","Institution, fStelle, f","body, <entity>",,elin,"organisme, m","organismo, <entità>",機関団体,"단체, <개체>기관, <개체>","jednostka organizacyjna, <odpowiedzialna za normy i przepisy> f",organismo,"тело, <ентитет> с јд",机构
901-03-02,organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-02,organizace,"Organisation, f",organization,,organisaatio,"organisation, f",organizzazione,組織,기구조직,"organizacja, f",organização,"организација, ж јд",组织
901-03-03,standardizing body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-03,normotvorný orgán,"normenschaffende Institution, f",standardizing body,,standardisoiva elin,"organisme à activités normatives, m",organismo di normazione,標準化団体,표준화 단체,"jednostka normalizująca, f",organismo com atividades normativas,"тело за стандардизовање, с јд",标准化机构
901-03-04,international standardizing organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-04,mezinárodní normotvorná organizace,"internationale normenschaffende Organisation, f",international standardizing organization,,kansainvälinen standardisoiva järjestö,"organisation internationale à activités normatives, f",organizzazione di normazione internazionale,国際標準化組織,국제 표준화 기구,"międzynarodowa organizacja normalizująca, f",organização internacional com atividades normativas,"међународна организација за стандардизовање, ж јд",国际标准化组织
901-03-05,regional standardizing organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-05,regionální normotvorná organizace,"regionale normenschaffende Organisation, f",regional standardizing organization,,alueellinen standardisoiva järjestö,"organisation régionale à activités normatives, f",organizzazione di normazione regionale,地域標準化組織,지역 표준화 기구,"regionalna organizacja normalizująca, f",organização regional com atividades normativas,"регионална организација за стандардизовање, ж јд",区域标准化组织
901-03-06,standards body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-06,normalizační orgán,"Normungsorganisation, f",standards body,,standardisointielin,"organisme de normalisation, m",ente normatore,規格団体,표준 단체,"jednostka normalizacyjna, f",organismo de normalização,"тело за стандарде, с јд",标准机构
901-03-07,national standards body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-07,národní normalizační orgán,"nationales Normungsinstitut, n",national standards body,,kansallinen standardisointielin,"organisme national de normalisation, m",ente normatore nazionale,国家規格団体,국가 표준 단체,"krajowa jednostka normalizacyjna, f",organismo nacional de normalização,"национално тело за стандарде, с јд",国家标准机构
901-03-08,international standards organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-08,mezinárodní normalizační organizace,"internationale Normungsorganisation, f",international standards organization,,kansainvälinen standardisointijärjestö,"organisation internationale de normalisation, f",organizzazione normativa internazionale,国際規格組織,국제 표준 기구,"międzynarodowa organizacja normalizacyjna, f",organização internacional de normalização,"међународна организација за стандарде, ж јд",国际标准组织
901-03-09,regional standards organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-09,regionální normalizační organizace,"regionale Normungsorganisation, f",regional standards organization,,alueellinen standardisointijärjestö,"organisation régionale de normalisation, f",organizzazione normativa regionale,地域規格組織,지역 표준 기구,"regionalna organizacja normalizacyjna, f",organização regional de normalização,"регионална организација за стандарде, ж јд",区域标准组织
901-03-10,authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-10,oprávněný orgán,"Behörde, fDienststelle, f",authority,,viranomainen,"autorité, f",autorità,当局,기관당국,"organ władzy, m",autoridade,"орган управе, м јд",权力机构
901-03-11,regulatory authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-11,správní orgán,"vorschriftensetzende Behörde, fregelsetzende Behörde, f",regulatory authority,,säädäntöviranomainen,"autorité réglementaire, f",autorità di regolamentazione,法規制定当局,법규제정 기관,"organ stanowiący, m",autoridade regulamentadora,"орган управе за доношење прописа, м јд",法规制定机构
901-03-12,enforcement authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-03-12,výkonný orgán,"vollziehende Behörde, f",enforcement authority,,toimeenpanoviranomainen,"autorité chargée de l'application, f",autorità incaricata nel far rispettare i regolamenti,法規施行当局,법규시행기관,"organ wykonawczy, m",autoridade encarregada da aplicação,"орган управе за примену прописа, м јд",法规执行机构
901-04-01,standards programme,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-01,plán normalizace,"Normenprogramm, nNormungsprogramm, n",standards programme,,standardisointiohjelma,"programme de normalisation, m",programma normativo,規格業務計画,표준 계획표준 프로그램,"program normalizacyjny, m",programa de normalização,"програм стандарда, м јд",标准工作计划
901-04-02,standards project,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-02,normalizační úkol,"Norm-Projekt, n",standards project,,standardisointiprojekti,"projet de normalisation, m",progetto,規格プロジェクト,표준 프로젝트,"temat normalizacyjny, m",projeto de normalização,"пројекат стандарда, м јд",标准项目
901-04-03,draft standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-03,návrh normy,"Norm-Entwurf, m",draft standard,,standardiehdotus,"projet de norme, m",bozza di norma,規格案,표준안,"projekt normy, m",projeto de norma,"нацрт стандарда, м јд",标准草案
901-04-04,period of validity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-04,doba platnosti,"Gültigkeitsdauer, f",period of validity,,voimassaoloaika,"période de validité, f",periodo di validità,有効期間,유효기간,"okres ważności, m",período de validade,"период важења, м јд",有效期
901-04-05,review,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-05,přezkoumáníprověrka,"Überprüfung, f",review,,tarkistus,"réexamen, m",esame,レビュー見直し,검토,"przegląd, m",reanálise,"преиспитивање, с јд",复审
901-04-06,correction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-06,oprava,"Korrektur, f",correction,,korjaus,"correction, f",correzione,訂正,정정교정,"poprawka, f",correção,"исправка, ж јд",勘误
901-04-07,amendment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-07,změna,"Änderung, f",amendment,,muutos,"amendement, m",variante,修正,수정,"zmiana, f",emenda,"измена, ж јд",修正
901-04-08,revision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-08,revize,"Überarbeitung, f",revision,,uudistus,"révision, f",revisione,改正改訂,개정,"nowelizacja, f",revisão,"ревизија, ж јд",修订
901-04-09,reprint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-09,dotisk,"Nachdruck, m",reprint,,lisäpainos,"réimpression, f",ristampa,リプリント増刷,재판,"dodruk, m",reimpressão,"поновљено издање, с јд",重印
901-04-10,new edition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-04-10,nové vydání,"Neuausgabe, fNeuherausgabe, f",new edition,,uudistettu painos,"nouvelle édition, f",nuova edizione,新版,신판,"nowe wydanie, n",nova edição,"ново издање, с јд",新版本
901-05-01,provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-01,ustanovení,"Festlegung, f",provision,,säännös,"disposition, f",disposizione,規程記述事項,조항,"postanowienie, n",disposição,"одредба, ж јд",条款
901-05-02,statement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-02,sdělení,"Angabe, f",statement,,toteamus,"énoncé, m",dichiarazione,記述事項説明事項,기술사항설명사항,"stwierdzenie, n",enunciado,"исказ, м јд",陈述
901-05-03,instruction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-03,instrukce,"Anweisung, f",instruction,,ohje,"instruction, f",istruzione,指示事項,지시사항,"instrukcja, f",instrução,"инструкција, ж јд",指示
901-05-04,recommendation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-04,doporučení,"Empfehlung, f",recommendation,,suositus,"recommandation, f",raccomandazione,推奨事項,권고사항,"zalecenie, n",recomendação,"препорука, ж јд",推荐
901-05-05,requirement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-05,požadavek,"Anforderung, f",requirement,,vaatimus,"exigence, f",prescrizione,要求事項,요구 사항,"wymaganie, n",requisito,"захтев, м јд",要求
901-05-06,exclusive requirement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-06,povinný požadavek,"ausschließliche Anforderung, funbedingte Anforderung, fABGELEHNT: verbindliche Anforderung, f",exclusive requirementDEPRECATED: mandatory requirement,,ehdoton vaatimus,"exigence nécessaire, fDÉCONSEILLÉ: exigence obligatoire, f",prescrizione esclusiva,必須要求事項,필수 요구사항,"wymaganie bezwzględne, n",requisito necessárioDESACONSELHADO: requisito obrigatório,"изричит захтев, м јдобавезан захтев, м јд",必达要求
901-05-07,optional requirement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-07,volitelný požadavek,"wahlweise Anforderung, fbedingte Anforderung, f",optional requirement,,valinnainen vaatimus,"exigence facultative, f",prescrizione facoltativa,選択可能な要求事項条件的要求事項,선택 요구사항,"wymaganie opcjonalne, n",requisito opcional,"опциони захтев, м јд",可选要求
901-05-08,deemed-to-satisfy provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-08,ustanovení k dosažení souladu,"als ausreichend erachtete Festlegung, f",deemed-to-satisfy provision,,vaatimuksentäyttösäännös,"disposition réputée satisfaire à, f",disposizione che dà presunzione di conformità ad un requisito,みなし記述事項,대안 조항,"postanowienie o zgodności, n",disposição considerada satisfatória,"одредба за начин задовољења захтева, ж јд",权宜性条款
901-05-09,descriptive provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-09,popisné ustanovení,"beschreibende Festlegung, f",descriptive provision,,ominaisuussäännös,"disposition descriptive, f",disposizione descrittiva,特性記述事項,설명조항,"postanowienie opisowe, n",disposição descritiva,"описна одредба, ж јд",描述性条款
901-05-10,performance provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-10,ustanovení o funkčnosti,"funktionelle Festlegung, f",performance provision,,toimivuussäännös,"disposition de performance, f",disposizione di prestazione,動作記述事項,성능 조항,"postanowienie użytkowe, n",disposição de desempenho,"одредба за перформансу, ж јд",性能条款
901-05-11,"body, <of a normative document>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-11,"hlavní část, <normativního dokumentu>","Hauptteil, <eines normativen Dokuments> m","body, <of a normative document>",,pääsisältö,"corps, <d'un document normatif> m","corpo , <di un documento normativo>","本体, <規範文書の>","본문, <규범문서>","część podstawowa, <dokumentu normatywnego> f","corpo, <de um documento normativo>","основни део, <нормативног документа> м јд","主体, <规范性文件的>"
901-05-12,additional element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-05-12,doplňkový prvek,"ergänzender Bestandteil, mZusatzelement, <eines normativen Dokuments> n",additional element,,lisäosa,"élément complémentaire, m",elemento aggiuntivo,付加的要素,추가요소,"element uzupełniający, m",elemento complementar,"додатни елемент, м јд",附加要素
901-06-01,"harmonized standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-01,harmonizované normyekvivalentní normy,"harmonisierte Normen, f pl","harmonized standards, plequivalent standards, pl",,harmonisoidut standardit,"normes harmonisées, f plnormes équivalentes, f pl",norme armonizzate,整合規格,조화 표준,"normy zharmonizowane, f pl",normas harmonizadasnormas equivalentes,"хармонизовани стандарди, м мнеквивалентни стандарди, м мн",协调标准
901-06-02,"unified standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-02,unifikované normy,"vereinheitlichte Normen, f pl","unified standards, pl",,yhtäpitävät standardit,"normes unifiées, f pl",norme unificate,内容一致規格,통일 표준,"normy ujednolicone, f pl",normas unificadas,"унифицирани стандарди, м мн",一致标准
901-06-03,"identical standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-03,identické normy,"identische Normen, f pl","identical standards, pl",,identtiset standardit,"normes identiques, f pl",norme identiche,一致規格,동등 표준,"normy identyczne, f pl",normas idênticas,"идентични стандарди, м мн",等同标准
901-06-04,"internationally harmonized standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-04,mezinárodně harmonizované normy,"international harmonisierte Normen, f pl","internationally harmonized standards, pl",,kansainvälisesti harmonisoidut standardit,"normes harmonisées au niveau international, f pl",norme armonizzate internazionali,国際整合規格,국제 조화 표준,"normy zharmonizowane międzynarodowo, f pl",normas harmonizadas a nível internacional,"међународно хармонизовани стандарди, м мн",国际协调标准
901-06-05,"regionally harmonized standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-05,regionálně harmonizované normy,"regional harmonisierte Normen, f pl","regionally harmonized standards, pl",,alueellisesti harmonisoidut standardit,"normes harmonisées au niveau régional, f pl",norme armonizzate regionali,地域整合規格,지역 조화 표준,"normy zharmonizowane regionalnie, f pl",normas harmonizadas a nível regional,"регионално хармонизовани стандарди, м мн",区域协调标准
901-06-06,"multilaterally harmonized standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-06,mnohostranně harmonizované normy,"multilateral harmonisierte Normen, f pl","multilaterally harmonized standards, pl",,monenkeskisesti harmonisoidut standardit,"normes harmonisées multilatéralement, f pl",norme armonizzate multilaterali,多団体整合規格,다자간 조화 표준,"normy zharmonizowane wielostronnie, f pl",normas harmonizadas multilateralmente,"мултилатерално хармонизовани стандарди, м мн",多边协调标准
901-06-07,"bilaterally harmonized standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-07,dvoustranně harmonizované normy,"bilateral harmonisierte Normen, f pl","bilaterally harmonized standards, pl",,kahdenkeskisesti harmonisoidut standardit,"normes harmonisées bilatéralement, f pl",norme armonizzate bilaterali,二団体整合規格,양자간 조화 표준,"normy zharmonizowane dwustronnie, f pl",normas harmonizadas bilateralmente,"билатерално хармонизовани стандарди, м мн",双边协调标准
901-06-08,unilaterally aligned standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-08,jednostranně sladěná norma,"einseitig angeglichene Norm, f",unilaterally aligned standard,,yksipuolisesti mukautettu standardi,"norme alignée unilatéralement, f",norme allineate unilateralmente,一方向対応規格,일방 조정 표준,"norma dostosowana jednostronnie, f",norma alinhada unilateralmente,"једнострано повезан стандард, м јд",单边调整标准单向一致标准
901-06-09,"comparable standards, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-09,srovnatelné normy,"vergleichbare Normen, f pl","comparable standards, pl",,vertailukelpoiset standardit,"normes comparables, f pl",norme comparative,比較可能規格,비교 표준,"normy porównywalne, f pl",normas comparáveis,"упоредиви стандарди, м мн",可比标准
901-06-10,"taking over an international standard,  <in a national normative document>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-10,"převzetí mezinárodní normy, <do národního normativního dokumentu>","Übernahme einer internationalen Norm, <in ein nationales normatives Dokument> f","taking over an international standard,  <in a national normative document>",,"kansainvälisen standardin omaksuminen, <kansalliseen normatiiviseen asiakirjaan>","reprise d'une norme internationale, <dans un document normatif national> f","recepimento di una norma internazionale, <in un documento normativo nazionale>","国際規格の取込み, <国家規範文書への>","국제표준채용, <국가규범문서>","wprowadzenie normy międzynarodowej, <do krajowego dokumentu normatywnego> n","incorporação de uma norma internacional, <num documento normativo nacional>","преузимање међународног стандарда, <у национални нормативни документ> с јд","采用国际标准, <在国家规范性文件中>"
901-06-11,application of a normative document,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-06-11,používání normativního dokumentu,"Verwendung eines normativen Dokuments, f",application of a normative document,,normatiivisen asiakirjan soveltaminen,"application d'un document normatif, f",applicazione di un documento normativo,規範文書の適用,규범문서 적용,"stosowanie dokumentu normatywnego, n",aplicação de um documento normativo,"примена нормативног документа, ж јд",规范性文件的应用
