term_id,term,term_url,ar,de,en,es,fi,fr,ja,ko,pl,pt,sr,zh
904-01-14,environmentally conscious design tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-14,أداة تصميم واعي بيئياً,"Werkzeug für das umweltbewusste Gestalten, n",environmentally conscious design tool,herramienta de diseño respetuoso con el medioambiente,ympäristötietoisen suunnittelun työkaluECD-työkalu,"outil d’éco-conception, m",環境配慮設計ツール,친환경적 설계 도구,"narzędzie projektowania proekologicznego, n",ferramenta de projeto ambientalmente conscienteferramenta de ecodesign,"алат за пројектовање са свешћу о животној средини, м јд",环境意识设计工具
904-01-15,environmental management system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-15,إدارة التصميم البيئي,"Umweltmanagementsystem, nUMS",environmental management systemEMS,sistema de gestión medioambiental,ympäristöjärjestelmä,"système de management environnemental, mSME, m",環境マネジメントシステム,환경 경영 체제환경 관리 시스템,"system zarządzania środowiskowego, mEMS",sistema de gestão ambiental,"систем менаџмента животном средином, м јдEMS",环境管理体系
904-01-17,end of life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-17,نهاية الدورة العمرية,"Ende der Lebensdauer, n",end of life,fin de vida,käytöstä poistaminen,"fin de vie, m",寿命末期耐用年数の終わり,수명 기한수명 말기,"koniec cyklu życia, <wyrobu> mkoniec życia, <wyrobu> m",fim de vida,"крај животног века, м јд",生命末期
904-01-18,life cycle assessment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-18,تقييم الدورة العمرية,"Ökobilanz, fLCA",life cycle assessmentLCA,evaluación del ciclo de vida,elinkaariarviointi,"analyse du cycle de vie, fACV, f",ライフサイクルアセスメント,전 과정 평가생명주기 평가,"ocena cyklu życia, fLCA",análise do ciclo de vida,"оцењивање животног циклуса, с јдLCA",生命周期评价
904-01-19,life cycle stage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-19,مرحلة الدورة العمريةطور الدورة العمرية,"Lebenswegabschnitt, m",life cycle stagelife cycle phase,estado del ciclo de vida,elinkaaren vaihe,"phase du cycle de vie, f",ライフサイクルステージ,생명주기 단계수명주기 단계,"etap cyklu życia, <wyrobu> m",etapas do ciclo de vida,"фаза животног циклуса, ж јд",生命周期阶段
904-01-20,life cycle thinking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-20,التفكير في الدورة العمرية,"Lebenszyklusdenken, nLCT",life cycle thinkingLCT,consideración del ciclo de vida,elinkaariajattelu,"approche du cycle de vie, fLCT, f",ライフサイクル思考,생명주기 사고,"myślenie w kategoriach cyklu życia, nLCT",conceito de ciclo de vida,"мишљење о животном циклусу, с јдLCT",生命周期理念
904-02-01,substance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-01,مادة,"Stoff, mSubstanz, f",substance,sustancia,aine,"substance, f",物質,물질,"substancja, f",substância,"супстанца, ж јд",物质
904-02-03,matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-03,مصفوفةقالب,"Matrix, f",matrix,matriz,matriisi,"matrice, f",マトリクス,주물질모체매트릭스,"matryca, f",matriz,"матрикс, м јд",基体
904-02-04,substance group,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-04,مجموعة المواد,"Stoffgruppe, f",substance group,grupo de sustancias,aineryhmä,"groupe de substances, m",物質群,물질군,"grupa substancji, f",grupo de substâncias,"група супстанци, ж јд",物质组
904-02-05,declarable substance and declarable substance group,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-05,المادة المعلن عنها ومجموعة المادة المعلن عنها,"deklarationspflichtiger Stoff und deklarationspflichtige Stoffgruppe, pl",declarable substance and declarable substance group,sustancia declarable y grupo de sustancias declarable,raportoitava aine ja raportoitavien aineiden ryhmä,"substance déclarable et groupe de substances déclarable, m",報告すべき物質及び報告すべき物質群,신고 물질 및 신고 물질군,"substancja deklarowana, fgrupa substancji deklarowanych, f",substância declarável e grupo de substâncias declarável,"декларисана супстанца и декларисана група супстанци, ж јд",声明物质和声明物质组
904-02-06,hazardous mixture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-06,خليط خطر,"gefährdende Mischung, f",hazardous mixture,mezcla peligrosa,vaarallinen seos,"mélange dangereux, m",有害混合物,유해혼합물,"mieszanina szkodliwa, f",mistura perigosa,"опасна мешавина, ж јд",有害混合物
904-02-07,screening,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-07,فحصفلترةتصفيةغربلة,"Screening, n",screening,monitoreo,seulonta,"détection, f",スクリーニング,검사골라내기,"badanie przesiewowe, nskrining, m",deteção,"скрининг, м јд",筛选
904-02-08,reporting threshold level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-08,مستوى عتبة التسجيل,"berichtspflichtiger Schwellenwert, m",reporting threshold level,nivel umbral de información,raportointikynnys,"niveau de seuil de déclaration, m",報告閾値レベル,보고 임계치 레벨,"odnotowany poziom progowy, mstężenie progowe obowiązkowego deklarowania, n",limiar de nível declarado,"праг извештавања, м јд",申报阈值
904-02-09,performance-based measurement system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-02-09,نظام قياس قائم على الأداء,"leistungsabhängiges Messsystem, nPBMS",performance-based measurement systemPBMS,sistema de medición basado en rendimiento,suorituskykyyn perustuva mittausjärjestelmä,"système de mesure basé sur les performances, mSMBP, m",実績ベースマネジメントビジネス,성능기반 측정시스템,"system pomiarowy oparty na pomiarze wydajności, mPBMS",sistema de medição baseado no desempenho,"систем мерења заснован на перформансама, м јдPBMS",基于性能的评价系统
904-03-01,power management,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-01,إدارة القدرة,"Leistungsmanagement, n",power management,gestión de potencia,tehonhallinta,"gestion de l’énergie, f",電力管理,전력 관리,"mechanizm sterujący poborem mocy, msterowanie poborem mocy, n",gestão de energia,"менаџмент снагом, м јд",电源管理
904-03-02,primary function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-02,وظيفة أولية,"Primärfunktion, f",primary function,función primaria,päätoiminto,"fonction primaire, f",一次機能,일차 기능,"funkcja podstawowa, <urządzenia technicznego> f",função primária,"примарна функција, ж јд",主要功能
904-03-03,secondary function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-03,وظيفة ثانوية,"Sekundärfunktion, f",secondary function,función secundaria,lisätoiminto,"fonction secondaire, f",二次機能,이차 기능,"funkcja drugorzędna, <wspomagająca funkcję podstawową> f",função secundária,"секундарна функција, ж јд",辅助功能
904-03-04,tertiary function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-04,وظيفة إضافية,"Tertiärfunktion, f",tertiary function,función terciaria,tertiääritoiminto,"fonction tertiaire, f",三次機能,삼차 기능,"funkcja trzeciorzędna, f",função terciária,"терцијарна функција, ж јд",第三功能
904-03-05,protective function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-05,وظيفة وقائية,"Schutzfunktion, f",protective function,función de protección,suojaustoiminto,"fonction de protection, f",保護機能,보호 기능,"zabezpieczenie, n",função de proteção,"заштитна функција, ж јд",保护功能
904-03-06,reactivation function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-06,وظيفة إعادة تنشيط,"Reaktivierungsfunktion, f",reactivation function,función de reactivación,uudelleenaktivointitoiminto,"fonction de réactivation, f",再活性化機能,재활성화 기능,"funkcja reaktywująca, ffunkcja ponownej aktywacji, f",função de reativação,"функција реактивације, ж јд",再激活功能
904-03-07,status information function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-07,وظيفة الحالة المعلوماتية,"Zustandsinformationsfunktion, f",status information function,función de información del estado,tilatietotoiminto,"fonction d’information d’état, f",ステータス情報機能,상태정보 기능,"funkcja informująca o stanie, <urządzenia> ffunkcja określania stanu, f",função de informação de estado,"функција информације о статусу, ж јд",状态指示功能
904-03-08,network integrity function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-08,وظيفة تكامل الشبكة,"Netzintegritätsfunktion, f",network integrity function,función de integridad de la red,verkon eheystoiminto,"fonction d’intégrité du réseau, f",ネットワークインテグリティ機能,망무결성 기능,"funkcja integralności sieciowej, ffunkcja utrzymująca integralność sieci, f",função de integridade da rede,"функција интегритета мреже, ж јд",网络完整性功能
904-03-09,mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-09,نمط,"Modus, mBetriebsart, fMode, m",mode,modo,tila,"mode, m",モード,상태모드,"tryb, <systemu> m warunki działania, <systemu> pl m",modo,"режим, м јдмод, м јд",模式
904-03-10,on mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-10,داخل النمط,"ein-Modus, mBetriebsart EIN, f",on mode,modo encendido,päällä-tila,"mode de marche, m",オンモード,작동상태,"tryb działania, <systemu> m tryb aktywny, <systemu> m",modo ligado,"укључено, придев",开机模式
904-03-11,partial on mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-11,داخل نمط جزئى,"Teilweise-ein-Modus, mBetriebsart teilweise EIN, f",partial on mode,modo encendido parcial,osittain päällä -tila,"mode de marche partielle, m",部分的オンモード,부분 작동상태,"tryb funkcji drugorzędnej systemu, mtryb działania drugorzędny, m",modo ligado parcial,"делимично укључено, придев",局部开机模式
904-03-12,off mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-12,خارج النمط,"aus-Modus, mBetriebsart AUS, f",off mode,modo apagado,poissa päältä -tilapoissa-tila,"mode d’arrêt, m",オフモード,비작동상태,"tryb funkcji trzeciorzędnej systemu, m",modo de paragem,"искључено, придев",关机模式
904-03-13,operation mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-13,نمط تشغيل,"Betriebsmodus, mBetriebsart „Betrieb“, f",operation mode,modo funcionamiento,toiminnassa-tila,"mode de fonctionnement, m",運転モード,운전모드운전 유형,"tryb działania podstawowy, <systemu> m tryb realizacji funkcji podstawowej, m",modo de operação,"режим рада, м јд",运行模式
904-03-14,idle mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-14,نمط خامل,"Ruhemodus, mLeerlauf, m",idle mode,modo inactivo,lepotila,"mode inactif, m",アイドルモード,유휴 모드,"tryb czuwania , <systemu> mtryb nieaktywny, m",modo de repouso,"мировање, с јд",空闲模式
904-03-15,"disconnected, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-03-15,"مفصول,  صفة","getrennt, Adjektiv","disconnected, adj","desconectado, adj",irtikytketty,"déconnecté, adj","接続切れ, 形容詞","단절된, 형용사비접속된, 형용사","odłączony, adj","desconectado, adj","прекинуто, придев",断开的
904-04-01,disassembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-01,التفكيك,"Demontage, f",disassembly,desmontaje,purkaminen,"démontage, m",分解,분해,"demontaż, <przejściowy>m",desmontagem,"демонтажа, ж јд",拆解
904-04-02,disjointment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-02,فصل المادة ميكانيكيا,"Zerlegung, f",disjointment,desunión,mekaaninen erottaminenmateriaalien mekaaninen erottaminen,"défabrication, f",解体,해체,"rozbiórka, fdemontaż, <trwały> m",desmantelamento,"раздвајање, с јдрастављање, с јд",拆分
904-04-03,energy recovery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-03,إستعادة الطاقة,"Energierückgewinnung, fenergetische Verwertung, f",energy recovery,recuperación de energía,energian talteenotto,"valorisation énergétique, f",エネルギー回収,에너지 회수,"odzysk energii, m",recuperação de energia,"искоришћење енергије, с јд",能量回收
904-04-05,mechanical recycling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-05,إعادة تدوير ميكانيكية,"mechanisches Recycling, nmechanische Materialrückgewinnung, f",mechanical recycling,reciclado mecánico,mekaaninen kierrätys,"recyclage mécanique, m",メカニカルリサイクル,기계적 재생이용,"recykling mechaniczny, m",reciclagem mecânica,"механичка рециклажа, ж јд",机械再生利用
904-04-06,organic recycling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-06,إعادة تدوير عضويةإعادة تدوير بيولوجية,"organisches Recycling, nbiologisches Recycling, n",organic recyclingbiological recycling,reciclado orgánico,orgaaninen kierrätys,"recyclage organique, mrecyclage biologique, m",有機リサイクル,유기적 재활용생물학적 재생이용,"recykling organiczny, mrecykling biologiczny, m",reciclagem orgânica,"органска рециклажа, ж јдбиолошка рециклажа, ж јд",有机再生利用生物再生利用
904-04-07,feedstock recycling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-07,إعادة تدوير المادة الأوليةإعادة تدويركيميائية,"rohstoffliche Verwertung, fchemisches Recycling, n",feedstock recyclingchemical recycling,reciclado de materias primas,kemiallinen kierrätys,"recyclage en matière première, mrecyclage chimique, m",原料リサイクル,원료 재생이용화학적 재생이용,"recykling materiałowy, mrecykling chemiczny, m",reciclagem de matéria-prima,"рециклажа технолошког шкарта, ж јдхемијска рециклажа, ж јд",给料再生利用化学再生利用
904-04-09,refurbishing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-09,إعادة إصلاح,"Sanierung, f",refurbishing,restauración,kunnostaminen,"remise en état, f",改修,개수일신,"odnawianie, nrenowacja, f",recondicionamento,"обнављање, с јд",翻新
904-04-10,remanufacture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-10,إعادة تصنيع,"Wiederaufbereitung, f",remanufacture,refabricación,uudelleenvalmistus,"refabrication, f",再製造,재제조재생,"wytwarzanie wtórne, nprodukcja wtórna, f",remanufatura,"репроизводња, ж јд",再制造
904-04-11,upgrading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-11,تحسين المنتج,"Aufrüstung, f",upgrading,actualización,päivittäminen,"amélioration, f",アップグレード,개량갱신,"udoskonalanie, n",melhoramento,"унапређење, с јд",升级
904-04-12,upgradability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-04-12,القابلية لتحسين المنتج,"Aufrüstbarkeit, f",upgradability,capacidad de actualización,päivitettävyys,"aptitude à l’évolution, f",アップグレード性,개량 가능성,"zdolność do udoskonalania, f",constituição ou funcionalidade reconfigurável,"способност унапређивања, ж јд",可升级性
