term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
811-02-01,rolling stock,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-01,أشياء متحركة متدحرجة,"Fahrzeugpark, m",rolling stock,material rodante,"matériel roulant, m",materiale rotabile,鉄道車両,철도 차량,"tabor, m pltabor trakcyjny, f",material circulantematerial rolante,机车车辆
811-02-03,motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-03,مركبة بمحرك,"Triebfahrzeug, n",motor vehicle,vehículo motor,"véhicule moteur, mDÉCONSEILLÉ: engin moteur, m",veicolo motore,"電気車, <動力車の>",자동차,"pojazd z napędem, mpojazd napędny, mpojazd motorowy, mpojazd silnikowy, m",veículo motor,动车
811-02-04,traction unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-04,وحدة جرّ,"Triebfahrzeugeinheit, f",traction unit,unidad de tracción,"unité motrice, f",mezzo di trazione,"トラクションユニット, <動力車の>",견인 장치,"jednostka trakcjna, f",unidade motoraunidade de tração,牵引单元
811-02-05,traction fleet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-05,أسطول جرّ,"Triebfahrzeugpark, m",traction fleet,parque motor,"parc de motrices, m",parco (dei mezzi) di trazione,トラクションフリート在籍動力車群,견인 차량,"park  pojazdów trakcyjnych, m plflota pojazdów trakcyjnych, f",parque motor,牵引车队
811-02-06,locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-06,قاطرة,"Lokomotive, f",locomotive,locomotora,"locomotive, f",locomotiva,機関車,기관차,"lokomotywa, f",locomotiva,机车
811-02-07,motor coach,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-07,حافلة بمحرك,"Triebwagen, m",motor coachmotor car,automotor,"automotrice, f",automotrice (se elettrica)elettromotrice,電動車,전동차,"wagon silnikowy, mwagon motorowy, mwagon napędny, m",automotora,电动客车
811-02-08,motor luggage van,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-08,مركبة أمتعة بمحرك,"Gepäcktriebwagen, m",motor luggage vanmotor baggage car,furgón automotor,"fourgon automoteur, m",bagagliaio,電動荷物車,수하물 동력차,"wagon silnikowy bagażowy, mwagon motorowy bagażowymotorowy wagon napędny",furgão automotor,电动行李车
811-02-09,train-unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-09,وحدة قطار,"Triebzug, m",train-unitmotor train-unit,unidad motora,"élément automoteur, m",unità di trazione,単位編成,열차단위편성단위,"jednostka pociągowa, f",unidade automotora,列车单元电动列车单元
811-02-10,trailer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-10,مقطورة,"Beiwagen, m",trailer,remolque,"remorque, f",rimorchio,付随車,트레일러,"wagon doczepny, m",reboqueatrelado,拖车
811-02-11,non-driving motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-11,مركبة بمحرك بدون سائق,"Triebfahrzeug ohne Führerraum, n",non-driving motor vehicle,vehículo motor sin cabina de conducción,"motrice sans cabine de conduite, f",automotrice senza cabina di guida,中間動力車,동력 객차동력차,"wagon silnikowy bez kabiny sterowniczej, m",motora sem cabina de condução,非控制动车
811-02-12,multiple unit train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-12,قطار متعدد الوحدات,"gekuppelter Triebwagenzug, m",multiple unit trainreversible motor coach train,tren de unidades múltiplescomposición automotriz reversible,"train à unités multiples, mrame automotrice réversible, f",treno automotore (con unità di trazione multiple),総括制御編成列車,다중 열차,"zepół trakcyjny dwukierunkowy, m",comboio de unidades múltiplasautomotora reversível,多单元列车可双向行驶的电动旅客列车
811-02-13,articulated unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-13,وحدة متصلة مفصلياً,"Gelenktriebwagen, m",articulated unit,unidad articulada,"rame articulée, f",unità di trazione articolata,連接車,연접 단위,"zespół przegubowy, mzespół z wagonami na wspólnych wózkach, m",unidade articuladaveículo articulado,铰接单元
811-02-14,driving trailer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-14,مقطورة بكابينة قيادة,"Steuerwagen, m",driving trailercontrol trailer,remolque con cabina,"voiture-pilote, fremorque à cabine de conduite, f",rimorchio pilota,制御車,구동차,"wagon doczepny z kabiną sterowniczą, mwagon sterowniczy bez napędu, m",reboque piloto,控制拖车
811-02-15,power car,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-15,عربة ذات قدرة محركة,"angetriebener Wagen, m",power car,coche motor,"motrice, f",motrice (anche tranviaria),動力車,동력차,"wagon silnikowy, mwagon z napędem",motora,动力车
811-02-16,push-pull train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-16,قطار يعمل فى الإتجاهين,"Wendezug, m",push-pull train,tren reversible,"train réversible, m",treno navettatreno reversibile,プッシュ・プル列車,푸시풀 열차,"pociąg push-pull, <pociąg z lokomotywą na końcu składu z możliwością jazdu w dwu kierunkach (w jednym sterowanie z kabiny w lokomotywie, w drugim z kabiny sterowniczej maszynisty znajdującej się w wagonie skrajnym na drugim końcu składu)> mpociag dwukierunkowy, m",comboio reversível,推挽式列车
811-02-17,shunting locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-17,قاطرة تحويل المسار (المناورة),"Rangierlokomotive, f",shunting locomotive,locomotora de maniobras,"locomotive de manoeuvre, f",locomotiva di manovra,入換機関車,입차 기관차,"lokomotywa manewrowa, f",locomotiva de manobra,调车机车
811-02-18,hump locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-18,قاطرة المسار المحدب,"Abdrücklokomotive, f",hump locomotive,locomotora para clasificar,"locomotive de butte, f",locomotiva di spinta per selle di lancio,ハンプ機関車,험프 기관차,"lokomotywa rozrządowa, f",locomotiva de triagem,驼峰机车
811-02-19,industrial locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-19,قاطرة صناعية,"Industrielokomotive, f",industrial locomotive,locomotora industrial,"locomotive industrielle, f",locomotiva (per servizio) industriale,産業用機関車,산업 기관차,"lokomotywa przemysłowa, f",locomotiva de serviço industrial,工矿机车
811-02-20,small-power locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-20,قطار دفع وسحب,"Kleinlokomotive, f",small-power locomotive,locomotora de pequeña potencia,"locotracteur, mlocomoteur, m",locotrattore,小出力機関車,소동력 기관차,"lokomotywa małej mocy, f",locotrator,小功率机车
811-02-21,mine locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-21,قاطرة مناجم,"Grubenlokomotive, f",mine locomotive,locomotora de mina,"locomotive de mine, f",locomotiva di miniera,鉱山用機関車,광산 기관차,"lokomotywa koplaniana, f",locomotiva de mina,矿井机车
811-02-22,barge tractor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-22,جرار السفن و البوارج,"Treidellokomotive, f",barge tractor,locomotora para sirga,"locomotive de halage, ftracteur de halage, m",locomotiva di alaggio,えい船用機関車,선박견인 기관차,"lokomotywa holownicza, fciągnik holowniczy, m",locomotiva de sirga,拖船牵引车
811-02-23,twin motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-23,مركبة بمحركيين,"Doppeltriebfahrzeug, n",twin motor vehicle,vehículo motor doble,"véhicule moteur double, m",mezzo di trazione doppioveicolo motore doppio,2両ユニット電気車,2량 고정 전동차,"pojazd silnikowy podwójny ukrotniony nierozłączalny, mpojazd trakcyjny podwójny w trakcji ukrotnionej, m",unidade motora dupla,双联动车
811-02-24,triple motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-24,مركبة بثلاثة محركات,"Dreifachtriebfahrzeug, n",triple motor vehicle,vehículo motor triple,"véhicule moteur triple, m",mezzo di trazione triploveicolo motore triplo,3両ユニット電気車,3량 고정 전동차,"pojazd silnikowy ukrotniony potrójny zespolony nierozłączalny, mpojazd motorowy w trakcji ukrotnionej potrójny, m",unidade motora tripla,三联动车
811-02-25,DC motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-25,مركبة بمحرك تيار مستمر,"Gleichstromtriebfahrzeug, n",DC motor vehicle,vehículo motor de corriente continua,"véhicule moteur а courant continu, m",mezzo di trazione a corrente continuaveicolo motore a corrente continua,直流電気車,직류 전동차,"pojazd silnikowy zasilany z sieci napiecia stałego, mpojazd silnikowy zasilany z sieci DC, m",veículo motor de corrente contínua,直流动车
811-02-26,single-phase AC motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-26,مركبة بمحرك تيار متردد أحادي الطور,"Einphasen-Wechselstromtriebfahrzeug, n",single-phase AC motor vehicle,vehículo motor de corriente alterna monofásico,"véhicule moteur monophasé, m",mezzo di trazione monofaseveicolo motore monofase,単相交流電気車,단상 교류 전동차,"pojazd silnikowy zasilany napięciem jednofazowym prądu przemiennego, m",veiculo motor monofásico,单相交流动车
811-02-27,three-phase AC motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-27,مركبة بمحرك تيار متردد ثلاثي الطور,"Drehstromtriebfahrzeug, n",three-phase AC motor vehicle,vehículo motor de corriente alterna trifásico,"véhicule moteur triphasé, m",mezzo di trazione trifaseveicolo motore trifase,三相交流電気車,삼상 교류 전동차,"pojazd silnikowy zasilany napięciem trójfazowym prądu przemiennego, m",veículo motor trifásico,三相交流动车
811-02-28,dual voltage motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-28,مركبة بمحرك ثنائي الجهد,"Zweispannungstriebfahrzeug, n",dual voltage motor vehicle,vehículo motor bitensión,"véhicule moteur bi-tension, m",mezzo di trazione bitensioneveicolo motore bitensione,複電圧電気車,이중 전압 전동차,"pojazd silnikowy dwunapięciowy, mpojazd motorowy z możliwością zasilania tym samym rodzajem napięcia ale o różnej wartości, m",veículo motor bitensão,双电压制式动车双电压制动车
811-02-29,dual frequency motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-29,مركبة بمحرك ثنائي التردد,"Zweifrequenztriebfahrzeug, n",dual frequency motor vehicle,vehículo motor bifrecuencia,"véhicule moteur bi-fréquence, m",mezzo di trazione bifrequenzaveicolo motore bifrequenza,複周波数電気車,이중 주파수 전동차,"pojazd silnikowy dwuczęstotliwościowy, mpojazd silnikowy  z możliwością zasilania (pracy) przy napięciu o 2 różnych  częstotliwościach, mpojazd motorowy z możliwością pracy przy dwu częstotliwościach napięcia zasilania, m",veículo motor bifrequência,双频制式动车双频制动车
811-02-30,dual system motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-30,مركبة بمحرك ثنائي النظام,"Zweisystemtriebfahrzeug, n",dual system motor vehicle,vehículo motor bicorriente,"véhicule moteur bi-courant, m",mezzo di trazione con doppio sistema di alimentazioneveicolo motore con doppio sistema di alimentazione,"継鉄, <変圧器、電磁石、継電器又は他の装置>磁気枠",이중 시스템 전동차,"pojazd silnikowy dwusystemowy, <odnosi się do 2 rodzajów napięcia zasilania> m",veículo motor bicorrente,双电流制式动车双电流制动车
811-02-31,multi-system motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-31,مركبة بمحرك متعدد الأنظمة,"Mehrsystemtriebfahrzeug, n",multi-system motor vehicle,vehículo motor policorriente,"véhicule moteur polycourant, m",mezzo di trazione con sistema di alimentazione multiploveicolo motore con sistema di alimentazione multiplo,多電源方式電気車,다중 시스템 전동차,"pojazd silnikowy wielosystemowy, <odnosi się do wielu rodzajów napięcia zasilania w sieci trakcyjnej> m",veículo motor policorrente,多制式动车
811-02-32,diesel-electric motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-32,مركبة بمحرك كهربائي-ديزل,"dieselelektrisches Triebfahrzeug, n",diesel-electric motor vehicle,vehículo motor diesel- eléctrico,"véhicule moteur diesel-électrique, m",mezzo di trazione diesel elettricoveicolo motore diesel elettrico,電気式ディーゼル車両,디젤 전동차,"pojazd silnikowy  z przekladnią spalinowo-elektryczną, mpojazd silnikowy spalinowo-elektryczny, mpojazd motorowy generatorem diesla i napędem elektrycznym, m",veículo motor diesel-elétrico,电传动内燃动车
811-02-33,"turbine motor vehicle, <electric transmission>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-33,"مركبة بمحرك توربينى, <فى نقل الكهرباء>","Turbinentriebfahrzeug, <elektrische Übertragung> n","turbine motor vehicle, <electric transmission>","vehículo motor con turbina, <transmisión eléctrica>","véhicule moteur à turbine, <à transmission électrique> m","mezzo di trazione a turbina, <a trasmissione elettrica>veicolo motore a turbina","タービン式車両, <電気式>","터빈 전동차, <전기 전송>","pojazd silnikowy turbinowy, mpojazd napędzany turbiną, m","veículo motor de turbina, <com transmissão elétrica>","燃气轮动车, <电传动>"
811-02-34,rack motor vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-34,مركبة بمحرك يعمل على جريدة مسننة,"Zahnradtriebfahrzeug, n",rack motor vehicle,vehículo motor cremallera,"véhicule moteur à crémaillère, m",mezzo di trazione a cremaglieraveicolo motore a cremagliera,ラック式電気車,래크 전동차,"pojazd z napędem zębatkowym, mpojazd motorowy z zębatką, m",veículo motor de cremalheira,齿轨动车
811-02-35,coupled-axle locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-35,قاطرة بمحاور متقارنة,"Lokomotive mit gekuppelten Radsätzen, f",coupled-axle locomotive,locomotora de ejes acoplados,"locomotive à essieux accouplés, f",locomotiva ad assi accoppiati,駆動軸連結式機関車,결합 축 기관차,"lokomotywa o sprzężonych osiach, flokomotywa ze sprzężonymi osiami, f",locomotiva de eixos acopladoslocomotiva de eixos conjugados,联轴传动机车
811-02-36,individual axle drive locomotive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-36,قاطرة بمحور قيادة منفرد,"Lokomotive mit Einzelradsatzantrieb, f",individual axle drive locomotive,locomotora de ejes independientes,"locomotive à essieux indépendants, f",locomotiva ad assi indipendenti,駆動軸非連結式機関車,개별 축 구동 기관차,"lokomotywa z indywidualnym napędem na osie, flokomotywa o osiach napędzanych indywidualnie, f",locomotiva de eixos independentes,独立轴传动机车
811-02-37,magnetically supported vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-37,مركبة تعمل مغناطيسياً,"Magnetschwebefahrzeug, n",magnetically supported vehiclemaglev,vehículo de sustentación magnética,"véhicule à sustentation et guidage électromagnétiques, m",veicolo a sospensione e guida (elettro)magnetica,磁気浮上式車両,자기 지지차,"pojazd unoszony magnetycznie, mpojazd na poduszce magnetycznej, m",veículo de sustentação magnética,磁悬浮车
811-02-38,air-cushion vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-38,مركبة بوسادة هوائية,"Luftkissenfahrzeug, n",air-cushion vehicle,vehículo de sustentación neumática,"véhicule à coussin d'air, mvéhicule à sustentation et guidage pneumatiques, m",veicolo a cuscino d’aria,空気浮上式車両,공기 부상 차공기 부양 선,"pojazd na poduszce powietrznej, m",veículo de almofada de arveículo de sustentação pneumática,气垫车
811-02-39,inertia storage vehicle by a flywheel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-39,مركبة تعمل بالقصور الذاتى المخزن بعجلة توازن,"Schwungradfahrzeug, n",inertia storage vehicle by a flywheel,vehículo de volante de inercia,"véhicule à volant d'inertie, m",veicolo con accumulatore a volano,フライホイール式の慣性蓄積車両,관성 저장차,"pojazd z zasobnikiem wirującym, mpojazd z zasobnikiem bezwładnikowym, m",veículo com volante de inércia,飞轮惯性储能车
811-02-40,battery-electric road vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-40,مركبة طرق تعمل ببطارية و كهرباء,"Elektrobus, mbatterieelektrischer Bus, m",battery-electric road vehicle,electrobús,"véhicule routier électrique, m",veicolo stradale ad accumulatoriveicolo stradale con batterie,蓄電池式道路走行車両,축전지 전기 도로차,"drogowy pojazd akumulatorowy, msamochód akumulatorowy, m",veículo elétrico rodoviário,蓄电池道路车辆
811-02-41,electric tramcar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-41,عربة ترام كهربائية,"Straßenbahntriebwagen, m",electric tramcarstreet-car,"tranvía, <vehículo>","tramway électrique, m",tramveicolo tranviario,路面電車,전기 노면전차,"wagon tramwajowy elektryczny, mwagon tramwajowy, m",carro elétrico,有轨电车
811-02-42,electric tramway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-42,خط ترام كهربائي,"Straßenbahn, f",electric tramway,"tranvía, <modo de transporte>","tramway électrique, <mode de transport> m",sistema tranviariotranvia,路面電車方式,전기 노면 전차전기 노면 전차시스템,"tramwaj elektryczny, m","carro elétrico, <modo de transporte>",有轨电车运输方式
811-02-43,"trolleybus, <vehicle>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-43,"حافلة كهربائية, <فى مركبة>","Obus, m","trolleybus, <vehicle>","trolebús, <vehículo>","trolleybus, <véhicule> m","filobus, <veicolo>","トロリ－バス, <関連エントリー: IEV 811-02-48>無軌条電車","트롤리 버스, <자동차>무궤도 전차, <자동차>","trolejbus, m",tróleitroleicarro,"无轨电车, <车辆，相关条目：IEV 811-02-48>"
811-02-44,driver's cab,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-44,قمرة السائق / كابينة قيادة,"Führerraum, m",driver's cab,cabina de conducción,"cabine de conduite, f",cabina di guida,運転室,운전자 차내,"kabina sterownicza, fkabina maszynisty/motorniczego, f",cabina de condução,司机室
811-02-45,driving position,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-45,مركز القيادة,"Führerstand, m",driving position,puesto de conducción,"poste de conduite, m",posto di guida,運転台,구동 위치,"stanowisko sterownicze, n",posto de condução,司机台
811-02-46,shunting control position,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-46,مركز التحكم بالمناورة,"Rangierführerstand, m",shunting control position,puesto de conducción auxiliar,"poste de conduite auxiliaire, m",posto di guida ausiliario,簡易運転台,입환 제어 위치,"stanowisko sterownicze do pracy rozrządczej, n","posto de condução auxiliar, <em manobras>",调车控制台
811-02-47,guard's position,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-47,مركز المراقبة,"Begleiterraum, m",guard's position,puesto de control,"poste de l’agent auxiliaire, m",posto di controllo,車掌台,안내 위치,"stanowisko sterownicze potrzeb nietrakcyjnych,  nstanowisko sterownicze odbiorów nietrakcyjnych, n",posto de comando dos auxiliares,监护台
811-02-48,"trolleybus, <transport system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-02-48,"حافلة كهربائية, <فى نظام نقل>","Obus-System, n","trolleybus, <transport system>","trolebús, <modo de transporte>","trolleybus, <mode de transport> m",,"トロリ－バス, <輸送システムの> <関連エントリー: IEV 811-02-43>","트롤리 버스, <운송 시스템>무궤도 전차, <자동차>","trolejbus, m","trólei, <modo de transporte>","无轨电车, <运输系统，相关条目：IEV 811-02-43>"
811-03-01,"traffic, <in railways>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-01,"حركة المرور, <فى السكة الحديد>","Verkehr, <Bahnverkehr> m","traffic, <in railways>",tráfico,"trafic, <en ferroviaire> m","traffico, <ferroviario>",輸送量,"교통량, <철도>","ruch, m",tráfego,"运量, <铁路>"
811-03-02,total gross traffic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-02,إجمالى حركة المرور الكلية,"Gesamtbruttoverkehr, m",total gross traffic,tráfico bruto total,"trafic brut total, m",traffico lordo totale,総輸送量,총 교통량,"całkowita praca przewozowa brutto, f",tráfego bruto total,总运量
811-03-03,gross traffic hauled,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-03,إجمالى حركة المرور للشحن,"Bruttoverkehr, m",gross traffic hauled,tráfico bruto remolcado,"trafic brut remorqué, m",traffico lordo rimorchiato,"総けん引質量, <関連エントリー: IEV 811-03-08>",총 견인 교통량,"praca przewozowa pociągowa brutto, f",tráfego bruto rebocado,牵引总运量
811-03-04,net traffic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-04,صافى حركة المرور,"Nettoverkehr, m",net traffic,tráfico neto,"trafic utile, m",traffico netto,実輸送量,순 교통량,"praca przewozowa netto, f",tráfego útil,净运量
811-03-05,"payload, <of a train>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-05,"حمل مدفوع الأجر, <لقطار>","Nutzlast, <eines Zugs> f","payload, <of a train>","carga útil, <de un tren>","charge utile, <d'un train> f","carico utile, <di un treno>",有償輸送質量,"유료 하중, <열차>","ładunek pociągu, mładunek handlowy pociągu, m","carga útil, <de um comboio>","营业载重, <列车的>"
811-03-06,"normal load, <of a train-unit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-06,"حمل عادى, <لوحدة قطار>","Normallast, <eines Triebzugs> f","normal load, <of a train-unit>","carga normal, <de una unidad motora>","charge normale, <d'un élément automoteur> f","carico normale, <di un’unità di trazione>",標準載荷質量,"정상 재하, <열차 단위>정상 하중, <열차 단위>","ładunek nominalny, m","carga normal, <de uma unidade automotora>","标记载重, <列车单元的>"
811-03-07,"crush load, <of a train-unit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-07,"حمل إستثنائي, <لوحدة قطار>","maximale Zuladung, <eines Triebzugs> f","crush load, <of a train-unit>","carga excepcional, <de una unidad motora>","charge exceptionnelle, <d'un élément automoteur> f","carico massimo, <di un’unità di trazione>",限界載荷質量,"한계 하중, <열차 단위>","ładunek maksymalny, m","carga excecional, <de uma unidade automotora>","极限载重, <列车单元的>"
811-03-08,trailing load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-08,حمل زائد,"Zuglast, fBrutto-Anhängelast, f",trailing loadgross load hauled,"carga bruta remolcada, <de un tren>","charge d'un train, fcharge brute remorquée, f",massa (lorda) rimorchiata,"総けん引質量, <関連エントリー: IEV 811-03-03>",견인 하중,"masa ciągniona pociągu, f",carga bruta rebocada,牵引总重
811-03-09,"total gross load, <of a train>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-09,"حمل إجمالي كلي, <لقطار>","Gesamtbruttogewicht, <eines Zugs> n","total gross load, <of a train>","carga máxima, <de un tren>","charge brute totale, <d'un train> f","massa (lorda) totale, <di un treno>","総質量, <列車の>","총 중량, <열차>","masa całkowita brutto, f","carga bruta total, <de um comboio>","总重, <列车的>"
811-03-10,"normal load, <of a motor vehicle>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-10,"حمل عادى, <لمركبة بمحرك>","Normallast, <eines Triebfahrzeugs> f","normal load, <of a motor vehicle>","carga normal, <de un vehículo motor>","charge normale, <d'un véhicule moteur> f","massa rimorchiabile normale, <di un veicolo motore>",電気車の標準質量,운용 하중,"ładunek nominalny, m","carga normal, <de um veículo motor>","标记载重, <动车的>"
811-03-11,"maximum load, <of a motor vehicle>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-03-11,"أقصى حمل, <لمركبة بمحرك>","Höchstlast, <eines Triebfahrzeugs> f","maximum load, <of a motor vehicle>","carga máxima, <de un vehículo motor>","charge maximale, <d'un véhicule moteur> f","massa rimorchiabile massima, <di un veicolo motore>",電気車の最大質量,최대 하중,"ładunek maksymalny, m","carga máxima rebocável, <de um veículo motor>","最大牵引总重, <动车的>"
811-04-01,empty running,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=811-04-01,سير بلا حمل,"Leerfahrt, f",empty running,marcha sin carga,"marche à vide, f",marcia a vuoto,空車運転,공차 운전,"przebieg próżny, m",marcha em vazio,空载运行
