term_id,term,term_url,de,en,es,fr,ja,pl,zh
872-02-06,audio description,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-06,"Audio-Beschreibung, f",audio descriptionvideo descriptionvisual descriptiondescribed video,"descripción de audio, fdescripción de vídeo, f","audiodescription, fvidéodescription, f",解説音声,"deskrypcja dźwięku, f",音频解说视频解说
872-02-07,clean audio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-07,"bereinigtes Audio, n",clean audio,"audio limpio, m","signal audio filtré, m",明瞭な音声データ明瞭な音声,"czysty dźwięk, m",清晰语音
872-02-08,accessibility content,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-08,"zugänglicher Inhalt, m",accessibility content,"contenido accesible, m","contenu accessible, m",アクセシビリティコンテンツアクセシブルな内容,"informacja o dostępności, m",可访问内容
872-02-09,accessibility feature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-09,"Zugänglichkeitsmerkmal, n",accessibility feature,"función de accesibilidad, f","fonction d'accessibilité, f",ユーザー補助機能,"funkcja ułatwień dostępu, f",无障碍功能
872-02-10,sign language,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-10,"Gebärdensprache, f",sign languagesigned languagevisual signing,"lenguaje de signos, mlengua de signos, f","langue des signes, f",手話,"język migowy, m",手语
872-02-11,sign language interpretation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-11,"Gebärdensprachdolmetschen, n",sign language interpretation,"interpretación del lenguaje de signos, finterpretación de la lengua de signos, f","interprétation en langue des signes, f",手話通訳,"interpretacja języka migowego, f",手语同传
872-02-12,sign language presentation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-12,"Präsentation in Gebärdensprache, f",sign language presentation,"presentación en lenguaje de signos, fpresentación en lengua de signos, f","présentation en langue des signes, f",手話表現,"prezentacja języka migowego, f",手语展示
872-02-13,lip-reading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-13,"Lippenlesen, nDolmetschen des Lippenlesens, n",lip-readinglip-reading interpretation,"lectura labial, finterpretación de lectura labial, f","lecture labiale, finterprétation labiale, f",読唇,"czytanie z ruchu warg, n",唇语传译
872-02-14,respeaking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-14,"Nachsprechen, nRespeaking, n",respeaking,"rehablado, m","sous-titrage vocal, m",再発話,"ponownie dialogowanie, n",复录
872-02-15,supplementary audio service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-15,"ergänzender Audiodienst, m",supplementary audio service,"servicio de audio complementario, m","service audio complémentaire, m",補足音声サービス,"dodatkowa usługa dźwiękowa, f",附加音频服务
872-02-16,speech to text interpretation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-16,"Schriftdolmetschen, nSTTI",speech to text interpretationSTTI,"interpretación de voz a texto, fSTTI, f","transcription automatique de la parole, fSTTI",音声のテキスト化音声の文章化,"zamiana mowy na tekst, f",实时语音识别STTI
872-03-01,human factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-01,"menschlicher Faktor, mErgonomie, f",human factorergonomics,"factor humano, mergonomía, f","facteur humain, mergonomie, f",ヒューマンファクタ人間工学,"czynnik ludzki, mergonomia, f",人类因素人类工效学
872-03-02,user experience,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-02,"Benutzererlebnis, n",user experience,"experiencia del usuario, f","expérience  de l'utilisateur, f",ユーザ体験,"doświadczenie użytkownika, n",用户体验
872-03-03,mainstreaming,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-03,"durchgängige Berücksichtigung, f",mainstreaming,"integración, f","intégration, f",メインストリーミング,"integrowanie, n",主流化
872-03-04,"barrier, <in accessibility>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-04,"Barriere, <für Zugänglichkeit> f","barrier, <in accessibility>","barrera, <en accesibilidad> f","obstacle, <en matière d'accessibilité> m","障壁, <アクセシビリティ>","bariera, <w dostępie> f","障碍, <无障碍的>"
872-03-05,facilitator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-05,"Vermittler, m",facilitator,"facilitador, m","facilitateur, m",ファシリテータ,"wspomagacz, m",有利因素
872-03-06,remote participation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-03-06,"Fernzugang, m",remote participation,"participación remota, fparticipación a distancia, f","participation à distance, f",遠隔参加,"zdalne uczestnictwo, n",远程参与
872-04-01,accessibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-01,"Zugänglichkeit, fBarrierefreiheit, f",accessibility,"accesibilidad, f","accessibilité, f",アクセシビリティ,"dostępność, f",无障碍可达性可访问
872-04-02,universal design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-02,"universelles Design, nABGELEHNT: Design für alle, nABGELEHNT: inklusive Gestaltung, f",universal designDEPRECATED: design for allDEPRECATED: inclusive design,"diseño universal, mDESACONSEJADO: diseño para todos, mDESACONSEJADO: diseño inclusivo, m","conception universelle, fDÉCONSEILLÉ: conception pour tousDÉCONSEILLÉ: conception inclusive","ユニバーサルデザイン, <非推奨：デザイン・フォー・オール><非推奨：インクルーシブデザイン>","projektowanie uniwersalne, n",通用设计
872-04-03,assistive technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-03,"assistive Technik, fAT",assistive technologyAT,"tecnología asistencial, f","technologie d'aide, fAT, f",支援技術AT,"technologia asystująca, f",辅助技术康复辅助技术AT
872-04-04,ALD,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-04,"assistives Hörgerät, nALD",ALDassistive listening device,"dispositivo de ayuda auditiva, mALD, m","ALDappareils d'aide à l'audition, m pl",聴力補助機器,"urządzenie wspomagające słyszenie, n",辅助听力装置
872-04-05,ALS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-05,"assistives Hörsystem, nALS",ALSassistive listening system,"sistema de ayuda auditiva, mALS, m","ALSsystème d'aide à l'audition, m",聴力補助システム聴力支援システム,"system wspomagania słyszenia, m",辅助听力系统
872-04-06,"interface accessibility, <audiovisual>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-06,"Schnittstellen-Zugänglichkeit, <audiovisuell> f","interface accessibility, <audiovisual>","accesibilidad de la interfaz, <audiovisual> f","accessibilité de l'interface, <audiovisuel> f","インタフェース アクセシビリティ, <オーディオヴィジュアル>","dostępność interfejsu, f","界面可访问性, <视听的>"
872-04-07,platform accessibility feature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-07,"Plattform-Zugänglichkeitsmerkmal, n",platform accessibility feature,"función de accesibilidad de la plataforma, f","fonction d'accessibilité de plateforme, f",プラットフォームのアクセシビリティ特性,"funkcje ułatwienia dostępu, f pl",平台可访问性特征
872-04-08,profile setting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-08,"Profileinstellung, f",profile setting,"configuración del perfil, f","paramètre de profil, m",プロファイルの設定,"ustawienia profilu, n pl",配置文件设置
872-04-09,keyboard emulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-09,"Tastaturemulator, mTastaturadapter, m",keyboard emulator,"emulador de teclado, m","émulateur de clavier, m",キーボードエミュレータ,"emulator klawiatury, m",仿真键盘
872-04-10,screen magnification software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-10,"Bildschirmvergrößerungssoftware, f",screen magnification software,"software de ampliación de pantalla, m","logiciel d'agrandissement de l'écran, m",画面拡大ソフトウェア,"oprogramowanie do powiększania ekranu, n",屏幕放大软件
872-04-11,screen reader software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-11,"Bildschirmlesesoftware, fScreenreader-Software, f",screen reader software,"software lector de pantalla, m","lecteur d'écran, m",画面読上げソフトウェア,"oprogramowanie czytnika ekranu, n",屏幕阅读软件
872-04-12,pixellation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-04-12,"Mosaikeffekt, m","pixellationpixelation, US","pixelación, fpixelado, m","pixélisation, f",ピクセル化,"pikselizacja, f",像素化
872-05-01,accessibility service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-05-01,"Zugangsdienst, mZugänglichkeitsdienst, m",accessibility serviceaccess service,"servicio de accesibilidad, mservicio de acceso, m","service d'accessibilité, mservice d'accès, m",アクセシビリティサービスアクセシビリティ利用サービス,"usługa dostępności, f",无障碍服务访问服务
872-05-02,closed/open accessibility service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-05-02,"geschlossener/offener Zugangsdienst, m",closed/open accessibility service,"servicio de accesibilidad abierto/cerrado, m","service d'accessibilité ouvert/fermé, m",クローズド/オープン　アクセシビリティサービス,"zamknięta/otwarta usługa dostępności, f",闭/开式无障碍服务
872-05-03,real time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-05-03,"Echtzeit-Übertragung, f",real time,"tiempo real, m","temps réel, m",実時間,"czas rzeczywisty, m",实时
872-05-04,relay service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-05-04,"Relais-Dienst, m",relay service,"servicio de retransmisión, m","service de relais, m",電話リレーサービス電話中継サービス,"usługa przekazu, f",中继服务
