term_id,term,term_url,ar,de,en,fr,ja,ko,pl,pt,zh
447-01-46,auxiliary relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-46,مُرَحِّل مساعد,"Hilfsrelais, n",auxiliary relay,"relais auxiliaire, m",補助リレー,보조 계전기,"przekaźnik posiłkowy, mprzekaźnik pomocniczy, m",relé auxiliar,中间继电器辅助继电器
447-01-47,volt per hertz relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-47,مُرَحِّل نسبة الجهد إلى الترددمُرَحِّل زيادة الفيض المغناطيسي,"Volt-pro-Hertz-Relais, n",volt per hertz relay,"relais volt par hertz, m",V/Fリレー,전압 매 주파수 계전기,"przekaźnik V/Hz, m",relé volt por hertz,伏赫比继电器
447-01-48,offset mho relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-48,مُرَحِّل مو مزاحةمُرَحِّل ذو خصائص مو مزاحة,"Versatz-Mho-Relais, n",offset mho relay,"relais mho avec décalage, m",オフセットモーリレー,옵셋 모 계전기,"przekaźnik z przesuniętą charakterystyką mho, m",relé mho com desvio,偏移姆欧继电器
447-01-49,protection equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-49,نظام وقايةنظام مُرَحِّلات,"Schutzeinrichtung, f","protection equipmentrelay system, US","équipement de protection, m",保護リレー装置,보호 장비,wyposażenie bezpieczeństwa,equipamento de proteção,保护设备
447-01-50,arc flash protection device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-50,جهاز الحماية من وميض القوس الكهربى,"Fehlerlichtbogen-Schutzeinrichtung, f",arc flash protection device,"dispositif de protection contre les arcs électriques, m",アーク検出装置,섬락 보호 장치,urządzenie zabezpieczające przed wyładowaniem łukowym,dispositivo de proteção contra relâmpago por arco,弧光保护装置
447-02-01,"operate condition, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-01,"ظروف التشغيل, لمُرَحِّل قياس او نظام وقاية","Arbeitsstellung, <eines Messrelais oder einer Schutzeinrichtung> f","operate condition, <of a measuring relay or protection equipment>","état de travail, <d'un relais de mesure ou d'un dispositif de protection> m","動作状態, <保護リレーの>","작동 조건, <측정 계전기 또는 보호 장비>","stan zadziałania, m","estado de trabalho, <de um relé de medição ou de um equipamento de proteção>","动作状态, <量度继电器或保护设备的>"
447-02-02,reset condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-02,ظروف الرجوع,"Ruhestellung, f",reset condition,"état de repos, m",復帰状態,재설정 조건,"stan spoczynku, m",estado de reposição,复归状态
447-02-03,initial condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-03,ظروف ابتدائية,"Anfangsstellung, f",initial condition,"état initial, m",初期状態,초기 조건,"stan początkowy, m",estado inicial,初始状态
447-02-04,"operate, <for a measuring relay or protection equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-04,"اعمل, لمُرَحِّل قياس او نظام وقاية","arbeiten, <eines Messrelais oder einer Schutzeinrichtung> Verb","operate, <for a measuring relay or protection equipment> verb","fonctionner, <pour un relais de mesure ou un dispositif de protection> verbe","動作する, <保護リレーの>動詞","작동하다, <측정 계전기 또는 보호 장비> 동사","zadziałać, verb","funcionar, <para um relé de medição ou um equipamento de proteção> verbo","动作, <针对量度继电器或保护设备>"
447-02-05,"reset, <for a measuring relay or protection equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-05,"يرجع, لمُرَحِّل قياس او نظام وقاية","rücksetzen, <eines Messrelais oder einer Schutzeinrichtung> Verb","reset, <for a measuring relay or protection equipment> verb","mettre au repos, <pour un relais de mesure ou un dispositif de protection> verbe","復帰する, <保護リレーの>動詞","재설정하다, <측정 계전기 또는 보호 장비> 동사","powracać, verb","repor, <para um relé de medição ou um equipamento de proteção> verbo","复归, <针对量度继电器或保护设备>"
447-02-06,"change over, <for a measuring relay or protection equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-06,"يبدِّل, لمُرَحِّل قياس او نظام وقايةيقلّب","Schaltstellung ändern, <eines Messrelais oder einer Schutzeinrichtung>","change over, <for a measuring relay or protection equipment> verb","changer d'état, <pour un relais de mesure ou un dispositif de protection> verbe","切り替える, <保護リレーの>動詞","절체하다, <측정 계전기 또는 보호 장비> 동사전환하다","zmieniać stan, verb","mudar de estado, <para um relé de medição ou um equipamento de proteção> verbo","转换, <针对量度继电器或保护设备>"
447-02-07,"cycle, <for a measuring relay or protection equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-07,"يُدَوِّر, لمُرَحِّل قياس او نظام وقاية","Schaltspiel ausführen, <eines Messrelais oder einer Schutzeinrichtung>","cycle, <for a measuring relay or protection equipment> verb","manœuvrer, <pour un relais de mesure ou un dispositif de protection> verbe","繰り返す, <保護リレーの>動詞","순환하다, <측정 계전기 또는 보호 장비> 동사","wykonać cykl działania, verb","fazer um ciclo, <para um relé de medição ou um equipamento de proteção> verbo","循环, <针对量度继电器或保护设备>"
447-02-08,"start, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-08,"يبدأ, لمُرَحِّل قياس او نظام وقايةيلتقط","starten, Verb","start, verbpick up, verb","démarrer, verbereprendre, verbe","始動する, 動詞","기동하다, 동사","rozpocząć rozruch, verbrozpocząć, verb",arrancar,启动
447-02-09,"switch, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-09,يُحَوِّليفصل أو يوصِّل,"ansprechen, Verb","switch, verb","commuter, verbe","動作完了する, 動詞","교환하다, 동사","przełączyć w obwodzie wyjściowym, verbprzełączyć, verb",comutar,切换
447-02-10,"operate value, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-10,"قيمة تشغيل, < لمُرَحِّل قياس او نظام وقاية >","Arbeitswert, <eines Messrelais oder einer Schutzeinrichtung> m","operate value, <of a measuring relay or protection equipment>","valeur de fonctionnement, <d'un relais de mesure ou d'un dispositif de protection> f","動作値, <保護リレーの>","작동값, <측정 계전기 또는 보호 장비>","wartość zadziałania, f","valor de funcionamento, <de um relé de medição ou equipamento de proteção>",动作值
447-02-11,non-operate value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-11,قيمة عدم التشغيل,"Nichtarbeitswert, m",non-operate value,"valeur de non-fonctionnement, f",不動作値,비작동값,"wartość niezadziałania, f",valor de não-funcionamento,不动作值
447-02-12,reset value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-12,قيمة الرجوع,"Rücksetzwert, m",reset value,"valeur de mise au repos, f",復帰値,재설정값,"wartość powrotu, f",valor de reposição,复归值
447-02-13,non-reset value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-13,قيمة عدم الرجوع,"Haltewert, m",non-reset value,"valeur de non-mise au repos, f",動作保持値,비재설정값,"wartość niepowrotu, f",valor de não-reposição,不复归值
447-02-14,start value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-14,قيمة البدءقيمة الإلتقاط,"Startwert, mAnregewert, m",start valuepick-up value,"valeur de démarrage, fvaleur de reprise, f",始動値,기동값,"wartość rozruchowa, f",valor de arranque,启动值
447-02-15,test value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-15,قيمة الاختبار,"Prüfwert, m",test value,"valeur d'essai, f",試験電気量,시험값,"wartość probiercza, fwartość testowa, f",valor de ensaio,试验值
447-02-16,final endurance value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-16,قيمة التقادم النهائية,"Wert am Ende der Lebensdauer, m",final endurance value,"valeur finale d'endurance, f",寿命最終保証値,최종 내구성값,"wartość w końcowym okresie trwałości, f",valor final de durabilidade,最终耐久性值
447-02-17,"disengage, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-17,أعتق,"rückfallen, Verb","disengage, verb","dégager, verbe","釈放, 動詞","이탈하다, 동사","odpadać, verb","desprender, verbo",返回
447-02-18,disengage value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-18,قيمة الإعتاق,"Rückfallwert, m",disengage value,"valeur de dégagement, f",釈放値,이탈값,"wartość odpadu, f",valor de desprendimento,返回值
447-02-19,start condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-19,ظروف البدءظروف الإلتقاط,"Startstellung, fAnregestellung, f",start conditionpick-up condition,"état de démarrage, métat de reprise, m",始動している状態,기동 조건,"stan rozruchowy, m",estado de arranque,启动状态
447-02-20,disengage condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-20,ظروف الإعتاق,"Rückfallstellung, f",disengage condition,"état de dégagement, m",釈放している状態,이탈 조건,"stan odpadu, m",estado de desprendimento,返回状态
447-02-21,non-start value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-21,قيمة عدم البدءقيمة عدم الإلتقاط,"Nichtanregewert, m",non-start valuenon-pick-up value,"valeur de non-démarrage, fvaleur de non-reprise, f",始動しない値,비기동 값,"wartość niestartu, f",valor de não-arranque,不启动值
447-02-22,non-disengage value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-02-22,قيمة عدم الإعتاق,"Nichtrückfallwert, m",non-disengage value,"valeur de non-dégagement, f",釈放しない値,비이탈 값,"wartość nieodpadu, f",valor de não-desprendimento,不返回值
447-03-01,"energizing quantity, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-01,"كمية مفعِّلة, لمُرَحِّل قياس او نظام وقاية","Erregungsgröße, <eines Messrelais oder einer Schutzeinrichtung> f","energizing quantity, <of a measuring relay or protection equipment>","grandeur d'alimentation, <d'un relais de mesure ou d'un équipement de protection> f","付勢量, <保護リレーの>","여기량, <측정 계전기 또는 보호 장비>","wielkość zasilająca, f","grandeza de alimentação, <de um relé de medição ou equipamento de proteção>",激励量
447-03-02,input energizing quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-02,كميات مفعِّلة داخلة,"Eingangserregungsgröße, fABGELEHNT: charakteristische Erregungsgröße, f",input energizing quantityDEPRECATED: characteristic energizing quantity,"grandeur d'alimentation d'entrée, fDÉCONSEILLÉ: grandeur d'alimentation caractéristique, f",入力付勢量,입력 여기량,"wielkość zasilająca wejściowa, f",grandeza de alimentação de entrada,输入激励量
447-03-04,auxiliary energizing quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-04,كميات مفعِّلة مساعدة,"Hilfserregungsgröße, f",auxiliary energizing quantity,"grandeur d'alimentation auxiliaire, f",補助付勢量,보조 여기량,"wielkość zasilająca pomocnicza, f",grandeza de alimentação auxiliar,辅助激励量
447-03-05,auxiliary power supply quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-05,كميات التزويد بالطاقة المساعدة,"Hilfsstromversorgungsgröße, f",auxiliary power supply quantity,"grandeur de la source d'alimentation auxiliaire, f",補助電源量,보조 전원 공급량,"wielkość pomocniczego źródła zasilania, f",grandeza da fonte de alimentação auxiliar,辅助电源激励量
447-03-06,"energize, <for a measuring relay or protection equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-06,"يفعل, لمُرَحِّل قياس او نظام وقاية","erregen, <eines Messrelais oder einer Schutzeinrichtung> Verb","energize, <for a measuring relay or protection equipment> verb","alimenter, <pour un relais de mesure ou un équipement de protection> verbe","リレーを駆動する, <保護リレーの>動詞","여기하다, <측정 계전기 또는 보호 장비> 동사","zasilać przekaźnik, verbwzbudzać przekaźnik, verb","alimentar, <por um relé de medição ou equipamento de proteção> verbo","激励, <针对量度继电器或保护设备>"
447-03-07,"input circuit, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-07,"دائرة دخل, لمُرَحِّل قياس او نظام وقاية","Eingangsstromkreis, <eines Messrelais oder einer Schutzeinrichtung> m","input circuit, <of a measuring relay or protection equipment>","circuit d'entrée, <d'un relais de mesure ou d'un équipement de protection> m","入力回路, <保護リレーの>","입력 회로, <측정 계전기 또는 보호 장비>","obwód wejściowy, m","circuito de entrada, <de um relé de medição ou equipamento de proteção>","输入电路, <量度继电器或保护设备的>"
447-03-08,"input signal, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-08,"إشارة دخل, لمُرَحِّل قياس او نظام وقاية","Eingangssignal, <eines Messrelais oder einer Schutzeinrichtung> n","input signal, <of a measuring relay or protection equipment>","signal d'entrée, <d'un relais de mesure ou d'un équipement de protection> m","入力信号, <保護リレーの>","입력 신호, <측정 계전기 또는 보호 장비>","sygnał wejściowy, m","sinal de entrada, <de um relé de medição ou equipamento de proteção>","输入信号, <量度继电器或保护设备的>"
447-03-09,"auxiliary circuit, <of a measuring relay or protection equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-09,"دائرة مساعدة, لمُرَحِّل قياس او نظام وقاية","Hilfsstromkreis, <eines Messrelais oder einer Schutzeinrichtung> m","auxiliary circuit, <of a measuring relay or protection equipment>","circuit auxiliaire, <d'un relais de mesure ou d'un équipement de protection> m","補助回路, <保護リレーの>","보조 회로, <측정 계전기 또는 보호 장비>","obwód pomocniczy, m","circuito auxiliar, <de um relé de medição ou equipamento de proteção>","辅助电路, <量度继电器或保护设备的>"
447-03-10,auxiliary power supply circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-03-10,دائرة التزويد بالطاقة المساعدة,"Hilfsstromversorgungsstromkreis, m",auxiliary power supply circuit,"circuit de la source d'alimentation auxiliaire, m",補助電源回路,보조 전원 공급 회로,"obwód zasilania pomocniczego, m",circuito de fonte de alimentação auxiliar,辅助电源电路
