term_id,term,term_url,ar,cs,de,en,es,fr,ja,no,pl,sv,zh
826-10-11,prosuming electrical installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-11,تركيبات كهربية منتجة ومستهلكة للطاقةمنشأة كهربية منتجة ومستهلكة للطاقة,elektrická instalace samospotřebitelePEI,"kombinierte Erzeugungs-/Verbrauchsanlage, f",prosuming electrical installationPEI,"instalación eléctrica de producción y consumo, f","installation électrique de production et de consommation, fPEI, f",プロシューミング電気設備,prosumer elektrisk installasjon (PEI),"instalacja elektryczna prosumenta, f",prosumerande elinstallation,产销式电气装置
826-11-01,"nominal voltage, <of an electrical installation>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-01,"جهد إسمي, <لمنشأة كهربية>","jmenovité napětí, <elektrické instalace>","Nennspannung, <einer elektrischen Anlage> f","nominal voltage, <of an electrical installation>","tensión nominal, f","tension nominale, <d'une installation électrique> f","公称電圧, <電気設備の>","nominell spenning, <til en elektrisk installasjon>","napięcie nominalne, <instalacji elektrycznej> n","nominell spänning, <för en elinstallation>","标称电压, <电气装置>"
826-11-02,fault voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-02,جهد الخطأ,poruchové napětí,"Fehlerspannung, f",fault voltage,"tensión de defecto, f","tension de défaut, f",故障電圧,feilspenning,"napięcie przy uszkodzeniu, n",felspänning,故障电压
826-11-03,prospective touch voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-03,جهد اللمس المتوقع,předpokládané dotykové napětí,"unbeeinflusste Berührungsspannung, f",prospective touch voltage,"tensión de contacto prevista, f","tension de contact présumée, ftension de toucher présumée, f",推定接触電圧,forventet berøringsspenning,"napięcie dotykowe spodziewane, n",förväntad beröringsspänning,预期接触电压
826-11-04,conventional prospective touch voltage limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-04,حد جهد اللمس المتوقع التقليدي,dovolená mez dotykového napětí,"vereinbarter Grenzwert der unbeeinflussten Berührungsspannung, m",conventional prospective touch voltage limit,"tensión límite convencional de contacto prevista, f","tension limite conventionnelle de contact présumée, ftension limite conventionnelle de toucher, f",規約接触電圧限度,tillatt varig forventet berøringsspenning,"napięcie dotykowe spodziewane dopuszczalne, n",villkorad beröringsspänning,约定接触电压限值
826-11-05,"touch voltage, <effective>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-05,"جهد اللمس, <قيمة فعاله >","dotykové napětí, <skutečné>","Berührungsspannung, <effektiv> f","touch voltage, <effective>","tensión de contacto, <efectiva> f","tension de contact, <effective> ftension de toucher, <effective> f","接触電圧, <実際の>","berøringsspenning, <effektiv>","napięcie dotykowe, <rzeczywiste> n","beröringsspänning, <effektiv>","接触电压, <实际的>"
826-11-06,line-to-line voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-06,جهد بين خط وخطجهد الخط,sdružené napětínapětí mezi vodiči vedení,"Außenleiterspannung, f",line-to-line voltage,"tensión entre fases, ftensión compuesta, f","tension entre phases, ftension composée, f",線間電圧,linjespenning,"napięcie międzyprzewodowe, n",linje-till-linje-spänninghuvudspänning,线间电压
826-11-07,line-to-neutral voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-07,جهد بين الخط و نقطة التعادلجهد الوجه,napětí mezi vodičem vedení a nulovým vodičem,"Spannung Außenleiter - Neutralleiter, f",line-to-neutral voltage,"tensión fase-neutro, ftensión simple, f","tension phase-neutre, ftension simple, f",対中性電圧,fasespenning,"napięcie fazowe, n",linjespänning till neutralfasspänning,相电压
826-11-08,line-to-earth voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-08,جهد بين الخط و الأرض,napětí vodiče vedení proti zemi,"Spannung Außenleiter - Erde, f","line-to-earth voltageline-to-ground voltage, US","tensión fase-tierra, ftensión de fase a tierra, f","tension phase-terre, f",対地電圧,spenning mellom fase og jord,"napięcie względem ziemi, n",linjespänning till jordspänning till jord,线对地电压
826-11-09,earth-surface voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-09,جهد سطح الارض,napětí zemského povrchu,"Erdoberflächenspannung, <zur Erde> f","earth-surface voltageground-surface voltage, US","potencial del suelo respecto a tierra, m","potentiel du sol par rapport à la terre, m",対地地表面電圧,jordoverflatespenning,"napięcie powierzchni ziemi, <względem ziemi odniesienia> n",markpotential till jord,地面电压
826-11-10,"design current, <of an electric circuit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-10,"تيار تصميمي, <لدائرة كهربائية>","návrhový proud, <elektrického obvodu>","vorgesehener Betriebsstrom, <eines Stromkreises> m","design current, <of an electric circuit>","corriente de diseño, f","courant d'emploi, <d'un circuit électrique> m","設計電流, <電気回路の>","dimensjonerende strøm, <til en elektrisk kurs>","prąd obliczeniowy, <obwodu elektrycznego> m","konstruktionsström, <för en elektrisk krets>","设计电流, <电气回路的>"
826-11-11,"fault current, <insulation fault>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-11,"تيار الخطأ, <لخطأ العزل>","poruchový proud, <porucha izolace>","Fehlerstrom, <Isolationsfehler> m","fault current, <insulation fault>","corriente de defecto, f","courant de défaut, m","故障電流, <絶縁破壊>","feilstrøm, <isolasjonsfeil>","prąd uszkodzeniowy, <uszkodzenie izolacji> m","felström, <isolationsfel>","故障电流, <绝缘故障>"
826-11-12,touch current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-12,تيار اللمس,dotykový proud,"Berührungsstrom, m",touch current,"corriente de contacto, f","courant de contact, m",接触電流,berøringsstrøm,"prąd dotykowy, m",beröringsström,接触电流
826-11-13,current-carrying capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-13,تيار التحمل,dovolené proudové zatíženíproudová zatížitelnost,"Dauerstrombelastbarkeit, fStrombelastbarkeit, f","current-carrying capacityampacity, US","corriente permanente admisible, f","courant permanent admissible, mcourant admissible, m",連続許容電流,strømføringsevne,"obciążalność prądowa, f",belastningsförmåga,载流量
826-11-14,overcurrent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-14,تيار زائد,nadproud,"Überstrom, m",overcurrent,"sobreintensidad, f","surintensité, f",過電流,overstrøm,"prąd przetężeniowy, m",överström,过电流
826-11-15,"overload current, <of an electric circuit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-15,"تيار الحمل الزائد, <لدائرة كهربية>","proud přetížení, <elektrického obvodu>","Überlaststrom, <eines elektrischen Stromkreises> m","overload current, <of an electric circuit>","corriente de sobrecarga, <de un circuito eléctrico> f","courant de surcharge, <d'un circuit électrique> m","過負荷電流, <電気回路の>","overbelastningsstrøm, <i en elektrisk kurs>","prąd przeciążeniowy, <obwodu elektrycznego> m","överlastström, <i en elektrisk krets>","过负荷电流, <电气回路的>"
826-11-16,short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-16,تيار دائرة القصر,zkratový proud,"Kurzschlussstrom, m",short-circuit current,"corriente de cortocircuito, f","courant de court-circuit, m",短絡電流,kortslutningsstrøm,"prąd zwarciowy, m",kortslutningsström,短路电流
826-11-17,"conventional operating current, <of a protective device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-17,"تيار التفعيل التقليدى لجهاز الوقاية, <لجهاز وقاية>","smluvený vybavovací proud, <ochranného zařízení>","vereinbarter Wert des Auslösestroms, <einer Schutzeinrichtung> m","conventional operating current, <of a protective device>","corriente convencional de funcionamiento, <de un dispositivo de protección> f","courant conventionnel de fonctionnement, <d'un dispositif de protection> m","規約動作電流, <保護器の>","utløsestrøm, <til et vern>","umowny prąd zadziałania, <urządzenia zabezpieczającego> m","gränsbrytström, <i ett skydd>","约定动作电流, <保护器的>"
826-11-18,"conventional non-operating current, <of a protective device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-18,"تيار عدم التفعيل التقليدى لجهاز الوقاية, <لجهاز وقاية>","smluvený nevybavovací proud, <ochranného zařízení>","vereinbarter Wert des Nichtauslösestroms, <einer Schutzeinrichtung> m","conventional non-operating current, <of a protective device>","corriente convencional de no funcionamiento, <de un dispositivo de protección> f","courant conventionnel de non-fonctionnement, <d'un dispositif de protection> m","規約不動作電流, <保護器の>","ikke-utløsestrøm, <til et vern>","umowny prąd niezadziałania, <urządzenia zabezpieczającego> m","gränshållström, <i ett skydd>","约定不动作电流, <保护器的>"
826-11-19,"residual current, <in an electrical installation>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-19,"تيار متبقي, <فى منشأة كهربية>","reziduální proud, <v elektrické instalaci>","Differenzstrom, <in einer elektrischen Anlage> m","residual current, <in an electrical installation>","corriente residual, f","courant différentiel résiduel, <d'une installation électrique> m","残留電流, <電気設備中の>","sumstrøm, <i en elektrisk installasjon>","prąd różnicowy, <w instalacji elektrycznej> m","restström, <i en elinstallation>","剩余电流, <电气装置中>"
826-11-20,leakage current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-20,تيار التسرب,unikající proud,"Ableitstrom, m",leakage current,"corriente de fuga, f","courant de fuite, m",漏えい電流,lekkstrøm,"prąd upływowy, m",läckström,泄漏电流
826-11-21,protective conductor current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-21,تيار الموصل الوقائي,proud ochranného vodiče,"Schutzleiterstrom, m",protective conductor current,"corriente del conductor de protección, f","courant dans le conducteur de protection, m",保護導体電流,strøm i beskyttelsesleder,"prąd przewodu ochronnego, m",skyddsledarström,保护导体电流
826-11-22,impulse withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-22,جهد التحمل الدفعي,impulzní výdržné napětí,"Steh-Stoßspannung, f",impulse withstand voltage,"tensión soportada a impulsos, f","tension de tenue aux chocs, f",インパルス耐電圧,støtspenningsholdfasthet,"napięcie wytrzymywane udarowe, n",stötspänningshållfasthet,冲击耐受电压
826-11-23,earth fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-11-23,تيار الخطأ الأرضي,zemní poruchový proud,"Erdfehlerstrom, m","earth fault currentground fault current, US","corriente de defecto a tierra, f","courant de défaut à la terre, m",地絡故障電流,jordfeilstrøm,"prąd zwarcia doziemnego, m",jordfelsström,接地故障电流
826-12-01,electric shock,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-01,صدمة كهربية,úraz elektrickým proudem,"elektrischer Schlag, m",electric shock,"choque eléctrico, m","choc électrique, m",感電,elektrisk sjokk,"porażenie elektryczne, n",elchock,电击
826-12-05,basic protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-05,وقاية أساسية,základní ochrana,"Basisschutz, m",basic protection,"protección principal, f","protection principale, f",基本保護,grunnleggende beskyttelse,"ochrona podstawowa, f",basskydd,基本防护
826-12-06,fault protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-06,وقاية الخطأ,ochrana při poruše,"Fehlerschutz, m",fault protection,"protección en caso de defecto, f","protection en cas de défaut, f",故障保護,beskyttelse ved feil,"ochrona przy zakłóceniu, f",felskydd,故障防护
826-12-07,additional protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-07,حماية إضافية,doplňková ochrana,"zusätzlicher Schutz, m",additional protection,"protección adicional, f","protection complémentaire, f",追加保護,tilleggsbeskyttelse,"ochrona uzupełniająca, f",tilläggsskydd,附加防护
826-12-08,live part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-08,جزء مكهربجزء حي,živá část,"aktives Teil, n",live part,"parte activa, f","partie active, f",充電部,spenningsførende del,"część czynna, f",spänningssatt del,带电部分
826-12-09,conductive part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-09,جزء موصل,vodivá část,"leitfähiges Teil, n",conductive part,"elemento conductor, m","partie conductrice, f",導電部,ledende del,"część przewodząca, f",ledande del,可导电部分
826-12-10,exposed-conductive-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-10,جزء موصل مكشوف,neživá část,"Körper, <eines elektrischen Betriebsmittels> m",exposed-conductive-part,"elemento conductor expuesto, mmasa, <en una instalación eléctrica> f","partie conductrice accessible, f",露出導電部,utsatt ledende del,"część przewodząca dostępna, f",utsatt del,外露可导电部分
826-12-11,extraneous-conductive-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-11,جزء موصل خارجي,cizí vodivá část,"fremdes leitfähiges Teil, n",extraneous-conductive-part,"elemento conductor ajeno, m","élément conducteur étranger, m",系統外導電部,annen ledende del,"część przewodząca obca, f",främmande ledande del,外界可导电部分
826-12-12,simultaneously accessible parts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-12,أجزاء يمكن الوصول إليها بالتزامن,části současně přístupné dotyku,"gleichzeitig berührbare leitfähige Teile, n pl",simultaneously accessible parts,"elementos accesibles simultáneamente, m pl","parties simultanément accessibles, f pl",同時接触可能部分,samtidig tilgjengelige deler,"części jednocześnie dostępne, f pl",samtidigt berörbara delar,同时可触及部分
826-12-13,hazardous-live-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-13,جزء مكهرب خطرجزء حي خطر,nebezpečná živá část,"gefährliches aktives Teil, n",hazardous-live-part,"parte activa peligrosa, f","partie active dangereuse, f",危険充電部,farlig spenningsførende del,"część czynna niebezpieczna, f",farlig spänningssatt del,危险带电部分
826-12-14,basic insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-14,عزل أساسي,základní izolace,"Basisisolierung, f",basic insulation,"aislamiento principal, m","isolation principale, f",基礎絶縁,grunnleggende isolasjon,"izolacja podstawowa, f",grundläggande isolering,基本绝缘
826-12-15,supplementary insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-15,عزل إضافي,přídavná izolace,"zusätzliche Isolierung, f",supplementary insulation,"aislamiento suplementario, m","isolation supplémentaire, f",補助絶縁,tilleggsisolasjon,"izolacja dodatkowa, f",tilläggsisolering,附加绝缘
826-12-16,double insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-16,عزل مزدوج,dvojitá izolace,"doppelte Isolierung, f",double insulation,"aislamiento doble, m","isolation double, f",二重絶縁,dobbel isolasjon,"izolacja podwójna, f",dubbel isolering,双重绝缘
826-12-17,reinforced insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-17,عزل مقوى,zesílená izolace,"verstärkte Isolierung, f",reinforced insulation,"aislamiento reforzado, m","isolation renforcée, f",強化絶縁,forsterket isolasjon,"izolacja wzmocniona, f",förstärkt isolering,加强绝缘
826-12-18,automatic disconnection of supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-18,فصل تلقائي لمصدر التغذية,automatické odpojení od zdrojesamočinné odpojení od zdroje,"automatische Abschaltung der Stromversorgung, fautomatische Ausschaltung der Stromversorgung, f AT",automatic disconnection of supply,"desconexión automática de la alimentación, f","coupure automatique de l'alimentation, f",電源の自動遮断,automatisk utkobling av strømtilførsel,"samoczynne wyłączenie zasilania, n",automatisk frånkoppling av matning,自动切断电源
826-12-19,arm's reach,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-19,امتداد الذراع,dosah ruky,"Handbereich, m",arm's reach,"alcance del brazo, m","volume d'accessibilité au toucher, m",アームズリーチ,rekkevidde,"zasięg ręki, m",armräckvidd,伸臂范围
826-12-20,enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-20,حاوية,kryt,"Umhüllung, f",enclosure,"envolvente, f","enveloppe, f",エンクロージャ,kapsling,"obudowa, f",kapsling,外壳
826-12-21,electrical enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-21,حاوية واقية كهربيا,elektrický kryt,"elektrische Umhüllung, f",electrical enclosure,"envolvente eléctrica, f","enveloppe électrique, f",電気的エンクロージャ,elektrisk kapsling,"obudowa elektryczna, f",elektrisk kapsling,电气外壳
826-12-22,"protective enclosure, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-22,"حاوية واقية, <كهربيا>","ochranný kryt, <elektricky>","elektrische Schutzumhüllung, fSchutzumhüllung, <elektrisch> f","protective enclosure, <electrically>","envolvente de protección, <eléctrica> f","enveloppe de protection, <électrique> f","保護エンクロージャ, <電気的>","beskyttelseskapsling, <elektrisk>","obudowa ochronna, <elektryczna> f","skyddskapsling, <elektrisk>","保护外壳, <电气>"
826-12-23,"protective barrier, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-23,"حاجز واقى, <كهربيا>","ochranná bariéra, <elektricky>","elektrische Schutzabdeckung, fSchutzabdeckung, <elektrisch> f","protective barrier, <electrically>","barrera de protección, <eléctrica> f","barrière de protection, <électrique> f","保護バリア, <電気的>","beskyttelsesbarriere (avskjerming), <elektrisk>","przegroda ochronna, <elektryczna> f","skyddsbarriär, <elektrisk>","保护遮栏, <电气>"
826-12-24,"protective obstacle, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-24,"عائق واقى, <كهربيا>","ochranná zábrana, <elektricky>","elektrisches Schutzhindernis, nSchutzhindernis, <elektrisch> n","protective obstacle, <electrically>","obstáculo de protección, <eléctrica> f","obstacle de protection, <électrique> m","保護オブスタクル, <電気的>","beskyttelseshinder (hinder), <elektrisk>","przeszkoda ochronna, <elektryczna> f","skyddshinder, <elektriskt>","保护阻挡物, <电气>"
826-12-25,"protective screen, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-25,"شبكة حماية, <كهربيا>","ochranné stínění, <elektricky>","elektrischer Schutzschirm, mSchutzschirm, <elektrisch> m","protective screen, <electrically> protective shield, <electrically> US","pantalla de protección, <eléctrica> f","écran de protection, <électrique> m","保護スクリーン, <電気的>","beskyttelsesskjerm, <elektrisk>","ekran ochronny, <elektryczny> m","skyddsskärm, <elektriskt ledande>","保护屏蔽体, <电气>"
826-12-26,"protective screening, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-26,"حاجز واقي, <كهربيا>","ochrana prostřednictvím ochranného stínění, <elektricky>","elektrische Schutzschirmung, fSchutzschirmung, <elektrisch> f","protective screening, <electrically>protective shielding, <electrically> US","protección por pantalla, <eléctrica> f","protection par écran, <électrique> f","保護遮へい, <電気的>","beskyttelsesskjerming, <elektrisk>","ekranowanie ochronne, <elektryczne> n","skyddsskärmning, <elektriskt ledande>","保护屏蔽, <电气>"
826-12-27,electrical separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-27,فاصل كهربي,elektrické oddělení,"elektrische Schutztrennung, f",electrical separation,"separación eléctrica, f","séparation électrique, f",電気的分離,elektrisk adskillelse,"separacja elektryczna, f",galvanisk separation,电气分隔
826-12-28,simple separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-28,فاصل بسيط,jednoduché oddělení,"einfache elektrische Trennung, f",simple separation,"separación simple, f","séparation simple, f",単純分離,enkel adskillelse,"separacja podstawowa, f",enkel separation,简单分隔
826-12-29,"protective separation, <within electrical installation>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-29,"فاصل واقي, <داخل منشأة كهربية>","ochranné oddělení, <v elektrické instalaci>","elektrisch sichere Trennung, fsichere Trennung, <elektrisch> f","protective separation, <within electrical installation>","separación de protección, <eléctrica> f","séparation de protection, <dans l'installation électrique> f","電気的保護分離, <電気設備内の>","adskillelse for beskyttelsesformål, <i en elektrisk installasjon>","separacja ochronna, <instalacji elektrycznych> f","skyddsseparation, <elektrisk>","保护分隔, <电气装置内>"
826-12-30,extra-low voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-30,جهد منخفض جدا,malé napětíELV,"Kleinspannung, fELV",extra-low voltageELV,"muy baja tensión, fMBT, f","très basse tension, fTBT, f",特別低電圧,"ekstra lav spenning, ELV","bardzo niskie napięcie, n",klenspänning,特低电压
826-12-31,SELV system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-31,نظام جهد منخفض جدا أمن,síť SELV,"SELV-System, n",SELV system,"sistema MBTS, m","schéma TBTS, m",SELV 方式,SELV,"układ SELV, m",SELV-system,安全特低电压系统
826-12-32,PELV system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-32,نظام جهد منخفض جدا محمى,síť PELV,"PELV-System, n",PELV system,"sistema MBTP, m","schéma TBTP, m",PELV 方式,PELV,"układ PELV, m",PELV-system,保护特低电压系统
826-12-33,limited-current source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-33,مصدر تيار محدود القيمة,zdroj omezeného proudu,"Stromquelle mit begrenztem Strom, f",limited-current source,"fuente de corriente limitada, f","source à courant limité, f",制限電流電源,strømbegrenset kilde,"źródło o ograniczonym prądzie, n",strömbegränsad matning,限流源
826-12-36,non-conducting environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-36,بيئة غير موصلة,nevodivé prostředí,"nicht leitende Umgebung, f",non-conducting environment,"ambiente no conductor, m","environnement non conducteur, m",非導電性環境,ikke-ledende omgivelser,"środowisko nieprzewodzące, n",isolerad miljö,非导电环境
826-12-37,"single fault condition, <within electrical installation>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-37,"حالة الخطأ الأحادي, <داخل منشأة كهربية>حالة الخطأ المفرد","podmínka jedné poruchy, <v elektrické instalaci>","Einzelfehlerbedingung, <in elektrischen Anlagen> f","single fault condition, <within electrical installation>","condición de primer defecto, f","condition de premier défaut, <dans l'installation électrique> f","単一故障状態, <電気設備内の>","enkeltfeil, <i en elektrisk installasjon>","stan pojedynczego uszkodzenia, <instalacji elektrycznej> m","enkelfelstillstånd, <i en elinstallation>","单一故障状态, <电气装置内>"
826-12-38,protective provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-38,تدبير الحماية,ochranné opatření,"Schutzvorkehrung, <Schutz gegen elektrischen Schlag> f",protective provision,"disposición de protección, f","disposition de protection, f",保護手段の要素,beskyttelsestiltak,"zapewnienie ochrony, n",skyddsmetod,保护条款
826-12-39,protective measure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-39,تدبير وقائى,soubor ochranných opatření,"Schutzmaßnahme, <Schutz gegen elektrischen Schlag> f",protective measure,"medida de protección, f","mesure de protection, f",保護手段,beskyttelsesmetode,"środek ochronny, m",skyddsåtgärd,保护措施
826-12-40,enhanced protective provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-12-40,تدبير حماية مدعم,rozšířené ochranné opatření,"verstärkte Schutzvorkehrung, f",enhanced protective provision,"disposición de protección reforzada, f","disposition de protection renforcée, f",強化保護手段の要素,forsterket beskyttelsestiltak,"zapewnienie ochrony wzmocnionej, n",förstärkt skyddsmetod,加强的防护措施
826-13-01,reference earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-01,أرضى مرجعي,referenční zem,"Bezugserde, f","reference earthreference ground, US","tierra de referencia, f","terre de référence, f",基本大地,referansejord,"ziemia odniesienia, f",referensjord,参考地
826-13-02,local earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-13-02,أرضى محلي,místní zem,"örtliche Erde, fErde, f","local earthlocal ground, US","tierra local, f","terre locale, f",局部的接地,lokal jord,"ziemia lokalna, f",lokal jord,局部地
