term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sl,sr,sv,zh
161-01-11,radio environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-11,بيئة لاسلكية - المحيط اللاسلكي,"Funkfrequenzumgebung, f",radio environment,ambiente radioeléctrico,radioympäristö,"environnement radioélectrique, m",ambiente radioelettico,無線周波環境無線環境,무선 환경,radiomiljø,środowisko radioelektryczne,ambiente radioeléctrico,radiofrekvenčno okolje,"радиофреквенцијска околина, ж јд",radiomiljö,无线电环境
161-01-12,radio noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-12,ضوضاء (تردد) لاسلكي,"Funkfrequenzgeräusch, nFunkgeräusch, n",radio noiseradio-frequency noiseRF noise,ruido radioeléctrico,radiotaajuinen kohina,"bruit radioélectrique, m",rumore radioelettrico,無線周波数雑音,무선 주파수 잡음무선 주파수 노이즈,radiofrekvent støy,"szum radioelektryczny, m",ruído radioelétrico,radiofrekvenčni šum,"радиофреквенцијски шум, м јд",radiofrekvent brus,无线电噪声
161-01-13,radio-frequency disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-13,إضطراب (تردد) لاسلكى,"Funkstörgröße, fFunkfrequenzstörgröße, f",radio-frequency disturbanceradio disturbanceRF disturbance,perturbación radioeléctrica,radiotaajuinen häiriö,"perturbation radioélectrique, fparasite radioélectrique, mperturbation radio, fparasite radio, mparasite, <en radiofréquence> m",disturbo radioelettrico,無線周波妨害無線妨害,무선 주파수 방해,radiofrekvent forstyrring,zaburzenie radioelektryczne,perturbação radioeléctrica parasita (radioeléctrico),radiofrekvenčna motnja,"радиофреквенцијска сметња, ж јдрадио-сметња, ж јд",radiostörning,无线电频率骚扰
161-01-14,radio-frequency interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-14,تداخل (تشويش) تردد لاسلكى,"Funkstörung, fFunkbeeinflussung, f",radio-frequency interferenceRFI (abbreviation),interferencia (radioeléctrica),radiotaajuinen häiriö,"brouillage (radioélectrique), m",interferenza radioelettrica,"RFI, （略語）無線周波障害",무선 주파수 방해RFI,"radiofrekvent interferens, RFI",zakłócenie radioelektryczne,interferência (radioeléctrica),radiofrekvenčno motenjeradiofrekvenčna motenostRFI,"радиофреквенцијско сметање, с јдRFI",radiostörning,无线电频率干扰
161-01-15,Inter-system interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-15,تداخل (تشويش)  فيما بين الأنظمة,"Intersystem-Störung, f",Inter-system interference,interferencia entre sistemas,järjestelmien välinen häiriö,"brouillage inter-systèmes, mbrouillage d'origine externe, m",interferenza di origine esterna,システム間障害,시스템 간 간섭,interferens mellom system,zakłócenie międzysystemowe,interferência inter-sistemainterferência de origem externa,medsistemsko motenjemedsistemska motenost,"међусистемско сметање, с јд",störning mellan system,系统间干扰
161-01-16,Intra-system interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-16,تداخل (تشويش)  فيما بين النظام,"Intrasystem-Störung, f",Intra-system interference,interferencia intrasistema,järjestelmien sisäinen häiriö,"brouillage intra-système, mbrouillage d'origine interne, m",interferenza di origine interna,システム内障害,시스템 간 간섭,interferens innanfor eit system,zakłócenie wewnątrzsystemowe,interferência intra-sistemainterferência de origem interna,znotrajsistemsko motenjeznotrajsistemska motenost,"унутарсистемско сметање, с јд",störning inom system,系统内干扰
161-01-17,natural noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-17,ضوضاء طبيعية,"natürliches Geräusch, n",natural noise,ruido natural,luontoperäinen kohina,"bruit naturel, m",rumore naturale,自然雑音,자연 잡음자연 노이즈,naturleg støy,szum naturalny,ruído natural,naravni šum,"природни шум, м јд",naturlig störningnaturligt brus,自然噪声
161-01-18,man-made noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-18,ضوضاء اصطناعي,"künstliches Geräusch, ntechnisch bedingtes Geräusch, n",man-made noise,ruido artificial,tekninen kohina,"bruit artificiel, mparasite artificiel, mDÉCONSEILLÉ: parasite industriel, m",rumore artificiale,人工雑音,인공 잡음인공 노이즈,kunstig støy,zakłócenie powodowane działalnością ludzką,ruído artificial,umetni šum,"вештачки шум, м јд",artificiell störning,人为噪声
161-01-19,degradation (in performance),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-19,إنحطاط - تدهور (الأداء),"Beeinträchtigung der Funktion, f",degradation (in performance),degradación (de funcionamiento)pérdida de calidad funcional,toiminnan heikkeneminen,dégradation (de fonctionnement) f,degradazione (di prestazione),"低下, <性能の>","저하, <성능>","degradasjon, nedsetjing av yting",degradacja jakości,degradação (de funcionamento),poslabšanje,"погоршање, <перформанси, квалитета рада> с јд",försämring,"退化, <性能>"
161-01-20,immunity (to a disturbance),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-20,مناعة (للإضطراب),"Störfestigkeit, <gegenüber einer Störgröße> f",immunity (to a disturbance),inmunidad (a una perturbación),häiriönsieto,immunité (à une perturbation) f,immunità (a un disturbo),"イミュニティ, <妨害に対する>","내성, <방해>",immunitet,odporność na zaburzenia,imunidade (a uma perturbação),odpornost proti motnjam,"имуност, <према сметњама> ж јд",tålighet; immunitet,"抗扰度, <对骚扰的>"
161-01-21,(electromagnetic) susceptibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-21,حساسية (كهرومغناطيسية),"elektromagnetische Störempfindlichkeit, fStörempfindlichkeit, f",(electromagnetic) susceptibility,susceptibilidad (electromagnética),häiriintyvyyssähkömagneettinen häiriintyvyys,"susceptibilité (électromagnétique), f",suscettibilità (elettromagnetica),電磁感受性感受性,전자기 감응성,"(elektromagnetisk) følsemd, susceptibilitet",podatność elektromagnetyczna podatność,susceptibilidade (electromagnética),(elektromagnetna) preobčutljivost,"сусцептибилност, ж јделектромагнетска сусцептибилност, ж јд",(störnings)känslighet,电磁敏感度
161-01-22,electrostatic discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-22,تفريغ  كهروستاتيكى,"Entladung statischer Elektrizität, fESD",electrostatic dischargeESD,,staattinen purkausESD,"décharge électrostatique, fDES, f",scarica di elettricità statica,"ESD, （略語）静電放電静電気放電",정전기 방전ESD,"elektrostatisk utlading, ESD",wyładowanie elektrostatyczne,descarga electrostática,elektrostatična razelektritevESD,"електростатичко пражњење, с јдESD",elektrostatisk urladdning,静电放电
161-01-23,emitter (of electromagnetic disturbance),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-23,باعث (إضطراب كهرومغناطيسى),"Störquelle, f",emitter (of electromagnetic disturbance),emisor (de perturbación electromagnética),lähdesähkömagneettisen häiriön lähde,émetteur (de perturbation électromagnétique) m,emettitore (di disturbi elettromagnetici),"エミッタ, <電磁妨害の>","방사체, <전자기 방해>","emitter, støykjelde",źródło zaburzeń elektromagnetycznych,emissor (de perturbação electromagnética),oddajnik elektromagnetne motnje,"емитер, <електромагнетске сметње> м јд",störningskälla,"发射器, <电磁骚扰的>"
161-01-24,susceptible device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-24,جهاز قابل للتأثر,"Störsenke, f",susceptible device,dispositivo susceptible,altistuva laitehäiriintyvä laite,"dispositif susceptible, m",dispositivo suscettibile,感受性のある機器,감응 장치,støyfølsam eining,urządzenie podatne (na zaburzenia),dispositivo susceptível,preobčutljiva naprava,"сусцептибилни уређај, м јд",störningskänslig enhet,敏感装置
161-01-25,"high frequency, <in electromagnetic compatibility>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-25,,"Hochfrequenz, <in IEC-Publikationen zur elektromagnetischen Verträglichkeit> fFunkfrequenz, <in IEC-Publikationen zur elektromagnetischen Verträglichkeit> f","high frequency, <in electromagnetic compatibility>","alta frecuencia, <en compatibilidad electromagnética>",,"haute fréquence, <en compatibilité électromagnétique> f",,,"고주파, <전자기 적합성>",,"wysoka częstotliwość, <w kompatybilności elektromagnetycznej> f","alta frequência, <em compatibilidade eletromagnética>",,"висока фреквенција, <у електромагнетској компатибилности> ж јд",,"高频, <电磁兼容>"
161-01-26,"low frequency, <in electromagnetic compatibility>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-26,,"Niederfrequenz, <in IEC-Publikationen zur elektromagnetischen Verträglichkeit> f","low frequency, <in electromagnetic compatibility>","baja frecuencia, <en compatibilidad electromagnética>",,"basse fréquence, <en compatibilité électromagnétique> f",,,"저주파, <전자기 적합성>",,"niska częstotliwość, <w kompatybilności elektromagnetycznej> f","baixa frequência, <em compatibilidade elecromagnética>",,"ниска фреквенција, <у електромагнетској компатибилности> ж јд",,"低频, <电磁兼容>"
161-01-27,"port, <in electromagnetic compatibility>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-27,,"Anschluss, <in IEC-Publikationen zur elektromagnetischen Verträglichkeit> mTor, <in IEC-Publikationen zur elektromagnetischen Verträglichkeit> n","port, <in electromagnetic compatibility>","puerto, <en compatibilidad electromagnética>",,"accès, <en compatibilité électromagnétique> m",,,"단자쌍, <전자기 적합성>",,"port, <w kompatybilności elektromagnetycznej> m","porto, <em compatibilidade eletromagnética>acesso, <em compatibilidade elecromagnética>",,"приступно место, <у електромагнетској компатибилности> с јд",,"端口, <电磁兼容>"
161-02-01,"transient, adj and noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-01,عابرظاهرة عابرة,"transient, AdjektivTransiente, f","transient, adj and noun",transitoria,transientti,"transitoire, adj et nom m",transitorio,"過渡的な(形容詞)　過渡(名詞), 形容詞及び名詞","과도과도현상, 형용사 명사",transient,"nieustalony, adjprzejściowy, adjnietrwały, adjusuwalny, adj","transitório, adj. e s.",prehodniprehodnikprehodni pojav,"прелазна појава, ж јдтранзијент, м јд",transient,瞬态的
161-02-02,pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-02,نبضة,"Impuls, m",pulse,pulsaciónpulso,pulssi,"impulsion, f",impulso,パルス,펄스,puls,impuls,impulso,impulz,"импулс, м јд",puls,脉冲
161-02-03,impulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-03,نبضة دفعية,"Quasi-Dirac-Impuls, m",impulse,impulsión,impulssi,"impulsion quasi-Dirac, f",impulso quasi-Dirac,インパルス,임펄스,impuls,impuls quasi-Diraca,impulso quase-Dirac,navidezno enotin impulznavidezno Diracov impulz,"квази-Дираков импулс, м јд",diracpuls,冲击脉冲
161-02-04,spike,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-04,نبضة قصيرة (مسمارية),"Nadelimpuls, m",spike,punta de descarga,piikki,"impulsion brève, f",impulso a breve,スパイク,스파이크,spenningspuls,impuls szpilkowy,pico,šilekšilasti impulz,"оштар импулс, м јд",spik(puls),尖峰脉冲
161-02-05,"rise time, <of a pulse>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-05,زمن إرتفاع (النبضة),"Anstiegszeit, <eines Impulses> f","rise time, <of a pulse>",tiempo de subida,nousuaika,"temps de montée, <d'une impulsion> mdurée d'établissement  (terme déconseillé dans ce sens) f",tempo di salita (di un impulso),"立ち上がり時間, <パルスの>","상승 시간, <펄스>",stigingstid,czas narastania (impulsu),tempo de subida (de um impulso),čas vzpona impulza,"време успостављања, с јд",stigtid,"上升时间, <脉冲的>"
161-02-06,rate of rise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-06,معدل الارتفاع,"Anstiegsgeschwindigkeit, f",rate of rise,velocidad de subida,nousunopeus,"vitesse de montée, f",velocità di salita,上昇率,상승비,stigingsfart,szybkość narastania,velocidade de subidataxa de subida,hitrost vzpona,"брзина успостављања, ж јд",stighastighet,上升率
161-02-07,burst (of pulses or oscillations),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-07,دفعة (من النبضات أو التذبذبات),"Impulspaket, nImpulsbündel, n",burst (of pulses or oscillations),,purske,"salve, f",treno (di impulsi o di oscillazioni),"バースト, <パルス又は振動の>","버스트, <펄스 또는 발진>","burst, skur",wiązka (impulsów lub drgań),salva (de impulsos ou oscilações),plaz impulzov ali nihanj,"рафал, <импулса или осцилација> м јд",pulsskur,"猝发, <脉冲或震荡的>"
161-02-08,impulsive noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-08,ضوضاء دفعية,"impulsartiges Geräusch, n",impulsive noise,,impulssikohina,"bruit impulsif, m",rumore impulsivo,インパルス雑音,임펄스성 잡음임펄스성 노이즈,impulsstøy,"szum impulsowy, m",ruído impulsivo,impulzni šum,"импулсни шум, м јд",impulsstörning,脉冲噪声
161-02-09,impulsive disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-09,اضطراب دفعي ( نبضي ),"impulsartige Störgröße, f",impulsive disturbance,perturbación impulsiva,impulssihäiriö,"perturbation impulsive, f",disturbo impulsivo,インパルス妨害,임펄스성 방해,impulsforstyrring,zaburzenie impulsowe,perturbação impulsiva,impulzna motnja,"импулсна сметња, ж јд",impulsstörning,脉冲骚扰
161-02-10,continuous noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-10,ضوضاء مستمر,"kontinuierliches Geräusch, n",continuous noise,ruido contínuo,jatkuva kohina,"bruit continu, m",rumore continuo,連続雑音,연속성 잡음연속성 노이즈,kontinuerleg støy,szum ciągły,ruído contínuo,trajni šum,"континуални шум, м јднепрекидни шум, м јд",ihållande störning,连续噪声
161-02-11,continuous disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-11,إضطراب مستمر,"kontinuierliche Störgröße, f",continuous disturbance,perturbación continua,jatkuva häiriö,"perturbation continue, f",disturbo continuo,連続妨害,연속성 방해,kontinuerleg forstyrring,zaburzenie ciągłe,perturbação contínua,trajna neprekinjana motnja,"континуална сметња, ж јднепрекидна сметња, ж јд",ihållande störning,连续骚扰
161-02-12,quasi-impulsive noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-12,ضوضاء شبه دفعي,"quasiimpulsartiges Geräusch, n",quasi-impulsive noise,ruido quasi impulsivo,kvasi-impulssikohina,"bruit quasi impulsif, m",rumore quasi-impulsivodisturbo quasi-impulsivo,準インパルス雑音,준임펄스성 잡음준임펄스성 노이즈,kvasiimpulsiv støy,"szum quasi-impulsowy, m",ruído quase impulsivoperturbação quase impulsiva,navidezno impulzni šum,"квазиимпулсни шум, м јд",kvasiimpulsstörning,准脉冲噪声
161-02-13,discontinuous interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-13,تداخل (تشويش) متقطع,"diskontinuierliche Störung, f",discontinuous interference,interferencia intermitente,epäjatkuva häiriö,"brouillage intermittent, m",interferenza intermittente,不連続障害,불연속성 간섭,diskontinuerleg interferens,zakłócenie nieciągłe,interferência intermitente,prekinjano motenjeprekinjana motenost,"дисконтинуално сметање, с јдиспрекидано сметање, с јд",intermittent störning,断续干扰
161-02-14,random noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-14,ضوضاء عشوائي,"Rauschen, n",random noise,ruido aleatorioruido errático,satunnaiskohina,"bruit aléatoire, mDÉCONSEILLÉ: bruit erratique, m",rumore casuale? Bianco?,ランダム雑音,랜덤 잡음랜덤 노이즈,tilfeldig støy,szum przypadkowy,ruído aleatório,naključni šum,"случајни шум, м јд",slumpmässigt brus,随机噪声
161-02-15,click,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-15,نقر,"Knack, m",click,chasquido,naksaus,"claquement, m",clic,クリック,클릭,klikk,trzask,estalido,klik,"краткотрајна сметња, ж јдпуцкетање, с јд",klick,点击
161-02-16,click rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-16,معدل النقر,"Knackrate, f",click rate,cadencia de chasquido,naksaustaajuus,"cadence des claquements, f",frequenza di clic,クリック率,클릭률,klikkhyppigheit,częstość trzasków,cadência dos estalidos,pogostnost klikov,"учесталост краткотрајних сметњи, ж јдучесталост пуцкетања, ж јд",klickfrekvens,点击率
161-02-17,fundamental (component),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-17,مركبة أساسية,"Grundschwingung, fGrundschwingungsanteil, m",fundamental (component),componente fundamental,perusaalto,"fondamental, adj et nom mcomposante fondamentale, f",fondamentalecomponente fondamentale,基本波成分基本波,기본파 성분,"grunnkomponent, grunntone",składowa podstawowa,(componente) fundamental(termo) fundamental,osnovni členosnovnik,"основна компонента, ж јд",grundton,基波分量
161-02-18,harmonic (component),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-18,مركبة توافقية,"Oberschwingung, f",harmonic (component),componente armónico,harmoninen yliaalto,"harmonique, adj et nom mcomposante harmonique, f",armonica (nome)componente armonica,高周波成分高周波,고조파 성분,harmonisk komponent,składowa harmoniczna,(componente) harmónicaharmónico,harmonski členharmonik,"хармоник, м јд",(harmonisk) överton,谐波分量
161-02-19,harmonic number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-19,رقم توافقى,"Ordnungszahl, <einer Teilschwingung> f",harmonic numberharmonic order,rango (de un armónico),yliaallon järjestysluku,"rang, <d'un harmonique> m",ordine (di un'armonica),高調波次数,고조파 수고조파 차수,harmonisk orden,rząd harmonicznej,ordem (de uma harmónica),red harmonikaštevilka harmonika,"ред хармоника, м јд",deltonsnummer,谐波次数
161-02-20,nth harmonic ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-20,نسبة توافقية ذات الرتبة (n),"n-tes Oberschwingungs-Verhältnis, n",nth harmonic ratio,proporción armónica ntasa (proporción) armónica n,n:s yliaaltosuhde,"taux de l'harmonique (de rang) n, mtaux du nième harmonique, m",tasso dell'armonica (di ordine) ntasso dell'nesima armonica,ｎ比高調波比,엔차 고조파 비,n-te harmoniske høvetal,współczynnik n-tej harmonicznej,teor da harmónica (de ordem) n,n-ti red harmonikarazmerje n-tega harmonika,"однос хармоника n-тог реда, м јд",n:te övertonsförhållande,第n次谐波比
161-02-21,harmonic content,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-21,محتوى  توافقى,"Oberschwingungsanteil, m",harmonic content,conjunto de armónicos,yliaaltosisältö,"résidu harmonique, m",residuo/ contenuto armonico,高調波含有量,고조파 함유량,harmonisk innhald,zawartość harmonicznych,resíduo harmónicoconteúdo harmónico,delež harmonikovharmonski delež,"садржај хармоника, м јдсума виших хармоника, ж јд",övertonsinnehåll,谐波含量
161-02-22,fundamental factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-22,عامل أساسي,"Grundschwingungsgehalt, m",fundamental factor,tasa fundamental,perusaaltosuhde,"taux de fondamental, m",tasso della fondamentale,基本波率,기본파 인자,"grunnkomponentfaktor, grunntonefaktor",współczynnik podstawowej,teor de fundamentalfactor de fundamental,faktor osnovnika,"фактор основне компоненте, м јд",grundtonshalt,基波因数
161-02-23,(total) harmonic factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-23,عامل توافقى (كلى),"Oberschwingungsgehalt, mKlirrfaktor, mTHF, Abkürzung",(total) harmonic factor,tasa armónica,yliaaltosuhde,"taux d'harmoniques, mdistorsion harmonique  (terme déconseillé dans ce sens) ffacteur de distorsion  (terme déconseillé) m",tasso di distorsione armonica,総合高調波含有率高調波含有率,총 고조파 함유율,total harmonisk faktor,współczynnik ogólny harmonicznych współczynnik harmonicznych,distorsão harmónica (total)teor de harmónicasfactor de harmónicas,faktor harmonikov,"фактор хармоника, м јдукупни фактор хармоника, м јд",övertonshalt,总谐波因数
161-02-24,pulsating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-24,نابض - نبضي,"Misch…, in Zusammensetzungenwellig",pulsating,pulsante,sykkivä,"pulsatoire, adj",pulsante,脈動,맥동,pulserande,pulsujący,pulsatório,pulzirajoč,"пулсирање, с јд",pulserande,脉动
161-02-25,ripple content,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-25,محتوى التموج (تموّج),"Wechselanteil, m",ripple contentalternating component,componente alternocorriente ondulatoriaondulación,aaltoisuusvaihtokomponentti,"ondulation, fcomposante alternative, f",ondulazionecomponente alternata,リプル含有量,리플 함유량교류 성분,rippelinnhald,falowanie składowa zmienna,ondulaçãocomponente alterna,valovitostizmenični delež,"таласност, ж јднаизменична компонента, ж јд",växelkomponent,纹波含量
161-02-26,peak-ripple factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-26,عامل التموج الذروي(الأقصى),"absolute Welligkeit, frelative Schwingungsweite, f",peak-ripple factor,tasa de ondulación de cresta,huippuaaltoisuus,"taux d'ondulation de crête, m",tasso di ondulazione di picco,ピーク脈動率,첨두 맥동률,topprippelfaktor,wartość szczytowa współczynnika falowania,factor de ondulação de pico,faktor temenske valovitosti,"вршни фактор таласности, м јд",topp-pulsationsfaktor,纹波峰值因数
161-02-27,r.m.s.-ripple factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-27,عامل التموج الفعّال (جذر متوسط المربعات),"effektive Welligkeit, f",r.m.s.-ripple factor,tasa de ondulación efectiva,aaltoisuussuhde,"taux d'ondulation efficace, m",tasso di ondulazione efficace,実効値脈動率,실효 맥동률,rms-rippelfaktor,wartość skuteczna współczynnika falowania,factor de ondulação eficaz,faktor efektivne valovitosti,"ефективни фактор таласности, м јд",pulsationsfaktor,纹波均方根因数
161-02-28,discontinuous disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-02-28,إضطراب متقطع,"diskontinuierliche Störgröße, f",discontinuous disturbance,perturbación discontinua,epäjatkuva häiriö,"perturbation discontinue, f",disturbo discontinuo,不連続妨害,불연속 방해,diskontinuerleg forstyrring,zaburzenie nieciągłe,perturbação descontínua,prekinjana motnja,"дисконтинуална сметња, ж јдиспрекидана сметња, ж јд",diskontinuerlig störning,断续骚扰
