term_id,term,term_url,ar,cs,de,en,fi,fr,ja,pl,pt,sr,zh
171-01-11,discrete-value signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-11,اشارة قيمة متقطعة,hodnotově diskrétní signál,"wertdiskretes Signal, n",discrete-value signal,diskreettiarvoinen signaali,"signal discret, msignal à valeurs discrètes, m",離散値信号,"sygnał o wartości dyskretnej, m",sinal de valores discretossinal discreto,"сигнал са дискретним вредностима, м јд",离散值信号
171-01-12,discretely timed signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-12,اشارة زمن متقطعة,časově diskrétní signál,"zeitdiskretes Signal, n",discretely timed signaldiscrete-time signal,diskreettiaikainen signaali,"signal temporel discret, msignal à temps discret, m",離散時信号,"sygnał dyskretny w czasie, m",sinal temporal discretosinal de tempo discreto,"временски дискретни сигнал, м јддискретни сигнал, м јд",离散时间信号
171-01-13,digital signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-13,اشارة رقمية,digitální signál,"digitales Signal, n",digital signal,digitaalinen signaali,"signal numérique, mDÉCONSEILLÉ: signal digital, m",デジタル信号,"sygnał cyfrowy, m",sinal digitalsinal numérico,"дигитални сигнал, м јд",数字信号
171-01-14,analogue signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-14,اشارة تناظرية,analogový signál,"analoges Signal, n","analogue signalanalog signal, US",analoginen signaali,"signal analogique, m",アナログ信号,"sygnał analogowy, m",sinal analógico,"аналогни сигнал, м јд",模拟信号
171-01-15,code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-15,كود,kód,"Code, m",code,koodi,"code, m",コード,"kod, m",código,"кȏд, м јд",准则
171-01-16,digital technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-16,تقنية رقمية,digitální technologie,"Digitaltechnik, f",digital technology,digitaalitekniikka,"technologie numérique, f",デジタル技術,"technika cyfrowa, f",tecnologia digitaltecnologia numérica,"дигитална технологија, ж јд",数字技术
171-01-17,data processing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-17,معالجة البيانات,zpracování datDP,"Datenverarbeitung, fDV, f",data processingDP,tietojenkäsittely,"traitement de données, m",データ処理,"przetwarzanie danych, n",tratamento de dadosprocessamento de dados,"обрада података, ж јд",数据处理DP
171-01-18,automatic data processing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-18,معالجة البيانات آليا,automatické zpracování datADP,"automatische Datenverarbeitung, felektronische Datenverarbeitung, fEDV, f",automatic data processingADP,automaattinen tietojenkäsittelyATK,"traitement informatique, mtraitement automatique de données, m",自動データ処理,"automatyczne przetwarzanie danych, n",tratamento automático de dadosprocessamento automático de dados,"аутоматска обрада података, ж јд",自动数据处理ADP
171-01-19,information processing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-19,معالجة المعلومات,zpracování informací,"Informationsverarbeitung, f",information processing,informaation käsittely,"traitement de l'information, m",情報処理,"przetwarzanie informacji, n",tratamento da informaçãoprocessamento da informação,"обрада информација, ж јд",信息处理
171-01-20,"hardware, <in information processing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-20,"اجهزة, <فى معالجة المعلومات>","hardware, <ve zpracování informací>","Hardware, <in der Informationsverarbeitung> f","hardware, <in information processing>","laitteisto, <tietojenkäsittelyssä>","matériel, <en informatique> m","ハードウェア, <情報処理の>","sprzęt komputerowy, mhardware, m","equipamentohardware, <no tratamento ou processamento da informação>","хардвер, <у обради информација> м јд","硬件, <信息处理中>"
171-01-21,software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-21,برمجيات,software,"Software, f",software,ohjelmisto,"logiciel, m",ソフトウェア,"oprogramowanie, n",softwareprograma informáticologicial,"софтвер, м јд",软件
171-01-22,"functional unit, <in information processing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-22,"وحدة وظيفية, <فى معالجة المعلومات>","funkční jednotka, <ve zpracování informací>","Funktionseinheit, <in der Informationsverarbeitung> f","functional unit, <in information processing>","toiminnallinen yksikkö, <tietojenkäsittelyssä>","unité fonctionnelle, <en informatique> f","機能単位, <情報処理の>","jednostka funkcjonalna, <w technice komputerowej> fzespół funkcjonalny, m","unidade funcional, <no tratamento ou processamento da informação>","функционална јединица, <у обради информација> ж јд","功能单元, <信息处理中>"
171-01-23,"resource, <in computer technology>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-23,"مصدر, <فى تقنية الحاسب الآلى >","zdroj, <v počítačové technologii>","Ressource, <in der Computertechnik> f","resource, <in computer technology>","resurssi, <tietokonetekniikassa>","ressource, <en informatique> f","資源, <コンピュータ技術の>","zasób, <w technice komputerowej> m","recurso, <na tecnologia da informação>","ресурс, <у рачунарској технологији> м јд","资源, <计算机技术中>"
171-01-24,interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-24,تداخل بينى,rozhraní,"Schnittstelle, f",interface,rajapintaliitäntä,"interface, f",インターフェイス,"interfejs, msprzęg, młącze, n",interface,"интерфејс, м јд",接口
171-01-25,computer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-25,حاسب آلى,počítač,"Computer, m",computer,tietokone,"ordinateur, mcalculateur, m",コンピュータ,"komputer, m",computador,"рачунар, м јдкомпјутер, м јд",计算机
171-01-26,data processing system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-26,نظام معالجة البيانات,systém zpracování datpočítačový systémvýpočetní systém,"Datenverarbeitungssystem, n",data processing systemcomputer systemcomputing system,tietojenkäsittelyjärjestelmätietokonejärjestelmätietojärjestelmä,"système informatique, m",データ処理システム,"system przetwarzania danych , msystem komputerowy , msystem obliczeniowy, m",sistema de tratamento de dadossistema de processamento de dados,"систем за обраду података, м јдрачунарски систем, м јдкомпјутерски систем, м јд",数据处理系统
171-01-27,computer science,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-27,علم الحاسب الآلى,počítačová věda,"Informatik, f",computer science,tietojenkäsittelytiede,"informatique, f",コンピュータサイエンス,"informatyka, f",ciência informática,"рачунарство, с јд",计算机科学
171-02-01,data element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-01,عنصر بيان,datový prvek,"Datenelement, n",data element,tietoalkio,"élément de données, m",データ要素,"element danych, m",elemento de dados,"елемент податка, м јд",数据元素
171-02-02,"n-ary, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-02,"مصفوفة أعداد, صفة",n-ární,"n-är, Adjektivn-stufig, Adjektivn-wertig, Adjektiv","n-ary, adj",n-kantainenn-arvoinen,"n-aire, adj",ｎ進,"n-arny, adjn-argumentowy, adj","n-ário, adj","n-арни, придев",n-元的
171-02-03,"binary, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-03,"ثنائى, صفة",binární,"binär, Adjektiv","binary, adj",binääri-binäärinenbinääriarvoinen,"binaire, adj",2進2価,"binarny, adjdwuskładnikowy, adj","binário, adj","бинарни, придев",二进制的
171-02-04,"ternary, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-04,"ثلاثى, صفة",ternární,"ternär, Adjektiv","ternary, adj",kolmikantainen,"ternaire, adj",3進3価,"trójkowy, adjtrójskładnikowy, adjternarny, adj","ternário, adj","тернарни, придев",三进制的
171-02-05,"octal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-05,"ثمانى, صفة",osmičkový,"oktal, Adjektiv","octal, adj",oktaali-oktaalinen,"octal, adj",8進8価,"ósemkowy, adjoctalny, adj","octal, adj","октални, придев",八进制的
171-02-06,"decimal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-06,"عشرى, صفة",desítkový,"dezimal, Adjektiv","decimal, adj",desimaali-desimaalinen10-kantainen,"décimal, adj",10進,"dziesiętny, adjdecymalny, adj","decimal, adj","децимални, придев",十进制的
171-02-07,"duodecimal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-07,"عشرينى, صفة",dvanáctkový,"duodezimal, Adjektiv","duodecimal, adj",duodesimaali-duodesimaalinen12-kantainen,"duodécimal, adj",12進,"dwunastkowy, adjduodecymalny, adj","duodecimal, adj","дуодецимални, придев",十二进制的
171-02-08,"hexadecimal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-08,"سداسى عشرى, صفة",šestnáctkovýNEVHODNÝ TERMÍN: sexadecimální,"hexadezimal, Adjektivsexadezimal, Deprecated","hexadecimal, adjDEPRECATED: sexadecimal, adj",heksadesmaali-heksadesimaalinen16-kantainen,"hexadécimal, adjDÉCONSEILLÉ: sexadécimal, adj",16進,"szestnastkowy, adjheksadecymalny, adj","hexadecimal, adj","хексадецимални, придев",十六进制的
171-02-09,amount of data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-09,كمية البيانات,množství dat,"Datenmenge, f",amount of data,tietomäärä,"quantité de données, f",データ量,"ilość danych, f",quantidade de dados,"количина података, ж јд",数据量
171-02-10,binary digit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-10,ثنائى رقم,"binární číslicebit, <datový prvek>","Binärziffer, fBit, <Datenelement> n","binary digitbit, <data element>","bitti, <tietoalkio>","élément binaire, mbit, <élément de données> m",2進数2進数字ビット,"cyfra binarna, fbit, <element danych> m","dígito bináriobit, <elemento de dados>","бинарна цифра, ж јдбит, <елемент података> м јд","二进制数字比特, <数据元素><相关条目:171-02-11>"
171-02-11,"bit, <unit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-11,"خانة, <وحدة>","bit, <jednotka>","Bit, <Maßeinheit> n","bit, <unit>","bitti, <yksikkö>","bit, <unité> m","ビット, <単位>","bit, <jednostka> m","bit, <unidade>","бит, <јединица> м јд","比特, <单位><相关条目:171-02-10>"
171-02-12,"byte, <data element>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-12,"وحدة من ثمانية خانات, <عنصر بيان>","bajt, <datový prvek>oktet, <datový prvek>","Byte, <Datenelement> nOktett, <Datenelement> n","byte, <data element>octet, <data element>8-bit byte, US","tavu, <tietoalkio>oktetti, <tietoalkio>8-bittinen tavu","octet, <élément de données> m","バイト, <データ要素>","bajt, <element danych> m","byte, <elemento de dados>octeto, <elemento de dados>","бајт, <сродни термин: IEV 171-02-13> м јдоктет, <елемент података> <сродни термин, синоним: IEV 171-02-13> м јд","字节, <数据元素><相关条目:171-02-13>八位字节, <数据元素><相关条目:171-02-13>"
171-02-13,"byte, <unit>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-13,"بايت, <وحدة>","bajt, <jednotka>oktet, <jednotka>","Byte, <Maßeinheit> nOktett, <Maßeinheit> n","byte, <unit>octet, <unit>","tavu, <yksikkö>oktetti, <yksikkö>","octet, <unité> m","バイト, <単位>","bajt, <jednostka> moktet, m","byte, <unidade>octeto, <unidade>","бајт, <јединица> <сродни термин: IEV 171-02-12> м јдоктет, <јединица> <сродни термин, синоним: IEV 171-02-12> м јд","字节, <单位><相关条目:171-02-12>八位字节, <单位><相关条目:171-02-12>"
171-02-14,kibi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-14,كيلو بايت,kibi,Kibi,kibi,kibi-,kibi,キビ,"Kikibi, <kibibajt = 210 bajtów = 1024 bajtów> m",kibi,киби,Kikibi
171-02-15,mebi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-15,ميجابايت,mebi,Mebi,mebi,mebi-,mébi,メビ,"Mimebi, <mebibajt = 220 bajtów> m",mebi,меби,Mimebi
171-02-16,gibi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-16,جيجابايت,gibi,Gibi,gibi,gibi-,gibi,ギビ,"Gigibi, <gibibajt = 230 bajtów>  m",gibi,гиби,GiGibi吉比
171-02-17,tebi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-17,تيرابايت,tebi,Tebi,tebi,tebi-,tébi,テビ,"Titebi, <tebibajt = 240 bajtów> m",tebi,теби,TiTebi
171-02-18,pebi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-18,بيتابايت,pebi,Pebi,pebi,pebi-,pébi,ペビ,"Pipebi, <pebibajt = 250 bajtów>  m",pebi,пеби,Pipebi皮比
171-02-19,exbi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-19,ايجزابايت,exbi,Exbi,exbi,exbi-,exbi,エクスビ,"Eiexbi, <exbibajt = 260 bajtów> m",exbi,ексби,EiExbi
171-02-20,zebi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-20,زيبابايت,zebi,Zebi,zebi,zebi-,zébi,ゼビ,"Zizebi, <zebibajt = 270 bajtów>  m",zebi,зеби,Zizebi
171-02-21,yobi,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-21,يوبى بايت,yobi,Yobi,yobi,yobi-,yobi,ヨビ,"Yiyobi, <mebibajt = 280 bajtów>  m",yobi,јоби,Yiyobi
171-02-22,n-bit byte,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-22,مجموجعة أعداد ثنائية,n-bitový bajt,"n-bit Byte, n",n-bit byte,n-bittinen tavu,"multiplet, mn-uplet, m",nビットバイト,n-bitowy bajt,byte de n bitsmultipleto,"n-битни бајт, м јд","n-比特字节, <相关条目:171-02-23>"
171-02-23,"n-bit byte, <exactly n>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-23,"مجموعة أعداد ثنائية, <تماما n>","n-bitový bajt, <přesně <i>n</i>>","n-bit Byte, <genau n> n","n-bit byte, <exactly n>","n-bittinen tavu, <tasan n>","n-uplet, <exactement n> m","nビットバイト, <ちょうど n>","n-bitowy bajt, <dokładnie n>","byte de n bits, <exatamente n>n-pleto, <exatamente n>","n-битни бајт, <тачно n> м јд","n-比特字节, <确定地><相关条目:171-02-22>"
171-02-24,character set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-24,مجموعة احرف,soubor znaků,"Zeichensatz, m",character set,merkistö,"jeu de caractères, m",文字集合,"zbiór znaków, m",conjunto de carácteres,"скуп карактера, м јд",字符集
171-02-25,alphabet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-25,ابجدية,abeceda,"Alphabet, n",alphabet,aakkoset,"alphabet, m",アルファベット,"alfabet, m",alfabeto,"алфабет, м јд",字母表
171-02-26,string,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-26,سلسلة,řetězec,"Zeichenkette, f",string,merkkijono,"chaîne, f",列,"ciąg, <znaków> m",cadeia,"низ, м јд","串序列, <相关条目：171-02-45>"
171-02-27,word,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-27,كلمة,slovo,"Wort, n",word,sana,"mot, m",語,"słowo, n",palavra,"реч, ж јд",字
171-02-28,"record, <in data processing>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-28,"تسجيل, < فى معالجة البيانات>","záznam, <ve zpracování dat>","Datensatz, <in der Datenverarbeitung> m","record, <in data processing>",tietue,"enregistrement, <en informatique> m","レコード, <データ処理>","zapis, <w przetwarzaniu danych> mrekord, <w przetwarzaniu danych> m","registo, <em tratamento de dados>","запис, <у обради података> м јд","记录, <数据处理中>"
171-02-29,"field, <in software>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-29,"حقل, <فى البرمجيات>","pole, <v softwaru>","Feld, <in Software> n","field, <in software>",kenttä,"zone, <en logiciel> f","フィールド, <ソフトウェア>","pole, <w oprogramowaniu> n","campo, <em software>campo, <em programa informático>","поље, <у софтверу> с јд","字段, <软件中>"
171-02-30,file,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-30,ملف,soubor,"Datei, f",file,tiedosto,"fichier, m",ファイル,"plik, m",ficheiro,"фајл, м јддатотека, ж јд",文件
171-02-31,table,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-31,جدول,tabulka,"Tabelle, f",table,taulukko,"table, ftableau, m",テーブル,"tablica, f",tabela,"табела, ж јд",表
171-02-32,list,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-32,قائمة,seznam,"Liste, f",list,lista,"liste, f",リスト,"lista, fwykaz, m",lista,"листа, ж јд",列表
171-02-33,queue,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-33,صف,fronta,"Warteschlange, f",queue,jono,"file d'attente, f",待ち行列先入れ先出しリスト,"kolejka, f",fila,"ред, м јд",队列
171-02-34,mean queue length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-34,الطول المتوسط للصف,střední délka fronty,"mittlere Warteschlangenlänge, f",mean queue length,keskimääräinen jononpituus,"longueur moyenne de file d'attente, f",待ち行列長さ,"średnia długość kolejki, f",comprimento de fila médio,"средња дужина реда, ж јд",平均队列长度
171-02-35,identifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-35,رمز معرف,identifikátor,"Bezeichner, m",identifier,tunniste,"identificateur, m",識別子,"identyfikator, msymbol identyfikujący, m",identificador,"идентификатор, м јд",标识符
171-02-36,"key, <in organization of data>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-36,"مفتاح, <فى انجاز البيانات>","klíč, <v uspořádání dat>","Schlüssel, <bei der Organisation von Daten> m","key, <in organization of data>",avain,"clé, <en organisation des données> f","キー, <データ構造の>","klucz, <w organizacji danych> midentyfikator zapisu , <w organizacji danych> m","chave, <em organização de dados>","кључ, <у организацији података> м јд","键, <数据的组织中>"
171-02-37,"label, <in organization of data>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-37,"ملصق عنوان, <فى انجاز البيانات>","návěští, <v uspořádání dat>","Marke, <bei der Organisation von Daten> f","label, <in organization of data>",datayksikön nimike,"étiquette, <en organisation des données> flabel, <en organisation des données> m","ラベル, <データ構造の>名札","etykieta, <w organizacji danych> f","etiqueta, <em organização de dados>","етикета, <у организацији података> ж јд","标签, <数据的组织中>"
171-02-38,pointer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-38,مؤشر,ukazatel,"Zeiger, m",pointer,osoitin,"pointeur, m",ポインタ,"wskaźnik, m",apontador,"показивач, м јдпоинтер, м јд",指针
171-02-39,delimiter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-39,محدد,oddělovač,"Begrenzer, m",delimiter,erotin,"délimiteur, m",区切り記号,"ogranicznik, m",separador,"разделник, м јд",定界符
171-02-40,"convert, <in data processing> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-40,"يحول, <فى معالجة البيانات>","konvertovat, <ve zpracování dat>","umsetzen, <in der Datenverarbeitung> Verbumformen, <in der Datenverarbeitung> Verb","convert, <in data processing> verb",muuntaakonvertoida,"convertir, <en informatique> verbe","変換, <データ処理>","przekształcić, <w przetwarzaniu danych> verbprzekonwertować, <w przetwarzaniu danych> verb","converter, <em tratamento de dados> verb","конвертовати, <у обради података> глагол","转换, <数据处理中>"
171-02-41,"read, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-41,"يقرأ, فعل",číst,"lesen, Verb","read, verb",lukea,"lire, verbe",読取り,"czytać, verb","ler, verb","читати, глагол",读
171-02-42,"write, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-42,"يكتب, فعل",zapsat,"schreiben, Verb","write, verb",kirjoittaa,"écrire, verbe",書込み,"zapisywać, verb","escrever, verb","писати, глагол",写
171-02-43,"delete, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-43,"يمسح, فعليمحو",vymazat,"löschen, Verb","delete, verb",poistaa,"supprimer, verbe",削除,"usuwać, verb","apagar, verb","брисати, глагол",删除
171-02-44,order,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-44,ترتيب,pořadí,"Ordnung, f",order,järjestys,"rangement, mclassement, m",順序,"kolejność, f",ordem,"ред, м јд",次序
171-02-45,"sequence, <in organization of data>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-45,"تتالي, <فى انجاز البيانات>","posloupnost, <v uspořádání dat>","Folge, <in der Organisation von Daten> f","sequence, <in organization of data>",sekvenssi,"séquence, <en organisation des données> f","シーケンス, <データ構造の>列","sekwencja, <w organizacji danych> f","sequência, <em organização de dados>","секвенца, <у организацији података> ж јд","序列, <数据的组织中><相关条目：171-02-26>"
171-02-46,syntax,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-46,بناء الجملةقواعد اللغة,syntaxe,"Syntax, f",syntax,syntaksi,"syntaxe, f",構文,"składnia, fsyntaktyka, f",sintaxe,"синтакса, ж јд",语法
171-02-47,bar code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-02-47,شفرة القضبان,čárový kód,"Barcode, m",bar code,viivakoodi,"code à barres, m",バーコード,"kod kreskowy, mkod paskowy, m",código de barras,"бар-код, м јд",条形码
171-03-01,"logic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-01,"منطقى, صفة",logický,"logisch, Adjektiv","logic, adj",looginen,"logique, adj",論理,"logiczny, adj","lógico, adj","логички, придев",逻辑的
171-03-02,logic operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-02,عملية منطقيةوظيفة منطقية,logická operacelogická funkce,"logische Operation, f",logic operationlogic function,looginen operaatiologiikkaoperaatiolooginen funktiologiikkafunktio,"opération logique, ffonction logique, f",論理演算,"operacja logiczna, f",operação lógica,"логичка операција, ж јдлогичка функција, ж јд",逻辑操作
171-03-03,operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-03,مشغل,operátor,"Operator, m",operator,operaattori,"opérateur, m",演算子,"operator, msymbol rodzaju operacji, mfunktor operacji, m",operador,"оператор, м јд",运算符
171-03-04,operand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-04,معامل,operand,"Operand, m",operand,operandi,"opérande, m",オペランド演算数,"operand, margument, <operacji> m",operando,"операнд, м јд",运算数
171-03-05,Boolean operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-05,عملية بولياندالة بوليان,booleovská operacebooleovská funkce,"Boolesche Operation, fBoolesche Funktion, f",Boolean operationBoolean function,Boolen algebran operaatioBoolen operaatioBoolen algebran funktioBoolen funktio,"opération booléenne, ffonction booléenne, f",ブール演算,"operacja boolowska, ffunkcja boolowska, f",operação booleana,"Булова операција, ж јдБулова функција, ж јд",布尔运算
171-03-06,Boolean operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-06,مشغل بوليان,booleovský operátor,"Boolescher Operator, m",Boolean operator,Boolen algebran operaattoriBoolen operaattori,"opérateur booléen, m",ブール演算子,"operator boolowski, m",operador booleano,"Булов оператор, м јд",布尔运算符
171-03-07,n-adic Boolean operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-07,عملية بوليان ذات التكامل المتعدد (n),n-adická booleovská operace,"n-stellige Boolesche Operation, fn-adische Boolesche Operation, f",n-adic Boolean operation,n-operandinen Boolen algebran operaation-operandinen Boolen operaatio,"opération booléenne n-adique, f",n項ブール演算,"n-argumentowa operacja boolowska, f",operação booleana n-ádica,"n-арна Булова операција, ж јд",n-元布尔运算
171-03-08,dyadic Boolean operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-08,عملية بوليان ذات التكامل الثنائي,dyadická booleovská operace,"zweistellige Boolesche Operation, fdyadische Boolesche Operation, f",dyadic Boolean operation,kaksioperandinen Boolen algebran operaatiokaksioperandinen Boolen operaatio,"opération booléenne dyadique, fopération booléenne diadique, f",2項ブール演算,"binarna operacja boolowska, f",operação booleana diádica,"бинарна Булова операција, ж јд",二元布尔运算
171-03-09,monadic Boolean operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-09,عملية بوليان ذات التكامل الأحادي,monadická booleovská operace,"einstellige Boolesche Operation, fmonadische Boolesche Operation, f",monadic Boolean operation,yksioperandinen Boolen algebran operaatioyksioperandinen Boolen operaatio,"opération booléenne monadique, f",単項ブール演算,"jednoargumentowa operacja boolowska, fjednoargumentowa operacja logiczna, f",operação booleana monádica,"унарна Булова операција, ж јд",一元布尔运算
171-03-10,negation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-03-10,عملية نفي,negaceoperace NOT,"Negation, fVerneinung, f",negationNOT operation,negaatioEI-operaatio,"négation, fopération non, fnon, m",否定,"negacja, foperacja negacji, f",negação,"негација, ж јдоперација НЕ, ж јд",非
