term_id,term,term_url,ar,cs,de,en,es,fi,fr,ja,ko,pl,pt,sr,sv,zh
732-01-11,virtual local area network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-11,إختصار (VLAN)شبكة محلية إفتراضية,virtuální lokální síťVLAN,"virtuelles lokales Netz, nVLAN, Abkürzung, n",virtual local area networkVLAN (abbreviation),"red de área local virtual, VLAN (abreviatura)",virtuaalinen lähiverkko,"réseau local virtuel, m","仮想ローカルエリアネットワークVLAN, （略語）",가상 근거리 통신망브이랜,sieć wirtualna lokalnaVLAN (akronim),rede local sem fios,"виртуелна локална мрежа, ж јдVLAN",virtuellt lokalt nätverkVLAN (förkortning),虚拟局域网VLAN
732-01-12,server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-12,خادم,server,"Server, m",server,servidor,palvelin,"serveur, m",サーバ,서버,serwer,servidor,"сервер, м јд",server,服务器
732-01-13,client,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-13,زبونعميل,klient,"Client, m",client,cliente,asiakaskoneasiakas,"client, m",クライアント,클라이언트,program klienckiaplikacja kliencka,cliente,"клијент, м јд",klient,客户
732-01-14,host computer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-14,حاسوب مضيفالمضيفالحاسب المضيف,hostitelský počítačhostitel,"Hostrechner, m",host computerhost,"ordenador anfitrión, anfitrión",isäntäkoneisäntä,"ordinateur hôte, mhôte, m",ホストコンピュータホスト,주 컴퓨터,komputer centralnykomputer głównyhost,computador hospedeirohospedeiro,"матични рачунар, м јдхост, м јд",värddatorvärd,主计算机主机
732-01-15,network site,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-15,موقع شبكة,"místo sítěmísto, <v počítačových sítích>","Netzstandort, m",network sitenet sitesite (in computer networks),"sitio de red, sitio (en redes de ordenadores)",verkkopaikka,"site de réseau, msite (dans les réseaux d’ordinateurs), m","ネットワークサイトネットサイトサイト, <コンピュータネットワークの>","망 사이트넷 사이트사이트, <컴퓨터 망>",miejsce sieciowe,sítio de redesítio (em redes de computadores),"мрежна локација, ж јдсајт, м јдлокација, <у рачунарским мрежама> ж јд","nätverksplats, domän, plats",网站
732-01-16,access point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-16,نقطة وصول,přístupový bod,"Zugangspunkt, m",access point,punto de acceso,liityntäkohtaliityntäpiste,"point d’accès, maccess point",アクセスポイント,접근점,punkt dostępu,ponto de acesso,"тачка приступа, ж јд",anslutningspunkt,接入点
732-01-17,gateway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-17,بوابة,bránagateway,"Netzkoppler, mGateway, n",gateway,pasarela,yhdyskäytävä,"passerelle, f",ゲートウェイ,게이트웨이관문,bramaprzejście,passarela,"мрежни пролаз, м јд","gateway, nätverkssluss",网关
732-01-18,router,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-18,موجه,směrovačrouter,"Router, m",router,enrutador,reititin,"routeur, m",ルータ,경로 지정기라우터,ruterurządzenie trasujące,encaminhadorrouter,"рутер, м јдмрежни усмеривач, м јд",router,路由器
732-01-19,bridge (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-19,الجسر (فى ربط الشبكات),"most, <v počítačových sítích>bridge","Brücke (in Rechnernetzen), fBridge, f",bridge (in computer networks),puente (en redes de ordenadores),silta,"pont (dans les réseaux d’ordinateurs), m","ブリッジ, <コンピュータネットワークの>","브리지, <컴퓨터 망>",most (w sieciach komputerowych)mostek sieciowy,ponte (em redes de computadores),"мост, <у рачунарским мрежама> м јд","brygga, nätverksbrygga","桥接器, <在计算机网络中>"
732-01-20,repeater (in local networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-20,مكرر الإرسال,"opakovač, <v lokálních sítích>repeater","Regenerator (in lokalen Netzen), mRepeater, m",repeater (in local networks),repetidor (en redes locales),toistin,"répéteur (dans les réseaux locaux), m","リピータ, <ローカルネットワークの>","중계기, <근거리 통신망>",wzmacniak (w sieciach lokalnych),repetidor (em redes de computadores),"репетитор, <у локалним мрежама> м јд",repeater,"中继器, <在局域网中>"
732-01-21,hub,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-21,المفرع,rozbočovačhub,"Sternverteiler, mHub, m",hub,concentrador,keskitin,"concentrateur, m",ハブ,허브,koncentratorhubwęzeł centralny,concentradorhub,"разводник, м јдзвездиште, с јд","nätverkshubb, hubb, nätnav",集线器
732-01-22,switch (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-22,المحول الآلى (فى ربط الشبكات),"přepínač, <v počítačových sítích>switch","Switch (in Rechnernetzen), m",switch (in computer networks),conmutador (en redes de ordenadores),kytkin,"commutateur (dans les réseaux d’ordinateurs), m","スイッチ, <コンピュータネットワークの>","교환, <컴퓨터 망>스위치",przełącznik sieciowywęzeł komutacyjny,comutador (em redes de computadores),"преклопник, <у рачунарским мрежама> м јд","switch, växel","交换机, <在计算机网络中>"
732-01-23,information provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-23,مزود معلومات,poskytovatel informací,"Informationsanbieter, m",information provider,proveedor de información,tiedontuottaja,"fournisseur d’informations, mprestataire d’informations, m",情報プロバイダ,정보 제공자,dostawca informacji,fornecedor de informação,"провајдер информација, м јдпружалац информација, м јд",informationsleverantör,信息提供方
732-01-24,content provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-24,مزود المحتوى,poskytovatel obsahu,"Inhaltsanbieter, m",content provider,proveedor de contenidos,sisällöntuottaja,"fournisseur de contenu, m",コンテンツプロバイダ,콘텐츠 제공자내용물 제공자,organizator bazy danych,fornecedor de conteúdo,"провајдер садржаја, м јд",innehållsleverantör,内容提供方
732-01-25,access provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-25,مزود الوصول للشبكة,poskytovatel přístupu,"Zugangsanbieter, m",access provider,proveedor de acceso,liittymäntarjoaja,"fournisseur d’accès, m",アクセスプロバイダ,접근 제공자,organizator dostępu (do sieci),fornecedor de acesso,"провајдер приступа, м јд",operatör,接入提供方
732-01-26,service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-26,مزود خدمات,poskytovatel služby,"Dienstanbieter, m",service provider,proveedor de servicios,palveluntarjoaja,"fournisseur de services, m",サービスプロバイダ,서비스 제공자,usługodawcadostawca usług,fornecedor de serviços,"провајдер услуге, м јдпружалац услуге, м јд",serviceleverantör,服务提供方
732-01-27,content hosting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-27,الإستضافة,hostování obsahuhosting,"Datenbewahrung, fDatenhosting, n",content hostinghosting,"alojamiento de datos, alojamiento",sisällönisännöintiisännöinti,"hébergement de contenu, mhébergement, m",コンテンツホスティングホスティング,콘텐츠 호스팅내용물 주관,przechowywanie danych (u usługodawcy),hospedagem de conteúdohospedagem,"смештај садржаја, м јдхостинг, м јд","hosting, värd",内容托管托管
732-01-28,application service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-28,ختصار (ASP)موفر خدمات التطبيقات,poskytovatel aplikačních služebASP,"Anwendungsanbieter, m",application service providerASP (abbreviation),"proveedor de aplicaciones, ASP (abreviatura)",sovelluspalveluntarjoajasovelluspalveluntuottaja,"fournisseur de services d’applications, m","アプリケーションサービスプロバイダASP, （略語）",응용 서비스 제공자에이에스피,dostawca usług aplikacyjnychASP (akronim),fornecedor de serviços de aplicações,"провајдер апликативне услуге, м јдASP","ASP (förkortning), applikationsuthyrare",应用服务提供方ASP
732-01-29,network operating system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-29,إختصار (NOS)نظام تشغيل الشبكة,síťový operační systémNOS,"Netzbetriebssystem, nNOS, Abkürzung, n",network operating systemNOS (abbreviation),"sistema de explotación de red, NOS (abreviatura)",verkkokäyttöjärjestelmä,"système d’exploitation de réseau, m","ネットワークオペレーティングシステムNOS, （略語）",통신망 운영 체계엔오에스,system operacyjny sieciowyNOS (akronim),sistema de operação de rede,"мрежни оперативни систем, м јдNOS","nätverksoperativsystem, NOS (förkortning)",网络操作系统NOS
732-01-30,tunnelling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-30,توصيل شبكتين,tunelování,"Tunneln, n",tunnelling,canalización,tunnelointi,"tunnellisation, ftransmission tunnel, f",トンネリング,터널링,tunelowanie sieci,tunelização,"тунеловање, с јд",tunnel,隧道技术
732-01-31,domain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-31,النطاق,doména,"Domäne, f",domain,dominio,verkkoalue,"domaine, m",ドメイン,영역도메인,domena,domínio,"домен, м јд",domän,域
732-01-32,domain name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-32,اسم النطاق,jméno domény,"Domänenname, m",domain name,nombre de dominio,verkkotunnus,"nom de domaine, m",ドメイン名,영역명도메인 이름,nazwa domeny,nome de domínio,"име домена, с јд",domännamn,域名
732-02-01,network management,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-01,ادارة الشبكة,management sítěřízení sítěspráva sítě,"Netzverwaltung, f",network managementnetwork administration,"gestión de red, administración de red",verkonhallinta,"gestion de réseau, fadministration de réseau, f",ネットワーク管理,망 관리,zarządzanie siecią,gestão de rede,"управљање мрежом, с јдадминистрирање мреже, с јд",nätverksadministrationnätverksledning,网络管理
732-02-02,network information centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-02,إختصار (NIC)مركز شبكة المعلومات,informační centrum sítěNIC,"Netzinformationszentrum, nNIC, Abkürzung, n",network information centreNIC (abbreviation),"centro de información de red, NIC (abreviatura)",verkon informaatiokeskus,"centre d’information du réseau, mcentre NIC, m","ネットワーク情報センターNIC, （略語）",망 정보 센터엔아이시,centrum informacyjne sieciNIC (akronim),centro de informação de rede,"мрежни информациони центар, м јдNIC",informationscentrum för nätverk,网络信息中心NIC
732-02-03,network operations centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-03,إختصار (NOC)مركز عمليات الشبكة,dohledové centrum sítěNOC,"Netzbetriebszentrum, n",network operations centreNOC (abbreviation),"centro de explotación de red, NOC (abreviatura)",verkon käyttökeskus,"centre d’exploitation du réseau, m","ネットワーク運用センターNOC, （略語）",망 운용 센터엔오시,centrum operacyjne sieciNOC (akronim),centro de operação de rede,"мрежни оперативни центар, м јдNОC",nätverksövervakningscentral,网络运行中心NOC
732-02-04,network administrator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-04,مسئول الشبكة,správce sítě,"Netzadministrator, m",network administrator,administrador de red,verkkovastaava,"administrateur de réseau, m",ネットワーク管理者,망 관리자,administrator sieci,administrador de rede,"администратор мреже, м јд",nätverksadministratör,网络管理员
732-02-05,network manager,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-05,مدير الشبكة,manažer sítě,"Netzmanager, m",network manager,gestor de red,verkonhallintaväline,"gestionnaire de réseau, m",ネットワーク管理者,망 관리자,menedżer sieciorgan zarządzania siecią,gestor de rede,"мрежни менаџер, м јдсофтвер за управљање мрежом, м јд",…,网络管理器
732-02-06,network management server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-06,خادم ادارة الشبكة,server managementu sítě,"Netzverwaltungs-Server, m",network management server,servidor de gestión de red,verkonhallintapalvelin,"serveur de gestion de réseau, m",ネットワーク管理サーバ,망 관리 서버,serwer zarządzania siecią,servidor de gestão de rede,"сервер за управљање мрежом, м јд",…,网络管理服务器
732-02-07,network agent (in network management),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-07,وكيل شبكة (فى ادارة الشبكات),"síťový agent, <v managementu sítě>","Netzmanagement-Agent, m",network agent (in network management),agente de red (en gestión de red),verkkoagentti,"agent de réseau (en gestion de réseau), m","ネットワークエージェント, <ネットワーク管理の>","망 에이전트, <망 유지관리>",agent sieciowy (wykonawczy),agente de rede (em gestão de rede),"мрежни агент, <у управљању мрежом> м јд",nätverksagent (i nätverksledning),"网络代理, <在网络管理中>"
732-02-08,network assistant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-08,مساعد شبكات,síťový asistent,"Netzmanagement-Assistent, m",network assistant,asistente de red,verkonhallinnan apuväline,"assistant de réseau (en gestion de réseau), m",ネットワークアシスタント,망 보조원,organ asystencki (w zarządzaniu siecią),assistente de rede (em gestão de rede),"асистент мреже, м јдпомоћни софтвер за управљање мрежом, м јд",nätverksassistent,网络助手
732-02-09,managed object,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-09,ادارة الكيان,řízený objekt,"verwaltetes Objekt, n",managed object,objeto gestionado,hallittava kohde,"objet géré, m",管理オブジェクト,관리 대상 객체,obiekt zarządzany,objecto gerido,"управљани објекат, м јд",…,被管理对象管理对象
732-02-10,notification (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-10,الإخطار (فى الشبكات),"oznámení, <v počítačových sítích>notifikace","Benachrichtigung (in Rechnernetzen), f",notification (in computer networks),notificación (en redes de ordenadores),ilmoitus,"notification (dans les réseaux d’ordinateurs), f","通知, <コンピュータネットワークの>","통보, <컴퓨터 망>",zgłoszenie (w sieciach komputerowych)powiadomienie (w sieciach komputerowych),notificação (em redes de computadores),"обавештење, <у рачунарским мрежама> с јд","notifiering, meddelande","通告, <在计算机网络中>"
732-02-11,management domain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-11,ادارة النطاق,doména managementu,"Verwaltungsdomäne, f",management domain,dominio de gestión,hallinta-alue,"domaine de gestion, m","管理ドメイン, <コンピュータネットワークの>",관리 영역,domena zarządzania,domínio de gestão,"домен управљања, м јд",administrativ domän,管理域
732-02-12,remote bootstrapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-12,الربط عن بعد,vzdálené provádění bootstrapu,"Fernurladen, n",remote bootstrapping,inicialización a distancia,etäesilataus,"amorçage à distance, m",リモートブートストラップ,원격 시동원격 부팅,restartowanie zdalne,escorvagem remota,"самоподизање са даљине, с јд",fjärrstart,远程引导
732-02-13,network analysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-13,تحليل الشبكة,analýza sítě,"Netzanalyse, f",network analysis,análisis de red,verkkoanalyysi,"analyse de réseau, f",ネットワーク分析,망해석,analiza sieci,análise de rede,"анализа мреже, ж јд",nätverksanalys,网络分析
732-02-14,network analyzer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-14,محلل الشبكة,analyzátor sítě,"Netzanalysator, m",network analyzer,analizador de red,verkkoanalysaattori,"analyseur de réseau, m",ネットワークアナライザ,망 분석기네트워크 분석기,analizator sieci (komputerowej),analisador de rede,"анализатор мреже, м јд",nätverksanalyserare,网络分析器
732-02-15,audit (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-15,المراجعة (فى الشبكات),"audit, <v počítačových sítích>","Audit (in Rechnernetzen), n",audit (in computer networks),auditoria (en redes de ordenadores),tarkastus,"audit (dans les réseaux d’ordinateurs), m","監査, <コンピュータネットワークの>","감사, <컴퓨터 망>",audyt (sieci komputerowej)przegląd (sieci komputerowej),auditoria (em redes de computadores),"надзор, <рачунарске мреже> м јд",revision (i datornätverk),"审计, <在计算机网络中>"
732-02-16,packet sniffer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-02-16,وحدة المراقبةوحدة الملاحظة,paketový analyzátor,"Paketschnüffler, m",packet sniffer,rastreador de paquetes,pakettianalysaattori,"renifleur de paquets, m",パケットスニッファー,패킷 침입자,wykrywacz pakietów,fungão de pacotes,"алат за надгледање пакета, м јд",paketsniffer,分组嗅探器
732-03-01,remote login,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-01,الاتصال عن بعد,vzdálené přihlášení,"Fernzugriff, m",remote login,conexión a distancia,etäkirjautuminen,"connexion à distance, fouverture de session à distance, f",リモートログイン,원격 로그인,logowanie zdalne,conexão remota,"пријављивање са даљине, с јд",fjärrinloggning,远程登录
732-03-02,computer conference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-02,مؤتمر عبر الحاسب,počítačová konference,"Computerkonferenz, f",computer conference,teleconferencia,verkkoneuvotteluverkkokokous,"conférence par ordinateur, f",コンピュータ会議,컴퓨터 회의,konferencja internetowa,conferência por computador,"рачунарска конференција, ж јд",datorkonferens,计算机会议
732-03-03,forum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-03,مجموعات المناقشةمجموعة الأخباررسالة فى المنتدى,fórum,"Forum, n",forumnewsgroup,grupo de noticias,keskusteluryhmä,"forum, mgroupe de nouvelles, m",フォーラムニュースグループ,포럼뉴스 그룹토론회,forum (internetowe)grupa dyskusyjna (internetowa),fórumgrupo de notícias,"форум, м јддискусиона група, ж јд",forum,论坛
732-03-04,bulletin board,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-04,لوحة النشراتلوحة إعلانات,nástěnka,"Bulletinbord, n",bulletin board,tablón de anuncios electrónico,ilmoitustaulu,"babillard électronique, m",電子掲示板,게시판,konferencja internetowa dedykowana,tagarela electrónico,"електронска огласна табла, ж јд","BBS (förkortning), elektronisk anslagstavla",公告板
732-03-05,bulletin board system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-05,نظام لوحة النشراتنظام لوحة الإعلانات,systém nástěnkyBBS,"Bulletinbord-System, nBBS, Abkürzung, n",bulletin board systemBBS (abbreviation),"sistema de tablón de anuncios electrónico, BBS (abreviatura)",ilmoitustaulujärjestelmä,"système de babillard électronique, msystème BBS, m","電子掲示板システムBBS, （略語）",게시판 시스템비비에스,system biuletynów informatycznychBBS (akronim)system BBS,sistema de tagarela electrónico,"систем огласне табле, м јдBBS","BBS (förkortning), elektronisk anslagstavla",公告板系统BBS
732-03-06,forum article,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-06,مقالة المنتدى,článek fórapříspěvek,"Artikel, mMitteilung, f",forum articleposting,contribución al foro,verkkokeskusteluviestiverkkokeskusteluartikkeli,"article de forum, mcontribution, f",フォーラム記事投稿,포럼 기사글 게시,wiadomość na forumartykuł na forum,artigo de fórumpostagem,"текст за форум, м јдпостављање питања, с јд",forumartikel,论坛文章帖子
732-03-07,"post, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-07,نشرإرسال,odeslat,"postieren, Verbposten, Verb","post, verb",publicar,viestittää,"déposer, verbe","投稿する, 動詞",포스트,wysłać wiadomość (na forum),postar,"слати, <поруку> глагол",lägga in,发帖，动词
732-03-08,"subscribe, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-08,يشترك ،فعل,předplatitodebírat,"abonnieren, Verb","subscribe, verb",inscribir,tilataliittyä postituslistalle,"s’inscrire, verbes’abonner, verbe","会員登録する, 動詞",가입하다,zapisać się (na forum),inscrever-se,"претплатити се, глагол","prenumerera, verb",订阅，动词
732-03-09,response (in a computer conference),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-09,استجابة (فى مؤتمر عبر الحاسب),"odezva, <při počítačové konferenci>","Antwort (in einer Computerkonferenz), f",response (in a computer conference),respuesta (en una teleconferencia),vastaus,"réponse (dans une conférence par ordinateur), f","レスポンス, <コンピュータ会議の>",응답,odpowiedź (konferencji internetowej)odzew (konferencji internetowej),resposta (numa conferência por computador),"одговор, <на рачунарској конференцији> м јд",svar,"响应, <在计算机会议中>"
732-03-10,follow-up posting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-10,متابعةمتابعة النشر,navazující příspěvek,"Folgeartikel, mFolgemitteilung, f",follow-up postingfollow-up,"mensaje de seguimiento, seguimiento",jatkoviesti,"suivi, m",フォローアップ投稿フォローアップ,후속 글 게시,artykuł uzupełniający (na forum),seguimento,"реакција на постављање питања, ж јдреакција, ж јд",inläggning av uppföljningfölja upp,跟帖
732-03-11,discussion thread,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-11,سلسلة مناقشات,vlákno diskuse,"Artikelfolge, f",discussion thread,hilo de discusión,viestiketjukeskusteluketju,"fil de discussion, mfil (dans une conférence par ordinateur), m",ディスカッションスレッド,토론 줄거리토론 순차,wątek dyskusji (na forum),fio de discussão,"дискусиона нит, ж јд",diskussionsuppföljning,讨论线索
732-03-12,"crosspost, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-12,إرسال لعدة جهات ،فعل,přeposlat více účastníkům,"mehrfach postieren, Verb","crosspost, verb",hacer una publicación múltiple,yhteispostitus,"faire un dépôt multiple, verbe","クロスポストする, 動詞","횡단 게시하다, 동사",ogłaszać pod wieloma adresami,multipostar,"унакрсно слати, глагол",dubbelpostering,多版发帖，动词
732-03-13,moderator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-13,رئيس الجلسة,moderátor,"Moderator, m",moderator,moderador,valvoja,"modérateur, m",仲介者,사회자조정자,recenzentmoderator,moderador,"модератор, м јд",moderator,会议主持
732-03-14,moderated conference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-14,مؤتمر حوار,moderovaná konference,"moderierte Konferenz, f",moderated conference,conferencia con moderador,valvottu keskustelu,"conférence modérée, f",仲介形会議,사회자있는 회의,konferencja recenzowana,conferência moderada,"модераторска конференција, ж јд",moderator ledd konferens,有主持的会议
732-03-15,forum server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-15,خادم الأخبارخادم المنتدى,diskusní serverzpravodajský server,"Foren-Server, m",forum servernews server,"servidor del foro, servidor de noticias",yhteisöpalvelin,"serveur de forum, m",フォーラムサーバニュースサーバ,포럼 서버뉴스 서버,serwer obsługujący forumserwer grup dyskusyjnych,servidor de fórum,"сервер за форум, м јдсервер за дискусиону групу, м јд",forumservernyhetsserver,论坛服务器新闻服务器
732-03-16,news reader,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-16,عميل الأخبارقارئ للأخبار,čtečka informačních kanálůaplikace pro čtení informačních kanálů,"Foren-Client, m",news readernews client,"lector de noticias, cliente de noticias",uutisten lukuohjelma,"lecteur de forum, m",ニュースリーダーニュースクライアント,뉴스 읽는 사람뉴스 클라이언트뉴스 고객,program dostępu do forum,leitor de notíciascliente de notícias,"читач дискусионе групе, м јдклијент дискусионе групе, м јд","nyhetsklient, -läsare",新闻阅读器新闻客户
732-03-17,"lurk, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-03-17,يلاحظ سرا,tajně pozorovat,"belauschen, Verb","lurk, verb",espiar,tarkkailla,"épier, verbe","読んでばかりいる, 動詞",러크관찰하다,śledzenie forum,espiar,"ослушкивати, глагол",…,潜水，动词
