term_id,term,term_url,ar,de,en,es,fr,it,ja,pl,pt,zh
871-01-11,actor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-11,الجهة القائمة بالتواصل والتفاعل,"Akteur, m",actor,"actor, m","acteur, m",Attore,アクター役割を果たすもの,"aktor, m",ator,参与者
871-01-12,IADL,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-12,العمل الانسانى فى منظومة الانشطة االمعيشية اليومية,"IADLinstrumentelle Aktivität des täglichen Lebens, f",IADLinstrumental activity of daily living,"actividad instrumental de la vida diaria, f","AIVQ, factivité instrumentale de la vie quotidienne, f",IADLAttività strumentale della vita quotidiana,手段的日常生活動作,"narzędzia do czynności życia codziennego, n pl",AIVQatividade instrumental da vida quotidiana,工具性日常生活活动IADL
871-01-13,role,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-13,دور,"Rolle, f",role,"rol, m","rôle, m",Ruolo,役割,"rola, f",papel,角色
871-02-01,service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-01,مورد الخدمة,"Dienstleistungsanbieter, mDienstanbieter, mDiensteanbieter, m",service provider,proveedor de servicios,"fournisseur de services, m",fornitore di servizi,サービス提供者,"usługodawca, mdostawca usługi, m",fornecedor de serviços,服务提供者
871-02-02,AAL service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-02,مورد الخدمة للمساعدة الفعالة للمعيشة,"AAL-Dienstleistungsanbieter, mAAL-Dienstanbieter, m",AAL service provideractive assisted living service provider,proveedor de SADproveedor de servicios de ayuda a domicilio,"fournisseur de services AAD, mfournisseur de services d’assistance à l’autonomie à domicile, m",fornitore di servizi AALfornitore di servizi per l'assistenza attiva alla vita,AALサービス提供者,"usługodawca AAL, mdostawca usługi AAL, m",fornecedor de serviços AAL,积极辅助生活服务提供者
871-02-03,AAL technical assistant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-03,الدعم الفني للمساعدة الفعالة للمعيشة,"AAL-Technikassistent, m",AAL technical assistantactive assisted living technical assistant,asistente técnico de SADasistente técnico de servicios de ayuda a domicilio,"assistant technique AAD, massistante technique AAD, fassistant technique à l’autonomie à domicile, massistante technique à l’autonomie à domicile, f",assistente tecnico AALassistente tecnico per l'assistenza attiva alla vita,AAL技術アシスタント,"asystent techniczny AAL, m",assistente técnico AAL,积极辅助生活技术助理
871-02-04,AAL operator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-04,مشغل المساعدة الفعالة للمعيشة,"AAL-Betreiber, m",AAL operatoractive assisted living operator,operador SADoperador de servicios de ayuda a domicilio,"opérateur AAD, mopérateur d’assistance à l’autonomie à domicile, m",addetto AALaddetto all'assistenza attiva alla vita,AALオペレーターAAL操作者,"operator AAL, m",operador AAL,积极辅助生活操作员
871-02-05,AAL user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-05,مستخدم AAL,"AAL-Nutzer, m",AAL user active assisted living user,usuario SADusuario de servicios de ayuda a domicilio,"utilisateur AAD, mutilisateur d’assistance à l’autonomie à domicile, m",utilizzatore AALutilizzatore dell'assistenza attiva alla vita,AALユーザー,"użytkownik AAL, m",utilizador AAL,积极辅助生活用户
871-02-06,activity limitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-06,حدود النشاط,"Beeinträchtigung der Aktivität, f",activity limitation,limitación de actividad,"limitation d’activité, f",limitazione dell'attività,活動制限,"ograniczenie aktywności, n",limitação de atividade,活动受限
871-02-07,impairment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-07,تأخر الحالة,"Schädigung, f",impairment,deficiencia,"déficience, f",deficit,機能障害,"upośledzenie, ndeficyt, m",deficiência,病损损伤
871-02-08,disability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-08,عجز,"Behinderung, f",disability,discapacidad,"handicap, m",handicap,障害,"niepełnosprawność, finwalidztwo, n",incapacidade,失能残疾
871-02-09,advisor for assistive technologies,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-09,استشارى التكنولوجيات المساعدة,"Berater für unterstützende Technik, m",advisor for assistive technologies,asesor tecnologías de ayuda,"conseiller pour les technologies d’aide, m",consulente per le tecnologie di assistenza,支援機器アドバイザー福祉機器アドバイザー福祉用具アドバイザー,"doradca w zakresie technik wspomagania, m",assessor para tecnologias assistivas,辅助技术顾问
871-02-10,AAL care assistant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-10,مساعد رعاية في منظومة المساعدة المعيشية النشطة,"AAL-Pflegeassistent, m",AAL care assistant,"asistente de cuidados SAD, masistente de cuidados de servicios de ayuda a domicilio, m","aide-soignant AAD, maide-soignante AAD, f",Assistente sanitario AAL,AALケアアシスタント,"asystent opieki AAL, m",assistante de cuidados AALassistante de cuidados VAA,AAL照护助理
871-02-11,consultant for medical devices,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-11,خبير الأجهزة الطبية,"Medizinprodukteberater, m",consultant for medical devices,consultor de dispositivos médicos,"consultant pour dispositifs médicaux, m",consulente per dispositivi medici,医療機器コンサルタント,"konsultant w zakresie przyborów medycznych, m",consultor para dispositivos médicos,医疗器械顾问
871-02-12,"patient, <in AAL>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-12,"مريض, <فى المنتجات المساعدة الفعالة للمعيشة>","Patient, m","patient, <in AAL>","paciente, <en ayuda a domicilio>","patient, <en AAD> m","paziente, <in AAL>","患者, <AALにおける>","pacjent, m","paciente, <em AAL>","患者, <积极辅助生活中>"
871-02-13,teleservice centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-13,مركزخدمى عن بعد,"Tele-Service-Center, n",teleservice centre,centro de teleservicios,"centre de téléservices, m",centro di teleservizio,遠隔サービスセンター,"centrum zdalnej obsługi, ntelecentrum, n",centro de telesserviço,电信服务中心远程服务中心
871-02-14,healthcare professional,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-14,رعاية صحية احترافية,"Heilberufler, m",healthcare professional,profesional de salud,"professionnel des soins de santé, m",professionista sanitario,ヘルスケア従事者ヘルスケア専門家,"pracownik opieki zdrowotnej, m",profissional de saúde,健康护理专业人员
871-02-15,AAL caregiver,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-15,مقدم رعاية في منظومة المساعدة المعيشية النشطة,"AAL-Pflegekraft, fKümmerer, m",AAL caregiverAAL care provider,"proveedor de cuidados SAD, mproveedor de cuidados de servicios de ayuda a domicilio, m","aidant AAD, mprestataire de soins AAD, m",Caregiver AALPrestatore di assistenza AAL,AAL介護者,"opiekun AAL, m",cuidador AALprestador de cuidados AALcuidador VAAprestador de cuidados VAA,AAL照护人员
871-02-16,AAL formal carer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-16,مقدم رعاية رسمي في منظومة المساعدة المعيشية النشطة,"formelle AAL-Pflegekraft, f","AAL formal carerAAL formal caregiver, US","cuidador oficial SAD, mcuidador oficial de servicios de ayuda a domicilio, m","aidant formel AAD, m","Assistente socio sanitario professionale AALCaregiver professionale AAL, US",AAL公式介護者,"opiekun płatny AAL, m",cuidador AAL formalprestador de cuidados AAL formalcuidador VAA formalprestador de cuidados VAA formal,正式AAL照护人员
871-02-17,AAL informal carer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-17,مقدم رعاية غير رسمى في منظومة المساعدة المعيشية النشطة,"informelle AAL-Pflegekraft, f","AAL informal carerAAL lay carerAAL informal caregiver, USAAL lay caregiver, US","cuidador no oficial SAD, mcuidador no oficial de servicios de ayuda a domicilio, m","aidant AAD naturel, maidant AAD non professionnel, m",Assistente socio sanitario non professionale AALAssistente socio sanitario non professionale AAL,AAL非公式介護者,"opiekun nieodpłatny AAL, m",cuidador AAL informalprestador de cuidados AAL informalcuidador VAA informalprestador de cuidados VAA informal,非正式AAL照护人员
871-02-18,AAL care recipient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-18,متلقى الرعاية في منظومة المساعدة المعيشية النشطة,"AAL-Leistungsempfänger, m",AAL care recipient,"beneficiario SAD, mbeneficiario de servicios de ayuda a domicilio, m","bénéficiaire de soins AAD, m",Beneficiario di cure AAL,AAL被介護者,"usługobiorca AAL, m",beneficiário de cuidados AALbeneficiário de cuidados VAA,AAL被照护人
871-02-19,AAL service provider personnel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-19,كيان تقديم خدمة في منظومة المساعدة المعيشية النشطة,"Personal des AAL-Dienstanbieters, n",AAL service provider personnel,"personal del proveedor de SAD, mpersonal del proveedor de servicios de ayuda a domicilio, m","personnel d’un fournisseur de services AAD, m",Personale del fornitore di servizi AAL,サービス提供担当者,"personel dostawcy usług AAL, m",pessoal de um prestador de serviços AALpessoal de um prestador de serviços VAA,AAL服务供应商
871-02-20,healthcare service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-20,مقدم خدمة الرعاية الصحية,"Anbieter von Gesundheitsdienstleistungen, m",healthcare service provider,"proveedor de servicios de salud, m","fournisseur de services de soins de santé, m",Fornitore di servizi sanitari,ヘルスケアサービス提供者,"dostawca usług opieki zdrowotnej, m",prestador de serviços de cuidados de saúde,健康护理服务供应商
871-02-21,research organization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-02-21,منظمة بحثية,"Forschungseinrichtung, f",research organization,"organización de investigación, f","organisation de recherche, f",Organizzazione di ricerca,研究機関,"organizacja badawcza, f",organização de investigação científica,研究机构
871-03-01,"home, <of a household>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-01,مكان الإقامة,"Wohnung, <eines Haushalts> f","home, <of a household>",domicilio,"domicile, <d’un ménage> m",abitazione,"住居, <家庭における>","dom, m","domicílio, <de uma família>","家, <家庭的>"
871-03-02,home environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-02,بيئة الإقامة,"Wohnumfeld, n",home environment,entorno del hogar,"environnement domestique, m",ambiente domestico,住居環境,"środowisko domowe, n",ambiente doméstico,家居环境
871-03-03,domestic environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-03,بيئة محلية,"häusliche Umgebung, f",domestic environment,entorno doméstico,"milieu environnant, m",ambiente circostante l'abitazione,住環境,"otoczenie domu, n",meio envolvente,居住环境
871-03-04,household,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-04,قاطنى مكان الاقامة,"Haushalt, m",household,hogar,"ménage, m",famiglia,家庭,"gospodarstwo domowe, n",agregado familiar,家庭
871-03-05,household technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-05,تكنولوجيات مكان الإقامة,"Haushaltstechnik, f",household technology,tecnología doméstica,"technologie à usage domestique, f",tecnologia ad uso domestico,家庭向けテクノロジー,"wyposażenie techniczne gospodarstwa domowego, n",tecnologia doméstica,家庭技术
871-03-06,building automation and control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-06,التشغيل الألى والتحكم فى المبانى,"Gebäudeautomation, fGADomotik, f",building automation and controlBAC,regulación automática de un edificio,"régulation et automatisation du bâtiment, f pl",controllo e automazione degli impianti dell'edificioBAC,建物のオートメーション化及び制御,"automatyka i regulacja budynkowa, f",automação predial e controlo,建筑自动化及控制BAC
871-03-07,building category,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-03-07,تصنيف المبنى,"Gebäudekategorie, f",building category,categoría de un edificio,"catégorie de bâtiment, f",classificazione di un edificio,建物の分類,"kategoria budynku, f",categoria de um edifício,建筑分类建筑范畴
871-04-01,accessible design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-01,تصميم مرن,"zielgruppenspezifische Gestaltung, f",accessible design,diseño accesible,"conception accessible, f",progettazione accessibile,アクセシブルデザイン,"projektowanie uwzględniające dostępność, n",conceção acessível,可达设计无障碍设计
871-04-02,AAL component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-02,مكونات AAL,"AAL-Komponente, f",AAL componentactive assisted living component,componente de ayuda a domicilio,"composant AAD, mcomposant d’assistance à l’autonomie à domicile, m",componente AALcomponente per l'assistenza attiva alla vita,AALコンポーネントAAL構成要素,"składnik AAL, m",componente AAL,积极辅助生活部件
871-04-03,actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-03,مشغل,"Aktor, mSteller, m",actuator,actuador,"actionneur, m",attuatore,アクチュエータ,"człon wykonawczy układu sterującego, msiłownik, m",actuador,执行机构
871-04-04,assistive product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-04,منتج مساعد,"technisches Hilfsmittel, n",assistive product,producto de ayuda,"produit d’assistance, m",prodotto per l'assistenza,支援用具福祉用具,"wyrób pomocniczy, mprodukt wspomagający, m",produto assistivo,辅助器具
871-04-05,assistive system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-05,نظام مساعد,"Assistenzsystem, n",assistive system,sistema de ayuda,"système d’aide, m",sistema di assistenza,支援システム,"system wspomagający, m",sistema assistivo,辅助系统
871-04-06,assistive function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-06,وظيفة مساعدة,"Assistenzfunktion, f",assistive function,función de ayuda,"fonction d’aide, f",funzione di assistenza,支援機能,"funkcja wspomagająca, f",função assistiva,辅助功能
871-04-07,assistive robot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-07,جهاز آلى مساعد,"Assistenzroboter, m",assistive robot,robot de ayuda,"robot d’assistance, m",robot di assistenza,支援ロボット,"robot wspomagający, m",robô assistivo,辅助机器人
871-04-08,assistive technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-08,تكنولوجيا مساعدة,"unterstützende Technik, f",assistive technology,tecnología de ayuda,"technologie d’aide, f",tecnologia per l'assistenza,支援技術支援機器福祉機器,"rozwiązanie wspomagające, n",tecnologia assistiva,辅助技术
871-04-09,confidentiality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-09,السرية,"Vertraulichkeit, f",confidentiality,confidencialidad,"confidentialité, f",riservatezza,機密保持,"poufność, f",confidencialidade,保密性
871-04-10,data confidentiality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-10,سرية البيانات,"Vertraulichkeit von Daten, f",data confidentiality,confidencialidad de datos,"confidentialité des données, f",riservatezza dei dati,データの機密性,"poufność danych, f",privacidade dos dados,数据保密性
871-04-11,data minimization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-11,الحد الأدنى للبيانات,"Datenminimierung, f",data minimization,minimización de datos,"minimisation des données, f",minimizzazione dei dati,データの最小化,"minimalizacja danych, f",minimização de dados,数据最小化
871-04-12,data protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-12,حماية البيانات,"Datenschutz, m",data protection,protección de datos,"protection des données, f",protezione dei dati,データの保護,"ochrona danych, f",proteção de dados,数据保护
871-04-13,design for all,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-13,تصميم للجميع,"Design für Alle, n",design for all,diseño para todos,"conception pour tous, f",progettazione per tutti,デザイン・フォー・オール,"projektowanie dla wszystkich, n",conceção para todos,普适设计
871-04-14,home environment controller,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-14,متحكم فى بيئة الإقامة,"Wohnumfeld-Kontrolleinrichtung, f",home environment controller,controlador de entorno del hogar,"contrôleur d’environnement domestique, m",apparecchiatura per il controllo dell'ambiente domestico,住居環境コントローラ住居環境調節器,"sterownik środowiska domowego, m",controlador de ambiente doméstico,家居环境控制器
871-04-15,ergonomics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-15,الهندسة البشريةعوامل بشرية,"Ergonomie, f","ergonomicshuman factors, pl","ergonomíafactores humanos, pl","ergonomie, ffacteurs humains, m pl",ergonomiafattori umani,人間工学ヒューマンファクター,"ergonomia, czynnik ludzki, f",ergonomia,工效学人类工效学人类因素
871-04-16,information security,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-16,أمن المعلومات,"Informationssicherheit, fDatensicherheit, f",information security,seguridad de la información,"sécurité des informations, f",sicurezza delle informazioni,情報セキュリティ,"bezpieczeństwo informacji, n",segurança da informação,信息安全
871-04-17,intended use,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-17,استخدام مقصود,"bestimmungsgemäße Verwendung, f",intended use,uso previsto,"utilisation prévue, f",utilizzo previsto,使用目的意図した用途,"użycie zgodnie z przeznaczeniem, n",uso pretendido,预期使用
871-04-18,interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-18,سطح بينى,"Schnittstelle, f",interface,interfaz,"interface, f",interfaccia,インターフェース,"interfejs, m",interface,界面
871-04-19,multiple means of operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-19,وسائل متعددة للتشغيل,"mehrfache Betriebsmöglichkeiten, f pl",multiple means of operation,múltiples modos de operación,"moyens multiples de fonctionnement, m pl",mezzi multipli di funzionamento,複数の操作方法,"wiele sposobów działania, m pldziałanie na wiele sposobów, n",múltiplos meios de operação,多种操作方式
871-04-20,multiple means of presentation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-20,وسائل متعددة لعرض المعلومات,"mehrfache Darstellungsmöglichkeiten, f pl",multiple means of presentation,múltiples modos de presentación,"moyens multiples de présentation, m pl",mezzi multipli di presentazione,複数の表示方法,"wiele sposobów prezentacji, m plprezentacja na wiele sposobów, f",múltiplos meios de apresentação,多种表示方式
871-04-21,network interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-21,شبكة بينية,"Netzwerkschnittstelle, f",network interface,interfaz de red,"interface réseau, f",interfaccia di rete,ネットワークインターフェース,"interfejs sieciowy, m",interface de rede,网络界面
871-04-22,normal use,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-22,إستخدام عادى,"normale Verwendung, f",normal use,uso normal,"utilisation normale, f",uso normale,通常の使用,"normalne użycie, n",uso normal,正常使用
871-04-23,privacy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-23,الخصوصية,"Privatsphäre, f",privacy,privacidad,"confidentialité des données, f",privacy,プライバシー,"prywatność, f",privacidade,隐私
871-04-24,privacy by default,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-24,خصوصية تلقائية,"Privatsphäre nach Vorgabe, f",privacy by default,privacidad por defecto,"protection de la vie privée par défaut, f",privacy per defaultprivacy per impostazione predefinita,プライバシー・バイ・デフォルトデフォルト（初期設定）のプライバシー設定,"prywatność domyślna, f",privacidade por omissão,默认隐私
871-04-25,privacy by design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-25,خصوصية مصممة,"Privatsphäre nach Gestaltung, f",privacy by design,privacidad por diseño,"respect de la vie privée dès la conception, m",privacy della progettazione,プライバシー・バイ・デザイン設計によるプライバシー保護,"prywatność zaprojektowana, f",privacidade por conceção,设计隐私
871-04-26,remote control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-26,التحكم عن بعد,"Fernsteuerung, f",remote control,control remoto,"commande à distance, ftélécommande, f",controllo remotocontrollo a distanza,遠隔制御遠隔コントロール,"zdalne sterowanie, n",controlo remoto,遥控
871-04-27,remote monitoring,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-27,المراقبة عن بعد,"Fernüberwachung, f",remote monitoring,monitorización remota,"surveillance à distance, ftélésurveillance, f",monitoraggio remotomonitoraggio a distanza,遠隔監視遠隔モニタリング,"zdalne monitorowanie, n",vigilância remotamonitorização remota,遥测
871-04-28,safety,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-28,الأمان,"Sicherheit, f",safety,seguridad,"sécurité, f",sicurezza delle informazioni,安全性,"bezpieczeństwo, n",segurança,安全
871-04-29,sensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-29,حساس,"Sensor, mMesswertaufnehmer, m",sensor,sensor,"capteur, m",sensore,センサー,"czujnik, msensor, m",sensor,传感器
871-04-30,smart assistive system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-30,نظام مساعد ذكى,"intelligentes Assistenzsystem, n",smart assistive system,sistema de ayuda inteligente,"système d’aide intelligent, m",sistema di assistenza intelligente,スマート支援システム,"inteligentny system wspomagający, m",sistema assistivo inteligente,智能辅助系统
871-04-31,system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-31,نظام,"System, n",system,sistema,"système, m",sistema,システム,"system, m",sistema,系统
871-04-32,universal design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-32,تصميم شاملتصميم عام,"universelle Gestaltung, f",universal design,diseño universal,"conception universelle, f",progettazione universale,ユニバーサルデザイン,"projektowanie uniwersalne, n",design universal,通用设计
871-04-33,user interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-33,مكونات بينية للمستخدم,"Benutzungsschnittstelle, f",user interface,interfaz de uso,"interface utilisateur, f",interfaccia per l'utente,ユーザーインターフェース,"interfejs użytkownika, m",interface de utilizador,用户界面
871-04-34,AAL context of use,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-34,سياق الاستخدام في منظومة المساعدة المعيشية النشطة,"AAL-Nutzungskontext, m",AAL context of use,"contexto de uso SAD, m","contexte d’utilisation AAD, m",Contesto di utilizzo AAL,AALの使用状況,"kontekst użycia AAL, m",contexto de uso AALcontexto de uso VAA,AAL使用环境
871-04-35,data reliability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-35,إعتمادية البيانات,"Datenzuverlässigkeit, f",data reliability,"fiabilidad de los datos, f","fiabilité des données, f",Affidabilità dei dati,データの信頼性,"rzetelność danych, f",fiabilidade dos dados,数据可靠性
871-04-36,user interaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-36,تفاعل المستخدم,"Benutzerinteraktion, f",user interaction,"interacción con el usuario, f","interaction utilisateur, f",Interazione dell'utilizzatore,ユーザーインタラクションユーザーとのやり取り,"interakcja z użytkownikiem, f",interação dos utilizadores,用户交互
871-04-37,Installation process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-04-37,عملية تركيب,"Installationsprozess, m",Installation process,"proceso de instalación, m","processus d’installation, m",Processo di installazione,設置プロセス,"proces instalacji, m",processo de instalação,安装过程
871-05-01,AAL home platform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-01,برنامج تكنولوجيا المعلومات لـ AAL,"AAL-Heimplattform, f",AAL home platform,plataforma doméstica de ayuda a domicilio,"plateforme domestique AAD, f",piattaforma domestica AAL,AAL住居内プラットフォーム,"platforma domowa AAL, f",plataforma doméstica AAL,积极辅助生活家用平台
871-05-02,"bus, <in AAL>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-05-02,"قناة اتصال, < فى المنتجات المساعدة الفعالة للمعيشة>","Bus, <in AAL> m","bus, <in AAL>","bus, <en ayuda a domicilio>","bus, <en AAD> m","canale di comunicazione, <in AAL>","バス, <AALにおける>","magistrala, fszyna, f","barramento, <em AAL>","总线, <积极辅助生活中>"
