term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
603-02-05,topological diagram of a network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-05,رسم بياني طوبولوجي للشبكة,"topologischer Netzplan, m",topological diagram of a network,esquema topológico de una red,topologinen verkkokaavio,"schéma topologique d'un réseau, m",schema topologico di una rete,系統構成図,전력망 형태선,шугам сүлжээний топологийн диаграмм,schemat topologiczny sieci,esquema topológico de uma rede,topološka shema omrežja,"тополошка шема мреже, ж јд",nätbild,网络拓扑图
603-02-06,steady state of a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-06,حالة استقرار الشبكةحالة استقرار النظام,"stationärer Zustand eines Netzes, m",steady state of a system,régimen estacionario de una red,verkon jatkuvuustila,"régime établi d'un réseau, m",regime stabilizzato di una rete,系統の定常状態,전력 시스템 정상 상태,системийн тогтсон горим,stan ustalony systemu elektroenergetycznego,regime permanente de uma rede,ustaljeno stanje sistema,"стационарно стање система, с јд",stationärt tillstånd,系统稳态
603-02-07,transient state of a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-07,الحالة العابرة للشبكةالحالة العابرة للنظام,"transienter Zustand eines Netzes, m",transient state of a system,régimen transitorio de una red,verkon muutostila,"régime transitoire d'un réseau, m",regime transitorio di una rete,系統の過渡状態,전력 시스템 과도 상태,системийн шилжилтийн горим,stan przejściowy systemu elektroenergetycznego,regime transitório de uma rede,prehodno stanje sistema,"прелазно стање система, с јд",dynamiskt tillstånd,系统暂态
603-02-08,load flow calculation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-08,حساب تدفق الحملحسابات سريان القدرة,"Lastflussrechnung, f",load flow calculation,cálculo de flujo de cargas,tehonjakolaskenta,"calcul de flux de puissance, m",calcolo del flusso di potenza,潮流計算,전력 조류 계산,ачааллын урсгалын тооцоо,obliczanie rozpływu mocy,cálculo dos fluxos de potênciacálculo dos trânsitos de potência,izračun pretokov moči,"прорачун токова снаге, м јд",beräkning av belastningsfördelning,潮流计算
603-02-09,state estimation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-09,تقدير الحالة,"Zustandsschätzung, f",state estimation,estimación de estado,tilaestimointi,"estimation d'état, f",stima di stato,状態推定,상태 추정,горимын тооцоо,estymacja stanu,estimação de estado,ocenjevanje stanja,"процена стања , ж јд",tillståndsbestämning,状态估计
603-02-10,short-circuit calculation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-10,حسابات قصر الدارة,"Kurzschlussberechnung, f",short-circuit calculation,cálculo de cortocircuito,oikosulkulaskenta,"calcul de court-circuit, m",calcolo di corto circuito,短絡計算,단락 전류 계산,богино залгааны тооцоо,obliczanie prądów zwarciowych,cálculo de curtocircuitocálculo de curtocircuito,izračun kratkega stika,"прорачун кратког споја, м јд",kortslutningsberäkning,短路计算
603-02-11,equivalent network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-11,شبكة مكافئة,"Ersatznetz, n",equivalent network,red equivalente,verkon sijaiskytkentä,"réseau équivalent, m",rete equivalente,等価回路網,등가 회로망,эквивалент шугам сүлжээ,sieć ekwiwalentna  sieć zastępcza,rede equivalente,nadomestno omrežjeekvivalentno omrežje,"еквивалентна мрежа, ж јд",ekvivalent nätnätekvivalent,等值网络
603-02-12,network conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-12,تبديل الشبكةتحويل الشبكة,"Netzumwandlung, f",network conversionnetwork transformation,conversión de una redtransformación de una red,verkkomuunnos,"transformation d'un réseau, f",trasformazione di una rete,回路網変換,망 변환,шугам сүлжээний өөрчлөлтшугам сүлжээний хувиргалт,przekształcenie sieci,transformação de uma rede,pretvorba omrežja,"претварање мреже, с јдтрансформација мреже, ж јд",nätreduktion,网络变换
603-02-13,star-polygon conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-13,تحويل نجمي مضلّع,"Stern-Vieleck-Umwandlung, f",star-polygon conversionstar-polygon transformation,conversión estrella-polígonotransformación estrella-polígono,tähti-monikulmiomuunnos,"transformation étoile-polygone, f",trasformazione stella-triangolo,スター/ポリゴン変換,성형 삼각 변환와이 델타 변환,одыг олон өнцөгт рүү өөрчлөходыг олон өнцөгт рүү хувиргах,przekształcenie gwiazda-wielobok,transformação estrela-polígono,pretvorba zvezda-mnogokot,"претварање звезде у многоугао, с јд",stjärn-polygontransformering,星形—多边形变换
603-02-14,delta-wye conversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-14,تحويل مثلثي نجمي,"Dreieck-Stern-Umwandlung, f",delta-wye conversiondelta-star transformation,conversión triángulo-estrellatransformación triángulo-estrella,kolmio-tähtimuunnos,"transformation triangle-étoile, f",trasformazione triangolo-stella,デルタ/ワイ変換,델타 와이 변환,гурвалжинг од руу өөрчлөхгурвалжинг од руу хувиргах,przekształcenie trójkąt-gwiazda,transformação triângulo-estrela,pretvorba trikot-zvezda,"претварање троугла у звезду, с јд",triangel-stjärntransformering,△-Y变换
603-02-15,active network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-15,شبكة فعالة,"aktives Netz, n",active network,red activa,aktiivinen verkko,"réseau actif, m",rete attiva,能動回路網,능동 회로망,идэвхтэй шугам сүлжээ,sieć aktywna,rede activa,aktivno omrežje,"aктивна мрежа, ж јд",aktivt nät,有源网络
603-02-16,passive network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-16,شبكة خاملة,"passives Netz, n",passive network,red pasiva,passiivinen verkko,"réseau passif, m",rete passiva,受動回路網,수동 회로망,идэвхгүй шугам сүлжээ,sieć pasywna,rede passiva,pasivno omrežje,"пасивна мрежа, ж јд",passivt nät,无源网络
603-02-17,passive equivalent network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-17,شبكة خاملة مكافئة,"passives Ersatznetz, n",passive equivalent network,red pasiva equivalente,passiivisen verkon sijaiskytkentä,"réseau équivalent passif, m",rete passiva equivalente,受動等価回路網,수동 등가 회로망,"идэвхгүй, эквивалент шугам сүлжээ",sieć ekwiwalentna pasywna,rede equivalente passiva,pasivno nadomestno omrežje,"пасивна еквивалентна мрежа, ж јд",passiv nätekvivalent,无源等值网络
603-02-18,balanced state of a polyphase network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-18,حالة متزنة لشبكة متعددة الأطوار,"symmetrischer Zustand eines mehrphasigen Netzes, m",balanced state of a polyphase network,régimen equilibrado de una red polifásica,symmetriatilamonivaiheverkon symmetriatila,"régime équilibré d'un réseau polyphasé, m",regime equilibrato di una rete polifase,多相回路網の平衡状態,다상 전력망 평형 상태,олон фазын шугам сүлжээний тэнцвэртэй горим,stan symetryczny sieci wielofazowej,regime equilibrado de uma rede polifásica,simetrično stanje večfaznega omrežja,"симетрично стање вишефазне мреже, с јд",symmetriskt nättillstånd,多相网络平衡状态
603-02-19,unbalanced state of a polyphase network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-19,حالة  غير متزنة لشبكة متعددة الأطوار,"unsymmetrischer Zustand eines mehrphasigen Netzes, m",unbalanced state of a polyphase network,régimen desequilibrado de una red polifásica,epäsymmetriatilamonivaiheverkon epäsymmetriatila,"régime déséquilibré d'un réseau polyphasé, m",regime squilibrato di una rete polifase,多相回路網の不平衡状態,다상 전력망 불평형 상태,олон фазын шугам сүлжээний тэнцвэргүй горим,stan niesymetryczny sieci wielofazowej,regime desequilibrado de uma rede polifásica,asimetrično stanje večfaznega omrežja,"несиметрично стање вишефазне мреже, с јд",osymmetriskt nättillstånd,多相网络不平衡状态
603-02-20,series impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-20,معاوقة متوالية,"Längsimpedanz, f",series impedancelongitudinal impedance,impedancia longitudinalimpedancia serie,pitkittäisimpedanssi,"impédance série, fimpédance longitudinale, f",impedenza serieimpedenza longitudinale,直列インピーダンス,직렬 임피던스,цуваа бүрэн эсэргүүцэл,impedancja podłużna,impedância sérieimpedância longitudinal,vzdolžna impedanca,"подужна импеданса, ж јд",serieimpedans,串联阻抗
603-02-21,shunt admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-21,سماحية  على التوازي,"Queradmittanz, f",shunt admittance,admitancia en derivaciónadmitancia transversal,poikittaisadmitanssi,"admittance en dérivation, fadmittance transversale, f",ammettenza derivataammettenza trasversale,分路アドミタンス,분로 어드미턴스,зэрэгцээ бүрэн дамжуулалт,admitancja poprzeczna,admitância derivaçãoadmitância transversal,prečna admitanca,"попречна адмитанса, ж јд",shuntadmittans,并联导纳
603-02-22,fault impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-22,معاوقة العطل,"Fehlerimpedanz, f",fault impedance,impedancia de falta,vikaimpedanssi,"impédance de défaut, f",impedenza di guasto,事故点インピーダンス,고장 임피던스,гэмтэл гарсан цэгийн бүрэн эсэргүүцэл,impedancja w miejscu zwarcia,impedância de defeito,impedanca okvare,"импеданса квара, ж јд",felimpedans,故障阻抗
603-02-23,surge impedance of a line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-23,المعاوقة العابرة للخطالمعاوقة العابرة للموجه,"Wellenwiderstand einer Leitung, m",surge impedance of a line,impedancia de onda de una línea,johdon aaltoimpedanssi,"impédance d'onde d'une ligne, f",impedenza d'onda di una linea,電線路のサージインピーダンス,선로 서지 임피던스,шугамын хэт хүчдэлийн импульсийн бүрэн эсэргүүцэл,impedancja falowa linii,impedância de onda de uma linha,valovna impedanca voda,"таласна импеданса вода, ж јд",vågimpedans hos ledning,线路波阻抗
603-02-24,natural load of a line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-24,الحمل الطبيعي لخط,"natürliche Leistung einer Leitung, f",natural load of a line,característica de una líneapotencia natural de una línea,johdon luonnollinen teho,"puissance naturelle d'une ligne, fpuissance caractéristique d'une ligne, f",potenza naturale di una lineapotenza caratteristica di una linea,無効電力の発生消費が等しいため純粋な抵抗のように見える線路の潮流,선로 자연 부하,шугамын бодит ачаалал,moc naturalna linii,potência natural de uma linhapotência característica de uma linha,naravna moč voda,"природно оптерећење вода, с јд",naturlig ledningslast,线路自然功率
603-02-25,fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-25,تيار العطل,"Teilfehlerstrom, m",fault current,corriente de falta,vikavirta,"courant de défaut, m",corrente di guasto,故障電流,고장 전류,гэмтлийн үеийн гүйдэл,prąd zakłóceniowy,corrente de defeito,tok zaradi okvareokvarni tok,"струја квара, ж јд",felström,故障电流
603-02-26,short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-26,تيار دارة القصر,"Teilkurzschlussstrom, m",short-circuit current,corriente de cortocircuito,oikosulkuvirta,"courant de court-circuit, m",corrente di corta circuito,短絡電流,단락 전류,богино залгааны гүйдэл,prąd zwarciowy,corrente de curtocircuitocorrente de curtocircuito,kratkostični tok,"струја кратког споја, ж јд",kortslutningsström,短路电流
603-02-27,current in the fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-27,تيار في العطل,"Fehlerstrom, m",current in the fault,corriente en la falta,vikapaikan virta,"courant dans le défaut, m",corrente nel guasto,故障電流,고장점 전류,гэмтэл гарсан байршлаар гүйх гүйдэл,prąd w miejscu zakłócenia,corrente no defeito,tok na mestu okvare,"струја на месту квара, ж јд",ström ifelställe,故障点电流
603-02-28,current in the short circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-28,تيار في دارة القصر,"Kurzschlussstrom, m",current in the short circuit,corriente en el cortocircuito,oikosulkupaikan virta,"courant dans le court-circuit, m",corrente nel corto circuito,短絡時電流,단락 전류,богино залгааны байршлын гүйдэл,prąd w miejscu zwarcia,corrente no curto-circuitocorrente no curto-circuito,tok na mestu kratkega stika,"струја на месту кратког споја, ж јд",ström i kortslutningspunkt,短路点电流
603-02-29,reference node,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-29,عقدة مرجعية,"Referenzknoten, m",reference node,nudo de referencia,vertailusolmu,"noeud de référence, m",nodo di riferimento,基準節点,기준 마디,жишиг зангилаа,węzeł odniesienia,nó de referência,referenčno vozlišče,"референтни чвор, м јд",referensknutpunkt,参考节点
603-02-30,infinite bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-30,مصدر لا متناهي,"starrer Knoten, m",infinite bus,nudo de potencia infinita,jäykkä solmu,"noeud à puissance infinie, m",nodo a potenza infinita,無限大母線,무한 모선,их чадлын шин,węzeł o mocy nieskończonej,nó de potência infinita,vozlišče neskončne moči,"сабирнице бесконачне снаге, ж мн",styv knutpunkt,无限大母线
603-02-31,balancing bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-31,عقدة توازنقضيب توازن,"Bilanzknoten, m",balancing bus,nudo balance,taasaava solmu,"noeud bilan, m",nodo di bilancio,均衡母線,평형 모선,тэнцүүлэх шин,węzeł bilansujący,nó de balanço,bilančno vozlišče,"балансни чвор, м јд",utjämningsknutpunkt,平衡节点
603-02-32,slack bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-32,مصدر ثابت الجهد في الشبكةقضبان التعويض,"Potentialknoten, mSlack, m",slack bus,nudo balance de potencia infinita,jännitesolmu,"noeud bilan à puissance infinie, m",nodo di bilancio a potenza infinita,緩慢母線,슬랙 모선,идэвхгүй шин,węzeł bilansujący o mocy nieskończonej,nó de fecho,bilančno vozlišče neskončne moči,"балансни чвор бесконачне снаге, м јд",spänningsknutpunkt,松弛节点
603-02-33,load bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-33,قضيب حمل فعال وحمل غير فعال,"PQ-Knoten, m",load busPQ bus,nudo de consumonudo PQ,kuormitussolmu,"noeud de consommation, mnoeud PQ, m",nodo di consuma,負荷母線,부하 모선,ачааллын шин,węzeł odbiorczy,nó de consumonó PQ,PQ-vozliščeporabinsko vozlišče,"PQ чвор, м јд",belastningsknutpunkt,负荷节点PQ节点
603-02-34,voltage controlled bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-34,قضبان التحكم في الجهد (عقدة),"PV-Knoten, m",voltage controlled bus,nudo de tensión controladanudo PVnudo regulado en tensión,generaattorisolmu,"noeud à tension contrôlée, mnoeud PV, m",nodo a tensione controllata,電圧制御母線,전압 제어 모선,хүчдэлийн тохируулгатай шин,węzeł stabilizowany,nó de tensão controladanó PV,PV-vozliščenapetostno regulirano vozlišče,"PV чвор, м јд",,电压控制节点
603-02-35,passive bus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-35,قضبان خاملة (عقدة),"passiver Knoten, m",passive bus,nudo pasivo,passiivinen solmu,"noeud passif, m",nodo passivo,有効無効電力注入のない母線,통과 모선,идэвхгүй шин,węzeł pasywny węzeł bezdopływowy,nó passivo,pasivno vozlišče,"пасивни чвор, м јд",nollknutpunkt,无源节点
603-02-36,incidence matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-36,مصفوفة حدث (عقدة),"Inzidenzmatrix, f",incidence matrix,matriz de incidencia,liitäntämatriisi,"matrice d'incidence, f",matrice d’incidenza,接続行列,인시던스 접속 행렬,нөлөөллийн матриц,macierz topologii sieci macierz koincydencji,matriz de incidência,incidenčna matrika,"матрица инциденције, ж јд",nätmatris,关联矩阵
603-02-37,bus admittance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-37,مصفوفة سماحية قضبان (عقدة),"Knotenadmittanzmatrix, f",bus admittance matrixY bus matrix,matriz de admitancias en cortocircuitomatriz de admitancias nodales,solmupisteadmittanssimatriisi,"matrice des admittances nodales, fmatrice des admittances en court-circuit, f",matrice delle ammettenze nodalimatrice delle ammettenze in corto circuito,母線のアドミタンス行列,모선 어드미턴스 행렬,шинийн бүрэн дамжуулалтын матрицY шинийн матриц,macierz admitancji węzłowych,matriz das admitâncias nodaismatriz das admitâncias em curtocircuitomatriz das admitâncias em curtocircuito,vozliščna admitančna matrika,"матрица адмитанси чвора, ж јд",knutpunktsadmittansmatris,节点导纳矩阵
603-02-38,bus impedance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-38,مصفوفة معاوقة قضبان (عقدة)مصفوفة ممانعة قضبان (عقدة),"Knotenimpedanzmatrix, f",bus impedance matrixZ bus matrix,matriz de impedancias en vacíomatriz de impedancias nodales,solmupisteimpedanssimatriisi,"matrice des impédances nodales, fmatrice des impédances à vide, f",matrice delle impedenze nodali matrice delle impedenze a vuoto,母線のインピーダンス行列,모선 임피던스 행렬,шинийн бүрэн эсэргүүцлийн матрицZ шинийн матриц,macierz impedancji węzłowych,matriz das impedâncias nodaismatriz das impedâncias em vazio,vozliščna impedančna matrika,"матрица импеданси чвора, ж јд",knutpunktsimpedansmatris,节点阻抗矩阵
603-02-39,mesh impedance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-39,مصفوفة المعاوقة الحلقية (ممانعة)مصفوفة ممانعة الحلقية (ممانعة),"Maschenimpedanzmatrix, f",mesh impedance matrix,matriz de impedancias de malla,silmukkaimpedanssimatriisi,"matrice des impédances de maille, f",matrice delle impedenze di maglia,メッシュのインピーダンス行列,그물망 임피던스 행렬,битүү хүрээний бүрэн эсэргүүцлийн матриц,macierz impedancji oczkowych,matriz das impedâncias de malha,zančna impedančna matrika,"матрица импеданси петље, ж јд",maskimpedansmatris,网格阻抗矩阵
603-02-40,redundancy factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-40,عامل الزيادة عند الحاجة(الوفرة),"Redundanzfaktor, m",redundancy factor,factor de redundancia,redundanssikerroin,"facteur de redondance, m",fattore di ridondanza,冗長係数,여유 계수,илүүдлийн коэффициент,współczynnik redundancji współczynnik nadmiaru,factor de redundância,redundančni faktor,"степен редундансе, м јд",redundansfaktor,冗余因数
603-03-01,power system stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-01,استقرارية النظام الكهربائي (الشبكة)استقرارية الشبكة,"Netzstabilität, f",power system stability,estabilidad de una red,verkon stabiilisuus,"stabilité d'un réseau, f",stabilità di una rete,電力系統安定度,전력 시스템 안정도,цахилгаан эрчим хүчний системийн тогтвортой байдал,równowaga systemu elektroenergetycznego stabilność systemu elektroenergetycznego,estabilidade de um sistemaestabilidade de uma rede,stabilnost elektroenergetskega sistema,"стабилност електроенергетског система, ж јд",systemstabilitet,电力系统稳定性
603-03-02,steady state stability of a power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-02,الاستقرارية الثابتة للنظام الكهربائي (الشبكة)الاستقرارية الثابتة للشبكة,"statische Netzstabilität, f",steady state stability of a power system,estabilidad estacionaria de una red,verkon staattinen stabiilisuus,"stabilité statique d'un réseau, f",stabilità statica di una rete,電力系統の定態安定度,전력 시스템 정태 안정도,цахилгаан эрчим хүчний системийн тогтсон горимын тогтвортой байдал,równowaga statyczna systemu elektroenergetycznegorównowaga lokalna systemu elektroenergetycznego,estabilidade estática de um sistemaestabilidade estática de uma rede,statična stabilnost elektroenergetskega sistema,"статичка стабилност електроенергетског система, ж јд",stationär systemstabilitet,电力系统静态稳定性
603-03-03,transient stability of a power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-03,الاستقرارية العابرة للنظام الكهربائي (الشبكة)الاستقرارية العابرة الشبكة,"transiente Netzstabilität, f",transient stability of a power system,estabilidad transitoria de una red,verkon transientti stabiilisuus,"stabilité transitoire d'un réseau, f",stabilità dinamica di una rete,電力系統の過渡安定度,전력 시스템 과도 안정도,цахилгаан эрчим хүчний системийн шилжилтийн тогтвортой байдал,równowaga dynamiczna systemu elektroenergetycznego równowaga globalna systemu elektroenergetycznego,estabilidade transitória de um sistemaestabilidade transitória de uma rede,tranzientna stabilnost elektroenergetskega sistema,"динамичка стабилност електроенергетског система, ж јд",dynamisk systemstabilitet,电力系统暂态稳定性
603-03-04,conditional stability of a power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-04,الاستقرارية المشروطة للنظام الكهربائي (الشبكة)الاستقرارية المشروطة الشبكة,"bedingte Netzstabilität, fkünstliche Netzstabilität, f",conditional stability of a power system,estabilidad condicional de una red,verkon keinostabiilisuus,"stabilité conditionnelle d'un réseau, f",stabilità condizionata di una rete,電力系統の条件安定度,전력 시스템 조건 안정도,цахилгаан эрчим хүчний системийн нөхцөлт тогтвортой байдал,równowaga warunkowa systemu elektroenergetycznego równowaga sztuczna systemu elektroenergetycznego,estabilidade condicional de um sistemaestabilidade condicional de uma rede,pogojna stabilnost elektroenergetskega sistema,"условљена стабилност електроенергетског система, ж јд",villkorlig systemstabilitet,电力系统条件稳定性
603-03-05,inherent stability of a power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-05,الاستقرارية المتأصلة للنظام الكهربائي (الشبكة)الاستقرارية المتأصلة  الشبكة,"natürliche Netzstabilität, f",inherent stability of a power system,estabilidad intrínseca de una red,verkon luontainen stabiilisuus,"stabilité intrinsèque d'un réseau, f",stabilità intrinseca di una rete,電力系統の固有安定性,전력 시스템 고유 안정도,цахилгаан эрчим хүчний системийн өөрийн тогтвортой байдал,równowaga naturalna systemu elektroenergetycznego,estabilidade intrínseca de um sistemaestabilidade intrínseca de uma rede,lastna stabilnost elektroenergetskega sistema,"природна стабилност електроенергетског система, ж јд",egenstabilitet hos system,电力系统固有稳定性
603-03-06,internal angle of an alternator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-03-06,الزاوية الداخلية لمولد كهربائي,"innerer Polradwinkel eines Generators, m",internal angle of an alternator,ángulo interno de un alternador,generaattorin sisäinen kulma,"angle interne d'un alternateur, m",angolo interno di un alternatore,同期発電機の内部相差角,교류 발전기 내부각,хувьсах гүйдлийн генераторын дотоод өнцөг,kąt wewnętrzny napięcia generatora,ângulo interno de um alternador,kolesni kot generatorjanotranji kot generatorja,"унутрашњи угао алтернатора, м јд",inre fasvinkel hos synkrongenerator,交流电机内角
