term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,pl,pt,zh
192-01-11,repairable item,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-11,بند قابل للإصلاح,opravitelný objekt,"instandsetzbare Einheit, freparierbare Einheit, f",repairable itemDEPRECATED: repaired item,elemento reparable,"entité réparable, fDÉCONSEILLÉ: entité réparée, f",修理アイテム,수리가능 품목,"obiekt naprawialny, m",item reparável,可修复产品
192-01-12,non-repairable item,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-12,بند غير قابل للإصلاحسابقا: بند لم يتم إصلاحه,neopravitelný objekt,"nicht instandsetzbare Einheit, fnicht reparierbare Einheit, f",non-repairable itemDEPRECATED: non-repaired item,elemento no reparable,"entité non réparable, fDÉCONSEILLÉ: entité non réparée, f",非修理アイテム,수리불가 품목,"obiekt nienaprawialny, m",item não reparável,不可修复产品
192-01-13,requirement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-13,مطلب,požadavek,"Anforderung, f",requirement,requisitorequerimiento,"exigence, f",要求要求事項,요구 사항,"wymagania, n pl",requisito,要求
192-01-14,required function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-14,وظيفة مطلوبة,požadovaná funkce,"geforderte Funktion, f",required function,función requerida,"fonction requise, f",要求機能,필수 기능,"funkcja wymagana, f",função requerida,要求的功能
192-01-15,conformity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-15,مطابقة,shoda,"Konformität, f",conformity,conformidad,"conformité, f",適合適合性,적합성,"zgodność, <z wymaganiami> f",conformidade,符合合格
192-01-16,non conformity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-16,عدم مطابقة,neshoda,"Fehler, mNichtkonformität, f",non conformity,no conformidad,"non-conformité, f",不適合,부적합성,"niezgodność, <z wymaganiami> f",não conforme,不符合不合格
192-01-17,verification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-17,تحقق,ověřováníverifikace,"Verifizierung, f",verification,verificación,"vérification, f",適合確認検証,검증,"weryfikacja, fsprawdzenie, n",verificação,验证
192-01-18,validation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-18,تحقق من صحة التطبيق,validace,"Validierung, f",validation,validación,"validation, f",妥当性確認,입증,"walidacja, <wymagań> fzatwierdzenie, <wymagań> n","validação, <de um item>",确认
192-01-19,"modification, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-19,"تعديل،, <لبند>","modifikace, <objektu>","Änderung, <einer Einheit> f","modification, <of an item>","modificación, <de un elemento>","modification, <d’une entité> f","変更処置, <アイテムの>","수정, <품목>","modyfikacja, <obiektu> f","modificação, <de um item>","修改, <产品的>"
192-01-20,"degradation, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-20,"تدهور،, <لبند>","degradace, <objektu>","Degradation, <einer Einheit> f","degradation, <of an item>","degradación, <de un elemento>","dégradation, <d’une entité> f","劣化, <アイテムの>","성능 저하, <품목>","degradacja, <obiektu> f","degradação, <de um item>","退化, <产品的>"
192-01-21,"durability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-21,"التحملية،, <لبند>","životnost, <objektu>trvanlivost, <objektu>","Haltbarkeit, <einer Einheit> f","durability, <of an item>","durabilidad, <de un elemento>","durabilité, <d’une entité> f","耐久性, <アイテムの>","내구성, <품목>","trwałość, <obiektu> f","durabilidade, <de um item>","耐久性, <产品的>"
192-01-22,"dependability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-22,"الاعتمادية،, <لبند>","spolehlivost, <objektu>","Zuverlässigkeit, <einer Einheit> f","dependability, <of an item>","confiabilidad, <de un elemento>","sûreté de fonctionnement, <d’une entité> f","ディペンダビリティ, <アイテムの>総合信頼性, <アイテムの>","신인성, <품목>","niezawodność, <obiektu> f","dependabilidade, <de um item>","可信性, <产品的>"
192-01-23,"availability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-23,"إتاحية،, <لبند>","pohotovost, <objektu>","Verfügbarkeit, <einer Einheit> f","availability, <of an item>","disponibilidad, <de un elemento>","disponibilité, <d’une entité> f","アベイラビリティ, <アイテムの>","가용도, <품목>","gotowość, <obiektu> fdyspozycyjność, <obiektu> f","disponibilidade, <de um item>","可用性, <产品的>"
192-01-24,"reliability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-24,"الموثوقية،, <لبند>","bezporuchovost, <objektu>","Funktionsfähigkeit, <einer Einheit> fZuverlässigkeit, f","reliability, <of an item>","fiabilidad, <de un elemento>","fiabilité, <d’une entité> f","信頼性, <アイテムの>","신뢰도, <품목>","nieuszkadzalność, <obiektu> fbezawaryjność, <obiektu> f","fiabilidade, <de um item>","可靠性, <产品的>"
192-01-25,"recoverability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-25,"استرداد،, <لبند>","zotavitelnost, <objektu>","Wiederherstellbarkeit, <einer Einheit> f","recoverability, <of an item>","recuperabilidad, <de un elemento>","récupérabilité, <d’une entité> f","回復可能性, <アイテムの>復帰可能性, <アイテムの>","복구성, <품목>","odtwarzalność, <stanu obiektu po uszkodzeniu> f","recuperabilidade, <de um item>","恢复性, <产品的>"
192-01-26,"self-recoverability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-26,"استرداد ذاتى،, <لبند>","samozotavitelnost, <objektu>","Selbst-Wiederherstellbarkeit, <einer Einheit> f","self-recoverability, <of an item>","autorecuperabilidad, <de un elemento>","auto-récupérabilité, <d’une entité> f","自己回復可能性, <アイテムの>自己復帰可能性, <アイテムの>","자체복구가능성, <품목>","odtwarzalność samoczynna, <stanu obiektu po uszkodzeniu> f","autorrecuperabilidade, <de um item>","自恢复性, <产品的>"
192-01-27,"maintainability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-27,"قابلية الصيانة،, <لبند>","udržovatelnost, <objektu>","Instandhaltbarkeit, <einer Einheit> f","maintainability, <of an item>","mantenibilidad, <de un elemento>","maintenabilité, <d’une entité> f","保全性, <アイテムの>","유지보수능력, <품목>","obsługiwalność, <obiektu> fpodatność na obsługiwanie, <obiektu> f","manutibilidade, <de um item>","维修性, <产品的>"
192-01-28,maintenance support,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-28,دعم الصيانة,podpora údržby,"Instandhaltungsunterstützung, f",maintenance support,soporte de mantenimiento,"logistique de maintenance, f",保全支援,유지보수 지원,"wspomaganie obsługiwania, <obiektu> n",logística de manutenção,维修保障
192-01-29,maintenance support performance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-29,أداء دعم الصيانة,zajištěnost údržby,"Instandhaltungsbereitschaft, f",maintenance support performance,características de funcionamiento del soporte de mantenimiento,"efficacité de la logistique de maintenance, f",保全支援能力,유지보수 지원 성능,"zdolność do zapewnienia obsługiwania, <obiektu> fzdolność do zapewnienia wspomagania obsługiwania, <obiektu> f",desempenho da logística de manutenção,维修保障性
192-01-30,"integrated logistic support, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-30,"الدعم اللوجستي المتكامل،, <لبند>","integrovaná logistická podpora, <objektu>ILS","integrierte logistische Unterstützung, <einer Einheit> f","integrated logistic support, <of an item>ILS","soporte logístico integrado, <de un elemento>","soutien logistique intégré, <d’une entité> mSLI, m","統合補給支援, <アイテムの>ILS","종합 보급 지원, <품목>","wspomaganie logistyczne zintegrowane, <obiektu> nILS","logística de manutenção integrada, <de um item>","综合后勤保障, <产品的>ILS"
192-01-31,"supportability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-31,"إمكانية دعم،, <لبند>القدرة على الدعم،, <لبند>","podporovatelnost, <objektu>","Unterstützbarkeit, <einer Einheit> f","supportability, <of an item>","facilidad de soporte, <de un elemento>","supportabilité, <d’une entité> f","支援性, <アイテムの>","지원성, <품목>","podatność na wspomaganie, <obiektu> n","suportabilidade, <de um item>","保障性, <产品的>"
192-01-32,system software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-32,برمجيات النظام,systémový software,"Systemsoftware, f",system software,software de sistema,"logiciel d’exploitation, m",システムソフトウェア,시스템 소프트웨어,"oprogramowanie systemowe, n",software do sistemalogicial do sistema,系统软件
192-01-33,application software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-33,التطبيقات البرمجية,aplikační software,"Anwendungssoftware, f",application software,software de aplicación,"logiciel d’application, m",アプリケーションソフトウェア,응용 소프트웨어,"oprogramowanie użytkowe, n",software de aplicaçãologicial de aplicação,应用软件
192-01-34,computer program,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-34,برنامج الحاسب الآلي,počítačový program,"Rechnerprogramm, n",computer program,programa informático,"programme d’ordinateur, m",プログラムコンピュータプログラム,컴퓨터 프로그램,"program komputerowy, m",programa de computador,计算机程序
192-01-35,firmware,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-35,البرامج الثابتة,firmware,"Firmware, f",firmware,firmware,"micrologiciel, m",ファームウェア,펌웨어,"oprogramowanie firmowe, nfirmware, n",firmwaresoftware de fábrica,固件
192-01-36,embedded software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-36,البرمجيات المدمجة,zabudovaný software,"eingebettete Software, fEmbedded-Software, f",embedded software,softwate embebido,"logiciel intégré, mlogiciel enfoui,  m",組込みソフトウェア,임베디드 소프트웨어,"oprogramowanie wbudowane, n",software integradologicial integrado,嵌入式软件
192-02-01,"up state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-01,"الحالة الحالية،, <لبند>الحالة المتاحة،, <لبند>","použitelný stav, <objektu>","Klarzustand, <einer Einheit> mbetriebsfähiger Zustand, <einer Einheit> m","up state, <of an item>available state, <of an item>","estado en condiciones operativas, <de un elemento>","état de disponibilité, <d’une entité> métat disponible, <d’une entité> m","アップ状態, <アイテムの>使用可能状態, <アイテムの>","사용 상태, <품목>가용 상태, <품목>","stan zdatności, <obiektu> m","estado de disponibilidade, <de um item>estado disponível, <de um item>","可用状态, <产品的>"
192-02-02,up time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-02,الوقت اللازم,doba použitelného stavu,"Klarzeitintervall, nKlarzeit, f",up time,tiempo en condiciones operativastiempo de disponibilidad operativa,"temps de disponibilité, m",アップ時間,가동 시간동작 가능 시간,"czas zdatności, m",tempo de disponibilidade,可用时间
192-02-03,accumulated up time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-03,الوقت التراكمي اللازم,kumulovaná doba použitelného stavu,"akkumulierte Klardauer, f",accumulated up time,tiempo acumulado en condiciones operativastiempo acumulado de disponibilidad operativa,"durée cumulée de disponibilité, f",累積アップ時間,누적 가동 시간누적 동작 가능 시간,"czas zdatności sumaryczny, mczas zdatności skumulowany, m",duração acumulada de disponibilidade,累计可用时间
192-02-04,"operating state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-04,"حالة التشغيل،, <لبند>","provozní stav, <objektu>","Betriebszustand, <einer Einheit> min Betrieb","operating state, <of an item>","estado operativo, <de un elemento>","état de fonctionnement, <d’une entité> m","動作状態, <アイテムの>","작동 상태, <품목>","stan działania, <obiektu> m","estado de funcionamento, <de um item>","工作状态, <产品的>"
192-02-05,operating time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-05,وقت التشغيلفترة التشغيل,doba provozu,"Betriebszeitintervall, nBetriebszeit, f",operating time,tiempo operativo,"temps de fonctionnement, m",動作時間運用時間,작동 시간,"czas działania, m",tempo de funcionamento,工作时间
192-02-06,"non-operating state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-06,"حالة عدم التشغيل،, <لبند>","neprovozní stav, <objektu>","Nichtbetriebszustand, <einer Einheit> mnicht in Betrieb","non-operating state, <of an item>","estado no operativo, <de un elemento>","état de non-fonctionnement, <d’une entité> m","非動作状態, <アイテムの>","비작동 상태, <품목>","stan niedziałania, <obiektu> m","estado de não funcionamento, <de um item>","非工作状态, <产品的>"
192-02-07,non-operating time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-07,فترة عدم التشغيل,doba neprovozního stavu,"Nichtbetriebszeitintervall, n",non-operating time,tiempo no operativo,"temps de non-fonctionnement, m",非動作時間,비작동 시간,"czas niedziałania, m",tempo de não funcionamento,非工作时间
192-02-08,required time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-08,الفترة المطلوبة,doba požadované funkceschopnosti,"gefordertes Klarzeitintervall, n",required time,tiempo requeridotiempo de funcionamiento requerido,"période requise, f",機能要求時間,요구 시간,"czas wymagany, m",tempo requerido,有要求的时间
192-02-09,non-required time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-09,الفترة الغير مطلوبة,doba nepožadované funkceschopnosti,"Betriebspause, f",non-required time,tiempo no requeridotiempo de funcionamiento no requerido,"période non requise, f",機能不要求時間,불필요 시간,"czas niewymagany, m",tempo não requerido,无要求的时间
192-02-10,"standby state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-10,"حالة التأهب كاحتياطي،, <لبند>","pohotovostní stav, <objektu>","Stand-by-Zustand, <einer Einheit> mBereitschaftszustand, <einer Einheit> m","standby state, <of an item>","estado en espera, <de un elemento>","attente, <d’une entité> f","待機状態, <アイテムの>","대기 상태, <품목>","stan czuwania, <obiektu> m","estado de espera, <de um item>","备用状态, <产品的>"
192-02-11,"cold standby state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-11,"حالة التأهب كاحتياطي بارد, <لبند>","studený pohotovostní stav, <objektu>","kalter Stand-by-Zustand, <einer Einheit> m","cold standby state, <of an item>","estado en espera de respuesta gradual, <de un elemento>","attente à froid, <d’une entité> f","冷予備状態, <アイテムの>冷待機状態, <アイテムの>","초기 대기상태, <품목>","stan czuwania zimny, <obiektu> m","estado de espera frio, <de um item>","冷备用状态, <产品的>"
192-02-12,"hot standby state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-12,"حالة التأهب كاحتياطي ساخن, <لبند>","horký pohotovostní stav, <objektu>","heißer Stand-by-Zustand, <einer Einheit> m","hot standby state, <of an item>","estado en espera de respuesta inmediata, <de un elemento>","attente à chaud, <d’une entité> f","熱予備状態, <アイテムの>熱待機状態, <アイテムの>","상시 대기상태, <품목>","stan czuwania gorący, <obiektu> m","estado de espera quente, <de um item>","热备用状态, <产品的>"
192-02-13,standby time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-13,وقت التأهب كاحتياطي,doba pohotovostního stavu,"Zeitintervall des Stand-by-Zustands, n",standby time,tiempo en espera,"période d’attente, f",待機時間,대기 시간,"czas czuwania, m",tempo de esperavida em armazém,备用时间
192-02-14,"idle state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-14,"حالة الخمول،, <لبند>حالة التعطل عن العمل،, <لبند>سابقا: الحالة الحرة","stav běhu naprázdno, <objektu>","Leerlauf, <einer Einheit> mbetriebsfreier Zustand, <einer Einheit> m","idle state, <of an item>DEPRECATED: free state","estado desocupado, <de un elemento>","état vacant, <d’une entité> mDÉCONSEILLÉ: état libre, m","アイドル状態, <アイテムの>","휴지 상태, <품목>","stan jałowy, <obiektu> m",estado de repousoestado livre,"闲置状态, <产品的>"
192-02-15,idle time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-15,"فترة الخمول،, <لبند>فترة التعطل عن العمل،, <لبند>سابقا: الوقت الحر",doba běhu naprázdno,"Zeitintervall des betriebsfreien Zustands, n",idle timeDEPRECATED: free time,tiempo desocupado,"période vacante, ftemps mort,  mDÉCONSEILLÉ: temps libre, m",アイドル時間,휴지 시간,"czas jałowy, m",tempo de repousotempo livre,闲置时间
192-02-16,"enabled state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-16,"حالة التمكين،, <لبند>","provozuschopný stav, <objektu>","betriebsbereiter Zustand, <einer Einheit> m","enabled state, <of an item>","estado habilitado, <de un elemento>","état de capacité, <d’une entité> m","動作可能状態, <アイテムの>","가능 상태, <품목>","stan dyspozycyjności, <obiektu> m","estado de capacidade, <de um item>",使能状态
192-02-17,enabled time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-17,فترة التمكين,doba provozuschopného stavu,"betriebsbereites Zeitintervall, n",enabled time,tiempo habilitado,"temps de capacité, m",動作可能時間,가능 시간,"czas dyspozycyjności, <obiektu> m",tempo de capacidade,使能时间
192-02-18,"disabled state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-18,"حالة التعطيل, <لبند>سابقا: التوقف","provozuneschopný stav, <objektu>","Nichtverfügbarkeitszustand, <einer Einheit> m","disabled state, <of an item>DEPRECATED: outage","estado de incapacidad, <de un elemento>","état d’incapacité, <d’une entité> mDÉCONSEILLÉ: interruption, <d’une entité> f","動作不能状態, <アイテムの>","불능 상태, <품목>","stan niedyspozycyjności, <obiektu> m","estado de incapacidade, <de um item>","失能状态, <产品的>"
192-02-19,disabled time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-19,وقت التعطيللتوقف,doba provozuneschopného stavudoba neschopnosti provozu,"Nichtverfügbarkeitszeitintervall, nNichtverfügbarkeitszeit, f",disabled timeoutage,tiempo incapacitado,"temps d’incapacité, minterruption, f",動作不能時間,불능 시간정전,"czas niedyspozycyjności, <obiektu> m",tempo de incapacidade,失能时间
192-02-20,"down state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-20,"حالة الركود،, <لبند>حالة عدم الإتاحية،, <لبند>حالة التعطيل داخليا،ً, <لبند>حالة التعطيل الداخلي،, <لبند>","nepoužitelný stav, <objektu>provozuneschopný stav z vnitřních příčin, <objektu>","Unklarzustand, <einer Einheit> m","down state, <of an item>unavailable state, <of an item>internally disabled state, <of an item>internal disabled state, <of an item>",estado no operativoestado de indisponibilidad operativa,"état d’indisponibilité, <d’une entité> métat d’incapacité interne, <d’une entité> m","ダウン状態, <アイテムの>内的動作不能状態, <アイテムの>","고장 상태, <품목>불가용 상태, <품목>내적 불능 상태, <품목>내부 불능 상태, <품목>","stan niezdatności, <obiektu> m","estado de indisponibilidade, <de um item>estado de incapacidade (por causa) interna","不可用状态, <产品的>内因失能状态, <产品的>"
192-02-21,down time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-21,فترة الركود,doba nepoužitelného stavu,"Unklarzeitintervall, nUnklardauer, f",down time,tiempo fuera de serviciotiempo de indisponibilidad operativa,"temps d’indisponibilité, m",ダウン時間,고장 시간,"czas niezdatności, <obiektu> m",tempo de indisponibilidade,不可用时间
192-02-22,accumulated down time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-22,فترة الركود التراكمي,kumulovaná doba nepoužitelného stavu,"akkumulierte Unklardauer, f",accumulated down time,tiempo fuera de servicio acumuladotiempo de indisponibilidad operativa acumulado,"durée cumulée d’indisponibilité, f",累積ダウン時間,누적 고장 시간,"czas niezdatności sumaryczny, <obiektu> m",tempo acumulado de indisponibilidade,累计不可用时间
192-02-23,"externally disabled state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-23,"حالة التعطيل خارجياً, <لبند>حالة التعطيل الخارجي, <لبند>","provozuneschopný stav z vnějších příčin, <objektu>","Unklarzustand aufgrund externer Ursachen, <einer Einheit> m","externally disabled state, <of an item>external disabled state, <of an item>","estado de incapacidad por causas externa, <de un elemento>","état d’incapacité externe, <d’une entité> m","外的動作不能状態, <アイテムの>","외적 불능 상태, <품목>외부 불능 상태, <품목>","stan niedyspozycyjności z przyczyn zewnętrznych, <obiektu> m","estado de incapacidade externa, <de um item>","外因失能状态, <产品的>"
192-02-24,externally disabled time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-24,فترة التعطيل خارجياًفترة التعطيل الخارجيسابقا: وقت الفقد الخارجي,doba provozuneschopného stavu z vnějších příčin,"extern bedingtes Nichtverfügbarkeitszeitintervall, nextern bedingte Nichtverfügbarkeitszeit, f",externally disabled timeexternal disabled timeDEPRECATED: external loss time,tiempo de incapacidad por causas externa,"temps d’incapacité externe, m",外的動作不能時間,외적 불능 시간외부 불능 시간,"czas niedyspozycyjności z przyczyn zewnętrznych, <obiektu> m",tempo de incapacidade externa,外因失能时间
192-02-25,"degraded state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-25,"الحالة المتدهورة،, <لبند>","degradovaný stav, <objektu>zhoršený stav, <objektu>","Zustand eingeschränkter Brauchbarkeit, <einer Einheit> m","degraded state, <of an item>","estado degradado, <de un elemento>","état dégradé, <d’une entité> m","劣化状態, <アイテムの>","성능저하 상태, <품목>","stan niepełnej zdatności, <obiektu> m","estado degradado, <de um item>","降级状态, <产品的>"
192-02-26,"hazardous state, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-26,"الحالة الخطرة،, <لبند>","nebezpečný stav, <objektu>","gefährlicher Zustand, <einer Einheit> m","hazardous state, <of an item>","estado de peligro, <de un elemento>","état dangereux, <d’une entité> m","潜在危険状態, <アイテムの>","위험 상태, <품목>","stan zagrożenia, <obiektu> m","estado perigoso, <de um item>","危险状态, <产品的>"
192-02-27,"useful life, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-27,"العمر النافع،, <لأى بند>","užitečná doba života, <objektu>užitečný život, <objektu>","Brauchbarkeitszeitintervall, <einer Einheit> nBrauchbarkeitsdauer, <einer Einheit> f","useful life, <of an item>","vida útil, <de un elemento>","vie utile, <d’une entité> f","耐用寿命, <アイテムの>有用寿命, <アイテムの>","내용 수명, <품목>잔존 내용 연수, <품목>실제 수명, <품목>","czas użyteczności, <obiektu> m","vida útil, <de um item>","有用寿命, <产品的>"
192-02-28,early life failure period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-28,فترة فشل مبكرة,období časných poruch,"Frühausfallphase, f",early life failure periodinfant mortality period,periodo de fallos al inicio de la vida,"période de défaillance précoce, f",初期故障期間,초기 고장 기간초기 파손 기간,"okres uszkodzeń wczesnych, m",período de falha precoce,早期寿命失效期早期失效期
192-02-29,constant failure intensity period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-29,فترة الشدة الثابتة للفشل,období konstantního parametru proudu poruch,"Phase konstanter Ausfalldichte, f",constant failure intensity period,periodo de intensidad de fallo constante,"période d’intensité constante de défaillance, f",一定故障強度期間,일정 고장 강도 주기,"okres stałej intensywności strumienia uszkodzeń, <obiektów naprawialnych> m",período de intensidade constante de falhas,恒定失效强度期
192-02-30,constant failure rate period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-30,فترة المعدل الثابت للفشل,období konstantní intenzity poruch,"Phase konstanter Ausfallrate, f",constant failure rate period,periodo de tasa de fallo constante,"période de taux constant de défaillance, f",一定故障率期間,일정 고장률 기간,"okres stałej intensywności uszkodzeń, <obiektów nienaprawialnych> m",período de taxa constante de falhas,恒定失效率期
192-02-31,wear-out failure period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-02-31,فترة الفشل الناتجة عن الإهلاك,období poruch opotřebenímobdobí opotřebení,"Verschleißausfallphase, f",wear-out failure period,periodo de fallos por desgaste,"période de défaillance par usure, f",摩耗故障期間,마모 고장 기간,"okres uszkodzeń starzeniowych, m",período de falhas por envelhecimentoperíodo de falhas por desgaste,耗损失效期
