term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,ru,sl,sr,sv,zh
461-01-13,sector-shaped conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-13,موصل قطاعي الشكل,"Sektorleiter, m",sector-shaped conductor,conductor sectoral,sektorijohdin,"âme sectorale, f",conduttore settorale,扇形導体,부채꼴 도체,сектор хэлбэрт дамжуулагч,leiar med sektorprofil,"żyła sektorowa, f",condutor sectorial,токопроводящая жила секторного сечения,sektorski vodnik,"секторски проводник , м јд",sektorformad ledare,扇形导体
461-01-14,compacted conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-14,موصل مدمج,"verdichteter Leiter, m",compacted conductor,conductor compacto,tiivistetty johdin,"âme compacte, fâme rétreinte, f",conduttore compatto,圧縮導体,조밀 도체콤팩트 도체,компакт дамжуулагчнягтаршуулсан дамжуулагч,komprimert leiar,"żyła zagęszczona, f",condutor compactado,уплотненная токопроводящая жила,kompaktirani vodnikzgoščeni vodnik,"компактирани проводник , м јд",komprimerad ledare,紧压导体
461-01-15,Milliken conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-15,موصل ميليكين,"Segmentleiter, mMillikenleiter, m",Milliken conductor,conductor segmentado,millikenjohdin,"âme segmentée, f",conduttore Milliken,分割導体,밀리켄 도체,Милликен дамжуулагч,segmentleiar,"żyła segmentowa Millikena, f",condutor segmentado,расщепленная токопроводящая жила,segmentni vodnik,"проводник састављен од сегмената, м јд",millikenledare,分割导体
461-01-16,hollow conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-16,موصل أجوف,"Hohlleiter, m",hollow conductor,conductor hueco,ontto johdin,"âme creuse, f",conduttore con foro centrale,中空導体,속 빈 전선중공 전선,хөндий дамжуулагч,hol leiar,"żyła rurowa, f",condutor oco,полая токопроводящая жила,votli vodnik,"шупљи проводник, м јд",hålledare,空心导体
461-01-17,concentric conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-17,موصل متحد المركز,"konzentrischer Leiter, m",concentric conductor,conductor concéntrico,konsentrinen johdin,"âme concentrique, f",conduttore concentrico,同軸導体,동심 도체,ерөнхий төвтэй дамжуулагч,konsentrisk leiar,"żyła współosiowa, f",condutor concêntrico,концентрическая токопроводящая жила,koncentrični vodnik,"концентрични проводник , м јд",koncentrisk ledare,同心导体
461-01-18,tinsel conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-18,موصل ذو شريط معدني,"Lahnleiter, m",tinsel conductor,conductor oropel,kehräjohdin,"fil rosette, m",conduttore in similrame,金糸導体,장식용 도체,мушгиа дамжуулагч,tinselleiar,"żyła szychowa, f",condutor helicoidalcondutor tinsel,мишурная токопроводящая жила,opletena nittračnopramenasti vodnik,"проводник од леонских нити, м јд",spinnsledare,铜皮导体
461-01-19,concentric strand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-19,جديلة متحدة المركز,"verseiltes Leiterelement, n",concentric strand,filástica regular,konsentrinen säie,"toron, m",trefolo,同心撚り,동심가닥동심소선,ерөнхий төвтэй судал,kordel,"skrętka regularna, fżyła koncentryczna, f",elemento de cableagem concêntrico,стренга повивной скрутки,vrv (v plasteh),"концентрична жица, ж јд",kardel,同心股线
461-01-20,bunched strand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-20,جديلة حزمية,"verwürgtes Leiterelement, n",bunched strand,filástica irregular,niputettu säie,"tordon, m",corda a fascio,集合撚り,다발 가닥다발 소선집군 가닥집군 소선,багцалсан судал,kordel,"skrętka nieregularna dławiona, f",elemento de cableagem torcido,стренга пучковой скрутки,konopeczvitek,"уснопљена жица, ж јд",buntad kardel,束合股线
461-01-21,concentric neutral (conductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-21,موصل تعادل متحد المركز,"konzentrischer Neutralleiter, m",concentric neutral (conductor),neutro concéntrico,konsentrinen nollajohdin,"neutre concentrique, m",conduttore di neutro concentrico,同心撚り中性線,동심 중성 도체,ерөнхий төвтэй саармаг дамжуулагч,konsentrisk nøytralleiar,"żyła powrotna współosiowa neutralna, f",(condutor) neutro concêntrico,концентрический нейтральный проволникконцентрическая нейтральная токопроводящая жила,,"концентрични неутрални проводник, м јд",koncentrisk neutralledare,同心中性导体
461-02-01,insulation (of a cable),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-01,عزل ( لكابل ),"Isolierung (eines Kabels), f",insulation (of a cable),aislamiento (de un cable),eristyskaapelin eristys,isolation (d'un câble) f,isolante (di un cavo),絶縁体,"절연부, <케이블>","тусгаарлагч, <кабелийн>",isolasjon,izolacja (kabla lub przewodu) f,isolação (de um cabo)isolamento (de um cabo) (desaconselhado),изоляция (кабеля),izolacija (kabla),"изолација , <кабла> ж јд",isolering,"绝缘, <电缆的>"
461-02-02,conductor insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-02,عزل موصل,"Leiterisolierung, fIsolierhülle, f",conductor insulation,aislamiento del conductor,johdineristys,"enveloppe isolante, f",isolamento del conduttore,導体絶縁主絶縁,도체 절연,дамжуулагчийн тусгаарлагч,leiarisolasjon,"izolacja żyły, f",isolação de um condutor,изоляция жилы,izolacija vodnika,"изолација проводника, ж јд",ledarisolering,导体绝缘
461-02-03,lapped insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-03,عزل متراكب,"gewickelte Isolierung, fgewickelte Isolierhülle, f",lapped insulation,aislamiento encintado,nauhaeristys,"isolation rubanée, f",isolamento a nastri,テープ巻き絶縁紙巻絶縁,랩 절연,бүрмэл тусгаарлагч,vikla isolasjon,"izolacja taśmowa, f",isolação enfitada,изоляция в виде обмотки,trakasta izolacija,"изолација у облику омота, ж јд",laminerad isolering,绕包绝缘
461-02-04,impregnated paper insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-04,عزل ورقى مشبع,"getränkte Papierisolierung, f",impregnated paper insulation,aislamiento de papel impregnado,kyllästeinen paperieristys,"isolation au papier imprégné, f",isolamento in carta impregnata,含浸紙絶縁,함침 종이 절연,нэвчмэл цаасан тусгаарлагч,impregnert papirisolasjon,"izolacja papierowa przesycona, f",isolação de papel impregnado,бумажная пропитанная изоляция,papirna izolacija,"изолација од импрегнисаног папира, ж јд",impregnerad pappersisolering,浸渍纸绝缘
461-02-05,pre-impregnated (paper) insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-05,عزل ورقي مشبع سلفا,"vorgetränkte Papierisolierung, f",pre-impregnated (paper) insulation,aislamiento (de papel) preimpregnado,esikyllästeinen paperieristys,"isolation (au papier) préimprégné, f",isolamento in carta preimpregnata,前含浸紙絶縁,사전 함침 종이 절연,урьдчилан нэвчүүлсэн цаасан тусгаарлагч,preimpregnert papirisolasjon,"izolacja z papieru wstępnie przesyconego, f",isolação (de papel) pré-impregnada(o),предварительно пропитанная (бумажная) изоляция,predimpregnirana (papirna) izolacija,"претходно импрегнисана папирна изолација , ж јд",förimpregnerad pappersisolering,预浸渍纸绝缘预浸渍绝缘
461-02-06,mass-impregnated (paper) insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-06,عزل ورقى كتلى مشبع,"massegetränkte Papierisolierung, f",mass-impregnated (paper) insulation,aislamiento (de papel) con impregnación de masa,massakyllästeinen paperieristys,"isolation (au papier) par imprégnation à masse, f",isolamento in carta impregnata in miscela,後含浸紙絶縁,사후 함침 종이 절연,цул нэвчмэл цаасан тусгаарлагч,masseimpregnert papirisolasjon,"izolacja z papieru przesyconego po nałożeniu, f",isolação (de papel) pós-impregnada(o),"изоляция (бумажная), пропитанная в массе",naknadno impregnirana papirna izolacija,"накнадно импрегнисана папирна изолација, ж јд",massaimpregnerad pappersisolering,整体浸渍纸绝缘整体浸渍绝缘
461-02-07,mass-impregnated non-draining insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-07,عزل كتلى مشبع بدون تصريف,"haftmassegetränkte Papierisolierung, f",mass-impregnated non-draining insulation,aislamiento de material estabilizado,valumaton massakyllästeinen paperieristys,"isolation à matière stabilisée, f",isolamento in carta impregnata in miscela non migrante,後含浸ノンドレイン紙絶縁,비배출 사후 함침 절연,цул нэвчмэл хайлдаггүй тусгаарлага,masseimpregnert dryppfri papirisolasjon,"izolacja przesycona syciwem nieściekającym, f",isolação (de papel) pós-impregnada(o) não migrante,"нестекающая изоляция, пропитанная в массе",izolacija s stabilizirano snovjo,"изолација импрегнисана масом која није течна, ж јд",vaximpregnerad isolering,整体浸渍不滴流绝缘
461-02-08,extruded insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-08,عزل مبثوق,"extrudierte Isolierung, fextrudierte Isolierhülle, f",extruded insulation,aislamiento extruido,suulakepuristettu eristys,"isolation extrudée, f",isolamento estruso,押し出し絶縁体,성형 절연,шахмал тусгаарлага,ekstrudert isolasjon,"izolacja wytłaczana, f",isolação extrudida,экструдированная изоляция,ekstrudirana izolacija,"екструдована изолација, ж јд",sprutad homogen isolering,挤包绝缘
461-02-09,mineral insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-09,عزل معدنى,"Mineralisolierung, f",mineral insulation,aislamiento mineral,mineraalieristys,"isolation minérale, f",isolamento minerale,無機物絶縁体,무기 화합물 절연,эрдэсжүүлсэн тусгаарлага,mineralisolasjon,"izolacja mineralna, f",isolação mineral,минеральная изоляция,mineralna izolacija,"минерална изолација, ж јд",mineralisolering,矿物绝缘
461-02-10,thermoplastic insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-10,عزل لدن حرارى,"thermoplastische Isolierung, f",thermoplastic insulation,aislamiento termoplástico,termoplastinen eristys,"isolation thermoplastique, f",isolamento termoplastico,熱可塑性絶縁体,열가소성 절연,дулааны хуванцар тусгаарлага,termoplastisk isolasjon,"izolacja termoplastyczna, f",isolação termoplásticaisolamento termoplástico (desaconselhado),термопластичная изоляция,termoplastična izolacija,"термопластична изолација, ж јд",termoplastisk isolering,热塑性绝缘
461-02-11,thermosetting insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-11,عزل مصلد بالحرارة,"thermisch stabilisierte Isolierung, fthermoelastische Isolierung, f",thermosetting insulation,aislamiento termoestable,silloitettu eristys,"isolation thermodurcissable, f",isolamento termoindurente,熱硬化性絶縁体,열경화성 절연,дулааны боловсруулалттай тусгаарлага,varmeherdande isolasjon,"izolacja termoutwardzalna, f",isolação termoendurecívelisolamento termoendurecivel (desaconselhado),термореактивная изоляция,termostabilizirana izolacija,"термостабилна изолација, ж јд",härdande isolering,热固性绝缘
461-02-12,cross-linked insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-12,عزل متشابك,"vernetzte Isolierung, f",cross-linked insulation,aislamiento reticulado,ristisilloitettu eristys,"isolation réticulée, f",isolamento reticolato,架橋絶縁体,가교 절연,хөндлөн ширхэгтэй тусгаарлага,tverrbunden isolasjon,"izolacja usieciowana, f",isolação reticuladaisolamento reticulado (desaconselhado),сшитая изоляция,omrežena izolacija,"умрежена изолација , ж јд",tvärbunden isolering,交联绝缘
461-02-13,elastomeric insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-02-13,عزل مطاطي الخواص,"elastomere Isolierung, f",elastomeric insulation,aislamiento elastómero,elastomeerieristys,"isolation élastomère, f",isolamento elastomerico,ゴム弾性絶縁体,전기 측정 절연,уян хатан полимер тусгаарлага,elastomerisk isolasjon,"izolacja z elastomeru, f",isolação elastoméricaisolamento elastomérico (desaconselhado),эластомерная изоляция,elastomerna izolacija,"еластомерна изолација, ж јд",elastomerisk isolering,弹性体绝缘
461-03-01,screen (of a cable),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-01,ستارة (لكابل),"Leitschicht (eines Kabels), f",screen (of a cable),pantalla (de un cable),johtava kerros,écran  (d'un câble) m,schermo (di un cavo),遮へいケーブル遮へい,"차폐, <케이블>스크린, <케이블>","экран, <кабелийн>",skjerm,"ekran, f",ecrã (de um cabo),экран по изоляции (кабеля),zaslon (kabla),"екран, <кабла> м јд",ledande skikt,"屏蔽, <电缆的>"
461-03-02,conductor screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-02,ستارة موصل,"innere Leitschicht, f",conductor screen,pantalla sobre conductor,johdinsuoja,"écran sur âme, m",schermo sul conduttore,内部導電層内部半導電層導体遮へい,도체 차폐,дамжуулагчийн экран,leiarskjerm,"ekran na żyle, f",ecrã sobre o condutor,экран по жиле,zaslon na vodnikunotranji zaslon,"екран проводника , м јд",inre ledande skikt,导体屏蔽
461-03-03,insulation screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-03,ستارة قلبستارة عزل,"äußere Leitschicht, f",insulation screencore screen,pantalla sobre aislamiento,hohtosuoja,"écran sur enveloppe isolante, m",schermo sull’isolanteschermo sull’anima,外部導電層外部半導電層コア遮へい絶縁遮へい,절연 차폐,тусгаарлагын экрангол экран,isolasjonsskjerm,"ekran na izolacji, f",ecrã sobre a isolação,экран по изоляции; экран по изолированной жиле,zaslon na žili,"екран изолације, м јд",yttre ledande skikt,绝缘屏蔽绝缘线芯屏蔽
461-03-04,shield (of a cable),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-04,ساتر (لكابل),"Schirm (eines Kabels), mKabelschirm, m",shield (of a cable),pantalla de protección (de un cable),sähköinen suoja,écran métallique (d'un câble) mblindage (d'un câble) m,schermo (di protezione),金属遮へい層,"실드, <케이블>","хамгаалалтын бүрхүүл, <кабелийн>",metallskjerm,ekran (kabla) f,blindagem (de um cabo),общий экран (кабеля),oklep (kabla)zaščitni zaslon (kabla),"заштита, <кабла> ж јд",skärm,"接地屏蔽, <电缆的>接地金属屏蔽金属屏蔽"
461-03-05,strippable screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-05,ستارة قابلة للنزع,"abziehbare äußere Leitschicht, f",strippable screen,pantalla pelable,revittävä hohtosuoja,"écran pelable, m",schermo pelabile,フリーストリッピング型半導電層,박리형 차폐,салдаг экран,strippbar skjerm,"ekran zdzieralny, f",ecrã pelável,снимаемый экран,snemljivi zaslon (na žili),"екран који може да се одстрани, м јд",skalbart ledande skikt,可剥离屏蔽
461-03-06,bonded screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-06,ستارة غير قابلة للنزع,"festverschweißte äußere Leitschicht, f",bonded screen,pantalla adherente,kiinteä hohtosuoja,"écran adhérent, m",schermo aderente,ボンド型半導電層,결합 차폐접착 차폐,наадаг экран,fastsitjande skjerm,"ekran spojony, f",ecrã aderente,неснимаемый экран,sprijeti zaslon,"екран који не може да се одстрани, м јд",fast ledande skikt,粘结屏蔽
461-03-07,drain wire,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-03-07,سلك موصل بالستارة أو الدرعسلك استمرارية,"Beidraht, m",drain wirecontinuity wire,hilo de continuidad,maadoituslanka,"fil de continuité, m",filo di continuità,ドレインワイヤ,드레인 선접지용 전선,кабелийн газардуулагч утас,,"żyła ciągłości, f",fio de continuidade,контактная проволока (экрана),povezovalna žica,"одводна жица , ж јд",biledare,裸屏蔽线
461-04-01,length of lay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-01,طول الخطوة,"Schlaglänge, f",length of lay,paso de cableado,kertausnousu,"pas (d'assemblage), m",passo di riunione,撚り合わせピッチ,꼬임새 길이,ороодосны урт,slaglengd,"skok skrętu, m",passo (de cableagem),шаг скрутки,korak (sukanja),"корак поужавања, м јд",stigningslaglängd,节距
461-04-02,lay ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-02,نسبة الخطوة,"Schlaglängenverhältnis, nVerseilfaktor, m",lay ratio,relación de paso,noususuhde,"rapport de pas, m",rapporto di passo,撚り合わせピッチ倍率,꼬임비,ороодосны харьцаа,stigning,"współczynnik skrętu, m",relação de passo,кратность шага скрутки,razmerje koraka,"однос поужавања , м јд",stigningsgradstigningsfaktor,节径比
461-04-03,direction of lay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-03,أتجاة الجدل,"Schlagrichtung, f",direction of lay,sentido de cableado,kertaussuunta,"sens d'assemblage, m",senso di riunione,撚り方向,꼬임 방향,ороодосны чиглэл,slagretning,"kierunek skrętu, m",sentido de cableagem,направление скрутки,smer sukanja,"смер поужавања , м јд",stigningsriktningslagningsriktning,绞向
461-04-04,core,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-04,موصل معزول (أمريكا الشمالية)قلب,"Ader, f",coreinsulated conductor,conductor aislado,eristetty johdinpiuha,"conducteur (isolé), m",anima / conduttore isolato,コア絶縁線心,노심철심코어동체,судалтусгаарлагатай дамжуулагч,isolert leiar,"żyła izolowana, f",condutor isolado,изолированная жила (термин употребляется в Северной Америке),žilaizolirani vodnik,"жила, ж јдизоловани проводник, м јд",part,绝缘线芯
461-04-05,filler,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-05,حشو,"Zwickelfüllung, f",filler,relleno,täyte,"bourrage, m",riempitivo,介在,충전제,дүүргэгч,fyllstreng,"wypełnienie, n",enchimento,заполнитель,polnilo,"пуњење , с јд",utfyllnad,填充物
461-04-06,twisted loom,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-06,نول مبرومتجميعة كابل,"Verseilverband, m",twisted loomcabled assembly,cableado en haz,kierrekaapeli,"torsade, f",cavo precordato,線心集合,꼰 직기연선 직기,сүлжмэл кабелькабелиудын бүрдэл,,"przewód wielożyłowy bez wspólnej powłoki, m",torçada,многожильный кабель без наружных элементов,kabelski snop,"поужени кабл, м јдкабловски склоп , м јд",omantlad kabel,缆芯
461-04-07,SZ cabling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-07,طريقة عكس الاتجاه لتجميع الكابل,"SZ-Verseilung, f",SZ cabling,cableado SZ,SZ-kertaus,"assemblage SZ, m",riunione SZ,ＳＺ撚り,SZ 케이블 포설,SZ кабелийн угсралт,SZ-slåing,skręt nawrotny (typu SZ) m,cableagem SZ,разнонаправленная скрутка,sukanje SZizmenično sukanje,"SZ каблови, м мн",SZ-kabling,SZ成缆
461-04-08,pilot core,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-04-08,قلب اشارةسلك اشارة,"Steuerader, fPrüfader, f",pilot corepilot wire  (deprecated in this sense),conductor piloto,signaalijohdinapujohdin,"fil pilote, m",anima pilota,パイロットコアパイロット線心,표시심,дохио дамжуулах судал,signalleiar,"żyła pomocnicza, f",condutor piloto,контрольная жила,krmilna žila,"пилот-жила , ж јд",signalledare,导引绝缘线芯
461-05-01,separator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-01,فاصل,"Trennschicht (eines Kabels), f",separator,separador,erotuskerros,"séparateur, m",separatore,セパレータ,구분 기호,зааглагч,separator,"separator, m",separador,разделитель,ločilna plastseparator,"сепаратор, м јд",separator,隔离层
461-05-02,inner covering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-02,غطاء داخلى,"gemeinsame Aderumhüllung, f",inner covering,revestimiento interno,välikerros,"revêtement d'assemblage, m",rivestimento (interno),インナーカバリング,내부 피복,дотор бүрээс,"fyllkappe, bandering","powłoka wewnętrzna, f",revestimento interno,поясная изоляция,notranja prevleka,"унутрашњи омотач , м јд",inre mantel,内衬层
461-05-03,sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-03,غلاف ( أمريكا الشمالية )غلاف,"Mantel, m",sheathjacket (North America),cubierta,vaippa,"gaine, f",guaina,シース,시스,бүрээс,kappe,"powłoka, f",bainha de estanquidade,оболочка,plašč,"плашт , м јд",mantel,护套
461-05-04,oversheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-04,غلاف فوقيغلاف خارجي,"Außenmantel, m",oversheathouter sheathprotective (overall) jacket (North America),cubierta exterior,ulkovaippa,"gaine externe, fgaine extérieure, f",guaina esterna,非金属外部シース,오버 시스,гадна бүрээсхамгаалалтын бүрээс,ytre kappe,"osłona zewnętrzna, fosłona ochronna, f",bainha exterior,защитный покров,zaščitni plašč,"спољашњи плашт , м јд",yttermantel,外护套
461-05-05,reinforcement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-05,تدعيم,"Druckschutz, m",reinforcement,blindaje,lujitekerros,"frettage, m",blindatura,補強層,보강보강재,хүчитгэгч,forsterking,"wzmocnienie, n",reforço,упрочняющий покров,nadtlačna ojačitev,"ојачање , с јд",tryckarmering,加强层
461-05-06,armour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-06,مسلح,"Bewehrung, f",armour,armadura,armeeraus,"armure, f",armatura,鎧装,외장아머,хуяг,armering,"pancerz, m",armadura,броня,oklep,"арматура , ж јд",armering,铠装层
461-05-07,spiral binder tape,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-05-07,شريط ربط حلزونى,"Haltewendel, f",spiral binder tape,contraespira,armeerauksen vastasidos,"contre-spire, f",nastro metallico controspirale,スパイラル巻きバインダーテープ,나선형 끈 테이프,эрчлээт наамал тууз,motspiral,"spirala przeciwskrętna, f",contra-espira,спиральная скрепляющая лента,vijačnični polnilni trak,"хеликоидна трака за повезивање , ж јд",motspiral,螺旋扎紧带
