term_id,term,term_url,ar,cs,de,en,fr,ja,ko,nl,pl,pt,zh
523-03-10,deflection angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-10,,úhel vychýlení,"Biegewinkel, m",deflection angle,"angle de flèche, m",たわみ角,,"afbuigingshoek, m","kąt odkształcenia, m",ângulo de deflexãoângulo de flecha,偏角
523-03-11,"amplitude, <MEMS>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-11,"سعة, <نظام كهرو ميكانيكى متناهى الصغر>","amplituda, <MEMS>","Amplitude, <MEMS> f","amplitude, <MEMS>","amplitude, <MEMS> f","振幅, ＜MEMS＞",진폭,"amplitude, f","amplituda, <MEMS> f","amplitude, <MEMS>","振幅, <微机电装置>"
523-03-12,S-N curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-12,,křivka S-N,"S-N-Kurve, fWöhlerkurve, f",S-N curve,"courbe S-N, f",S-N曲線,,"S-N curve, f","krzywa zmęczenia, f",curva S-N,S-N曲线
523-03-13,failure strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-13,,síla při poruše,"Bruchfestigkeit, f",failure strength,"résistance à une défaillance, f",破断強度,,"faalsterkte, f","odporność na uszkodzenie, <np. na pęknięcie badanej próbki> f",tensão de fratura,失效强度
523-03-14,instantaneous failure strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-14,,okamžitá síla při poruše,"momentane Bruchfestigkeit, fKurzzeitfestigkeit, f",instantaneous failure strength,"résistance à une défaillance instantanée, f",瞬時破断強度,,"ogenblikkelijke faalsterkte, f","chwilowa odporność na uszkodzenie, f",tensão de fratura instantânea,瞬时失效强度
523-03-15,grid pattern,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-15,,mřížková značka,"Messraster, n",grid pattern,"motif en grille, m",格子状パターン,,"rasterpatroon, n","wzór siatki, m",motivos em grelha,网格图形
523-03-16,residual stress,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-16,,zbytkové napětí,"Eigenspannung, fRestspannung, fSchichtspannung, f",residual stress,"contrainte résiduelle, f",残留応力,,"restspanning, f","naprężenie własne, nnaprężenie resztkowe, nnaprężenie szczątkowe, nnaprężenie pozostałe, n",tensão residual,残余应力
523-03-17,curvature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-17,,křivost,"Krümmung, f",curvature,"courbure, f",曲率,,"kromming, f","krzywizna, f",curvatura,曲率
523-03-18,membrane window,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-18,,okénko membrány,"Membranfenster, n",membrane window,"fenêtre à membrane, f",メンブレン窓,,"membraanvenster, n","okno membrany, n",janela a membrana,薄膜窗口薄膜区域
523-03-19,gauge factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-19,,faktor deformace,"Dehnungs-Empfindlichkeitsfaktor, mEmpfindlichkeitsfaktor, mProportionalitätsfaktor, m",gauge factor,"coefficient de traction, m",ゲージ率,,"meetfactor, m","stosunek względnej zmiany rezystancji elektrycznej do naprężenia mechanicznego, m",coeficiente de deformação,应变因子
523-03-20,elongation at electrical failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-20,,prodloužení při elektrické poruše,"Dehnung beim elektrischen Ausfall, f",elongation at electrical failure,"allongement en défaillance électrique, m",電気的故障時の伸び,,"verlenging bij elektrische storing, f","wydłużenie przy którym rezystancja elektryczna zaczyna przekraczać wartość graniczną, n",alongamento à falha elétrica,电气失效延伸率
523-04-01,biosensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-01,,biosenzor,"Biosensor, m",biosensor,"biocapteur, m",バイオセンサ,,"biosensor, m","biosensor, m",biossensor,生物传感器
523-04-02,integrated microprobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-02,,integrovaná mikrosonda,"integrierte Mikrosonde, f",integrated microprobe,"microsonde intégrée, f",集積化マイクロプローブ,,"geïntegreerde microsonde, f","zintegrowana mikrosonda, f",microssonda integrada,集成式微探针
523-04-03,ISFET,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-03,,tranzistor FET citlivý na iontyISFET,"ionensensitiver Feldeffekt-Transistor, mISFET",ISFETion-sensitive field-effect transistor,"ISFET, mtransistor à effet de champ sensible aux ions, m",ISFET,,"ISFET, miongevoelige veldeffecttransistor, m","jonoczuły tranzystor polowy, mISFET",ISFETtransistor a efeito de campo sensível aos iões,离子敏场效应晶体管ISFET
523-04-04,microgyroscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-04,,mikrogyroskop,"Mikrogyroskop, n",microgyroscope,"microgyroscope, m",マイクロジャイロ,,"microgyroscoop, m","mikrożyroskop, m",microgiroscópio,微陀螺
523-04-05,diaphragm structure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-05,,membránová struktura,"Membran, f",diaphragm structure,"structure de diaphragme, f",ダイアフラム構造,,"diafragmastructuur, f","membrana, f",estrutura de diafragma,膜结构
523-04-06,microcantilever,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-06,,hrot (sondy)vetknutý mikronosník,"Mikro-Federbalken, mMikrocantilever, m",microcantilever,"micropoutre, f",マイクロカンチレバー微小片持ちはり（梁）,,"microbalk, m","mikrowspornik, m",microtrave,微悬臂梁
523-04-07,microchannel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-07,,mikrokanál,"Mikrokanal, m",microchannel,"microcanal, m",マイクロチャネル,,"microkanaal, n","mikrokanał, m",microcanal,微通道
523-04-08,microactuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-08,,mikroovládač,"Mikroaktor, m",microactuator,"micro-actionneur, m",マイクロアクチュエータ,,"microactuator, m","mikrosiłownik, mmikroaktuator, m",microatuador,微执行器
523-04-09,light-driven actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-09,,ovládač buzený světlem,"lichtgesteuerter Aktor, m",light-driven actuator,"actionneur commandé par la lumière, m",光駆動形アクチュエータ,,"lichtgestuurde actuator, m","aktuator sterowany lub zasilany energią świetlną, m",atuador controlado por luz,光驱动执行器
523-04-10,piezoelectric actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-10,,piezoelektrický ovládač,"piezoelektrischer Aktor, m",piezoelectric actuator,"actionneur piézoélectrique, m",圧電アクチュエータ,,"piëzo-elektrische actuator, m","aktuator piezoelektryczny, m",atuador piezoelétrico,压电执行器
523-04-11,shape-memory alloy actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-11,,slitinový ovládač s tvarovou pamětí,"Formgedächtnislegierungs-Aktor, mFormgedächtnis-Aktor, m",shape-memory alloy actuator,"actionneur en alliage à mémoire de forme, m",形状記憶合金アクチュエータ,,"actuator in legering met vormgeheugen, mactuator in geheugenmetaal, m","aktuator stopowy z pamięcią kształtu, m",atuador de liga de memória de forma,形状记忆合金执行器
523-04-12,comb-drive actuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-12,,hřebenový budicí ovládač,"Kamm-Antrieb, m",comb-drive actuator,"actionneur microrésonateur, m",くし（櫛）歯状アクチュエータ,,"actuator met kamaandrijving, m","aktuator grzebieniowy, m",atuador microrressoador,梳状驱动执行器
523-04-13,scanning mirror,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-13,,rastrující zrcadloskenovací zrcadlo,"Scannerspiegel, m",scanning mirror,"miroir de balayage, m",走査ミラー,,"scannerspiegel, m","zwierciadło skanujące, n",espelho de varrimento,扫描镜
523-04-14,optical switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-14,,optický spínač,"optischer Schalter, m",optical switch,"interrupteur optique, m",光学スイッチ,,"optische schakelaar, m","przełącznik optyczny, m",comutador óptico,光开关
523-04-15,microgripper,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-15,,mikrosvěrka,"Mikrogreifer, mMikrogripper, m",microgripper,"micropince, f",マイクログリッパ,,"microgrijper, m","mikrochwytak, m",micropinça,微夹具
523-04-16,micropump,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-16,,mikročerpadlo,"Mikropumpe, f",micropump,"micropompe, f",マイクロポンプ,,"micropomp, f","mikropompa, f",microbomba,微泵
523-04-17,microvalve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-17,,mikroventil,"Mikroventil, n",microvalve,"microvanne, f",マイクロバルブ,,"microklep, f","mikrozawór, m",microválvula,微阀
523-04-18,micro fuel cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-18,,mikropalivová buňka,"Mikro-Brennstoffzelle, f",micro fuel cell,"micropile à combustible, f",マイクロ燃料電池,,"microbrandstofcel, f","mikroogniwo paliwowe, n",micropilha de combustívelmicrocélula de combustível,微型燃料电池
523-04-19,photoelectric transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-19,,fotoelektrický převodník,"photoelektrischer Wandler, m",photoelectric transducer,"transducteur photoélectrique, m",光電変換素子,,"foto-elektrische omvormer, m","przetwornik fotoelektryczny, m",transdutor fotoelétrico,光电转换器
523-04-20,silicon-on-insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-20,,křemík na izolantuSOI,"Silizium auf Isolator, nSOI",silicon-on-insulatorSOI,"silicium sur isolant, mSOI, m",シリコン・オン・インシュレータＳＯＩ,,"silicium op isolator, mSOI, m","krzem na izolatorze, mSOI",silício-sobre-isolanteSOI,绝缘衬底上的硅SOI
523-04-21,e-compass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-21,,e-kompaselektronický kompas,"elektronischer Kompass, mE-Kompass, m",e-compasselectronic compass,"e-compas, mcompas électronique, m",e-コンパス電子コンパス,,"e-kompas, n","kompas elektroniczny, me-kompas, m",e-bússolabússola eletrónica,电子罗盘
523-04-22,2-axis e-compass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-22,,dvouosý e-kompas,"zweiachsiger elektronischer Kompass, m",2-axis e-compass,"e-compas à 2 axes, m",2軸 e-コンパス2軸電子コンパス,,"2-assig e-kompas, n","kompas elektroniczny dwuosiowy, me-kompas dwuosiowy, m",e-bússola de dois eixos,双轴电子罗盘
523-04-23,3-axis e-compass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-23,,tříosý e-kompas,"dreiachsiger elektronischer Kompass, m",3-axis e-compass,"e-compas à 3 axes, m",3軸 e-コンパス3軸電子コンパス,,"3-assig e-kompas, n","kompas elektroniczny trójosiowy, me-kompas trójosiowy, m",e-bússola de três eixos,3轴电子罗盘
523-04-24,6-axis e-compass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-24,,šestiosý e-kompas,"sechsachsiger elektronischer Kompass, m",6-axis e-compass,"e-compas à 6 axes, m",6軸 e-コンパス6軸電子コンパス,,"6-assig e-kompas, n","kompas elektroniczny sześcioosiowy, me-kompas sześcioosiowy, m",e-bússola de seis eixos,6轴电子罗盘
523-04-25,CMOS MEMS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-04-25,,CMOS MEMS,"CMOS-MEMS-Bauelement, nCMOS-MEMS, n",CMOS MEMS,"MEMS CMOS, m",CMOS MEMS,,"CMOS MEMS, n","układ MEMS zintegrowany na tym samym podłożu z elementów CMOS i MEMS, m",MEMS CMOS,互补金属氧化物半导体微机电系统CMOS微机电系统CMOS MEMS
523-05-01,thick film technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-01,,technologie tlustých vrstev,"Dickschichttechnik, fDickfilmtechnik, f",thick film technology,"technologie de couches épaisses, f",厚膜技術,,"dikkefilmtechnologie, f","technologia grubowarstwowa, f",tecnologia de película espessa,厚膜技术
523-05-02,thin film technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-02,,technologie tenkých vrstev,"Dünnschichttechnik, fDünnfilmtechnik, f",thin film technology,"technologie de couches minces, f",薄膜技術,,"dunnefilmtechnologie, f","technologia cienkowarstwowa, f",tecnologia de película fina,薄膜技术
523-05-03,bulk micromachining,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-03,,objemové mikroopracování,"Volumen-Mikromechanik, fBulk-Silizium-Mikromechanik, fmikrostrukturelles Volumen-Fertigungsverfahren, n",bulk micromachining,"micro-usinage de volume, m",バルク微細加工,,"microbewerking in het volume, f","mikroobróbka objętościowa, f",micromaquinagem de volumemicromaquinagem volumétrica,体微加工
523-05-04,surface micromachining,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-04,,povrchové mikroopracování,"Oberflächen-Mikromechanik, fmikrostrukturelles Oberflächen-Fertigungsverfahren, n",surface micromachining,"micro-usinage de surface, m",表面微細加工,,"microbewerking op het oppervlak, f","mikroobróbka powierzchniowa, f",micromaquinagem de superfíciemicromaquinagem superficial,表面微加工
523-05-05,surface modification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-05,,povrchová modifikace,"Oberflächenmodifikation, f",surface modification,"modification de surface, f",表面修飾表面改質,,"oppervlakte-aanpassing, f","modyfikacja powierzchniowa, f",modificação de superfície,表面改性
523-05-06,LIGA process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-06,,proces LIGA,"LIGA-Prozess, mLIGA-Verfahren, n",LIGA process,"procédé LIGA, m",LIGAプロセス,,"LIGA-proces, n","proces LIGA, m",processo LIGA,X射线深层光刻电铸成型工艺
523-05-07,laser dicing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-07,,laserové řezání / dělení,"Lasertrennen, nLaser-Dicing, n",laser dicing,"découpage en dés au laser, m",レーザーダイシング,,"lasersnijden, n","krojenie laserem, nkrojenie laserowe, nnacinanie laserowe, n",corte em cubos por laser,激光划片
523-05-08,isotropic etching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-08,,izotropní leptání,"isotropes Ätzen, n",isotropic etching,"gravure isotrope, f",等方性エッチング,,"isotroop etsen, n","trawienie izotropowe, n",decapagem isotrópicagravura isotrópica,各向同性刻蚀
523-05-09,anisotropic etching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-09,,anizotropní leptání,"anisotropes Ätzen, n",anisotropic etching,"gravure anisotrope, f",異方性エッチング,,"anisotroop etsen, n","trawienie anizotropowe, n",decapagem anisotrópicagravura anisotrópica,各向异性刻蚀
523-05-10,etch stop,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-10,,leptací bariéra,"Ätzstopper, m",etch stop,"arrêt de gravure, m",エッチストップ,,"etsstop, m","ogranicznik trawienia, m",paragem de decapagemparagem de gravura,刻蚀停止层
523-05-11,sacrificial etching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-11,,obětované leptání,"Opferschicht-Ätzen, n",sacrificial etching,"gravure sacrificielle, f",犠牲層エッチング,,"opofferend etsen, n","trawienie pośrednie, n",decapagem sacrificialgravura sacrificial,牺牲层刻蚀
523-05-12,reactive ion etching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-12,,reaktivní iontové leptáníRIE,"reaktives Ionen-Ätzen, nRIE",reactive ion etchingRIE,"gravure ionique réactive, fRIE, f",反応性イオンエッチングRIE,,"etsing met reactieve ionen, freactieve-ionenetsing, f","trawienie reaktywnymi jonami, nRIE",decapagem iónica reativaRIEgravura iónica reativa,反应离子刻蚀RIE
523-05-13,deep reactive ion etching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-13,,hluboké reaktivní iontové leptáníDRIE,"reaktives Ionen-Tiefenätzen, nDRIE",deep reactive ion etchingDRIE,"gravure ionique réactive profonde, fDRIE, f",深掘反応性イオンエッチング,,"diepe etsing met reactieve ionen, fdiepe reactieve-ionenetsing, f","głębokie trawienie reaktywnymi jonami, nDRIE",decapagem iónica reativa profundaDRIEgravura iónica reativa profunda,深反应离子刻蚀DRIE
523-05-14,inductively coupled plasma,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-14,,indukčně zdvojené plazmaICP,"induktiv gekoppeltes Plasma, nICP",inductively coupled plasmaICP,"plasma à couplage inductif, mICP, m",誘導結合型プラズマ,,"inductief gekoppeld plasma, nICP, n","plazma sprzężona indukcyjnie, fICP",plasma com acoplamento por induçãoICP,电感耦合等离子体ICP
523-05-15,atomic layer deposition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-15,,nanášení atomární vrstvyALD,"Atomlagenabscheidung, fALD",atomic layer depositionALD,"dépôt de couches atomiques, mALD, m",原子層堆積プロセス,,"afzetting van atoomlagen, fALD, f","osadzanie warstw atomowych, nALD",deposição de camadas atómicasALD,原子层沉积ALD
523-05-16,self-assembled monolayer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-16,,samovytvářená monovrstvaSAM,"selbstorganisierende Monoschicht, fSAM",self-assembled monolayerSAM,"monocouche auto-assemblée, fSAM, f",自己組織化単分子膜,,"zelfsamengestelde monolaag, fSAM, f","samozorganizowana monowarstwa, fSAM",monocamada automontadaSAM,单层自组装膜SAM
523-05-17,electroforming,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-17,,galvanoplastikaelektrotváření,"Elektroforming, nGalvanoforming, ngalvanisches Formen, n",electroforming,"électroformage, m",電鋳法,,"elektroformering, f","kształtowanie galwaniczne, nformowanie metodą osadzania elektrolitycznego, n",eletroformaçãoeletrodeposição,电铸
523-05-18,nanoimprint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-18,,nanotisk,"Nanoprägen, nNanoimprinting, n",nanoimprint,"nano-impression, f",ナノインプリント,,"nano-afdruk, m","replikacja struktur w skali nanometrycznej, f",nanoimpressão,纳米压印
523-05-19,micromoulding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-19,,mikroodlévánímikrolisování,"Mikroformen, nMikrogießen, n",micromoulding,"micromoulage, m",マイクロモールディング,,"microspuitgieten, nmicrospuitgieting, f","mikroformowanie, n",micromoldação,微模铸
523-05-20,STM machining,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-05-20,,opracování STM,"Rastertunnelmikroskop-Bearbeitung, fRTM-Bearbeitung, fSTM-Bearbeitung, f",STM machining,"usinage STM, m",STM加工,,"STM-bewerking, f","wytwarzanie z udziałem mikroskopu STM, n",maquinagem STM,扫描隧道显微镜加工
523-06-01,bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-01,,spojování,"Bonden, n",bonding,"collage, m",ボンディング,,"verbinding, n","łączenie, n",colagem,键合
523-06-02,anodic bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-02,,anodické spojování,"anodisches Bonden, n",anodic bonding,"collage anodique, m",陽極接合,,"anodische verbinding, f","łączenie anodowe, n",colagem anódica,阳极键合
523-06-03,diffusion bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-03,,difuzní spojování,"Diffusionsbonden, n",diffusion bonding,"soudage par diffusion, m",拡散接合,,"diffusieverbinding, f","łączenie dyfuzyjne, n",soldadura por difusão,扩散键合
523-06-04,surface-activated bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-04,,spojování povrchově aktivovaného povrchuSAB,"oberflächenaktiviertes Bonden, nSAB",surface-activated bondingSAB,"collage avec activation de surface, mSAB, m",表面活性化接合SAB,,"oppervlak-geactiveerde verbinding, f","łączenie aktywowane powierzchniowo, nSAB",colagem por ativação de superfícieSAB,表面活化键合SAB
523-06-05,silicon fusion bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-05,,spojování křemíku přetavením,"Silizium-Direktbonden, nSilizium-Fusionsbonden, n",silicon fusion bonding,"collage par fusion du silicium, m",シリコンフュージョンボンディング,,"siliciumfusieverbinding, f","łączenie krzemu na drodze fuzji, n",colagem por fusão de silício,硅融熔键合
523-06-06,"packaging, <of components>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-06,,"pouzdření, <komponenty>","Packaging, <von Bauelementen> nVerkappen, <von Bauelementen> nVerschließen, <von Bauelementen> n","packaging, <of components>","encapsulation, <de composants> f",パッケージング,,"verpakking, f","obudowywanie, <części składowych/podzespołów> numieszczanie w obudowie ochronnej, n","empacotamento, <de componentes>","封装, <组合的>"
523-06-07,wafer level packaging,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-07,,pouzdření na úrovni desky (waferu),"Wafer-Level-Packaging, n",wafer level packaging,"encapsulation au niveau de la tranche, f",ウエハレベルパッケージング,,"verpakking op waferniveau, f","obudowywanie na poziomie płytki, numieszczanie obudowy ochronnej na strukturach płytki, n",empacotamento ao nível da bolachaempacotamento ao nível da wafer,圆片级封装
523-06-08,through-silicon-via,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-08,,průchozí otvor v křemíkuTSV,"Silizium-Durchkontaktierung, fSilizium-Via, nTSV",through-silicon-viaTSV,"trou de liaison à travers le silicium, mTSV, m",シリコン貫通電極　TSV,,"verbindingsopening doorheen silicium, fTSV, m","połączenia TSV, n plpołączenia wewnętrzne między strukturami, n pl",via através do silícioTSV,硅通孔TSV
523-06-09,adhesive bend strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-06-09,,adhezní pevnost při ohybu,"Biege-Haftfestigkeit, f",adhesive bend strength,"résistance d'adhérence à la courbure, f",接合曲げ強度,,"buigsterkte van de verlijming, f","wytrzymałość połączeń adhezyjnych na zginanie, f",resistência de aderência à flexão,粘接弯曲强度
