term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,mn,nl,no,pl,pt,sv,zh
195-01-16,functional-equipotential-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-16,رباط وظيفى متساوى الجهد,pracovní pospojování,"Funktionspotentialausgleich, m",functional-equipotential-bonding,"conexión equipotencial funcional, f","liaison équipotentielle fonctionnelle, f",機能的等電位ボンディング,기능 등전위 본딩,тусгай зориулалтын эквипотенциал холболт,"functionele equipotentiaalverbinding, ffunctionele potentiaalvereffeningsverbinding, f",utjevningsforbindelse for funksjonsformål,"połączenie wyrównawcze funkcjonalne, npołączenie ekwipotencjalne funkcjonalne, n",ligação equipotencial funcional,funktionsutjämning,功能等电位联结
195-01-17,impedance to earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-17,معاوقة الأرضى,impedance uzemnění,"Impedanz gegen Bezugserde, f","impedance to earthimpedance to ground, US","impedancia de puesta a tierra, f","impédance de mise à la terre, f",接地インピーダンス,접지 임피던스,газардуулгын бүрэн эсэргүүцэл,"aardingsimpedantie, f",impedans til jord,"impedancja uziemienia, f",impedância de ligação à terra,impedans till jord,对地阻抗
195-01-20,electrical safety,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-20,آمان كهربى,elektrická bezpečnost,"elektrische Sicherheit, m",electrical safety,"seguridad eléctrica, f","sécurité électrique, f",電気安全,전기 안전,цахилгааны аюулгүй ажиллагаа,"elektrische veiligheid, f",elektrisk sikkerhet (elsikkerhet),"bezpieczeństwo elektryczne, n",segurança elétrica,elsäkerhet,电气安全
195-01-21,normal condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-21,حالة عادية,normální stav,"Normalzustand, m",normal condition,"condición normal, f","condition normale, f",通常状態,정상 조건,хэвийн нөхцөл,"normale toestand, m",normale forhold,"stan normalny, m",condição normal,normalt förhållande,正常状态
195-01-22,reinforced protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-22,وقاية معززةوقاية مدعمة,zesílená ochrana,"verstärkter Schutz, m",reinforced protection,"protección reforzada, f","protection renforcée, f",強化保護,강화 보호강화 방호,хүчитгэсэн хамгаалалт,"versterkte bescherming, f",forsterket beskyttelse,"zabezpieczenie wzmocnione, nochrona, f",proteção reforçada,förstärkt skydd,加强防护
195-01-23,single fault condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-23,حالة خطأ أحادى مفردحالة عطل أحادى مفرد,podmínka jediného poruchového stavu,"Einzelfehler, m",single fault condition,"condición de fallo único, fcondición de defecto único, f","condition de premier défaut, f",単一故障状態,단일 고장 조건,салангид хэсэгт гэмтэл гарсан нөхцөл,"enkelvoudige fouttoestand, m",enkeltfeil,"stan pojedynczego uszkodzenia, m",condição de primeiro defeito,enkelfelstillstånd,单一故障状态
195-01-24,earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-24,تأريض,uzemnění,"Erdung, f","earthinggrounding, US",puesta a tierra,"mise à la terre, f",接地,접지,газардуулга,"aarding, f",jording,"uziemienie, n",ligação à terra,jordning,"接地, <相关条目：IEV 195-01-08>"
195-02-01,earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-01,قطب أرضىإلكترود أرضى,zemnič,"Erder, m","earth electrodeground electrode, US","electrodo de tierra, mtoma de tierra, f","prise de terre, félectrode de terre, f",接地極,접지 전극,газардуулгын электрод,"aardelektrode, f",jordelektrode,"uziom, m",elétrodo de terra,jordelektrod,接地极
195-02-02,independent earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-02,قطب أرضى مستقلإلكترود أرضى مستقل,nezávislý zemnič,"unabhängiger Erder, m","independent earth electrodeindependent ground electrode, US","electrodo de tierra independiente, mtoma de tierra independiente, f","prise de terre indépendante, félectrode de terre indépendante, f",独立接地極,독립 접지 전극,бие даасан газардуулгын электрод,"onafhankelijke aardelektrode, f",upåvirked jordelektrode,"uziom niezależny, m",elétrodo de terra independente,oberoende jordelektrod,独立接地极
195-02-03,earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-03,موصل تأريض,uzemňovací přívod,"Erdungsleiter, m","earthing conductorgrounding conductor, US","conductor de puesta a tierra, m","conducteur de mise à la terre, mconducteur de terre, m",接地導体,접지 도체,газардуулгын дамжуулагч,"aardgeleider, m",jordingsleder,"przewód uziemiający, m",condutor de ligação à terracondutor de terra,jordningsledare,接地导体
195-02-04,mid-point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-04,نقطة الوسط,střední bod,"Mittelpunkt, m",mid-point,"punto medio, m","point milieu, m",中間点,중간점,дундын цэг,"middelpunt, n",midtpunkt,"punkt środkowy, m",ponto médio,mittpunkt,中间点
195-02-05,neutral point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-05,نقطة التعادل,nulový boduzel,"Neutralpunkt, m",neutral point,"punto neutro, m","point neutre, m",中性点,중성점,саармаг цэг,"nulpunt, n",nøytralpunkt,"punkt neutralny, m",ponto neutro,neutralpunkt,中性点
195-02-06,neutral conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-06,موصل التعادل,nulový vodič,"Neutralleiter, m",neutral conductor,"conductor neutro, m","conducteur de neutre, mconducteur neutre, m",中性線,중성 도체,саармаг дамжуулагч,"nulgeleider, mN-geleider, m",nøytralleder (N‑leder),"przewód neutralny, m",condutor neutro,neutralledare,中性导体
195-02-07,mid-point conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-07,موصل نقطة الوسط,vodič středního bodu,"Mittelpunktleiter, m",mid-point conductor,"conductor de punto medio, m","conducteur de point milieu, m",中間点導体,중간점 도체,дундын цэгийн дамжуулагч,"middelpuntgeleider, mM-geleider, m",midtpunktsleder,"przewód środkowy, m",condutor de ponto médio,mittpunktsledare,中间导体
195-02-08,line conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-08,موصل الخط,vodič vedení,"Außenleiter, m",line conductor,"conductor de línea, mDESACONSEJADO: conductor de fase, m","conducteur de phase, m",線導体,선 도체,шугамын дамжуулагч,"lijngeleider, mfasegeleider (in AC systeem)",faseleder,"przewód liniowy, m",condutor de linhacondutor de fase,linjeledare,线导体
195-02-09,protective conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-09,موصل وقائىموصل حماية,ochranný vodič,"Schutzleiter, m",protective conductor,"conductor de protección, m","conducteur de protection, m",保護導体,보호 도체,хамгаалалтын дамжуулагчPE,"beschermingsgeleider, m",beskyttelsesleder,"przewód ochronny, m",condutor de proteção,skyddsledare,保护导体
195-02-10,protective bonding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-10,موصل رباط وقائىموصل رباط وحماية,vodič ochraného pospojování,"Schutzpotentialausgleichsleiter, m",protective bonding conductor,"conductor de conexión de protección, m","conducteur de liaison de protection, mconducteur d’équipotentialité, m",保護ボンディング導体,보호 본딩 도체,хамгаалалтын эквипотенциал дамжуулагч,"beschermingsequipotentiaalgeleider, mbeschermingspotentiaalvereffeningsgeleider, m",utjevningsleder for beskyttelsesformål,"przewód ochronny wyrównawczy, m","condutor de ligação de proteçãocondutor de equipotencialidade, <de proteção>",skyddsutjämningsledare,保护联结导体
195-02-11,protective earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-11,موصل أرضى وقائىموصل أرضى و حماية,vodič ochranného uzemněnívodič PE,"Schutzerdungsleiter, m","protective earthing conductorPE conductorprotective grounding conductor, US","conductor de puesta a tierra de protección, m","conducteur de mise à la terre de protection, m",PE導体,PE 도체보호 접지 도체,хамгаалах газардуулгын дамжуулагч,"beschermingsaardgeleider, m",beskyttelsesjordleder (PE-leder),"przewód PE, m",condutor de ligação à terra de proteçãocondutor PE,skyddsjordsledare,保护接地导体PE导体
195-02-12,PEN conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-12,موصل تعادل مؤرض وقائىموصل تعادل مؤرض وحماية,vodič PEN,"PEN-Leiter, m",PEN conductor,"conductor PEN, m","conducteur PEN, m",PEN導体,PEN 도체,PEN дамжуулагч,"PEN-geleider, m",PEN-leder,"przewód PEN, m",condutor PEN,PEN-ledare,保护接地中性导体PEN导体
195-02-13,PEM conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-13,موصل تأريض نقطة وسط وقائىموصل تأريض نقطة الوسط وحماية,vodič PEM,"PEM-Leiter, m",PEM conductor,"conductor PEM, m","conducteur PEM, m",PEM導体,PEM 도체,PEM дамжуулагч,"PEM-geleider, m",PEM-leder,"przewód PEM, m",condutor PEM,PEM-ledare,保护接地中间导体PEM导体
195-02-14,PEL conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-14,موصل خط تأريض وقائىموصل خط تأريض و حماية,vodič PEL,"PEL-Leiter, m",PEL conductor,"conductor PEL, m","conducteur PEL, m",PEL導体,PEL 도체,PEL дамжуулагч,"PEL-geleider, m",PEL-leder,"przewód PEL, m",condutor PEL,PEL-ledare,保护接地线导体PEL导体
195-02-15,functional earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-15,موصل تأريض وظيفى,vodič pracovního uzemnění,"Funktionserdungsleiter, m","functional earthing conductorfunctional grounding conductor, US","conductor de puesta a tierra funcional, m","conducteur de mise à la terre fonctionnelle, m",機能接地用導体,기능 접지 도체,тусгай зориулалтын газардуулгын дамжуулагч,"functionele aardgeleider, m",funksjonsjordleder,"przewód uziemiający funkcjonalny, m",condutor de ligação à terra funcional,funktionsjordsledare,功能接地导体
195-02-16,functional bonding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-16,موصل رباط وظيفى,vodič pracovního pospojování,"Funktionspotentialausgleichsleiter, m",functional bonding conductor,"conductor de conexión funcional, m","conducteur de liaison fonctionnelle, m",機能的等電位ボンディング用導体,기능 본딩 도체,тусгай зориулалтын холболтын дамжуулагч,"functionele equipotentiaalgeleider, mfunctionele potentiaalvereffeningsgeleider, m",utjevningsleder for funksjonsformål,"przewód wyrównawczy funkcjonalny, m",condutor de ligação funcionalcondutor de equipotencialidade funcional,funktionsutjämningsledare,功能联结导体
195-02-17,protective and functional earthing conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-17,موصل تأريض حماية و وظيفى,vodič ochranného a pracovního uzemnění,"Schutzerdungs- und Funktionserdungsleiter, m","protective and functional earthing conductorprotective and functional grounding conductor, US","conductor de puesta a tierra de protección y funcional, m","conducteur de mise à la terre de protection et de mise à la terre fonctionnelle, m",保護及び機能接地兼用導体,보호 및 기능 접지 도체,хамгаалах газардуулга болон тусгай зориулалтын газардуулгын дамжуулагч,"beschermings- en functionele aardgeleider, m",jordleder for beskyttelses- og funksjonsformål,"przewód ochronny i funkcjonalny, m",condutor de ligação à terra de proteção e à terra funcional,skydds- och funktionsjordsledare,保护接地兼功能接地导体
195-02-18,protective and functional bonding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-18,موصل وقائى و رباط وظيفىموصل حماية و رباط وظيفى,vodič ochranného a pracovního pospojování,"Schutzpotential- und Funktionspotentialausgleichsleiter, m",protective and functional bonding conductor,"conductor de conexión de protección y funcional, m","conducteur de liaison de protection et de liaison fonctionnelle, m",保護及び機能的等電位ボンディング兼用導体,보호 및 기능 본딩 도체,хамгаалах газардуулга болон тусгай зориулалтын холболтын дамжуулагч,"beschermingsaard- en functionele equipotentiaalgeleider, mbeschermingsaard- en functionele potentiaalvereffeningsgeleider, m",utjevningsleder for beskyttelses- og funksjonsformål,"przewód uziemiający ochronny i wyrównawczy, m",condutor de ligação à terra de proteção e de ligação funcional,skydds- och funktionsutjämningsledare,保护接地兼功能联结导体
195-02-19,"live part, <in electrical installations and equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-19,جزء مكهربجزء حى,"živá část, <v elektrických instalacích a zařízeních>","aktives Teil, <in elektrischen Anlagen und Betriebsmitteln> n","live part, <in electrical installations and equipment>","parte activa, f","partie active, <installations et matériels électriques> fpartie sous tension, <installations et matériels électriques> f",充電部,활선부충전부,хүчдэлтэй хэсэг,"actief deel, n","spenningsførende del, <i elektriske installasjoner og utstyr>","część czynna, f","parte ativa, <em instalações e equipamentos elétricos>",spänningssatt del,带电部分
195-02-20,earthing arrangement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-20,ترتيب التأريض,uzemňovací soustava,"Erdungsanlage, f","earthing arrangementgrounding arrangement, US","instalación de puesta a tierra, f","installation de mise à la terre, f",接地設備,접지 배열,газардуулах байгууламж,"aardingsinstallatie, f",jordingssystem,"układ uziemiający, m",instalação de ligação à terra,jordningssystem,接地配置接地系统
195-02-21,earth-electrode network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-21,شبكة أقطاب أرضيةشبكة إلكترودات أرضية,soustava zemničů,"Erdernetz, n","earth-electrode networkground-electrode network, US","red de tomas de tierra, f","réseau de prises de terre, m",接地極網接地極ネットワーク,접지 전극망,газардуулгын хүрээ,"aardverbinding, f",jordelektrodesystem,"sieć uziomów, f",rede de elétrodos de terra,sammanhängande jordelektrodsnät,接地网
195-02-22,equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-22,نظام رباط متساوى الجهد,soustava pospojovánísoustava na vyrovnání potenciálůEBS,"Potentialausgleichsanlage, f",equipotential bonding systemEBS,"red equipotencial, f","réseau équipotentiel, m",等電位ボンディングシステムEBS,등전위 본딩 계통EBS,эквипотенциал холболтын системEBS,"equipotentiaalverbindingssysteem, npotentiaalvereffeningssysteem, n",ekvipotensialiseringssystem (EBS),"układ połączeń wyrównawczych, m",rede equipotencial,potentialutjämningssystem,等电位联结系统EBS
195-02-23,protective equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-23,نظام رباط وقائى متساوى الجهدنظام رباط حماية متساوى الجهد,soustava ochranného pospojovánísoustava na ochranné vyrovnání potenciálůPEBS,"Schutzpotentialausgleichsanlage, f",protective equipotential bonding systemPEBS,"red equipotencial de protección, f","réseau équipotentiel de protection, m",保護用等電位ボンディングシステムPEBS,보호 등전위 본딩 계통PEBS,хамгаалалтын эквипотенциал холболтын системPEBS,"beschermingsequipotentiaalverbindingssysteem, nbeschermingspotentiaalvereffeningssysteem, n",ekvipotensialiseringssystem for beskyttelsesformål (PEBS),"układ ochronnych połączeń wyrównawczych, m",rede equipotencial de proteção,skyddsutjämningssystem,保护等电位联结系统PEBS
195-02-24,functional equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-24,نظام رباط وظيفى متساوى الجهد,soustava pracovního pospojovánísoustava pracovního vyrovnání potenciálůFEBS,"Funktionspotentialausgleichsanlage, f",functional equipotential bonding systemFEBS,"red equipotencial funcional, f","réseau équipotentiel fonctionnel, m",機能的等電位ボンディングシステムFEBS,기능 등전위 본딩 계통FEBS,тусгай зориулалтын эквипотенциал холболтын системFEBS,"functioneel equipotentiaalverbindingssysteem, nfunctioneel potentiaalvereffeningssysteem, n",ekvipotensialiseringssystem for funksjonsformål (FEBS),"układ funkcjonalnych połączeń wyrównawczych, m",rede equipotencial funcional,funktionsutjämningssystem,功能等电位联结系统FEBS
195-02-25,common equipotential bonding system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-25,نظام رباط مشترك متساوى الجهد,společná soustava pospojováníspolečná soustava na vyrovnání potenciálůCBN,"kombinierte Potentialausgleichsanlage, f",common equipotential bonding systemcommon bonding networkCBN,"red común de conexión equipotencial, f","réseau commun de liaison équipotentielle, m",共用等電位ボンディングシステムCBN,공용 등전위 본딩 계통CBN,ерөнхий эквипотенциал холболтын системCBN,"gemeenschappelijk equipotentiaalverbindingssysteem, ngemeenschappelijk potentiaalvereffeningssysteem, n",felles ekvipotensialiseringssystem (CBN),"układ wspólnych połączeń wyrównawczych, m",rede comum de ligação equipotencial,gemensamt potentialutjämningssystem,共用等电位联结系统共用联结网CBN
195-02-26,overhead earth wire,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-26,سلك أرضى فى خطوط النقل الهوائية,zemnicí lano,"Erdseil, n","overhead earth wireoverhead ground wire, US","cable de tierra aéreo, m","câble de garde, m",架空地線,가공 지선,ЦДАШ-ын газардуулгын утас,"waakdraad, mwaakgeleider, m",toppjordline,"przewód odgromowy, m",cabo de guarda,topplina,架空地线
195-02-27,electric counterpoise system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-27,نظام توازن كهربىنظام تعادل كهربى,elektrická soustava zemnicího vodičesoustava zemnicího vodiče,"Bodenseil, n",electric counterpoise systemcounterpoise system,"contrapeso eléctrico, m","contrepoids électrique, m",埋設地線システム,전기 매설지선 계통,цахилгааны жигдрүүлэх систем,"(elektrisch) tegengewichtsysteem, n","markleder, jordleder","elektryczny układ wyrównawczy, m",contrapeso elétrico,följeledarsystem,电气埋地导体系统
195-02-28,underground cable-route earth electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-28,قطب أرضى لمسار كابل أرضىالكترود أرضى لمسار كابل أرضى,zemnič v trase kabelu,"Kabellängserder, m","underground cable-route earth electrodeunderground cable-route ground electrode, US","toma de tierra enterrada asociada a un cable, f","prise de terre enterrée associée à un câble, f",地中線用接地極,지중선로 접지 전극,хөрсөн доорх кабелийн шуудууны газардуулгын электрод,"aardelektrode langs ondergronds kabeltraject, n",følgejordleder,"uziom podziemnej trasy kablowej, m",elétrodo de terra associado a um cabo subterrâneo,följeledare,地下电缆线路接地极
195-02-29,parallel-earthing-conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-29,موصل تأريض على التوازى,paralelně uložený zemnicí vodič,"Parallelerdungsleiter, m","parallel-earthing-conductorparallel-grounding-conductor, US","conductor de tierra en paralelo, m","conducteur de terre en parallèle, m",並行接地導体,병렬 접지 도체,газардуулгын зэрэгцээ дамжуулагч,"parallelle beschermingsgeleider, m",parallelljordleder,"przewód uziemiający równoległy, m",condutor de terra paralelo,parallelljordad följeledare,平行接地导体
195-02-30,earth-return path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-30,مسار رجوع تيارالارضي,zpětná vodivá cesta zemí,"Erdrückleitung, f","earth-return pathground-return path, US","retorno por tierra, m","retour par la terre, m",接地帰路,접지 귀환 경로,буцах газардуулгын хэлхээ,"aarde-retourpad, n",(retur) strømbane i jord,"droga powrotna w ziemi, f",retorno pela terra,markåterledning,地回路径
195-02-31,earthing terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-31,طرف تأريض,uzemňovací svorka,"Erdungsklemme, f","earthing terminalgrounding terminal, US","borne de tierra, m","borne de terre, f",接地端子,접지 단자,газардуулгын гаргалга,"aardingsklem, f",jordingsskinne (jordingsklemme),"zacisk uziemiający, m",terminal de ligação à terra,jordningsklämma,接地端子
195-02-32,equipotential bonding terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-32,طرف رباط متساوى الجهد,svorka na pospojování,"Potentialausgleichsklemme, fPotentialausgleichsanschlusspunkt, m",equipotential bonding terminal,"borne de equipotencialidad, m","borne d’équipotentialité, f",等電位ボンディング端子,등전위 본딩 단자,эквипотенциал холболтын гаргалга,"equipotentiaalverbindingsklem, fpotentiaalvereffeningsklem, f",utjevningsforbindelsesklemme,"zacisk połączenia wyrównawczego, m",terminal de equipotencialidadeligador de massa,potentialutjämningsklämma,等电位联结端子
195-02-33,main earthing terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-33,طرف تأريض رئيسى,hlavní uzemňovací svorkahlavní uzemňovací přípojnice,"Haupterdungsklemme, fHaupterdungsschiene, f","main earthing terminalmain earthing busbarmain grounding terminal, USmain grounding busbar, US","borne principal de tierra, m","borne principale de terre, f",主接地端子主接地ブスバー,주 접지 단자,үндсэн газардуулгын гаргалга үндсэн газардуулгын шин,"hoofdaardingsklem, f",hovedjordskinne (hovedjordklemme),"zacisk uziemiający główny, m",terminal principal de terra,huvudjordningsskenajordbock,总接地端子总接地母线
195-02-34,earthing switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-34,مفتاح أرضىمفتاح تأريض,uzemňovač,"Erdungsschalter, m","earthing switchgrounding switch, US","conector de tierra, m","connecteur de terre, mDÉCONSEILLÉ: sectionneur de terre, m",接地スイッチ,접지 스위치,газардуулгын салгуур,"aardingsschakelaar, m",jordingsbryter,"łącznik uziemiający, m",conector de terra,jordningskopplare,接地开关
195-02-35,enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-35,حاوية,kryt,"Umhüllung, f",enclosure,"envolvente, m","enveloppe, f",エンクロージャ,밀폐함외함,бүрээсгэр,"omhulsel, n",kapsling,"obudowa, f",invólucro,kapsling,外壳
195-02-37,screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-02-37,شبكة,stínicí krytstínění,"Schirm, m","screenshield, US","pantalla, f","écran, m",遮へい体,차폐기,экран,"scherm, n",skjerm,"ekran, m",ecrã,skärm,屏蔽体
