term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
701-02-11,transmission path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-11,مسار إرسالِ,"Übertragungsweg, m",transmission path,trayecto de transmisión,liikennetie,"trajet de transmission, m",percorso di trasmissione,伝送路,전송경로,droga przesyłowa,trajecto de transmissão,"преносни пут, м јд",transmissionsväg,传输通道
701-02-12,radio wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-12,موجة لاسلكيةموجات الراديو,"Funkwelle, f",radio wave,ondas hertzianasondas radioeléctricas,radioaalto,"onde radioélectrique, fonde hertzienne, f",onda radio,電波,전파라디오파,fala radiowa,onda radioeléctricaonda hertziana,"радио-талас, м јд",radiovåg,无线电波
701-02-13,"radio, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-02-13,لاسلكيراديو,"Funk…, in Zusammensetzungen","radio, adj",radio,radio-,"radio-, adj radioélectrique, adj",radio,無線（の）,라디오무선,radiowy,radioradioeléctrico,"радио, м јд",radio,无线电的
701-03-01,connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-01,وصل ، ربط,"Verbindung, f",connection,cadena de conexión,yhteys,"chaîne de connexion, f",collegamento,接続,접속연결,zestaw łączy,cadeia de conexão,"конекција, ж јд",förbindelse,连接
701-03-02,complete connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-02,ربط متكامل,"vollständige Verbindung, f",complete connection,(camino de) comunicacióncadena de conexión completa,täydellinen yhteys,"chaîne de connexion complète, fchemin de communication, mcommunication, <chaîne de connexion> f",collegamento completo,完全接続,완전 접속,"połączenie między terminalami, <użytkowników> nzestaw łączy zupełny, m",cadeia de conexão completa,"комплетнa конекција, ж јд",upprättad förbindelse,全连接
701-03-03,switching (in telecommunication),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-03,فصل ووصل ( فى الاتصال عن بعد ),"Vermittlung, <in der Telekommunikation> f",switching (in telecommunication),conmutación (en telecomunicaciones),välitys,"commutation, <en télécommunication> f",commutazione,スイッチング交換,"스위칭, <전기통신>교환, <전기통신>",komutacja,comutação (em telecomunicação),"преспајање, <у телекомуникацијама> с јд",uppkoppling,"交换, <电信中>"
701-03-04,call attempt,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-04,محاولة الاتصال,"Anrufversuch, m",call attempt,(tentativa de) llamada (por usuario),puheluyritys,"tentative d'appel, fappel, m",chiamata (tentativo di…),呼の試行,호 시도,"próba nawiązania połączenia, f","tentativa de chamada, <por um utilizador>tentativa de ligação, <por um utilizador>","покушај позива, <од стране корисника> м јд",anropsförsök,试呼
701-03-05,call,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-05,اتصالِمكالمة,"Anruf, m",call,comunicación (sentido 2),puhelu,"communication, <appel> f",comunicazione,呼,호,"wywołanie kompletnego połącze-nia, n",chamadacomunicação,"позив, м јд",anrop,呼叫
701-03-06,"conversation, <in telecommunication>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-06,محادثة (في الاتصال عن بعد),"Gespräch, <in der Telekommunikation> n","conversation, <in telecommunication>",conversación (en telecomunicación),puhelinkeskustelu,"conversation, <en télécommunication> f",conversazione,"会話, ＜電気通信＞","대화, <전기통신>통화, <전기통신>","rozmowa, <za pośrednictwem telekomunikacji> f","conversação, <em telecomunicação>","конверзација, <у телекомуникацијама> ж јд",samtal,"会话, <电信中>"
701-03-07,code,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-07,شفرهالرمز,"Code, m",code,código,koodi,"code, m",codice,符号,부호,kod,código,"кôд, м јд",kod,代码
701-03-08,modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-08,تكييفتعديل,"Modulation, f",modulation,modulación,modulointi,"modulation, f",modulazione,変調,변조,"modulacja, f",modulação,"модулација, ж јд",modulering,调制
701-03-09,multiplexing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-09,مضاعفة الإرسال,"Multiplex, n",multiplexing,multiplajemultiplexado,multipleksointikanavointi,"multiplexage, m",multiplazione,多重化,다중화,"multipleksacja, fzwielokrotnienie, n",multiplexagem,"мултиплексирање, с јд",multiplexering,复用
701-03-10,demultiplexing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-10,نقض مضاعفة الارسال,"Demultiplex, n",demultiplexing,desmultiplajedesmultiplexado,kanavoinnin purkaminendemultipleksointi,"démultiplexage, m",demimultiplazione,逆多重化,역다중화,"demultipleksacja, fodkrotnienie, n",desmultiplexagem,"демултиплексирање, с јд",demultiplexering,解复用
701-03-11,multiple access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-11,متعدد المنافذ,"Vielfachzugriff, m",multiple access,acceso múltiple,moniliittymä,"accès multiple, m",ingresso multiplo,多重アクセス,다원 접속,"wielodostęp, mdostęp wielokrotny, m",acesso múltiplo,"вишеструки приступ, м јд",multipelåtkomst,多终端接入
701-03-12,space division,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-12,تقسيم مجالى,"Raumvielfach, n",space division,división por espacio,tilajako,"répartition spatiale, f",divisione di spazio,空間分割,공간 분할,"podział przestrzenny, m",divisão espacial,"просторна расподела, ж јд",rumsdelning,空分
701-03-13,time division,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-13,تقسيم زمنى,"Zeitvielfach, n",time division,división por tiempo,aikajako,"répartition temporelle, f",divisione di tempo,時分割,시분할,podział czasowy,divisão temporal,"временска расподела, ж јд",tidsdelning,时分
701-03-14,frequency division,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-14,تقسيم ترددي,"Frequenzvielfach, n",frequency division,división por frecuencia,taajuusjako,"répartition en fréquence, frépartition fréquentielle, f",divisione di frequenza,周波数分割,주파수 분할,podział częstotliwościowy,divisão em frequência,"фреквенцијска расподела, ж јд",frekvensdelning,频分
701-03-15,code division,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-15,تقسيم شفرة,"Codevielfach, n",code division,división por código,koodijako,"répartition en code, f",divisione a codice,符号分割,부호 분할,podział kodowy,divisão em código,"кодна расподела, ж јд",koddelning,码分
701-03-16,"simplex, adj and noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-16,أحادى الأتجاهنظام معلومات أحادى الاتجاه,"Simplex…, <in Zusammensetzungen>simplex, Adjektiv","simplex, adj and nounDEPRECATED: half-duplex, adj and noun",semidúplexsímplex,simpleksivuorosuuntainen,"simplex, adj et nom mà l'alternat, adjDÉCONSEILLÉ: semi-duplex, adj et nom m",semplice (o simplex),"単信, 形容詞及び名詞単信方式片信片方向","단일, 형용사, 명사","układ jednokierunkowy, msimpleks, m","simplex, adj. e s.","симплекс, м јдНАПУШТЕН: полудуплекс, м јд",simplex,"单工, <相关条目：IEV 701-03-162>"
701-03-17,"duplex, adj and noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-17,مزدوج الاتجاهنظام معلومات مزدوج الاتجاه,"Duplex…, <in Zusammensetzungen>duplex, Adjektiv","duplex, adj and nounDEPRECATED: full duplex, adj and noun",dúplex,dupleksikaksisuuntainen,"duplex, adj et nom mbilatéral simultané, adj et nom m",duplex,"複信, 形容詞及び名詞複信方式二重二重方式の","이중, 형용사, 명사","transmisja dwukierunkowa, fukład dupleksowy, mdupleks, m","duplex, adj. e s.","дуплекс, м јдпуни дуплекс, м јд",duplex,"双工, <相关条目：IEV 701-03-172>"
701-03-18,"unidirectional, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-18,احادى الاتجاهوحيد الاتجاه,"einfachgerichtet, Adjektivunidirektional, Adjektiv","unidirectional, adj",unidireccionalunilateral,yksisuuntainen,"unilatéral, adjunidirectionnel, adjDÉCONSEILLÉ: simplex, adj",unidirezionale,単方向の,단방향의,"jednokierunkowy, adj",unidirecionalDESACONSELHADO: simplex,"једносмерни, м јд",enkelriktad,单向的传输
701-03-19,"bidirectional, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-19,ثنائى الاتجاه,"doppeltgerichtet, Adjektivbidirektional, Adjektiv","bidirectional, adj",bidireccionalbilateral,kaksisuuntainen,"bilatéral, adjbidirectionnel, adjDÉCONSEILLÉ: duplex, adj",bidirezionale,双方向の,양방향의쌍방향의,"obukierunkowy, <równoczesny przepływ informacji> adj",bidirecional,"двосмерни, м јд",dubbelriktad,双向的传输
701-03-20,"one-way, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-20,أحادي المسار,"einseitig gerichtet, adjektivisch","one-way, adj",de sentido único,yksisuuntainensuunnattu,"à sens unique, adjDÉCONSEILLÉ: spécialisé, adj","a un senso, a una via",一方向の,"일방향의, 형용사단방향의, 형용사","jednokierunkowy, adj",de sentido único,"једнострани, м јд",envägs-,单方的呼叫
701-03-21,"both-way, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-21,مسارين؛ مزدوج المسار,"beidseitig gerichtet, adjektivisch","both-way, adjtwo-way, adj",de doble sentido,kaksisuuntainen,"à double sens, adjDÉCONSEILLÉ: mixte, adj","a due sensi, a due vie",両方向の,"양방향의, 형용사","obustronny, <dotyczy nawiązania telekomunikacji> adj",nos dois sentidosde sentido duplo,"обострани, м јддвострани, м јд",tvåvägs-,双方的呼叫
701-03-161,"simplex, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-161,أحادى الاتجاه,"simplex, Adjektiv","simplex, adjDEPRECATED: half-duplex, adj",,,"simplex, adjà l'alternat, adjDÉCONSEILLÉ: semi-duplex, adj",,"単信の, 形容詞単信方式の片信の片方向の","단일, 형용사","pojedynczy, adjsimpleks, m","simplex, adj.",,,单工的
701-03-162,"simplex, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=701-03-162,نظام معلومات أحادى الاتجاه,"Simplex…, <in Zusammensetzungen>","simplex, nounDEPRECATED: half-duplex, noun",,,"simplex, mDÉCONSEILLÉ: semi-duplex, m",,"単信, 名詞単信方式片信片方向","단일, 명사","układ jednokierunkowy, msimpleks, m","simplex, s.",,,"单工, <相关条目：IEV 701-03-16>"
