term_id,term,term_url,cs,de,en,fi,fr,ja,ko,pl,pt,zh
581-21-19,working voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-19,provozní napětí,"Arbeitsspannung, f",working voltage,käyttöjännite,"tension de service, f",動作電圧,작동 전압운전 전압,napięcie robocze,tensão de trabalho,工作电压
581-21-20,withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-20,výdržné napětí,"Stehspannung, f",withstand voltage,kestojänniteeristyskestojännite,"tension de tenue, f",耐電圧,내전압,napięcie wytrzymywane,tensão de sustentação,耐电压耐受电压
581-21-21,r.m.s. withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-21,efektivní hodnota výdržného napětí,"Effektivwert der Stehspannung, m",r.m.s. withstand voltage,kestojännitteen tehollisarvoeristyskestojännitteen tehollisarvo,"tension de tenue efficace, f",実効値耐電圧,실효 내전압,wartość skuteczna napięcia wytrzymywanego,tensão de sustentação eficaz,耐电压有效值耐受电压有效值
581-21-22,"live, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-22,živá,"aktiv, Adjektiv","live, adj",jännitteinen,"actif, adj","活線, 形容詞","활선, 형용사",czynny,"activo, adj",带电的
581-21-23,creepage distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-23,povrchová cesta,"Kriechstrecke, f",creepage distance,pintaväli,"ligne de fuite, f",沿面距離,표면 누설 거리,droga upływu,distância de rastejamentolinha de fuga,爬电距离
581-21-24,basic insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-24,základní izolace,"Basisisolierung, f",basic insulation,peruseristys,"isolation principale, f",基礎絶縁,기본 절연,izolacja podstawowa,isolação principal,基本绝缘
581-21-25,supplementary insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-25,přídavná izolace,"zusätzliche Isolierung, f",supplementary insulation,lisäeristys,"isolation supplémentaire, f",付加絶縁,보조 절연부가 절연,izolacja dodatkowa,isolação complementar,附加绝缘
581-21-26,double insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-26,dvojitá izolace,"doppelte Isolierung, f",double insulation,kaksoiseristys,"double isolation, f",二重絶縁,이중 절연,izolacja podwójna,isolação dupla,双重绝缘
581-21-27,reinforced insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-27,zesílená izolace,"verstärkte Isolierung, f",reinforced insulation,vahvistettu eristys,"isolation renforcée, f",強化絶縁,강화 절연,izolacja wzmocniona,isolação reforçada,加强绝缘
581-21-28,breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-28,vypínací schopnost,"Ausschaltvermögen, n",breaking capacity,katkaisukyky,"pouvoir de coupure, m",遮断容量,차단 용량,zdolność do przerywania obwodu,poder de corte,分断能力
581-22-01,electric contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-01,elektrický dotykelektrický kontakt,"elektrischer Kontakt, m",electric contact,sähköinen kosketus,"contact électrique, m",コンタクト,전기 접촉,zestyk,contacto eléctrico,电接触
581-22-02,bifurcated contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-02,dvojitý kontakt,"Doppelkontakt, m",bifurcated contact,kaksoiskosketin,"contact jumelé, m",すり割りコンタクト,분기 접촉,styk rozwidlonyzestyk podwójny rozwidlony,contacto bifurcado,双叉接触件
581-22-03,blade contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-03,nožový kontakt,"Messer-Kontakt, m",blade contact,veitsikosketin,"contact sabre, m",ブレードコンタクト,날 접점,styk nożowy,contacto de lâmina,刀形接触件
581-22-04,concentric contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-04,souosý kontakt,"konzentrischer Kontakt, m",concentric contact,konsentriset koskettimet,"contact concentrique, m",同心円コンタクト,동심접점,styk współosiowy,contacto concêntrico,同轴接触件
581-22-05,crimp contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-05,kontakt pro zamačkávání,"Crimpkontakt, m",crimp contact,puristuskosketin,"contact à sertir, m",圧着コンタクト,권축 접점,styk zaciskany,contacto de engastar,压接接触件
581-22-06,socket contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-06,dutinkový kontaktzdířka,"Kontaktbuchse, f",socket contactfemale contact,naaraskosketin,"contact femelle, m",ソケットコンタクトめすコンタクト,소켓 접점,styk gniazdowystyk żeński,contacto de tomadacontacto fêmea,插孔接触件阴接触件
581-22-07,filter contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-07,kontakt s filtrem,"Filter-Kontakt, m",filter contact,suodatinkosketin,"contact à filtre, m",フィルタコンタクト,필터 접점,styk z filtrem,contacto de filtro,滤波接触件
581-22-08,pin contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-08,kolíkový kontakt,"Kontaktstift, m",pin contactmale contact,uroskosketin,"contact mâle, mbroche, f",ピンコンタクトおすコンタクト,핀 접점,styk wtykowystyk męski,contacto de fichacontacto macho,插针接触件阳接触件
581-22-09,resilient contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-09,pružný kontakt,"federnder Kontakt, m",resilient contact,joustokosketin,"contacts élastiques, m pl",弾性コンタクト,탄력 접점,styk sprężysty,contacto elástico,弹性接触件
581-22-10,snap-on contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-10,kontakt se západkou,"Steckhülse mit Rastung, f",snap-on contact,lukkiutuva kosketin,"contact à enclenchement, m",スナップオン・コンタクト,스냅 온 접점,styk zatrzaskowy,contacto de engate,搭锁接触件
581-22-11,solder contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-11,pájený kontakt,"Löt-Kontakt, m",solder contact,juotoskosketin,"contact à souder, m",はんだ付コンタクト,납땜 접점,styk do połączenia lutowanego,contacto de soldar,锡焊接触件
581-22-12,tuning fork contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-12,ladičkový kontakt,"Gabel-Kontakt, m",tuning fork contact,haarukkakosketin,"contact lyre, m",音叉形コンタクト,소리굽쇠 접점,styk widlasty,contacto de lira,音叉接触件
581-22-13,contact area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-13,oblast kontaktu,"Kontaktfläche, f",contact area,kosketuspinta,"zone de contact, f",接触面積,접촉 영역,powierzchnia styczności,zona de contacto,接触面
581-22-14,contact float,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-14,plavání kontaktu,"Kontaktspiel, n",contact float,koskettimen liikkumavara,"flottement d’un contact, m",コンタクトフロート,접점면,luz styku,flutuação de contacto,接触件浮动
581-22-15,insulation barrier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-15,izolační bariéra,"Kriechstreckenverlängerung, f",insulation barrier,eristevalli,"barrière par contournement, f",インシュレーションバリア,절연 장벽,bariera izolacyjna,barreira por contornamento,绝缘隔障
581-22-16,insulation grip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-16,úchytka izolace,"Isolierungshalterung, f",insulation grip,eristeenpidinjohtimen eristeenpidin,"manchon isolant, m",インシュレーショングリップ,절연 손잡이,uchwyt izolacji,punho isolante,绝缘套管
581-22-17,insulation support,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-17,podpora izolace,"Isolierungsunterstützung, f",insulation support,eristetukijohtimen eristetuki,"support isolant, m",インシュレーションサポート,절연 지지대,podpora izolacji,suporte isolante,绝缘支撑
581-22-18,keyway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-18,vedení klíčevodicí drážka,"Schlüsselnut, f",keyway,ohjausura,"rainure d’ergot, frampe, f",キー溝,열쇠 홈,prowadnica klucza,ranhura de chave,键槽
581-22-19,mounting flange,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-19,montážní příruba,"Montage-Flansch, m",mounting flange,kiinnityslaippa,"collerette de montage, f",マウンティングフランジ,설치 플랜지,kołnierz montażowy,rebordo de montagem,安装法兰盘
581-22-20,guide block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-20,naváděcí blok,"Führungsblock, m",guide block,kohdistin,"bloc de guidage, m",ガイドブロック,장착 플랜지,prowadnik,bloco de guiamento,导向部分
581-22-21,beam (for insulation displacement connections),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-21,"rameno, <pro zařezávané spoje>","Flanke (für Schneidklemmverbindungen), f",beam (for insulation displacement connections),kiilakiila eristeen syrjäyttävissä liitoksissa,bras (pour connexions autodénudantes) m,"ビーム, <圧接接続の>","빔, <절연 강화 접속>보, <절연 강화 접속>",ramię (do połączeń zakleszczanych),braço (para conexões autodesnudantes),"臂, <绝缘位移连接用>"
581-22-22,strain relief slot,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-22-22,odlehčovací zářez,"Zugentlastungsschlitz, m",strain relief slot,vedonpoistin,"fente de support d'isolant, f",ストレインリリーフ・スロット,내장 안전 슬롯,szczelina mocowania przewodu,fenda de alívio do esforço,张力松弛槽
581-23-01,connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-01,spojspojení,"elektrische Verbindung, fVerbindung, f",connectionconnexion,liitosliitäntä,"connexion, f",接続,접속,połączenie,conexão,连接
581-23-02,crimped connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-02,zamačkávaný spojkrimpovaný spoj,"Pressverbindung, fCrimpverbindung, f",crimped connection,puristusliitos,"connexion sertie, f",圧着接続,권축 접속클림프 접속,połączenie zaciskane,conexão engastada,压接连接
581-23-03,pre-insulated connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-03,předizolovaný spoj,"vorisolierte Verbindung, f",pre-insulated connection,eristetty liitos,"connexion pré-isolée, f",絶縁被覆付接続,선절연 접속,połączenie wstępnie izolowane,conexão pré-isolada,预绝缘连接
581-23-04,soldered connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-04,pájený spoj,"Lötverbindung, f",soldered connection,juotosliitos,"connexion soudée, f",はんだ付接続,납땜 접속,połączenie lutowane,conexão soldada,锡焊连接
581-23-05,solderless connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-05,nepájený spoj,"lötfreie Verbindung, f",solderless connection,mekaaninen liitos,"connexion sans soudure, f",無はんだ接続,무납땜 접속,połączenie nielutowane,conexão sem soldadura,无焊连接
581-23-06,welded connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-06,svařovaný spoj,"Schweißverbindung, f",welded connection,hitsiliitos,"connexion par soudage, f",溶接接続,용융 접속,połączenie spawane,conexão soldada,熔焊连接
581-23-07,wrapped connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-07,ovíjený spoj,"Wickelverbindung, f",wrapped connection,kiertoliitos,"connexion enroulée, f",ラッピング接続,포장 접속,połączenie owijane,conexão enrolada,绕接连接
581-23-08,contact resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-08,přechodový odpor,"Kontaktwiderstand, m",contact resistance,kosketinresistanssi,"résistance de contact, f",接触抵抗,접촉 저항,rezystancja zestykurezystancja stykowa (termin niezalecany),resistência de contacto,接触电阻
581-23-09,virtual contact width,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-09,virtuální šířka kontaktu,"Kontaktfangbereich, m",virtual contact width,näennäinen kosketusleveys,"largeur virtuelle du contact, f",見かけの接触幅,규정 접점폭,szerokość styku rzeczywista,largura virtual de contacto,实际接触宽度
581-23-10,crimping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-10,zamačkáváníkrimpování,"Crimpen, n",crimping,liittäminen puristamalla,"sertissage, m",圧着,크림핑,zaciskanie,engaste,压接
581-23-11,electrical engagement length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-11,délka elektrického spojeníelektrická zasouvací délka,"Kontaktweg, m",electrical engagement length,kosketusmatka,"engagement de contact, mcourse des contacts, f",電気的接触長,전기 연결 길이,droga złączania,curso do contacto,电啮合长度
581-23-12,contact force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-12,kontaktní síla,"Kontaktkraft, f",contact force,kosketinvoima,"force de contact, f",接触力,접점 접촉력,siła zestyku,força de contacto,接触压力
581-23-13,contact extraction force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-13,síla pro vytažení kontaktu,"Kontakt-Ausziehkraft, f",contact extraction force,koskettimen irrotusvoima,"force d’extraction d’un contact, f",コンタクト引抜力,접점 추출력,siła wyciągania styku,força de extracção do contacto,接触件卸出力
581-23-14,hermetic seal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-14,hermetické těsnění,"hermetische Dichtung, f",hermetic seal,hermeettinen tiiviste,"joint hermétique, m",ハーメチックシール,기밀 봉착,uszczelnienie hermetyczne,vedante hermético,气密封
581-23-15,panel seal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-15,těsnění k panelutěsnění na montážním výřezu,"Dichtung am Montageausschnitt, f",panel seal,paneelitiiviste,"joint de panneau, m",パネルシール,판밀폐판봉함,uszczelnienie panelowe,vedante de painel,面板密封
581-23-16,sealing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-16,utěsněníhermetizace,"Abdichten, f",sealing,tiivistys,"étanchéité, f",シーリング,봉함,szczelność,vedação,密封
581-23-17,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-17,zakončenísvorkavývod,"Anschlusspunkt, mPol, mKlemme, f",terminal,liitosnapa,"terminal, mborne, f",ターミナル,단말터미널,zaciskkońcówka,terminal,接线端
581-23-18,terminal end,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-18,kabelová koncovkakoncovka vodiče,"Kabelschuh, m",terminal end,kaapelikenkä,"embout, m",ターミナルエンド,단말배관 종점,końcówka przewodowa,ponta terminal,端头
581-23-19,pre-insulated terminal end,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-19,předizolovaná kabelová koncovka,"vorisolierter Kabelschuh, m",pre-insulated terminal end,eristetty kaapelikenkä,"embout pré-isolé, m",絶縁被覆付ターミナルエンド,선절연 단자단,końcówka przewodowa wstępnie izolowana,ponta terminal pré-isolada,预绝缘端头
581-23-20,termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-20,zakončenípřipojení,"Anschluss, m",termination,liitoskohtaliitospiste,"raccordement, m",ターミネーション,종료종단,zakończenie,terminação,接端
581-23-21,termination point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-21,místo připojenípřipojovací bod,"Anschlusspunkt, m",termination point,kiinnityskohta,"point de raccordement, m",結線部,단말부,punkt przyłączenia,ponto de terminação,接端点
581-23-22,locking device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-22,zámek,"Verriegelungsvorrichtung, f",locking device,lukitsin,"système de blocage, m",ロック機構,잠금 장치쇄정 장치,mechanizm blokujący,dispositivo de bloqueio,锁紧装置
581-23-23,full cycle crimp mechanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-23,mechanismus pro úplný cyklus (zamačkávání),"Auslösesperre eines Crimpwerkzeugs, f",full cycle crimp mechanism,puristusjakson varmistin,"mécanisme contrôlant le cycle de sertissage total, m",フルサイクル圧着機構,전주기 권축 방법,mechanizm zapewniający całkowite zaciśniecie,mecanismo de engaste de ciclo completo,止退压接机构
581-23-24,orientation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-24,orientace (při zasunutí),"Orientierung (beim Stecken), f",orientation,koodaus,"orientation, fcodage, m",方向性,방향방위,orientacja,orientação,定位
581-23-25,(mating) polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-25,polarizace (při zasouvání),"Polarisation (beim Stecken), f",(mating) polarization,polarointiliittimen polarointi,"détrompage  (d’accouplement), m",かん合極性極性,결합 분극,polaryzacja połączenia,polarização (de acoplamento),插合定位性定位性
581-23-26,protective cover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-26,izolační zákryt,"isolierende Schutzvorrichtung, fKragen, m",protective covershroud,kosketussuojussuojus,"protecteur de contact, mcoquille, f",保護カバーシュラウド,방호 덮개,pokrywa ochronnaosłona,capa protectoraconcha,防护罩护罩
581-23-27,wrap post,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-27,ovíjecí kolík,"Wickelstift, m",wrap post,kiertoliitostappi,"borne pour connexion enroulée, f",ラップポスト,싸개 포스트,końcówka do owijania,terminal para conexão enrolada,绕接接线柱
581-23-28,conductor barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-28,dutinka pro připojení vodiče,"Anschlusshülse, f",conductor barrel,liitinholkki,"fût d’un conducteur, m",コンダクタバレル,도체 유지기도체 배럴,uchwyt tulejkowy,fuste de condutor,导线筒
581-23-29,panel cut-out,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-29,výřez v panelu,"Montage-Ausschnitt, m",panel cut-out,asennusreikä,"perçage du panneau, m",パネルカットアウト,판 분리,otwór montażowy,furação de painel,面板开孔
581-23-30,press-in post,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-30,kolík pro zalisování,"Einpresspfosten, m",press-in post,ahtoliitintappi,"borne pour connexion insérée à force, f",プレスインポスト,압입 포스트,końcówka do wtłaczania,terminal para conexão de inserção forçada,压入柱
581-23-31,press-in termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-31,zakončení pro zalisování,"Einpressstift, m",press-in termination,ahtoliitin,"borne pour connexion insérée à force, f",プレスインターミネーション,압입 종단,zakończenie do wtłaczania,terminação de inserção forçada,压入式接端
581-23-32,solid press-in termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-32,plné zakončení pro zalisování,"massiver Einpressstift, m",solid press-in termination,jäykkä ahtoliitin,"borne massive pour connexion insérée à force, f",ソリッドプレスイン・ターミネーション,고체 압입 종단,zakończenie pełne do wtłaczania,terminação massiva de inserção forçada,刚性压入式接端
581-23-33,compliant press-in termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-33,poddajné zakončení pro zalisování,"elastischer Einpressstift, m",compliant press-in termination,myötäävä ahtoliitin,"borne élastique pour connexion insérée à force, f",コンプライアントプレスイン・ターミネーション,순응 압입 종단,zakończenie sprężyste do wtłaczania,terminação complacente de inserção forçada,柔性压入式接端
581-23-34,insulation piercing connection (of electronic equipment),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-34,"spoj s propíchnutím izolace, <elektronického zařízení>","Durchdringverbindung, f",insulation piercing connection (of electronic equipment),eristyksen lävistävä liitos,connexion à percement d’isolant (dans l’équipement électronique) f,"インシュレーションピアシング接続, <電子機器の>","절연 관통 접속, <전자 장비>",połączenie nakłuwane (w sprzęcie elektronicznym),conexão de perfuração da isolação (no equipamento electrónico),"绝缘刺破连接, <电子设备的>"
581-23-35,insulation displacement connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-35,zařezávaný spojIDC,"Schneidklemmverbindung, f",insulation displacement connectionIDC (abbreviation),eristyksen syrjäyttävä liitos,"connexion autodénudante, fIDC (abréviation) f","圧接接続ＩＤＣ, （略語）",절연 강화 접속,połączenie zakleszczaneIDC (akronim),conexão autodesnudanteIDC (abreviatura),绝缘位移连接IDC
581-23-36,modified wrapped connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-36,modifikovaný ovíjený spoj,"modifizierte Wickelverbindung, f",modified wrapped connection,kiertoliitos osittain kuorituin johtimin,"connexion enroulée renforcée, f",改良形ラッピング接続,수정 포장 접속,połączenie owijane modyfikowane,conexão enrolada modificada,改进型绕接连接
581-23-37,conventional wrapped connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-37,běžný ovíjený spoj,"konventionelle Wickelverbindung, f",conventional wrapped connection,kiertoliitos kuorituin johtimin,"connexion enroulée simple, f",従来形ラッピング接続,기존 포장 접속,połączenie owijane zwykłe,conexão enrolada convencional,通用型绕接连接
581-23-38,press-in connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-38,zalisovaný spojpress-in spoj,"Einpressverbindung, f",press-in connection,ahtoliitos,"connexion insérée à force, f",プレスイン接続,압입 접속,połączenie wtłaczane,conexão de inserção forçada,压入式连接
581-23-39,insulation displacement termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-23-39,samořezná svorkasvorka pro zařezávaný spoj,"Schneidklemme, f",insulation displacement termination,eristyksen syrjäyttävä kosketin,"contact pour connexion autodénudante, m",ＩＤターミネーション,절연 범위 마감,zakończenie do połączenia zakleszczanego,terminação de conexão autodesnudante,绝缘位移接端
