term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
725-11-29,line of the apsides,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-29,خط واصل بين نقطتي المدار الأدنى والأبعدعن مركز الجسم الأساسي,"Apsidenlinie, f",line of the apsides,línea de apoápsides,apsidiviiva,"ligne des apsides, f",linea degli apsidi,長軸線,"원근점선, <위성궤도>",linia apsyd,linha das ápsides,črta apsidapsidna črta,apsidlinje,拱点线
725-11-30,argument of periapsis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-30,الإزاحة الزاوية لنقة المدار االأدنى من مركز الجسم الأساسي,"Argument der Periapside, n",argument of periapsis,argumento de latitud del periastroelongación nodal del periastro,periapsisin argumentti,"élongation nodale du périastre, fargument de latitude du périastre, m",argomento del periapside,近点引き数,근점편각,argument peryapsydy,argumento de periápside,argument periapside,periapsidargument,近质心点幅角
725-11-31,apogee,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-31,الأوج -النقطة من مدار قمر تابع للأرض والأبعد عن مركز الأرض,"Apogäum, n",apogee,apogeo,apogeumi,"apogée, m",apogeo,遠地点,원지점,apogeum,apogeu,apogej,apogeum,远地点
725-11-32,perigee,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-32,الحضيض - النقطة من مدار قمر تابع للأرض والأدنى من مركز الأرض,"Perigäum, n",perigee,perigeo,perigeumi,"périgée, m",perigeo,近地点,근지점,perygeum,perigeu,perigej,perigeum,近地点
725-11-33,altitude of the apogee,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-33,ارتفاع النقطة الأبعد نسبة إلى السطح المرجعي,"Apogäumshöhe, f",altitude of the apogee,altitud del apogeo,apogeumin korkeus,"altitude de l'apogée, f",altitudine dell'apogeo,遠地点高度,원지점 고도,wysokość apogeum,altitude do apogeu,višina apogeja,apogeums höjd,远地点高度
725-11-34,altitude of the perigee,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-34,ارتفاع النقطة الأدنى نسبة إلى السطح المرجعي,"Perigäumshöhe, f",altitude of the perigee,altitud del perigeo,perigeumin korkeus,"altitude du périgée, f",altitudine del perigeo,近地点高度,근지점 고도,wysokość perygeum,altitude do perigeu,višina perigeja,perigeum höjd,近地点高度
725-11-35,period of revolution (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-35,فترة الدوران (لقمر صناعي),"Umlaufzeit, <eines Satelliten> f",period of revolution (of a satellite) orbital period  (of a satellite),período de revolución (de un satélite),kiertoaika,période de révolution (d'un satellite) f,periodo di rivoluzione (di un satellite)periodo orbitale (di un satellite),"公転周期, <衛星の>軌道周期, <衛星の>","공전 주기, <위성>궤도 주기, <위성>",okres orbitalny (satelity),período orbital (de um satélite)período de revolução (de um satélite),perioda kroženja (satelita)obhodni čas (satelita),banperiodomloppstid,"公转周期, <卫星的>轨道周期, <卫星的>"
725-11-36,anomalistic period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-36,فترة تتابع اشارة غير منتظمة,"anomalistische Umlaufzeit, f",anomalistic period,período anomalístico,anomalistinen jaksoanomalistinen kiertoaika,"période anomalistique, f",periodo anomalistico,近点周期,근점 주기,okres anomalny,período anomalístico,anomalistična perioda,anomalistisk period,近点周期
725-11-37,nodal period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-37,فترة عقدية,"Knotenumlaufzeit, f",nodal period,período nodal,solmujakso,"période nodale, f",periodo nodale,交点周期,노드 주기,okres międzywęzłowy,período nodal,perioda sečišča,nodperiod,交点周期
725-11-38,sidereal period of revolution (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-38,دور فلكي للقمر الصناعي,"siderische Umlaufzeit, <eines Satelliten> f",sidereal period of revolution (of a satellite),período de revolución sideral (de un satélite),tähtikiertoaikasideerinen kiertoaika,période de révolution sidérale (d'un satellite) f,periodo di rivoluzione siderale (di un satellite),"公転の恒星周期, <衛星の>","항성 공전 주기, <위성>",okres gwiezdny obiegu (satelity),período de revolução sideral (de um satélite),zvezdna (siderična) perioda kroženja (satelita),siderisk omloppstid,"公转的恒星周期, <卫星的>"
725-11-39,thruster (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-39,دافع (لمركبة فضاء),"Korrekturdüse, <eines Weltraumfahrzeugs> f",thruster (of a spacecraft),micropropulsor (de una nave espacial),suihkukorjainsäätöraketti,micropropulseur (d'un engin spatial) m,propulsore (di un veicolo spaziale),"スラスタ, <宇宙機の>","자세 제어 분사기, <우주선>",popychacz (pojazdu kosmicznego),micropropulsor (de um engenho espacial),korekturni pogon (vesoljskega plovila),styrraket,"推进器, <航天器的>"
725-11-40,roll axis (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-40,محور الدوران ( مركبة فضائية),"Rollachse, <eines Weltraumfahrzeugs> f",roll axis (of a spacecraft),eje de balanceo (de una nave espacial),keinumisakseli,axe de roulis (d'un engin spatial) m,asse di rollio (di un veicolo spaziale),"ロール軸, <宇宙機の>","롤 축, <우주선>",oś obrotu (pojazdu kosmicznego),eixo de gingagem (de um engenho espacial),vrtilna os (vesoljskega plovila),rollaxel,"滚动轴, <航天器的>"
725-11-41,roll (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-41,الدوران ( مركبة فضائية),"Rollbewegung, <eines Weltraumfahrzeugs> f",roll (of a spacecraft),balanceo (de una nave espacial),keinuminen,roulis (d'un engin spatial) m,rollio (di un veicolo spaziale),"ロール, <宇宙機の>","롤, <우주선>",obrót (pojazdu kosmicznego),gingagem (de um engenho espacial)balanço transversal (de um engenho espacial),vrtenje (vesoljskega plovila),roll,"滚动, <航天器的>"
725-11-42,roll (angle) (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-42,زاوية دوران (عربة فضائية),"Rollwinkel, <eines Weltraumfahrzeugs> m",roll (angle) (of a spacecraft),ángulo de balanceo (de una nave espacial),keinumiskulma,angle de roulis (d'un engin spatial) m,rollio (angolo di) (di un veicolo spaziale),"ロール角, <宇宙機の>","롤 각, <우주선>",kąt obrotu (pojazdu kosmicznego),ângulo de gingagem (de um engenho espacial),vrtilni kot (vesoljskega plovila),rollvinkel,"滚动角, <航天器的>"
725-11-43,roll rate (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-43,سرعة دوران (عربة فضائية),"Rollgeschwindigkeit, <eines Weltraumfahrzeugs> f",roll rate (of a spacecraft),velocidad de balanceo (de una nave espacial),keinumisnopeus,vitesse de roulis (d'un engin spatial) f,velocità di rollio (di un veicolo spaziale),"ロール速度, <宇宙機の>","롤 율, <우주선>롤 레이트",szybkość kątowa obrotu (pojazdu kosmicznego),velocidade de gingagem (de um engenho espacial),hitrost vrtenja (vesoljskega plovila),rollhastighet,"滚动速度, <航天器的>"
725-11-44,pitch axis (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-44,محور مرجعي مواز لمحور الارض القطبي ( لمركبة فضائية),"Nickachse, <eines Weltraumfahrzeugs> f",pitch axis (of a spacecraft),eje de cabeceo (de una nave espacial),nousuakseli,axe de tangage (d'un engin spatial) m,asse di beccheggio (di un veicolo spaziale),"ピッチ軸, <宇宙機の>","피치 축, <우주선>",oś kołysania wzdłużnego (pojazdu kosmicznego) ..,eixo de arfagem (de um engenho espacial),prečna os (vesoljskega plovila),tippaxel,"俯仰轴, <航天器的>"
725-11-45,pitch (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-45,درجة (لمركبة فضائية),"Nickbewegung, <eines Weltraumfahrzeugs> f",pitch (of a spacecraft),cabeceo (de una nave espacial),pituuskallistus,tangage (d'un engin spatial) m,beccheggio (di un veicolo spaziale),"ピッチ, <宇宙機の>","피치, <우주선>",kołysanie wzdłużne (pojazdu kosmicznego),balanço longitudinal (de um engenho espacial)arfagem (de um engenho espacial),prečenje (vesoljskega plovila),tipp,"俯仰, <航天器的>"
725-11-46,pitch (angle) (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-46,درجة (زاوية) ( لمركبة فضائية),"Nickwinkel, <eines Weltraumfahrzeugs> m",pitch (angle) (of a spacecraft),ángulo de cabeceo (de una nave espacial),nousukulma,angle de tangage (d'un engin spatial) m,beccheggio (angolo di) ( di un veicolo spaziale),"ピッチ角, <宇宙機の>","피치 각, <우주선>",kąt kołysania wzdłużnego (pojazdu kosmicznego).,ângulo de arfagem (de um engenho espacial),prečni kot (vesoljskega plovila),tippvinkel,"俯仰角度, <航天器的>"
725-11-47,pitch rate (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-47,نسبة درجة ( لمركبة فضائية),"Nickgeschwindigkeit, <eines Weltraumfahrzeugs> f",pitch rate (of a spacecraft),velocidad de cabeceo (de una nave espacial),pituuskallistusnopeus,vitesse de tangage (d'un engin spatial) f,velocità di beccheggio (di un veicolo spaziale),ピッチ速度 (of a spacecraft),"피치 비율, <우주선>",szybkość kątowa kołysania wzdłużnego (pojazdu kosmicznego),velocidade de arfagem (de um engenho espacial),prečna hitrost (vesoljskega plovila),tipphastighet,"俯仰速度, <航天器的>"
725-11-48,yaw axis (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-48,محور تعرج (لمركبة فضاء),"Gierachse, <eines Weltraumfahrzeugs> f",yaw axis (of a spacecraft),eje de desviación (de una nave espacial),vaappumisakseli,axe de lacet (d'un engin spatial) m,asse di imbardata (di un veicolo spaziale),"ヨー軸, <宇宙機の>","요축, <우주선>",oś zboczania (pojazdu kosmicznego),eixo de serpeagem (de um engenho espacial),sučna os(vesoljskega plovila)os sukanja (vesoljskega plovila),giraxel,"偏航轴, <航天器的>"
725-11-49,yaw (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-49,تعرج (لمركبة فضاء),"Gierbewegung, <eines Weltraumfahrzeugs> f",yaw (of a spacecraft),desviación (de una nave espacial),vaappuminen,lacet (d'un engin spatial) m,imbardata (di un veicolo spaziale),"ヨー, <宇宙機の>","요, <우주선>",zboczanie (pojazdu kosmicznego),serpeagem (de um engenho espacial),sukanje (vesoljskega plovila),gir,"偏航, <航天器的>"
725-11-50,yaw (angle) (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-50,تعرج (زاوية) (لمركبة فضاء),"Gierwinkel, <eines Weltraumfahrzeugs> m",yaw (angle) (of a spacecraft),ángulo de desviación (de una nave espacial),vaappumiskulma,angle de lacet (d'un engin spatial) m,imbardata (angolo di) (di un veicolo spaziale),"ヨー角, <宇宙機の>","요각, 우주선",kąt zboczania (pojazdu kosmicznego),ângulo de serpeagem (de um engenho espacial),sučni kot (vesoljskega plovila)kot sukanja (vesoljskega plovila),girvinkel,"偏航角度, <航天器的>"
725-11-51,yaw rate (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-51,معدل تعرج (لمركبة فضاء),"Giergeschwindigkeit, <eines Weltraumfahrzeugs> f",yaw rate (of a spacecraft),velocidad de desviación (de una nave espacial),vaappumisnopeus,vitesse de lacet (d'un engin spatial) f,velocità di imbardata (di un veicolo spaziale),"ヨー速度, <宇宙機の>","요 율, <우주선>요 레이트",szybkość kątowa zboczania (pojazdu kosmicznego),velocidade de serpeagem (de um engenho espacial),sučna hitrost (vesoljskega plovila)hitrost sukanja (vesoljskega plovila),girhastighet,"偏航速度, <航天器的>"
725-11-52,attitude sensor (of a spacecraft),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-52,حساس الإرتفاع  (للمركبة الفضائية),"Lagesensor, <eines Weltraumfahrzeugs> m",attitude sensor (of a spacecraft),sensor de posición (de una nave espacial),asentoilmaisin,capteur d'orientation (d'un engin spatial) mcapteur d'attitude  (d'un engin spatial) m,sensore di assetto (di un veicolo spaziale),"姿勢センサ, <宇宙機の>","자세 감지기, <우주선>",czujnik wysokości (pojazdu kosmicznego),sensor de atitude (de um engenho espacial),senzor položaja (vesoljskega plovila),attitydsensor,"姿态传感器, <航天器的>"
725-11-53,precession (of a rotating body),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-53,تقدم (لجسم دوّار),"Präzession, <eines rotierenden Körpers> f",precession (of a rotating body),precesión (de un cuerpo en rotación),huojunta,précession (d'un corps en rotation) f,precessione (di un corpo rotante),"歳差, <回転体の>","세차, <회전체>",precesja (ciała obracającego się),precessão (de um corpo em rotação),precesija (vrtečega se telesa),precession,"进动, <转动天体的>"
725-11-54,nutation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-54,ترنّح ، تمايل المحور,"Nutation, f",nutation,nutación,nutaatio,"nutation, f",nutazione,章動,장동,nutacja,nutação,nutacija,nutation,章动
725-11-55,nutation damper,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-55,مُخمّد ترنّح ، مخمد للتمايل,"Nutationsdämpfer, m",nutation damper,amortiguador de nutación,nutaatiovaimennin,"amortisseur de nutation, m",smorzatore di nutazione,章動ダンパ,장동 제동기,tłumik nutacji,amortecedor de nutação,blažilnik nutacije,nutationsdämpare,章动阻尼器
725-11-56,attitude stabilized satellite,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-56,قمر صناعي مستقر التوجية,"lagestabilisierter Satellit, m",attitude stabilized satellite,satélite de orientación controladasatélite de orientación estabilizada,asentovakavoitu satelliitti,"satellite à commande d'orientation, m",satellite ad orientamento controllato,姿勢安定化衛星,자세 안정 위성,satelita o stabilizowanej orientacji,satélite com comando de atitude,položajno stabilizirani satelit,attitydstabiliserad satellit,姿态稳定卫星
725-11-57,spin-stabilized satellite,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-57,دوران مستقر للقمر الصناعي ( حول أحد المحاور ),"spinstabilisierter Satellit, m",spin-stabilized satellite,satélite estabilizado por rotación,pyörähdysvakavoitu satelliitti,"satellite stabilisé par rotation, m",satellite stabilizzato per rotazione,スピン安定化衛星,회전 안정 위성,satelita o stabilizowanej orientacji ruchem wirowym,satélite estabilizado por rotação,rotacijsko (s spinom) stabilizirani satelit,spinnstabiliserad satellit,自旋稳定卫星
