term_id,term,term_url,ar,de,en,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
442-01-30,clean situation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-30,وضع نظيف,"sauberer Zustand, m",clean situation,puhtaat olot,"situation propre, f",situazione di pulizia,清浄状態,청정 상태,stan czysty,situação limpa,чистые условия,"чисто стање, с јд",rent tillstånd,洁净状态
442-01-31,normal situation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-31,وضع عادي,"normaler Zustand, m",normal situation,likaantumisen kannalta normaalit olot,"situation normale, f",situazione normale,通常状態,정상 상황,stan normalny,situação normal,нормальные условия,"уобичајено стање, с јд",normaltillstånd,正常状态
442-01-32,dirty situation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-32,وضع متسخ,"schmutziger Zustand, m",dirty situation,likaavat olot,"situation sale, f",situazione di inquinamento,汚染状態,오염 상황,stan brudny,situação suja,загрязненные условия,"нечисто стање, с јд",förorenat tillstånd,脏状态
442-01-33,interlock of a plug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-33,حاكم ترابط للقابس,"Verriegelung eines Steckers, f",interlock of a plug,pistotulpan lukituslaite,"dispositif de verrouillage d'une fiche, m",interblocco di una spina,インターロックプラグ,플러그 연동 장치,blokada wtyczki,dispositivo de encravamento de uma ficha,блокировка вилки,"блокада утикача, ж јд",stickproppsförregling,插头的联锁
442-01-34,type X attachment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-34,ملحقة ربط من النوع  X,"Anbringungsart X, fX-Befestigung, f",type X attachment,X-tyyppinen liitäntä,"fixation du type X, f",fissaggio di tipo X,Ｘ形取付け,X형 부착물,przyłączenie typu X,fixação de tipo X,присоединение типа Х,"причвршћење типа X, с јд",anslutningstyp X,X型连接
442-01-35,type Y attachment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-35,ملحقة ربط من النوع  Y,"Anbringungsart Y, fY-Befestigung, f",type Y attachment,Y-tyyppinen liitäntä,"fixation du type Y, f",fissaggio di tipo Y,Ｙ形取付け,Y형 부착물,przyłączenie typu Y,fixação de tipo Y,присоединение типа Y,"причвршћење типа Y, с јд",anslutningstyp Y,Y型连接
442-01-36,type Z attachment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-36,ملحقة ربط من النوع  Z,"Anbringungsart Z, fZ-Befestigung, f",type Z attachment,Z-tyyppinen liitäntä,"fixation du type Z, f",fissaggio di tipo Z,Z形取付け,Z형 부착물,przyłączenie typu Z,fixação de tipo Z,присоединение типа Z,"причвршћење типа Z, с јд",anslutningstyp Z,Z型连接
442-01-37,external conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-37,موصل خارجي,"äußerer Leiter, m",external conductor,ulkoinen johto,"conducteur externe, m",conduttore esterno,外部導体,외부 도체,przewód zewnętrzny,condutor externo,внешний проводник,"спољни проводник, м јд",yttre ledare,外连导线
442-01-38,integrated conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-38,موصل مدمج,"integrierter Leiter, mLeiter in baulicher Einheit, m",integrated conductor,asennustarvikkeen rakenteeseen kuuluva johdin,"conducteur intégré, m",conduttore integrato,組み付け導体,접점 도체,przewód zintegrowany,condutor integrado,объединенный проводник,"интегрисани проводник, м јд",integrerad ledare,内装导线
442-01-39,internal conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-39,موصل داخلي,"innerer Leiter, m",internal conductor,sisäinen johdin,"conducteur interne, m",conduttore interno,内部導体,내부 도체,przewód wewnętrzny,condutor interno,внутренний проводник,"унутрашњи проводник, м јд",inre ledare,内连导线
442-01-40,live part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-40,جزء مكهرب,"aktives Teil, n",live part,jännitteinen osa,"partie active, f",parte attiva,充電部品,활선부,część czynna,parte activa,токоведущая часть,"део под напоном, м јд",spänningsförande del,带电部件
442-01-41,tracking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-41,تكوين مسارات سطحية موصلة جزئياً,"Kriechwegbildung, f",tracking,pintavirta,"cheminement, m",corrente superficiale,トラッキング,트래킹,wyładowanie pełzająceprąd pełzający,rastejamento,трекинг,"стварање проводних стаза, с јд",krypspårsbildning,电痕化
442-01-42,proof tracking index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-42,مؤشر إختبار تكوين الأثر,"Prüfzahl der Kriechwegbildung, f",proof tracking indexPTI (abbreviation),pintavirrankestävyysindeksi,"indice de tenue au cheminement, mITC  (abréviation) m",indice di tenuta alle correnti superficiali,"保証トラッキング指数ＰＴＩ, （略語）",내트래킹 지수,wskaźnik odporności na prąd pełzającyPTI (akronim),rigidez ao rastejamento,индекс устойчивости к трекингу,"испитни индекс стварања проводних стаза, м јдPTI",krypströmsindex,耐电痕化指数
442-01-43,thermal cut-out,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-43,فصل حراري,"thermischer Auslöser, mTemperaturbegrenzer, m",thermal cut-out,lämpötilarajoitin,"déclencheur thermique, m",limitatore di temperatura,温度過昇防止装置,열 차단 장치,zabezpieczenie termiczne,dispositivo térmico de corte,термический плавкий предохранитель,"термички осигурач, м јд",termisk utlösare,热切断器
442-01-44,current cut-out,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-44,قطع تيار,"Überstromauslöser, mStrombegrenzer, m",current cut-out,virranrajoitin,"limiteur de courant, m",limitatore di corrente,過電流防止器具,전류 차단 장치,zabezpieczenie prądowe,limitador de corrente,токовый расцепитель,"струјни осигурач, м јд",strömkännande utlösare,电流切断器
442-01-45,trip-free mechanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-45,آلية حرة الإعتاق,"Freiauslösung, f",trip-free mechanism,vapaalaukaisumekanismi,"mécanisme à déclenchement libre, m",meccanismo a sgancio libero,トリップフリー装置,트립 자유 구조,sprzęgło swobodne,mecanismo de disparo livre,механизм свободного расцепления,"механизам са слободним окидањем, м јд",friutlösningsmekanism,自由脱扣机构
442-01-46,switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-46,اداة فصل ووصل,"Schaltgerät, n",switching device,kytkinlaite,"dispositif de coupure, m",apparecchio di manovra,スイッチング器具,개폐 장치,łącznik (elektryczny),dispositivo de corte,коммутационное устройство,"расклопни апарат, м јд",elkopplare,开关器件
442-01-47,prospective current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-47,تيار متوقع,"unbeeinflusster Strom, m",prospective current,prospektiivinen virta,"courant présumé, m",corrente presunta,予測電流,규약 전류,prąd spodziewany,corrente presumida,ожидаемый ток,"очекивана струја, ж јд",förväntad kretsström,预期电流
442-01-48,making capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-48,استطاعة توصيلسعة توصيل,"Einschaltvermögen, n",making capacity,sulkemiskyky,"pouvoir de fermeture, m",potere di chiusura,突入容量,투입 용량,prąd załączalnyzdolność załączania,poder de fecho,включающая способность,"моћ укључења, ж јд",slutförmåga,接通能力
442-01-49,breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-49,سعة قطع,"Ausschaltvermögen, n",breaking capacity,katkaisukyky,"pouvoir de coupure, m",potere di interruzione,遮断容量,차단 용량,prąd wyłączalnyzdolność wyłączania,poder de corte,отключающая способность,"моћ прекидања, ж јд",brytförmåga,分断能力
442-01-50,operating cycle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-50,دورة تشغيل,"Schaltspiel, nArbeitsspiel, n",operating cycle,toimintajakso,"cycle de manoeuvres, m",ciclo di operazioni,作動サイクル,운전 사이클,cykl przestawieniowy,ciclo de manobras,цикл оперирования,"радни циклус, м јд",manövercykel,操作循环
442-01-51,uninterrupted neutral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-51,خط تعادل متصل,"unterbrechungsfreier Neutralleiter, m",uninterrupted neutral,katkeamaton nolla,"neutre non coupé, m",neutro non interrotto,非遮断中性極,비차단 중성점,tor neutralny nierozłączalny,neutro não interrompido,непрерываемая нейтраль,"непрекидна нула, ж јд",obruten neutralledare,不可中断中性极
442-01-52,main contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-52,ملامس رئيسى,"Hauptkontakt, m",main contact,pääkosketin,"contact principal, m",contatto principale,主接点,주 접점주 접촉자,zestyk główny,contacto principal,главный контакт,"главни контакт, м јд",huvudkontakt,主触点
442-01-53,common type reference (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-53,إشارة (مرجع) من النوع الشائع (للملحقات),"allgemeine Typverweisung, <für Installationsmaterial> f",common type reference (for accessories),yleinen tyyppitunnus,référence commune de type (pour le petit appareillage) f,riferimento di tipo comune,共通引用項目,"공통 참고 사항, <부속품>",identyfikacja typu wspólna,referência comum de tipo (para aparelhagem),обозначение общего типа (для электроустановочных изделий),"заједничка референца типа, <за прибор> ж јд",allmän typbeteckning,"通用型号标志, <电器附件的>"
442-01-54,unique type reference (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-54,مرجع وحيد للملحقاتمرجع فريد (للقطع التكميلية),"eindeutige Typverweisung, <für Installationsmaterial> f",unique type reference (for accessories),yksilöivä tyyppitunnus,référence de type unique (pour le petit appareillage) f,riferimento di tipo unico,個別引用項目,"개별 참고 사항, <부속품>",identyfikacja typu indywidualna,referência única de tipo (para aparelhagem),обозначение индивидуального типа (для электроустановочных изделий),"јединствена референца типа, <за прибор> ж јд",specifik typbeteckning,"专用型号标志, <电器附件的>"
442-01-55,macro-environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-55,,"Makroumgebung, f",macro-environment,,"macro-environnement, m",,マクロ環境,주변환경,"makrośrodowisko, n",macroambiente,,"макроокружење, с јд",,宏观环境
442-02-01,cable management,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-01,إدارة كابلات,"Kabelführung, f",cable management,johtotie,"système de câblage, m",canalizzazioni e accessori per cavi,ケーブル管理,케이블 관리,system prowadzenia przewodów,sistema de canalização eléctrica,изделия для прокладки кабелей,"систем за вођење каблова, м јд",kabelförläggningssystem,电缆管理
442-02-02,conduit system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-02,نظام مواسير,"Installationsrohrsystem, n",conduit system,asennusputkijärjestelmä,"système de conduits, m",sistema di tubi,電線管システム,전선관 시스템,system rur instalacyjnych,sistema de tubos,система трубной электропроводки,"систем цеви, м јд",elrörsystem,导管系统
442-02-04,conduit fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-04,تجهيزات ربط المواسير,"Elektroinstallationsrohrformstück, n",conduit fitting,asennusputkitarvike,"accessoire de conduit, m",accessorio (per tubo),電線管付属品,전선관 부속품,osprzęt do rur instalacyjnychosprzęt do rur,acessório de tubo,трубная арматура,"фитинг за цев, м јд",rörtillbehör,导管配件
442-02-05,plain conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-05,ماسورة مستقيمة,"glattes Elektroinstallationsrohr, n",plain conduit,sileä putkisileä asennusputki,"conduit lisse, m",tubo liscio,平滑電線管,평활 전선관,rura instalacyjna gładkarura gładka,tubo lisotubo de parede interior lisa,гладкая труба,"равна цев, ж јд",slätt rör,平导管
442-02-06,corrugated conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-06,ماسورة متعرجة,"gewelltes Elektroinstallationsrohr, n",corrugated conduit,aallotettu putkiaallotettu asennusputki,"conduit annelé, m",tubo ondulato; tubo corrugato,波形電線管,주름 전선관,rura instalacyjna karbowanarura karbowana,tubo caneladotubo de parede interior enrugada,гофрированная труба,"ребраста цев, ж јд",korrugerat rör,波纹导管
442-02-07,rigid conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-07,ماسورة صلبة,"starres Elektroinstallationsrohr, n",rigid conduit,jäykkä putkijäykkä asennusputki,"conduit rigide, m",tubo rigido,剛体電線管,강제 전선관,rura instalacyjna sztywnarura sztywna,tubo rígido,жесткая труба,"крута цев, ж јд",styvt rör,刚性导管
442-02-08,pliable conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-08,ماسورة قابلة للثني,"biegsames Elektroinstallationsrohr, n",pliable conduit,taipuisa putkitaipuisa asennusputki,"conduit cintrable, m",tubo pieghevole,屈曲可能電線管,굴곡 전선관,rura instalacyjna giętkarura giętka,tubo dobrável,эластичная труба,"еластична цев, ж јд",böjligt rör,可弯曲导管
442-02-09,self-recovering conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-09,ماسورة ذاتية الاستعادة (إلى شكلها الأصلي ),"selbsterholendes Elektroinstallationsrohr, n",self-recovering conduit,itsestään palautuva putkiitsestään palautuva asennusputki,"conduit transversalement élastique, m",tubo autorinvenente,自己回復電線管,자체 복구 전선관,rura instalacyjna z pamięcią kształturura z pamięcią kształtu,tubo transversalmente elástico,самовосстанавливающаяся труба,"самовраћајућа цев, ж јд",formåtertagande rör,自恢复导管
442-02-10,flexible conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-10,ماسورة مرنة,"flexibles Elektroinstallationsrohr, n",flexible conduit,taivuteltava putkitaivuteltava asennusputki,"conduit souple, m",tubo flessibile,可撓電線管,유연 전선관,rura instalacyjna elastycznarura elastyczna,tubo flexível,гибкая труба,"савитљива цев, ж јд",flexibelt rör,柔性导管
442-02-11,insulating conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-11,ماسورة عازلة,"Isolierstoffrohr, n",insulating conduit,eristysputkieristysasennusputki,"conduit isolant, m",tubo isolante,絶縁物電線管,절연 전선관,rura instalacyjna izolacyjnarura izolacyjna,tubo isolante,изоляционная труба,"изолациона цев, ж јд",isolerrör,绝缘导管
442-02-12,metal conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-12,ماسورة معدنية,"metallisches Elektroinstallationsrohr, n",metal conduit,metalliputkimetalliasennusputki,"conduit métallique, m",tubo metallico,金属製電線管,금속 전선관,rura instalacyjna metalowarura metalowa,tubo metálico,металлическая труба,"метална цев, ж јд",metallrör,金属导管
442-02-13,non-metallic conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-13,ماسورة غير معدنية,"nichtmetallisches Elektroinstallationsrohr, n",non-metallic conduit,metalliton putkimetalliton asennusputki,"accessoire de conduit non métallique, m",tubo non metallico,非金属製電線管,비금속 전선관,rura instalacyjna niemetalowarura niemetalowa,acessório de tubo não metálico,неметаллическая труба,"неметална цев, ж јд",icke-metalliskt rör,非金属导管
442-02-14,composite conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-14,ماسورة مؤلفة (مركبة),"Elektroinstallationsrohr in Gemischtbauweise, n",composite conduit,komposiittiputkiyhdistelmäputki,"conduit composite, m",tubo composto,複合電線管,복합 전선관,rura instalacyjna wieloskładnikowarura wieloskładnikowa,tubo compósito,композитная труба,"композитна цев, ж јд",kompositrör,复合材料导管
442-02-15,extra-heavy duty rigid steel conduit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-02-15,ماسورة صلبة جاسئة للخدمة الشاقة,"Stahlpanzerrohr, n",extra-heavy duty rigid steel conduitEHDRS (abbreviation),erikoisluja teräsputkierikoisluja jäykkä teräsasennusputki,"conduit rigide en acier à haute résistance, m",tubo di acciaio rigido extra-pesante,"超硬質鋼製電線管EHDRS, （略語）",초경질 강제 전선관이에이치디아르에스,rura instalacyjna stalowa odporna na bardzo duże narażenia mechanicznerura stalowa odporna na bardzo duże narażenia mechaniczneEHDRS (akronim),tubo de aço ultra-reforçado,жесткая стальная труба для сверхтяжелого режима работы,"крута челична цев за веома тешке услове рада, ж јдEHDRS",extrakraftigt stålrör,超重荷刚性钢导管
