term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
371-03-12,persistent regulating command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-12,أمر نقطة ضبط,"Dauereinstellbefehl, m",persistent regulating command,mando continuo de regulación,jatkuva säätöohjaus,"commande continue de régulation, f",comando continuo di regolazione,持続的規制コマンド,지속적 규제 명령,rozkaz ciągły regulacji,comando contínuo de regulação,trajni regulacijski ukaz,öka/minskakommando,持续调节命令
371-03-13,regulating step command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-13,أمر تنظيم دائم,"Schrittschaltbefehl, mInkrementalbefehl, mStufenstellbefehl, m",regulating step commandincremental command step-by-step adjusting command,mando de regulación por escalónmando incrementalmando paso a paso,askelohjaus,"commande de régulation par échelons, fcommande pas à pas, f",comando a gradini di regolazione,ステップ規制コマンド,규제 단계 명령증분 명령단계별 조정 명령,rozkaz nastawienia skokowego rozkaz regulacji skokowej,comando de regulação por escalõescomando passo a passo,koračni regulacijski ukazinkrementni ukazstopenjski nastavitveni ukaz,stegändringskommando,步进调节命令增量命令
371-03-14,selection command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-14,أمر تنظيم بخطوات               أمر تزايدي أمر ضبط خطوة - خطوة,"Anwahlbefehl, m",selection command,mando selectivo,valintaohjaus,"commande de sélection, f",comando di selezione,選択コマンド,선택 명령,rozkaz wyboru,comando de selecção,izbirni ukaz,urvalskommando,选择命令
371-03-15,group command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-15,أمر اختيار,"Gruppenbefehl, m",group command,mando agrupado,ryhmäohjaus,"commande groupée, f",comando generale di posto,グループコマンド,군 명령그룹 명령,rozkaz grupowy,comando agrupado,skupinski ukaz,gruppkommando,组命令
371-03-16,broadcast command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-16,أمر مجموعة,"Befehl an alle, m",broadcast command,mando difundido,yleisohjaus,"commande diffusée, f",comando generale di posto,ブロードキャストコマンド,방송 명령,rozkaz rozsiewczy,comando difundidocomando geral,splošni ukaz,generellt kommando,广播命令
371-03-17,instruction command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-17,أمر بث,"Textanweisung, f",instruction commandstandard command,mando de instrucción,ohjeohjaus,"commande d'instruction, f",ordine breve,指令コマンド,지령 명령,rozkaz instrukcyjnyrozkaz-instrukcja,comando de instrução,instrukcijski ukazstandardni ukaz,instruktionskommando,指示命令
371-03-18,function command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-18,أمر تعليمات قياسية,"Programmbefehl, m",function command,mando de función,sekvenssin käynnistysohjaus,"commande de fonction, f",comando di funzione,機能コマンド,기능 명령,rozkaz czynności żądanej,comando de função,sprožilni ukaz,sekvens(start)kommando,功能命令
371-03-19,select and execute command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-03-19,أمر وظيفي,"Anwahl- und Ausführungsbefehl, m",select and execute command,mando selección-ejecución,valinta- ja toteutusohjaus,"commande sélection-exécution, f",comando di selezione ed esecuzione,選択実行コマンド,선택실행 명령,rozkaz wyboru i wykonania,comando selecção-execução,izbirni in izvršilni ukaz,tvåstegskommando,选择并执行命令
371-04-01,positive acknowledgement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-01,أمر اختيار وتنفيذ,"positive Quittung, f",positive acknowledgement,conocimiento positivo,hyväksymiskuittaus,"accusé de réception positif, m",conferma positiva,肯定確認応答,긍정 응답,potwierdzenie poprawnego odbioru,quitação positiva,pozitivna potrditev,positiv kvittering,肯定应答
371-04-02,negative acknowledgement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-02,إفادة إيجابية,"negative Quittung, f",negative acknowledgement,conocimiento negativo,hylkäyskuittaus,"accusé de réception négatif, m",conferma negativa,否定応答,부정 응답,potwierdzenie błędnego odbioru,quitação negativa,negativna potrditev,negativ kvittering,否定应答
371-04-03,change of state announcement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-03,إفادة سلبية,"Meldeanreiz, m",change of state announcement,anuncio de cambio de estado,tilanmuutosilmoitus,"annonce de changement d'état, f",presenza variazioni di stato,状態変更通知,상태변경 통지,oznajmienie o zmianie stanu,anúncio de mudança de estado,najava spremembe stanja,ändringsflaggaändringsdetektering,状态变化通告
371-04-04,interrogation command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-04,إعلان تغير حاله,"Abfragebefehl, m",interrogation command,interrogación,kyselyohjaus,"commande d'interrogation, f",comando di interrogazione,問い合わせ命令,질문 명령,zapytanie,comando de interrogação,povpraševalni ukaz,förfrågningsanrop,查询命令
371-04-05,general interrogation command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-05,أمر إستجوابأمر استفهام,"Generalabfragebefehl, m",general interrogation command,interrogación general,yleiskysely,"commande d'interrogation générale, f",comando generale di interrogazione,一般照会コマンド,일반 질문 명령,zapytanie ogólne,comando de interrogação geralconsulta geral,splošni povpraševalni ukaz,allmänt (fråge)anrop,总查询命令
371-04-06,station interrogation command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-06,أمر إستجواب عامأمر استفهام عام,"Stationsabfragebefehl, m",station interrogation command,interrogación general de estación,aseman yleiskysely,"commande d'interrogation de poste, f",comando di interrogazione di posto,ステーション照会コマンド,국 질문 지령,zapytanie stanowiskowe,comando de interrogação de posto subordinado,postajni povpraševalni ukaz,stations(fråge)anrop,站查询命令
371-04-07,selective interrogation command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-07,أمر إستجواب محطة,"gezielter Abfragebefehl, m",selective interrogation command,interrogación selectiva,valikoiva kysely,"commande d'interrogation sélective, f",comando di interrogazione selettivo,選択照会コマンド,선택적 질문 명령,zapytanie selektywne,comando de interrogação selectivo,selektivni povpraševalni ukaz,selektivt (stations)frågeanrop,选择查询命令
371-04-08,check command,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-08,امر استجواب محدد,"Prüfbefehl, m",check command,mando de comprobación,koeohjaus,"commande de vérification, fcommande d'essai, f",comando di prova,チェックコマンド,점검 명령,rozkaz weryfikacji,comando de verificaçãocomando de ensaio,preveritveni ukaz,kontrollorderkontrollkommando,校验命令
371-04-09,transmission error alarm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-09,فحص,"Telegrammfehlermeldung, f",transmission error alarm,alarma de error de transmisión,siirtovirhehälytys,"alarme d'erreur de transmission, f",allarme errore di trasmissione,伝送エラー警告,전송 오류 경보,alarm błędu transmisji,alarme de erro de transmissão,alarm zaradi napake pri prenosu,transmissionsfelsmeddelande,传输差错报警
371-04-10,equipment failure information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-10,إنذار بخطأ في النقل,"Gerätefehlermeldung, f",equipment failure information,información de fallo del equipo,laitevikatieto,"information de défaut, f",allarme guasto apparato,機器故障情報,장비 고장 정보,informacja o uszkodzeniu,informação de defeito,informacija o odpovedi opreme,utrustningsfelsmeddelande,设备故障信息
371-04-11,signal quality detection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-04-11,معلومات تعطل معده,"Überwachung der Signalqualität, f",signal quality detection,detección de la calidad de la señal,signaalin laadun ilmaisu,"détection de la qualité du signal, f",allarme qualità del segnale ricevuto,信号品質検出,신호 품질 검출,wykrywanie pogorszenia sygnału,detecção da qualidade do sinal,nadzorovanje kakovosti signala,signalkvalitetsmätning,信号质量检测
371-05-01,separating capability (in telecontrol),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-05-01,استشعار جودة إشارة,"zeitliches Unterscheidungsvermögen, n",separating capability (in telecontrol) discrimination (in telecontrol),capacidad de separación (en telecontrol)discriminación (en telecontrol),erottelukyky,temps de discrimination (en téléconduite) mpouvoir séparateur  (en téléconduite) m,capacità di separazionediscriminazione,分離能力,"분리 능력, <원격제어>",rozdzielczość dyskryminacyjna,tempo de descriminação (em telecontrolo)resolução (em telecontrolo),sposobnost časovnega   razlikovanja (pri daljinskem vodenju),upplösningsförmåga,"事件分辨能力, <远动的>"
371-05-02,absolute chronology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-05-02,إمكانية الفصل زمن التمييز,"Absolutzeiterfassung, f",absolute chronologytime tagging,cronología absoluta,aikamerkintä,"transmission chronologique absolue, fchronologie absolue, f",cronologia assolutaattribuzione del tempo,絶対編年,절대 연대,transmisja o chronologii bezwzględnej,transmissão cronológica absolutacronologia absoluta,absolutna kronologija,tidmarkering,绝对标时标时
371-05-03,time resolution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-05-03,تسلسل زمني مطلق,"zeitliche Auflösung, f",time resolutionlimit of accuracy of chronology,precisión de la cronologíaresolución en tiempo,aikaresoluutio,"temps de résolution, mfinesse de la chronologie, f",risoluzione temporalelimite di precisione della cronologia,時間分解能,시간 분해능,rozdzielczość chronologiczna,tempo de resoluçãoexactidão da cronologia,časovna razločljivostmeje kronološke točnosti,tid(markerings)upplösning,时间分辨率时间精度极限
371-05-04,centralized absolute chronology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-05-04,زمن  التفريقالدقة من التسلسل الزمني,"Zeiterfassung mit zentral geführter Absolutzeit, f",centralized absolute chronology,cronología absoluta centralizada,keskitetty aikatahdistus,"chronologie absolue centralisée, f",cronologia assoluta centralizzata,集中絶対偏年,중앙 절대 연표,chronologia bezwzględna centralizowana,cronologia absoluta centralizada,centralizirana absolutna kronologija,centraliserad (absolut)tidmätning,集中绝对标时
371-06-01,master station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-01,تسلسل زمني مركزي مطلق,"Zentralstation, f",master stationcontrolling station,estación de control (en telecontrol)estación maestra (en telecontrol),keskusasema,poste de conduite (en téléconduite) mposte maître  (en téléconduite) m,posto principaleposto di comando,主局,주국,stacja głównastacja sterująca,posto de comando (em telecontrolo)posto de comando (em telecondução),center vodenja (pri daljinskem vodenju)glavna postaja (pri daljinskem vodenju),huvudstation,主站控制站
371-06-02,submaster station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-02,محطة رئيسية         محطة تحكم,"Knoten-Station, fKonzentrator-Station, f",submaster stationconcentrator station,estación concentradora,alakeskusasema,"poste de regroupement, m",posto secondarioposto di concentrazione,副主局,부주국,stacja zbiorcza,posto de reagrupamentoposto concentrador,vozliščna postajazbirna postaja,koncentrator,副站集中站
371-06-03,transit station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-03,محطة فرعية رئيسة    محطة مجمعة,"Transit-Station, f",transit station,estación de tránsito,välitysasema,"poste de transit, m",posto di transito,交換局,통과국교환국,stacja tranzytowa,posto de transito,tranzitna postaja,transitstation,转接站
371-06-04,outstation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-04,محطة تمرير,"Unterstation, f",outstationcontrolled station remote stationslave station,estación controladaestación esclavaestación remotaestación satélite,ala-asema,"poste satellite, mposte téléconduit , mposte asservi, m",posto perifericoposto controllatoposto distante,従局,지국제어대상국원격국,stacja zdalnie sterowana,estação remotaunidade remota,končna postaja,fjärrstation,从站分站
371-06-05,telecontrol configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-05,محطة خارجية محطةخاضعة للتحكم محطة نائية محطةتابعة,"Fernwirkkonfiguration, f",telecontrol configuration,configuración de la red de telecontrol,kaukokäytön järjestelmärakenne,"réseau de téléconduite, mconfiguration du réseau de téléconduite, f",configurazione del sistema di telecontrollo,遠隔制御の接続構成,원격 제어 구성,układ sieci (sterowania zdalnego),configuração da rede de telecontrolorede de telecontrolo,konfiguracija daljinskega vodenja,fjärrstyrningsnät,远动配置
371-06-06,point-to-point configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-06,تشكيل تحكم عن بعد,"End-End-Konfiguration, f",point-to-point configuration,configuración punto a punto,pisteestä pisteeseen -järjestelmä,"réseau (de téléconduite) point à point, mconfiguration point à point, f",configurazione punto a punto,２点間直通構成,점대점 구성,układ stacji dwupunktowy układ dwupunktowy,configuração ponto a pontorede (de telecontrolo) ponto a ponto,konfiguracija točka-točka,punkt-till-punktförbindelse,点对点配置
371-06-07,multiple point-to-point configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-07,تشكيل من نقطة الى اخرى,"Mehrfach-End-End-Konfiguration, f",multiple point-to-point configuration,configuración en estrellaconfiguración radial,monipistejärjestelmä,"réseau (de téléconduite) en étoile, mréseau (de téléconduite) radial, mconfiguration radiale, f",configurazione punto a punto multiplo,複合２地点間構成,다중 점대점 구성,układ telesterowania gwiaździsty układ telesterowania punkt-punkt,configuração radialrede (de telecontrolo) radial,večkratna konfiguracija točka-točka,mångpunktsdirektnät,多个点对点配置
371-06-08,multipoint-star configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-08,تشكيل متعدد من نقطة الى أخرى,"Stern-Konfiguration, f",multipoint-star configuration,configuración multipunto,kiertävä tähtijärjestelmä,"réseau (de téléconduite) multipoint, mconfiguration multipoint, f",configurazione a stella,多点,다중점 성형 구성,układ telesterowania gwiaździsty wybiórczy,configuração multipontorede (de telecontrolo) multiponto,zvezdasta konfiguracija,stjärnnät,多点星形配置
371-06-09,multipoint-partyline configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-09,تشكيل  نجمي  متعدد النقاط,"Linien-Konfiguration, f",multipoint-partyline configuration,configuración en línea compartida,kiertävä linjajärjestelmä,"réseau (de téléconduite) en ligne partagée, mconfiguration en ligne partagée, f",configurazione multipunto,多点共同構成,다중점 공동선 구성,układ wielopunktowy otwarty,configuração em linha partilhadarede (de telecontrolo) em linha partilhada,vodovna konfiguracija,delad linjemultidrop,多点共线配置
371-06-10,multipoint-ring configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-10,تشكيل متشارك الخط  متعدد النقاط,"Ring-Konfiguration, f",multipoint-ring configuration,configuración en bucle,silmukkajärjestelmä,"réseau (de téléconduite) en boucle, mconfiguration en boucle, f",configurazione ad anello,多点リング構成,다중점 고리 구성,układ wielopunktowy zamknięty,configuração em anelrede (de telecontrolo) em anel,obročasta konfiguracija,slingnät,多点环形配置
371-06-11,omnibus configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=371-06-11,تشكيل  حلقي  متعدد النقاط,"Omnibus-Konfiguration, f",omnibus configuration,configuración ómnibus,verkkojärjestelmä,"réseau (de téléconduite) omnibus, mconfiguration omnibus, f",configurazione omnibus,オムニバス構成,다국 접속 회선 구성옴니버스 구성,układ o wzajemnej dostępnościukład ”omnibusowy”,configuração em barramentorede (de telecontrolo) em barramento,omnibus konfiguracija,bussystem,总线配置
