term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
466-01-11,monopolar line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-11,خط أحادي القطبية,"einpolige Leitung, f",monopolar line,línea monopolar,yksinapainen johto,"ligne monopolaire, f",linea unipolare,単極線路,단극 선로,нэг туйлт шугам,monopolarlinje,linia jednobiegunowa,linha monopolar,"једнополни вод, м јд",enpolig likströmsledning,单极线
466-01-12,bipolar line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-12,خط ثنائي القطبية,"zweipolige Leitung, f",bipolar line,línea bipolar,kaksinapainen johto,"ligne bipolaire, f",linea bipolare,双極線路,이중극 선로,хоёр туйлт шугам,bipolarlinje,linia dwubiegunowa,linha bipolar,"двополни вод, м јд",tvåpolig likströmsledning,双极线
466-01-13,transmission line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-13,خط نقل,"Übertragungsleitung, fTransportleitung, f",transmission line,línea de transporte,siirtojohtovoimajohto,"ligne de transport, f",linea di trasmissione,送電線,송전 선로,дамжуулах шугам,overføringslinje,linia przesyłowa,linha de transporte,"далековод, м јд",kraftledning,输电线路
466-01-14,distribution line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-14,خط توزيع,"Verteilungsleitung, f",distribution line,línea de distribución,jakelujohto,"ligne de distribution, f",linea di distribuzione,配電線,배전 선로,түгээх шугам,fordelingslinje,linia rozdzielcza,linha de distribuição,"дистрибутивни вод, м јд",distributionsledning,配电线路
466-01-15,conductor (of an overhead line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-15,موصل خط هوائي,"Leiter, <einer Freileitung> m",conductor (of an overhead line),conductor (de una línea aérea},ilmajohdon johdinjohdin,conducteur (d'une ligne aérienne) m,conduttore (di una linea aerea),"電線, <架空電線路の>導体","도체, <가공 선로>코일변, <가공 선로>","дамжуулагч, <цахилгаан дамжуулах агаарын шугамын>",leiar (i luftlinje),przewód linii napowietrznejprzewód,condutor (de uma linha aérea),"проводник, <надземног вода> м јд",ledare (i friledning),"导线, <架空线路的>"
466-01-16,conductor vibration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-16,اهتزازات موصل,"Leiterschwingung, f",conductor vibration,vibración de un conductor,johtimen värähtely,"vibration d'un conducteur, f",vibrazione del conduttore,電線振動,도체 진동,дамжуулагчийн чичиргээ,mekaniske svingingar,drgania przewodu,vibração de um condutor,"вибрације проводника, ж мн",linsvängning,导线振动
466-01-17,aeolian vibration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-17,اهتزازات هوائية,"winderregte Schwingung, f",aeolian vibration,vibración eólica,tuulivärähtelyvärinä,"vibration éolienne, f",vibrazione eolica,微風振動,풍진동,салхинаас үүсэх чичиргээ,eolisk vibrasjon,drgania eolskiedrgania wiatrowe,vibração eólica,"еолска вибрација, ж јд",linvibration,微风振动
466-01-18,subspan oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-18,اهتزازت موصلات فرعية,"Teilfeldschwingung, f",subspan oscillation,vibración de subvano,osajänneheilahtelu,"oscillation de sous-portée, f",oscillazione di subcampata,サブスパン振動,부경간 진동,задалбар фазын дамжуулагчийн савалт,delspennsvingingar,drgania odcinkowe,oscilação de sub-vão,"осцилације у подраспону, ж мн",delspannssvängning,次档距振动
466-01-19,conductor galloping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-01-19,دوران غير منتظم لموصل,"Leitertanzen, n",conductor galloping,galope de conductores,johtimen tanssiminen,"galop des conducteurs, m",galoppo di un conduttore,電線ギャロッピング,도체 요동,дамжуулагчийн босоо савалт,galopperande linje,taniec przewodu,galope dos condutores,"галопирање проводника, с јд",lindanslingalopp,导线舞动
466-02-01,loading assumptions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-01,فرضيات التحميل,"Lastannahmen, f, pl",loading assumptions,hipótesis de carga,kuormitusotaksumat,"hypothèses de charge, f pl",ipotesi di carico,想定荷重条件,예상 하중,ачааллын загварчлал,"pårekna belastning, teoretisk belastning",założenia obciążeniowe,hipóteses de cargahipóteses de (carga para) cálculo,"претпостављена оптерећења, с мн",belastningsantagande,荷载组合
466-02-02,loading case,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-02,حالة التحميل,"Lastfall, m",loading case,caso de carga,kuormitustapaus,"cas de charge, m",schema di carico,荷重条件荷重種類,하중 경우,ачааллын горим,belastningstilfelle,przypadek obciążeniowy,caso de carga,"случај оптерећења, м јд",belastningsfall,荷载状态
466-02-03,working load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-03,حمل التشغيل,"Arbeitslast, fBetriebslast, f",working load,carga de trabajo,nimelliskuormitus,"charge de service, f",carico di lavoro,作用荷重,작업 하중,ажлын ачаалал,nominell belastning,obciążenie robocze,carga de serviço,"радно оптерећење, с јд",nominell belastning,工作荷载
466-02-04,normal load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-04,الحمل الاسمي,"Normalbelastung, f",normal loadprimary load,carga normal,todellinen kuormitus,"charge normale, f",carico normale,常時荷重通常荷重,정상 부하,хэвийн ачаалаланхдагч ачаалал,"normal belastning, verkeleg belastning",obciążenie normalneobciążenie podstawowe,carga normalacção normal,"нормално оптерећење, с јд",verklig belastning,标称荷载
466-02-05,special load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-05,حمل خاص,"Ausnahmebelastung, f",special load,carga especial,erikoiskuormitus,"charge spéciale, f",carico particolare,特殊荷重,특별 하중,тусгай ачаалал,spesiell belastning (ved bygging eller vedlikehald),obciążenie wyjątkowe,carga especialacção excepcional,"специјално оптерећење, с јд",exceptionell belastning,专用荷载
466-02-06,legislative load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-06,حمل قانوني,"gesetzliche Last, f",legislative load,carga reglamentaria,määräysten mukainen kuormitus,"charge réglementaire, f",carico prescritto dalla legge,法定荷重,법률적 하중,эрх зүйн ачаалал,forskriftsmessig belastning,obciążenie przepisowe,carga regulamentar,"прописано оптерећење, с јд",normerad belastning,法定荷载
466-02-07,test load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-07,حمل الاختبار,"Prüflast, f",test load,carga de ensayo,koekuorma,"charge d'essai, f",carico di prova,試験荷重,시험 하중,туршилтын ачаалал,prøvingsbelastning,obciążenie probiercze,carga de ensaio,"испитно оптерећење, с јдпробно оптерећење, с јд",provlast,试验荷载
466-02-08,failure load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-08,حمل الإنهيار,"Versagenslast, fBruchlast, f",failure load,carga de rotura,murtokuorma,"charge de rupture, f",carico di rottura,破壊荷重,고장 하중,саатлын ачаалал,sviktbelastning,obciążenie niszczące,carga de rotura,"оптерећење квара, с јд",brottlast,破坏荷载
466-02-09,ultimate design load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-09,حمل التصميم الأقصى,"Bemessungsgrenzlast, f",ultimate design load,carga límite especificada,rajakuorma,"charge ultime spécifiée, f",carico limite ultimo,最大設計荷重究極設計荷重終局設計荷重,종국 설계 하중,загварын дээд ачаалал,kritisk belastning,obciążenie obliczeniowe,carga limite especificada,"гранично оптерећење, с јд",gränslast,基本设计荷载
466-02-10,vertical load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-10,حمل رأسي عمودي,"lotrechte Last, f",vertical load,carga vertical,pystykuorma,"charge verticale, f",carico verticale,垂直荷重,수직 하중,босоо ачаалал,loddrett belastning,obciążenie pionowe,carga vertical,"вертикално оптерећење, с јд",vertikallast,垂直荷载
466-02-11,longitudinal load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-11,حمل طولي,"longitudinale Last, f",longitudinal load,carga longitudinal,pitkittäiskuorma,"charge longitudinale, f",carico longitudinale,水平縦荷重線路方向荷重,세로 하중,тууш ачаалал,langsgåande belastning,obciążenie wzdłużne,carga longitudinal,"подужно оптерећење, с јдлонгитудално оптерећење, с јд",last i linjeriktningenlängslast,纵向荷载
466-02-12,transverse load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-12,حمل عرضي,"transversale Last, f",transverse load,carga transversal,poikittaiskuorma,"charge transversale, f",carico trasversale,水平横荷重線路直角方向荷重,가로축 부하,хөндлөн ачаалал,tverrgåande belastning,obciążenie poprzeczne,carga transversal,"попречно оптерећење, с јдтрансверзално оптерећење, с јд",last tvärs linjeriktningen,横向荷载
466-02-13,wind load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-13,حمل الرياح,"Windlast, f",wind load,carga de viento,tuulikuorma,"charge de vent, f",spinta del vento,風荷重風圧荷重,풍압 하중,салхины ачаалал,vindbelastning,obciążenie wiatrowe,carga de vento,"оптерећење од ветра, с јд",vindlast,风荷载
466-02-14,ice loading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-14,حمل جليدي,"Eislast, f",ice loading,carga de hielo,jääkuorma,"charge de givre, f",carico di ghiaccio,着氷雪荷重,빙설 하중,мөстөлтийн ачаалал,isbelastning,obciążenie sadziowe,carga de gelo,"оптерећење од леда, с јд",islast,冰荷载
466-02-15,uniform ice loading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-15,حمل جليدي   منتظم,"gleichförmige Eislast, f",uniform ice loading,carga de hielo uniforme,tasainen jääkuorma,"charge de givre uniforme, f",carico di ghiaccio uniforme,均一着氷雪荷重,규칙 빙설 하중,жигд мөстөлтийн ачаалал,jamn isbelastning,obciążenie sadziowe równomierne,carga de gelo uniforme,"равномерно распоређено оптерећење од леда, с јд",jämnt fördelad islast,均布冰荷载
466-02-16,non-uniform ice loading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-02-16,حمل جليدي  غير منتظم,"ungleiche Eislast, f",non-uniform ice loading,carga de hielo asimétrica,paikallinen jääkuorma,"charge de givre dissymétrique, f",carico di ghiaccio dissimetrico,不均一着氷雪荷重,불규칙 빙설 하중,жигд бус мөстөлтийн ачаалал,skeiv isbelastning,obciążenie sadziowe nierównomierne,carga de gelo assimétrica,"неравномерно распоређено оптерећење од леда, с јд",lokal islast,非均匀冰荷载
466-03-01,span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-01,تباعد (امتداد),"Spannfeld, n",span,vano,jänne,"portée, f",campata,径間,경간주간 거리,алслалталхамалгасалт,spenn,przęsło,vão,"распон, м јдпоље распона, с јд",spann,档
466-03-02,span length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-02,طول التباعد,"Spannweite, f",span length,longitud del vano,jänteen pituus,"longueur de la portée, fportée horizontale, f",lunghezza di campata,径間長,경간 거리,алслалтын урт,spennlengd,rozpiętość przęsła,vão horizontalcomprimento de vão,"дужина распона, ж јд",spanniängd,档距
466-03-03,level span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-03,تباعد مستوي,"ebenes Spannfeld, n",level span,vano a nivel,vaakasuora jänne,"portée de niveau, f",campata in piano,水平径間,수평 경간,төвшин алслалт,plant spenn,przęsło poziome,vão nivelado,"хоризонтални распон, м јд",plant spann,等高档
466-03-04,sloping span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-04,تباعد منحدر,"geneigtes Spannfeld, n",sloping spaninclined span,vano inclinado,kalteva jänne,"portée dénivelée, f",campata a dislivello,斜径間,경사 경간,налуу алслалт,skråspenn,przęsło pochyłe,vão desnivelado,"коси распон, м јд",lutande spann,不等高档
466-03-05,difference in levels,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-05,فرق المستويات,"Höhenunterschied, m",difference in levels,desnivel,korkeusero,"dénivellation, f",dislivello,支持点高低差,수평 차이,өндөржилтийн зөрүү,høgdeforskjellar,spad przęsła,desnível,"вертикални размак тачака прихватања, м јд",nivåskillnad,高差
466-03-06,sloping span length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-06,طول مسافة الإنحدار,"geneigte Spannweite, f",sloping span length,longitud del vano inclinado,kaltevan jänteen pituus,"portée oblique, fportée selon la pente, f",campata obliqua,斜径間長,경사 경간 거리,налуу алслалтын урт,skrå spennlengd,. . . . .,vão oblíquo,"дужина косог распона, ж јд",lutande spannlängd,斜档距
466-03-07,wind span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-07,مسافة امتداد الرياح,"Windspannweite, f",wind span,vano de viento,tuulijänne,"portée vent, f",campata media,風荷重径間長,바람 경간,салхины алслалт,vindspenn,przęsło wiatrowe,vão eólico,"ветровни распон, м јдсредњи распон упоришта, м јд",horisontellt belastande linlängd,风载档距
466-03-08,weight span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-08,مسافة امتداد الثقل,"Gewichtsspannweite, f",weight span,vano de peso,painojänne,"portée poids, f",campata gravante,重量径間長,하중 경간,жингийн алслалт,vektspenn,przęsło ciężarowe,vão gravítico,"гравитациони распон, м јд",vertikalt belastande linlängd,重力档距
466-03-09,…..,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-09,تقعر الامتداد,"Durchhang im Ergänzungsspannfeld, m",…..,concavidad del vano,…..,"creux de portée, m",,斜弛度,경간 오목도,тулгуурт бэхэлсэн хамгийн дээд цэгээс тооцсон унжилт,,. . . . .,cava de vãoconcavidade do vão,"угиб темена ланчанице, м јд",,导线最低点至最高悬挂点弧垂
466-03-10,sag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-10,ارتخاء (تدلي),"größter Durchhang, m",sag,flecha,riippuma,"flèche, f",freccia,弛度,새그,унжилт,nedheng (pilhøgd),zwis,flecha,"максимални угиб, м јд",nedhängning,弧垂
466-03-11,section (of an overhead line),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-11,مقطع من خط هوائي,"Abspannabschnitt, <einer Freileitung> m",section (of an overhead line),cantón,kiristysväli,canton (d'une ligne aérienne) m,sezione,"セクション, <架空電線路の>懸垂連続区間耐張区間","섹션, <가공 선로>구역, <가공 선로>","анкер тулгуур хоорондын хэсэг, <цахилгаан дамжуулах агаарын шугамын>секц",seksjon,sekcja odciągowa linii napowietrznejsekcja odciągowa,cantão (de uma linha aérea),"затезно поље, с јдсекција, <надземног вода> ж јд",ledningssektion,耐张段
466-03-12,equivalent span,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-12,امتداد مكافئ,"ideelles Spannfeld, n",equivalent spanruling span,vano regulador,ekvivalenttijänne,"portée équivalente, f",campata equivalente,等価径間長,등가 경간,эквивалент алслалт,"ekvivalentspenn, ideelt spenn",przęsło równoważne,vão equivalente,"идеални распон, м јд",normalspann,代表档距
466-03-13,catenary,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-13,منحنى الامتداد,"Kettenlinie, f",catenary,catenaria,köysikäyrä,"chaînette, f",catenaria,カテナリー,현수선카터너리,гинжин муруй,lineboge,krzywa łańcuchowa,catenária,"крива проводника, ж јд",linbåge,悬链线
466-03-14,catenary constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-03-14,ثابت منحنى الامتداد,"Kettenlinienparameter, m",catenary constant,parámetro de la catenaria,köysikäyräparametri,paramètre (de la chaînette) m,parametro della catenaria,カテナリー定数,현수선 상수,гинжин муруйн параметр,"linebogekonstant, linebogeparameter",stała krzywej łańcuchowej,parâmetro (da catenária),"константа криве проводника, ж јд",,悬链线常数
466-04-01,longitudinal profile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-04-01,مقطع طولي,"Längenprofil, n",longitudinal profile,perfil longitudinal,keskilinjan profiili,"profil en long, m",profilo longitudinale,縦断図,종단면도세로축 단면도,дагуу огтлол,langsgåande profil,profil podłużny,perfil longitudinal,"уздужни профил, м јд",längsprofil,纵断面
466-04-02,side slope at X metres,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-04-02,الإنحدار الجانبي عند X متر في الوضع الجانبي,"Parallelprofil, n",side slope at X metresoffset profile,perfil paralelo,sivukaltevuusprofiili,"profil parallèle, mcontre-profil à X mètres, m",profilo parallelo a X metri dall'asse della linea,横方向Ｘメートルでの縦断図,X미터 측면 경사,X метрт байрлах хажуугийн налуушугамын тэнхлэгээс нэгэн зайд орших огтлол,"sideprofil, parallellprofil",profil równoległy,perfil lateral (a X metros)perfil paralelo (a X metros),"уздужни  профил на „x” метара, м јд",sidlut,x米处边断面
466-04-03,transverse profile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-04-03,مقطع عرضي,"Querprofil, n",transverse profilesection profile,perfil transversal,poikittaisprofiili,"profil en travers, m",profilo trasversale,横断面図,횡단면도가로축 단면도,хөндлөн огтлол,tverrprofil,profil poprzeczny,perfil transversal,"попречни профил, м јд",tvärprofil,横断面
466-04-04,diagonal leg profile,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-04-04,مقطع قطري  لقوائم البرج,"Diagonalprofil am Maststandort, n",diagonal leg profile,perfil diagonal entre patas,…..,"profil dans le plan diagonal du support, m",profilo nel piano diagonale del sostegno,鉄塔敷地対角縦断図,대각선 프로파일대각선 단면도,хөлийн ташуу огтлол,diagonalprofil,profil po przekątnej stanowiska słupa,perfil no plano diagonal do apoio,"дијагонални профил, м јд",,对角塔腿断面
466-04-05,line angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-04-05,زاوية الخط,"Komplementärwinkel zum Leitungswinkel, m",line angle,ángulo de línea,johtokulma,"angle en ligne, m",angolo di deviazione della linea,水平角,선로각,шугамын эргэлтийн өнцөг,"linjevinkel, trasévinkel",kąt odchylenia trasy,ângulo do traçadoângulo da linha,"угао скретања вода, м јд",brytvinkel,线路转角
466-05-01,conductor configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-01,شكل الموصّل,"Leiteranordnung, f",conductor configuration,configuración,johtimien sijainti,"armement, m",disposizione dei conduttori,電線配列,도체 배열,дамжуулагчийн байршил,leiarkonfigurasjon,układ przewodów,armaçãodisposição,"распоред проводника, м јд",fas (ledar) placering,导线排列
466-05-02,horizontal configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-02,شكل أفقي,"horizontale Anordnung, fEinebenenanordnung, f",horizontal configuration,configuración en capa,vaakasijainti,"armement en nappe horizontale, m",disposizione orizzontale,水平配列,수평 배치,хэвтээ байршил,planoppheng,układ poziomy,disposição em esteira horizontal,"хоризонтални распоред, м јд",horisontell fasplacering,水平排列
466-05-03,semi-horizontal configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-03,شكل شبه أفقي,"semi-horizontale Anordnung, f",semi-horizontal configuration,configuración en capa bóveda,…..,"armement en nappe voûte, m",disposizione semiorizzontale,準水平配列,준수평 배치,хагас хэвтээ байршил,forskove planoppheng,układ półpoziomy,disposição em esteira-abóbada,"полухоризонтални распоред, м јд",,半水平排列
466-05-04,triangular configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-04,شكل المثلث,"Dreiecksanordnung, f",triangular configuration,configuración en triángulo,kolmiosijainti,"armement en triangle, m",disposizione a triangolo,三角配列,삼각 배치,гурвалжин байршил,trekantoppheng,układ trójkątowy,disposição em triângulo,"распоред у троугао, м јд",triangulär fasplacering,三角形排列
466-05-05,delta configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-05,توصيل شكل دلتا,"Delta-Anordnung, f",delta configuration,configuración delta,deltasijainti,"armement en delta, m",disposizione a delta,デルタ配列,델타 배치,дельта байршил,deltaoppheng,układ trójkąta równoramiennego układ delta,disposição em delta,"делта распоред, м јд",,倒三角排列
466-05-06,vertical configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-06,توصيل شكل رأس علم,"vertikale Anordnung, f",vertical configuration,configuración vertical (en bandera),pystysijainti,"armement en drapeau, m",disposizione verticale,垂直配列,가로축 배치,босоо байршил,vertikaloppheng,układ pionowy,disposição em esteira vertical,"вертикални распоред, м јд",vertikal fasplacering,垂直排列
466-05-07,semi-vertical configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-07,توصيل شكل شبه رأسي,"Tonnenanordnung, f",semi-vertical configuration,configuración semi-vertical,…..,"armement semi-vertical, m",disposizione semiverticale,準垂直配列,준가로축 배치,хагас босоо байршил,forskove vertikaloppheng,układ półpionowy,disposição semivertical,"полувертикални распоред, м јд",blandad uppläggning,半垂直排列
466-05-08,double circuit vertical configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-08,شكل رأسي مزدوج الدارة,"vertikale Anordnung einer Doppelleitung, f",double circuit vertical configuration,configuración vertical doble circuito,kaksoisjohdon pystysijainti,"armement en double drapeau, m",disposizione verticale-doppia terna,２回線垂直配列,이회선 가로축 배치,хоёр хэлхээтэй босоо байршил,dobbelt planoppheng,układ dwutorowy pionowy,disposição em duplo terno verticaldisposição em dupla esteira vertical,"вертикални распоред двосистемског надземног вода, м јд",dubbel vertikal fasplacering,双回线垂直排列
466-05-09,double circuit semi-vertical configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-09,شكل شبه رأسي مزدوج الدارة,"Tonnenanordnung einer Doppelleitung, f",double circuit semi-vertical configuration,configuración hexágono,tynnyrisijainti,"armement en tonneau, m",disposizione semiverticale-doppia terna,２回線準垂直配列,이회선 준가로축 배치,хоёр хэлхээтэй хагас босоо байршил,forskove dobbelt vertikaloppheng,układ beczkowy,disposição em duplo terno semiverticaldisposição em hexágono,"полувертикални распоред двосистемског вода, м јд",,双回线半垂直排列
466-05-10,transposition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-10,تبديل,"Verdrillung, f",transposition,transposición,vuorottelu,"transposition, fpermutation, f",trasposizione,ねん架,자리 바꿈바꿔 놓기전치,сэлгэлттранспозиц,revolvering,przeplecenie,transposição,"преплитање фаза, с јд",skruvning,换位
466-05-11,transposition interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-11,مسافة التبديل,"Verdrillungsabschnitt, m",transposition interval,distancia entre transposiciones,vuorotteluväli,"intervalle de transposition, m",intervallo di trasposizione,ねん架間隔,자리 바꿈 구간,сэлгэлтийн интервал,"revolveringsavstand, revolveringsintervall",odcinek przeplecenia,intervalo de transposição,"интервал преплитања, м јд",skruvningsavstånd,换位段
466-05-12,ground clearance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=466-05-12,خلوص أرضي,"Mindest-Bodenabstand, m",ground clearance,distancia al suelo,vähimmäisetäisyys maanpinnasta,"distance au sol, f",distanza dal terreno,地上高,대지 이격거리대지 간격,газрын гадарга хүртэлх клиренс зайгазрын гадарга хүртэлх агаарын тусгаарлах зай,"høgd over mark, markavstand",odległość od ziemi,distância ao solo,"размак од земље, м јд",fri höjd över mark,对地净距
