term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
713-02-03,receiving station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-03,محطة استقبال,přijímací stanice,"Empfangsstelle, f",receiving station,estación receptora,vastaanottoasema,"station de réception, fstation réceptrice, f",stazione ricevente,受信所,수신국,stacja odbiorcza,estação receptora,mottagarstation,接收台
713-02-04,terrestrial station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-04,محطة أرضية,zemská stanice,"terrestrische Funkstelle, f",terrestrial station,estación terrestre,maanpäällinen asema,"station de Terre, f",stazione terrena,地上局,지상국,stacja ziemska,estação de Terra,terrester station,地面台
713-02-05,Earth station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-05,محطة ارضية,pozemská stanice,"Erdfunkstelle, f",Earth station,estación terrestre,maa-asema,"station terrienne, fDÉCONSEILLÉ:  station terrestre, f",stazione di terra,地球局,지구국,"stacja naziemna, f",estação terrena,jordstation,地球站
713-02-06,space station (in radiocommunication),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-06,محطة فضائية (في الاتصالات الراديوية),"kosmická stanice, <v radiokomunikaci>","Weltraumfunkstelle, f",space station (in radiocommunication),estación espacial,avaruusasemaavaruusradioasema,station spatiale (en radiocommunication) f,stazione spaziale (per radiocomunicazioni),"宇宙局, <無線通信による>","우주국, <무선통신>",stacja kosmiczna,estação espacial,rymd(radio)station,"空间站, <无线电通信的>"
713-02-07,radio link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-07,وصلة لاسلكية,rádiový spoj,"Funkstrecke, f",radio link,enlace radioeléctrico,radiolinkki,"liaison radioélectrique, fliaison hertzienne, f",collegamento radio,無線リンク,무선 연결무선 링크,"łącze radiowe, n",ligação radioelétricaligação hertziana,radiolänk,无线电链路
713-02-08,radio (transmission) channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-08,قناة (إرسال) راديوية,rádiový (přenosový) kanál,"Funkübertragungskanal, m",radio (transmission) channel,canal radioeléctrico,radiokanava,"voie radioélectrique, fvoie hertzienne, f",canale radio (di trasmissione),無線伝送チャネル無線チャネル,무선 전송 채널,kanał transmisyjny radiowy  kanał radiowy,canal radioeléctrico,radiokanal,无线电传输信道
713-02-09,"total loss, <of a radio link>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-09,"فقد كلي, <في توصيل الراديو>","celkové ztráty, <rádiového spoje>","Gesamtdämpfungsmaß, <einer Funkstrecke> n","total loss, <of a radio link>",pérdidas totales,jännevaimennus,"affaiblissement global, <d'une liaison radioélectrique> maffaiblissement, <d'une liaison radioélectrique> m",attenuazione complessiva (di una tratta radio),"全損失, <無線リンク>","총손실, <무선 링크>","straty całkowite, <linii radiowej> f pl",atenuação global (de uma ligação radioeléctrica),totalförlust,"总损耗, <无线电链路的>"
713-02-10,link (power) budget,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-10,موازنة (قدرة) الوصلة,(výkonová) bilance spoje,"Leistungsübertragungsbilanz, f",link (power) budget,balance de potencia,linkkibudjetti,"bilan (énergétique) de liaison, m",bilancio di tratta (in potenza),リンク電力損失割当てリンク損失割当て,링크 전력 예산,budżet mocy łącza budżet łącza,balanço (energético) de ligação,länkbudget,链路功率预算
713-02-11,radio-relay system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-11,نظام مرحل راديوى,radioreléový systémradioreléový spojRRL,"Richtfunkstrecke, f",radio-relay systemradio-relay linkRRL (abbreviation),sistemas de radioenlaces radioeléctricos,radiolinkkijärjestelmä,"faisceau hertzien, m",collegamento in ponte radio RRL (acronimo)sistema in ponte radio,"無線中継方式無線中継リンクRRL, （略語）",무선 중계 시스템무선 중계 링크아르아르엘,linia radiowa system linii radiowych,feixe hertziano,radiolänklinje,无线电中继系统无线电中继链路RRL
713-02-12,(line-of-sight) radio-relay system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-12,نظام مرحل راديوى (خط البصر),radioreléový systém (s přímou viditelností)radioreléový spoj (s přímou viditelností)LOSRRLmikrovlnný spoj,"Richtfunkstrecke mit Sichtverbindung, f",(line-of-sight) radio-relay system(line-of-sight) radio-relay linkLOSRRL (abbreviation)microwave link,sistemas de radioenlaces radioeléctricos (línea de visión) enlace de microondas,näköyhteysradiolinkkijärjestelmä,"faisceau hertzien (en visibilité), mFHV (abréviation) m",coIlegamento a microondecollegamento in ponte radio (in visibilità)LOSRRL (acronimo),"見通し内無線中継方式見通し内無線中継リンクLOSRRL, （略語）マイクロ波リンク",가시선 무선 중계 시스템가시선 무선 중계 링크엘오에스아르아르엘극초단파 링크,łącze linii radiowej (w zasięgu widoczności) system linii radiowych (w zasięgu widoczności).,feixe hertziano (em visibilidade),frisikts radiolänk,视距无线电中继系统视距无线电中继链路LOSRRL微波链路
713-02-13,trans-horizon radio-relay system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-13,نظام مرحل اذاعي عبر الافق,transhorizontální radioreléový systém,"Überhorizont-Richtfunkstrecke, f",trans-horizon radio-relay system,sistema trans-horizonte de repetidores radioeléctricos,ylihorisonttinen radiolinkkijärjestelmä,"faisceau hertzien transhorizon, m",sistema in ponte radio in assenza di visibilità,見通し外無線中継方式,가시외 무선 중계 시스템,system linii radiowych (o zasięgu poza horyzontalnym),feixe hertziano trans-horizonte,bortomhorisonts radiolänk,超视距无线电中继系统
713-02-14,point-to-point communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-14,اتصال بين نقطة ونقطة,komunikace mezi dvěma body,"Punkt-zu-Punkt-Verkehr, m",point-to-point communication,comunicaciones punto a punto,kaksipisteviestintä,"communication point à point, f",comunicazioni tipo punto-punto,ポイント-ポイント通信,점 대 점 통신,łączność z punktu do punktu,comunicação ponto a ponto,punkt-till-punktkommunikation,点对点通信
713-02-15,point-to-multipoint communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-15,اتصال من نقطة وعدة نقاط,komunikace od bodu k více bodům,"Punkt-zu-Mehrpunkt-Verkehr, m",point-to-multipoint communication,comunicaciones punto a multipunto,monipisteviestintä,"communication point à multipoint, f",comunicazioni tipo punto-multipunto,ポイント-マルチポイント通信,지점 대 다지점 간 통신,łączność z punktu do wielu punktów,comunicação ponto a multiponto,punkt-till-flerpunktskommunikation,点对多点通信
713-02-16,point-to-area communication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-16,اتصال من نقطة ومنطقة,komunikace od bodu do oblasti,"Punkt-zu-Fläche-Verkehr, m",point-to-area communication,comunicaciones punto a área,pisteen ja alueen välinen viestintä,"communication point à zone, f",comunicazioni tipo punto-area,ポイント-エリア通信,지점 대 지역 통신,łączność z punktu do obszaru,comunicação ponto a zona,punkt-till-områdeskommunikation,点对区域通信
713-02-17,coverage area (of a terrestrial transmitting station),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-17,منطقة التغطية (لمحطة ارسال أرضي),"oblast pokrytí, <zemské vysílací stanice>","Bedeckungsgebiet, <einer terrestrischen Sendestelle> n",coverage area (of a terrestrial transmitting station),zona de cobertura (de una estación transmisora terrena),peittoalue,zone de couverture (d'une station d'émission de Terre) f,area di copertura (di una stazione trasmittente terrestre),"カバレージエリア, （１）",통신 가능 구역지상 전송국,obszar pokrycia (stacji ziemskiej),zona de cobertura (de uma estação emissora de Terra),täckningsområde,"覆盖区, <地面发射台的>"
713-02-18,service area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-18,منطقة خدمة,oblast službyprovozní oblast,"Versorgungsgebiet, n",service area,área de servicio,palvelualue,"zone de service, f",area di servizio,サービスエリア,공급 구역,obszar obsługiwany,zona de serviço,betjäningsområde,服务区
713-02-19,"coverage area, <of a space station>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-19,"منطقة التغطية, <لمحطة فضائية>","oblast pokrytí, <kosmické stanice>","Bedeckungsgebiet, <einer Weltraumfunkstelle> n","coverage area, <of a space station>",zona de cobertura (de una estación espacial),avaruusaseman peittoalue,"zone de couverture, <d'une station spatiale> f",area di copertura (di una stazione spaziale),"カバレッジエリア, <宇宙局の>","통신 가능 구역, <우주국>","obszar pokrycia, <przez stację satelitarną> m",zona de cobertura (de uma estação espacial),täckningsområde,"覆盖区, <空间站的>"
713-02-20,capture area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-20,منطقة الالتقاط,oblast zachycení,"Empfangsgebiet, <einer terrestrischen Empfangsstelle> n",capture area,área de captura,vastaanottoaseman sieppausalue,zone de captage (d'une station de réception de Terre) f,area di cattura,キャプチャエリア,수신파 실효면적포획 구역,obszar zasięgu,zona de captação (de uma estação receptora de Terra),mottagningsområde,捕获区
713-02-21,connection by satellite,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-21,اتصال بالقمر الصناعي,spojení prostřednictvím družice,"Verbindung über Satellit, f",connection by satellite,conexión por satélite,satelliittiyhteys,"liaison par satellite, f",collegamento via satellite,衛星回線,위성 연결,"połączenie satelitarne, npołączenie przez satelitę, n",ligação por satélite,satellitförbindelse,卫星连接
713-02-22,satellite link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-22,وصلة عبر قمر  صناعي,družicový spoj,"Satellitenfunkstrecke, f",satellite link,enlace por satélite,satelliittilinkki,"liaison unisatellite, f",collegamento satellitare,衛星リンク,위성 링크,łącze satelitarne,ligação uni-satélite,satellitlänk,卫星链路
713-02-23,inter-satellite link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-23,وصلة بين الأقمار الصناعية,mezidružicový spoj,"Intersatellitenfunkstrecke, f",inter-satellite link,enlace entre satélites,satelliittien välinen linkki,"liaison intersatellite, f",collegamento intersatellitare,衛星間リンク,위성간 링크,łącze międzysatelitarne,ligação intersatélite,intersatellitlänk,星间链路
713-02-24,multi-satellite link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-24,وصلة عن طريق عدة أقمار صناعية,vícenásobný družicový spoj,"Mehrsatellitenfunkstrecke, f",multi-satellite link,enlace multi satélite,monisatelliittilinkki,"liaison multisatellite, f",collegamento multisatellitare,複衛星リンク,다중 위성 링크,łącze wielokrotne satelitarne,ligação multi-satélite,multisatellitlänk,多卫星链路
713-02-25,multi-hop satellite link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-25,وصلة متعددة القفزات بالقمر الصناعي,družicový spoj s více skoky,"Satellitenfunkstrecke mit mehreren Auf- und Abwärtsstrecken, f",multi-hop satellite link,enlace multisalto por satélite,monihyppyinen satelliittilinkki,"liaison multibond par satellite, f",collegamento multitratta via satellite,多段衛星リンク,다중 반사 위성 링크다중 홉 위성 링크,łącze wieloskokowe satelitarne,ligação de saltos múltiplos por satéliteligação multi-salto por satélite,flerhopps satellitlänk,多跳卫星链路
713-02-26,feeder link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-26,وصلة مغذ,modulační spoj,"Speisestrecke, f",feeder link,enlace de contribución,syöttölinkki,"liaison de connexion, f",collegamento con satellite,フィーダリンク,급전선 링크,łącze doprowadzające do satelity łącze doprowadzające,ligação de conexão,matarlänk,馈送链路
713-03-01,mobile service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-01,خدمة  متنقلة,pohyblivá služba,"mobiler Funkdienst, mMobilfunk, m",mobile service,servicio móvil,siirtyvä liikenne,"service mobile, m",servizio mobile,移動業務,이동 업무,łączność ruchoma,serviço móvel,mobilradio,移动业务
713-03-02,land station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-02,محطة أرضية,pozemní stanice,"ortsfeste Funkstelle, f",land station,estación fija terrena,siirtyvän liikenteen kiinteä asema,"station terrestre, f",stazione fissa,陸上局,육상국,stacja bazowa stacja stała,estação terrestre,landstation,陆地台
713-03-03,mobile station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-03,محطة متنقلة,pohyblivá stanice,"mobile Funkstelle, f",mobile station,estación móvil,siirtyvä asema,"station mobile, f",stazione mobile,移動局,이동국,stacja ruchoma,estação móvel,mobil station,移动台
713-03-04,mobile-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-04,خدمة متنقلة بالقمر الصناعي,pohyblivá družicová služba,"mobiler Funkdienst über Satelliten, m",mobile-satellite service,servicio móvil por satélite,siirtyvä satelliittiliikenne,"service mobile par satellite, m",servizio mobile satellitare,移動衛星業務,이동위성서비스,łączność ruchoma przez satelitę satelitarna łączność ruchoma,serviço móvel por satélite,mobilradio via satellit,卫星移动业务
713-03-05,land mobile service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-05,خدمة أرضية متنقلة,pozemní pohyblivá služba,"mobiler Landfunkdienst, m",land mobile service,servicio móvil terreno,siirtyvä maaradioliikenne,"service mobile terrestre, m",servizio mobile terrestre,陸上移動業務,육상 이동 서비스,łączność lądowa ruchoma,serviço móvel terrestre,landmobil radio,陆地移动业务
713-03-06,land mobile-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-06,خدمة أرضية متنقلة بالقمر الصناعي,pozemní pohyblivá družicová služba,"mobiler Landfunkdienst über Satelliten, m",land mobile-satellite service,servicio móvil terreno por satélite,maaradion siirtyvä satelliittiliikenne,"service mobile terrestre par satellite, m",servizio mobile satellitare terrestre,陸上移動衛星業務,육상 이동 위성 서비스,łączność lądowa ruchoma przez satelitę,serviço móvel terrestre por satélite,landmobil radio via satellit,卫星陆地移动业务
713-03-07,base station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-07,محطة قاعدة (رئيسية),základnová stanice,"ortsfeste Landfunkstelle, fBasisstation, f",base station,estación base,tukiasema,"station de base, f",stazione base,基地局,기지국,stacja bazowa,estação de base,basstation,基站
713-03-08,land mobile station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-08,محطة ارضية متنقلة,pozemní pohyblivá stanice,"mobile Landfunkstelle, f",land mobile station,estación móvil terrena,siirtyvä maaradioasema,"station mobile terrestre, f",stazione mobile terrestre,陸上移動局,육상 이동국,stacja ziemska ruchoma,estação móvel terrestre,landmobil station,陆地移动台
713-03-09,cordless telephone set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-09,مجموعة هاتف لاسلكي,bezšňůrový telefonní přístroj,"schnurloses Telefon, nSchnurlostelefon, n",cordless telephone set,puesto de teléfono sin hilos,johdoton puhelin,"poste téléphonique sans cordon, mtéléphone sans fil  (terme déconseillé dans ce sens) m","apparecchio telefonico ""cordless""",コードレス電話機,무선 전화기,telefon bezsznurowy,aparelho telefónico sem fios,trådlös telefon,无绳电话机
713-03-10,telepoint service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-10,خدمة اتصال متباعد النقاط,služba telepointu,"Telepoint-Dienst, m",telepoint service,servicio telepunto,telepoint-palvelu,"(service) télépoint, m","servizio""telepoint""",テレポイント業務,휴대전화가능 업무텔레포인트 업무,usługa telepoint,serviço teleponto,,电信接入点业务
713-03-11,telepoint base station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-11,محطة قاعدة رئيسية للاتصال المتابعد النقاط,základnová stanice telepointu,"Telepoint-Basisstation, f",telepoint base station,estación base telepunto,telepoint-tukiasema,"téléborne, fborne télépoint, f","stazione fissa per servizio ""telepoint""",テレポイント基地局,텔레포인트 기지국,stacja bazowa systemu telepoint,terminal teleponto,,电信接入点基站
713-03-12,portable telephone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-12,هاتف محمول,přenosný telefon,"Mobiltelefon, n",portable telephone,teléfono portátil,kannettava puhelin,"téléphone portatif, m",telefono portatile,携帯電話機,휴대용 전화기,telefon przenośny,telefone portátil,bärbar telefon,便携电话
713-03-13,maritime mobile service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-13,خدمة  بحرية متنقلة,námořní pohyblivá služba,"mobiler Seefunkdienst, m",maritime mobile service,servicio móvil marítimo,merenkulun siirtyvä liikenne,"service mobile maritime, m",servizio mobile marittimo,海上移動業務,해상 이동 서비스,łączność morska ruchoma,serviço móvel marítimo,sjöfartsradio,海事移动业务
713-03-14,maritime mobile-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-14,خدمة متنقلة بحرية بالقمر الصناعي,námořní pohyblivá družicová služba,"mobiler Seefunkdienst über Satelliten, m",maritime mobile-satellite service,servicio móvil marítimo por satélite,merenkulun siirtyvä satelliittiliikenne,"service mobile maritime par satellite, m",servizio mobile marittimo satellitare,海上移動衛星業務,해상 이동 위성 서비스,łączność morska ruchoma przez satelitę łączność morska ruchoma satelitarna,serviço móvel marítimo por satélite,sjöfartsradio via satellit,海事卫星移动业务
713-03-15,coast station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-15,محطة ساحلية,pobřežní stanice,"Küstenfunkstelle, f",coast station,estación costera,rannikkoasema,"station côtière, f",stazione costiera,海岸局,해안국,stacja brzegowa,estação costeira,kuststation,海岸电台
713-03-16,port station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-16,محطة الميناء,přístavní stanice,"Hafenfunkstelle, f",port station,estación portuaria,satama-asema,"station portuaire, f",stazione costiera per servizio portuale,港務通信局,항만국,stacja portowa,estação portuária,hamnradiostation,港口电台
713-03-17,ship station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-17,محطة على السفينة,lodní stanice,"Seefunkstelle, f",ship station,estación de navío,laiva-asema,"station de navire, f",stazione di bordo (imbarcazione),船舶局,선박국,stacja okrętowa,estação de navio,fartygsstation,船舶电台
713-03-18,on-board (communication) station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-18,محطة (اتصال) على متن (سفينة),palubní (komunikační) stanice,"Funkstelle für den Funkverkehr an Bord, f",on-board (communication) station,estación de a bordo (de comunicaciones),aluksen sisäisen liikenteen asema,"station (de communications) de bord, f",stazione (per comunicazioni) di bordo per imbarcazioni,船上通信局船上局,선상 통신 국,stacja pokładowa porozumiewawcza stacja pokładowa,estação (de comunicações) de bordo,ombordkommunikationsstation,船上通信电台
713-03-19,ship's emergency transmitter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-19,جهاز إرسال للطوارىءعلى السفينة,lodní nouzový vysílač,"Schiffsnotsender, m",ship's emergency transmitter,transmisor de emergencia de navío,laivan hätälähetin,"émetteur de secours de navire, m",trasmettitore di soccorso per imbarcazione,船舶非常用送信機,선박 비상 송신기,nadajnik bezpieczeństwa okrętowy,emissor de socorro de navio,fartygsnödsändare,船舶应急发信机
713-03-20,distress frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-20,تردد الاستغاثة,nouzový kmitočet,"Notfrequenz, f",distress frequency,frecuencia de emergencia,hätätaajuus,"fréquence de détresse, f",frequenza di soccorso,遭難周波数,조난 주파수,częstotliwość bezpieczeństwa,frequência de socorro,nödfrekvens,遇险频率
713-03-21,aeronautical mobile service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-21,خدمه متنقلة جوية,letecká pohyblivá služba,"mobiler Flugfunkdienst, m",aeronautical mobile service,servicio móvil aeronaútico,ilmailun siirtyvä liikenne,"service mobile aéronautique, m",servizio mobile aeronautico,航空移動業務,항공 이동 서비스,łączność lotnicza ruchoma,serviço móvel aeronáutico,luftfartsradio,航空移动业务
713-03-22,aeronautical mobile-satellite service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-22,خدمة جوية متنقلة بالقمر الصناعي,letecká pohyblivá družicová služba,"mobiler Flugfunkdienst über Satelliten, m",aeronautical mobile-satellite service,servicio móvil aeronaútico por satélite,ilmailun siirtyvä satelliittiliikenne,"service mobile aéronautique par satellite, m",servizio mobile satellitare aeronautico,航空移動衛星業務,항공 이동 위성 서비스,łączność lotnicza ruchoma przez satelitę łączność lotnicza ruchoma satelitarna,serviço móvel aeronáutico por satélite,luftfartsradio via satellit,航空卫星移动业务
713-03-23,aeronautical station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-23,محطة طيران,letecká stanice,"Bodenfunkstelle, f",aeronautical station,estación aeronaútica,ilmailun tukiasema,"station aéronautique, f",stazione aeronautica,航空局,항공국,stacja naziemna łączności lotniczej,estação aeronáutica,luftfartsstation,航空电台
713-03-24,aircraft station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-24,محطة الطائرة,letadlová stanice,"Luftfunkstelle, f",aircraft station,estación de aeronave,ilma-alusasema,"station d'aéronef, f",stazione aeromobile,航空機局,비행기 무전국,stacja lotnicza,estação de aeronave,luftfartygsstation,航空器电台
713-03-25,survival craft station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-25,محطة طائرة النجاة,stanice záchranných prostředků,"Rettungsmittel-Funkstelle, f",survival craft station,estación de aeronave de salvamento,pelastusaluksen radioasema,"station d'engin de sauvetage, f",stazione di soccorso di bordo,救命浮機局,구명 이동국,stacja służby ratowniczej,estação de embarcação de sobrevivência,räddningsfarkoststation,营救器电台
713-03-26,emergency position-indicating radio beacon,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-26,منارة راديوية لبيان الموقع عند الطوارىء,nouzový poziční rádiový majákEPIRB,"Notfunkbake, f",emergency position-indicating radio beaconEPIRB (abbreviation),radiobaliza de emergencia que indica la posición,hätäradiomajakka,"radiobalise de localisation des sinistres, fRLS  (abréviation) f",radiofaro di emergenza indicante la posizione,"非常用位置指示無線標識EPIRB, （略語）",비상 위치 지시 무선 표지이피아이아르비,nadajnik radiowy określający pozycję w przypadku niebezpieczeństwa,radiobaliza de localização de sinistros,positionsangivande nödradiofyr,应急示位无线电信标EPIRB
713-03-27,cellular system (in radiocommunication),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-27,نظام خلوي (في الاتصالات الراديوية),"buňkový systém, <v radiokomunikacích>","Zellennetz, <im Funkverkehr> n",cellular system (in radiocommunication),sistema celular,solukkojärjestelmä,système cellulaire (en radiocommunication) m,sistema cellulare (nelle radiocomunicazioni),"セルラシステム, <無線通信における>","이동전화 시스템, <무선통신>셀룰러 시스템통화구역 방식",system komórkowy,sistema celular (em radiocomunicação),cellsystem,"蜂窝系统, <无线电通信中的>"
713-03-28,cell (in radiocommunication),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-28,خلية (في الاتصالات الراديوية),"buňka, <v radiokomunikacích>","Zelle, <im Funkverkehr> f",cell (in radiocommunication),célula,solu,cellule (en radiocommunication) f,cella (nelle radiocomunicazioni),"セル, <無線通信における>","셀, <무선통신>",komórka,célula (em radiocomunicação),cell,"小区, <无线电通信中的>"
713-03-29,handover (in radiocommunication),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-03-29,تمرير(في الاتصالات الراديوية),"předání, <v radiokomunikacích>","Übergabe, <im Funkverkehr> f",handover (in radiocommunication)hand-off  (in radiocommunication),transferencia,kanavanvaihto,transfert (en radiocommunication) m,hand-off (nelle radiocomunicazioni)handover (nelle radiocomunicazioni),"ハンドオーバ, <無線通信における>ハンドオフ, <無線通信における>","통화 채널 전환, <무선통신>핸드오버, <무선통신>핸드 오프, <무선통신>",przekazywanie łączności (w radiokomunikacji),transferência (em radiocomunicação),överräckning,"切换, <无线电通信中的>"
