term_id,term,term_url,ar,de,en,fr,it,ja,ko,pl,pt,sv,zh
891-02-04,neuromuscular junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-04,ملتقى عصبى عضلى,"neuromuskuläre Endplatte, f",neuromuscular junction,"jonction neuromusculaire, f",giunzione neuromuscolare,神経筋接合部,신경근접합,złącze nerwowo-mięśniowe,junção neuromuscular,motorändplatta,神经肌肉节头
891-02-05,neuron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-05,خلية عصبية,"Neuron, n",neuron,"neurone, m",neurone,ニューロン軸索,신경 소자,neuron,neurónio,axonnervcellnervtråd,神经元
891-02-06,sensory neuron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-06,خلية عصبية حسية,"Sinnesneuron, nafferentes Neuron, n",sensory neuronafferent neuron,"neurone sensoriel, mneurone afférent, m",neurone sensoriale,感覚神経末梢神経,감각 신경,neuron czuciowy neuron dośrodkowy neuron doprowadzający neuron aferentny,neurónio sensorialneurónio aferente,sensorisk neuron,感觉神经元传入神经元
891-02-07,efferent neuron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-07,خلية عصبية ناقلة,"efferentes Neuron, n",efferent neuron,"neurone efférent, m",neurone efferente,遠心ニューロン,원심성 신경원심성 뉴런,neuron odśrodkowy neuron odprowadzający neuron eferentny,neurónio eferente,efferent neuron,传出神经元
891-02-08,motoneuron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-08,خلية عصبية حركية,"Motoneuron, n",motoneuronmotor neuron,"motoneurone, mneurone moteur, m",motoneurone,運動神経,운동신경,neuron ruchowy neuron motoryczny,motoneurónioneurónio motor,motorneuron,运动神经元
891-02-09,node of Ranvier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-09,عقدة رانفيه,"Ranvier-Schnürring, m",node of Ranvier,"noeud de Ranvier, m",nodo di Ranvier,ランビエ節,랑비에결절,przewężenie Ranviera węzeł Ranviera,nó de Ranvier,Ranviersk insnörning,郎飞氏结
891-02-10,saltatory conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-10,توصيل وثاب,"saltatorische Leitung, f",saltatory conduction,"conduction saltatoire, f",conduzione saltatoria,跳躍伝導,도약도전,przewodzenie skokowe,condução saltatória,saltatorisk fortledning,跳跃式传导
891-02-11,pacemaker (in electrophysiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-11,ضابط النبض ( فى علم الظواهر الكهربائية لوظائف الأعضاء),"Schrittmacher, <in der Elektrophysiologie> mbiologischer Stimulator, m",pacemaker (in electrophysiology)biological stimulator,"stimulateur biologique, m",stimolatore cardiaco,ペースメーカ,"심박조율기, 전기생리학",stymulator biologiczny węzeł bodźcowy,estimulador biológico,biologisk pacemaker,"起搏器, <电生理学><相关条目：IEV:891-05-03>生物刺激器"
891-02-12,current clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-12,اداة تثبيت التيار( فى علم الظواهر الكهربائية لوظائف الأعضاء),"Stromgenerator, <in der Elektrophysiologie> m",current clampconstant-current generator  (in electrophysiology),générateur de courant électrique constant (en électrophysiologie) m,current clamp,定電流源電流固定,전류 고정정전류 발생기전류 클램프,źródło prądowe (w elektrofizjologii),controlador de correntegerador de corrente eléctrica controlada (em electrofisiologia),konstantströmsgenerator,"电流钳恒流发生器, <电生理学>"
891-02-13,voltage clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-13,اداة تثبيت الجهد( فى علم الظواهر الكهربائية لوظائف الأعضاء),"Spannungsgenerator, <in der Elektrophysiologie> m",voltage clampconstant-voltage generator  (in electrophysiology),générateur de tension électrique constante (en électrophysiologie) m,voltage clamp,電圧クランプ装置,전압 고정정전압 발생기전압 클램프,źródło napięciowe (w elektrofizjologii),controlador de tensãogerador de tensão eléctrica controlada (em electrofisiologia),konstantspänningsgenerator,"电压钳恒压发生器, <电生理学>"
891-02-14,extracellular potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-14,جهد خارج الخلية,"extrazellulares Potential, n",extracellular potential,"potentiel extracellulaire, m",potenziale extracellulare,細胞外電位,세포외 전위,potencjał zewnątrzkomórkowy,potencial extracelular,extracellulär potential,胞外电位
891-02-15,intracellular potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-15,جهد داخل الخلية,"intrazellulares Potential, n",intracellular potential,"potentiel intracellulaire, m",potenziale intracellulare,細胞内電位,세포내 전위,potencjał wewnątrzkomórkowy,potencial intracelular,intracellulär potential,胞内电位
891-02-16,transepithelial potential difference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-16,فرق جهد ظاهرى,"transepitheliale Potentialdifferenz, f",transepithelial potential difference,"différence de potentiel transépithéliale, f",differenza di potenziale transepitediale,経上皮電位差,상피전위차,różnica potencjałów nabłonkowych,diferença de potencial transepitelial,epitelpotential,经上皮电位差
891-02-17,transmembrane potential difference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-17,جهد الغشاء,"transmembrane Potentialdifferenz, fMembranpotential, n",transmembrane potential differencemembrane potential,"différence de potentiel transmembranaire, fpotentiel de membrane, m",differenza di potenziale transmembranale,膜電位,막전위차,różnica potencjałów membranowych,diferença de potencial transmembranarpotencial de membrana,membranpotential,跨膜电位差膜电位
891-02-18,resting potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-18,جهد السكون,"Ruhepotential, n",resting potential,"potentiel de repos, m",potenziale di riposo,静止電位,정지 전위,potencjał spoczynkowy,potencial de repouso,vilopotential,静息电位
891-02-19,depolarization (in electrophysiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-19,زوال الاستقطاب ( في علم الظواهر الكهربائية لوظائف الأعضاء )إزالة الإستقطاب,"Depolarisation, <in der Elektrophysiologie> f",depolarization (in electrophysiology),dépolarisation (en électrophysiologie) f,depolarizzazione,脱分極,"탈분극, 전기생리학",depolaryzacja (w elektrofizjologii),despolarização (em electrofisiologia),depolarisation,"去极化, <电生理学>"
891-02-20,repolarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-20,إعادة الإستقطاب,"Repolarisation, f",repolarization,"repolarisation, f",ripolarizzazione,再分極,재분극,repolaryzacja,repolarização,repolarisation,复极化
891-02-21,Donnan potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-21,جهد دونان,"Donnan-Potential, n",Donnan potential,"potentiel de Donnan, m",potenziale di Donnan,ドナンの膜電圧,돈난 전위,potencjał Donnana,potencial de Donnan,Donnan-potential,道南电位
891-02-22,Nernst potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-22,جهد نرنست,"Nernst-Potential, n",Nernst potential,"potentiel de Nernst, m",potenziale di Nernstpotenziale nersntiano,ネルンスト電位,네른스트 전위,potencjał Nernsta,potencial de Nernst,Nernst-potential,能斯特电位
891-02-23,depolarization front,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-23,مقدمة زوال الاستقطاب,"Depolarisationsfront, f",depolarization front,"front de dépolarisation, m",fronte di polarizzazione,脱分極曲線,탈분극 전면,czoło polaryzacji,frente de despolarização,depolarisationsfront,去极化波前
891-02-24,action potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-24,جهد الفعل,"Aktionspotential, n",action potential,"potentiel d'action, m",potenziale d'azione,活動電位,활동 전위,potencjał czynnościowy,potencial de acção,aktionspotential,动作电位
891-02-25,compound action potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-25,جهد الفعل المركب,"Summenaktionspotential, n",compound action potential,"potentiel d'action composé, m",potenziale d'azione composto,複合活動電位,복합 활동 전위,potencjał czynnościowy złożony,potencial de acção composto,sammansatt aktionspotential,复合动作电位
891-02-26,spike train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-26,نبضات جهد فعل متتابعة,"Nadelimpulsfolge, f",spike train,.....,treno di potenziali d'azionetreno di spike,スパイク列,스파이크 열활동전위 열,ciąg impulsów szpilkowych sekwencja impulsów szpilkowych,trem de picos,impulståg,峰电位串
891-02-27,propagated potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-27,جهد منتشر,"fortgeleitetes Aktionspotential, nfortgeleitetes Potential, n",propagated potentialpropagated spike,"potentiel propagé, m",potenziale propogato,伝導電位,전파 전위,potencjał wędrujący,potencial propagado,fortplantad potential,扩布电位
891-02-28,non-propagated potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-28,جهد غير منتشر,"nichtfortgeleitetes Aktionspotential, nnichtfortgeleitetes Aktionspotential, n",non-propagated potential,"potentiel non propagé, m",potenziale non propagato,非伝導電位,비도전 전위비전파 전위,potencjał nie wędrujący,potencial não propagado,icke fortplantad potential,非扩布电位
891-02-29,summation potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-29,جهد مجمع,"Summationspotential, n",summation potential,"potentiel de sommation, m",potenziale di sommmapotenziale sommativo,加重電位,가중 전위,potencjał sumacyjny,potencial de somação,summapotential,总和电位
891-02-30,evoked potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-30,جهد التنبيه,"evoziertes Potential, n",evoked potential,"potentiel évoqué, m",potenziale evocato,誘発電位,유발 전위,potencjał wzbudzony,potencial evocado,reaktionspotential,诱发电位
891-02-31,electrical nerve-block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-31,عائق عصب كهربائى,"elektrischer Nervenblock, m",electrical nerve-block,"barrière électrique du nerf, f",barriera elettrica al nervo,神経伝導の電気遮断,전기 신경차단,blokada elektryczna nerwu,barreira eléctrica do nervo,elektrisk nervblockad,神经电阻滞
891-02-32,test stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-32,منبهات إختبار,"Prüfreiz, m",test stimulus,"stimulus d'essai, m",stimolo di teststimolo di saggio,テスト刺激,시험 자극,bodziec próbny,estímulo de ensaio,provretning,测试刺激
891-02-33,conditioning stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-33,منبهات مكيفة,"Bestimmungsreiz, m",conditioning stimulus,"stimulus de conditionnement, m",stimolo di condizionamentostimolo condizionante,条件付け刺激,조건화 자극,bodziec przygotowujący bodziec usprawniający,estímulo de condicionamento,konditionerande retning,条件刺激
891-02-34,threshold (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-34,عتبة  (في الكهروحيوية )بدء - مبدئ,"Schwellenwert, <in der Elektrobiologie> mReizschwelle, fSchwelle, f",threshold (in electrobiology)limen (deprecated in this sense),"seuil (en électrobiologie) mlimen, m",soglia,閾値,"문턱값, 전기생물학",próg (w elektrobiologii),limiar (em electrobiologia),retningströskel,"阈值, <生物电学>"
891-02-35,electrical sensitivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-35,حساسية كهربائية,"elektrische Empfindlichkeit, f",electrical sensitivity,"sensibilité électrique, f",elettrosensibilità,電気的感受性,전기적 감도전기적 감수성,czułość elektryczna,sensibilidade eléctrica,elektrisk sensitivitet,电敏感性
891-02-36,liminal stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-36,ادنى قوة لتحقيق الاثارة,"Schwellenreiz, m",liminal stimulus,"stimulus liminal, m",stimolo liminale,閾値刺激,한계자극문턱자극,bodziec progowy,estímulo liminar,tröskelretning,阈刺激
891-02-37,electrical excitability (in neurophysiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-37,قابلية االاستجابة للإثارة  الكهربائية ( فى علم وظائف الأعصاب),"elektrische Erregbarkeit, <in der Neurophysiologie> f",electrical excitability (in neurophysiology),excitabilité électrique (en neurophysiologie) f,eccitabilità elettrica,電気興奮性,"전기적 흥분성, 신경생리학",pobudliwość elektryczna (w neurofizjologii),excitabilidade eléctrica (em neurofisiologia),elektrisk retbarhet,"电兴奋性, <神经生理学>"
891-02-38,excitability curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-38,منحنى الإثارة,"Erregbarkeitskurve, f",excitability curve,"courbe d'excitabilité, f",curva d'eccitabilità,興奮曲線,흥분곡선,krzywa pobudliwości,curva de excitabilidade,retbarhetskurva,兴奋性曲线
891-02-39,time-intensity curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-39,منحنى تغير الشدة مع الزمن,"Zeit-Intensitäts-Kurve, fStärke-Dauer-Kurve, f",time-intensity curvestrength-duration curve,"courbe temps-intensité, fcourbe force-durée, f",curva intensità-tempo,強さ期間曲線,시간강도 곡선,krzywa czasowa natężenia,curva tempo-intensidadecurva força-duração,ström-tidkurva,时间-强度曲线
891-02-40,rheobase,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-40,حد أدنى لتيار الإثارة,"Rheobase, f",rheobase,"rhéobase, f",reobase,基電流,기전류,reobaza,réobase,reobas,基强度
891-02-41,chronaxie,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-41,كروناكس (وحدة زمنية),"Chronaxie, f",chronaxie,"chronaxie, f",cronassia,時値,전기시치크로낙시,chronaksja,cronaxia,kronaxi,时值
891-02-42,latency (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-42,كمون ( فى علم الكهروحيوية),"Latenz, <in der Elektrobiologie> f",latency (in electrobiology),latence (en électrobiologie) f,latenza,潜時,"잠재기, 전기생물학",latencja (w elektrobiologii) utajenie,latência (em electrobiologia),latens,"潜伏期, <生物电学><相关条目：IEV:891-02-43>"
