term_id,term,term_url,de,en,es,fr,ja,ko,nl,pl,pt,sr,zh
903-03-02,adjacent surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-02,"angrenzende Oberfläche, f",adjacent surface,superficie adyacente,"surface adjacente, f",隣接表面,인접 표면,"aangrenzend oppervlak, n","powierzchnia przylegająca, f",superfície adjacente,"суседна површина, ж јд",相邻表面
903-03-03,arm’s reach,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-03,"Handbereich, m",arm’s reach,al alcance de la mano,"à portée, adj",手の届く距離,손 닿는 거리,"handbereik, n","zasięg ręki, m",alcance do braço,"дохват руке, м јд",伸臂范围
903-03-04,touchable surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-04,"berührbare Oberfläche, f",touchable surfaceaccessible surface,superficie tocable,"surface pouvant être touchée, fsurface accessible, f",可触高温表面,접촉가능 표면,"aanraakbaar oppervlak, n","powierzchnia dotykalna, f",superfície tocável,"површина која се може додирнути, ж јдприступачна површина, ж јд",可接触表面
903-03-05,contact period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-05,"Berührungsdauer, f",contact period,periodo de contacto,"durée de contact, f",接触時間,접촉 시간,"contactduur, m","czas trwania kontaktu, <z powierzchnią> m",período de contacto,"контактни период, м јд",接触时间
903-03-06,skin temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-06,"Hauttemperatur, f",skin temperature,temperatura de la piel,"température de la peau, f",皮膚温度,피부 온도,"huidtemperatuur, f","temperatura obszaru naskórkowego, f",temperatura da pele,"температура коже, ж јд",皮肤温度
903-03-07,surface temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-07,"Oberflächentemperatur, f",surface temperature,temperatura superficial,"température de surface, f",表面温度,표면 온도,"oppervlaktetemperatuur, foppervlaktemperatuur, f","temperatura powierzchni, f",temperatura superfícial,"температура површине, ж јд",表面温度
903-03-08,burn threshold,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-08,"Verbrennungsschwelle, f",burn threshold,umbral de quemadura,"seuil de brûlure, m",火傷閾値,화상 문턱값화상 임계값,"verbrandingsdrempel, m","próg oparzenia, m",limiar de queimadura,"праг паљења, м јд",烧伤阈值灼伤阈值
903-03-09,thermal inertia,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-09,"thermische Trägheit, f",thermal inertia,inercia térmica,"inertie thermique, f",熱慣性,열 관성,"thermische traagheid, f","bezwładność cieplna, f",inércia térmica,"термичка инерција, ж јд",热惯量
903-04-01,required withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-01,"erforderliche Stehspannung, f",required withstand voltage,tensión soportada requerida,"tension de tenue prescrite, f",要求耐電圧,요구 내전압,"vereiste spanningsvastheid, f","wymagane napięcie wytrzymywane, n",tensão suportável requerida,"захтевани подносив напон, м јд",要求的耐受电压
903-04-02,peak working voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-02,"Betriebs-Scheitelspannung, f",peak working voltage,cresta de tensión de trabajo,"valeur de crête de la tension de service, ftension de service crête, f",ピーク動作電圧,마루 작동 전압첨두 작동 전압,"piekbedrijfsspanning, f","napięcie robocze szczytowe, n",pico da tensão de trabalho,"вршни радни напон, м јд",峰值工作电压
903-04-03,mains transient voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-03,"transiente Spannung aus dem Versorgungsstromkreis, f",mains transient voltage,tensión transitoria de red,"tension transitoire du réseau d’alimentation, f",主電源過渡電圧,주전원 과도전압,"transiënte spanning vanuit het voedingsnet, f","napięcie przejściowe sieci zasilającej, n",tensão transitória da rede de alimentação,"мрежни напон прелазног стања, м јд",电源瞬态电压
903-04-04,potential ignition source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-04,"potenzielle Zündquelle, fPIS, f",potential ignition sourcePIS,fuente de ignición potencial,"source potentielle d’incendie, fPIS, f",潜在的発火源 PIS,잠재 발화원잠재 착화원,"potentiële ontstekingsbron, f","potencjalne źródło zapłonu, nPIS",fonte  potencial de ignição,"потенцијални извор паљења, м јд",潜在着火源
903-04-05,resistive potential ignition source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-05,"resisitive PIS, f",resistive potential ignition sourceresistive PIS,fuente de ignición potencial resistiva,"source potentielle d’incendie causé par un phénomène de résistivité, f",抵抗性潜在的発火源 抵抗性PIS,저항성 잠재 발화원저항성 잠재 착화원,"potentiële resistieve ontstekingsbron, f","potencjalne źródło zapłonu rezystancyjne, nPIS rezystancyjne",fonte  potencial de ignição resistiva,"отпорни потенцијални извор паљења, м јд",电阻性潜在着火源
903-04-06,movable equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-06,"bewegbares Gerät, n",movable equipment,equipo móvil,"équipement déplaçable, m",可動形機器,가동형 장비가동형 기기,"verplaatsbare uitrusting, f","urządzenie ruchome, nurządzenie przenośne, n",equipamento móvel,"преносна опрема, ж јд",可移动式设备
903-04-07,direct plug-in equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-07,"Steckergerät, n",direct plug-in equipment,equipo directamente enchufable,"équipement à enficher directement, mmatériel enfichable directement, m",ダイレクトプラグイン機器,직접 플러그인 장비직접 플러그인 기기,"stekerbare uitrusting, f","urządzenie  włączane bezpośrednio, <do sieci> n",equipamento diretamente enfichável,"опрема са директним утикачем, ж јд",直接插入式设备
903-04-08,pluggable equipment type A,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-08,"Gerät mit Steckanschluss Typ A, n",pluggable equipment type A,equipo enchufable tipo A,"équipement enfichable de type A, mmatériel du type A raccordé par prise de courant, m",タイプAプラグ接続形機器,A 형식 플러그접속형 기기,"stekerbare uitrusting type A, fhuishoudelijke stekerbare uitrusting, f","urządzenie podłączane typu A, n",equipamento enfichável do tipo A,"опрема утичног типа А, ж јд",A型可插式设备
903-04-09,pluggable equipment type B,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-09,"Gerät mit Steckanschluss Typ B, n",pluggable equipment type B,equipo enchufable tipo B,"équipement enfichable de type B, mmatériel du type B raccordé par prise de courant, m",タイプBプラグ接続形機器,B 형식 플러그접속형 기기,"stekerbare uitrusting type B, fniet-huishoudelijke stekerbare uitrusting, f","urządzenie podłączane typu B, n",equipamento enfichável do tipo B,"опрема утичног типа Б, ж јд",B型可插式设备
903-04-10,fire enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-10,"Brandschutzumhüllung, f",fire enclosure,envolvente para el fuego,"enveloppe ignifuge, f",防火用エンクロージャ,화재 외함,"brandwerend omhulsel, n","obudowa ognioodporna, fobudowa przeciwpożarowa, f",invólucro ignífugo,"противпожарно кућиште, с јд",防火外壳
903-04-11,mechanical enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-11,"Umhüllung gegen mechanische Gefahren, f",mechanical enclosure,envolvente mecánica,"enveloppe mécanique, f",機械的エンクロージャ,기계적 외함,"omhulsel ter bescherming tegen mechanische gevaren, nmechanisch omhulsel, n","obudowa zabezpieczająca, <mechanicznie> f",invólucro mecânico,"механичко кућиште, с јд",机械防护外壳
903-04-12,non-detachable power supply cord,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-12,"nichtabnehmbare Anschlussleitung zum Versorgungsstromkreis, f",non-detachable power supply cord,cable de alimentación de potencia no desmontable,"câble d’alimentation fixé à demeure, m",非着脱式電源コード,비착탈식 전원 코드,"niet-afneembare voedingskabel, mvaste voedingskabel, m","przewód zasilający nierozłączny, m",cabo de alimentação não destacável,"неодвојив савитљиви кабл за напајање, с јд",不可拆卸电源软线
903-04-13,safety interlock,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-13,"Sicherheitsverriegelung, f",safety interlock,enclavamiento de seguridad,"verrouillage de sécurité, m",安全インタロック,안전 연동 장치안전 인터록,"veiligheidsvergrendeling, f","blokada bezpieczeństwa, <zasilania> f",encravamento de segurança,"безбедносно блокирање, с јд",安全联锁
903-04-14,solid insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-14,"feste Isolierung, f",solid insulation,,"isolation solide, f",固体絶縁,고체 절연,"vaste isolatie, f",,isolação sólida,"чврста изолација, ж јд",固体绝缘
903-04-15,TNV circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-04-15,"TNV-Stromkreis, m",TNV circuit,circuito TNV,"circuit TRT, m",TNV回路,티엔브이 회로전기통신망 전압 회로,"TNV-stroombaan, f","obwód pracujący pod napięciem sieci telefonicznej, mobwód TNV, m",circuito TNV,"TNV коло, с јд",通信网络电压电路TNV电路
903-05-01,material flammability class,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-05-01,"Werkstoff-Entflammbarkeitsklasse, f",material flammability class,clase de inflamabilidad del material,"classe d’inflammabilité du matériau, f",材料の燃焼性区分,재료 연소성 등급재료 가연성 등급,"materiaalontvlambaarheidsklasse, fmateriaalontvlambaarheidscategorie, f","klasa palności materiału, f",classe de inflamabilidade do material,"класа запаљивости материјала, ж јд",材料可燃性等级
