term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
605-02-08,busbar section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-08,مقطع قضيب تجميع,"Sammelschienenabschnitt, m",busbar section,sector de barras,kisko-osuus,"tronçon d'un jeu de barres, m",tronco di sistema di sbarre,母線バーセクション,모선 영역,систем шинийн секц,sekcja systemu szyn zbiorczych,troço de barramento,odsek zbiralke,"секција сабирнице, ж јд",samlingsskenesektion,母线段
605-02-09,bay (of a substation),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-09,خلية (فى محطات المحولات),"Feld, n",bay (of a substation),celda (de una subestación)módulo (de una subestación)posición (de una subestación),kenttäkenno,"cellule (d'un poste), ftravée, fchamp (B-CH) m",stalle (di una stazione),ベイ,"구획, <변전소>","ячейк, <дэд станцын>",pole rozdzielni pole,painel,polje (postaje)celica,"поље, <подстанице> с јдћелија, <подстанице> ж јд",ställverksfack,"间隔, <变电站的>"
605-02-10,feeder bay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-10,خلية مغذى,.....,feeder bay,salida (sentido general),syöttökenttäsyöttökenno,départ (sens général) m,linea in partenza (in sensogenerale),給電線ベイ,급전선 구획,гаргалга шугамын ячейк,pole odejściowe odejście,saída (sentido lato),napajalno polje (postaje),"напојно поље, с јд",matningsfack,馈线间隔
605-02-11,outgoing feeder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-11,مغذى خروج,"Abgangsfeld, n",outgoing feeder,salida (sentido restringido),lähtökenttälähtökenno,départ (sens restreint) m,linea in partenza (in senso stretto) (linea in arrivo),出力給電線,인출 급전선,гаргалга шугам,pole odpływowe,saída (sentido restrito),odvodno polje,"излазнo поље, с јд",utmatningsfack,出线馈线
605-02-12,incoming feeder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-12,مغذى دخول,"Speisefeld, n",incoming feeder,llegada (sentido restringido),tulokenttätulokenno,arrivée (sens restreint) f,linea in partenza (in senso stretto) (linea in arrivo),入力給電線,인입 급전선,оруулга шугам,pole dopływowe,chegada,dovodno polje,"улазнo поље, с јд",inmatningsfack,进线馈线
605-02-13,open-type substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-13,محطة محولات من النوع المفتوح,"Station in offener Bauweise, f",open-type substation,subestación abierta,avosähköasema,"poste ouvert, mposte dans l'air (déconseillé dans ce sens) m",stazione in aria,開放型変電所,개방형 변전소,нээлттэй төрлийн дэд станц,rozdzielnia otwarta,posto aberto,postaja odprte izvedbe,"постројење отвореног типа, с јд",öppet ställverk,敞开式变电站
605-02-14,gas insulated metal-enclosed substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-14,محطة محولات معزولة بالغاز,"gasisolierte, metallgekapselte Station, f",gas insulated metal-enclosed substation,subestación blindada con aislamiento gaseoso,kaasueristeinen sähköasema,"poste sous enveloppe métallique à isolation gazeuse, m",stazione con involuero metallice a isolamento gassoso,ガス絶縁金属密封変電所,가스 절연 금속 폐쇄 변전소,"хийн тусгаарлагатай, металл хаалттай дэд станц",rozdzielnia osłonięta o izolacji gazowejrozdzielnia gazowa,posto com invólucro metálico e isolamento gasoso,kovinsko oklopljena postaja s plinsko izolacijo,"оклопљено постројење, с јдгасом изоловано постројење са металним оклопом , с јд",gasisolerat ställverk,气体绝缘金属封闭变电站
605-02-15,indoor substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-15,محطة محولات داخل مبنى,"Innenraumstation, f",indoor substation,subestación interior,sisäasema,"poste intérieur, m",stazione all’interno,屋内変電所,옥내 변전소,хаалттай дэд станц,stacja wnętrzowa  rozdzielnia wnętrzowa,posto interior,notranja postaja,"постројење у затвореном простору, с јд",inomhusställverk,户内变电站
605-02-16,outdoor substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-16,محطة محولات خارج مبنى,"Freiluftstation, f",outdoor substation,subestación exterior,ulkoasema,"poste extérieur, m",stazione all’estemo,屋外変電所,옥외 변전소,ил дэд станц,stacja napowietrzna rozdzielnia napowietrzna,posto exterior,zunanja postaja,"постројење на отвореном простору, с јд",utomhusställverk,户外变电站
605-02-17,kiosk substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-17,محطة محولات داخل كشك,"Kompaktstation, f",kiosk substation,subestación compactasubestación de cabina,koppiasema,"poste en cabine, mposte compact, m",cabina,キオスク変電所,키오스크 변전소,иж бүрдэл дэд станц,stacja kioskowa,posto compactoposto em cabina,kompaktna postaja,"компактно постројење, с јд",kioskstation,配电小间
605-02-18,underground substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-18,محطة محولات تحت الأرض,"Unterflurstation, f",underground substationvault substation,subestación subterránea,maanalainen sähköasema,"poste souterrain, m",cabina sotterraneo,地下変電所,지하 변전소,газар доорх дэд станц,stacja podziemna,posto subterrâneo,podzemna postaja,"подземно постројење, с јд",underjordsstation,地下变电站
605-02-19,pole-mounted substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-19,محطة محولات على عامود,"Maststation, f",pole-mounted substation,subestación sobre poste,pylväsasema,"poste sur poteau, m",cabina da palo,ポールマウント変電所,주상 변전소,тулгуур дээр суурилуулдаг дэд станц,stacja słupowa,posto aéreo,stebrska postaja,"стубна трафостаница, ж јд",stolpstation,柱上配电台
605-02-20,substation structures,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-20,هياكل محطة فرعية,"Gerüste, n, pl",substation structures,estructura de la subestación,sähköaseman telineistö,"charpentes de poste, f pl",carpenteria di stazione,変電所構造,변전소 구조물,дэд станцын байгууламж,konstrukcje stacyjne wsporcze,estruturas do posto,ogrodje postaje,"носећа конструкција постројења, ж јд","stativ, stolpar och reglarställverksstål",变电站构架
605-02-21,rigid busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-21,قضيب تجميع صلب,"Profilsammelschiene, f",rigid busbar,barra rígida,jäykkä kisko,"barre rigide, f",sbarra rigida,リジッド母線バー,강 모선,хатуу шин,szyny sztywne,barra rígida,toga zbiralka,"крута сабирница, ж јд",stel samlingsskena,硬母线
605-02-22,flexible busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-22,قضيب تجميع مرن,"Seilsammelschiene, f",flexible busbar,barra flexiblebarra tensada,köysikisko,"barre tendue, f",sbarra tesa,フレキシブル母線バー,유연 모선,уян шин,szyny giętkie,barra tendida,upogljiva zbiralkafleksibilna zbiralka,"савитљива сабирница, ж јд",kabelsamlingsskenalinsamlingsskena,软母线
605-02-23,phase-to-phase clearance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-23,الخلوص بين طور وطور,"Abstand Leiter-Leiter, m",phase-to-phase clearance,distancia entre fases,vaiheiden välinen vapaa etäisyys,"distance entre phases, f",distanza fra le fasi,位相間クリアランス,상 간 이격 거리,фаз хоорондын клиренс зайфаз хоорондын агаарын тусгаарлах зай,odstęp między przewodami fazowymi,distância entre fases,medfazna razdalja,"ваздушни размак између фаза, м јд",fasavstånd,相间净距
605-02-24,phase-to-earth clearance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-24,الخلوص بين طور وأرض,"Abstand Leiter-Erde, m",phase-to-earth clearance,distancia a tierra,vaiheen ja maan välinen vapaa etäisyys,"distance à la masse, f",distanza verso massa,対地クリアランス,상 대지 간 이격 거리,фаз ба газар хоорондын клиренс зайфаз ба газар хоорондын агаарын тусгаарлах зай,odstęp doziemny,distância à massa,dozemna razdalja,"ваздушни размак између фазе и земље, м јд",jordavstånd,相对地净距
605-02-25,working clearance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-25,مسافة العمل الآمنة,"Schutzabstand, m",working clearance,distancia de trabajo,turvallinen työetäisyys,"distance de travail, f",distanza di lavoro,作業時クリアランス,작업 안전 거리작업 이격 거리,ажлын үед баримтлах клиренс зайажлын үед баримтлах агаарын тусгаарлах зай,odstęp bezpieczny (przy pracy ludzi),distância de trabalho,varnostna razdalja,"радни ваздушни размак, м јд",säkerhetsavstånd,作业净距
605-02-26,cable trough (in a substation),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-26,مجرى الكابلات (في محطة محولات),"Kabelkanal, m",cable trough (in a substation),canal de cables (en una subestación)zanja de cables,kaapelikanava,caniveau à câbles (dans un poste) m,cunicolo cavi (in una stazione),ケーブルトラフ,"케이블 트로프, <변전소>케이블 홈통, <변전소>","кабелийн суваг, <дэд станцын>",kanał kablowy (w stacji),caleira de cabos (num posto),kabelski kanal,"кабловски канал , <у постројењу> м јд",kabelkanal,"电缆槽道, <变电站的>"
605-02-27,cable duct (in a substation),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=605-02-27,انبوب الكابل في محطة محولات,"Kabelrohr, n",cable duct (in a substation),conducto de cables,kaapeliputki,buse à câble (dans un poste) ffourreau à câble (dans un poste) m,condotto cavi (in una stazione),ケーブル管路,"케이블 덕트, <변전소>","кабель явуулах хоолой, <дэд станцын>",przepust kablowy rurowy (w stacji),conduta de cabos (num posto),kabelska cev,"кабловска цев , <у постројењу> ж јд",kabelrör,"电缆管道, <变电站的>"
