term_id,term,term_url,ar,en,es,fr,it,ja,ko,pl,pt,sv,zh
431-04-06,complete bridge connection (of an auto self-excited transductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-06,توصيلة قنطرة كاملة,complete bridge connection (of an auto self-excited transductor),montaje en puente completo (de un transductor de autoexcitación directa),montage (redresseur) en pont complet (d'un transducteur à auto-saturation) m,Montaggio come raddrizzatore a ponte completo,完全ブリッジ接続,"완전 브리지 연결, <자동 자체 여자 자기식 변환기>",układ transduktora pełnomostkowy,montagem (rectificadora) em ponte completa (de um transductor autossaturado),(sparsjälvmagnetiserad transduktor i) fullbrygge koppling,"完全桥连接, <自动自励磁饱和电抗器的>"
431-04-07,incomplete bridge connection (of an auto self-excited transductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-07,توصيلة قنطرة غير كاملة,incomplete bridge connection (of an auto self-excited transductor),montaje en puente incompleto (de un transductor de autoexcitación directa),montage (redresseur) en pont ouvert (d'un transducteur à auto-saturation) m,Montaggio come raddrizzatore  a ponte aperto,不完全ブリッジ接続,"불완전 브리지 연걸, <자동 자체 여자 자기식 변환기>",układ transduktora niepełnomostkowy,montagem (rectificadora) em ponte incompleta (de um transductor autossaturado),(sparsjälvmagnetiserad transduktor i) ofullständig bryggkoppling,"不完全桥连接, <自动自励磁饱和电抗器的>"
431-04-08,free current operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-08,تشغيل تيار حر,free current operationnatural excitation,funcionamiento con corrientes independientes,"fonctionnement à courants harmoniques indépendants, m",funzionamento con armoniche di correnti indipendenti,自由電流動作,자유 전류 작동,działanie swobodne,funcionamento com correntes (harmónicas) independentes,friströmsdrift,非限电流操作自由电流操作
431-04-09,constrained current operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-09,تشغيل  تيار مقيد,constrained current operationforced excitation,funcionamiento con corrientes dependientes,"fonctionnement à courants harmoniques dépendants, m",funzionamento con armoniche di correnti dipendenti,制限電流動作,제한 전류 작동강제 여자,działanie wymuszone,funcionamento com correntes (harmónicas) dependentes,strömstyv drift,限电流操作
431-04-10,voltage controlling transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-10,محول حثي متحكم بالجهد,voltage controlling transductor,transductor de control de tensión,"transducteur de réglage en tension, m",transduttore regolatore di tensione,電圧制御トランスダクタ,전압 제어 자기식 변환기,transduktor sterowany napięciowo,transductor regulador de tensão,spänningsstyrande transduktor,电压控制饱和电抗器
431-04-11,current controlling transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-11,محول حثي متحكم بالتيار,current controlling transductor,transductor de control de corriente,"transducteur de réglage en courant, m",transduttore regolatore di  corrente,電流制御トランスダクタ,전류 제어 자기식 변환기,transduktor sterowany prądowo,transductor regulador de corrente,strömstyrande transduktor,电流控制饱和电抗器
431-04-12,half-cycle transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-12,محول ( حثي )  نصف دورة,half-cycle transductor,transductor de semiperíodo,"transducteur magnétique à demi-période, m",trasduttore magnetico  a mezzo periodo,半サイクルトランスダクタ,반사이클 자기식 변환기,transduktor półokresowy,transductor magnético de semiperíodo,halvperiodtransduktor,半圆饱和电抗器
431-05-01,transductor regulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-01,منظم بمحول حثي,transductor regulator,transductor regulador,"régulateur à transducteur, m",trasduttore regolatore,トランスダクタレギュレータ,자기식 변환기 조정기,regulator transduktorowy,transductor regulador,transduktorregulator,饱和电抗器调节器
431-05-02,magnetic amplifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-02,مضخم مغناطيسي   مضخم بمحول حثي,magnetic amplifiertransductor amplifier,amplificador magnético,"amplificateur magnétique, m",amplificatore magnetico,磁気増幅器,자기 증폭기,wzmacniacz magnetycznywzmacniacz transduktorowy,amplificador magnético,magnetisk förstärkaretransduktorförstärkare,磁放大器
431-05-03,measuring transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-03,محول حثي قياس,measuring transductor,transductor de medida,"transducteur magnétique de mesure, m",trasduttore magnetico di misura,計測用トランスダクタ,측정 자기식 변환기,transduktor miernikowy,transductor magnético de medição,mättransduktor,测量饱和电抗器
431-05-04,direct current measuring transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-04,محول حثي لقياس تيار مستمر,direct current measuring transductor,transductor de medida para corriente continua,"transducteur magnétique de mesure en courant continu, m",trasduttore magnetico di misura in corrente continua,直流計測用トランスダクタ,직류 측정 자기식 변환기,transduktor miernikowy prądu stałego,transductor magnético de medição para corrente contínua,ls-mättransduktor,直流测量饱和电抗器
431-05-05,transductor reactor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-05,مفاعل بمحول حثي,transductor reactor,transductor reactancia,"transducteur-réactance, m",trasduttore reattore,トランスダクタリアクトル,자기식 변환기 리액터,dławik transduktorowy,transductor-reactância,transduktorinduktor,饱和电抗器反应堆
431-05-06,transductor fault limiting coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-06,محول حثي للحد من  العطل,transductor fault limiting coupling,transductor limitador de corriente de falta,"transducteur de limitation du courant de défaut, m",trasduttore limitatore di corrente di guasto,トランスダクタ障害限界結合,고장 제한 결합 자기식 변환기,transduktor przeciwzwarciowy,transductor de limitação da corrente de defeito,transduktorströmbegränsare,饱和电抗器故障极限耦合
431-05-07,magnetic phase shifter (for trigger equipment),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-05-07,ناقل طور  مغنطيسي (مبدل),magnetic phase shifter (for trigger equipment),defasador magnético (para equipos de disparo),déphaseur magnétique (pour dispositif de commande de gâchette) m,variatore di fase magnetico,磁気位相器,"자기 이상기, <트리거 장비>",przesuwnik fazy magnetyczny,desfasador magnético (para dispositivo de comando de disparador),magnetisk fasvinkelgivare (för styrutrustningar),"磁控移相器, <触发设备>"
