term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,mn,pl,pt,sr,sv,zh
212-11-11,volume resistivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-11,المقاومة النوعية الحجمية,objemová rezistivita,"spezifischer Durchgangswiderstand, m",volume resistivity,resistividad por unidad de volumen,"résistivité volumique, f",,体積抵抗率,부피 저항률,эзлэхүүний эсэргүүцэх чадвар,rezystywność objętościowa,resistividade volúmica,"запреминска специфична отпорност, ж јд",volymresistivitet,体积电阻率
212-11-12,surface resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-12,المقاومة السطحية,povrchový odpor,"Oberflächenwiderstand, m",surface resistance,resistencia superficial,"résistance superficielle, f",,表面抵抗,표면 저항,гадаргуугийн эсэргүүцэл,rezystancja powierzchniowa,resistência superficial,"површинска отпорност, ж јд",ytresistans,表面电阻
212-11-13,surface resistivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-13,المقاومة السطحية النوعية,povrchová rezistivita,"spezifischer Oberflächenwiderstand, m",surface resistivity,resistividad superficial,"résistivité superficielle, f",,表面抵抗率,표면 저항률,гадаргуугийн эсэргүүцэх чадвар,rezystywność powierzchniowa,resistividade superficial,"површинска специфична отпорност, ж јд",ytresistivitet,表面电阻率
212-11-14,measuring electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-14,قطب قياس,měřicí elektroda,"Messelektrode, f",measuring electrode,electrodo de medida,"électrode de mesure, f",,測定電極,측정 전극,хэмжүүрийн электрод,elektroda pomiarowa,eléctrodo de medição,"мерна електрода, ж јд",mätelektrod,测量电极
212-11-15,(volume) DC resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-15,المقاومة الحجمية للتيار المستمر,(objemový) stejnosměrný odpor,"Durchgangswiderstand bei Gleichstrom, m",(volume) DC resistance,resistencia en corriente continua,"résistance (volumique) en courant continu, f",,体積直流抵抗直流抵抗,부피 직류 저항,эзлэхүүний тогтмол гүйдлийн эсэргүүцэл,rezystancja objętościowa przy prądzie stałymrezystancja przy prądzie stałym,resistência (volúmica) em corrente contínua,"запреминска отпорност за једносмерну струју, ж јд",likströmsresistans,体积直流电阻直流电阻
212-11-16,(volume) DC resistivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-16,المقاومة الحجمية النوعية للتيار المستمر,(objemová) stejnosměrná rezistivita,"spezifischer Durchgangswiderstand bei Gleichstrom, m",(volume) DC resistivity,resistividad (por unidad de volumen) en corriente continua,"résistivité (volumique) en courant continu, f",,体積直流抵抗率直流抵抗率,부피 직류 저항률,эзлэхүүний тогтмол гүйдлийн эсэргүүцэх чадвар,rezystywność objętościowa przy prądzie stałymrezystywność przy prądzie stałym,resistividade (volúmica) em corrente contínua,"запреминска специфична отпорност за једносмерну струју, ж јд",likströmsresistivitet,体积直流电阻率直流电阻率
212-11-17,electrification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-17,تكهرب,elektrizace,"Spannungszuschaltung, f",electrification,electrificación,"électrisation, f",,帯電,대전,цахилгаанжуулалт,elektryzacja,electrização,"примена напона, ж јд",spänningssättning,电化
212-11-18,(DC) electrification current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-18,تيار التكهرب,(stejnosměrný) elektrizační proud,"Gleichstrom nach Spannungszuschaltung, m",(DC) electrification current,corriente continua de electrificación,"courant continu d’électrisation, m",,直流帯電電流帯電電流,직류 대전 전류,тогтмол гүйдлийн цахилгаанжуулалтын гүйдэл,prąd elektryzacji (stały),corrente contínua de electrização,"једносмерна струја при примени напона, ж јд",inkopplingsström (likström),直流电化电流电化电流
212-11-19,conduction current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-19,تيار التوصيل,vodivostní proud,"Ladestrom, m",conduction current,corriente de conducción,"courant de conduction, m",,伝導電流,전도 전류,дамжуулалтын гүйдэл,prąd przewodnictwa,corrente de condução,"струја провођења, ж јдкондуктивна струја, ж јд",ledningsström,电导电流
212-11-20,polarization current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-20,تيار الاستقطاب,polarizační proud,"Polarisationsstrom, m",polarization current,corriente de polarización,"courant de polarisation, m",,分極電流,분극 전류,туйлширсан гүйдэл,prąd polaryzacji,corrente de polarização,"струја поларизације, ж јд",polariseringsström,极化电流
212-11-21,depolarization current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-21,تيار إزالة الاستقطاب,depolarizační proud,"Depolarisationsstrom, m",depolarization current,corriente de despolarización,"courant de dépolarisation, m",,脱分極電流,탈분극 전류,туйлширсан төлөв алдагдах үеийн гүйдэл,prąd depolaryzacji,corrente de despolarização,"струја деполаризације, ж јд",depolariseringsström,去极化电流
212-11-22,de-electrification current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-22,إزالة التكهرب,deelektrizační proud,"Entladungsstrom, m",de-electrification current,corriente de deselectrificación,"courant de désélectrisation, m",,脱帯電電流,탈대전 전류,цахилгаанжуулалтгүй байх үеийн гүйдэл,prąd deelektryzacji,corrente de deselectrização,"струја пражњења, ж јд",urladdningsström,去电化电流
212-11-23,absolute permittivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-23,سماحية مطلقة,absolutní permitivitapermitivitaNEVHODNÝ TERMÍN: absolutní dielektrická konstantaNEVHODNÝ TERMÍN: dielektrická konstanta,"absolute Permittivität, fPermittivität, fABGELEHNT: Dielektrizitätskonstante, f",absolute permittivitypermittivityDEPRECATED: absolute dielectric constantDEPRECATED: dielectric constant,permitividad (absoluta),"permittivité absolue, fpermittivité, fDÉCONSEILLÉ: constante diélectrique, f",,絶対誘電率,절대 유전율유전율,үнэмлэхүй хөндийрүүлгийн нэвтрэмж,"przenikalność elektryczna bezwzględna, fprzenikalność elektryczna, f",permitividade absolutapermitividade,"апсолутна пермитивност, ж јд",absolut permittivitet,绝对电容率绝对介电常数电容率
212-11-24,relative permittivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-24,سماحية نسبية,relativní permitivitaNEVHODNÝ TERMÍN: relativní dielektrická konstantaNEVHODNÝ TERMÍN: dielektrická konstantaNEVHODNÝ TERMÍN: permitivita,"Permittivitätszahl, frelative Permittivität, fABGELEHNT: Dielektrizitätskonstante, fABGELEHNT: Permittivität, f",relative permittivityDEPRECATED: relative dielectric constantDEPRECATED: dielectric constantDEPRECATED: permittivity,permitividad relativa,"permittivité relative, ffacteur de permittivité, mDÉCONSEILLÉ: constante diélectrique relative, fDÉCONSEILLÉ: constante diélectrique, fDÉCONSEILLÉ: permittivité, f",,比誘電率,상대 유전율비 유전율,харьцангуй хөндийрүүлгийн нэвтрэмж,"przenikalność elektryczna względna, f",permitividade relativa,"релативна пермитивност, ж јд",relativ permittivitet,相对电容率相对介电常数
212-11-25,static permittivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-25,سماحية ساكنة,statická permitivita,"statische Permittivität, f",static permittivity,permitividad estática,"permittivité statique, f",,静的誘電率,정적 유전율,статик хөндийрүүлгийн нэвтрэмж,przenikalność elektryczna statyczna,permitividade estática,"статичка пермитивност, ж јд",statisk permittivitet,静电容率
212-11-26,complex relative permittivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-26,سماحية مركبة,komplexní permitivita,"komplexe Permittivitätszahl, fkomplexe relative Permittivität, f",complex relative permittivity,permitividad compleja,"permittivité relative complexe, f",,複素誘電率,복소 상대 유전율복소 비 유전율,комплекс харьцангуй хөндийрүүлгийн нэвтрэмж,przenikalność elektryczna względna zespolona,permitividade complexa,"комплексна пермитивност, ж јд",komplex permittivitet,复电容率
212-11-27,dielectric loss,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-27,فقد في العزل الكهربائي,dielektrické ztráty,"dielektrischer Verlust, m",dielectric loss,pérdidas dieléctricas,"perte diélectrique, f",,誘電損失誘電損,유전 손실,диэлектрикийн алдагдал,straty dielektryczne,perdas dieléctricas,"диелектрични губици, м мн",dielektrisk förlust,介质损耗
212-11-28,(dielectric) loss index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-28,مؤشر الفقد في العزل الكهربائي,(dielektrické) ztrátové číslo,"Permittivitäts-Verlustzahl, f",(dielectric) loss index,índice de pérdidas (dieléctricas),"indice de pertes (diélectriques), m",,誘電損率,유전 손실 지수,диэлектрикийн алдагдлын индекс,wskaźnik strat dielektrycznych,índice de perdas (dieléctricas),"индекс диелектричних губитака, м јд",förlusttal,介质损耗指数损耗指数
212-11-29,dielectric dissipation factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-29,عامل تبدد العزل الكهربائي,koeficient dielektrických ztráttan δztrátový tangens,"dielektrischer Verlustfaktor, mTan d, mTangens des Verlustwinkels, m",dielectric dissipation factortan δloss tangent,factor de disipación dieléctrica; tan d; tangente de pérdidas,"facteur de dissipation diélectrique, mtan δtangente des pertes, f",,誘電散逸率誘電正接,유전 손실율손실 탄젠트tan δtan δ,диэлектрикийн алдагдлын коэффициентtan δалдагдлын тангенс өнцөг,współczynnik strat dielektrycz­nychtangens kąta strat dielektrycznychtg δ,factor de dissipação dieléctricatan δ (símbolo)tangente de perdas,"фактор диелектричне дисипације, м јдtan δтангенс угла губитака, м јд",förlustfaktor,介质损耗因数介质损耗角正切损耗角正切
212-11-30,dielectric loss angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-30,زاوية الفقد في العزل الكهربائي,dielektrický ztrátový úhel,"dielektrischer Verlustwinkel, m",dielectric loss angle,ángulo de pérdidas dieléctricas,"angle de pertes diélectriques, m",,誘電損失角,유전 손실각,диэлектрикийн алдагдлын өнцөг,kąt strat dielektrycznych,ângulo de perdas dieléctricas,"угао диелектричних губитака, м јд",förlustvinkel,介质损耗角
212-11-31,dielectric phase angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-31,زاوية الوجه للعزل الكهربائى,dielektrický fázový úhel,"dielektrischer Phasenwinkel, m",dielectric phase angle,ángulo de fase dieléctrico,"angle de phase diélectrique, m",,誘電位相角,유전 위상각,диэлектрикийн фазын өнцөг,kąt fazowy dielektryka,ângulo de fase dieléctrica,"фазни угао диелектрика, м јд",dielektrisk fasvinkel,介质相角
212-11-32,dielectric power factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-32,عامل القدرة للعزل الكهربائى,činitel dielektrických ztrát,"dielektrischer Leistungsfaktor, m",dielectric power factor,factor de potencia dieléctrico,"facteur de puissance diélectrique, m",,誘電力率,유전 역률,диэлектрикийн чадлын коэффициент,współczynnik mocy dielektryka,factor de potência dieléctrica,"диелектрични фактор снаге, м јд",dielektisk effektfaktor,介质功率因数
212-11-33,(electric) breakdown,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-33,انهيار كهربائي,(elektrický) průraz,"elektrischer Durchschlag, mDurchschlag, m",(electric) breakdown,disrupción (eléctrica),"claquage (électrique), m",,電気的破壊絶縁破壊破壊,전기 파괴,цахилгааны эвдрэл,przebicie elektryczneprzebicie,disrupção (eléctrica),"електрични пробој, м јд",isolationssammanbrott,电击穿击穿
212-11-34,breakdown voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-34,جهد الانهيار,průrazné napětí,"Durchschlagspannung, f",breakdown voltage,tensión disruptiva,"tension de claquage, f",,絶縁破壊電圧破壊電圧,파괴 전압,эвдрэлийн хүчдэл,napięcie przebicia,tensão disruptiva,"пробојни напон, м јд",sammanbrottsspänning,击穿电压
212-11-35,ESD withstand voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-35,جهد تحمل التفريغ الكهروستاتيكى,ESD výdržné napětí,"ESD-Spannungsfestigkeit, f",ESD withstand voltage,,"tension de tenue aux DES, f",,ESD耐圧,ESD 내전압,цахилгаан статик цахилалт тэсвэрлэх хүчдэл,"napięcie elektrostatyczne wytrzymywane, nwytrzymałość napięciowa elektrostatyczna, f",tensão suportável às descargas eletrostáticas,"подносиви напон, м јд",,静电放电耐受电压
212-11-36,proof voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-36,جهد اختبار التحمل,zkušební napětí,"Nachweis-Prüfspannung, f",proof voltage,tensión de prueba,"tension d’épreuve, f",,耐電圧,검증 전압,батлах хүчдэл,napięcie probiercze,tensão de ensaio,"испитни напон, м јд",hållspänning,验证电压
212-11-37,electric strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-37,صلابة العزل,elektrická pevnost,"Durchschlagfestigkeit, f",electric strength,rigidez dieléctrica,"rigidité diélectrique, f",,絶縁体力,전기 강도전기 세기,цахилгаан хүчлэг,wytrzymałość elektryczna,rigidez dieléctrica,"диелектрична чврстоћа, ж јд",elektrisk hållfasthet,电气强度
212-11-38,(electric) discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-38,تفريغ كهربائي,(elektrický) výboj,"elektrische Entladung, fEntladung, f",(electric) discharge,descarga (eléctrica),"décharge (électrique), f",,放電,전기 방전,цахилгааны цахилалт,wyładowanie elektrycznewyładowanie,descarga (eléctrica),"електрично пражњење, с јд",urladdning,放电
212-11-39,partial discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-39,تفريغ جزئي,částečný výboj,"Teilentladung, f",partial discharge,descarga parcial,"décharge partielle, f",,部分放電,부분 방전,бяцхан цахилалт,wyładowanie niezupełne (termin używany na ogół w liczbie mnogiej),descarga parcial,"парцијална пражњења, с мн",partiell urladdning,局部放电
212-11-40,partial discharge intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-40,شِدّة التفريغ الجزئي,intenzita částečných výbojů,"Teilentladungsintensität, f",partial discharge intensity,intensidad de descargas parciales,"intensité de décharges partielles, f",,部分放電強度,부분 방전 강도,бяцхан цахилалтын эрч,intensywność wyładowań niezupełnych,intensidade de descargas parciais,"интензитет парцијалних пражњења, м јд",partiell urladdnings intensitet,局部放电强度
212-11-41,partial discharge inception voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-41,PDIV إختصارجهد بداية التفريغ الجزئى,zapalovací napětí částečných výbojů,"Teilentladungseinsetzspannung, f",partial discharge inception voltage,tensión de inicio de la descarga parcial,"tension de seuil de décharge partielle, f",,部分放電開始電圧,부분 방전 개시 전압,бяцхан цахилалтын эхлэх үеийн хүчдэл,"napięcie początkowe wyładowań niezupełnych, n",tensão limiar de descargas parciais,"напон почетка парцијалног пражњења , м јд",partiell urladdnings tändspänning,局部放电起始电压
212-11-42,partial discharge extinction voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-42,PDEV إختصارجهد إنطفاء التفريغ الجزئى,zhášecí napětí částečných výbojůPDEV,"Teilentladungsaussetzspannung, fPDEV",partial discharge extinction voltagePDEV,tensión de extinción de la descarga parcial,"tension d'extinction de décharge partielle, f",,部分放電消滅電圧,부분 방전 소멸 전압,бяцхан цахилалтын унтрах үеийн хүчдэл,napięcie gaśnięcia wyładowań niezupełnychPDEV (akronim),tensão de extinção de descargas parciais,"напон гашења парцијалних пражњења, м јдPDEV",partiell urladdnings släckspänning,局部放电熄灭电压
212-11-43,internal partial discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-43,تفريغ جزئى داخلى,vnitřní částečný výboj,"innere Teilentladung, f",internal partial discharge,descarga parcial interna,"décharge partielle interne, f",,内部部分放電,내부 부분 방전,тусгаарлагч материал доторх бяцхан цахилалт,wyładowanie niezupełne wewnętrzne (termin używany na ogół w liczbie mnogiej),descarga parcial interna,"унутрашња парцијална пражњења, с мн",inre partiell urladdning,内部局部放电
212-11-44,corona,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-44,هالة,koróna,"Koronaentladung, f",corona,efecto corona,"effet de couronne, m",,コロナ,코로나,титэм цахилалт,wyładowanie koronowe (termin używany na ogół w liczbie mnogiej)ulot,efeito de coroa,"корона, ж јд",korona,电晕
212-11-45,surface partial discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-45,تفريغ جزئى سطحى,povrchový částečný výboj,"Oberflächen-Teilentladung, f",surface partial discharge,descarga parcial superficial,"décharge partielle superficielle, f",,表面部分放電,표면 부분 방전,гадаргуугийн бяцхан цахилалт,wyładowanie niezupełne powierzchniowe (termin używanyna ogół w liczbie mnogiej)wyładowanie niezupełne powierzchniowe (termin używany na ogół w liczbie mnogiej),descarga parcial superficial,"површинска парцијална пражњења, с мн",yt partiell urladdning,表面局部放电
212-11-46,disruptive discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-46,تفريغ تمزيقى,průrazný výboj,"zerstörende Entladung, fdisruptive Entladung, f",disruptive discharge,descarga disruptiva,"décharge disruptive, f",,破裂放電,파괴 방전,нуман цахилалт,wyładowanie zupełne,descarga disruptiva,"разарајућа пражњења, с мн",gnisturladdning,破坏性放电
212-11-47,flashover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-47,انهيار سطحي,povrchový přeskok,"Überschlag, m",flashover,contorneamiento,"contournement, m",,フラッシオーバ,섬락,гадаргуугийн ниргэлэг,przeskok powierzchniowywyładowanie powierzchniowe (termin używany na ogół w liczbie mnogiej),contornamento,"прескок, м јд",överslag,闪络
212-11-48,sparkover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-48,تفريغ بالشرارة,jiskrový výboj,"Durchschlag, m",sparkover,cebado,"amorçage, m",,スパーク,불꽃 방전,очит цахилалт,przeskok (w gazie lub cieczy),escorvamento,"варнични пробој, м јд",överslag,火花放电
212-11-49,puncture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-49,ثقب,probitíprůraz,"Durchschlagkanal, m",puncture,perforación,"perforation, f",,貫通破壊,파괴,нэвт цохилт,przebicie (izolacji stałej),perfuração,"пробој изолације, м јд",punktering,电穿孔
212-11-50,electrical tree,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-50,تفرع شجرى كهربائى,elektrický stromeček,"elektrischer Tree, m",electrical tree,árbol eléctrico,"arbre électrique, m",,電気トリー,전기 트리,цахилалтын мөчир,ślad drzewienia elektrycznego,árvore eléctrica,"дрвенолики дефект, м јд",elektriskt träd,电树
212-11-51,electrical treeing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-51,تفريع شجرى كهربائى,vytváření elektrického stromečku,"elektrisches Treeing, n",electrical treeing,arborescencia eléctrica,"arborescence électrique, f",,電気トリーイング,전기 트리화,цахилалтын мөчрийн тархалт,drzewienie elektryczne,arborescência eléctrica,"гранање дефекта, с јд",elektrisk trädbildning,电树化
212-11-52,water tree,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-52,تفرع شجرى مائى,vodní stromeček,"Wassertree, mWater Tree, m",water tree,árbol de agua,"arbre d’eau, m",,水トリー,수목,усан мөчир,ślad drzewienia wodnego,árvore aquosa,"водени разгранати укључак, м јд",vattenträd,水树
212-11-53,water treeing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-53,تفريع شجرى مائى,vytváření vodního stromečku,"Wassertreeing, nwater treeing, n",water treeing,arborescencia de agua,"arborescence d’eau, f",,水トリーイング,수목화,усан мөчрийн тархалт,drzewienie wodne,arborescência aquosa,"гранање воденог укључка, с јд",vattenträd bildning,水树化
212-11-54,arc resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-54,مقاومة الشرارة,odolnost proti elektrickému oblouku,"Lichtbogenbeständigkeit, f",arc resistance,resistencia al arco,"résistance à l’arc, f",,耐アーク性,아크 저항,цахилгаан нумын эсэргүүцэл,odporność na wyładowania łukowe,resistência ao arco,"отпорност према луку, ж јд",ljusbågshärdighet,耐电弧性
212-11-55,electric erosion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-55,تآكل كهربائى,elektrická eroze,"elektrische Erosion, f",electric erosion,erosión eléctrica,"érosion électrique, f",,電食,전기 부식,цахилгаан элэгдэл,erozja elektryczna,erosão eléctrica,"електрична ерозија, ж јд",elektrisk erosion,电蚀
212-11-56,tracking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-56,مسار,vytváření vodivých cest,"Kriechwegbildung, f",tracking,formación de caminos conductores,"cheminement, m",,トラッキング,추적,нэвчилт,tworzenie ścieżek przewodzących (dla wyładowań pełznych),rastejamento,"пузне стазе, ж мн",krypspårsbildning,电痕化起痕
212-11-57,tracking failure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-57,إنهيار المسار,porucha vytvářením vodivých cest,"Versagen durch Kriechwegbildung, f",tracking failure,fallo por formación de caminos conductores,"défaillance par cheminement, f",,トラッキング破壊,추적 실패,нэвчилтийн саатал,defekt w następstwie wyładowania pełznegodefekt pełzny,falha por rastejamento,"пузно оштећење, с јд",krypströms genombrott,电痕化失效
212-11-58,time-to-track,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-58,زمن المسار( الأثر ),doba do vytvoření vodivé cesty,"Zeit bis zur Kriechwegbildung, f",time-to-track,tiempo de inicio de formación de caminos conductores,"temps d’initiation du cheminement, m",,トラッキング時間,추적 시간,нэвчилт үүсэх хүртэлх хугацаа,czas wytworzenia ścieżki przewodzącej (dla wyładowań pełznych),tempo de início do rastejamento,"време до појаве пузне стазе, с јд",…,电痕化时间
212-11-59,comparative tracking index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-59,CTI إختصارمؤشر المسار المقارن,porovnávací index odolnosti proti vytváření vodivých cestporovnávací index odolnosti proti plazivým proudůmCTI,"Vergleichszahl der Kriechwegbildung, fCTI, Abkürzung",comparative tracking indexCTI (abbreviation),indice de resistencia a la formación de caminos conductores,"indice de résistance au cheminement, mIRC (abréviation) m",,比較トラッキング指数,비교 추적 지수CTI,нэвчилтийн харьцуулсан индекс,wskaźnik porównawczy odporności na wyładowania pełzneCTI (akronim),índice de resistência ao rastejamento,"упоредни индекс пузних стаза, м јдCTI",krypströmsindex (CTI),相比电痕化指数
212-11-60,proof tracking index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-60,PTI إختصامؤشر تحمل المسار,zkušební index odolnosti proti vytváření vodivých cestzkušební index odolnosti proti plazivým proudůmPTI,"Prüfzahl der Kriechwegbildung, fPTI, Abkürzung",proof tracking indexPTI (abbreviation),índice de prueba a la formación de caminos conductores,"indice de tenue au cheminement, mITC (abréviation) m",,耐トラッキング指数,내추적 지수PTI,нэвчилтийн батлах индексНБИ,wskaźnik odporności na wyładowania pełznePTI (akronim),índice de ensaio ao rastejamento,"испитни индекс пузних стаза, м јдPTI",krypströmsindex (PTI),耐电痕化指数
212-11-61,coating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-61,,povlak,"Beschichtung, f",coating,,"revêtement, m",,コーティング,피막,гадар бүрээс,"powłoka, <izolacyjna> f",revestimento,"превлака, ж јд",,涂料
212-11-62,partial discharge test voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-62,,zkušební napětí částečných výbojů,"Teilentladungsprüfspannung, f",partial discharge test voltage,,"tension d'extinction de décharge partielle, f",,部分放電試験電圧,부분 방전 시험전압,бяцхан цахилалтын туршилтын хүчдэл,"napięcie probiercze wyładowań niezupełnych, n",tensão de ensaio de descargas parciais,"испитни напон парцијалног пражњења , м јд",,局部放电试验电压
