term_id,term,term_url,de,en,es,fr,it,ja,ko,pl,pt,zh
114-01-11,neutralization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-11,"Neutralisation, f",neutralization,"neutralización, f","neutralisation, f",neutralizzazione,中和,중화,"neutralizacja, fzobojętnienie, n",neutralização,中和
114-01-12,anion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-12,"Anion, n",anion,"anión, m","anion, m",anione,陰イオンアニオン,음이온,"anion, m",anião,阴离子
114-01-13,cation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-13,"Kation, n",cation,"catión, m","cation, m",catione,陽イオンカチオン,양이온,"kation, m",catião,阳离子
114-01-14,saturated solution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-14,"gesättigte Lösung, f",saturated solution,"disolución saturada, f","solution saturée, f",soluzione satura,飽和溶液,포화 용액,"roztwór nasycony, m",solução saturada,饱和溶液
114-01-15,solubility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-15,"Löslichkeit, f",solubility,"solubilidad, f","solubilité, f",solubilità,溶解度,용해도,"rozpuszczalność, f",solubilidade,溶解度
114-01-16,ion concentration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-16,"Ionenkonzentration, f",ion concentration,"concentración iónica, f","concentration ionique, f",concentrazione ionica,イオン濃度,이온 농도,"koncentracja jonowa, f",concentração iónica,离子浓度
114-01-17,acid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-17,"Säure, f",acidacidic substance,"ácido, m","acide, m",acidosostanza acida,酸酸性物質,산,"substancja kwasowa, fkwas, m",ácidosubstância ácida,酸
114-01-18,"base, <in chemistry>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-18,"Base, f","base, <in chemistry>alkaline substance","base, f","base, <en chimie> f",basesostanza alcalina,"塩基, <化学で>アルカリ性物質","염기, <화학>알칼리성 물질","substancja zasadowa, fzasada, f","base, <em química>","碱, <化学>"
114-01-19,molality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-19,"Molalität, f",molality,"molalidad, f","molalité, f",molalità,質量モル濃度,중량 몰 농도,"molalność, f",molalidade,质量摩尔浓度
114-01-20,ion activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-20,"Ionenaktivität, f",ion activity,"actividad iónica, f","activité ionique, f",attività ionica,イオン活量,이온 활동도,"aktywność jonowa, f",atividade iónica,离子活度
114-01-21,pH,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-21,"pH-Wert, m",pH,"pH, m","pH, m",pH,ｐH,수소 이온 농도,"pH, n",pH,pH
114-01-22,stoichiometric number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-22,"stöchiometrische Zahl, f",stoichiometric numberstoichiometric coefficient,"número estequiométrico, mcoeficiente estequiométrico, m","nombre stœchiométrique, mcoefficient stœchiométrique, m",numero stechiometricocoefficiente stechiometrico,化学量数化学量論係数,화학량 수화학량 계수,"liczba stechiometryczna, fwspółczynnik stechiometryczny, m",número estequiométricocoeficiente estequiométrico,化学计量数化学计量系数
114-01-23,solubility product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-23,"Löslichkeitsprodukt, n",solubility product,"producto de solubilidad, m","produit de solubilité, m",prodotto di solubilità,溶解度積,용해도 곱,"iloczyn rozpuszczalności, m",produto de solubilidade,溶度积
114-01-24,ionic strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-24,"Ionenstärke, f",ionic strength,"fuerza iónica, f","force ionique, f",forza ionica,イオン強度,이온 강도,"siła jonowa roztworu, fmoc jonowa roztworu, f",intensidade iónicaforça iónica,离子强度
114-01-25,oxidation number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-25,"Oxidationsstufe, felektrochemische Wertigkeit, f",oxidation number,"número de oxidación, m","nombre d’oxydation, m",numero di ossidazione,酸化数,산화수,"stopień utlenienia, m",número de oxidação,氧化数
114-02-01,electrochemical reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-01,"elektrochemische Reaktion, f",electrochemical reaction,"reacción electroquímica, f","réaction électrochimique, f",reazione elettrochimica,電気化学反応,전기 화학 반응,"reakcja elektrochemiczna, f",reação eletroquímica,电化学反应
114-02-02,reaction rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-02,"Reaktionsrate, fReaktionsgeschwindigkeit, f",reaction rate,"velocidad de reacción, f","vitesse de réaction, f",velocità di reazione,反応速度,반응률,"szybkość reakcji, f",taxa de reação,反应速率
114-02-03,electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-03,"Elektrode, f",electrode,"electrodo, m","électrode, f",elettrodo,電極,전극,"elektroda, f",elétrodo,电极
114-02-04,electrode reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-04,"Elektrodenreaktion, f",electrode reaction,"reacción de electrodo, freacción electródica, f","réaction à l'électrode, f",reazione all'elettrodo,電極反応,전극 반응,"reakcja elektrodowa, f",reação no elétrodoreação eletródica,电极反应
114-02-05,active surface of an electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-05,"aktive Oberfläche einer Elektrode, f",active surface of an electrode,"superficie activa del electrodo, f","surface active d'une électrode, f",superficie attiva di un elettrodo,電極の活性表面,전극 활성 표면,"powierzchnia aktywna elektrody, f",superfície ativa de um elétrodo,电极的活性表面
114-02-06,side reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-06,"Nebenreaktion, fSekundärreaktion, f",side reactionsecondary reaction,"reacción secundaria, freacción paralela, f","réaction parallèle, fréaction secondaire, f",reazione parallelareazione secondaria,副反応,부반응2차 반응,"reakcja uboczna, f",reação paralelareação secundária,副反应
114-02-07,parasitic reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-07,"unerwünschte Nebenreaktion, f",parasitic reaction,"reacción parásita, f","réaction parasite, f",reazione parassita,寄生反応,기생 반응,"reakcja niepożądana, f",reação parasitareação espúria,寄生反应
114-02-08,inert electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-08,"Inertelektrode, f",inert electrode,"electrodo inerte, m","électrode inerte, f",elettrodo inerte,不活性電極,비활성 전극,"elektroda obojętna, f",elétrodo inerte,惰性电极
114-02-09,anodic reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-09,"Anodenreaktion, f",anodic reaction,"reacción anódica, f","réaction anodique, f",reazione anodica,陽極反応,양극 반응,"reakcja anodowa, f",reação anódicaoxidação eletroquímica,阳极反应
114-02-10,cathodic reaction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-10,"Kathodenreaktion, f",cathodic reaction,"reacción catódica, f","réaction cathodique, f",reazione catodica,陰極反応,음극 반응캐소드 반응,"reakcja katodowa, f",reação catódicaredução eletroquímica,阴极反应
114-02-11,electrode potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-11,"Elektrodenspannung, f",electrode potential,"potencial de electrodo, m","potentiel d'électrode, m",potenziale di elettrodo,電極電位,전극 전위,"potencjał elektrody, mpotencjał półogniwa, m",potencial de elétrodo,电极电势
114-02-12,equilibrium electrode potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-12,"Gleichgewichtselektrodenspannung, fGleichgewichtsspannung, f",equilibrium electrode potentialequilibrium potential,"potencial de equilibrio de un electrodo, mpotencial de equilibrio, m","potentiel d'équilibre d'une électrode, mpotentiel d'équilibre, m",potenziale di equilibrio di un elettrodopotenziale di equilibrio,平衡電極電位平衡電位,평형 전극 전위평형 전위,"potencjał równowagowy elektrody, mpotencjał równowagowy półogniwa, mpotencjał równowagowy, m",potencial de equilíbrio de um elétrodopotencial de equilíbrio,平衡电极电势平衡电势
114-02-13,standard electrode potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-13,"Normalelektrodenspannung, fNormalspannung, f",standard electrode potentialstandard potential,"potencial estándar de electrodo, mpotencial estándar, m","potentiel normalisé d'une électrode, mpotentiel normalisé, m",potenziale normalizzato di un elettrodopotenziale normalizzato,標準電極電位標準電位,표준 전극 전위,"potencjał standardowy elektrody, mpotencjał standardowy półogniwa, mpotencjał standardowy, m",potencial normalizado de um elétrodopotencial normalizado,标准电极电势
114-02-14,polarity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-14,"Polarität, f",polarity,"polaridad, f","polarité, f",polarità,極性,극성,"polarność, f",polaridade,极性
114-02-15,electrode polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-15,"Elektrodenpolarisation, f",electrode polarization,"polarización del electrodo, fpolarización electródica, f","polarisation d'électrode, f",polarizzazione di elettrodo,分極,전극 분극,"polaryzacja elektrody, f",polarização de um elétrodo,电极极化
114-02-16,electrode passivation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-16,"Elektrodenpassivierung, f",electrode passivation,"pasivación del electrodo, fpasivación electródica, f","passivation d’électrode, f",passivazione dell'elettrodo,電極不動態化,전극 부동화,"pasywacja elektrody, f",passivação de um elétrodo,电极钝化
114-02-17,anodic polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-17,"Anodenpolarisation, f",anodic polarization,"polarización anódica, f","polarisation anodique, f",polarizzazione anodica,陽極分極,양극 분극,"polaryzacja anody, f",polarização anódica,阳极极化
114-02-18,cathodic polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-18,"Kathodenpolarisation, f",cathodic polarization,"polarización catódica, f","polarisation cathodique, f",polarizzazione catodica,陰極分極,음극 분극,"polaryzacja katody, f",polarização catódica,阴极极化
114-02-19,double layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-19,"elektrische Doppelschicht, fDoppelschicht, f",double layerelectrical double layerelectrical polarization layer,"doble capa electríca, f","double-couche, fdouble-couche électrique, f",doppio stratodoppio strato elettrico,二重層電気二重層電気分極層,이중층전기 이중층전기 분극층,"warstwa podwójna, fwarstwa podwójna elektryczna, f",dupla camadadupla camada elétrica,双电层
114-02-20,diffuse layer potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-02-20,"Diffusschichtspannung, fABGELEHNT: Zeta-Potential, n",diffuse layer potentialDEPRECATED: zeta potential,"potencial de la capa difusa, m","potentiel de couche diffuse, m",potenziale diffuso,拡散層電位,확산층 전위,"potencjał warstwy dyfuzyjnej, mTERMIN NIEZALECANY: potencjał zeta, m",potencial de camada difusa,扩散层电势
114-03-01,electrochemical cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-01,"elektrochemische Zelle, f",electrochemical cell,"celda electroquímica, f","élément électrochimique, m",elemento elettrochimico,電気化学電池電気化学セル,전기화학 전지전기화학 셀,"komórka elektrochemiczna, f",célula eletroquímica,电化学电池电化学池
114-03-02,galvanic cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-02,"galvanische Zelle, fgalvanisches Element, n",galvanic cellvoltaic cell,"celda galvánica, fpila voltaíca, fpila galvánica, f","générateur électrochimique, mcellule galvanique, f",cella galvanicocella voltaica,ガルバニ電池ボルタ電池,갈바니 전지볼트 전지,"ogniwo elektrochemiczne, nogniwo galwaniczne, nogniwo, n",gerador eletroquímicocélula galvânica,伽伐尼电池伏打电池
114-03-03,supercapacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-03,"elektrochemischer Kondensator, m",supercapacitorelectrochemical capacitor,"supercondensador, mcondensador electroquímico, m","supercondensateur, m",condensatore elettrochimicosupercondensatore,電気化学コンデンサ,전기화학 축전기초축전기,"superkondensator, mkondensator elektrochemiczny, m",supercondensadorcondensador eletroquímico,电化学电容器超级电容器
114-03-04,electrolytic capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-04,"Elektrolytkondensator, m",electrolytic capacitor,"condensador electrolítico, m","condensateur électrolytique, m",condensatore elettrolitico,電解コンデンサ,전해 컨덴서,"kondensator elektrolityczny, m",condensador eletrolítico,电解电容器
114-03-05,fuel cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-05,"Brennstoffzelle, f",fuel cell,"pila de combustible, f","pile à combustible, f",cella combustibile,燃料電池,연료 전지,"ogniwo paliwowe, n",pilha de combustível,燃料电池
114-03-06,electrolytic cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-06,"Elektrolysezelle, f",electrolytic cell,"celda electrolítica, f","électrolyseur, mcellule d’électrolyse, f",cella elettrolitica,電解槽,전해 전지,"elektrolizer, m",célula eletrolítica,电解池
114-03-07,current efficiency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-07,"Elektrolysestrom-Effizienz, f",current efficiencyFaraday efficiency,"eficiencia de corriente, f","rendement en courant, mrendement de Faraday, mrendement faradique, m",rendimento in correnterendimento di Faraday,電流効率ファラデー効率,전류 효율패러데이 효율,"sprawność prądowa, fsprawność Faradaya, f",eficiência de correnteeficiência de Faraday,电流效率法拉第效率
114-03-08,concentration cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-08,"Konzentrationselement, nKonzentrationszelle, f",concentration cell,"pila de concentración, f","pile de concentration, f",cella a concentrazione,濃淡電池,농도차 전지,"ogniwo stężeniowe, n",célula de concentraçãopilha de concentração,浓差电池
114-03-09,thermocell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-09,"thermogalvanische Zelle, f",thermocellthermogalvanic cell,"termopila, fcelda termogalvánica, f","élément thermoélectrochimique, m",cella termicacella termogalvanica,温度差電池サーモガルバニ電池,온도차 전지,"ogniwo termogalwaniczne, n",célula termoeletroquímicaelemento termoeletroquímico,温差电池
114-03-10,cell voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-10,"Zellenspannung, f",cell voltage,"tensión de celda, fvoltaje de celda, m","tension d'un élément électrochimique, f",tensione di cella,電池端子電圧,전지 전압,"napięcie ogniwa, nnapięcie komórki elektrochemicznej, n",tensão de um elemento eletroquímico,电池电压
114-03-11,cell source voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-11,"Quellenspannung, fZellenquellenspannung, fABGELEHNT: elektromotorische Kraft, f",cell source voltageDEPRECATED: electromotive force,"tensión de celda a intensidad nula, mDESACONSEJADO: fuerza electromotriz, f","tension de source d'un élément électrochimique, fDÉCONSEILLÉ: force électromotrice, f",tensione di cella a circuito aperto,電池電源電圧,전지 전원 전압,"napięcie źródłowe ogniwa, nnapięcie źródłowe komórki elektrochemicznej, nTERMIN NIEZALECANY: siła elektromotoryczna, f",tensão de fonte de um elemento eletroquímico,电池源电压
114-03-12,cell polarization potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-12,"Zellenpolarisationsspannung, f",cell polarization potential,"potencial de polarización, mpolarización, f","potentiel de polarisation, mpolarisation, f",potenziale di polarizzazione della cella,電池分極電位,전지 분극 전위,"potencjał polaryzacji, m",potencial de polarização de um elemento eletroquímico,电池极化电势
114-03-13,current density limit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-13,"Stromdichtegrenzwert, m",current density limit,"densidad de corriente líimite, f","limite de densité de courant, f",limite di densità di corrente,電流密度限界,전류 밀도 한계,"gęstość prądu graniczna, f",limite de densidade de corrente,极限电流密度
114-03-14,electrochemically active material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-14,"elektrochemisch aktives Material, naktives Material, naktive Masse, f",electrochemically active material,"material electroquímicamente activo, m","matière électrochimiquement active, f",materiale elettrochimicamente attivo,電気化学的活物質,전기화학적 활성 물질,"materiał aktywny elektrochemicznie, m",matéria eletroquimicamente ativa,电化学活性物质
114-03-15,reference electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-15,"Referenzelektrode, f",reference electrode,"electrodo de referencia, m","électrode de référence, f",elettrodo di riferimento,参照電極基準電極,기준 전극,"elektroda odniesienia, f",elétrodo de referência,参比电极参考电极
114-03-16,hydrogen electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-16,"Wasserstoffelektrode, f",hydrogen electrode,"electrodo de hidrógeno, m","électrode à hydrogène, f",elettrodo a idrogeno,水素電極,수소 전극,"elektroda wodorowa, f",elétrodo de hidrogénio,氢电极
114-03-17,electrochemical separator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-17,"elektrochemischer Separator, mSeparator, m",electrochemical separator,"separador electroquímico, m","séparateur électrochimique, m",separatore elettrochimico,電気化学的セパレータ,전기화학 격리판,"separator elektrochemiczny, m",separador eletroquímico,电化学隔板
114-03-18,catholyte,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-18,"Katholyt, mKathodenflüssigkeit, f",catholyte,"catolito, m","catholyte, m",catolita,陰極液,음극액,"katolit, mciecz katodowa, f",católito,阴极电解质
114-03-19,anolyte,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-03-19,"Anolyt, mAnodenflüssigkeit, f",anolyte,"anolito, m","anolyte, m",anolita,陽極液,양극액,"anolit, mciecz anodowa, f",anólito,阳极电解质
114-04-01,electro-osmosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-01,"Elektroosmose, f",electro-osmosis,"electro-ósmosis, f","électro-osmose, f",elettro - osmosi,電気浸透,전기 삼투,"elektroosmoza, f",eletro-osmose,电渗
114-04-02,electrocapillarity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-02,"Elektrokapillarität, f",electrocapillarity,"electrocapilaridad, f","électrocapillarité, f",elettrocapillarità,電気毛管現象,전기 모세관 현상,"elektrokapilarność, f",eletrocapilaridade,电毛细管现象
114-04-03,electrochemical immunity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-03,"elektrochemische Immunität, fImmunität, f",electrochemical immunity,"inmunidad electroquímica, f","immunité électrochimique, f",immunità elettrochimica,電気化学的耐性,전기화학 내성,"odporność elektrochemiczna, f",imunidade eletroquímica,电化学免疫
114-04-04,electrochemical passivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-04,"elektrochemische Passivität, fPassivität, f",electrochemical passivitypassivity,"pasivación electroquímica, fpasivación, f","passivité électrochimique, fpassivité, f",passività elettrochimicapassività,電気化学的不動態不動態,전기화학 부동화부동화,"pasywność elektrochemiczna, f",passividade eletroquímicapassividade,电化学钝态
114-04-05,cathodic protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-05,"kathodischer Korrosionsschutz, mkathodischer Schutz, m",cathodic protection,"protección catódica, f","protection cathodique, f",protezione catodica,陰極防食,음극 보호,"ochrona katodowa, f",proteção catódica,阴极保护
114-04-06,electrochemical migration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-06,"elektrochemische Migration, fMigration, f",electrochemical migration,"migración electroquímica, f","migration électrochimique, f",migrazione elettrochimica,電気化学的移動電気化学的マイグレーション,전기화학적 이동,"migracja elektrochemiczna, f",migração eletroquímica,电化学迁移
114-04-07,dendrite,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-07,"Dentrit, m",dendrite,"dendrita, f","dendrite, f",dendrite,樹枝状結晶,수지상 결정,"dendryt, m",dendrite,枝状晶体
114-04-08,bioelectrochemistry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-08,"Bioelektrochemie, f",bioelectrochemistry,"bioelectroquímica, f","bioélectrochimie, f",bioelettrochimica,生物電気化学,생전기화학,"bioelektrochemia, f",bioeletroquímica,生物电化学
114-04-09,electrolysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-09,"Elektrolyse, f",electrolysis,"electrolisis, felectrólisis, f","électrolyse, f",elettrolisi,電気分解,전기분해,"elektroliza, f",eletrólise,电解
114-04-10,electroanalytical chemistry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-10,"analytische Elektrochemie, fElektroanalyse, f",electroanalytical chemistry,"química electroanalítica, felectroanálisis, f","chimie électroanalytique, felectroanalyse, f",chimica elettroanalitica,電気分析化学,전기분석 화학,"analiza elektrochemiczna, f",química eletroanalíticaeletroanálise,电分析化学
114-04-11,voltammetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-11,"Voltammetrie, f",voltammetry,"voltametría, fvoltamperometría, f","voltammétrie, fvoltampérométrie, f",voltamperometria,ボルタンメトリー電圧電流法,전압전류법,"woltamperometria, f",voltametria,伏安法
114-04-12,potentiometry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-12,"Potentiometrie, f",potentiometry,"potenciometría, f","potentiométrie, f",potenziometria,電位差測定法,전위차 측정법,"potencjometria, f",potenciometria,电势法
114-04-13,coulometry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-13,"Coulometrie, f",coulometry,"culombimetría, fculometría, f","coulométrie, f",coulometria,電量測定法,전량 분석법,"analiza kulometryczna, f",colorimetria,库伦法
114-04-14,electrogravimetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-14,"Elektrogravimetrie, f",electrogravimetry,"electrogravimetría, f","électrogravimétrie, f",elettrogravimetria,電解重量測定法,전해 중량 분석법,"analiza elektrograwimetryczna, f",eletrogravimetria,电重量法
114-04-15,electrocatalysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-15,"Elektrokatalyse, f",electrocatalysis,"electrocatálisis, f","électrocatalyse, f",elettrocatalisi,電気触媒作用,전기 촉매 작용,"elektrokataliza, f",eletrocatálise,电催化
114-04-16,electrocatalyst,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-16,"Elektrokatalysator, m",electrocatalyst,"electrocatalizador, m","électrocatalyseur, m",elettrocatalizzatore,電気触媒,전기 촉매,"elektrokatalizator, m",eletrocatalisador,电催化剂
114-04-17,electroplating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-17,"Galvanisierung, f",electroplatinggalvanizing,"galavanoplastia, felectrodeposición, f","galvanoplastie, f",ricopertura galvanicagalvanizzazione,電気めっき,전기 도금,"galwanizacja, fpowlekanie galwaniczne, n",galvanoplastia,电镀
114-04-18,electrochemiluminescence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-18,"Elektrochemilumineszenz, fECL, f",electrochemiluminescenceelectrogenerated chemiluminescenceECL,"electroquimiluminiscencia, f","électrochimiluminescence, fECL, f",luminescenza elettrochimicaluminescenza generata elettrochimicamenteECL,電気化学発光ECL,전기화학 발광,"elektrochemiluminescencja, fECL",eletroquimioluminescência,电化学发光
114-04-19,photoelectrolytic cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-04-19,"photoelektrolytische Zelle, f",photoelectrolytic cell,"celda fotoelectrolítica, f","photoélectrolyseur, m",cella fotoelettrolitica,光電解槽光電池,광 전지,"elektrolizer fotoelektryczny, m",célula fotoeletroquímica,光电解电池光电解池
