term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,zh
417-01-13,"theoretical resource, <in marine energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-13,"مصادر بيانات الأرصاد النظرية, <في الطاقة البحرية>","theoretisches Potential, <in Meeresenergie> n","theoretical resource, <in marine energy>","recurso teórico, <en energía marina> m","ressource théorique, <en énergie hydraulique> f","理論的資源量, <海洋エネルギー>","이론적 자원량, <해양에너지>","zasoby teoretyczne, <w energetyce morskiej> m pl","recurso teórico, <em energia hidraúlica>","理论资源, <海洋能>"
417-01-14,marine current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-14,تيار بحري,"Meeresströmung, f",marine current,"corriente marina, f","courant marin, m",海洋流,해양류,"prąd morski, m",corrente marítima,海流
417-01-15,ocean current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-15,تيار المحيطات,"Ozeanströmung, f",ocean current,"corriente oceánica, f","courant océanique, m",海流,해류,"prąd oceaniczny, m",corrente oceánica,洋流
417-01-16,river current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-16,تيار نهري,"Flussströmung, f",river current,"corriente fluvial, f","courant non lié à la marée, m",河川流,하천류,"prąd rzeczny, m",corrente não associada ao maré,河流
417-01-17,tidal current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-17,تيار المد والجزر,"Gezeitenströmung, fGezeitenstrom, m",tidal currenttidal stream,"corriente de mareas, fflujo de mareas, m","courant de marée, m",潮流,조류,"prąd pływu, m",corrente de maré,潮流
417-01-18,river energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-18,طاقة تيارالنهر,"Flussenergie, f",river energy,"energía fluvial, f","énergie non liée à la marée, f",河川流エネルギー,하천류에너지,"energia prądu rzecznego, f",energia não associada ao maré,河流能
417-01-19,tidal energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-01-19,طاقة المد والجزر,"Gezeitenenergie, f",tidal energy,"energía de mareas, f","énergie marémotrice, f",潮流エネルギー,조석에너지,"energia pływów, f",energia maremotriz,潮流能
417-02-01,marine energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-01,محول طاقة التيارالبحري,"Meeresenergiewandler, mMEC",marine energy converterMEC,"convertidor de energía marina, mMEC, Marine Energy Converter, m","convertisseur de l’énergie hydraulique, mMEC, m",海洋エネルギー変換器,해양에너지 변환장치,"konwerter energii morskiej, m",conversor de energia hidráulicaMEC,海洋能转换装置MEC
417-02-02,current energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-02,محول طاقة التيار المائي,"Strömungsenergiewandler, mCEC",current energy converterCEC,"convertidor de energía de corrientes, mCEC, Current Energy Converter, m","convertisseur de l’énergie des courants, mCEC, m",流れエネルギー変換器,수류에너지 변환장치,"konwerter energii prądów wodnych, m",conversor de energia das correntesCEC,水流能转换装置CEC
417-02-03,ocean current energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-03,محول طاقة التيار المحيطي,"Ozeanströmungsenergiewandler, mOCEC",ocean current energy converterOCEC,"convertidor de energía de corriente oceánica, mOCEC, Ocean Current Energy Converter, m","convertisseur de l’énergie des courants océaniques, mOCEC, m",海流エネルギー変換器,해류에너지 변환장치,"konwerter energii prądu oceanicznego, m",conversor de energia das correntes oceánicasOCEC,洋流能转换装置OCEC
417-02-04,ocean thermal energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-04,محول طاقة المحيط الحرارية,"Ozean-Thermoenergiewandler, mOTEC",ocean thermal energy converterOTEC,"convertidor de energía térmica oceánica, mOTEC, Ocean Thermal Energy Converter, m","convertisseur de l’énergie thermique océanique, mOTEC, m",海洋温度差エネルギー変換器,해수온도차에너지 변환장치,"konwerter energii termicznej oceanu, m",conversor de energia térmica oceánicaOTEC,海洋温差能转换装置OTEC
417-02-05,river energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-05,محول طاقة تيارالنهر,"Flussenergiewandler, mREC",river energy converterREC,"convertidor de energía fluvial, mREC, River Energy Converter, m","convertisseur de l’énergie non liée à la marée, mREC, m",河川流エネルギー変換器,하천류에너지 변환장치,"konwerter energii rzecznej, m",conversor de energia não associada ao maréREC,河流能转换装置REC
417-02-06,tidal energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-06,محول طاقة تيارالمد والجزر,"Gezeitenenergiewandler, mTEC",tidal energy converterTEC,"convertidor de energía de mareas, mTEC, Tidal Energy Converter, m","convertisseur de l’énergie marémotrice, mTEC, m",潮流エネルギー変換器,조석에너지 변환장치,"konwerter energii pływów, m",conversor de energia maremotrizTEC,潮流能转换装置TEC
417-02-07,wave energy converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-07,محول طاقة الامواج,"Wellenenergiewandler, mWEC",wave energy converterWEC,"convertidor de energía de las olas, mWEC, Wave Energy Converter, m","houlomotrice, fWEC, f",波エネルギー変換器,파랑에너지 변환장치,"konwerter energii fali, m",conversor de energia das ondashoulomotrizWEC,波浪能转换装置WEC
417-02-08,"array, <in marine energy>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-08,"مجموعة محولات الطاقة, <في الطاقة البحرية>","Array, <in Meeresenergie> n","array, <in marine energy>","array, <en energía marina> m","réseau, <en énergie hydraulique> m","変換器配列群, <海洋エネルギー>","배열, <해양에너지>","układ konwerterów energii, <energii z morza> m","rede, <em energia hidraúlica>","阵列, <海洋能>"
417-02-09,power take-off,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-09,الية تحويل القدرة,"Triebstrang, mPTO",power take-offPTO,"sistema de extracción de potencia, mPTO, Power Take-Off, m","prise de force, fPTO, f",電力取り出しメカニズムPTO,동력 인출,"wyprowadzenie mocy, verb",tomada de potênciaPTO,动力输出装置PTO
417-02-10,"prime mover, <of a marine energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-10,"عمود نقل الحركة, < لمحول الطاقة البحرية>","Antriebsmaschine, <eines Meeresenergiewandlers> f","prime mover, <of a marine energy converter>","actuador primario, <de un convertidor de energía marina> m","entraînement, <d'un convertisseur de l’énergie hydraulique> m","原動機, <海洋エネルギー>","원동기, <해양에너지>","źródło napędu, <konwertera energii morskiej> n","encadeamento, <de um conversor de energia hidráulica>","能量捕获装置, <海洋能转换装置的>"
417-02-11,"survival mode, <of a device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-02-11,"نمط البقاء, < لجهاز>","Überlebensmodus, <einer Anlage> m","survival mode, <of a device>","modo de supervivencia, <de un dispositivo> m","mode de survie, <d’un dispositif> m","サバイバルモード, <デバイス>","생존 모드, <장치>","tryb przetrwania, <urządzenia> m","modo de sobrevivência, <de um dispositivo>","生存模式, <装置的>"
417-03-01,"hub height, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-01,"إرتفاع المحور, <لمحول طاقة التيار المائي>","Hubhöhe, <eines Strömungsenergiewandlers> f","hub height, <of a current energy converter>","altura de eje, <de un convertidor de energía de corrientes> f","hauteur du moyeu, <d’un convertisseur de l’énergie des courants> f","ハブ高さ, <流れエネルギー>","허브 높이, <수류에너지 변환장치>","wysokość kolumny, <konwertera energii prądów wodnych> f","altura do cubo, <de um conversor de energia das correntes>","轮毂高度, <水流能转换装置的>"
417-03-02,"rated water speed, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-02,"السرعة المقننة لتيار الماء, < لمحول طاقة التيار المائي>","Bemessungswert der Wassergeschwindigkeit, <eines Strömungsenergiewandlers> m","rated water speed, <of a current energy converter>rated water velocity, <of a current energy converter>","velocidad nominal del agua, <de un convertidor de energía de corrientes> f","vitesse assignée de l’eau, fcélérité assignée de l’eau, <d’un convertisseur de l’énergie des courants> f","定格流速, <流れエネルギー>","정격유속, <수류에너지 변환장치>","znamionowa prędkość wody, <konwertera energii prądów wodnych> f","velocidade estipulada da corrente, <de um conversor de energia das correntes>","额定流速, <水流能转换装置的>"
417-03-03,"cut-in water speed, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-03,"السرعة الحدية لبدء التوليد, < لمحول طاقة التيار المائي>","Einschalt-Wassergeschwindigkeit, <eines Strömungsenergiewandlers> fEinschaltgeschwindigkeit, <eines Strömungsenergiewandlers> f","cut-in water speed, <of a current energy converter>cut-in water velocity, <of a current energy converter>","velocidad de agua de arranque, <de un convertidor de energía de corrientes> f","vitesse du courant d’enclenchement, <d’un convertisseur de l’énergie des courants> fcélérité du courant d’enclenchement, <d’un convertisseur de l’énergie des courants> f","カットイン流速, <流れエネルギー>","시동유속, <수류에너지 변환장치>","włączeniowa prędkość wody, <konwertera energii prądów wodnych> f","velocidade de comutação da corrente, <de um conversor de energia das correntes>","切入流速, <水流能转换装置的>"
417-03-04,"cut-out water speed, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-04,"السرعة الحدية لإيقاف التوليد, < لمحول طاقة التيار المائي>","Abschalt-Wassergeschwindigkeit, <eines Strömungsenergiewandlers> fAbschaltgeschwindigkeit, <eines Strömungsenergiewandlers> f","cut-out water speed, <of a current energy converter>cut-out water velocity, <of a current energy converter>","velocidad de agua de corte, <de un convertidor de energía de corrientes> f","vitesse du courant de déclenchement, <d’un convertisseur de l’énergie des courants> fcélérité du courant de déclenchement, <d’un convertisseur de l’énergie des courants> f","カットアウト流速, <流れエネルギー>","종단유속, <수류에너지 변환장치>","wyłączeniowa prędkość wody, <konwertera energii prądów wodnych> f","velocidade de retorno da corrente, <de um conversor de energia das correntes>","切出流速, <水流能转换装置的>"
417-03-05,"low cut-out water speed, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-05,"أقل سرعة حدية لإيقاف التوليد, < لمحول طاقة التيار المائي>","untere Abschalt-Wassergeschwindigkeit, <eines Strömungsenergiewandlers> funtere Abschaltgeschwindigkeit, <eines Strömungsenergiewandlers> f","low cut-out water speed, <of a current energy converter>low cut-out water velocity, <of a current energy converter>","velocidad inferior de agua de corte, <de un convertidor de energía de corrientes> f","vitesse faible du courant de déclenchement, <d’un convertisseur de l’énergie des courants> fcélérité faible du courant de déclenchement, <d’un convertisseur de l’énergie des courants> f","低カットアウト流速, <流れエネルギー>","저종단유속, <수류에너지 변환장치>","wyłączeniowa niska prędkość wody, <konwertera energii prądów wodnych> f","velocidade baixa de retorno da corrente, <de um conversor de energia das correntes>","低切出流速, <水流能转换装置的>"
417-03-06,equivalent diameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-06,القطر المكافىء,"äquivalenter Durchmesser, m",equivalent diameter,"diámetro equivalente, mDE, m","diamètre équivalent, m",等価直径,등가직경,"średnica równoważna, f",diâmetro equivalente,等效直径
417-03-07,"principal axis of energy capture, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-07,"محور رئيسي للطاقة المستفاد بها, < لمحول طاقة التيار المائي>","Hauptachse der Energiegewinnung, <eines Strömungsenergiewandlers>, f","principal axis of energy capture, <of a current energy converter>","eje principal de captación de energía, <de un convertidor de energía de corrientes> m","axe principal de capture de l’énergie, <d’un convertisseur de l’énergie des courants> m","エネルギー捕捉の主軸, <流れエネルギー>","에너지 주축, <수류에너지 변환장치>","główna oś pozyskiwania energii, <konwertera energii prądów wodnych> f","eixo principal de captura da energia, <de um conversor de energia das correntes>","能量捕获主轴, <水流能转换装置的>"
417-03-08,"projected capture area, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-08,"المساحة الامامية للطاقة المستفاد بها, < لمحول طاقة التيار المائي>","projektierte Erntefläche, <eines Strömungsenergiewandlers> f","projected capture area, <of a current energy converter>","área de captación proyectada, <de un convertidor de energía de corrientes> f","surface de capture projetée, <d’un convertisseur de l’énergie des courants> f","投影捕捉面積, <流れエネルギー>","투영 면적, <수류에너지 변환장치>","projektowana powierzchnia pozyskiwania,, <konwertera energii prądów wodnych> f","area de captura projetada, <de um conversor de energia das correntes>","投影捕获面积, <水流能转换装置的>"
417-03-09,"energy extraction plane, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-03-09,"مستوي إنتاج الطاقة, < لمحول طاقة التيار المائي>","Fläche der Energieentnahme, <eines Strömungsenergiewandlers> f","energy extraction plane, <of a current energy converter>","plano de extracción de energía, <de un convertidor de energía de corrientes> m","plan d’extraction de l’énergie, <d’un convertisseur de l’énergie des courants> m","エネルギー抽出面, <流れエネルギー>","에너지 추출 평면, <수류에너지 변환장치>","płaszczyzna pozyskiwania energii, <konwertera energii prądów wodnych> f","plano de extração da energia, <de um conversor de energia das correntes>","能量提取平面, <水流能转换装置的>"
417-04-01,"capture width, <of a wave energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-04-01,"نسبة الطاقة الطاقة المستفاد بها, < لمحول طاقة الامواج>","Erntelänge, <eines Wellenenergiewandlers> fErfassungsbreite, <eines Wellenenergiewandlers> f","capture width, <of a wave energy converter>capture length, <of a wave energy converter>","anchura de captación, <de un convertidor de energía de las olas> flongitud de captación, <de un convertidor de energía de las olas> f","largeur efficace d’extraction, <d’une houlomotrice> flongueur efficace d’extraction, <d’une houlomotrice> f","吸収幅, <波エネルギー変換器>","취득폭, <파랑에너지 변환장치>취득길이, <파랑에너지 변환장치>","szerokość pozyskiwania, <konwertera energii fali> fdługość pozyskiwania, <konwertera energii fali> f","largura eficaz de extração, <de um conversor de energia das ondas>comprimento eficaz de extração, <de um conversor de energia das ondas>","捕获宽度, <波浪能转换装置的>捕获长度, <波浪能转换装置的>"
417-05-01,"free-stream condition, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-05-01,"حالة تيار حر, < لمحول طاقة التيار المائي>","Freiströmungsbedingung, <eines Strömungsenergiewandlers> f","free-stream condition, <of a current energy converter>","condición de corriente libre, <de un convertidor de energía de corrientes> f","condition d’écoulement libre, <d’un convertisseur de l’énergie des courants> f","自由流条件, <流れエネルギー>","자유흐름조건, <수류에너지 변환장치>","warunki niezakłóconego przepływu, <konwertera energii prądów wodnych> m pl","condição de corrente livre, <de um conversor de energia das correntes>","自由流条件, <水流能转换装置的>"
417-05-02,"principal flow direction, <of a current energy converter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-05-02,"اتجاه سريان رئيسي, < لمحول طاقة التيار المائي>","Hauptströmungsrichtung, <eines Strömungsenergiewandlers> f","principal flow direction, <of a current energy converter>","dirección principal del flujo, <de un convertidor de energía de corrientes> f","sens d’écoulement principal, <d’un convertisseur de l’énergie des courants> m","主流方向, <流れエネルギー>","주 흐름 방향, <수류에너지 변환장치>","główny kierunek przepływu, <konwertera energii prądów wodnych> m pl","sentido principal do escoamento, <de um conversor de energia das correntes>","主流向, <水流能转换装置的>"
417-06-01,wave climate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-01,حالة الموجة,"Wellenklima, n",wave climate,"clima del oleaje, m","régime des vagues, m",波候,파랑 기후/파랑 상태,"klimat fal, m",regime das ondas,波候
417-06-02,wave energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-02,طاقة الموجة,"Wellenenergie, f",wave energy,"energía undimotriz, fenergía de las olas, f","énergie des vagues, f",波のエネルギー,파랑에너지,"energia fal, f",energia das ondas,波浪能
417-06-03,"wave height, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-03,"إرتفاع الموجة, < لموجة المياه>","Wellenhöhe, <einer Wasserwelle> f","wave height, <of a water wave>","altura de ola, <de una ola> f","hauteur de vague, <d’une vague> f","波高, <海波>","파고, <수면파>","wysokość fali, <fali wodnej> f","altura de onda, <de uma onda aquosa>","波高, <水波的>"
417-06-04,"maximum individual wave height, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-04,"الإرتفاع الأقصى لموجة منفردة, < لموجة المياه>","maximale Einzelwellenhöhe, <einer Wasserwelle> f","maximum individual wave height, <of a water wave>","altura de ola individual máxima, <de una ola> fHmáx, f","hauteur maximale des vagues individuelles, <d’une vague> f","最大個別波高, <海波>","최대 개별파고, <수면파>","maksymalna indywidualna wysokość fali, <fali wodnej> f","altura máxima das ondas individuais, <de uma onda aquosa>","最大单体波高, <水波的>"
417-06-05,"wave spectrum, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-05,"طيف الموجة, < لموجة المياه>","Wellenspektrum, <einer Wasserwelle> n","wave spectrum, <of a water wave>","espectro del oleaje, <de una ola> m","spectre des vagues, <d’une vague> m","波のスペクトル, <海波>","파랑 스펙트럼, <수면파>","spektrum fali, <wysokości fali wodnej> n","espectro das ondas, <de uma onda aquosa>","波浪谱, <水波的>"
417-06-06,"wave steepness, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-06,"انحدار الموجة, < لموجة المياه>","Wellensteilheit, <einer Wasserwelle> f","wave steepness, <of a water wave>","pendiente de ola, <de una ola> f","cambrure de vague, <d’une vague> f","波形勾配, <海波>","파형 경사, <수면파>","stromość fali, <fali wodnej> f","inclinação de onda, <de uma onda aquosa>","波陡, <水波的>"
417-06-07,"mean zero crossing period, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-07,"متوسط الفترة الموجية بين التقاطع الصفري, < لموجة المياه>","mittlere Wellenperiode, <einer Wasserwelle> f","mean zero crossing period, <of a water wave>","periodo medio de paso por cero, <de una ola> m","période moyenne au niveau zéro, <d’une vague> f","平均ゼロクロス周期, <海波>","평균 영점 교차주기, <수면파>","średni okres przejścia przez poziom zero, <fali wodnej> m","período médio ao nível zero, <de uma onda aquosa>","平均跨零周期, <水波的>"
417-06-08,"directional spreading function, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-08,"دالة الإنتشار الإتجاهي, < لموجة المياه>","Richtungsverteilungsfunktion, <einer Wasserwelle> f","directional spreading function, <of a water wave>","función de dispersión direccional, <de una ola> f","fonction de propagation directionnelle, <d’une vague> f","方向分布関数, <海波>","방향분산함수, <수면파>","funkcja kierunkowego rozprzestrzeniania się, <fali wodnej> f","função de propagção direcional, <de uma onda aquosa>","方向分布函数, <水波的>"
417-06-09,"directional wave spectrum, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-09,"طيف الموجه الإتجاهية, < لموجة المياه>","gerichtetes Wellenspektrum, <einer Wasserwelle> n","directional wave spectrum, <of a water wave>","espectro direccional de las olas, <de una ola> m","spectre directionnel des vagues, <d’une vague> m","方向スペクトル, <海波>","방향 파랑 스펙트럼 (방향파 스펙트럼), <수면파>","kierunkowe spektrum fali, <fali wodnej> n","espectro direcional das ondas, <de uma onda aquosa>","波浪方向谱, <水波的>"
417-06-10,"directionally resolved power, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-10,"القدرة الاتجاهية المستفاد بها, < لموجة المياه>","richtungsabhängige Leistung, <einer Wasserwelle> f","directionally resolved power, <of a water wave>","potencia resultante direccional, <de una ola> f","énergie à résolution directionnelle, <d’une vague> f","特定方向の波パワー, <海波>特定方向の波出力","방향 분리 출력, <수면파>","kierunkowy rozkład mocy, <fali wodnej> m","potência com resolução direcional, <de uma onda aquosa>","分辨方向功率密度, <水波的>"
417-06-11,"group velocity, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-11,"سرعة مجموعات المياه, < لموجة المياه>","Gruppengeschwindigkeit, <einer Wasserwelle> f","group velocity, <of a water wave>","velocidad de grupo, <de una ola> f","vitesse de groupe, <d’une vague> f","群速度, <海波>","군속도, <수면파>","prędkość grupowa, <fali wodnej> f","velocidade grupo, <de uma onda aquosa>","群速度, <水波的>"
417-06-12,"energy period, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-12,"فترة الموجة المنتجة للطاقة, < لموجة المياه>","Energieperiode, <einer Wasserwelle> f","energy period, <of a water wave>","periodo de energía, <de una ola> mTe, m","période d’énergie, <d’une vague> f","エネルギー周期, <海波>","에너지 주기, <수면파>","okres energii, <fali wodnej> m","período de energia, <de uma onda aquosa>","能量周期, <水波的>"
417-06-13,"wave phase velocity, <of a water wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-06-13,"سرعة انتشار الموجة, < لموجة المياه>","Wellenphasengeschwindigkeit, <einer Wasserwelle> f","wave phase velocity, <of a water wave>","velocidad de fase de ola, <de una ola> f","célérité de la phase de la vague, <d’une vague> f","波位相速度, <海波>","파랑 위상속도, <수면파>","prędkość fazy fali, <fali wodnej> f","velocidade da fase da onda, <de uma onda aquosa>","波浪相速度, <水波的>"
417-07-01,annual energy production,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-07-01,التوليد السنوى للطاقة,"Jahresenergieproduktion, fAEP",annual energy productionAEP,"producción anual de energía, f","production annuelle d’énergie, f",年間エネルギー生産量,연간발전량,"roczna produkcja energii, f",produção anual de energia,年发电量AEP
417-07-02,"availability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-07-02,"الإتاحية, < لعنصر>","Verfügbarkeit, <einer Einheit> f","availability, <of an item>","disponibilidad, <de un elemento> f","disponibilité, <d’une entité> f","可用性, <アイテムの>","가용성/가용율, <품목 : 요구되는 운용상태가 될수 있는 정량화된 값>가동성, <품목 : 요구되는 운용상태가 될수 있는 능력>","dyspozycyjność, <urządzenia, obiektu> fgotowość do działania, <urządzenia, obiektu> f","disponibilidade, <de um item>","可用性, <产品的>"
417-07-03,instantaneous availability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-07-03,الإتاحية اللحظية,"momentane Verfügbarkeit, f",instantaneous availability,"disponibilidad instantánea, f","disponibilité instantanée, f",瞬時可用性,"순간 가동률, <출처: IEV 192-08-01>","dyspozycyjność bezzwłoczna, <urządzenia, obiektu> f",disponibilidade instantânea,瞬时可用度
417-07-04,"maintainability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-07-04,"قابلية الصيانة, < لعنصر>","Instandhaltbarkeit, <einer Einheit> f","maintainability, <of an item>","mantenibilidad, <de un elemento> f","maintenabilité, <d’une entité> f","保全性, <アイテムの>","유지보수성, <품목>","łatwość konserwacji, <urządzenia, obiektu> fkonserwowalność, <urządzenia, obiektu> f","manutibilidade, <de um item>","可维护性, <产品的>"
417-07-05,"reliability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=417-07-05,"العول, < لعنصر>","Zuverlässigkeit, <einer Einheit> f","reliability, <of an item>","fiabilidad, <de un elemento> f","fiabilité, <d’une entité> f","信頼性, <アイテムの>","신뢰성, <품목 : 주어진 조건 하에 특정 시간 간격 동안 고장 없이 필요에 따라 수행할 수 있는 정량화된 값>신뢰성, <품목 : 주어진 조건 하에 특정 시간 간격 동안 고장 없이 필요에 따라 수행할 수 있는 능력>","niezawodność, <urządzenia, obiektu> f","fiabilidade, <de um item>","可靠性, <产品的>"
