term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,zh
351-42-13,characteristic equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-13,معادلة خصائص,charakteristická rovnice,"charakteristische Gleichung, f",characteristic equation,"ecuación característica, f",ominaisyhtälö,"équation caractéristique, f",equazione caratteristica,特性方程式,특성 방정식,równanie charakterystyczne,equação característica,特征方程
351-42-14,time-invariant system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-14,نظام الزمن الثابت,časově invariantní systém,"zeitinvariantes System, n",time-invariant system,"sistema invariante en el tiempo, m",aikariippumaton järjestelmä,"système invariant dans le temps, m",sistema invariante nel tempo,時不変系,시불변 시스템,układ niezmienny w czasiesystem niezmienny w czasie,sistema invariante no tempo,时不变系统
351-42-15,multivariable system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-15,نظام متعدد المتغيرات,systém s více proměnnými,"Mehrgrößensystem, n",multivariable system,"sistema multivariable, m",monimuuttujajärjestelmä,"système multivariable, m",sistema multivariabile,多変数系,다변수 시스템,układ wielowymiarowysystem wielowymiarowy,sistema multivariável,多变量系统
351-42-16,distributed-parameter system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-16,نظام ذو مقدار متغير القيمة موزع,systém s distribuovanými parametry,"System mit verteilten Parametern, n",distributed-parameter system,"sistema de parámetros distribuidos, m",hajautettuja parametreja sisältävä järjestelmä,"système à paramètres répartis, m",sistema a parametri distribuiti,分布定数系,분포정수계,układ o parametrach rozłożonychsystem o parametrach rozłożonych,sistema de parâmetros distribuídos,分布参数系统
351-42-17,minimal-phase system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-17,نظام ذو حد أدنى للطور,systém s minimální fází,"Minimalphasensystem, n",minimal-phase system,"sistema de fase mínima, m",minimivaiheinen järjestelmä,"système à déphasage minimal, m",sistema a fase minima,最小位相系,최소위상계,system minimalnofazowy,sistema de fase mínima,最小相位系统
351-42-18,all-pass system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-18,نظام امرار كلى,širokopásmový systém,"Allpass-System, n",all-pass system,"sistema pasa-todo, m",kokopäästöjärjestelmä,"système passe-tout, m","sistema ""passa tutto""",全位相系,전통과 시스템,system wszechprzepustowy,sistema passa-tudo,全通系统
351-42-19,control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-19,تحــكم,řízeníregulace,"Leiten, n",control,"control, m",ohjaus,"commande, f",controllo,制御,제어,sterowanieregulacja,controlo,控制
351-42-20,stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-20,إستقرارية,stabilita,"Stabilität, f",stability,"estabilidad en sentido de Liapunov, festabilidad interna, f",stabiilius,"stabilité, f",stabilità,安定性,안정도안전성,stabilność,estabilidade,稳定性
351-42-21,asymptotic stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-21,إستقرار مقارب,asymptotická stabilita,"asymptotische Stabilität, f",asymptotic stability,"estabilidad asintótica, f",asymptoottinen stabiilius,"stabilité asymptotique, f",stabilità asintotica,漸近安定性,점근 안정성,stabilność asymptotyczna,estabilidade assintótica,渐近稳定性
351-42-22,controllability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-22,القابلية للتحكم,ovladatelnost,"Steuerbarkeit, f",controllability,"controlabilidad, f",ohjattavuus,"commandabilité, f",comandabilità,可制御性,가제어성,sterowalność,controlabilidade,可控性
351-42-23,observability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-23,القابلية للمراقبة,pozorovatelnost,"Beobachtbarkeit, f",observability,"observabilidad, f",tarkkailtavuus,"observabilité, f",osservabilità,可観測性,가관측성,obserwowalność,observabilidade,可观测性
351-42-24,action,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-24,فعل,akce,"Wirkungsablauf, m",action,"acción, f",vaikutus,"action, f",azione,動作,동작,działanieoddziaływanie,ação,作用
351-42-25,interface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-25,تداخل,rozhraní,"Schnittstelle, f",interface,"interfase, f",rajapintaliitäntä,"interface, f",interfaccia,インタフェース,접속기인터페이스,interfejs,interface,接口
351-42-26,model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-26,نموذج,model,"Modell, n",model,"modelo, m",malli,"modèle, m",modello,モデル,모델모형,model,modelo,模型
351-42-27,algorithm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-27,لوغاريتمى,algoritmus,"Algorithmus, m",algorithm,"algoritmo, m",algoritmi,"algorithme, m",algoritmo,アルゴリズム,알고리즘,algorytm,algoritmo,算法
351-42-28,redundancy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-28,إحتياطى جاهزوفــره,redundance,"Redundanz, f",redundancy,"redundancia, f",varmennus,"redondance de moyens, fredondance, f",ridondanza di mezziridondanza,冗長性,중복성,redundancjanadmiarowość,redundância,冗余
351-42-29,"manual, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-29,"يــدوى, صفة",manuální,"manuell, AdjektivHand…","manual, adj","manual, adj",käsikäyttöinen,"manuel, adj","manuale, adj","手動の, 形容詞","수동의, 형용사",ręczny,"manual, adjectivo",手动的
351-42-30,"automatic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-30,"آليا, صفة",automatický,"selbsttätig, Adjektivautomatisch, Adjektiv","automatic, adj","automático, adj",automaattinen,"automatique, adj",automatico,"自動の, 形容詞","자동의, 형용사",automatyczny,"automático, adjectivo",自动的
351-42-31,degree of automation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-31,درجة الآلية,stupeň automatizace,"Automatisierungsgrad, m",degree of automation,"grado de automatización, m",automaatioaste,"degré d'automatisation, m",grado di automazione,自動化度,자동화 도,stopień automatyzacji,grau de automatização,自动化程度
351-42-32,automaton,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-32,آلية,automatautomatické zařízení,"Automat, m",automaton,"autómata, m",automaatti,"automate, m",sistema automatico,オートマトン,자동 장치오토마톤,automat,autómato,自动装置
351-42-33,"process, <in control technology>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-33,عملية في تقنية التحكمعملية,"proces, <v technologii řízení>","Prozess, <in der Leittechnik> m","process, <in control technology>","proceso en control automático, nproceso, m",prosessi,"processus, <dans les technologies de commande> m",processo nelle tecnologie di regolazione,"プロセス, <制御技術の>","공정, <제어기술>처리과정, <제어기술>","proces, <w technice sterowania> m","processo, <em tecnologia de controlo>","过程, <在控制技术中>"
351-42-34,technical process,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-34,عملية فنية,technický proces,"technischer Prozess, m",technical process,"proceso técnico, n",tekninen prosessi,"processus technique, m",processo tecnico,技術プロセス,기술 공정,proces techniczny,processo técnico,技术过程
351-42-35,plant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-35,منشأةمحطة,provoz,"technische Anlage, f",plant,"instalación, fplanta, f",laitos,"installation, f",impianto,プラント,플랜트시설,obiekt przemysłowyzakładinstalacja,planta,工厂装备
351-42-36,cybernetics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-36,علم الضبط,kybernetika,"Kybernetik, f",cybernetics,"cibernética, f",kybernetiikka,"cybernétique, f",cibernetica,サイバネティクス,인공두뇌학,cybernetyka,cibernética,控制论
351-42-37,expert system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-37,نظام خبير,expertní systém,"Expertensystem, n",expert system,"sistema experto, m",asiantuntijajärjestelmä,"système expert, m",sistema esperto,エキスパートシステム,전문가 시스템,system ekspertowysystem ekspercki,sistema pericial,专家系统
351-42-38,knowledge base,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-38,قاعدة المعرفة,databáze znalostí,"Wissensbasis, f",knowledge base,"base de conocimiento, f",tietämyskanta,"base de connaissances, f",base di conoscenza,知識ベース,지식 기반,baza wiedzy,base de conhecimentos,知识库
351-42-39,inference engine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-39,ماكينة استدلال,inferenční stroj,"Folgerungsmaschine, f",inference engine,"motor de inferencia, m",päättelykone,"moteur d'inférence, m",motore di inferenza,推論エンジン,추론 엔진,mechanizm wnioskowania,motor de inferência,推理机
351-43-01,"measure, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-01,"يقيس, فعل",měřit,"messen, Verb","measure, verb","medir, verbo",mitata,"mesurer, verbe","misurare, verbo","測定する, 動詞","측정하다, 동사",mierzyć,"medir, verbo","测量, 动词"
351-43-02,"count, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-02,"يعـــد, فعل",odečítat,"zählen, Verb","count, verb","contar, verbo",laskea,"compter, verbe","contare, verbo","計数する, 動詞","계산하다, 동사",liczyćzliczać,"contar, verbo","计数, 动词"
351-43-03,"monitor, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-03,"يراقب, فعل",monitorovatsledovat,"überwachen, Verb","monitor, verb","supervisar, verbo",valvoa,"superviser, verbe","sorvegliare, verbo","監視する, 動詞","감시하다, 동사",monitorowaćnadzorować,"monitorar, verbo","监测, 动词"
351-43-04,"indicate, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-04,"يبين, فعليوضح",indikovat,"anzeigen, Verb","indicate, verb","indicar, verbo",ilmaistanäyttää,"présenter, verbe","monitorare, verbo","示す, 動詞","표시하다, 동사",wskazywaćsygnalizować,"indicar, verbo","指示, 动词"
351-43-05,"notify, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-05,"يخطر, فعل",notifikovat,"melden, Verb","notify, verb","notificar, verbo",ilmoittaa,"notifier, verbe","notificare, verbo","通知する, 動詞","알리다, 동사",powiadamiaćzgłaszać,"notificar, verbo","通知, 动词"
351-43-06,"alert, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-06,"ينبه, فعل",upozornit,"benachrichtigen, Verb","alert, verb","alertar, verbo",ilmoittaa,"alerter, verbe","allertare, verbo","警戒させる, 動詞","주의를 환기시키다, 동사","powiadamiać,","alertar, verbo","告警, 动词"
351-43-07,"warn, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-07,"يحذر, فعل",varovat,"warnen, Verb","warn, verb","advertir, verbo",varoittaa,"avertir, verbe","avvisare, verbo","通告する, 動詞","경고하다, 동사","ostrzegać,","avisar, verbo","警告, 动词"
351-43-08,"alarm, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-08,"ينذر, فعل",poplach,"alarmieren, Verb","alarm, verb","alarmar, verbo",hälyttää,"alarmer, verbe","allarmare, verbo","警告する, 動詞","경보하다, 동사","alarmować,","alarmar, verbo","报警, 动词"
351-43-09,"record, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-09,"يسجل, فعل",zaznamenat,"aufzeichnen, Verbregistrieren, Verb","record, verb","registrar, verbo",tallentaa,"enregistrer, verbe","registrare, verbo","記録する, 動詞","기록하다, 동사",rejestrować dynamicznie,"registar, verbo","记录, 动词"
351-43-10,"log, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-10,"يدون, فعليخزن",protokolovat,"protokollieren, Verb","log, verb","loguear, verbo",kirjata,"journaliser, verbe","rilevare, verbo","事象を記録する, 動詞","일지에 기록하다, 동사",zapisywać periodycznie,"reproduzir, verbo","记日志, 动词"
351-43-11,"archive, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-11,"يضع فى صورة أرشيفية, فعليخزن المدونات",archivovat,"archivieren, Verb","archive, verb","archivar, verbo",arkistoida,"archiver, verbe","archiviare, verbo","再利用のために保存記録する, 動詞","보관하다, 동사",archiwizować,"arquivar, verbo","存档, 动词"
351-43-12,"manipulate, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-12,"يعالج, فعل",manipulovat,"stellen, Verb","manipulate, verb","manipular, verbo",käsitellä,"manipuler, verbe","manipolare, verboregolare","操作する, 動詞","조작하다, 동사",nastawiać,"manipular, verbo","操纵, 动词"
351-43-13,"evaluate, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-13,"يقيم, فعل",hodnotit,"auswerten, Verb","evaluate, verb","evaluar, verbo",arvioida,"évaluer, verbe","valutare, verbo","評価する, 動詞","평가하다, 동사",oceniać,"avaliar, verbo","评定, 动词"
351-43-14,"optimize, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-14,"يحدد الأمثل, فعل",optimalizovat,"optimieren, Verb","optimize, verb","optimizar, verbo",optimoida,"optimiser, verbe","ottimizzare, verbo","最適化する, 動詞","최적화하다, 동사",optymalizować,"otimizar, verbo","优化, 动词"
351-43-15,"intervene, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-15,"يتدخل, فعل",zasahovat,"eingreifen, Verb","intervene, verb","intervenir, verbo",puuttua toimintaan,"intervenir, verbe","intervenire, verbo","介入する, 動詞","개입하다, 동사",interweniować,"intervir, verbo","干预, 动词"
351-43-16,"safeguard, <equipment> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-16,"يحمى, فعل <مهمات>","zabezpečit, <zařízení>","absichern, Verb","safeguard, <equipment> verb","salvaguardar,  verbo",turvata,"sauvegarder, <équipement> verbe","salvaguardare, verbo","保護する,  <装置> 動詞","보호하다, <장비> 동사",zainstalować zabezpieczenie,"salvaguardar,  verbo","安全防护, <设备> 动词"
351-43-17,"safeguard, <action> verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-17,"يحمى, فعل <تصرف>","zabezpečit, <akce>","schützen, Verb","safeguard, <action> verb","salvaguardar,  verbo",suojata,"sauvegarder, <action> verbe",salvaguardia,"防護する, <動作> 動詞","방호하다, <동작> 동사","zabezpieczać,","salvaguardar,  verbo","安全防护, <作用> 动词"
351-43-18,"lock, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-18,"يقفل, فعل",blokovat,"verriegeln, Verb","lock, verb","bloquear, verbo",lukita,"verrouiller, verbe",bloccochiusura,"固定する, 動詞","잠그다, 동사고정하다, 동사",blokowaćryglować,"encravar, verbo","锁定, 动词"
351-43-19,"structure, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-43-19,"يبنـى, فعلينشئ",strukturovat,"strukturieren, Verb","structure, verb","estructurar, verbo",jäsentää,"structurer, verbe",struttura,"構造化する, 動詞","구조화하다, 동사",strukturalizować,"estruturar, verbo","构造, 动词"
