term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,ru,sv,zh
651-21-22,hybrid hand tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-22,أداة يدوية عازلة بأطراف موصلة,"kombiniertes Handwerkzeug, n",hybrid hand tool,herramienta manual híbrida,"outil à main hybride, m",attrezzo a mano ibrido,ハイブリッド手工具,혼성 손도구,"narzędzie izolacyjne hybrydowe, n",ferramenta manual híbrida,гибридный ручной инструмент,hybridhandverktyg,混合手工工具
651-22-01,insulating stick,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-01,عصا عازلة,"isolierende Stange, f",insulating stick,pértiga aislante,"perche isolante, f",asta isolante,絶縁材料製のポール絶縁材料製のスティック,절연 막대,"drążek izolacyjny, m",vara isolante,изолирующая штанга,isolerstång,绝缘杆
651-22-02,end fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-02,ملحق نهاية العصا للتثبيت,"Kupplungsteil, n",end fitting,extremo de pértiga,"embout de perche, m",attacco di estremità,端部金具,말단 맞춤구,"końcówka drążka, f",terminal de vara,сменная головка,stångbeslag,端部配件
651-22-03,foam,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-03,مادة رغوية عازلةفوم,"Schaum, m",foam,espuma,"mousse, f",schiuma,フォーム充填剤,폼포말거품,"pianka izolacyjna, fpianka, f",espuma,вспененный материал,skum,泡沫
651-22-04,insulating rod,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-04,قضيب عازل,"isolierender Stab, m",insulating rod,barra aislante,"tige isolante, f",tondo isolante,絶縁材料製のロッド棒,절연봉,"pręt izolacyjny, m",tirante,изолирующая стержень,solid isolerstång,绝缘棒
651-22-05,insulating tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-05,إنبوبة عازلة,"isolierendes Rohr, n",insulating tube,tubo aislante,"tube isolant, m",tubo isolante,絶縁材料製のチューブ,절연관,"rura izolacyjna, f",tubo isolante,изолирующая трубка,ihålig isolerstång,绝缘管
651-22-06,handling zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-06,منطقة التداولمنطقة التناول,"Handhabe, f",handling zone,zona de manipulación,"zone de préhension, f",zona di impugnatura,"取扱い域
操作域",취급 영역,"strefa uchwytu, f",zona de manuseamento,рукоятка,greppdel,手持区域
651-22-07,hand stick,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-07,عصا عازلة يدوية,"Handstange, f",hand stick,pértiga manual,"perche à main, f",asta a mano,ハンド・ポールハンド・スティック,손조작 막대,"drążek manipulacyjny, m",vara manual,ручная штанга,manöverstång,操作杆
651-22-08,support stick,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-08,عصا داعمة,"Haltestange, f",support stick,pértiga de sujeción,"perche de maintien, f",dispositivi isolanti,支持用ポール支持用スティック,지지대,"drążek wsporczy, m",vara de fixação de condutores,упорная штанга,stödstång,支撑杆
651-22-09,attachable tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-09,أداة ملحقة للعمل تحت الجهد,"auswechselbares Werkzeug, n",attachable tool,herramienta o dispositivo adaptable,"outil adaptable, m",attrezzo universale,着脱式工具,부착식 도구,"narzędzie wymienne uniwersalne, n",ferramenta adaptável,сменная рабочая часть штанги,utbytbart verktyg,可装配的工具
651-22-10,attachable device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-10,جهاز ملحق للعمل تحت الجهد,"auswechselbares Gerät, n",attachable device,dispositivo adaptable,"dispositif adaptable, m",dispositivo adattabile,着脱式装置,부착식 장치,"urządzenie wymienne uniwersalne, n",dispositivo adaptável,•••••,löstagbar detalj,可装配的装置
651-22-11,protective cover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-11,غطاء واقيغطاء الحماية,"Schutzabdeckung, f",protective cover,"protector, m","protecteur recouvrant, m",,保護カバー,,"osłona izolacyjna, f",,,skyddshölje,遮蔽罩
651-22-12,electrical insulating blanket,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-12,بطانية عازلة كهربائيا,"elektrisch isolierendes Abdecktuch, n",electrical insulating blanket,manta aislante eléctrica,"nappe isolante électrique, f",telo isolante,絶縁ブランケット絶縁シート,전기 절연 담요,"płachta elektroizolacyjna, f",manta isolante,изолирующая накладка,isolerande duk,电气绝缘毯绝缘毯
651-22-13,electrical insulating matting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-13,غطاء شبكى عازل كهربائيا,"elektrisch isolierende Matte, f",electrical insulating matting,alfombra aislante eléctrica,"tapis isolant électrique, m",tappeto isolante,絶縁マット,전기 절연 매트,"chodnik elektroizolacyjny, m",tapete isolante,изолирующая подставка,isolerande matta,电气绝缘垫绝缘垫
651-22-14,insulating screen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-14,حاجز عازل,"isolierender Schirm, m",insulating screen,pantalla aislante,"écran isolant, m",schermo isolante,絶縁隔離板,절연막차폐막,"ekran izolacyjny, mprzegroda izolacyjna, f",anteparo isolante,изолирующий экран,isolerande skärm,绝缘隔板
651-22-15,by-pass equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-15,معدة  مزودة بإتجاهين,"Überbrückungsausrüstung, f",by-pass equipment,equipo de puenteo – by-pass,"équipement de shuntage, m",by pass,"バイパス用器
具",우회 장비,"sprzęt bocznikujący, m",equipamento de desvio,шунтирующий провод,förbikopplingsutrustning,旁路设备
651-22-16,equipotential bonding lead,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-16,وصلة لتساوي الجهد,"Potentialausgleichsverbindung, f",equipotential bonding lead,unión de puesta a potencial,"liaison de mise au potentiel, f",treccia per connessione equipotenziale,等電位化接続用リード線接続用リード線,등전위 연결선접속용 리드선,"wyrównywacz potencjałów, m",ligação para colocação ao potencial,штанга переноса потенциалаШП,ekvipotentialförbindning,等电位联结线
651-22-17,insulating aerial device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-17,جهاز هوائي معزول,"isolierende Hubarbeitsbühne, f",insulating aerial device,aparato elevador aislante,"dispositif élévateur isolant, m",piattaforma con braccio isolante,活線作業車用空中バケット,공중 절연 장치,"podnośnik z wysięgnikiem izolacyjnym, m",dispositivo elevador isolante,вышка с изолирующим звеном,isolerande plattform,绝缘升降装置
651-22-18,work platform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-18,منصة عمل,"Arbeitsbühne, f",work platform,"plataforma de trabajo, <para trabajos en tensión>","plate-forme de travail, f","piattaforma di lavoro, <in relazione ai lavori sotto tensione>","活線作業用昇降作業台, ＜移動機能有も含む＞",작업대,"platforma robocza, f",plataforma de trabalho,"рабочая платформа, <для работ под напряжением>","arbetsbrygga, <för arbete med spänning>",工作平台
651-22-19,insulating ladder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-19,سلم عازل,"isolierende Leiter, f",insulating ladder,escalera aislante,"échelle isolante, f",scala isolante,絶縁ばしご,절연 사다리,"drabina izolacyjna, f",escada isolante,изолирующая лестница,isolerande stege,绝缘梯
651-22-20,insulating rope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-20,حبل عازل,"isolierendes Seil, n",insulating rope,cuerda aislante,"corde isolante, f",corda isolante,絶縁ロープ,절연 로프절연 밧줄,"lina izolacyjna, f",corda isolante,изолирующий канат,isolerande rep,绝缘绳
651-22-21,saddle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-21,سلم,"Mastsattel, m",saddle,asiento,"selle, f",sella,サドル,안장,"uchwyt słupowy, m",abraçadeira,захват,stångfäste,支座
651-22-22,stick clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-22,ماسك عصا,"Stabklemme, f",stick clamp,abrazadera,"manchon, m",manicotto,スティック式クランプ,막대 죔쇠,"opaska drążka, f",pinça de vara,зажим штанги,stångklämma,夹紧钳
651-22-23,insulating hose with fittings,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-23,خرطوم عازل بتجهيزاته,"isolierende Schlauchleitung, f",insulating hose with fittings,manguera aislante con racores,"flexible isolant avec raccords, m",tubo flessibile isolante con raccordi,金具付き絶縁ホース,맞춤구 절연 호스,"przewód hydrauliczny izolacyjny z łącznikami, m",tubo flexível isolante com terminais,изолирующий гидравлический шланг с соединителями,isolerande hydraulslang med kopplingar,带附件的绝缘管
651-22-24,"insulating fluid, <for hydraulic equipment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-24,مائع عازلسائل عازل,"Isolierfluid, <für hydraulische Ausrüstungen> n","insulating fluid, <for hydraulic equipment>","fluído aislante, <para equipo hidráulico>","fluide isolant, <pour équipement hydraulique> m","fluido isolante, <per attrezzi idraulici>","絶縁流体, ＜油圧機器用の＞","절연액, <유압 장비>","płyn izolacyjny, m <do sprzętu hydraulicznego>","fluido isolante, <para equipamento hidráulico>","изоляционная жидкость, <для гидравлического оборудования>",isolerande vätska,"绝缘油, <用于液压设备>"
651-22-25,conductor support assembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-25,مجموعة دعم الموصل,"Haltevorrichtung für Leiterseile, f",conductor support assembly,conjunto soporte de conductor,"montage de maintien de conducteur, m",dispositivo di supporto di conduttori,導体支持装置,도체 지지 조립체,"zestaw podtrzymujący przewód, m",montagem de suporte de condutor,устройство для подрыва и удерживания провода,ledarstöd,导线支撑装置
651-22-26,tension puller,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-26,أداة شد الموصل,"Abspannvorrichtung, f",tension pullerdead-end tool,tensor,"tirant d'ancrage, m",tirante di amarro,引張り器引留め用工具,안장기인류용 도구,"zestaw do przejmowania naciągu, m",tirante de amarração,натяжное устройство,dragavlastare,紧线器
651-22-27,insulating gin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-27,بكارة يدوية عازلة,"isolierender Hebebaum, m",insulating gin,mástil de elevación aislante,"mât de levage isolant, m",albero di sollevamento isolante,絶縁材料製の台棒絶縁台棒,절연 기계 장치,"żurawik izolacyjny, m",consola de elevação articulada simples,лебедка с изолирующим канатом,isolerad dävert,绝缘起重机具
651-22-28,insulating assembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-28,تجميعة عازلة,"isolierende Vorrichtung, f",insulating assembly,conjunto aislante,"assemblage isolant, m",assemblaggio isolante,絶縁材料製の装置,절연 조립체,"zestaw izolacyjnych drążków wsporczych, m",conjuntos isolantes,изолированная система для спуска/подъема гирлянды изоляторов,isolerande anordning,绝缘组件
651-22-29,stringing equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-29,معدة  تمديد الموصلات (للعمل تحت الجهد),"Seilzugausrüstung, f",stringing equipment,equipo de tendido,"équipement de déroulage, m",equipaggiamento per tesatura,拡張用機器,가선장비,"sprzęt do rozciągania i napinania przewodów, m",equipamento de desenrolamento,натяжное оборудование,najningsutrustning,牵张设备
651-22-30,live cleaning equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-22-30,معدة تنظيف تحت الجهد,"Ausrüstung für Reinigung unter Spannung, f",live cleaning equipment,equipo para limpieza con tensión,"équipement de nettoyage sous tension, m",apparecchiatura per lavaggio sotto tensione,活線洗浄装置,활선 세정 장비,"urządzenie myjące pod napięciem, n",equipamento de limpeza em tensão,оборудованияе для обмыва изоляторов под напряжением,utrustning för teknisk rengöring,带电清洗设备
651-23-01,"personal protective equipment, <in live working>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-01,"معدات الوقاية الشخصية, <في العمل تحت الجهد>معدات الحماية من القوس الكهربى","persönliche Schutzausrüstung, <bei Arbeiten unter Spannung> fPSA","personal protective equipment, <in live working>PPE","equipo de protección individual, mEPI, m","équipement de protection individuelle, <en travaux sous tension> mEPI, m",,"個人保護用器具, <活線作業の>絶縁用保護具",,"sprzęt ochrony osobistej, <w pracy pod napięciem> m",,,"personlig skyddsutrustning, <för arbete med spänning>PPE","个人防护器具, <在带电作业中>PPE"
651-23-02,electrical insulating glove,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-02,قفازعازل للكهرباء,"elektrisch isolierender Handschuh, m",electrical insulating glove,guante aislante de la electricidad,"gant isolant électrique, m",guanto isolante,電気絶縁手袋,전기 절연 장갑,"rękawice elektroizolacyjne, f pl",luva isolante elétricoDESACONSELHADO: luva dielétrica,диэлектрические перчатки,elektriskt isolerande handske,电气绝缘手套绝缘手套
651-23-03,composite glove,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-03,قفاز عازل كهربائيا وميكانيكيا,"Handschuh mit mechanischer Verstärkung für elektrische Zwecke, m",composite glove,guante con protección mecánica,"gant composite, m",guanti compositi,複合グローブ機械的保護機能付き絶縁手袋,합성 장갑,"rękawice kompozytowe, f pl",luva isolante com proteção mecânicaluva compósita,армированные изолирующие нарукавники,mekaniskt förstärkt isolerande handske,机械防护手套
651-23-04,insulating footwear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-04,حذاء حماية عازل,"isolierende Fußbekleidung, f",insulating footwear,calzado aislante,"chaussure isolante, f",calzature isolanti,絶縁性履物絶縁靴,절연 신발,"obuwie izolacyjne, nbuty izolacyjne, m pl",calçado isolante,диэлектрические галошидиэлектрические боты,isolerande fotbeklädnad,绝缘鞋
651-23-05,insulating overshoe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-05,غطاء حذاء عازل كهربائيا,"isolierender Überschuh, m",insulating overshoe,cubrecalzado aislante,"surchaussure isolante, fcouvre-chaussure isolant, m",sovrascarpe isolanti,絶縁オーバーシューズ,절연 덧신,"kalosze izolacyjne, m pl",galochas isolantes,изолирующие галоши,isolerande ytterskor,绝缘套鞋
651-23-06,conductive clothing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-06,رداء موصل كهربائيا,"schirmende Kleidung, f",conductive clothing,vestimenta conductora,"vêtement conducteur, m",vestiario conduttore,導電性衣服導電服,도전복,"ubiór przewodzący, m",vestuário condutor,комплект индивидуальный экранирующий,ledande klädsel,屏蔽服导电服
651-23-07,conductive footwear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-07,حذاء حماية موصل,"leitfähige Fußbekleidung, f",conductive footwear,calzado conductor,"chaussure conductrice, f",calzature conduttrici,導電性履物導電靴,도전 신발,"obuwie przewodzące, nbuty przewodzące, m pl",calçado condutor,проводящая специальная обувь,ledande fotbeklädnad,导电鞋
651-23-08,insulating clothing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-23-08,رداء عازل,"isolierende Schutzkleidung, f",insulating clothing,ropa aislante,"vêtement isolant, m",vestiario isolante,絶縁性衣服絶縁服,절연복,"ubiór izolacyjny, m",vestuário isolante,изолирующая одежда,isolerande klädsel,绝缘服
651-24-01,diagnostic device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-24-01,جهاز تشخيصي,"Diagnosegerät, n",diagnostic device,aparato de verificación,"dispositif de diagnostic, m",dispositivo per dianiostica,診断装置,진단 장치,"przyrząd diagnostyczny, m",dispositivo de diagnóstico,диагностический прибордиагностическое устройство,testutrustning,检测装置
651-24-02,voltage detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-24-02,مبين جهد,"Spannungsprüfer, m",voltage detector,detector de tensión,"détecteur de tension, m",rivelatore di tensione,電圧検出器検電器,전압 검출기,"wskaźnik napięcia, m",detetor de tensão,указатель напряжения,spänningsprovare,验电器
651-24-03,phase comparator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-24-03,مقارن وجهمختبر وجه,"Phasenvergleicher, m",phase comparatorphasing tester,comparador de fasecomprobador de fase,"comparateur de phase, mcontrôleur de phase, m",comparatore di fase,位相比較器位相試験器検相器,위상 비교기위상 시험기,"uzgadniacz faz, m",verificador de concordância de fasescomparador de fase,указатель проверки совпадения фаз,fasprovare,核相仪
651-25-01,portable equipment for earthing and short-circuiting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-01,معدة محمولة للتأريض وقصر الدائرة,"tragbare Erdungs- und Kurzschließvorrichtung, f",portable equipment for earthing and short-circuiting,equipo portátil de puesta a tierra y en cortocircuito,"équipement portable de mise à la terre et en court-circuit, m",dispositivo portatile di messa a terra e in cortocircuito,接地及び短絡用の携帯器具,접지 및 단락 휴대 장비,"sprzęt przenośny do uziemiania i zwierania, m",equipamento portátil de ligação à terra e em curtocircuito,портативное оборудования для временного заземления и закорачивания,bärbar jordnings- och kortslutningsutrustning,便携式接地短路装置
651-25-02,earthing and short-circuiting device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-02,جهاز  للتأريض وقصر الدائرة,"Erdungs- und Kurzschließgerät, n",earthing and short-circuiting device,dispositivo de puesta a tierra y en cortocircuito,"dispositif de mise à la terre et en court-circuit, m",dispositivi di messa a terra e corto circuito,接地及び短絡用装置短絡接地装置,접지 및 단락장치,"urządzenie do uziemiania i zwierania, n",dispositivo de ligação à terra e em curtocircuito,устройство временного заземления и закорачивания,jordnings- och kortslutningsanordning,接地短路装置
651-25-03,earth clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-03,ماسك أرضى,"Erdungsklemme, f",earth clamp,torno de tierra,"étau de terre, m",morsetto di terra,接地用クランプ,접지 죔쇠접지 클램프,"zacisk uziemiający, m",grampo de terra,струбцина для присоединения к заземленным конструкциям,jordningsklämma,地线线夹
651-25-04,line clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-04,ماسك خط,"Leiterklemme, f",line clamp,pinza de línea,"pince de conducteur, f",morsetto per conduttori (pinza),線路側クランプ,선로 죔쇠선로 클램프,"zacisk przewodu fazowego, mzacisk fazowy, m",pinça de condutor,зажим для закрепления на токоведущей части,ledarklämma,导线线夹
651-25-05,earthing stick,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-05,عصا الأرضىعصا لعمل الأرضى,"Erdungsstange, f",earthing stickearth application stick,pértiga de puesta a tierra,"perche de mise à la terre, f",asta di messa a terra (fioretto),"接地棒, <関連エントリー: 651-25-07>接地スティック",접지 막대접지 적용 막대,"drążek uziemiający, m",vara de terra,изолирующая часть штанги переносного заземления,jordningsstång,接地棒
651-25-06,rated current and rated time for earthing and short-circuiting device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-25-06,التيار المقنن والزمن المقنن لأداة التأريض وقصر الدائرة,"Bemessungsstromstärke und Bemessungsdauer für Erdungs- und Kurzschließgerät, f",rated current and rated time for earthing and short-circuiting device,corriente asignada y tiempo asignado para el equipo de puesta a tierra y en cortocircutio,"courant assigné et temps assigné des dispositifs de mise à la terre et en court-circuit, m",corrente e tempo nominali per i dispositivi di messa a terra e in cortocircuito,短絡接地器具の定格電流及び時間,접지 및 단락 장치의 정격전류 및 정격시간,"prąd znamionowy i znamionowy czas przepływu prądu dla sprzętu uziemiania i zwierania, m",corrente estipulada e tempo estipulado para o equipamento de ligação à terra e em curtocircuito,номинальный ток и сечение заземляющего провода,ström-tidmärkvärden för jordnings- och kortslutningsutrustning,接地和短路装置的额定电流和额定时间
